"formerCallsign"
"KFTI (2001–2010)"
"WYSL (1961–86)"
"WERE (1949–2007)"
"KFFW (2001-2008)"
"WFNC-FM (1947-1969)"
"WCQL-FM (1989–1996)"
"WVAE (1987–1989)"
"XEQW-AM"
"WETU (1954-1985)"
"DZSA (1968–1981)"
"WRMV (1980-1985)"
"KIEE (1974-1983)"
"1997)"
"CHOG-FM (2018-19, CFGY-FM)"
"WTGH-LP (2015)"
"WGHW (1984-1987)"
"WOOJ-FM (1983-1989)"
"KPER (2014-2015)"
"WVLR (1992–1993)"
"KAST-FM (2006–2009)"
"WJJZ (2011–2012)"
"WLIT (July 7, 1988-January 8, 1990)"
"WDDZ (2011–15)"
"KQKE (1992-1994)"
"WRBY (2001-2004)"
"WWWW (1966&ndash;92)"
"WFXF (1990–1992)"
"WBBX (1960–1985)"
"KQMQ (1987–2002)"
"WGSI (1984-1992)"
"WQQL (2013-2021)"
"KXFF (2001–2006)"
"WGHQ-FM (1965-75)"
"KRCQ (1976–1986)"
"WDLE (1987-1988)"
"WBSM-FM (1988–1989)"
"WRBD-FM (1969–71)"
"KSRN (1991-2000)"
"KGIC (May 5, 1986-June 12, 1986)"
"WEKS (1985–1987)"
"WDKF (2000-2011)"
"WBRJ (1995-1998)"
"KDAB (1991-2003)"
"KURK (2014-2017)"
"KKBZ-FM (1982–1986)"
"2XL (1937–2019)"
"WNER (1949-1988)"
"WXYC (1960–1964, CP)"
"WZZQ (1982–1995, 2000–2001)"
"KOLL (1989–2003)"
"KSES (1996-1998)"
"WEIZ (1991–1995)"
"KFPW-FM (1983–1986)"
"WGQR (1989-2017)"
"WWFX (1998–1999)"
"KZFT (1995-1996)"
"WIXI (1960–1965)"
"WZBO-FM (1983&ndash;1992)"
"KPAR-FM (1974-1980)"
"WXGT (1978&ndash;90)"
"WAJR-FM (1948-1977)"
"WTME (1991–2001)"
"WNUW (1970–81)"
"WKZA (1993-1995)"
"WTRT (1979&ndash;1980)"
"WJPG-FM (August 13, 1947-1954)"
"WMFM (early 1950s-1975)"
"T91ASK"
"KWBF-FM (2005-2009)"
"WJRX (1990-1993)"
"WAUK-FM (1965–1975)"
"KXCA (1998-2013)"
"KEAR (1978–2005)"
"WTSX (1984-2012)"
"WVFC-LP (2014)"
"KVFX (1989–1997)"
"KFAB-FM (1959–1975)"
"KCMJ (2001–04)"
"WRDX (1996)"
"KIDO (1928-2002)"
"WRKE (1957)"
"WNLT (1981–1984)"
"WSGY (2006-2008)"
"KBEQ (1988-1989)"
"WWOL (1947–1986)"
"WCMF (1993-1997)"
"XEDZ-AM"
"WKZY (1988-1998)"
"WNND (1989–1996)"
"KFMY (1986–1993)"
"KYNU (1996-2005)"
"WHLJ (1997-2012)"
"WPE (1922–23)"
"KBVI (1995-1999)"
"KOOK-FM (1985–1988)"
"KECU (1988-1988)"
"KRGK (1972-1990)"
"WBKA:"
"WFWO (1971-1972)"
"KSKQ (1984&ndash;1992)"
"KZCO (1996-2000)"
"KZRQ (1988–1992)"
"KUBE (1982-2016)"
"KTDO-FM (1986-1990)"
"WYNA (1966–1982)"
"KKRR (2008–2019)"
"2013)"
"KKJY (2000–2008)"
"KXAK (1985–1987)"
"WYXY (2001-2005)"
"WALI (1996-2017)"
"103.9: KZEY-FM (1994-2003)"
"XETOT-AM"
"WCTS (1925)"
"WLOT-FM"
"KCDR (1980-1988)"
"WNJK (2014-Present)"
"CKRD"
"DWCD-FM(1982–1997)"
"CKCO (1922-1949)"
"KBLP (1953-1956)"
"KLIR-FM (1959–1984)"
"WOCR, WOZZ, WOSR"
"KESN (2001-2022)"
"KBEV (1992-1994)"
"WTKS (1983–1987)"
"KAVY (1997-1998)"
"KMYI (1988-1991)"
"KSNE (1986-1988)"
"KSOQ-FM (2003–2017)"
"WKLO (1996-1999)"
"KFML (1956-1982)"
"WIDL (1974 – Nov. 29, 1982)"
"WBZH (2001–02)"
"KIST (1998)"
"WPIT-FM (1948–93)"
"WDAI (1971&ndash;1980)"
"KORC (2011–2017)"
"08)"
"WMYQ (2008-2015)"
"WFEC (1963-1984)"
"KIBH (1948-1969)"
"WJSJ (2003–2016)"
"KMFX (1994–2011)"
"WLFH (1952-2005)"
"WACF (2007-2012)"
"WXMM-LP (2014-2016)"
"Radio Monte-Carlo (1943-1981)"
"WRBZ-LP"
"WYSY (1989-1991)"
"KMSX (2003–2005)"
"KVCM (1977-1986)"
"WWHV (2007-2011, CP)"
"KAJR (2007-2015)"
"WWXT (2006–2017)"
"KBEK-FM (1976-1984)"
"WBZW (1989–2005)"
"KQLZ (1989&ndash;1993)"
"KJQY (1979–95)"
"WLSL (1999-2008)"
"WSEW (1967–1982)"
"2003)"
"KWFM-FM (2001–2003)"
"WPHI-FM (2011–2016)"
"KLAZ (1977–1979)"
"WTSM (2004-2008)"
"WIGL (1987)"
"KISQ (1993-1997)"
"WKAQ: none"
"KFYI(1985–2000)"
"WWDC-FM (1947–1950)"
"KLSY (2006-2014)"
"KWCO (1946-2003)"
"KPTL (2006–2014)"
"KKGJ (1998)"
"WMQQ (1989-1996)"
"W69PH (1941–1943)"
"KTSA-FM (CP, never used on-air)"
"WDOQ (1980–84)"
"WXCR (1997–2000)"
"KCXM (2005–2007)"
"KRRM (1992)"
"KXBT (2007–2009)"
"DKBRN (2018-2019)"
"KKCS-FM (1979-2005)"
"WLRB (2017–2018)"
"WEZI (1989-1989)"
"WEEJ (1976-1996)"
"WAOZ (1994&ndash;96)"
"KGXL (1998)"
"WPLC (1984-1986)"
"WBNI-FM (2007–2021)"
"WQXA (1973–1991)"
"WEZY-FM (1982–1988)"
"WUCR (?-1983)"
"KEZS (1973–75)"
"1988)"
"WZIP (1981–1988)"
"WTHQ (1981–1984)"
"WKNK (1990-2005)"
"2009)"
"KOKL-FM (June 19, 1985 - July 15, 1990)"
"WTRI-FM (1996–2001)"
"KRJB (1977-1986)"
"WMJW (1988-1991)"
"KMCV (1978–81)"
"WZKC (1992–93)"
"WXXW (1994–1998)"
"DZMM-FM (1968–1972)"
"KRCV (1994-1995)"
"WXAX (1983-1988)"
"09)"
"CFCF-FM (1947-1966)"
"KBCP (2010)"
"KXQX (2010-2016)"
"WBZX (1992&ndash;2008)"
"WRWM (2017–2020)"
"WJBW (2001-present)"
"KGNU:"
"WGMM (1989-2005)"
"1992)"
"WYMJ-FM (1983-1994)"
"WOCG"
"WPTN (January–March 2010)"
"KWWS (1987-1989)"
"2000)"
"CFGR (1230 kHz, 1956–1973)"
"KPBC (1999-2003)"
"CKWS-FM (October 1947-1976)"
"KCLQ (1986–1987)"
"WAKY (2007–2014)"
"WBQW (1998–2008)"
"WVEM (1965-1993)"
"KLEU (1985)"
"KGMG (1999–2011)"
"KMSX (1998–2001)"
"WYPA (1991-1992)"
"WUKL (2004-2021)"
"KCPX (1959–1983)"
"KLKY, KWDS"
"KJOY (1956–1989)"
"KZNR (2001-2004)"
"WKEN (2002)"
"KRSA (2015-2017)"
"KLRS (1987–1990)"
"WGTT (1984-2000)"
"WSGG"
"WLBE-FM (1969–1975)"
"WKAK (1982-1999)"
"KDLZ (1985–88)"
"KPTK (2004–2012)"
"KPLY (2001-2005)"
"KJMQ (1999–2002)"
"KHCS (1971–1978)"
"3GL (1930-1990)"
"KNIN-FM (1981-present)"
"WTPG (2004&ndash;07)"
"KBTU (2003-2005)"
"KNTE (1994–1994)"
"WIGS-FM (1967&ndash;1976, 1978&ndash;1988)"
"KPUL-FM (1967–1975)"
"WXLE (1992-1999)"
"KVAN (1939–1959)"
"KBED (1998-2005)"
"60)"
"WCBR-FM (1979-1984)"
"KOBR (1985)"
"WJET-FM (1986-2001)"
"KFSG (1970-2001)"
"KDXX (2002-2003)"
"WTCL (1988–2021)"
"WSPW (1997–1999)"
"WYRS (1990-1992)"
"2011)"
"WAKX (1966-1982)"
"KROW (1997-1998)"
"WLGN-LP (2002)"
"WTDR (1990–1997)"
"WRBN-FM (1978-1988)"
"KXAS-FM (1984–85)"
"WGUS (1958-2003)"
"KEZL (2005-2006)"
"KWOD (2009-2014)"
"KCLX (1992-1995)"
"WVOZ-FM (1983-1994)"
"WMNE (1951-1989)"
"WSOK (1951&ndash;1957)"
"WQHG (1990-2001)"
"WDID (1998-2001)"
"WKOE (2008-2010)"
"KONI, KXIV"
"WYNE (2004-2013)"
"WPEN-FM (1947–1975)"
"WNIO (1995–1999)"
"KJZS (1990–92)"
"KDMI (1961–1980)"
"2008)"
"WLAA (2017-2018)"
"WKLN (1992–2003)"
"WSAC (1955–1984)"
"WLBR-FM (1947-1974)"
"WPAL-FM (1993-2010)"
"KWPN-FM(1988-2007)"
"WKBW (1926–1986)"
"WYNF (2006-2010)"
"WSGR-FM (1974-2018)"
"WFLS (1960-1996)"
"XEKTT-AM (1994&ndash;2005)"
"WSPI (1982–1992)"
"KXPT (1989–1990)"
"WZTT (1984-1994)"
"WGEE-FM (2014-2015)"
"KWIC-FM (-)"
"CHLT (1937-2007)"
"KEJS (1987-2015)"
"WWAZ (1993-1995)"
"WCOM (1965-1985)"
"KGRG"
"WORK (1932–1973)"
"97)"
"KTAW (1982-1987)"
"WPDM-FM (1968-1976)"
"87)"
"KYOR (1984)"
"WPRC (1951-1995)"
"80)"
"W65H (1941-1943)"
"WGNE-FM (1989-2000)"
"KTMY (2008-2009)"
"WHZL-LP (January 12, 2006-November 19, 2010)"
"WIKK (1947&ndash;57)"
"KOMG (1995-2010)"
"WTBZ (1986–2008)"
"WYRX (2006-2007)"
"WQUN (1996-2020)"
"WXLN-FM (1996-2000)"
"KCFM (1955–1980)"
"XEVUC-AM"
"KWYL (2001-2003)"
"WKBV-FM (1960-1976)"
"KRZY (1960-1962)"
"WWGL (2004-2005)"
"WMPW (2011-2015)"
"KBER-FM (1966–74)"
"CKGW (1928-1932)"
"KYXS (1981–1983)"
"CJSB (1982-1994)"
"KFRE (1937-2000)"
"WKVE (1974-1984)"
"1994)"
"WIBU (2001–2004)"
"KBTS-FM (1986-1992)"
"KHEP (2015–2017)"
"WWUB (1992-1993)"
"WXKI"
"KTEA-FM (1964-1966)"
"KCFO-FM (1976-1987)"
"KSOF (1994-1997)"
"KIID (1993–1995)"
"WDBT (2011-2015)"
"WNIC (1954-1968)"
"KLER (1953-1957)"
"KGUD (1963–1973)"
"KBSG-LP (2008-2009)"
"KKWY (2013-2014)"
"KRKX (1983-1988, CP)"
"KSPO"
"WGSM (2006-2009)"
"KJMO (2003–2006)"
"KXED (1992&ndash;1996)"
"1993)"
"WXCF (1972-2012)"
"2001)"
"WKAK (1962-1975)"
"KRTS(1982-1983)"
"KOPE (1988-1999)"
"WAOG (1995)"
"KTWN (1979-1983)"
"KAKQ (1992–1993)"
"KBQQ (2003-2012)"
"WKFX (1990-1997)"
"WKOW-FM (1949-early 1950s)"
"WKPO (1997-2007)"
"WSMA (2001-2002)"
"KVFS (1970–73)"
"WSUX (1995-1998)"
"KQFX (1987–90)"
"WGTC (1940–1965)"
"WCAA (2009)"
"WKOW (1948-1971)"
"WKHW (2017)"
"WNLI (2008–2014)"
"KLVH (1994-1999)"
"KJIM (1987-1990)"
"KBMN (1949-1993)"
"WNTO (2006-2020)"
"WXRK-LP (2015-Present)"
"WCPQ (1978–1999)"
"KTMP (1980-1984)"
"WBAR, WRMX"
"KZLO (1993-1994)"
"WMET-FM (1958–1962)"
"WSHE (2004–2015)"
"WEYE (1981-1984)"
"KSUB-FM (1976–1984)"
"WPDI (2012-2019)"
"KECN (1991-2001)"
"KTGK (1987-1988)"
"WIBF (1960–65)"
"WZBL (2005–2007)"
"KDCR (1967–2021)"
"WKTZ (1986-1987)"
"06)"
"WZNF (1988-2000)"
"KCRA-FM (1947–1968)"
"KVNW (1991–1993)"
"WWRX (February 22, 1992-June 1, 1993)"
"KEZF (1997-1998)"
"630 (1973–1986)"
"KAEK (1993)"
"WSRC (1954-2006)"
"KZNO (2012-2014)"
"KNBQ (1976-1988)"
"WGSS (1996–2009)"
"KFRA-FM(-1985)"
"WTOC-FM (1946–1979)"
"WERI (1949-1999)"
"WNUZ (2012-2019)"
"WTWN (1949–1979)"
"KWDM (1964–1969)"
"WUMX (1991-1995)"
"WKAP (2006–2007)"
"WBBO (2006–2010)"
"CKJD (1968-1987)"
"WFME-FM (2014-2022)"
"WNSY (1984)"
"WXCH (1989-1990)"
"WRLC (1965-1969)"
"WEFS (1988)"
"KTSW"
"WMYB (August 11–30, 2000)"
"WSHK (1990-1998)"
"KDFO-FM (2001–2008)"
"KOWW (1996-1999)"
"1994)"
"WRFR (?-1999)"
"WKSM-FM (1979–1986)"
"WBOZ (1985-1990)"
"WKLS (1989–2012)"
"1998)"
"KUNA (1986–1993, 1994–1997)"
"WLQR (1971–1995)"
"KMRZ (1997–1998)"
"KKAZ (1980-1996)"
"KPAK (2002–2022)"
"WALR (1974&ndash;1987)"
"KWMB (1976–1994)"
"WGMW (1971-1978)"
"WTKO (1956-2005)"
"WKSA (2010–2015)"
"KHTC (2006–09)"
"WKZQ-FM (1983-2008)"
"WAXY (1971–1983)"
"KLDR-FM (1984-1988)"
"KBTR (1961-1973)"
"WPPB (2020)"
"WBRJ (2001–2004)"
"WEOA (1989)"
"WQSH (2011–2019)"
"WATG (1992-2019)"
"WMBN-FM (1967–1994)"
"WNBE (1989-1993)"
"WOGF (2010-2011)"
"WEST-FM (1947-1973)"
"WFHT (2006–2020)"
"1980)"
"WVFA (1991)"
"KCEG (2005–2022)"
"WMIV (1985-1988)"
"KYOU (1948–1984)"
"WNKX (April–December 1987)"
"KCDC (1975 to 2004)"
"WYFX (1996-?)"
"WQLL (1994&ndash;96)"
"WMWM (1964&ndash;74)"
"KBGF (1955–57, April–May 1957)"
"2006"
"WXCR (1994-1989)"
"KKSY (2005-2007)"
"KOEZ-LP (2001-2013)"
"DKLLV (2005-2007)"
"WSVV (1991-1994)"
"KQCM (2011-2014)"
"KRXE (2002-2004)"
"KXBQ-LP (2004-2015)"
"WVAQ (1977-Present)"
"KMRT (1995-1998)"
"WCRJ (1992-1996)"
"KISS (1990&ndash;92)"
"WCHR (2002-2008)"
"WOKO (1983−1984)"
"KNBC (1946–1962)"
"KNBQ (1965–1971)"
"WLEF (1963–1971)"
"WONN-FM (2015-2021)"
"WOXM (2014–2019)"
"2010)"
"KEJJ(1993–1994)"
"WEVD (1927–1981)"
"KLZK (1984–1991)"
"DYXT"
"KCFM (1948-1950)"
"WIDB (1997-1999)"
"KBTP (2016-Present)"
"KEUT (1975–78)"
"WHPH (2006-2018)"
"KZVE (1991-1993)"
"KBUK (1974-1988)"
"WBFG (1982-1993)"
"WAQS (1991&ndash;94)"
"2ZK"
"KQOL (1995–1998)"
"WKZN (2005–20)"
"KNAL (1948-1999; 2002-2014)"
"WGHJ (1960–1963)"
"WIRC (1948-2003)"
"WWMM (1991-1993)"
"KFSH (1985–1995)"
"WALV-FM (2006-2021)"
"WYPD"
"WZJZ (1995-1999)"
"KKGF (1969-1972)"
"WACT-FM (1966–1997)"
"WMTI (2015-2016)"
"WKRI-LP (2014-Present)"
"WERL-FM (1971-1985)"
"KXMG (2005-2009)"
"WPLH (1988–2022)"
"WWVB (2008–2009)"
"KZTQ (2011-2018)"
"WAHP (1994-1995)"
"WSIS (1998-2004)"
"KRLK (1992-1997)"
"WIVR (1994&ndash;1997)"
"DYSA (1965–2021)"
"KBCQ (1987–2006)"
"KARZ (2017-2019)"
"(applies only for the 103.3 and 103.5 frequencies)"
"KLTW (1985–1988)"
"WSPT-FM (1961–1977)"
"KPAT-FM (1962–73)"
"KCIL (1947-1967)"
"KNET-FM (1987)"
"WRDR (1971 &ndash; 1999)"
"WSWW-FM, WKPL"
"WHVF (1953-1966)"
"WCZE (1986&ndash;88)"
"KTOD  (1959-1970)"
"WGTB (1993-1994)"
"KAJZ-FM (2002)"
"KILO (1975-1977)"
"KKDI (1982-1988)"
"KGCU (1926-1956),"
"WCZI (1989-2004)"
"KAVV (1983–Present)"
"WATO-FM (1967-?)"
"KPAL (1986–1996)"
"WXLO (1991–1992)"
"WBVS (1994–1995)"
"WWGN (1983-1989)"
"WBDS (1963-64)"
"WCPO (1935–1966)"
"KWSF (2004–2006)"
"WWWI (1984–1986)"
"KCOK (1946-1987)"
"WRVC (1948&ndash;70)"
"KMZT-FM (2014-2016)"
"KHAN (2011-2013)"
"WSHG (1998–2001)"
"WZYY (1997-2009)"
"WVVE (2002-2016)"
"KZRY-LP (2017–2018)"
"XECK-AM (1954-early 2010s)"
"CIAM (1987-1998)"
"WLFW (1982-1985)"
"WUNI (1963-1984)"
"KNOG (1978–1985)"
"2010)"
"WODZ (1993–1996)"
"WYMV (2000-2011)"
"WUBE-FM (1971-Present)"
"KUSD-FM (1967-1994)"
"WMID-FM (1987-1998)"
"KPTR (2006–2010)"
"WWKZ (1998-2005)"
"WXXF (2002-2003)"
"DWLVO (2004-2007)"
"83)"
"KQTI (1979-1985)"
"KKFN (1987–1990)"
"WOFE-FM (1990-2003)"
"WJCR (1971–1989)"
"WIER (2010–2012)"
"KHRK (2016-2017)"
"KKBB (1988-1994)"
"CJOC (1926-2000)"
"KRUZ (1967-1974)"
"WCSJ (1963–2022)"
"KUAZ:"
"WCOZ (2003-2008)"
"KMXC (1994-2020)"
"DXYX (1978-2002)"
"WLWZ (December 20, 1992- February 5, 1995)"
"KIJZ (2005-2007)"
"WSAI (1923&ndash;85)"
"WGRY (1970-2016)"
"WZTQ (2007-2008)"
"WMPP (1963-1989)"
"WLCG-FM (1997-2002)"
"WDTP (2000–02)"
"WAYI (1998-2004)"
"KZPH (1991-2008)"
"WRRX (1993–98)"
"KKSD (1982-1987)"
"DYMY (1992-2000s)"
"WEUS"
"DXCA (as of 2010)"
"XHMR-FM, XHABC-FM"
"WFAT (1992-2008)"
"WMHS (1997–1998)"
"WAMV (1976-1985)"
"KILO (1941–1973)"
"KMYN (2012–2019)"
"WBEZ-FM (1983&ndash;88)"
"KBOD (1999)"
"WYJY (1985-1991)"
"WZZQ (1995–2000)"
"WKME (1974–1978)"
"1993)"
"KKCA (2015–2021)"
"WEEX-FM (1948-early 1970s)"
"WZOW (1970–1975)"
"WUIN (2003-2011)"
"WFFL (2003-2003)"
"WXWZ (1995–1996)"
"Pure FM (2004–2017)"
"WNHS (1969–1972)"
"WCDJ (1990–93)"
"KECR(1963-1990)"
"WVIL (1988-1990)"
"WIXO-FM (1979-1979)"
"4RR (1932–1994)"
"3CV (1938–1999)"
"WXMG (1981-1984)"
"WSMO (2004-2006)"
"KPTY (1997–2001)"
"KOPO (1969–1977)"
"KJAZ (1959-1994)"
"WWWB (1994–1996)"
"WGNI (1946–1981)"
"WKAL (1946–1988)"
"WLET (1992-1997)"
"DYZD"
"KSOS (1985-1995)"
"WHRJ (2011-2011)"
"KKSY (2007–2012)"
"1983)"
"KRNX (2001-2001)"
"WJZT (2003–2010)"
"KZFM (1944-1947)"
"91)"
"WHNR (1964–74)"
"CIYQ (1977-1990)"
"WEKO (2004-2015)"
"KOH (1928-1994)"
"KWWL (1947-1981)"
"KFMN (1983-1986)"
"WFBJ (1999–2000)"
"WCSD (1976-1986)"
"WADA (1958-1984)"
"WOKO (1925–1983)"
"WHMS (1969–1972)"
"KKLU (1989-1990)"
"WLVW (2007-2011)"
"KBIM (1953–2015)"
"KFCR (1926–1929)"
"""WTUR"" (carrier current callsign, never used by the licensed facility)"
"WKIK (1991–1995)"
"Klasika"
"KLOA-FM (1989–2009)"
"KBBL (1995-2003)"
"KNJZ-FM (1995-1996)"
"WINH (2006-2009)"
"CJRH (1957-1961)"
"WIXM (2002-2006)"
"KZBQ (1981–1995)"
"KWJT (2003-2008)"
"WDXQ-FM (2005-2009)"
"WKLQ (2009–2019)"
"WSHZ (1989–1992)"
"KLES (2006-2017)"
"WKCK-FM (2004-2005)"
"WMCK (1947–1969)"
"WPIG (1981-1984)"
"WYCG (1993-1996, CP)"
"KJME (1989-2004)"
"DKOAD-LP (2020-2021)"
"WXKX (1977–1983)"
"KZVE (1988-1991)"
"KKRH (1995–98)"
"WFOT (1989)"
"As Hit Radio:"
"KKEE (2012-2014; CP)"
"WMMW (1947–2020)"
"WLLK (2001–2005)"
"KISF (1993-1997)"
"KAHU (1984-2003)"
"WSXI (1995-1995)"
"WENJ (2006–2012)"
"CJEZ-FM (1987-2009)"
"KONZ (1990–1997)"
"W51C (1940–43)"
"WYMJ (1995)"
"KCLB (1989-2001)"
"WMDD-FM (1969-1976)"
"WHFS(1983–2005)"
"WYRE-FM (1962–63)"
"KEYN-AM"
"KYTY (1984-1986)"
"WVWA (2004–2005)"
"KCKN (1984–1987)"
"KWRV (1961–1966)"
"KTUZ (2014-2015)"
"KTJX (1993-2000)"
"1995)"
"KBHS (1988-1991)"
"KLLB (1983–1987)"
"KNRJ (2002–2021)"
"WKRX (1966&ndash;74)"
"WMNY (2008–2014)"
"WSGF (1995-1998)"
"KSQR (1994-2005)"
"WLTI (1967–1975)"
"KZEG(1998-2005)"
"WYGC (1984-2002)"
"2015)"
"WBGW (1973–1986)"
"KREA (1993–2000)"
"WCSN (2001&ndash;05)"
"WJOI (1994-1997)"
"KOVO (1939–1976)"
"12)"
"WYNY (1998–2003)"
"KLDZ(1987-1996)"
"WQYK (1988-2004)"
"WHBD (1925–35)"
"WKLX (1979-1986)"
"WDXZ (1999-2004)"
"WLZT (2004&ndash;11)"
"Warm Springs:"
"KSYY (2008-2013)"
"WXLS (1989–1993)"
"WRWB (1994-2007)"
"00)"
"WLOB-FM (1978-1980)"
"W67C (1941–43)"
"WWNZ (2019-2020)"
"WLYZ (1992–1995)"
"CIWV-FM (2000-2011)"
"CHGB (1938-1992)"
"WFAR (1954&ndash;80)"
"KPCO (1968-2009)"
"WHOK-FM (1948-1981)"
"WXOJ (1985-March 14, 1987)"
"WRAK-FM (1944–1980)"
"WTOT-FM (2002–2020)"
"KVPW (2007-2019)"
"KNFX (1994-2008)"
"WWYN (1979-1985)"
"WBCS (1993–96)"
"WAYD (1999–2001)"
"KMAX-FM (2006–07)"
"KFJM-FM (1976-1997)"
"WNBR (1981–1986)"
"KWYD (1987-2005)"
"WHKW (1993&ndash;94)"
"KXTM (1994-2015)"
"KPEN (1957-1968)"
"WXHT (1990-1993)"
"WFIC (1970-Present)"
"WLDI (1992-1995)"
"XEV-AM"
"WGNE(1987–1996)"
"KBLT-LP (2015-2019)"
"XEEBC-AM"
"WBXQ (1982-2007)"
"KPXR (1986–1994)"
"KTRS (1981-1997)"
"WNPT (1951-1993)"
"KORE-FM (1967-1976)"
"WOAM (1994&ndash;1999)"
"XEAU-AM, XEBBC-AM"
"WFBS (1963–1983)"
"WLYJ (2012-2018)"
"WOLC (1976–2015)"
"KZMS (1993-2001)"
"CILA (1979-1992)"
"WKDA (1998&ndash;2000)"
"WSOJ (1994-1999)"
"KRRW (1993-1997)"
"WLRB (1984-2016)"
"KUPL (1976–95)"
"WEEI (1924–94)"
"KBUG (1983–1987)"
"KRUE (1993–2012)"
"WNCM (1993–97)"
"KZTO (1992–1996)"
"WIQA (1981-1982)"
"WFFM (1978-1982)"
"WXJN (1990-2009)"
"CFSR-FM (2001-2005)"
"WPOK-FM (1969&ndash;1984)"
"WFBQ (1924–1925)"
"Classic Hits FM (2014-2020)"
"KKID (1959-1964)"
"WMAN (1922&ndash;30)"
"WSAK:"
"KRJY (2008-2011)"
"WGCK-FM (2009-Present)"
"WQIM (1977-1989)"
"WESO-FM (1968–1979)"
"KDAN (1970-1983)"
"WJJZ (1993&ndash;2006)"
"KMBQ (2008-2011)"
"CKML (1963–1988)"
"WMLG (2015–2017)"
"KAOC (1983-1985)"
"89)"
"KAAM (1978-1994)"
"WJBY (2011-2012)"
"WFAB(1977-1989)"
"WAYZ-FM (2000–2005)"
"WGBH (1951–1953)"
"KFMD (2012)"
"WEOZ (1983-1995)"
"KXTQ-FM (1993–2015)"
"WKJG-FM (1965&ndash;71)"
"KTOP-FM (1960-1976)"
"KHLT-FM (2013-2022)"
"KMTT (1991&ndash;92)"
"KEGK (1999-2001)"
"KZEY (2015–2019)"
"WNJY (1979–1988)"
"WPLC (2009-2012)"
"KVCQ (1995–2003)"
"WBIL (1962-1965)"
"WHFD (1989-2011)"
"XEFM-AM"
"KKSN (2007-2009)"
"CHLS (1950-1997)"
"WALY(1956-1979)"
"KNAI-FM (1975–1978)"
"KAZL (1993-1996)"
"CKMA (1994-2000)"
"WFBZ (1978–1985)"
"KREO (1979-1989)"
"KGRQ (2009-2014)"
"KDLR-FM (1967-1978)"
"WWSW (1931–1982)"
"2003)"
"WWWW-FM (1992&ndash;2000)"
"KAYK (1976–1980)"
"WBJW-FM (1973–89)"
"KPJO (1988-1993)"
"KBUY-FM (1987-1990)"
"WBFM (1953-?)"
"KXTK (1996–2002)"
"WRVH (2002-2009)"
"KQHC (1996–2010)"
"WJMA (1941-1943)"
"WMCJ (1984-2001)"
"WCKT (1989-2003)"
"WWMO (1966–87)"
"WYYW (1997-2006)"
"KEAN, KBBA, KGMM"
"WONO (1999–2003)"
"WSCC (1999-2004)"
"WNED(1993-2012)"
"85)"
"KICE (1973-2000)"
"KAVS (1985–1990)"
"KUKQ (1981-1997)"
"WFGO (2007)"
"WOOZ (1976-1979)"
"KSPT (1995-1998)"
"WKHF (2010-present)"
"KICT (1986-1987)"
"WEAW (1953-1979)"
"WNVA-FM (1969-2017)"
"KTYL (1946–1956)"
"KTLD (1954-1982)"
"WWRM (1972-1982)"
"XERS-AM"
"WMIB (1978–1984)"
"KQBL (2005-2011)"
"KSPO (1964-1983)"
"13)"
"1988–1991)"
"KGHL-FM (1992–1993)"
"KYCR (1988-2015)"
"WMGF (1987–1988)"
"WHGM (1999-2007)"
"WAJM-FM (1961-1974)"
"KBPI (1965–1994)"
"KGDQ (2005-2008)"
"WVKZ-FM (1987-1992)"
"WQNE (1979-1983)"
"2014)"
"WMUF (1980-2011)"
"WHVO:"
"WEKO (1970-2003)"
"2KIX (1988-1994)"
"WKZW (1994&ndash;1997)"
"WHVK (1991-1995)"
"KION (2002-2004)"
"WYAN (1973-1985)"
"WMIN (1936-1954)"
"WAIA (March 26, 2001-July 19, 2012)"
"KWHK (1999-2001)"
"KPLC-FM (1965-1982)"
"WJHO (1940-1997)"
"WULA (1948-2011)"
"WHYE (1957-1966)"
"KAVC (1985–1998)"
"WLDA (2005-2013)"
"WJJJ (1939-1948)"
"WRJM-FM (1987-2008)"
"KEXA (2005-2006)"
"WPVR (1969-2000)"
"WLEE (1999–2016)"
"WWNF (2004-2006)"
"WAEI-FM (2009–2011)"
"Tillamook:"
"WPLV (1996–2015)"
"KKSI (1974-1984)"
"WGAD (1947-2007)"
"KAON (1996-1996)"
"WRWD (2004–2006)"
"83)"
"KSHW (2006-2007)"
"KXTC (1970–81)KJJJ-FM (1981–82)"
"KEZF (2018–2019)"
"WMMZ (1998)"
"KYYK (1987)"
"KCLN-FM (1970-1978)"
"WAVO-FM (1965–1972)"
"West Linn:"
"KCKK (2006–2020)"
"KZDC (1991-1992, CP)"
"WTTP (2005-2007)"
"WLIZ (1988-1990)"
"KUTZ (1993-1996)"
"WIEZ (1972-1982)"
"WGTR (1984-1986)"
"WBOP (1956-1985)"
"WILA (1957–2009)"
"WMTI (1988-1994)"
"WFIA-FM (1974&ndash;79)"
"05)"
"WFUL-FM (1953-1982)"
"KAEV (1994-1995)"
"KCWM (1968-1971)"
"WFAR-FM (1976–1980)"
"WFNV (1990)"
"WBTT (1996-2000)"
"WVFE (1991-1994)"
"KRAM (1989–1990, CP)"
"WGBR-FM (1946–1950)"
"KSJL-FM (1993–1998)"
"WORR (1988-1992)"
"83)"
"KWWW (1948-1993)"
"WQQW (1946&ndash;51)"
"WGPL(1984-1986)"
"KVAN-FM (2007-2010)"
"WCSE (1990-1991)"
