"synonym"
"Dāūdpur"
"* Dorcadion graecum (Waltl, 1838)"
"Genus:"
"Bátorkeszi"
"* Oleidae O'Donoghue, 1926"
"*Nemotelus marginatus (Fabricius, 1775)"
"*Holcocerus putridus (Christoph, 1887)"
"Lloydella fusca (Schrad.) Bres., (1915)"
"Miedziana Góra Commune"
"Plectopylis infralevis Gude, 1908"
"Vasilyevaea mishustinii,"
"* Halomya Billberg, 1820"
"* Odostomia bedequensis Bartsch, 1909"
"* Hoplocris albithorax (Breuning, 1938)"
"Nordlien"
"*Amblostoma tridactylum (Lindl.) Rchb.f. in W.G.Walpers, 1863 (homotypic synonym)"
"*Badera nobilis (Felder and Rogenhofer, 1875)"
"*Copipanolis fasciata"
"Farariana"
"Melania buttikoferi Schepman, 1888"
"*Hypopta vaulogeri meirleirei (Rungs, 1951)"
"* Nitocris abdominalis (Fahraeus, 1872)"
"* Glenea suavis m. decemguttata (Aurivillius) Breuning, 1956)"
"*Paracossus celebensis"
"Erebia reichlini (Herrich-Schäffer, 1860)"
"* Coralliophila madreporarum (G. B. Sowerby I, 1834)"
"Forquilha River"
"*Pholiota albocrenulata (Peck)Sacc.(1887)"
"*Patella radiata (Perry, 1811)"
"* Pleiomerus concinnus"
"Chimadi"
"Wilāyat al-Kharṭūm"
"Jungan"
"*Lasiopoderes pratti (Bethune-Baker, 1906) (preocc. Pseudophyx pratti (Bethune-Baker, 1906))"
"*Eupithecia californiata (Gumppenberg, 1888)"
"* Iberodorcadion mucidum coelloi (Verdugo) Vives, 2000)"
"Oedema blister"
"*Nagia proselytis  (Hampson, 1926)"
"Surihamau"
"* Hemiliostraca distorta ( Pease, 1860 )"
"* Onchidoris bilamellata liturata (f) Beck, H.H. in Bergh, L.S.R., 1878"
"*Margaropus annulatus annulatus (Neumann, 1911)"
"Soochow, Sou-tseu"
"*Eulia aeolozona (Meyrick, 1926)"
"Sclerotium rolfsii var. delphinii (Welch) Boerema & Hamers, (1988)"
"* Ampelita (Xystera) (Emberton, 1990)· accepted, alternate representation"
"* Deliathis superbus (Franz, 1954 (misspelling)"
"*Neoscapteriscus agassizii( (Scudder, 1869)"
"* Oliva (Oliva) vermiculata (Gray, J.E., 1858)"
"Catellibacterium nectariphilum"
"*Amblypodia hewitsoni (Mabille, 1877)"
"* Callimetopus lazarevi (Barševskis, 2015)"
"*Elachista freyi (Staudinger, 1870)"
"* Patella ulyssiponensis deserta (Christiaens, 1973)"
"Chaetoporellus (Bondartsev & Singer ex Singer (1944)"
"*Euchromia scintillans (Butler, 1872)"
"*Jorgensenia (Schaus, 1924) (preocc.)"
"* Physa huonicola Tenison-Woods, 1876"
"*Trepsitypa (Meyrick, 1913)"
"Tarakapuri"
"*Dirades theclata"
"Borzechów Commune"
"* Ocenebra (Takia) siculus (Settepassi, 1970)"
"*Pentapelma (Kieffer, 1921)"
"Little Sarasota Key, Sarasota Key"
"Amisano"
"Alsasua"
"*Tachina intersita (Walker, 1853)"
"* Conizonia allardi (Fairmaire)Peyerimhoff, 1919)"
"* Vexillum cancellarioides (Anton, 1838)"
"Ndek"
"Methylobacterium aquatica"
"Taolagnaro"
"Brachyta prescutellaris (Pic, 1934)"
"* Parascolopsoides (J. L. B. Smith, 1953)"
"*Agrotis raddei (Christoph, 1877)"
"*Tephroclystia perculsaria (C. Swinhoe, 1904)"
"Boletus griseus (Frost (1878)"
"Glažuta (until 1955)"
"*Caenomychus (Lewis, 1893)"
"Takete-Isao Onisu(English Translation Takete-Isao the home of yam producers)"
"Красный Октябрь"
"*Cenopis matsudai"
"*Epiphanis (Schaus, 1913)"
"* Pteropurpura quinquelobata (G. B. Sowerby II, 1879)"
"* Dermomurex (Trialatella) glicksteini (Petuch, 1987)"
"*Argyroides nephelophora (Hampson, 1914)"
"*Recophora insueta (Herrich-Schaffer, 1850)"
"* Helix granosa"
"* Clytosemia kuwayamana (Kano, 1933)"
"*Epagoge orientis (Filipjev, 1962)"
"Kuei-yang, Kweiyang"
"*Melasina frenigera (Meyrick, 1911)"
"Nantis (Mirande, Aguilera & Azpelicueta, 2004)"
"*Samea dignotalis (Walker, 1866)"
"*Orthocabera brunneiceps (Warren, 1893)"
"UN Plaza"
"San Francisco de Peleusí de Azogues"
"Gastrohedyle Rankin, 1979"
"Sacualpa"
"*Grapholitha costana (Duponchel, in Godart, 1836)"
"*Maceda mansueta mansuetana Gaede, mansuetella Gaede and mansuetodes (Gaede, 1938)"
"Aapakudal"
"* Mucronella capillastericola[sic]"
"*Hepsidera (Swinhoe, 1902)"
"*Atella manoro (Ward, 1871)"
"*Apamea mixta ( (Grote, 1881)"
"* Kastnera (Sch.Bip.)"
"(in Kashubian)"
"*Tamaromyia (Mesnil, 1949)"
"Senumstad"
"* Teriomima alberta (Staudinger, 1892)"
"* Traquairaspida (Stensiö 1958)"
"Alinchuvadu"
"*Myelois piazzella (Dyar, 1925)"
"*Lithosia trispilota (Saalmüller, 1880)"
"*Catapodium salzmannii (Boiss.) Boiss.)"
"*Leucochitonea leucola (Hewitson, 1868)"
"*Darna conscita (H. Druce, 1903)"
""
"*Hemonia luteicincta (Holland, 1893)"
"*Cosmosoma protus (Hampson, 1898)"
"*Shurebus genoensis (Leach in White, 1847) (nomen nudum)"
"*Macarostola ophidias (Meyrick, 1907)"
"*Eutephria (lapsus)"
"Bolani"
"Coprinellus plagioporus (Redhead,Vilgalys&Moncalvo(2001)"
"* Tricholamia plagiata (Bates) Breuning, 1944)"
"*Tapinostola procera (Staudinger, 1889)"
"*Mycorrhaphium insulare (Pat.) Maas Geest. (1967)"
"* Onoba striata (J. Adams, 1797) (non da Costa, 1778)"
"Prunum batabanoensis (Espinosa & Ortea, 2002) (incorrect gender ending)"
"*Catagramma mionina acreensis (Dillon, 1948)"
"*Ellipsechinus subangularis( (A. Agassiz, 1872-74)"
"*Myrina burbona (Hewitson, 1878)"
"*Simnia uniplicata ( (G. B. Sowerby II, 1849)"
"*Toxopneustes lividus( (Lamarck, 1816)"
"* Collisella spectrum (Dall, 1891)"
"*Orgyia diemenii (Herrich-Schäffer, 1858)"
"Tanymastix lacunae (Guérin, 1829)"
"Calaphidius watanabei (Takada, 1965)"
"* Giraudia grandidieriana (Bourguignat, 1885)"
"*Nodoza tristis (Schaus, 1896)"
"* Pterolophioides clarkei (Breuning, 1976)"
"*Leucania elymi (Treitschke, 1825)"
"Norbik"
"Anniyur"
"*Agaricus guttatus (Pers. (1793)"
"Arend Beach"
"Udon"
"ادیں شاہ کوٹ"
"*Tinea decui (Capuse & Georgescu, 1977)"
"*Hypsotropa wertheimsteini (Rebel, 1913)"
"*Ambia fuscalis (Dyar, 1914)"
"* Clytus scutellaris (Olivier) Schönherr, 1817"
"*Arbela obliquifasciata (Mell, 1923)"
"Unhghenesditnu"
"*Crepidodera spectabilis (J. Daniel, 1904)"
"* Elaphidion elegans var. hirsutum (Blackwelder, 1946)"
"Stop, Georgia"
"* Risella balteata (Preston, 1908)"
"*Epilecta pulcherrima (Moore, 1867)"
"hatgaon"
"*Gelechia gerronella (Zeller, 1850)"
"Achroomonas"
"* Macrotoma (Zooblax) plagiata (Lameere, 1919)"
"Scaphella benthalis (Dall, 1896)"
"*Zethes ocellata (Moore, 1885)"
"* Iberodorcadion basigranosum (Breuning)"
"Sphaeria personata (Fr., (1818)"
"Patella turtonia (Risso, 1826)"
"*Endagria marmorata (Rambur, 1858)"
"*Retinia amethystana (Peyerimhoff, 1872)"
"*Cerostoma angelicella (Busck, 1903 )"
"* Pogonocherus carinatus (Casey, 1913)"
"*Sphinx anthraciformis (Esper, 1800)"
"*Symmoca ochreopicta (Walsingham, 1901)"
"*Hypolycaena moyambina (Bethune-Baker, 1904)"
"* Chondrus bayeri (L. Pfeiffer, 1858)"
"*Petrova pini (Kuznetzov, 1969)"
"*Firoloida kowalewskyi( Vayssière, 1903)"
"*Evius polyxenus (H. Druce, 1883)"
"* Draconibacteriaceae (Du et al. 2014)"
"*Burdettia (Schaus, 1916)"
"Makara Dev"
"* Roseicyclus Rathgeber et al. 2005"
"* ? Melibe japonica (Eliot, 1913)"
"*Tinea atomosella (Walker, 1863)"
"pallescens (Tutt)"
"* Oocorys sulcata var. indica (E. A. Smith, 1906)"
"* Amphidromus (Syndromus) flavus (L. Pfeiffer, 1861)· accepted, alternate representation"
"* Agelasta lambii (Pascoe, 1866)"
"Geophila uda (Pers.)Quél.(1886)"
"*Grypnus (Desbrochers, 1892)"
"*Nenomoshia poetica (Clarke, 1976)"
"*Castnia evaltheformis (Houlbert, 1917)"
"*Crepidodera femorata (Gyllenhal, 1813)"
"* Murex huttoniae Wright, 1878"
"*Odozana leucota (Hampson, 1901)"
"* Dorsanum (Dorsanum) miran (Bruguière, 1789)"
"*Dysgonia cuneifascia (Hulstaert, 1924)"
"Odontia subferruginea (Rick (1933)"
"*Dicuspiditermes pername (Thakur & Chatterjee, 1971)"
"*Cirphis ciliata"
"*Heliocontia obliquella (Strand, 1912)"
"*Phycis rhenella (Zincken, 1818)"
"Darganata District"
"*Pieris mandela f. impunctata (Breyer, 1939)"
"*Anacampsis cirrhocoma (Meyrick, 1914)"
"* Chicoreus (Chicopinnatus) loebbeckei (Kobelt, 1879)·) accepted, alternate representation"
"* Megalophaedusa (Tyrannophaedusa) (Pilsbry, 1900) · alternate representation"
"Clitocybe puberula (Kuyper (1983)"
"Old Town"
"*Elachista bizonatella (Turati, 1930)"
"*Endotricha lignitalis (Hampson, 1916)"
"* Engina bicolor var. diversicolor (Coen, 1933)"
"Quercus excelsa (Liebm. )"
"Tavastehus"
"*Hysterosia zophocosma (Meyrick, 1931)"
"* Patella vulgata var. depressaspera (de Gregorio, 1884)"
"*Nymphula munakatae (Matsumura, 1917)"
"* Choeromorpha pigra (Aurivillius, 1920 nec Chevrolat, 1843)"
"*Gelechia tephriditella (Herrich-Schäffer, 1854)"
"آيت مايت"
"*Musca oestracea (Linnaeus,1758)"
"Jányok"
"* Carima (Walker, 1862)"
"* Tergipes pulcher (Johnston, 1834)"
"* Thais (Thaisella) lacera (Born, 1778) ((alternate representation))"
"* Ephippigera terrestris Yersin, 1854"
"*Carabus idai (Kleinfeld, 2000)"
"* Pterocera lambis (Linnaeus,1758)"
"* Mordellistena planifrons (Stshegoleva-Barovskaja, 1930)"
"MIND"
"*Geastrum schaefferi (Vittad.(1842)"
"Telomapea (G.F.Laundon (1967)"
"*Areva jubata (Felder, 1875)"
"*Xyleutes piger (Grote,[1866])"
"*Anterethista phosphoropa (Meyrick, 1922)"
"* Viginula dubia"
"* Conops terminatus ( Macquart, 1834 )"
"Geotalea uraniireducens (Shelobolina et al. 2008) Waite et al. 2020)"
"*Paranthrene cingulata (Staudinger, 1871)"
"*Queridomus (Iredale, 1937)"
"* Merica (Sydaphera) gigantea (Y.-C. Lee & T. C. Lan, 2002) · alternate representation"
"Inis Cealtra"
"*Mirificarma formosella"
"* Lienardia polynesiensis (Reeve, 1845)"
"*Pyrausta diniasalis capnosalis (Caradja, 1925)"
"Murex aguayoi (Clench & Perez Farfante, 1945)"
"*Scutella ambigena( Lamarck, 1816)"
"* Cominella cincta (Röding, 1798)"
"*Pleonectusa parallela (Meyrick, 1886)"
"*Ammalo constellata (Dognin, 1909)"
"* Fusus crispus (Gould, 1849)"
"* Zographus oculator m. conjunctus (Téocchi, 1998)"
"Hatra"
"Kungiam"
"Kushneria wuhanese"
"* Abryna (Faustabryna) fausta (Newman, 1842)"
"*Boophilus calcaratus calcaratus (Minning, 1934)"
"Gandorhun, Sierra Leone"
"Juchnowiec Kościelny Commune"
"*Morrisonia infidelis (Grote, 1879)"
"* Tectonatica filosa (Philippi, 1845)"
"*Locastra drucei (Bethune-Baker, 1905)"
"*Nymphidia borealis (Grote & Robinson, 1866)"
"* Neritina (Dostia) porcellana (Linnaeus, 1758)"
"*Isonandra lanceolata var. montana (Thwaites) Thwaites)"
"*Eilema quadrinotata"
"*Tylopilus porphyrosporus (Fr. & Hök)A.H.Sm.&Thiers(1971)"
"* Cerambyx giraffa (Schreiber, 1802)"
"Sevilla"
"Sveti Tomaž (until 1955), San Canziano (Italian)"
"Allenwood"
"Moemaneng"
"* Opsilia bucharica (Breuning, 1943)"
"* Themistonoë humeralis (Waterhouse, 1880)"
"* Chreonoma albicornis (Pascoe, 1867)"
"Brucella papii"
"MPFD, MFD"
"Borough of Rushmoor"
"*Botys dilucidalis (Guérin-Méneville, 1832)"
"*Scutella reticulatus( (Linnaeus, 1758)"
"سحيتا"
"*Longiductus caucasicus (Zagulajev, 1964)"
"Halorubrobacter lusitanus"
"Pysznica Commune"
"* Polygyra hirsuta nana (Richards, 1934) · unaccepted (nomen nudum)"
"*Basistriga flammatra (Denis & Schiffermüller, 1775)"
"*Bazisa (Walker, 1865)"
"*Calyciphora sesamitis"
"*Schinia blanca"
"Pseudomonas azotogensis (Voets and Debacker)"
"Eğiste"
"Ichwan"
"*Anthomyia peregrina (Meigen, 1826)"
"* Xyraeomyia (Frick, 1952)"
"Savedi City"
"Labhuāni"
"*Cymothoe theobene f. lutescens ( Poulton, 1922)"
"* Lentinus conchatus (Bull.)J.Schröt.(1889)"
"*Rothia eriopis ab. carminata (Rothschild, 1896)"
"Parasa chlorophila (Hering, 1935)"
"* Joculator albocinctum (Melvill & Standen, 1896)"
"* Pelargoderus nigroplagiatus (Ritsema, 1898)"
"*Cancer barbatus (Fabricius, 1793)"
"* Cleopatra pirothi (Jickeli, 1881) (junior synonym)"
"Kyzyl Gayrat"
"*Emophthora (lapsus)"
"* Rissoina crebrecostata (Thiele, J., 1930)"
"Goko"
"*Kantou (Aubrév. & Pellegr.)"
"* Pomacea (Pomacea) catamarcensis (G. B. Sowerby III, 1875) · accepted, alternate representation"
"*Xanthophaea ferruginea (Chaudoir, 1873),"
"* Rhytiphora (Saperdopsis) cinnanomea (Pascoe, 1859)"
"*Pseudokamosia plicipennis"
"* Polyacanthia trifolium (Fauvel, 1906)"
"*Protexarnis opisoleuca (Staudinger, 1881)"
"*Capua argentinotata"
"*Ceriomyces albellus (Peck)Murrill(1909)"
"*Caenina (Felder, 1861)"
"Слобода-Рашков"
"*Maurilia fortis (Swinhoe, 1918)"
"*Cladodes dilutiterminella (Gerasimov, 1930)"
"Lorinae Thiele, 1925 sensu Thiele"
"*Neomiresa (Butler)"
"* Coryna (Billberg, 1813)"
"* Chemnitzia abrupta (Bush, 1899)"
"* Acmaea rubiginosa (Suter, 1913)"
"* Galaxias monacha"
"* Retusa dilatata var. minor (Pallary, 1904) (dubious synonym)"
"*Philnora thelxinoa"
"Fusus unicarinatus (Philippi, 1868)"
"*Stenia fervidalis (Zeller, 1852)"
"* Venustas (Venustas) hodgei (Finlay, 1926)"
" Сэдэдэмэ"
"* Planorbis boltenianus Röding, 1798"
"Massilia kyongginella"
"* Murex coccineus (Lesson, 1844)"
"*Sarrothripus stonius (Curtis, 1829)"
"Stenocactus zacatecasensis (A.Berger) A.Berger)"
"*Cimbex betulae var. feminae flavo-maculata Zaddach, 1863"
"Oliva ceramis (Schepman, 1904)"
"* Monochamus ciliatus (Gahan, 1888)"
"*Melitaea afghana (Heydemann, 1954)"
"*Tracheoniscus palustris"
"*Eudarcia (Abchagleris) jaworskii"
"Chaundi"
"*Ilema proleuca (Hampson, 1914)"
"* Stylifer (Cossmann, 1921)"
"Cerithium vandervlerki (van der Vlerk, 1931)"
"*Doththa similata (Moore, 1888)"
"Maków Commune"
"(Nyl.)"
"*Scaeva immarginatus Zetterstedt, 1849"
"Җебел"
"* Corus thoracalis (Jordan) Breuning, 1949) (misspelling)"
"Thenjipalam, Tenhipalam"
"Khandut"
"*Torulopsis methanothermo (Urakami)"
"*Zarfa (Walker, 1869)"
"*Azygophleps mediopallens (D. S. Fletcher, 1968)"
"* Oecophora coffeella (Zeller, 1839)"
"*Idiomorphus hewitsoni (Doumet, 1861)"
"Taganak"
"*Mamestra teligera (Morrison, 1875)"
"The Gateway Of Barak Valley"
"*Pseudothelephora (Lloyd(1919)"
"*Agrotis telifera"
"*Neomusca downsi (Dodge & Aitken, 1968)"
"* Murex kiiensis (Kira, 1959)"
"* Pterolophia leonensis (Breuning, 1938)"
"နမ့်စန်မြို့နယ်"
"*Crypsithyris sladeni (Bradley, 1957)"
"Gryfice Commune"
"Erebia minima (Holtz, 1930)"
"Södra Finlands län"
"*Edriolychnus radians (Regan and Trewavas 1932)"
"Bawan-kot"
"*Pheosia pulcherrima"
"* Sigapatella maculata (Suter, H., 1913)"
"*Myelois restrictella (Zeller, 1881)"
"Ulhówek Commune"
"*Xyleutes plesseni (Schultze, 1925)"
"Cardiacephalaelegans Hendel, 1936"
"*Dichromosoma (Felder, 1874)"
"vidhansabha"
"*Nacoleia pulveralis (Marion, 1954)"
"Playa Jibacoa"
"Ajaokuta, Kogi State."
"* Kentrodoris funebris (Kelaart, 1859)"
"Bacteroides melaninogenicus macacae"
"*Pieris notistriga (Butler & H. Druce, 1872)"
"Hymenochaete croceoferruginea"
"*Botys subsequalis (Herrich-Schaffer, 1851)"
"Jamālpur Nankāri"
"*Ochsenheimeria danilevskii (Zagulajev, 1972)"
"Alten-Talvig (historic)"
"*Ectatomma triangulare (Mayr, 1887)"
"Harpeptila (A.N.Diakonoff, 1968)"
"*Trichosilia grisea (Kozhantshikov, 1935)"
"*Crinocraspeda excisa (Wileman, 1910)"
"Mudwal"
"Sirawara"
"*Oxyrhachis gracillima subsp. occidentalis (Gledhill)"
"*Achlyodes minor (Comstock, 1944)"
"*Rhynchonella varians var. smithi Walker MS"
"* Taeniatherum caput-medusae subsp. asper (Simonk.) Melderis)"
"*Cancer lanosus (Rumphius, 1705)"
"* Nautilus fuscus (Crick, 1898)"
"*Charis nemesis (W.H. Edwards, 1871)"
"(Fruhstorfer, 1909)"
"Thiru evvul"
"* Lamia formosa (Olivier, 1792)"
"* Bonellitia cornidei (Altimira, 1978)"
"* Potamonectes elegans (Panzer, 1794)"
"*Polia perquiritata (Morrison, 1875)"
"* Elymus intermedius (M.Bieb.)"
"Piszczac Commune"
"Acuariidae (Seurat, 1913)"
"*Nymphula fluctuosalis (Zeller, 1852)"
"*Euphaga (Guenée, 1865)"
"* Purpura dubia (Krauss, 1848)"
"* Toxotus lateralis Guérin, 1844"
"Jannaram forest"
"Nowa Karczma Commune"
"* Bursa californica (Hinds, 1843)"
"*Gonometa ferox (Kenrick, 1914)"
"Karaichuthu Uvari"
"Zgierz Commune"
"*Syllepta ruralis"
"*Drotus (Sharp, 1877)"
"*Tachardia lacca (Chamberlin, 1923)"
"* Hexaplex (Hexaplex) kusterianus bozzadamii (Franchi, 1990)· accepted, alternate representation"
"* Stanleya smithiana Bourguignat, 1885"
"*Euriphene (Euriphene) splendida"
"*Alophora aurulans (Girschner, 1887)"
"Barnesella viscericola"
"* Lachesis mamillata (Risso, 1826) (dubious synonym)"
"Raciąż Commune"
"* Luetzenia toki ( Habe, 1974 )"
"Barakashipur"
"Fusidium juglandis (Berenger, (1847)"
"Indlovu District"
"*Hewitsonia preussi (Staudinger, 1891)"
"* Herophydrus (Hyphoporus) musicus (Klug), Rico et al. 1990)"
"Ayn az-Zaytun"
"*Sylepta marcidalis (Swinhoe, 1906)"
"*Ledebouriella seseloides (auct.)"
"*Lesiandra (Meyrick, 1914)"
"*Homalisus nigricans (Schilsky, 1888)"
"*Luceriola (Strand, 1920)"
"*Chloroclystis cristigera"
"*Tischeria marginata (Braun, 1972)"
"Wakkaaba"
"*Pseudosimnia translineata (Cate, 1973)"
"*Gelechia ocellinella (Chretien, 1915)"
"Ourofané"
"*Adonisea mexicana"
"പുലയനാർകോട്ട"
"* Onchidium floridanum Dall, 1885"
"Plaza Consistorial"
"Yediyur, Yedeyuru"
"*Ophyx simplicior (Holloway, 1984)"
"* Oliva variabilis (Gray, 1858)"
"تبنت"
"* Turricula emiliae (Schmeltz, 1874) (original combination)"
"Cerovec (until 1980)"
"* Haliangiaceae (Waite et al. 2020)"
"Latouchellidae Golikov & Starobogatov, 1989"
"*Gelechia nigritella (Zeller,[1847])"
"* Natica montacuti Jeffreys, 1867"
"Panchtarni valley"
"*Aegeria lutescens (Mosley, 1896)"
"*Oligostigma ceratucha (Meyrick, 1894)"
"* Turboella conspicuosa[sic](a non-existing name, probably a misspelling (and misidentification) of inconspicua (Alder, 1844))"
"*Perizoma blandiatum"
"Purpura scabra (Schumacher, 1817)"
"* Blepisanis nigerrima (Breuning, 1950 nec)"
"*Teucridium parvifolium var. luxurians (Cheeseman)"
"Arnawai"
"*Botys pterophoralis (Walker, 1866)"
"Zonitoides cookei Pilsbry, 1922"
"* Chicoreus globosus (Emmons, 1858)"
"* Aulica quaesita (Iredale, 1956)"
"*Lyonetia lemniscella (Zeller, 1839)"
"* Helix scarabaeus (Linnaeus, 1758) (original combination)"
"Odontostoechus (Gomes, 1947)"
"Obeliscus (Syrnola) pumilio E. A. Smith, 1890 (basionym)"
"*Remigia triangulata (Walker, 1865)"
"*Nymphula effrenatalis"
"*Eudistylia intermedia Bush, 1905"
"Serpula anguina (Linnaeus, 1758)"
"*Cercopis alni Fallén, 1805"
"* Heteronychus piceum (Burmeister, 1847)"
"* Chalcothea smaragdula Burmeister, 1842"
"*Orcella (Battarra exClem.(1896)"
"Loktanella cinnabarina"
"Ischnocalanus (Bernhard, 1963)"
"* Omphalotropis pfeifferi (Crosse, 1868)"
"Subulina laeocochlis Melvill & Ponsonby, 1896"
"* Epiperipatus brasiliensis vagans (Peck 1975)"
"* Paraglenea velutinofasciata (Pic, 1939)"
"Goenkaatoe"
"Cyclobacterium marinus,"
"* Ascomana eximia (Castle, 1967)"
"Глиное (Russian)"
"Dysgonomonas qibebti"
"*Orthosia infumata (Grote, 1874)"
"Paatha Chowtapalli & Kotha Chowtapalli"
"* Hister splendens Paykull, 1811"
"*Musca silentis (Harris, 1776)"
"Ascochyta ruborum (Lib., (1834)"
"Bulacan"
"*Crambus vigens (Butler, 1879)"
"*Castnia palatinus"
"Stare Pole Commune"
"* Altererythrobacter aquiaestus[sic]"
" Кукуһунда"
"* Eulima angulata ( A. Adams, 1861 )"
"* Obereopsis sylvatica (Hintz, 1916)"
"* Gnathocera amabilis"
"Sujiatuo Town (苏家坨镇)"
"Kensinjia umbrina (Jenkins) J. Reid & C. Booth, (1989)"
"Paoan"
"*Syntomoides quisqualis (Swinhoe, 1894)"
"* Nigilgia nagaii (Arita, 1987)"
"Bronx Community Board 3"
"*Heterographis acrobasella (Rebel, 1927)"
"Oncidium lixii (Labbé, 1934)"
"Sikhottabong"
"*Amphiperas pulchellus (H. Adams, 1873)"
"*Orsidis plagiata (Aurivillius, 1913 (misspelling)"
"*Porcellio dimorphus"
"Cerithium gentile (Bayle, 1880)"
"*Lygropea pasithea (Fawcett, 1916)"
"* Latirus (Polygona) bernadensis (Bullock, 1974) (basionym)"
"*Alcis obliquisigna (Wileman, 1912)"
"Fefana"
"*Agrotis oranaria (A. Bang-Haas, 1906)"
"* Glyphostoma myrakeenae Olsson, A.A., 1964"
"*Noctuomorpha pulchellalis (Staudinger, 1892)"
"*Quadricalcarifera comatus"
"*Peltophora (Meyrick, 1884)"
"* Lampadopsis (Fischer, 1884) ((Justified emendation of Lampasopsis Jousseaume, 1881))"
"* Phallusia atra(  (Lesueur, 1823)"
"* Hemieutreptia (Hada 1974)"
"Virgibacillus kapialis"
"* Corallomyces elegans Berk. & M.A. Curtis (1853)"
"*Polia trimaculosa"
"Manjusharmia caldifontis"
"Tsingtao"
"* Tomichia japonica A. Adams, 1861"
"*Encyclia ramonensis (Rchb.f.)Schltr."
"* Zonabris ceylonica (Pic, 1916)"
"Blastocrithidia culicis (Wallace and Johnson, 1961)"
"*Harpipteryx canariella"
"*Endagria lacertula (Staudinger, 1887)"
"Kailahun, Sierra Leone"
"Phycis recurvella (Zincken, 1818)"
"**✝Pinegia stellaris (Fedonkin, 1980)"
"Dryhill"
"*Sparganothis yumana (Kearfott, 1907)"
"Microvirga texensis,"
"*Pamphila chrysauge (Mabille, 1891)"
"Chota Poobong"
"*Mellicta deione"
"Entralgo (Spanish)"
"*Oxycera longicornis (Dale, 1842)"
"*Asta quadrilinea (Walker, 1864)"
"پنجیڑی"
"Sphaceloma manihoticola (Bitanc. & Jenkins (1951)"
"*Inotica gaesata (Meyrick, 1913)"
"Supraśl Commune"
"Imsasd, Msaad"
"*Desmodium laburnifolium (Poir.) DC."
"* Peristernia scabrosa (Reeve, 1847)"
"*Nepticula poterii (Stainton, 1857)"
"*Crambus sonobei (Marumo, 1936)"
"* Thais muricoides (Blainville, 1832)"
"*Omphalia speirea (Fr.)Quél.[as 'speireus'](1872)"
"* Helix pusilla (Vallot, 1801) · unaccepted (original combination)"
"Sângerei"
"Irumpanam"
"*Dryomyza vetula (Fallén, 1820)"
"حردان"
"* Saperda trimaculata (Kugelann, 1857)"
"Ozerysche"
"Fallotaspis siberica"
"Generic"
"*Senta maritima grisea (Wagner, 1929)"
"*Aemene pallida"
"Spurilla creutzbergi (Er. Marcus & Ev. Marcus, 1970)"
"Buttran Di Kokri"
"*Pterophorus perplexus (Grossbeck, 1917)"
"Oncis stuxbergi (Westerlund, 1883)"
"* Symphyletes decipiens (Pascoe, 1863)"
"Baireddy Palle"
"*Helomyza pallida (Fallén, 1820)"
"*Syntetrernis (Meyrick, 1922)"
"Sonhār, Haji Qasim Sumro"
"* Hypsioma obscurella (Bates)"
"Batorz Commune"
"Kálna"
"* ?Trachystola 4-maculata var. trinotata (Pic, 1925)"
"* Stenomicrodon (Hull, 1937)"
"Bhabat"
"*Apistis (Hübner, 1823)"
"Fusilatirus pauli McGinty, 1955"
"* Oliva (Oliva) erythrostoma (Lamarck, J.B.P.A. de, 1811)"
"* Purpura subturrita (Blainville, 1832)"
"Łęki Szlacheckie Commune"
"*Transtillaspis toledana"
"* Saperda tridentata var. rubronotata (Fitch, 1858)"
"Agallia quadrinotata (Melichar, 1903)"
"*Pelina (Hampson, 1897)"
"*Cimex campestris (Linnaeus, 1758)"
"*Miraja sida (Evans, 1937)"
"*Nepticula subvirescens (Meyrick, 1934)"
"*Bracharthron (Hampson, 1891)"
"*Asteracanthion katherinae( Müller & Troschel, 1842)"
"*Amastus steinbachi (Rothschild, 1909)"
"*Chelaprora (Hampson, 1926)"
"Adina aralioides (Zoll.&Moritzi)Benth.&Hook.f.exB.D.Jacks.)"
"Clavariadelphus truncatus var. lovejoyae (V.L. Wells & Kempton) Corner)"
"Mayville"
"*Lycophotia mendosica (Hampson, 1903)"
"Improvement District No. 13 (Elk Island)"
"* Melania verbecki Brot, 1886 (original combination)"
"*Orobena submundalis (Millière, 1882)"
"*Echinanthus subdepressus( Gray, 1825)"
"Species:"
"Ampullaria fragilis (Lamarck, 1822)"
"* Lyria habei (Okutani, 1979)"
"Ningteh"
"* Murex jatonus (Lamarck, 1816)"
"Aasen herred (historic)"
"*Cisthene eucera (Felder, 1875)"
"*Hypochnicium vellereum (Ellis & Cragin)Parmasto(1968)"
"* Pacourinopsis integrifolia (Cass.)"
"Грахово"
"Stenoderus sinclairi"
"Capital Region"
"*Cymatophora caniplaga (Walker, 1856)"
"Oncidium straelenii (Labbé, 1934)"
"*Megacarcellia (Stackelberg, 1943)"
"*Nepticula latifasciella (Herrich-Schaffer, 1855)"
"*Mycalesis aurivillii (Butler, 1896)"
"*Rivula terrosa (Snellen, 1872)"
"*Setiostoma argyrobasis (Duckworth, 1971)"
"* Muraenesox coniceps (Jordan & Gilbert, 1882)"
"* Arachnopus sectator"
"*Margaropus annulatus microplus (Rohr, 1909 )"
"*Sparganothis scotiana (McDunnough, 1961)"
"Al-Safa"
" Mayade"
"* Phryneta viettei (Villiers, 1957)"
"Voss"
"*Leptura erythroptera (Hagenbach, 1822)"
