<page title>,brand name,compatibility,drive interface,drive interface standard,drive type,drive width,hot swappable,manufacturer,manufacturer part number,manufacturer website address,maximum external data transfer rate,network rj45,package type,product name,product type,rotational speed,storage capacity,wireless lan,64bit processing,audio line in,audio line out,cache,chipset manufacturer,chipset model,color,controller type,depth,displayport,esata,ethernet technology,features,firewireilink,form factor,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,green compliance certificateauthority,green compliant,hdmi,height,hybrid hard drive capacity,hybrid hard drive interface,hyperthreading,keyboard,limited warranty,maximum memory,maximum power supply wattage,memory standard,memory technology,modem,modem rj11,number of mini pci express slots,number of processors installed,number of processors supported,number of total expansion slots,number of total memory slots,number of usb 30 ports,operating system,operating system architecture,optical drive type,optical media supported,package contents,pointing device type,processor core,processor manufacturer,processor model,processor speed,processor type,product line,product model,product series,software included,ssd cache capacity,standard memory,total number of usb ports,vga,vpro technology,weight approximate,width,wireless lan standard,aspect ratio,backlight technology,battery chemistry,battery energy,bluetooth,bluetooth standard,digitizer,direct media interface,display screen technology,display screen type,expansion slot type,finger print reader,focus modes,front camerawebcam,headphonemicrophone combo port,keyboard backlight,keyboard localization,keyboard type,maximum battery run time,maximum turbo speed,memory card reader,memory card supported,microphone,multitouch screen,number of cells,operating system platform,screen mode,screen resolution,screen size,security features,sensor type,solid state drive capacity,solid state drive interface,speakers,touchpad features,touchscreen,wimax,wireless lan manufacturer,wireless lan model,wwan supported,applicationusage,maximum screen size supported,minimum screen size supported,style,error checking,length,memory size,memory speed,number of pins,plating,signal processing,thickness,adjustable display angle,adjustable display height,brightness,certifications standards,contrast ratio,dvi,hdcp supported,horizontal viewing angle,maximum resolution,mount type,number of screens,operating power consumption,platform supported,response time,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,near field communication,webcam,battery capacity,battery rechargeable,battery size,output voltage,packaged quantity,carrying options,case features,durability,hard drive configuration,hard drive interface,hard drive rpm,number of external 525 bays,number of hard drives,number of pci express x16 slots,number of pci express x8 slots,number of pci slots,quickpath interconnect,raid levels,raid supported,remote management,total hard drive capacity,buffer,bus powered,host interface,system requirements,hard drive capacity,number of usb 20 ports,duallayer media supported,memory form factor,number of 35 bays,number of pci express x1 slots,number of total expansion bays,license pricing,license quantity,license type,operating system supported,software name,average seek time,accessibility,additional information,exterior material,clock speed,input voltage,l1 cache,l2 cache,l3 cache,overclocking speed,process technology,processor socket,processor technology,thermal design power,thermal specification,sim size supported,license details,licensing program,graphics controller interface,graphics memory capacity,number of pci express x4 slots,device supported,number of modules,number of msata interfaces,expansion bay type,switchable graphics,flash memory capacity,front camera resolutionwebcam resolution,maximum standby battery time,maximum web surfing battery time,rear camera,rear camera resolution,rear camera video resolution,total number of micro usb ports,cable length,cable type,conductor,connector on first end,connector on second end,analog signal,api supported,bus width,chipset line,digital signal,dual link dvi supported,number of monitors supported,number of stream processors,number of power supplies installed,rack height,keyboardkeypad connectivity technology,keyboardkeypad depth,keyboardkeypad features,keyboardkeypad height,keyboardkeypad host interface,keyboardkeypad width,localization,number of keys,battery size supported,ergonomic fit,movement detection,movement resolution,number of batteries supported,pointing device connectivity technology,pointing device host interface,pointing device wireless technology,scroller type,number of hard drives installed,number of hard drives supported,protocols,frequency,input voltage range,maximum output power,buttons keys,charging capability,connectivity technology,powered usb,card height,ethernet aui,media type supported,network technology,number of network rj45 ports,poe rj45 port,serial port,total number of ports,usb,xjack,headphone,sata pin,output power,number of 25 bays,printed designpatterntexture,gobi supported,number of 2535 bays,number of 525 bays,number of solid state drive installed,number of solid state drive supported,power source,burst frequency,micro hdmi,horizontal frequency,panel technology,standard refresh rate,tilt angle,number of optical drives,adjustable display pivot,builtin devices,color supported,height with stand,offmode power consumption,usb standard,width with stand,depth with stand,number of speakers,number of graphic controllers,number of internal 25 bays,display size supported,display type supported,widescreen,gps,maximum video battery time,media layer supported,sas connector details,total number of sas ports,number of solid state drives,solid state drive configuration,total solid state drive capacity,language supported,keyboardkeypad cable length,flash memory,drive height,mini displayport
"Lenovo Thinkpad 750 Gb 2.5"" External Hard Drive - Usb 3.0 - 5400 Rpm - 8 Mb Buffer - Hot Swappable - (0A65616) - SoftwareCity.ca - Canada",Lenovo,,,,External,2.5 '',Yes,Lenovo Group Limited,0A65616,http : //www.lenovo.com/ca/en,640 MBps ( 5 Gbps ),,,ThinkPad Hard Drive,Hard Drive,5400 rpm,750 GB,,,,,,,,,,4.8 '' ( 122.3 mm ),,,,"256-bit AES Encryption , Shock Resistance , Password Authentication , Wear Resistant , Data at Rest Protection , Auto-lock , Brute Force Self Destruct",,,,,,,"RoHS , REACH",Yes,,0.8 '' ( 19.3 mm ),,,,,3 Year,,,,,,,,,,,,,,,,,ThinkPad Hard DriveQuick Start GuideUSB Y Extension CableTravel Pouch,,,,,,,ThinkPad,,,,,,,,,200 g,3.4 '' ( 86.9 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEULVCCIC-TickBSMIcULFCCICESKCCB,,,,,,,,,"PC , Mac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 MB,Yes,USB 3.0,Hardware : PC compatible computer with USB3.0 or USB2.0 portOperating System ( s ) : Microsoft Windows 7Microsoft Windows XP SP2 or laterMicrosoft Windows VistaMac OS 10.2 or greaterLinux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Ideapad Flex 2-15 15.6"" Touchscreen Led Notebook - Intel Pentium N3530 2.16 Ghz - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd Graphics - Windows 8.1 - 1366 X 768 Display - Bluetooth - (59418213) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,59418213,http : //www.lenovo.com/ca/en,,Yes,,IdeaPad Flex 2-15 Notebook,Notebook,,,Yes,Yes,,,2 MB,,,,,10.5 '' ( 265.9 mm ),,,Gigabit Ethernet,,,,Intel,HD Graphics,Shared,DDR3L SDRAM,EPEAT Silver,Yes,Yes,0.9 '' ( 22.1 mm ),,,No,Yes,,8 GB,,DDR3L-1333/PC3-10600,DDR3L SDRAM,,,,,,,,1.0,Windows 8.1,,DVD-Writer,DVDÂ±R/Â±RW,IdeaPad Flex 2-15 Notebook Lithium Ion Battery AC Adapter,TouchPad,Quad-core ( 4 Core ),Intel,N3530,2.16 GHz,Pentium,IdeaPad,,Flex 2-15,SECURITY AND SUPPORT : Lenovo Companion Lenovo Support McAfee Internet Security ( Trial ) Lenovo Cloud Storage by SugarSync INTERNET SOLUTIONS : IE10 Skype MULTIMEDIA : YouCam Amazon Kindle PRODUCTIVITY : Microsoft Office 2013 ( Trial ) Evernote,,4 GB,3.0,,No,2.31 kg,15 '' ( 382 mm ),IEEE 802.11b/g/n,16 : 9,LED,Lithium Ion ( Li-Ion ),48 Wh,Yes,Bluetooth 4.0,,,,Active Matrix TFT Color LCD,,,,,Yes,Yes,,,6 Hour,,Yes,"Secure Digital ( SD ) , MultiMediaCard ( MMC )",Yes,Yes,4-cell,,HD,1366 x 768,15.6 '',,,,,Yes,Multi-touch Gesture,Yes,,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2200 mAh,,,,,,,,,,,,,,,,,,,,,,,,,500 GB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M83 10am0009ca Desktop Computer - Intel Core I3 I3-4130 3.40 Ghz - Small Form Factor - Business Black - 4 Gb Ram - 500 Gb Hdd - Intel - Windows 7 Professional 64-bit (french) - (10AM0009CA) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10AM0009CA,http : //www.lenovo.com/ca/en,,Yes,,ThinkCenter M83 10AM0009CA Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,3 MB,Intel,Q85 Express,Business Black,Serial ATA/600,14.8 '' ( 374.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,,Small Form Factor,Intel,HD Graphics 4400,Shared,DDR3 SDRAM,"ULE Gold , GREENGUARD , RoHS",Yes,,4 '' ( 102.1 mm ),,,Yes,Yes,3 Year,32 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,1.0,1.0,3.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro ( French ),64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCenter M83 10AM0009CA Desktop ComputerUSB KeyboardUSB MouseWindows 8 Pro License MediaFloor Stand,Mouse,Dual-core ( 2 Core ),Intel,i3-4130,3.40 GHz,Core i3,ThinkCentre,10AM0009CA,M83,,,4 GB,8.0,Yes,No,7.80 kg,13.3 '' ( 338.1 mm ),,,,,,No,,,5 GT/s,,,,,,,,,French,Physical Keyboard,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,Serial ATA/600,7200.0,1.0,,2.0,,,,,,,500 GB,,,,,,4.0,Yes,DIMM,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M78 10br0001us Desktop Computer - Amd A-series A6-5400b 3.60 Ghz - Tower - Business Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Amd Radeon Hd 7540d - Windows 7 Professional 64-bit - (10BR0001US) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10BR0001US,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M78 10BR0001US Desktop Computer,Desktop Computer,,,No,,Yes,Yes,1 MB,AMD,A75,Business Black,Serial ATA/600,17.4 '' ( 442 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Tower,AMD,Radeon HD 7540D,Shared,DDR3 SDRAM,RoHS,Yes,Yes,16.3 '' ( 414 mm ),,,,Yes,3 Year,32 GB,280 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,,1.0,1.0,4.0,4.0,4.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCentre M78 10BR0001US Desktop Computer Keyboard Mouse Windows 8 Pro License Media,Mouse,Dual-core ( 2 Core ),AMD,A6-5400B,3.60 GHz,A-Series,ThinkCentre,10BR0001US,M78,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility ThinkVantage Device Experience ThinkVantage AutoLock Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Evernote Microsoft Office ( preloaded purchase a product key to activate ) Cyberlink Power2Go Cyberlink PowerProducer Nitro Pro,,4 GB,10.0,Yes,,12.50 kg,6.9 '' ( 175.3 mm ),,,,,,,,,,,,,,,,,,,,,3.80 GHz,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,2.0,,1.0,,2.0,,"0 , 1",Yes,,500 GB,,,,,,6.0,Yes,DIMM,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkcentre M93p 10a9000sus Desktop Computer - Intel Core I5 I5-4570 3.20 Ghz - Small Form Factor - Business Black - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Intel Hd Graphics 4600 - Windows 7 Professional 64-bit - (10A9000SUS) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,10A9000SUS,http : //www.lenovo.com/ca/en,,Yes,,ThinkCentre M93p 10A9000SUS Desktop Computer,Desktop Computer,,,No,Yes,Yes,Yes,6 MB,Intel,Q87 Express,Business Black,Serial ATA/600,14.8 '' ( 374.9 mm ),Yes,No,Gigabit Ethernet,Security Slot,No,Small Form Factor,Intel,HD Graphics 4600,Shared,DDR3 SDRAM,"EPEAT Gold , ENERGY STAR 5.2 , ULE Gold , GREENGUARD , RoHS",Yes,,4 '' ( 102.1 mm ),,,,Yes,3 Year,32 GB,240 W,DDR3-1600/PC3-12800,DDR3 SDRAM,No,No,,1.0,1.0,4.0,4.0,6.0,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,DVD-Writer,DVD-RAM/Â±R/Â±RW,ThinkCentre M93p 10A9000SUS Desktop Computer Keyboard Mouse Floor Stand Windows 8 Pro License Media,Mouse,Quad-core ( 4 Core ),Intel,i5-4570,3.20 GHz,Core i5,ThinkCentre,10A9000SUS,M93p,ThinkVantage Product Recovery ThinkVantage System Update ThinkVantage Communication Utility Desktop Power Manager View Management Utility Lenovo Cloud Storage by SugarSync Lenovo Solution Center Lenovo Message Center Plus Norton Internet Security ( 30 days of virus definitions ) Adobe Reader Skype Microsoft Office Preloaded ( purchase a product key to activate ) Cyberlink PowerDVD Cyberlink Power2Go Cyberlink PowerProducer Evernote Intel AppUp Intel Small Business Advantage Nitro Pro,,4 GB,8.0,Yes,Yes,7.80 kg,13.3 '' ( 338.1 mm ),,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,1.0,,2.0,,1.0,,"0 , 1",Yes,,500 GB,,,,,,2.0,Yes,,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Microsoft Windows Server 2012 Remote Desktop Services - License - 5 User Cal - Oem - Pc - (0C19610) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0C19610,http : //www.lenovo.com/ca/en,,,,Microsoft Windows Server 2012 Remote Desktop Services,Software Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEM,5 User CAL,License,Windows,Microsoft Windows Server 2012 Remote Desktop Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Canvio Connect 1 Tb External Hard Drive - Usb 3.0 - 5400 Rpm - 8 Mb Buffer - Portable - Silver - 1 Pack - (HDTC710XS3A1) - SoftwareCity.ca - Canada,Toshiba,,,,External,,,Toshiba,HDTC710XS3A1,http : //www.toshiba.ca,640 MBps ( 5 Gbps ),,,Canvio Connect Hard Drive,Hard Drive,5400 rpm,1 TB,,,,,,,,Silver,,4.4 '' ( 111 mm ),,,,"Password Protection , 256-bit AES Encryption",,Portable,,,,,,,,0.6 '' ( 15 mm ),,,,,2 Year,,,,,,,,,,,,,,,,,Canvio Connect Hard Drive USB 3.0 Cable ( works with USB 2.0 ) Quick Start Guide,,,,,,,Canvio Connect,,,NTI Backup Now EZ Cloud Backup,,,,,,229.9 g,3.1 '' ( 79 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mac , PC",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8 MB,Yes,USB 3.0,Available USB 2.0 or USB 3.0 Port Operating System ( s ) : Windows 8 Windows 7 Windows XP Mac OS X Snow Leopard ( 10.6.6 or above ) Mac OS X Lion Mac OS X Mountain Lion,,,,,,,,,,,,,12 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkpad Business Case - Top-loading - Nylon - Black - (43R2476) - SoftwareCity.ca - Canada,Lenovo,Lenovo - ThinkPad 15.4 '' Display Screen,,,,,,Lenovo Group Limited,43R2476,http : //www.lenovo.com/ca/en,,,,ThinkPad Business Case,Carrying Case,,,,,,,,,,Black,,5.1 '' ( 130.3 mm ),,,,,,,,,,,,,,13.3 '' ( 336.6 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40 kg,16.5 '' ( 419.1 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notebook,15.4 '',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top Loading,Slim file areaLuggage handle attachment,Nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Xeon E5-2407 V2 Quad-core (4 Core) 2.40 Ghz Processor Upgrade - Socket Fclga1356 - 1 Mb - 10 Mb Cache - 6.40 Gt/s Qpi - 5 Gt/s Dmi - Yes - 2.40 Ghz Overclocking Speed - 22 Nm - 80 W - 168.8Â°f (76Â°c) - 1.3 V Dc - (0C19542) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,0C19542,http : //www.lenovo.com/ca/en,,,,Xeon Quad-core E5-2407 v2 2.4GHz Server Processor Upgrade,Processor Upgrade,,,,Yes,,,,,,,,1.7 '' ( 42.5 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quad-core ( 4 Core ),Intel,,,,Xeon,E5-2407 v2,E5-2400,,,,,,,,1.8 '' ( 45 mm ),,,,,,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,6.40 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,2.40 GHz,1.3 V DC,256 KB,1 MB,10 MB,2.40 GHz,22 nm,Socket FCLGA1356,"Virtualization Technology , Demand Based Switching , Trusted Execution Technology , Extended Memory 64 Technology , Enhanced SpeedStep Technology , Thermal Monitoring Technology",80 W,168.8Â°F ( 76Â°C ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Thinkpad X1 Carbon 20a70033us 14"" Led (in-plane Switching (ips) Technology) Ultrabook - Intel Core I5 I5-4300u 1.90 Ghz - Black - 8 Gb Ram - 256 Gb Ssd - Intel Hd 4400 - Windows 7 Professional 64-bit - 2560 X 1440 Display - Bluetooth - (20A70033US) - SoftwareCity.ca - Canada",Lenovo,,,,,,,Lenovo Group Limited,20A70033US,http : //www.lenovo.com/ca/en,,,,ThinkPad X1 Carbon 20A70033US Ultrabook,Ultrabook,,,Yes,Yes,,,3 MB,Intel,,Black,,8.9 '' ( 226.6 mm ),Yes,,Ethernet,,,,Intel,HD 4400,Shared,DDR3L SDRAM,"ENERGY STAR 6.0 , RoHS",Yes,Yes,0.7 '' ( 17.8 mm ),,,Yes,Yes,3 Year,,65 W,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,,,,,2.0,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,No,,ThinkPad X1 Carbon 20A70033US Ultrabook AC Adapter Windows 8.1 Pro ( 64-bit ) License Media,"TouchPad , Trackpoint",Dual-core ( 2 Core ),Intel,i5-4300U,1.90 GHz,Core i5,ThinkPad,20A70033US,X1 Carbon,Lenovo Solution Center ThinkVantage Product Recovery Rescue and Recovery ThinkVantage System Update PC Device Stage Adobe Reader Nitro Pro Evernote Microsoft Office Preloaded ( purchase a product key to activate ) Norton Internet Security ( 30 days of virus definitions ),,8 GB,2.0,,Yes,1.28 kg,13 '' ( 331 mm ),IEEE 802.11ac,16 : 9,LED,Lithium Polymer ( Li-Polymer ),45 Wh,Yes,Bluetooth 4.0,,5 GT/s,In-plane Switching ( IPS ) Technology,Active Matrix TFT Color LCD,,Yes,,,Yes,Yes,,,8.70 Hour,2.90 GHz,No,,Yes,,8-cell,,WQHD,2560 x 1440,14 '',"Power-on Password Hard Disk Password Supervisor Password Security Keyhole Trusted Platform Module , TCG 1.2-compliant",,256 GB,M.2,Yes,Multi-touch Gesture,No,,Intel,Dual Band Wireless-AC 7260,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Microsoft Windows Server 2012 R2 Datacenter Edition - License - 2 Cpu - Oem - Reseller Option Kit (rok) - Pc - (4XI0E51562) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,4XI0E51562,http : //www.lenovo.com/ca/en,,,,Microsoft Windows Server 2012 R2 Datacenter Edition,Software Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OEM,2 CPU,License,Windows,Microsoft Windows Server 2012 R2 Datacenter Edition,,,,,,,,,,,,,,,,,BIOS-locked ( Lenovo ),Reseller Option Kit ( ROK ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkserver 8gb Ddr3-1600mhz - 8 Gb - Ddr3 Sdram - 1600 Mhz Ddr3-1600/pc3-12800 - Ecc - Registered - 240-pin - Dimm - (0A89482) - SoftwareCity.ca - Canada,Lenovo,ThinkServer RD330ThinkServer RD430ThinkServer RD530ThinkServer RD630,,,,,,Lenovo Group Limited,0A89482,http : //www.lenovo.com/ca/en,,,,ThinkServer 8GB DDR3-1600MHz,RAM Module,,,,,,,,,,,,,,,,,,DIMM,,,,,"RoHS , WEEE",Yes,,,,,,,1 Year,,,DDR3-1600/PC3-12800,DDR3 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,1.2 '' ( 30.5 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC,5.3 '' ( 133.4 mm ),8 GB,1600 MHz,240-pin,Gold Plated,Registered,0.2 '' ( 4 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkstation 8gb 2rx8 Pc3-14900e 1.5v 4gbit Ddr3-1866 Ecc-udimm - 8 Gb - Ddr3 Sdram - 1866 Mhz Ddr3-1866/pc3-14900 - 1.50 V - Ecc - Unbuffered - Dimm - (4X70G00093) - SoftwareCity.ca - Canada,Lenovo,Lenovo ThinkStation Workstations : C30 S30 D30,,,,,,Lenovo Group Limited,4X70G00093,http : //www.lenovo.com/ca/en,,,,ThinkStation 8GB 2Rx8 PC3-14900E 1.5V 4Gbit DDR3-1866 ECC-UDIMM,RAM Module,,,,,,,,,,,,,,,,,,DIMM,,,,,,,,,,,,,3 Year,,,DDR3-1866/PC3-14900,DDR3 SDRAM,,,,,,,,,,,,,ThinkStation 8GB 2Rx8 PC3-14900E 1.5V 4Gbit DDR3-1866 ECC-UDIMM Warranty Flyer,,,,,,,,,,,,,,,,18.1 g,1.2 '' ( 30 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC,5.3 '' ( 135 mm ),8 GB,1866 MHz,,,Unbuffered,99.2 mil ( 2.52 mm ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkstation S30 4352g5f Tower Workstation - 1 X Intel Xeon E5-1607 3 Ghz - 4 Gb Ram - 500 Gb Hdd - Dvd-writer - Nvidia Quadro K600 1 Gb Graphics - Windows 7 Professional 64-bit (french) - French Keyboard - (4352G5F) - SoftwareCity.ca - Canada,Lenovo,,,,,,,Lenovo Group Limited,4352G5F,http : //www.lenovo.com/ca/en,,Yes,,ThinkStation S30 ( 4352-G5F ),Workstation,,,,Yes,Yes,Yes,10 MB,Intel,C602,Raven Black,Serial ATA/600,18.1 '' ( 460 mm ),Yes,,Gigabit Ethernet,,,Tower,NVIDIA,Quadro K600,,,"GREENGUARD , RoHS",Yes,,18.8 '' ( 478 mm ),,,No,Yes,,,610 W,,DDR3 SDRAM,,,,1.0,1.0,5.0,8.0,4.0,Windows 7 Professional ( French ),64-bit,DVD-Writer,DVDÂ±R/Â±RW,ThinkStation S30 ( 4352-G5F ) Keyboard Mouse,Mouse,Quad-core ( 4 Core ),Intel,E5-1607,3 GHz,Xeon,ThinkStation,4352G5F,S30,,,4 GB,12.0,,,17.50 kg,6.9 '' ( 175 mm ),,,,,,,,,,,,,,,,,,French,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISV Certified,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Serial ATA/600,7200.0,2.0,,3.0,,1.0,,"0 , 1 , 5",Yes,,500 GB,,,,,,8.0,,,4.0,,6.0,,,,,,,,,,,"110 V AC , 220 V AC",,,,,,,,,,,,,PCI Express x16,1 GB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
