<page title>,accessories included,battery life,battery type,card reader type,connector type,graphics card,hard drive size,laptop screen size,model no,multi media drive,network connection,operating system,platform,primary color,processor brand,processor speed,processor type,product in inches l x w x h,resolution,screen type,shipping weight in pounds,store information not available,system ram,walmart no,bus speed,maximum memory expansion,here,condition,monitor size,multi pack indicator,multimedia drive
"Purchase the Dell 755 Desktop PC, 4GB Memory, 1TB Hard Drive at an always low price from Walmart.com. Save money. Live better.",,,Alkaline,,,,1 TB,,755,,,Windows 7 Home Premium 32-bit,,Black,,,Intel Core 2 Duo Processor,17.3 x 16.3 x 7.3,,,30.0,Please visit your local store to see if this item is in stock .,4 GB,552088731,,,,,N/A,No,DVD-ROM Drive
"Dell 15.6"" Inspiron Laptop, Silver - Walmart.com","Power Cord , Battery",,Lithium Ion,8-in-1 Digital Media Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics 4400,1 TB,15.6 inch,i15RMT-10002sLV,DVD Drive,10/100 Fast Ethernet & 802.11n Wireless LAN,Windows 8.1,PC,Silver,Intel,3.0 GHz,Intel Core i7-4500U Processor,14.8 x 10.2 x 1.1,1366 x 768,"LED Backlight , HD Truelife Touchscreen Display",8.31,Please visit your local store to see if this item is in stock .,8 GB,552937101,,,,,,,
Dell inspiron 3847 desktop PC with Intel core i5-4460 processor - Walmart.com,,,Does Not Contain a Battery,,,,1TB,,i3847-6927BK,,,Windows 8.1 64-bit,,Black,,,Intel Core i5-4460 Processor,6.89 x 17.32 x 14.45,,,35.71,Please visit your local store to see if this item is in stock .,8 GB,552728148,,,,,24 '',No,Tray-loading DVD Drive
"iBUYPOWER Black Gamer Power PC,WA550B,8GB Memory - Walmart.com",,,Lithium Ion,,,,1TB,,848604005997,,,Windows 8.1 Home Premium 64-bit,,Black,,,AMD FX-4130 Quad-Core Processor,19.5 x 8.1 x 18.5,,,30.0,Please visit your local store to see if this item is in stock .,8 GB,551296881,,,,,N/A,No,24x DVDÃÂ±R/RW Double-Layer Drive
"iBUYPOWER black 17.3"" gaming laptop, Valkyrie CZ-27 WA949 - Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( Memory Stick ) , 1 x ( xD Picture Card )","2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 3 x USB 3.0 , 1 x VGA",AMD Radeon R9 M290X with 2GB of dedicated system memory,750 GB,17.3 inch,848604011097,8x Dual Format DVD±R/±RW & 16x CD-R/RW Combo Drive,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,2.40 GHz,Intel Core i7-4800MQ Mobile Processor,16.9 x 11.3 x 2.2,1920 x 1080,"LED Backlight , Full HD Display",6.9,Please visit your local store to see if this item is in stock .,8 GB,552481039,,,,,,,
"Acer Aspire 14"" Laptop PC - Walmart.com","Power Cord , Battery",8 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 3.0",Intel HD Graphics 4000,20 GB,14.0 inch,NX.M3WAA.007,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8 64-bit,PC,Silver,Intel,1.80 GHz,Intel Dual-Core i5-3337U Processor,19.7 x 12.5 x 2.5,1366 x 768,"LED Backlight , HD Touchscreen Display",7.15,Please visit your local store to see if this item is in stock .,6 GB,552210564,,,,,,,
Dell Inspiron 3043 touchscreen desktop PC with intel pentium N3530 processor - Walmart.com,,,Does Not Contain a Battery,,,,500GB,,i3043-5000BLK,,,Windows 8.1 64-bit,,Black,,,Intel Pentium N3530 Processor,19.27 x 12.31 x 1.05,1600 x 900,,13.55,Please visit your local store to see if this item is in stock .,4 GB,552753260,,,,,19.5 '',No,
"Dell Silver 17.3"" Alienware 17 Laptop PC with Intel Core i7-4910MQ Quad-Core Processor, 32GB Memory, 2TB Hard Drive and Windows 7 Home Premium: Computers : Walmart.com","Power Cord , Battery",,Lithium Ion,9-in-1 card reader,"3 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Mini-DisplayPort , 4 x USB 3.0",NVIDIA GeForce GTX 880M with 8GB of dedicated system memory,2TB,17.3 inch,ALW17-15306sLV,Slot-loading Dual-Layer Blu-ray Reader,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,Intel,4.10 GHz,Intel Core i7-4910MQ Quad-Core Processor,16.22 x 23.03 x 4.76,1920 x 1080,"LED Backlight , AntiGlare Full HD Display",8.47,Please visit your local store to see if this item is in stock .,32 GB,552812068,,,,,,,
"HP DC5800 Desktop PC with Intel Dual Core Processor, Black - Walmart.com",,,Lithium Primary,,,,250GB,,DC5800 SFF,,,Windows 7 Professional 64-bit,,Silver,,,Intel Dual-Core Processor,13.5 x 4.5 x 15.5,,,25.0,Please visit your local store to see if this item is in stock .,4 GB,552988612,,,,,N/A,No,DVD-ROM Drive
"Dell Refurbished Optiplex 320 Desktop PC with Intel Dual-Core Processor, 2GB Memory, 160GB Hard Drive and Windows 7 Home Premium (Monitor Not Included): Computers : Walmart.com",,,Does Not Contain a Battery,,,,160GB,,320DT,,,Windows 7 Home Premium 32-bit,,Silver,,,Intel Dual-Core Processor,17.3 x 7.3 x 16.3,,,30.0,Please visit your local store to see if this item is in stock .,2 GB,552714226,,,,,N/A,No,DVD-CDRW Combo
HP Refurbished Desktop 110 243w - Walmart.com,,,Does Not Contain a Battery,,,,1TB,,110-243w-Refurb,,,Windows 8.1,,Black,,,AMD Quad-Core A4-5000 Accelerated Processor,15.14 x 6.5 x 14.33,,,18.13,Please visit your local store to see if this item is in stock .,8 GB,552890215,,,,,Monitor Not Included,No,SuperMulti DVD Burner
"HP pavilion touchsmart laptop, 15-p020us, natural silver - Walmart.com","Power Cord , Battery",6 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics 4400,750 GB,15.6 inch,HP Pavilion 15-P020Us,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,Intel,"1.70 GHz , with a Max Turbo Speed of 2.70 GHz",Intel Core i5-4210U Processor,10.24 x 15.14 x 0.99,1366 x 768,"LED Backlight , HD Brightview Touchscreen Display",5.93,Please visit your local store to see if this item is in stock .,6 GB,552728126,,,,,,,
Dell Refurbished Intel Core 2 Duo Processor Laptop PC - Walmart.com,"Power cord , 6-cell Lithium Ion , Quick Start Guide",,Lithium Ion,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD Graphics,160 GB,14.0 inch,E6400,DVD-RW Drive,"10/100/1000 Gigabit Ethernet , 802.11a/g Wireless LAN",Windows 7 Professional 64-bit,PC,Black,Intel,1.40 GHz,Intel Core 2 Duo Processor,13.1 x 9.4 x 1.3,,WXGA Display,10.0,Please visit your local store to see if this item is in stock .,4 GB,550938581,,8 GB,,Refurbished,,,
"HP EliteBook 8440p Laptop PC 14"", Silver - Walmart.com","Power cord , 6-cell Lithium Ion , Quick Start Guide",,Lithium Ion,Digital Media Card Reader,"1 x DC-in , 1 x DisplayPort , 1 x Docking Connector , 1 x eSATA/USB 2.0 Combo , 1 x Ethernet , 1 x FireWire , 1 x Headphone , 1 x Microphone , 1 x Phone Modem , 1 x Secondary Battery Connector , 3 x USB 2.0 , 1 x VGA",Integrated NVIDIA NVS 3100M Graphics,250 GB,14.0 inch,8440P,DVD-RW Drive,"10/100/1000 Gigabit Ethernet , 802.11a/b/g/n Wireless LAN",Windows 7 Professional 64-bit,PC,Silver,Intel,1.80 GHz,Intel Core i5 Processor,13.21 x 9.3 x 1.23,1600 x 900,"LED Backlight , HD TruBrite Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551220935,1333MHz,8 GB,,Refurbished,,,
"HP ENVY TouchSmart Laptop PC with Intel Core i5 4200M Processor, 17-j017cl - Walmart.com","Power Cord , Battery",5 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 4 x USB 3.0",Intel HD Graphics 4600 with 1792MB of dedicated system memory,750 GB,17.3 inch,E9G80UAR # ABA,SuperMulti DVD Burner,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8,PC,Silver,Intel,"2.50 GHz , with a Max Turbo Speed of 3.10 GHz",Intel Core i5-4200M Processor,23.3 x 13.6 x 3.1,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",9.05,Please visit your local store to see if this item is in stock .,8 GB,553028492,,16 GB,,,,,
"HP 15.6"" Laptop with Intel Celeron N2830 Processor, 15-f059wm - Walmart.com","Power Cord , Sleeve , Mouse , Battery , USB Flash Drive",4 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Intel HD Graphics,500 GB,15.6 inch,15-f059wm,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Black,Intel,"2.16 GHz , with a Max Turbo Speed of 2.41 GHz",Intel Celeron N2830 Processor,10.16 x 15.18 x 0.97,1366 x 768,"LED Backlight , HD BrightView Display",7.9,Please visit your local store to see if this item is in stock .,4 GB,552887057,,,,,,,
"Asus Black 17.3"" G750JX-DB71 Linux Ubuntu Laptop - Walmart.com","Power Cord , Battery",7 hours,Lithium Ion,"2-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics,320 GB,17.3 inch,ASUS G750JX,,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Linux Ubuntu,Linux,Black,Intel,1.10 GHz,Intel Celeron 847 Processor,17.3 x 12.5 x 2.0,1366 x 768,"LED Backlight , HD Display",13.65,Please visit your local store to see if this item is in stock .,2 GB,551936837,,,,,,,
Dell Refurbished GX755 Small Form Factor Desktop PC - Walmart.com,,,Lithium Ion,,,,750GB,,GX755,,,Windows 7 Professional 32-bit,,Black,,,Intel Core 2 Duo Processor,13.4 x 12.3 x 3.6,,,27.0,Please visit your local store to see if this item is in stock .,4 GB,552088504,,,,,N/A,No,DVD-RW Drive
"Acer 15.6"" Aspire Laptop, V5-561P-6869, Black - Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,500 GB,15.6 inch,NX.MKBAA.007,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.60 GHz,Intel Core i5-4200U Dual-Core Processor,15.0 x 10.1 x 1.0,1366 x 768,"LED Backlight , HD Touchscreen Display",7.0,Please visit your local store to see if this item is in stock .,4 GB,552790138,,16 GB,,,,,
Lenovo Ultrabook ThinkPad X1 Carbon 20A7002JUS Laptop - Walmart.com,"Power Cord , Battery",8 hours 42 minutes,Lithium Ion,,"1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 3.0",Intel HD Graphics 4400,180 GB,14.0 inch,20A7002JUS,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Core i5-4300U Dual-Core Processor,15.0 x 12.5 x 5.3,1600 x 900,"LED Backlight , HD+ Display",5.7,Please visit your local store to see if this item is in stock .,4 GB,552543686,2500MHz,,),,,,
"HP Natural Silver 17.3"" Envy 17-J140US Laptop PC with Intel Core i7-4710MQ Processor, 12GB Memory, Touchscreen, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",4 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 4 x USB 3.0",Intel HD Graphics 4600 with 1792MB of dedicated system memory,1 TB,17.3 inch,HP Envy 17-J140US,SuperMulti DVD Burner,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1 64-bit,PC,Silver,Intel,"2.50 GHz , with a Max Turbo Speed of 3.50 GHz",Intel Core i7-4710MQ Processor,10.83 x 16.38 x 1.16,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",7.07,Please visit your local store to see if this item is in stock .,12 GB,553124248,,16 GB,,,,,
Dell Refurbished Laptop - Walmart.com,"Power Cord , Battery",,Lithium Ion,,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 4 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD Graphics,160 GB,14 '',E6400,DVD-RW,10/100/1000 Gigabit Ethernet & 802.11a/g Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,2.53 GHz,Intel Core 2 Duo Processor,13.1 x 9.4 x 1.3,,LCD,10.0,Please visit your local store to see if this item is in stock .,2 GB,550898375,,8GB RAM,,Refurbished,,,
"HP 6930P Laptop, Silver 14"" - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Primary,1 x SD Card Reader,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 3 x USB 2.0 , 1 x VGA",Integrated Mobile Intel GMA 4500M HD,160 GB,14.0 inch,6930P,DVD-RW Drive,10/100/1000 Gigabit Ethernet & Wireless LAN,Windows 7 Professional 32-bit,PC,Silver,Intel,2.53 GHz,Intel Core 2 Duo Processor,13.03 x 9.57 x 1.23,1280 x 800,"LCD Color , Anti-glare HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551418126,1066MHz,8 GB,,Refurbished,,,
"HP Pavilion Touchsmart Laptop PC, 17-f010us, Natural Silver - Walmart.com","Power Cord , Battery",4 hours 45 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",AMD Radeon R5,750 GB,17.3 inch,HP Pavilion 17-F020Us,SuperMulti DVD Burner,10/100 Fast Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1,PC,Silver,AMD,2.40 GHz,AMD Quad-Core A8-6410 APU Processor,10.98 x 16.51 x 1.14,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",7.27,Please visit your local store to see if this item is in stock .,6 GB,552728120,,,,,,,
"CYBERPOWERPC Gamer Ultra Desktop, GUA2000W - Walmart.com",,,Does Not Contain a Battery,,,,1TB,,GUA2000W,,,Windows 8.1 64-bit,,Black,,,AMD Six-Core FX-6300 Zambezi Processor,19.5 x 8.0 x 17.5,,,35.0,Please visit your local store to see if this item is in stock .,8 GB,552307906,,,,,N/A,No,24x DVD±RW Dual-Layer Super-Multi Drive
Lenovo ThinkPad Laptop T440 - Walmart.com,"Power Cord , Battery",8 hours 36 minutes,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x Headphone/Microphone , 1 x Mini-DisplayPort , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,500 GB,14.0 inch,20B6005BUS,,10/100/1000 Gigabit Ethernet & 802.11a/c Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"1.90 GHz , with a Max Turbo Speed of 2.90 GHz",Intel Dual-Core i5-4300U Processor,15.3 x 11.4 x 5.0,1600 x 900,"LED Backlight , HD+ Anti-Glare Display",6.2,Please visit your local store to see if this item is in stock .,4 GB,552210579,,8 GB,),,,,
"CyberPowerPC FANGBOOK EVO 17.3"" HFX7-900 Laptop - Walmart.com","Power Cord , Battery",,Lithium Ion,"3-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC )","2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone , 1 x Microphone , 1 x Mini-DisplayPort , 2 x USB 2.0 , 3 x USB 3.0 , 1 x VGA",NVIDIA GeForce GTX 870M with 6GB of dedicated system memory,1 TB,17.3 inch,HFX7-900,8x DVD±RW SuperMulti Drive,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,"2.80 GHz , with a Max Turbo Speed of 3.80 GHz",Intel Core i7-4810MQ Quad-Core Processor,11.34 x 16.85 x 2.17,1920 x 1080,"LED Backlight , AntiGlare Full HD Display",13.85,Please visit your local store to see if this item is in stock .,16 GB,552582303,,32 GB,,,,,
"Acer Ultrabook 13.3"" Aspire S7-392-9890 Laptop PC - Walmart.com",,,,,,,256 GB,13.3 inch,,,,Windows 8,,,Intel,,Intel Core i7-4500U Processor,,,,6.4,Please visit your local store to see if this item is in stock .,,551606531,,,,,,,
"Lenovo Ultrabook ThinkPad Black 14"" X1 Carbon 20A7002QUS Laptop PC with Intel Core i7-4600U Processor - Walmart.com","Power Cord , Battery",8 hours 42 minutes,Lithium Ion,,"1 x DC-in , 1 x DisplayPort , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 3.0",Intel HD Graphics 4400,256 GB,14.0 inch,20A7002QUS,,10/100 Fast Ethernet & 802.11ac Wireless LAN,Windows 7 Professional 64-bit,PC,Black,Intel,"2.10 GHz , with a Max Turbo Speed of 3.30 GHz",Intel Core i7-4600U Dual-Core Processor,14.9 x 12.5 x 5.3,1600 x 900,"LED Backlight , HD+ Display",5.6,Please visit your local store to see if this item is in stock .,8 GB,552543696,2500MHz,,),,,,
"Toshiba Tecra Z40-A1402 14"" Laptop PC - Walmart.com","Power Cord , Battery",9 hours 10 minutes,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x Dock Connector , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 3 x USB 3.0 , 1 x VGA",Mobile Intel HD Graphics,500 GB,14.0 inch,PT44GU-01C003,,10/100 Fast Ethernet & 802.11a/b/g/n/ac Wireless LAN,Windows 7 Professional 64-bit,PC,Silver,Intel,3.30 GHz,Intel Core i7-4600U Processor,16.9 x 13.7 x 2.6,1366 x 768,"LED Backlight , HD Display",5.3,Please visit your local store to see if this item is in stock .,8 GB,552313352,,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
"HP 6930P Laptop, Refurbished Silver - Walmart.com","Power Cord , Battery",3 hours 30 minutes,Lithium Primary,1 x SD Card Reader,"1 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x FireWire , 1 x Microphone , 3 x USB 2.0 , 1 x VGA",Integrated Intel GMA 4500M HD,160 GB,14.0 inch,6930P,DVD-RW Drive,10/100/1000 Gigabit Ethernet & Wireless LAN,Windows 7 Professional 32-bit,PC,Silver,Intel,2.40 GHz,Intel Core 2 Duo Processor,13.03 x 9.57 x 1.23,1280 x 800,"LCD Color , Anti-glare HD Display",10.0,Please visit your local store to see if this item is in stock .,4 GB,551418125,1066MHz,8 GB,,Refurbished,,,
"Toshiba 15.6"" Satellite Laptop, S55-B5292 - Walmart.com","Power Cord , Battery",,Lithium Ion,"6-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( SDHC ) , 1 x ( SDXC ) , 1 x ( MultiMediaCard ) , 1 x ( miniSD ) , 1 x ( microSD )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0",Mobile Intel HD Graphics,1 TB,15.6 inch,S55-B5292,,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 7 Professional,PC,Gold,Intel,"2.50 GHz , with a Max Turbo Speed of 3.50 GHz",Intel Core i7-4710HQ Processor,10.2 x 14.96 x 0.93,1366 x 768,"LED Backlight , HD TruBrite Display",6.5,Please visit your local store to see if this item is in stock .,8 GB,553012601,,,),,,,
Dell Inspiron 3847 Desktop - Walmart.com,,,Does Not Contain a Battery,,,,1TB,,i3847-5078BK,,,Windows 7 Home Premium 64-bit,,Black,,,Intel Core i5-4460 Processor,6.89 x 17.32 x 14.45,,,35.71,Please visit your local store to see if this item is in stock .,8 GB,552701580,,,,,N/A,No,Tray-loading DVD Drive
"HP 13.3"" Laptop PC Splitx2 - Walmart.com","Power Cord , Battery",12 hours,Lithium Ion,,"1 x DC-in , 1 x HDMI , 1 x Headphone/Microphone , 2 x USB 3.0",Intel HD Graphics 4200,128 GB,13.3 inch,E8C34UAR # ABA,,802.11b/g/n Wireless LAN,Windows 8,PC,Black,Intel,"1.60 GHz , with a Max Turbo Speed of 2.00 GHz",Intel Core i5-4202Y Processor,18.8 x 13.4 x 3.2,1366 x 768,"LED Backlight , HD IPS Touchscreen Display",6.3,Please visit your local store to see if this item is in stock .,4 GB,552476156,,,,,,,
"Lenovo Black 14"" ThinkPad X1 Intel Core i7 Laptop PC - Walmart.com","Power Cord , Battery",9 hours,Lithium Ion,,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Mini-DisplayPort , 2 x USB 3.0",Intel HD Graphics 4400,256 GB,14.0 inch,20A70037US,,802.11ac Wireless LAN,Windows 8.1 Pro 64-bit,PC,Black,Intel,"2.10 GHz , with a Max Turbo Speed of 3.30 GHz",Intel Core i7-4600U Dual-Core Processor,14.9 x 12.5 x 5.4,2560 x 1440,"LED Backlight , QHD+ Touchscreen Display",5.8,Please visit your local store to see if this item is in stock .,8 GB,552890943,,,,,,,
"Dell 14"" Alienware ALW14-2189sLV Laptop with Intel Core i5-4200M Processor - Walmart.com","Power Cord , Battery",,Lithium Ion,9-in-1 Digital Media Card Reader,"2 x Aux Audio , 1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Microphone , 1 x Mini-DisplayPort , 3 x USB 3.0",NVIDIA GeForce GT 750M with 2GB of dedicated system memory,500 GB,14.0 inch,ALW14-2189sLV,8x DVD+/-R/RW Drive,10/100/1000 Gigabit Ethernet & 802.11n Wireless LAN,Windows 7 Home Premium 64-bit,PC,Silver,Intel,3.10 GHz,Intel Core i5-4200M Processor,10.17 x 13.31 x 1.62,1920 x 1080,"LED Backlight , Full HD Display",12.2,Please visit your local store to see if this item is in stock .,8 GB,552356985,,,,,,,
"Lenovo All-in-One Desktop, Black Flex 20 - Walmart.com",,,Lithium Ion,,,,500GB,,57323540,,,Windows 8.1,,Black,,,Intel Core i3-4010U Processor,6.3 x 20.67 x 24.8,1600 x 900,,11.5,Please visit your local store to see if this item is in stock .,4 GB,552241803,,,,,19.5 '',No,
Acer Refurbished Chromebook C720P 2600 - Walmart.com,"Power Cord , Battery",7 hours 30 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x HDMI , 1 x USB 2.0 , 1 x USB 3.0",Intel HD Graphics,32 GB,11.6 inch,NX.MKEAA.001,,802.11b/g/n Wireless LAN,Chrome,,White,Intel,1.40 GHz,Intel Celeron 2955U Dual-Core Processor,11.3 x 8.0 x 0.8,1366 x 768,"LED Backlight , HD Touchscreen Display",3.5,Please visit your local store to see if this item is in stock .,2 GB,552790178,,,,,,,
Acer Aspire Desktop XC AXC 603G UW13 - Walmart.com,,,Lithium Ion,,,,500GB,,AXC-603G-UW13,,,Windows 8.1,,Black,,,Intel Celeron J1900 Quad-Core Processor,14.55 x 3.94 x 10.49,,,18.7,Please visit your local store to see if this item is in stock .,4 GB,552587341,,,,,N/A,No,16x DVD±R/RW SuperMulti Drive
"Acer Refurbished Black Aspire 15.6"" E1-572-6 Laptop PC with Intel Core i5-4200U Dual-Core Processor, 6GB Memory, 1TB Hard Drive and Windows 8.1: Computers : Walmart.com","Power Cord , Battery",4 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 2 x USB 2.0 , 1 x USB 3.0 , 1 x VGA",Intel HD Graphics 4400,1 TB,15.6 inch,NX.M8EAA.008,DVD Writer,10/100/1000 Gigabit Ethernet & 802.11b/g/n Wireless LAN,Windows 8.1 64-bit,PC,Black,Intel,1.60 GHz,Intel Core i5-4200U Dual-Core Processor,15.0 x 10.1 x 1.0,1366 x 768,"LED Backlight , HD Display",7.0,Please visit your local store to see if this item is in stock .,6 GB,552791835,,8 GB,,,,,
HP Pavilion Slimline Desktop 400-224 - Walmart.com,,,Does Not Contain a Battery,,,,1TB,,400-224Refurb,,,Windows 8.1,,Multi-Color,,,AMD Quad-Core A4-5000 Accelerated Processor,15.97 x 4.39 x 12.7,,,19.93,Please visit your local store to see if this item is in stock .,6 GB,552890252,,,,,N/A,No,SuperMulti DVD Burner
"Lenovo ThinkPad Laptop, E540 - Walmart.com","Power Cord , Battery",,Lithium Ion,"4-in-1 card reader 1 x ( SD Memory Card ) , 1 x ( MultiMediaCard ) , 1 x ( SDHC ) , 1 x ( SDXC )","1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 1 x USB 2.0 , 2 x USB 3.0 , 1 x VGA",Intel HD Graphics 4600,500 GB,15.6 inch,20C600AAUS,DVD Writer,10/100/1000 Gigabit Ethernet,Windows 7 Professional 64-bit,PC,Black,Intel,2.40 GHz,Intel Core i3-4000M Dual-Core Processor,19.0 x 12.6 x 3.5,1366 x 768,"LED Backlight , HD Display",7.8,Please visit your local store to see if this item is in stock .,4 GB,552544015,2500MHz,"16 GB , SO DIMM 204-pin , 1600 MHz / PC3-12800",),,,,
HP ENVY TouchSmart Laptop PC with Intel Core i7-4700MQ Processor - Walmart.com,"Power Cord , Battery",5 hours 15 minutes,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet , 1 x HDMI , 1 x Headphone/Microphone , 4 x USB 3.0",Intel HD Graphics 4600 with 1792MB of dedicated system memory,1 TB,17.3 inch,F9M09UAR # ABA,SuperMulti DVD Burner,10/100/1000 Gigabit Ethernet & 802.11ac Wireless LAN,Windows 8.1,PC,Silver,Intel,"2.40 GHz , with a Max Turbo Speed of 3.40 GHz",Intel Core i7-4700MQ Processor,21.9 x 13.5 x 3.3,1600 x 900,"LED Backlight , HD+ BrightView Touchscreen Display",9.25,Please visit your local store to see if this item is in stock .,16 GB,553028457,,16 GB,,,,,
"Acer Touchscreen Laptop, V5-471P-6615 - Walmart.com","Power Cord , Battery",5 hours,Lithium Ion,1 x SD Card Reader,"1 x DC-in , 1 x Ethernet/VGA Combo , 1 x HDMI , 1 x Headphone , 1 x Microphone , 2 x USB 2.0 , 1 x USB 3.0",Intel HD Graphics 4000 with 128MB of dedicated system memory,500 GB,14.0 inch,V5-471P-6615,,10/100/1000 Gigabit Ethernet & 802.11a/b/g/n Wireless LAN,Windows 8,PC,Black,Intel,"1.80 GHz , with a Max Turbo Speed of 2.70 GHz",Intel Core i5-3337U Processor,13.46 x 9.65 x 0.95,1366 x 768,"Touchscreen , LED Backlight , CineCrystal Touchscreen HD Display",7.25,Please visit your local store to see if this item is in stock .,4 GB,552476318,,8 GB,,,,,
