<page title>,depth,display size,display type,green compliance,height,included devices,included network card,input devices,installed memory,interface connection,laptop type,memory technology,number of cells,processor class,processor speed,solid state drive capacity,url,warranty information,width,battery life,operating system,slots,video chipset,weight,color,hard drive capacity,included drives,maximum memory,aspect ratio,cache size,installed video memory,max resolution,number of hard drives included,number of processor cores,64bit processing,battery energy,brand name,bus speed,dimensions,drive controllers,duallayer media support,graphics memory technology,hard drive rpm,network rj45,normalizedcache size,normalizeddisplay size,normalizedhard drive capacity,normalizedheight,normalizedinstalled memory,normalizedinstalled video memory,normalizedprocessor speed,normalizedweight,number of total memory slots,number of usb 20 ports,product line,screen mode,software included,total number of usb ports,video bus,video integration,video memory,wifi manufacturer,wifi model,number of solid state drives included,parent retsku,direct media interface,headphonemicrophone combo port,hyperthreading,memory card reader,multitouch screen,number of usb 30 ports,processor model,product series,touchpad features,audio line out,frequency band,keyboard backlight,maximum power supply wattage,operating system architecture,product model,tv card,category,class,modem,modem rj11,front camera,keyboard type,operating system platform,solid state drive interface,audio codec,audio line in,near field communication,vpro technology,cd rewrite speed,cd write speed,cdrom read speed,dvdrom read speed,normalizedcd rewrite speed,normalizedcd write speed,normalizeddvdrom read speed,wwan support
"Asus X552EA-DH11 Grey Black 15.6"" Notebook (1 GHz AMD E1-2100, 4 GB DDR3, 500 GB HDD, DVD±RW, AMD Radeon HD 8210, Windows 8, LED Backlight) Price Comparison at Buy.net",10 in,15.6 in,LCD Display w/ LED Backlight,RoHS|ENERGY STAR 4.0|EPEAT,1.3 in,Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad|Touch Screen No,4 GB,2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,AMD E-Series,1 GHz,,http : //usa.asus.com,1 Year,15 in,4 Hour,Windows 8,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),AMD Radeon HD 8210,5.10 lbs,Black,500 GB,DVD-RAM/R/RW,8 GB,16 : 9,1 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire E1-572-34014G50Mnkk 15.6"" LED Notebook - Intel Core I3 I3-4010U 1.70 GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4400 - Windows 7 Home Premium 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,,1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad,4 GB,2 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,4-cell,Intel Core i3,1.70 GHz,,http : //us.acer.com,,15 in,4 Hour,Windows 7 Home Premium,Secure Digital ( SD ) Card,Intel HD 4400,5.18 lbs,Black,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 17 17.3"" LED Notebook - Intel - Core I7 I7-4900MQ 2.8GHz - Graphite (32 GB RAM - 750 GB HDD - Windows 7 Professional 64-bit - 1920 X 1080 Display - Bluetooth - English US Keyboard) Price Comparison at Buy.net",10.7 in,17.3 in,LED Backlight,RoHS|EPEAT Gold|IT Eco Declaration|WEEE|EU WEEE,1.3 in,Built-In Microphone Yes|Built-In Webcam Yes,Gigabit Ethernet|Bluetooth 4.0 + LE,TouchPad|Pointstick,32 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,8-cell,Intel Core i7,2.80 GHz,,http : //www.hp.com,,16.4 in,,Windows 7 Professional,ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),,,Graphite,750 GB,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X750JA-DB71 17.3"" LED Notebook - Intel Core I7 I7-4700HQ 2.40 GHz - Dark Gray (8 GB RAM - 1 TB HDD - DVD-Writer - Intel HD 4600 - Windows 8 64-bit - 1600 X 900 Display) Price Comparison at Buy.net",10.6 in,17.3 in,LED Backlight,RoHS,1.2 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Ethernet,TouchPad|Touch Screen No,8 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3 SDRAM,4-cell,Intel Core i7,2.40 GHz,,http : //usa.asus.com,1 Year,16.3 in,3.65 Hour,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 4600,6.20 lbs,Dark Gray,1 TB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) Pavilion G7-2200 G7-2240us 17.3"" LED BrightView Notebook - Refurbished - Intel - Core I3 I3-2370M 2.4GHz - Sparkling Black (6 GB RAM - 750 GB HDD - DVD-Writer - Intel HD 3000 - Windows 8 - 1366 X 768 Display) Price Comparison at Buy.net",10.5 in,17.3 in,BrightView LED Backlight,EPEAT Silver|ENERGY STAR,1.5 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Fast Ethernet,TouchPad,6 GB,1 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //www.hp.com,,16.2 in,,Windows 8,Secure Digital ( SD ) Card|MultiMediaCard ( MMC ),Intel HD 3000,6.57 lbs,Sparkling Black,750 GB,DVD-RAM/R/RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 5 NP540U4E Black 14"" Notebook (1.8 GHz Intel Core I5-3337U, 4 GB DDR3, 500 GB HDD, Intel HD Graphics 4000, Windows 8, LED Backlight) Price Comparison at Buy.net",13.31 in,14 in,LCD Display w/ LED Backlight,Energy Star|EPEAT Gold,0.82 in,Built-In Webcam|Keyboard Backlight,Bluetooth|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n,Keyboard|Touch Screen|Touchpad,4 GB,Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ) |Ethernet - RJ45|HDMI|USB - Universal Serial Bus 2.0|USB - Universal Serial Bus 3.0|VGA,Ultra Portable,DDR3,4-cell,Intel Core i5,1.8 GHz,,http : //www.samsung.com/us/computer/pcs/NP540U4E-K01US,1 year ( s ),9.21 in,6.5 hour ( s ),Windows 8,SD Card|SDHC Card|SDXC Card,Intel HD Graphics 4000,4.3 lbs,Black,500 GB,,16 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5-122P-0681 Silver 11.6"" Notebook (1 GHz AMD A6-1450, 6 GB DDR3, 500 GB HDD, AMD RAdeon HD 8250, Windows 8, LED Backlight) Price Comparison at Buy.net",8.1 in,11.6 in,In-plane Switching ( IPS ) Technology LED Backlight,,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11b/g/n|Fast Ethernet,TouchPad|Touch Screen Yes,6 GB,2 x USB 2.0|1 x USB 3.0|HDMI No|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,3-cell,AMD A-Series,1 GHz,,http : //us.acer.com,,11.4 in,3.50 Hour,Windows 8,Secure Digital ( SD ) Card,AMD,2.65 lbs,Silver,500 GB,,6 GB,,,,,,,Yes,,Acer,,,,,DDR3 SDRAM,5400.0,Yes,,,,,,,,,1.0,2.0,Aspire,HD,,3.0,,,,Atheros,WB335,,B00GB9NUXI,,,,Yes,Yes,1.0,A6-1450,V5-122P,Multi-touch Gesture,Yes,Wireless LAN : Acer Nplify 802.11b/g/n,,40 W,64-bit,V5-122P-61456G50nss,No,,,,,,,,,,Yes,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook Folio 1040 G1 14"" LED Ultrabook - Intel - Core I5 I5-4300U 1.9GHz - Platinum (4 GB RAM - 180 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit English - 1600 X 900 Display - Bluetooth - English Keyboard) Price Comparison at Buy.net",9.2 in,14 in,LED Backlight,IT Eco Declaration|RoHS|WEEE|EU WEEE,0.6 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,ForcePad,4 GB,2 x USB 3.0|DisplayPort Yes,Ultrabook,DDR3L SDRAM,6-cell,Intel Core i5,1.90 GHz,180 GB,http : //www.hp.com,3 Year,13.3 in,9.75 Hour,Windows 7 Professional Upgradable to Windows 8 Pro ( English ),microSD Card|microSD Extended Capacity ( microSDXC ) |microSDHC,Intel HD 4400,3.30 lbs,Platinum,,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440p Black 14"" Notebook (2.9 GHz Intel Core I7-4600M, 8 GB DDR3, 240 GB SSD, DVD±RW, NVIDIA GeForce GT 730M, Windows 7 Pro, LED Backlight) Price Comparison at Buy.net",9.01 in,14 in,LCD Display w/ Matte Screen & LED Backlight,RoHS|GREENGUARD|EPEAT Gold|Energy Star,1.29 in,Keyboard Backlight|Fingerprint Reader|Built-In Webcam,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11ac|Gigabit Ethernet|Bluetooth,TrackPoint|Touchpad|Keyboard,8 GB,Audio - Line Out ( 1/8 '' Mini ) |USB - Universal Serial Bus 3.0|USB - Universal Serial Bus 2.0|Ethernet - RJ45|Audio - Line In ( 1/8 '' Mini ) |DisplayPort,,DDR3,9-cell,Intel Core i7,2.9 GHz,240 GB,http : //shop.lenovo.com/us/en/laptops/thinkpad/t-series/t440p/index.html,3 year ( s ),13.18 in,12.7 hour ( s ),Windows 7 Professional,SD Card,,4.7 lbs,Black,,DVD+-RW,16 GB,16 : 9,4 MB,1 GB,1600 x 900,,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude E6430 ATG Black 14"" Notebook (2.7 GHz Intel Core I5-3340M, 2 GB DDR3, 320 GB HDD, DVD±RW, Intel HD Graphics 4000, Windows 7 Home Premium, LED Backlight) Price Comparison at Buy.net",9.7 in,14 in,LCD Display w/ Matte Screen & LED Backlight,Energy Star,1.37 in,Built-In Webcam|Keyboard Backlight,Gigabit Ethernet|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n|Bluetooth,Touchpad|Keyboard,2 GB,Ethernet - RJ45|HDMI|USB - Universal Serial Bus 2.0|USB - Universal Serial Bus 3.0|VGA|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),,DDR3,6-cell,Intel Core i5,2.7 GHz,,http : //www.dell.com/us/business/p/latitude-e6430-atg/pd,1 year ( s ),14.07 in,,Windows 7 Home Premium,SD Card|MultiMedia Card ( MMC ) |Memory Stick|Express Card 54,Intel HD Graphics 4000,5.25 lbs,Black,320 GB,DVD+-RW,8 GB,16 : 9,3 MB,,1366 x 768 ( WXGA ),1,Dual-Core,,,,5 GT/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 840 G1 14"" LED Notebook - Intel - Core I5 I5-4300U 1.9GHz (4 GB RAM - 500 GB HDD - AMD, Intel Radeon HD 8750M, HD 4400 - Windows 7 Professional 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",9.3 in,14 in,LED Backlight,ENERGY STAR|EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick|Touch Screen No,4 GB,4 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,3 Year,13.3 in,13.25 Hour,Windows 7 Professional,SIM Card|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),AMD|Intel Radeon HD 8750M|HD 4400,3.48 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus ZENBOOK Touch UX31LA-XH51T 13.3"" Touchscreen LED In-plane Switching IPS Technology Ultrabook - Intel Core I5 I5-4200U 1.60 GHz - Aluminum Gray (8 GB RAM - 256 GB SSD - Intel HD 4400 - Windows 8 Pro 64-bit - 1920 X 1080 Display - Bluetooth) Price Comparison at Buy.net",8.9 in,13.3 in,In-plane Switching ( IPS ) Technology LED Backlight,RoHS|ENERGY STAR 4.0|EPEAT|EU Flower,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11ac|Bluetooth 4.0,TouchPad|Touch Screen Yes,8 GB,2 x USB 3.0|HDMI Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,6-cell,Intel Core i5,1.60 GHz,256 GB,http : //usa.asus.com,1 Year,12.8 in,8 Hour,Windows 8 Pro,Secure Digital Extended Capacity ( SDXC ) |MultiMediaCard ( MMC ) |Memory Stick|Memory Stick PRO|Memory Stick Duo|Secure Digital High Capacity ( SDHC ) |Secure Digital ( SD ) Card,Intel HD 4400,3.10 lbs,Aluminum Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo T440 20B6005BUS 14"" LED Ultrabook - Intel - Core I5 I5-4300U 1.9GHz - Graphite Black (4 GB RAM - 500 GB HDD - 16 GB SSD - Intel HD 4400 - Windows 7 Professional 64-bit - 1600 X 900 Display - Bluetooth) Price Comparison at Buy.net",9.2 in,14 in,LED Backlight,EPEAT Gold|ENERGY STAR 5.0|GREENGUARD|RoHS,0.8 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes|Built-In Webcam Yes|Keyboard Backlight No,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Trackpoint|Touch Screen No,4 GB,2 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Ultrabook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,16 GB,http : //www.lenovo.com/us/en/,3 Year,13.4 in,8.60 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,MultiMediaCard ( MMC ) |Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),Intel HD 4400,3.70 lbs,Graphite Black,500 GB,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ZBook 15 15.6"" LED Notebook - Intel - Core I7 I7-4800MQ 2.7GHz - Graphite (8 GB RAM - 750 GB HDD - Windows 7English - 1920 X 1080 Display - English Keyboard) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,ENERGY STAR|IT Eco Declaration|EPEAT Gold,1.4 in,Built-In Microphone Yes|Built-In Fingerprint Reader Yes,IEEE 802.11n|Gigabit Ethernet,TouchPad|Pointstick,8 GB,1 x USB 2.0|3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3 SDRAM,8-cell,Intel Core i7,2.70 GHz,,http : //www.hp.com,,15 in,,Windows 7 ( English ),ExpressCard/54|Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),,,Graphite,750 GB,,32 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire V5-131-10174G50ass 11.6"" LED Notebook - Intel Celeron 1017U 1.60 GHz (4 GB RAM - 500 GB HDD - Intel HD Graphics - Windows 8 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8 in,11.6 in,LED Backlight,ENERGY STAR,1.1 in,Built-In Microphone Yes|Built-In Fingerprint Reader No|Built-In Webcam Yes,IEEE 802.11a/b/g/n|Fast Ethernet|Bluetooth 4.0 + HS,TouchPad,4 GB,3 x USB 2.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line Out Yes,Notebook,DDR3 SDRAM,6-cell,Intel Celeron,1.60 GHz,,http : //us.acer.com,,11.2 in,6.50 Hour,Windows 8,Secure Digital ( SD ) Card,Intel HD Graphics,3.26 lbs,,500 GB,,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) ProBook 450 G1 15.6"" LED Notebook - Intel - Core I3 I3-4000M 2.4GHz (4 GB RAM - 500 GB HDD - DVD-Writer - Intel HD 4600 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",10.1 in,15.6 in,LED Backlight,EPEAT Gold|IT Eco Declaration|RoHS|WEEE|EU WEEE,1.1 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Touch Screen No,4 GB,2 x USB 2.0|2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes|Audio Line In Yes|Audio Line Out Yes,Notebook,DDR3L SDRAM,6-cell,Intel Core i3,2.40 GHz,,http : //www.hp.com,1 Year,14.8 in,9.25 Hour,Windows 7 Professional Upgradable to Windows 8 Pro,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ) |Memory Stick|Memory Stick Extended Capacity ( MSXC ),Intel HD 4600,5.22 lbs,,500 GB,DVD-RAM/R/RW,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP (Hewlett-Packard) EliteBook 820 G1 12.5"" LED Notebook - Intel - Core I5 I5-4300U 1.9GHz (4 GB RAM - 500 GB HDD - Intel HD 4400 - Windows 7 Professional 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.5 in,12.5 in,LED Backlight,ENERGY STAR|IT Eco Declaration|EPEAT Gold|RoHS|WEEE|EU WEEE,0.8 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11a/b/g/n/ac|Gigabit Ethernet|Bluetooth 4.0,TouchPad|Pointstick,4 GB,3 x USB 3.0|VGA Yes|Ethernet RJ-45 Yes|DisplayPort Yes,Notebook,DDR3L SDRAM,3-cell,Intel Core i5,1.90 GHz,,http : //www.hp.com,3 Year,12.2 in,11.25 Hour,Windows 7 Professional,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),Intel HD 4400,2.94 lbs,,500 GB,,16 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple Macbook Pro With Retina Display Silver 13.3"" Notebook (2.4 GHz Intel Core I5, 4 GB DDR3, 128 GB SSD, Intel Iris Graphics, OS X Mavericks, LED Backlight) Price Comparison at Buy.net",8.6 in,13.3 in,Retina Display|In-plane Switching ( IPS ) Technology LED Backlight,EPEAT Gold|ENERGY STAR 6.0,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes|Keyboard Backlight Yes,IEEE 802.11a/b/g/n/ac|Bluetooth 4.0,Track Pad,4 GB,2 x USB 3.0|HDMI Yes|Audio Line Out Yes|DisplayPort Yes|Thunderbolt Yes,Notebook,DDR3L SDRAM,,Intel Core i5,2.40 GHz,128 GB,http : //www.apple.com,1 Year,12.4 in,9 Hour,Mac OS X 10.9 Mavericks,Secure Digital Extended Capacity ( SDXC ),Intel Iris Graphics,3.46 lbs,Silver,,,16 GB,16 : 10,3 MB,,2560 x 1600,,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus X552EA-DH41 15.6"" Notebook - AMD A-Series A4-5000 1.50 GHz - Black (4 GB RAM - 500 GB HDD - DVD-Writer - AMD Radeon HD 8330 - Windows 8 64-bit - 1366 X 768 Display) Price Comparison at Buy.net",10 in,15.6 in,,RoHS|ENERGY STAR 4.0|EPEAT,1.3 in,Built-In Webcam Yes,IEEE 802.11b/g/n|Gigabit Ethernet,TouchPad|Touch Screen No,4 GB,2 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Notebook,DDR3L SDRAM,4-cell,AMD A-Series,1.50 GHz,,http : //usa.asus.com,1 Year,15 in,4 Hour,Windows 8,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ),AMD Radeon HD 8330,5.10 lbs,Black,500 GB,DVD-RAM/R/RW,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung ATIV Book 9 Lite NP915S3G-K04US 13.3"" Touchscreen LED Notebook - AMD 1.40 GHz - Mineral Ash Black (4 GB RAM - 128 GB SSD - AMD Radeon HD 8250 - Windows 8.1 64-bit - 1366 X 768 Display - Bluetooth) Price Comparison at Buy.net",8.8 in,13.3 in,LED Backlight,ENERGY STAR 5.2|RoHS|EPEAT Gold|TCO Certified Notebooks 4,0.7 in,Built-In Microphone Yes|Built-In Webcam Yes,IEEE 802.11b/g/n|Bluetooth 4.0,TouchPad|Touch Screen Yes,4 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes,Notebook,DDR3L SDRAM,2-cell,AMD,1.40 GHz,128 GB,http : //www.samsungusa.com,1 Year,12.8 in,5.50 Hour,Windows 8.1,Secure Digital ( SD ) Card|Secure Digital Extended Capacity ( SDXC ) |Secure Digital High Capacity ( SDHC ),AMD Radeon HD 8250,3.48 lbs,Mineral Ash Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toshiba Portege Z10t-A2110 Ultrabook/Tablet - 11.6"" - In-plane Switching IPS Technology - Intel Core I5 I5-4300Y 1.60 GHz - Ultimate Silver (4 GB RAM - 128 GB SSD - Windows 8.1 Pro 64-bit - Hybrid - 1920 X 1080 Multi-touch Screen Display LED Backlight)) Price Comparison at Buy.net",8.7 in,11.6 in,In-plane Switching ( IPS ) Technology LED Backlight,ENERGY STAR|EPEAT Gold|RoHS,0.8 in,Built-In Microphone Yes|Keyboard Backlight Yes,IEEE 802.11ac|Gigabit Ethernet|Bluetooth 4.0,Stylus|TouchPad|AccuPoint II|Touch Screen Yes,4 GB,1 x USB 2.0|1 x USB 3.0|HDMI Yes|VGA Yes|Ethernet RJ-45 Yes,Ultrabook/Tablet,DDR3L SDRAM,6-cell,Intel Core i5,1.60 GHz,128 GB,http : //www.toshiba.com,3 Year,11.8 in,7.50 Hour,Windows 8.1 Pro,Secure Digital ( SD ) Card|Secure Digital High Capacity ( SDHC ) |Secure Digital Extended Capacity ( SDXC ) |miniSD Card|microSD High Capacity ( microSDHC ) |microSD Card,Intel HD 4200,3.24 lbs,Ultimate Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro 3 Silver 12"" Tablet PC (1.9 GHz Intel Core I5-4300U, 4 GB DDR3, 256 GB SSD, Intel HD Graphics 4400, Windows 8.1 Pro, LED Backlight) Price Comparison at Buy.net",7.93 in,12 in,LCD Display w/ Glossy Screen & LED Backlight,,0.36 in,,Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11b|Wireless Ethernet - IEEE802.11a|Bluetooth,Touchpad|Touch Screen|Pen ( Stylus ) |Keyboard,8 GB,USB - Universal Serial Bus 3.0|DisplayPort|Audio - Line Out ( 1/8 '' Mini ) |Audio - Line In ( 1/8 '' Mini ),Ultra Portable|Tablet,DDR3,,Intel Core i5,1.9 GHz,256 GB,http : //www.microsoft.com/surface/en-gb/products/surface-pro-3,1 year ( s ),11.5 in,9 hour ( s ),,microSD Card,Intel HD Graphics 4400,1.76 lbs,Silver,,,16 GB,,3 MB,,,,Dual-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus N550JV-DB71 Gray 15.6"" Notebook (2.4 GHz Intel Core I7-4700HQ, 8 GB DDR3, 1 TB HDD, BD-RE/DVD±RW, NVIDIA GeForce GT 750M, Windows 8, LED Backlight) Price Comparison at Buy.net",10 in,15.6 in,LCD Display w/ Matte Screen & LED Backlight,,1.1 in,Built-In Webcam,Wireless Ethernet - IEEE802.11g|Wireless Ethernet - IEEE802.11n|Wireless Ethernet - IEEE802.11b|Gigabit Ethernet|Bluetooth,Touchpad|Keyboard,8 GB,USB - Universal Serial Bus 2.0|HDMI|Ethernet - RJ45|DisplayPort|Audio - Line In ( 1/8 '' Mini ) |Audio - Line Out ( 1/8 '' Mini ),,DDR3,4-cell,Intel Core i7,2.4 GHz,,http : //www.asus.com/us/Notebooks_Ultrabooks/,1 year ( s ),15.1 in,5.5 hour ( s ),Windows 8,SDXC Card|SDHC Card|SD Card|MultiMedia Card ( MMC ),NVIDIA GeForce GT 750M,5.73 lbs,Grey,1 TB,DVD+-RW|BD-RE,16 GB,16 : 9,6 MB,2 GB,1920 x 1080,1,Quad-Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
