<page title>,average battery life in hours,batteries,brand name,chipset brand,color,computer memory type,graphics coprocessor,hard drive,hard drive interface,hard drive rotational speed,hardware platform,item dimensions l x w x h,item model number,item weight,max screen resolution,number of usb 30 ports,operating system,optical drive type,processor,processor brand,processor count,ram,screen resolution,screen size,series,wireless type,audioout ports,battery type,memory speed,number of usb 20 ports,power source,asin,best sellers rank,buy used and save,customer reviews,date first available,graphics card ram size,heres how,shipping,shipping weight,card description,flash memory size,rear webcam resolution,voltage,manufacturer part number,number of items,product dimensions,size
"Amazon.com : Lenovo ThinkPad L520 Laptop, Intel i3-2350M 2.3 GHz, 4GB Ram, 15.6in Screen, 320GB HDD, Windows 7 Home Premium 64-bit : Laptop Computers : Computers & Accessories",,,Lenovo,,,DDR3 SDRAM,,,,,PC,9.70 x 15 x 1.40 inches,L520,5.8 pounds,,,Windows 7 Home Premium,,,,,,,,L520,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Consumer E8B13UA#ABA 15 6"" i3 4005U 4GB 750GB Win8 (E8B13UA#ABA) : Computers & Accessories",,,,,,,,750 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS 15.6"" HD Core i3 Laptop, 6GB RAM & 500GB Hard Drive : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Asus,,Black,DDR3 SDRAM,,500 GB mechanical_hard_drive,Serial ATA,5400 RPM,PC,15 x 10 x 1.20 inches,D550CA-RS31,4.7 pounds,1366x768,1.0,Windows 8,DVD Super Multi DL,1.8 GHz Core i3-3217U,Intel Core i3,1.0,6 GB DDR3,1366 x 768,15.6 inches,ASUS,802.11bgn,,Lithium-Ion ( Li-Ion ),,1.0,,,,See all Used offers from Amazon Warehouse Deals .,,,,( restrictions apply ),,,,,,,,,,
Amazon.com : Dell Inspiron 15R i15RMT-3878sLV 15.6-Inch Touchscreen Laptop (Moon Silver) : Laptop Computers : Computers & Accessories,,,Dell,,Moon Silver,SODIMM,Intel HD Graphics 4000,500 GB mechanical_hard_drive,Serial ATA,5400 RPM,PC,10.20 x 14.80 x 0.98 inches,i15RMT-3878sLV,5.1 pounds,1366x768,2.0,Windows 8,8X CD / DVD Burner ( Dual Layer DVD+/-R Drive ),1.9 GHz Core i3 3227U,intel core I3,1.0,6 GB DDR3,,15.6 inches,Inspiron 15R ( 5521 ),802.11bgn,1.0,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com: Acer DQ.VK6AA.002 Veriton Z2660G_Wct - All-in-one - 1 x Core i3 4130T / 2.9 GHz - RAM 4 GB - HDD 500 GB - DVD SuperMulti - HD Graphics 4400 - GigE - WLAN : 802.11 a/b/g/n - Windows 7 Pro 64-bit / 8.1 Pro 64-bit - Monitor : LED 19.5 inch 1600 x 900 ( HD+ ) Multi-Touch: Computers & Accessories,,,Acer,,,,,500 GB,,,,19.30 x 9.40 x 2.40 inches,DQ.VK6AA.002,24 pounds,,,microsoft windows 7 professional,,Intel Core i3,,,4 GB,,19.5 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP 15-r050nr 15.6-Inch Touchscreen Laptop (Sparkling Black) : Computers & Accessories,5 hours,1 Lithium ion batteries required . ( included ),HP,,sparkling black,DDR3 SDRAM,Intel HD graphics 4000,750 GB,,5400 RPM,PC,10.20 x 14.88 x 1 inches,G8Q02UA # ABA,5.3 pounds,1366x768 pixels,1.0,Windows 8.1,SuperMulti DVD burner,1.8 GHz Intel Core i3,Intel,1.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,HP,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,2.0,,,,,,,,,,,,,,,,,,
"Amazon.com : L@@K L@@K ASUS U50F INTEL CORE i3 2.13GHz 1 TB 4 GB RAM 15.6 "" WiFi : Computers & Accessories",,,Asus,,BLACK,DDR3 SDRAM,,1 TB,,,PC,,ASUS U50F,,,,Windows 7,,Intel Core i3,,,4 GB,,15.6 inches,HP Elitebook 8440P,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo B50 15.6-Inch Laptop (59422999) Black : Computers & Accessories,5 hours,1 Nonstandard Battery batteries required . ( included ),Lenovo,,Black,,,500 GB SATA,,5400 RPM,,10.32 x 1.02 x 14.96 inches,59422999,5.1 pounds,1366x768 pixels,2.0,Windows 7 Home Premium 64-bit,DVDRW,1.9 GHz Intel Core i3,Intel,1.0,4 GB DDR3,,15.6 inches,Lenovo,802.11bgn,,,,1.0,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire Switch 10 SW5-011-18R3 10.1-Inch Detachable 2 in 1 Touchscreen Laptop (32GB) : Computers & Accessories,8 hours,1 Lithium ion batteries required . ( included ),Acer,,Silver,,Intel HD Graphics,0 GB,,,,10.30 x 6.97 x 0.35 inches,SW5-011-18R3,1.3 pounds,1366x768,,Windows 8.1,,1.33 GHz Intel Atom,Intel Atom,1.0,2 GB LPDDR3,,10.1 inches,Tablet,802.11 a/b/g/n,,,,1.0,,B00K81O3K4,# 507 in Computers & Accessories ( See top 100 ) # 91 in Computers & Accessories > Notebooks,,3.2 out of 5 stars See all reviews 42 reviews 3.2 out of 5 stars,"June 1 , 2014",,,This item is also available for shipping to select countries outside the U.S .,3.4 pounds ( View shipping rates and policies ),,32,,,,,,
"Amazon.com : Acer 15.6"" i3-2330M 2.20 GHz Laptop | AS5749-6863 : Laptop Computers : Computers & Accessories",,,Acer,Intel,,,Intel HD Graphics,320 GB,,,,,,,,,Windows 7 Home Premium ( 64 bit ),,2.2 GHz Core i3-2330M,Intel,,3 GB DDR3,,15.6 inches,Aspire,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 14R Core i3-2310M Dual-Core 2.1GHz 4GB 500GB DVD±RW 14"" Laptop Windows 7 Home Premium w/Webcam, 6-Cell Battery & Bluetooth : Notebook Computers : Computers & Accessories",,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB ddr3,,14.1 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Split x2 13-m110dx - 128GB SSD, 4GB DDR3L SDRAM, Windows 8, Intel Core i3-4010Y 4th Generation, 13.3-inch 2-in-1 Convertible Touchscreen Laptop/Tablet (Modern Silver) (Certified Refurbished) : Computers & Accessories",,,HP,,Modern Silver,DDR3 SDRAM,,128 GB,Solid State,,PC,13.38 x 9.05 x 0.92 inches,13-m110dx,4.9 pounds,,,Windows 8,,,,,4 GB SDRAM DDR3,1366 x 768,13.3 inches,Split x2,"802.11bgn , Bluetooth",1.0,,,1.0,AC,,,,,,,,,,,,,,,,,
Amazon.com : Acer NX.Y3XAA.015;NV570P31U 15.6-Inch Laptop : Computers & Accessories,,,Acer,,,,,500 GB,,540 RPM,,19 x 12 x 2.50 inches,NX.Y3XAA.015 ; NV570P31U,7 pounds,1366 x 768 pixels,1.0,Windows 8.1,,1.8 GHz Core i3-3217U,Intel,1.0,4 GB DDR3,,15.6 inches,Laptop,802.11bgn,,,,2.0,,B00KE7ZQYY,"# 89,536 in Computers & Accessories ( See top 100 )",,Be the first to review this product,"May 17 , 2014",,,"Currently , item can be shipped only within the U.S .",7.2 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : 14"" LED Notebook Intel Core i3-4010U 1.70GHz : Computers & Accessories",,,HP,,,DDR3 SDRAM,,500 GB,Serial ATA,,PC,19 x 3.30 x 11.50 inches,F7V09UT # ABA,6 pounds,,,Windows 7 Professional,,1.70 GHz Intel Core i3,Intel,1.0,4 MB,,14 inches,HP 14 '' LED Notebook,,,,,,AC,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS 15.6-Inch Dual-Core 2.16GHz Laptop, 4GB RAM & 500GB Hard Drive (Includes 1-YR Accidental Damage Protection) : Computers & Accessories",5 hours,1 Lithium ion batteries required . ( included ),Asus,,black,DDR3 SDRAM,Intel HD Graphics,500 GB mechanical_hard_drive,,5400 RPM,PC,9.90 x 15 x 1.20 inches,X551MAV-EB01-B,4.7 pounds,1366x768,1.0,Windows 8.1,No Optical Drive,2.16 GHz Intel Celeron,Intel,1.0,4 GB DDR3,1366 x 768,15.6 inches,X551MA,802.11bgn,,,,1.0,Battery,,,,,,,,,,,,,,,,,
"Amazon.com : Toshiba Satellite C55-B5246 15.6-Inch Laptop (1.8 GHz Intel Core i3-3217U Processor, 4GB DIMM, 500GB HDD, Windows 8.1) Black : Computers & Accessories",,1 Lithium ion batteries required . ( included ),Toshiba,,Black,DDR3 SDRAM,Mobile Intel HD graphics,500 GB SATA,,5400 RPM,,10.20 x 14.96 x 1.05 inches,PSCLGU-00T00R,4.8 pounds,1366x768 pixels,1.0,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.8 GHz Core i3-3217U,Intel,1.0,4 GB DIMM,1366 x 768,15.6 inches,Toshiba Satellite C55-B5246,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),1600 MHz,2.0,,B00KDITFVE,"# 1,474 in Computers & Accessories ( See top 100 )",,3.8 out of 5 stars See all reviews 17 reviews 3.8 out of 5 stars,"June 8 , 2014",,,This item is also available for shipping to select countries outside the U.S .,6.6 pounds ( View shipping rates and policies ),,,,,,,,
Amazon.com : Lenovo Thinkpad Twist 12.5-Inch Convertible 2 in 1 Touchscreen Ultrabook (33472UU) Black : Laptop Computers : Computers & Accessories,5 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Integrated Intel HD Graphics,500 GB flash_memory_solid_state,,5400 RPM,PC,12.30 x 9.29 x 0.78 inches,33472UU,3.5 pounds,1366x768,2.0,Windows 8,No,1.8 GHz Core i3-3217U,Intel,1.0,4 GB DDR3,1366 x 768,12.5 inches,Thinkpad,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,,,,,,,,,,,,,24,,,,,,
Amazon.com : Toshiba Matrix L745-S4310 14-Inch Laptop PC (Intel Core i3-2330M Processor Windows 7 Home Premium) Graphite : Laptop Computers : Computers & Accessories,,,Toshiba,,Matrix Color Graphite,DDR3 SDRAM,,500 GB,,,Consumer Electronics,10 x 2 x 12 inches,L745-4310,,1366 x 768,,Windows 7 Home Premium,,,Intel Core i3,,SO-DIMM DDR3,,14 inches,L745-S4310,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion g6-2230us 15.6-Inch Laptop (Black) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),HP,,Black,DDR3 SDRAM,Intel HD graphics 3000,750 GB flash_memory_solid_state,,5400 RPM,,3.10 x 20.40 x 13.60 inches,g6-2230us,,1366x768,3.0,Windows 8,,2.4 GHz Core i3-2370M,Intel Core i3,,4 GB DDR3,,15.6 inches,Pavilion,802.11bgn,,,,1.0,,,,,,,1664 MB,,,,,,,,,,,
"Amazon.com : ICI 15"" Panel PC Touch Screen Computer Intel® i3/2GB/500GB/Dual LAN/Dual RS-232/DVD-RW/Win7 32-bit : Laptop Computers : Computers & Accessories",,,Industrial Computers Inc .,,,DDR3 SDRAM,,500 GB,,,PC,,,,,,Windows 7 Professional,,Intel Core i3,,,2 GB,,15 inches,15PPCJJ9FN-Q87,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer C720 Chromebook (11.6-Inch, 2GB & 32GB SSD) : Computers & Accessories",8.5 hours,1 Lithium ion batteries required . ( included ),Acer,,Granite Gray,DDR3 SDRAM,Intel HD Graphics,128 GB flash_memory_solid_state,Serial ATA,,PC,11.34 x 8.03 x 0.75 inches,C720-2420,2.8 pounds,1366x768,1.0,Chrome,No,1.4 GHz Celeron 2955U,Intel Celeron,1.0,2 GB DDR3L SDRAM,1366 x 768,11.6 inches,C720,802.11bgn,1.0,Lithium Polymer ( LiPo ),,1.0,,,,,,,128 MB,,,,,32,,,,,,
"Amazon.com : Acer 15.6"" Intel i3-2310M 2.10 GHz 500GB Notebook | AS5750-6421 : Laptop Computers : Computers & Accessories",4.5 hours,,Acer,Intel,black,,HD Graphics,500 GB SATA,,5400 RPM,PC,15 x 10 x 1.31 inches,AS5750-6421,5.7 pounds,1336 x 768 pixels,1.0,Microsoft Windows 7 Home Premium,"dvd_ram , dvd_plus_minus_rw",2.1 GHz Intel Core i3,Intel,1.0,4 GB DDR3,1366 x 768,15.6 inches,Acer,,,lithium_ion,1066 MHz,2.0,AC,,,,,,,,,,HD Graphics,,,,,,,
Amazon.com : HP 2000-2d80nr 15.6-Inch Laptop : Computers & Accessories,4 hours,1 Lithium ion batteries required . ( included ),HP,,black licorice,DDR3 SDRAM,AMD Radeon HD 8280 graphics,500 GB,,5400 RPM,PC,9.72 x 14.80 x 1.41 inches,F6S99UA # ABA,5.4 pounds,1366x768,,Windows 8.1,SuperMulti DVD burner,1.65 GHz E-Series Dual-Core E2-3000,AMD E-series,1.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,HP,802.11 A/C,1.0,Lithium-Ion ( Li-Ion ),,3.0,,,,,,,,,,,,,,,,,,
"Amazon.com : HP 15-r029wm 15.6"" Laptop Quad-Core Processor @ 2.42GHz Intel 4GB Memory 750GB HD Windows 8.1 : Computers & Accessories",,,HP,,Black,,,,,,PC,1 x 14.88 x 10.20 inches,,4.8 pounds,,,Windows 8,,,,,,,,15-r029wm,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Asus X551CA-SI30403X 15.6"" Laptop PC - Intel Core i3 / 4GB Memory / 500GB HD / DVD±RW/CD-RW / Webcam / Windows 8 64-bit : Computers & Accessories",,,Asus,,,DDR3 SDRAM,,500 GB,,,,9.90 x 15 x 1.20 inches,X551CA-SI30403X,4.7 pounds,,,Windows 8,,Intel Core i3,Intel Core i3,,4 GB SDRAM DDR3,1366 x 768,15.6 inches,X551CA-SI30403X,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo E540 Touch (20C600B9US ) 15.6-Inch Laptop : Computers & Accessories,6 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Integrated,500 GB mechanical_hard_drive,,5400 RPM,PC,14.84 x 1.17 x 9.84 inches,20C600B9US,5.4 pounds,1366x768,2.0,Windows 8.1,DVDRW,2.4 GHz Core i3-4000M,Intel Core i3,,4 GB DDR3,1366 x 768,15.6 inches,Lenovo,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,1.0,,,,,,,,,,,,,,,,,,
Amazon.com : Lenovo ThinkPad T440s 20AQ006HUS 14-inch Ultrabook (Black) : Computer Internal Components : Computers & Accessories,8.4 hours,1 Lithium ion batteries required . ( included ),Lenovo,,Black,DDR3 SDRAM,Intel HD Graphics 4400,256 GB Serial ATA-600,Solid State,1 RPM,PC,13 x 0.81 x 8.90 inches,20AQ006HUS,3.5 pounds,1920 x 1080 pixels,3.0,Windows 7 Professional,No optical drive,2.10 GHz Intel Core i7-4500U,Intel,2.0,8 GB DDR3L SDRAM,1920 x 1080,14 inches,ThinkPad T440s,802.11bgn,,Lithium-Ion ( Li-Ion ),1600 MHz,,,,,,,,,,,,,256.0,,,,,,
"Amazon.com : PROMO HP PROBOOK 4545S, I3-2328 (2.10 GHZ, 1333 MHZ, 3 MB), 4GB 1333 1D, 500GB 7 : Laptop Computers : Computers & Accessories",,,,,,,radeon,500 GB,,,,,,,,,,,R5230,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Inspiron i3542-5000BK 15.6-Inch Touchscreen Laptop : Computers & Accessories,5.25 hours,1 Lithium ion batteries required . ( included ),Dell,,vibrant,,Integrated Graphics,500 GB mechanical_hard_drive,,5400 RPM,,19.02 x 13.39 x 3.11 inches,i3542-5000BK,6 pounds,1366x768,1.0,Windows 8.1,,1.9 GHz Intel Core i3,Intel Core i3,1.0,4 GB DDR3,,15.6 inches,Inspiron,802.11bgn,,,,2.0,,B00K4PATS4,# 48 in Computers & Accessories ( See top 100 ) # 7 in Computers & Accessories > Notebooks,,4.4 out of 5 stars See all reviews 25 reviews 4.4 out of 5 stars,"May 15 , 2014",,,This item is also available for shipping to select countries outside the U.S .,7.6 pounds ( View shipping rates and policies ),,,,,,,,
"Amazon.com : Dell Inspiron 15 (3520) 15.6"" Notebook Laptop Computer Core i3 2.4GHz, 4GB RAM, 500GB Hard Drive, Windows 8 : Computers & Accessories",,,Dell,,Black,DDR3 SDRAM,,500 GB,,,PC,,3520,,1366 x 768,,Windows 8,,Intel Core i3,,,4 GB SDRAM DDR3,1366 x 768,15.6 inches,Inspiron,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Latitude 3330 13.3"" Business Notebook / Intel Core i3-3217U / Genuine Windows 7 Home, 64-bit / 4GB DDR3 RAM / 320GB 5400RPM Hard Drive / No Optical Drive / WebCam : Laptop Computers : Computers & Accessories",,,Dell,,,,,320 GB mechanical_hard_drive,,,,,,3.9 pounds,,2.0,Windows 7 Home Premium,,,Intel Core i3,,4 GB ddr3,,13.3 inches,Dell Latitude 3330,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ThinkPad Edge E431 6277BVU 14"" LED Notebook - Intel - Core i3 i3-3110M 2.4GHz : Computers & Accessories",,,Lenovo,,,DDR3 SDRAM,,500 GB,Serial ATA,,PC,13.54 x 9.40 x 0.98 inches,6277BVU,7 pounds,,,Windows 7 Professional,,2.40 GHz Intel Core i3,Intel,1.0,4 MB,,14 inches,6277-BVU,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Sony VAIO VPCEG33FX/P 14-Inch Laptop (Pink) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Sony,,Pink,DDR3 SDRAM,Intel HD Graphics 3000,640 GB,Serial ATA,5400 RPM,PC,9.40 x 13.62 x 1.14 inches,VPCEG33FX/P,5.1 pounds,1366x768 pixels,,Windows 7 Home Premium,"CD-ROM , DVD-ROM , CD-RW , DVD-RW , DVD-R DL",2.3 GHz Core i3-2330M,Intel,2.0,4 GB DDR3,1366 x 768,14 inches,VAIO EG3 Series,802.11n,,,,4.0,,,,,,,,,,,integrated graphics,,,,,,,
"Amazon.com : HP Pavilion DM1-4310nr 11.6"" Laptop (T-Mobile 4G) : Laptop Computers : Computers & Accessories",,1 Lithium ion batteries required . ( included ),HP,,Black,DIMM,AMD Radeon HD 7340 Discrete-Class Graphics,500 GB HP ProtectSmart Hard Drive Protection,Serial ATA,5400 RPM,PC,8.46 x 1.26 x 11.49 inches,DM1-4310nr,3.5 pounds,1366x768,1.0,Windows 8,No,1.7 GHz E-Series Dual-Core E2-1800,AMD,1.0,4 GB DDR3 SDRAM,1366 x 768,11.6 inches,Pavilion,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,2.0,,,,,,,384 MB,,,,,,,,,,,
Amazon.com : Lenovo 334784U TOPSELLER THINKPAD TWIST S230U I3-2375M 1.5G 2GB 500GB 12.5IN BT : Computers & Accessories,,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,2 GB,,12.5 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion 15-n240us 15.6-Inch Touchsmart Laptop (1.7 GHz Intel Core i3-4005U Processor, 4GB DDR3L, 750GB HDD, Windows 8.1) Silver/Black : Computers & Accessories",4.75 hours,1 Lithium ion batteries required . ( included ),HP,,silver and black,DDR3 SDRAM,Intel HD graphics 4400,750 GB,Serial ATA,5400 RPM,PC,10.16 x 15.18 x 0.97 inches,F5W30UA # ABA,5.7 pounds,1366x768,2.0,Windows 8.1,SuperMulti DVD burner,1.7 GHz Core i3-4005U,Intel Core i3,1.0,4 GB DDR3L SDRAM,1366 x 768,15.6 inches,Pavilion,802.11bgn,1.0,Lithium-Ion ( Li-Ion ),,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Samsung - NP300E5A-A01UB Laptop / 2nd Gen Intel Core i3-2330M Processor / 15.6"" LED HD widescreen Display / 4GB DDR3 Memory / 640GB hard drive / Multiformat DVD±RW/CD-RW drive with double-layer support / Built-in webcam & microphone / Microsoft Windows 7 Home Premium Edition 64-bit - Black/Silver : Laptop Computers : Computers & Accessories",,,Samsung,,Black,,Intel HD Graphics 3000,640 GB,,,PC,,NP300E5A-A01UB,,,,Windows 7 Home Premium ( 64-bit ),,2.2 GHz Core i3-2330M,Intel,,4 GB DDR3,,15.6 inches,series 3,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Acer TravelMate B TMB113-M-6889 11.6"" i3-3217U 4GB 500GB Notebook W8Pro : Computers & Accessories",,,Acer,,,DDR3 SDRAM,Intel HD Graphic 4000,500 GB,Serial ATA,,PC,11.25 x 8 x 1 inches,TMB113-M,2.5 pounds,,,Windows 7 Professional x64,,1.80 GHz Intel Core i3,Intel,2.0,4 GB DDR3 1600,1366 x 768,11.60 inches,6689,,,,1600 MHz,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Latitude E5440 - Core i3 4010U / 1.7 GHz - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB Hybrid Drive - DVD-Writer - 14"" wide 1366 x 768 / HD - Intel : Computers & Accessories",,,Dell,,,,,500 GB,,,,455 x 330 x 100 inches,462-3599,,,,microsoft windows 7 professional,,Intel Core i3,,,4 GB,,14 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Hp 15.6"" Laptop Computer Windows 7 Home 64-bit, I3-3110m Processor 2.4ghz, 2gb Ddr3-1600 Sdram, 320gb 5, 400rpm Hard Drive, dvdrw Drive, bluetooth 4.0 : Computers & Accessories",,,HP,,Matte Charcoal,,,320 GB mechanical_hard_drive,,,,14.90 x 1.11 x 10.20 inches,,5.5 pounds,,2.0,Windows 7 Home Premium,,,Intel Core i3,,2 GB,,15.6 inches,,802.11bgn,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Consumer G6Q68UA#ABA 17"" i3 3040 4GB 750GB Win8 (G6Q68UA#ABA) : Computers & Accessories",,,,,,,,750 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,17 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion 15-n037cl 15.6"" Touch Laptop, Intel Core i3-3217U, 6GB Mem, 750GB HD : Laptop Computers : Computers & Accessories",,,HP,,,,,,,,Consumer Electronics,,15-n037CL,6.7 pounds,,,Windows 7,,,Intel Core i3,,,,,pavilion,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Dell Latitude E6330 469-3191 13.3 LED Notebook Intel Core i3-2350M 2.30 GHz 2GB DDR3 320GB HDD DVD-Writer Intel HD Graphics Bluetooth Finger Print Reader Windows 7 Professional 32-bit : Laptop Computers : Computers & Accessories,,,,,,,,320 GB,,,,,,,,,,,Intel Core i3,,,2 GB ddr3,,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP 15-r063nr 15.6"" Touchscreen Laptop / Intel Pentium N3530 2.16 GHz / 4GB Memory / 500GB Hard Drive / SuperMulti DVD / Windows 8.1 : Computers & Accessories",,,HP,,,DDR3 SDRAM,,,,,PC,14.88 x 10.20 x 1.01 inches,15-r063nr,5.2 pounds,,,Windows 8,,,,,,,,15-r063nr,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Edge E545 20B20011US 15.6"" AMD A6-5350M 2.90GHz 8GB 1TB HDD W7P Laptop Computer : Computers & Accessories",,,Computer Upgrade King,AMD,,DDR3 SDRAM,AMD Radeon HD 8450G,1000 GB mechanical_hard_drive,Serial ATA-300,5400.00,PC,14.84 x 9.64 x 1.34 inches,20B20011US,5.4 pounds,,3.0,Windows 7 Professional,DVD-RW,2.90 GHz AMD A Series,AMD,2.0,8 GB,1366x768,15.60 inches,E545,802.11bgn,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Amazon.com : HP Stream 14 Quad Core Laptop with Beats Audio (Natural Silver) : Computers & Accessories,6.5 hours,1 Lithium ion batteries required . ( included ),HP,,Natural silver,,AMD Radeon R3 graphics,,,,PC,9.45 x 13.54 x 0.70 inches,J9V55UA # ABA,3.9 pounds,1366x768 pixels,1.0,Windows 8.1,,1 GHz A-Series Dual Core A4,AMD,,2 GB DDR3L SDRAM,,14 inches,HP Stream,802.11bgn,1.0,,,2.0,,,,,,,,,,,,32.0,,,,,,
Amazon.com : Toshiba Satellite C855-S5137 15.6-Inch Laptop (Satin Black Trax) : Laptop Computers : Computers & Accessories,,1 Lithium ion batteries required . ( included ),Toshiba,,Satin Black Trax,DDR3 SDRAM,Mobile Intel HD Graphics,500 GB,,5400 RPM,,9.53 x 14.96 x 1.31 inches,PSCBLU-079003,5.4 pounds,1366 x 768 pixels,1.0,Windows 8,DVD SuperMulti drive supporting 11 formats,2.5 GHz Intel Core i3,Intel,2.0,4 GB DIMM,,15.6 inches,Toshiba Satellite C855-S5137,802.11bgn,,,,2.0,,,,,,,,,,,,,,,,,,
Amazon.com : Acer Aspire 7745 (black) : Laptop Computers : Computers & Accessories,,,Aspire,,black,,,500 GB,USB 2.0,,PC,19 x 3 x 10 inches,,10 pounds,1024 x 600,,Windows 7 Home Premium,,Intel Core i3,,,ddr3_sdram,,17.3 inches,acer aspire 7745-7949,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP F2R75UT ProBook 650 G1 - Core i3 4000M / 2.4 GHz - Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed: Windows 7 - 4 GB RAM - 500 GB HDD - DVD SuperMulti - 15.6 inch HD SVA eDP anti-glare 1366 x 768 ( HD ) - Intel HD Graphics 4600 - Smart Buy : Computers & Accessories,,,,,,,,500 GB,,,,,,,,,,,Intel Core i3,,,4 GB,,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com: Toshiba Satellite L755-S5271 15.6-Inch Laptop (2.1 GHz Intel Core i3-2310M Processor, 4GB DDR3, 640GB HDD, Windows 7 Home Premium) Gray: Computers & Accessories",6 hours,,Toshiba,Intel,Grey,DDR3 SDRAM,,640 GB Serial ATA hard disk drive,,5400 RPM,hp,9.84 x 14.96 x 1.48 inches,PSK1WU-06W004,5.7 pounds,1366 x 768 pixels,,Windows 7 Home Premium,DVD Super Multi DL,2.1 Hz Intel Core i3,Intel,2.0,4 GB DDR3,1366 x 768,15.6 inches,PSK1WU-06W004,,1.0,Lithium-Ion ( Li-Ion ),1333 MHz,3.0,AC,,,,,,1696 MB,,,,HD Graphics,,,240 volts,,,,
Amazon.com : Asus Laptop X551CA-XS31 15.6-Inch Laptop : Computers & Accessories,,,Asus,,,,,500 GB,,5400 RPM,,19 x 11.50 x 2.50 inches,X551CA-XS31,6.7 pounds,1366 x 768 pixels,1.0,Windows 8,,1.8 GHz Core i3-3217U,Intel,1.0,4 GB DDR3,,15.6 inches,Laptop,802.11bgn,,,,1.0,,,,,,,,,,,,,,,,,,
"Amazon.com : Samsung ATIV Book 2 NP270E5G-K03US 15.6-Inch Laptop (2.4 GHz Intel Pentium i3-3110M Processor, 4GB DDR3, 500GB HDD, Windows 8) Mineral Ash Black : Laptop Computers : Computers & Accessories",4.8 hours,1 Lithium ion batteries required . ( included ),Samsung,,Mineral Ash Black,,Intel HD Graphics 4000,500 GB SATA2,,5400 RPM,,14.80 x 9.76 x 1.25 inches,NP270E5G-K03US,4.8 pounds,1366 x 768 pixels,,Windows 8,,2.4 GHz Core i3-3110M,Intel,,4 GB DDR3,,15.6 inches,ATIV Book 2,802.11bgn,,,,3.0,,,,,,,,,,,,,,,,,,
