<page title>,bluetooth,cameras included,condition,cpu,dimensions l x w x h,display,displayports,front camera,headphones jack,memory type,micro sd card reader,operating system,platform,screen size,storage capacity,stylus included,usb 30 ports,weight,audio chipset,battery type,capacity,color,communications description,depth,display type,drive types,gpuvpu,hddssd drives included,hdmi ports,height,integrated webcam,interface type,keyboard type,lan ports,maximum memory supported,maximum resolution,media types,memory slots total free,mouse type,operating systems,optical drive,optional operating systems,processor brand,processor class,processor number,processor speed,processor type,protocols,specification notes,supplemental drive capacity,total memory size,touch screen,usb ports powered included in total,vga ports,width,â,audio description,data transfer rate,dell,firewire ports,lifestyle,limited warranty,memory slots total,port replicatorconnector,usb ports total,audio out jacks,graphics,integrated microphone,lenovo,colors,connection type,dvi video,form factor,hard drive types,hard drives included,interface,lan chipset,lan data transfer rate,lan description,lan interface type,memory configuration,motherboard slots total free,optical drive class,orientations allowed,power,processor interface,ram speed,serial communication ports,speed,startup operating system,hard drive speed,supplemental drive type,video memory,line in jacks,optical drive type,processors onboard,processors supported,wifi description,aspect ratio,back camera,battery run time,display size,memory capacity,micro usb connector,touch screen type,usb 20 ports,microphone jacks,builtin microphone,builtin speaker,power supply type,supplemental media type,webcam features,webcam resolution,wifi chipset,wifi standards supported,memory speed,memory speed mhz,backlit keyboard,hp,channels,audio channels,external bays total free,internal bays total free,compatible raid levels,external 35 drive bays,external 525 drive bays,hard drive interface,internal 35 drive bays,memory slots available,pci express x4 slots total,pci express x8 slots total,processor cache,total storage included,type,battery life,ps2 connectors,modem ports,cpu type,software included,cpu quantity,pci express x16 slots total,pci slots total,storage controller,pci express x1 slots total,memory size
Acer TravelMate P276-MG Intel Core i7 8GB Memory 1TB HDD 17.3 Notebook Windows 7 Professional/Windows 8 Pro 64-bit - NX.V9WAA.002 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,17.3 '',,,,6.61 lbs,,4-Cell Lithium-ion,1TB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",11.4 '',Active Matrix TFT Color LCD,HDD,NVIDIA GeForce 820M,1x 1TB,1,1.2 '',Yes,"Gigabit Ethernet , Intel Wireless-N 7260 IEEE 802.11a/b/g/n , Bluetooth",Standard Size,1 - RJ-45,16GB,1600 x 900,Secure Digital ( SD ),,Integrated Touchpad,Windows 7 Professional 64-Bit,DVDRW,Windows 8 Pro 64-Bit,Intel,Core i7,4510U,2GHz,Dual-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,16.7 '',,Integrated Audio,,,,,,,,"2 - USB 2.0 , 1 - USB 3.0",1,,,,,,,,,,,,,,,,,,,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alienware 18.4 Gaming Notebook - Intel Quad-Core i7-4710MQ, 2.50GHz, 8GB DDR3L, 1TB HDD + 80GB SSD, 4GB GeForce GTX 860M, DVDRW, Windows 7 Home Premium, - ALW183006SLV at TigerDirect.com",,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,,18.4 '',,,,,,,1080GB,Silver,,,WLED FHD,HDD + SSD,NVIDIA Geforce GTX 860M,"1x 1TB HDD , 1x 80GB SSD",1,,,Gigabit LAN,,,32GB,1920 x 1080,,,,Windows 7 Home Premium 64-Bit,DVDRW,Windows 8 64-Bit,Intel,Core i7,4710MQ,2.50GHz,Quad-Core,802.11ac,,,8GB,,,,,Bluetooth 4.0,,,,,Gaming,,,,4,,Dedicated Graphics,,,,,,,,,,,,,,,,,,,,PC3-12800 1600MHz,,,Windows 7 Home Premium 64-Bit,7200 RPM,,Up to 4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro 3 Intel Core i7 8GB Memory 256GB Storage 12 Tablet - WiFi, Windows 8.1 Pro 64-bit - 5D2-00001 at TigerDirect.com",Yes,2 - Front & Rear,New,Intel Core i7,7.93 in x 11.5 in x 0.36 in,2160 x 1440,Yes,5MP,1,LPDDR3,Yes,Windows 8.1 Pro,Windows,12 '',256GB,Yes,1.0,1.76 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ML310e ProLiant Gen8 v2 Hot Plug 4 LFF 350W PS Smart Server - 4 Core IntelÂ® XeonÂ® Processor E3-1220v3, 3.10 GHz, 1P 4GB, Dual Rank PC3L-10600E Memory, 500GB, 1Gb 332i Adapter, DVD RW - 724978-S01 at TigerDirect.com",,,,,,,,,,DDR3 SDRAM SDRAM,,,,,,,,,,,500 GB,,,18.7 '',,HDD - hot-swap,,,,14.5 '',,,,2,32GB 32GB,,,,,,,,Intel,Quad Core Xeon,E3-1220v3,3.10GHz,,,,,4GB,,,,6.9 '',VMware Red Hat Enterprise Linux ( RHEL ) SUSE Linux Enterprise Server ( SLES ) DDR3,,,,,,,,,,,,,,,,,4U Tower,,,,HP Ethernet 1Gb 2-port 332i Adapter,,Gigabit Ethernet,,1 x 4GB,,,,350 Watt,,,,,,7200 RPM,,,,DVDRW,,,,,,,,,,,,,,,microATX,,,,,,PC3L-10600E 1333 MHz,,,,,,,,,4,2.0,,,,,,8MB,,,,,,Intel,,,,,,,
ASUS GL551JM Intel Core i7 16GB Memory 1TB HDD NVIDIA GTX 860M 2G 15.6 Gaming Laptop Windows 8.1 64-bit - GL551JM-DH71 at TigerDirect.com,,,New,,,,,,,DDR3,,,Laptop,15.6 '',,,,,,,1TB,Black,"Integrated Wireless LAN , Integrated Bluetooth",,Full HD Display,HDD,NVIDIA GTX 860M,1x 1TB,,,Yes,"IEEE 802.11a/g/n , Bluetooth 4.0",Illuminated Backlit,,,1920 x 1080,,,Integrated Touchpad,Windows 8.1 64-Bit,DVD Super Multi Dual Layer Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11a/g/n , Bluetooth 4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,16GB,,,,,,Integrated Audio,,,,Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 5 hours,,,,,,,,,,
SONY SVD13213CXB I54200U 4/128SSD/W8H/13UBK (Scratch & Dent) at TigerDirect.com,,,Scratch and Dent,,,,,,,DDR3,,,Ultrabook,13.3 '',,,,2.93 lbs,IntelÂ® High Definition Audio,Lithium Polymer,128GB,Black,Integrated Wireless LAN,8.27 '',Widescreen HD LED-Backlit Capacitive Touchscreen,SSD,Intel HD Graphics 4400,,1,0.77 '',Yes,,QWERTY 83 Keys with 1.0mm Stroke and 19.05mm Pitch,,,1920 x 1080,,,Integrated Touchpad,Windows 8 64-Bit,,,Intel,Core i5,i5-4200U,1.60GHz,Dual-Core,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,13.00 '',Integrated Bluetooth 8.0MP ( Rear ),Integrated Audio,Bluetooth 4.0+HS,,,Home & Student,,,,2 - USB 3.0,1,Integrated Graphics,,,,,,,,,,,,,,1 x 4GB,,,,,,PC3-12800 1600MHz,,,,,Media Reader,,,,,,,,,,,,,,,1,,,,,,2.0MP ( Front ),,,,,Yes,,,,,,,,,,,,,,,,,Up to 10 hours,,,,,,,,,,
ASUS Transformer Book T200TA 4GB Memory 64GB SSD 11.6 2-in-One Notebook Windows 8.1 64-bit - T200TA-C1-BL at TigerDirect.com,,,New,,,,,,,DDR3L,,,2-in-One,11.6 '',,,,,,,64GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",,IPS HD Multi-Touch Screen,SSD,IntelÂ® HD Graphics,1x 64GB,1 - micro,,Yes,"RJ-45 Ethernet Connector , IEEE 802.11 a/b/g/n , Bluetooth 4.0",Standard Size,1 - RJ-45,,1366 x 768,,,Integrated Touchpad,Windows 8.1 64-Bit,None,,Intel,Atom,Z3795,1.59GHZ,Quad-Core,"IEEE 802.11a/b/g/n , Bluetooth","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,4GB,Yes,,,,,Integrated Audio,,,,,,,,"1x USB 3.0 , 1x USB 2.0",1 - Combo Headphone/Microphone Jack,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in Stereo Speakers,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo C260 All-In-One PC - Intel Celeron J1800 2.41GHz, 4GB DDR3 Memory, 500GB HDD, DVDRW, 19.5 Display, Windows 8.1 64-bit - 57327436 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,19.5 '',,,,,High Definition Audio,,500GB,,,1.9 '',HD+ Display,,Intel HD Graphics,,1,13.5 '',,,Included,1,,1600 x 900,,,Included,Windows 8.1 64-Bit,,,Intel,Celeron,J1800,2.41GHz,,,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",6-in-1,4GB,No,,,19.1 '',,Integrated Audio,,,,All-In-One,,,,"1 - USB 3.0 , 3 - USB 2.0",1 - Headphone/Microphone Jack Combo,Integrated Graphics,,,Black,,,All-In-One,HDD,1,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,DVD±RW,Vertical,,FCBGA1170,,,"7,200RPM",,,,,,,,,"Wireless LAN 802.11 b/g/n , Bluetooth 4.0",,,,,,,,,,Yes,Yes,,Media Reader,Built-In,720p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS G751JY Intel Core i7 24GB Memory 1TB HDD + 256GB SSD NVIDIA GTX 980M 4GB GDDR5 17.3 Gaming Laptop Windows 8.1 64-bit - G751JY-DH71 at TigerDirect.com,,,New,,,,,,,DDR3L,,,Laptop,17.3 '',,,,8.4 lbs,,8-Cell Lithium-ion,1256GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",12.5 '',Full HD Display,HDD + SSD,NVIDIA GTX 980M,"1x 1TB HDD , 1x 256GB SSD",1,0.9 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 ac , Bluetooth",,1 - RJ-45,,1920 x 1080,SD/MMC,,,Windows 8.1 64-Bit,Blu-Ray Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,24GB,,,1,16.4 '',,,,,,Gaming,,,,4 - USB 3.0,1 - Headphone/line-out,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,4GB GDDR5,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkServer TS440 70AQ000NUX Tower Server - 5U, 1-way, Intel Xeon E3-1225 v3 3.20GHz, 4GB Memory, No HDD, No OS at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,23.4 '',,,Intel HD Graphics P4600,,,16.9 '',,,,1,32GB,,,,,No OS,,,Intel,Xeon,E3-1225 v3,3.20GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,,,1,7.7 '',10 1 6 - USB 3.0,,,,,,,4.0,,2 - USB 2.0,,Integrated,,,,,,5U Rackmounted,,,,Intel I217,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,,,,450 Watt,LGA1150,,1.0,,,,,,,DVD-ROM,1.0,1.0,,,,,,,,,,,,,AC 120/230 V ( 50/60 Hz ),,,,,,1600MHz PC3-12800,1600MHz,,,,,,,0,4 Hot-Swap,2.0,SATA 6Gb/s,,3.0,,,8MB,Hard Drive Not Included,Tower,,,,Intel,,Single,2.0,1.0,ThinkServer RAID 500,1.0,
MSI GP70 Leopard-010 Intel Core i5-4200M 2.5GHz 8GB Memory 1TB HDD NVIDIA Geforce GT 840M (2GB GDDR3) 17.3 Gaming Notebook Windows 8.1 64-bit at TigerDirect.com,,,New,,,,,,,DDR3L,,,,17.3 '',,,,5.95 lbs,,6-Cell Lithium-ion,1TB,Black,Integrated Wireless LAN,10.60 '',Full HD Display,HDD,NVIDIA Geforce GT840M,1x 1TB,1,1.53 '',Yes,Killer Gaming Network,Steel Series Gaming Backlit 102 keys,,,1920 x 1080,SD ( XC/HC ),,Integrated Touchpad,Windows 8.1 64-Bit,DVDRW,,Intel,Core i5,4200M,2.5GHz,,Bluetooth,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,,,1,16.45 '',Intel 1x1 Wireless-AC 3160 a/c Integrated Bluetooth 802.11ac 2 - USB 3.0,,,,,Gaming,,,,2 - USB 2.0,1 - Combo Headphone/Microphone Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,2G GDDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface Pro 3 Intel Core i5 256GB Storage 12 Tablet, WiFi, Windows 8.1 Pro 64-bit - PS2-00001 at TigerDirect.com",Yes,2 - Front & Rear,New,Intel Core i5-4300U 1.6GHz,7.93 in x 11.5 in x 0.36 in,2160 x 1440,Yes,5MP,1,LPDDR3,Yes,Windows 8.1 Pro,Windows,12 '',256GB,Yes,1.0,1.76 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microsoft Surface 2 Tablet - 10.6 Screen 1920x1080, Multi-Touch, Windows RT 8.1, 32GB, 2GB RAM Memory, USB 3.0, Micro SD card Reader, front and Rear Cameras(Refurbished) - P6W-00001 at TigerDirect.com",Yes,2 - Front & Rear,Refurbished,NVIDIA Tegra 4 Quad-Core,10.81 '' x 6.77 '' x 0.37 '',,,3.5MP,Yes,RAM,Yes,Windows 8.1,Windows,10.6 '',32GB,,1.0,1.49 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 : 9,5.0 MP,Web surfing - up to 10 hours,10.1 '' to 11 '',2 GB,Yes,Multi-touch,1 Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS G751JY Intel Core i7 24GB Memory 1TB HDD + 256GB SSD NVIDIA GTX 980M 4GB GDDR5 17.3 Gaming Laptop Windows 8.1 64-bit - G751JY-DH71 at TigerDirect.com,,,New,,,,,,,DDR3L,,,Laptop,17.3 '',,,,8.4 lbs,,8-Cell Lithium-ion,1256GB,,"Integrated LAN , Integrated Wireless LAN , Integrated Bluetooth",12.5 '',Full HD Display,HDD + SSD,NVIDIA GTX 980M,"1x 1TB HDD , 1x 256GB SSD",1,0.9 '',Yes,"RJ-45 Ethernet Connector , IEEE 802.11 ac , Bluetooth",,1 - RJ-45,,1920 x 1080,SD/MMC,,,Windows 8.1 64-Bit,Blu-Ray Burner,,Intel,Core i7,4710HQ,2.5GHz,Quad-Core,"IEEE 802.11ac , Bluetooth v4.0","[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,24GB,,,1,16.4 '',,,,,,Gaming,,,,4 - USB 3.0,1 - Headphone/line-out,,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,4GB GDDR5,,,,,,,,,,,,,,1 - Microphone input port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell Latitude D620 Notebook PC - Intel Core Duo 1.6GHz, 2GB DDR2, 80GB HDD, DVD-ROM, 14.1 in. Display, Windows 7 Home Premium 32-bit (RB- 854624004940) (Off-Lease) at TigerDirect.com",,,Off-Lease,,,,,,,DDR2,,,Laptop,14.1 '',,,,4.47 lbs,High Definition Audio,6-Cell Lithium-ion,80GB,,Integrated LAN,9.56 '',WXGA LCD,HDD,,1x 80GB,,1.28 '',,,Standard Size,1,8GB,1280 x 800,,2 Slots,Touch Pad,Windows 7 Home Premium 32-Bit,DVD-ROM,,Intel,Core Duo,,1.6GHz,Dual-Core,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,2GB,No,,,13.12 '',Integrated Wireless LAN Integrated Modem,Integrated Audio,,,,Home & Student,,,,4,,Integrated Graphics,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Acer Aspire S7-392-54208G25tws - Ultrabook - Core i5 4200U / 1.6 GHz - Windows 8.1 64-bit - 8 GB RAM - 256 GB SSD - 13.3 touchscreen 1920 x 1080 ( Full HD ) - Intel HD Graphics 4400 - white, silver - at TigerDirect.com",,,New,,,,,,,DDR3L SDRAM,,,Ultrabook,13.3 '',,,,2.9lbs,,,256GB,,,8.8 '',Widescreen,SSD,Intel HD Graphics 4400,,,0.5 '',,,,,,1920 x 1080,,,,Windows 8.1 64-Bit,,,Intel,,,2.6GHz,Dual-Core,,,,,Yes,,,12.7 '',,,,,,,,,,,,Intel HD,,,,,,,,,,,,,,,,,,,,,,,,,,Shared Video Memory ( UMA ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8GB
"Acer Veriton M2631 Desktop PC - Intel Core i3-4130 3.40GHz, 4GB DDR3 Memory, 1TB HDD, DVDRW, Windows 7 Home Premium 64-bit - DT.VK7AA.002 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,,,1TB,,,17.8 '',Monitor Not Included,,,,,14.8 '',,,,1,16GB,,,,,Windows 7 Home Premium 64-Bit,,,Intel,Core i3,i3-4130,3.40GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,,,1,7.1 '',,Integrated Audio,,,,Home & Student,,,,"4 - USB 2.0 , 2 - USB 3.0",Yes,Integrated Graphics,,,Black,USB Keyboard USB Mouse,1.0,Tower,HDD,1,Serial ATA/300,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,"1 - PCI , 2 - PCI Express X1 , 1 - PCI Express X16 Slots",DVD±RW,Vertical,200 Watt,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,,,,,,,,,,Yes,,,,Media Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad T410 Intel Core i5 4GB Memory 250GB HDD 14.1 Notebook Windows 7 Professional 64-bit (Off-Lease) - RB-640626587617 at TigerDirect.com,,,Off-Lease,,,,,,,DDR3,,,Laptop,14.1 '',,,,,High Definition Audio,,250GB,,Integrated LAN,,WXGA LCD,HDD,Intel HD Graphics,1x 250GB,,,,RJ-45,Full-Size Keyboard,1 - RJ-45,8GB,1280 x 800,,,Touch Pad,Windows 7 Professional 64-Bit,DVDRW,,Intel,Core i5,,2.4GHz,Dual-Core,802.11b,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,4GB,No,,1,,802.11g 802.11b/g/n Wireless Networking Integrated Wireless LAN 802.11n,Integrated Audio,10/100/1000 Gigabit Ethernet LAN,,1,Business,,,,,1 Headphone out/Microphone-in combo jack,Integrated Graphics,,,,,,,,,,,,,,,,,,,,,,,,7200 RPM,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 - RJ-11,,,,,,,,
"HP ProLiant MicroServer Gen8 Tower Server - Intel Xeon E3-1220 v2 3.10GHz, 4GB DDR3 Memory, 2TB HDD, DVDRW, No OS - 783958-S01 at TigerDirect.com",,,New,,,,,,,DDR3,,,,,,,,,,,,,,9.6 '',,,Matrox G200,,,9..1 '',,,,Yes,16GB,,,,,No OS,,,Intel,Xeon,E3-1220 v2,3.10GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,,,,9.1 '',,,,,,,,,,"5 - USB 2.0 , 2 - USB 3.0",,Integrated,,,,,,,,,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,,,,,150 Watt,FCLGA1155,,,,,7200RPM,,,,DVDRW,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 , 1 , 1+0",,1.0,Serial ATA/600,4.0,,,,8MB Intel Smart Cache,2TB,Tower,,,,Intel,,Single,1.0,,,,
"CyberpowerPC Gamer Ultra Gaming PC - AMD FX-4300 3.80GHz, 8GB DDR3 Memory, 1TB HDD, DVDRW, 1GB AMD Radeon R5 230, Windows 7 Home Premium 64-bit - GU6022 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,Realtek ALC887,,1TB,,,19.6 '',,,AMD Radeon R5 230,,1,16.8 '',,,,1,8GB - 64 bit,,,,,Windows 7 Home Premium 64-Bit,,,AMD,FX Series,FX-4300,3.80GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",,8GB,,,1,7.55 '',4x USB 2.0 ( Back ) 3 - 5.25 '' Drive Bays 1 - Keyboard,Integrated Audio,,,,Gaming,"C447-12001 TigerDirect.com Warranty Information 7795 W. Flagler St. Suite 35 Miami , FL . 33144",2.0,,2x USB 2.0 ( Front ),1,Dedicated Graphics,,,Black,USB USB,1.0,Mid-Tower,HDD,1,SATA SATA II ( 3.0Gb/s ),Realtek 8211CL,10/100/1000Mbps,Gigabit Ethernet,RJ-45,2 x 4GB,,,Vertical,500 Watt,Socket AM3+,,,"7,200RPM",,,,1GB,,DVDÂ±RW,1.0,1.0,,,,,,,,,,,,,ATX,,,,,,1333MHz PC3-10600,1333MHz,,,8,,,,,,,,,0.0,,,,,,,1 - Mouse,,,,,1.0,1.0,,2.0,
"HP ProDesk G1 400 Desktop PC - Intel Core i7-4770 3.4GHz CPU, 8GB DDR3, 1TB HDD, 1GB AMD Radeon HD 8350, Windows 7/8.1 Pro 64-bit, 3YR Warranty On-Site - G5Q94UT#ABA at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,,,,,,,,1TB,,,15.82 '',,,AMD Radeon HD 8350,,,14.05 '',,,HP Keyboard,,,,,,HP mouse,Windows 8.1 Pro 64-Bit,,Windows 7 Professional 64-Bit,Intel,Core i7,4770,3.4GHz,,,,,8GB,,,,7.2 '',,,,,,,,,,,,,,,,USB Keyboard USB Mouse,,Minitower,HDD,1,,,,,,,,DVD±RW,,,,,,"7,200RPM",,,,1GB dedicated,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X1 Carbon Intel Core i7 8GB Memory 256GB SSD 14.0 Ultrabook Windows 8.1 Pro 64-Bit - 20A70037US at TigerDirect.com,,,New,,,,1 - Mini-DisplayPort,,,DDR3L,,,Ultrabook,14.0Â,,,,3 lbs,High Definition Audio,8-Cell Lithium Polymer,256GB,,Integrated LAN,8.9 '',Capacitive-type MultiTouch,SSD,Intel HD Graphics 4400,1x 256GB,1,0.7 '',Yes,RJ-45 Ethernet Connector,Adaptive Keyboard,1 - RJ-45,,1600 x 900,,,Integrated Touchpad,Windows 8.1 Pro 64-Bit,,,Intel,Core i7,4600U,2.1GHz,Dual-Core,Bluetooth 4.0,"[ 1 ] To provide the most accurate specifications , the specifications listed are based upon the manufacturer 's exact model specification as published on the manufacturer 's website , and the manufacturer 's product documentation .",,8GB,Yes,,,13 '',Intel Dual Band Wireless-AC 7260 Realtek ALC3232 802.11ac Integrated Bluetooth Integrated Wireless LAN Dolby Home Theater v4 Audio Enhancement,,,,,Thin & Light,,,,2 - USB 3.0,1 - Headphone/Microphone Combo Jack,,Yes,,,,,,,,,,,,,,,,,,,PC3-12800 1600MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 8.7 hours,,,,,,,,,,
Dell PowerEdge T20 Mini Tower Server - Server - MT - 1-way - 1 x P G3220 / 3.1 GHz - RAM 4 GB - non-hot-swap - HDD 500 GB - GigE - no OS - Monitor : none. at TigerDirect.com,,,New,,,,,,,DDR2,,,,,,,,,,,,,,17.2 '',,,,,,14.2 '',,,,1,32GB,,,,,No OS,,,Intel,Pentium,G3220,3.10GHz,,,"[ 9 ] To provide the most accurate specifications , the specifications listed are based upon the exact model specification as published by CNET .",,4GB,,,,6.9 '',4 - USB 3.0,,,,,,,4.0,,8 - USB 2.0,,,,,,,,,,,,Intel I217LM,10/100/1000Mbps,Gigabit Ethernet,RJ-45,1 x 4GB,,,,290 Watt,FCLGA1150,,,,,7200RPM,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1600MHz PC3-12800,1600MHz,,,,,,,,,,SATA 6Gb/s,4.0,3.0,1,,3MB Intel Smart Cache,500GB,Tower,,,,Intel,,Single,1.0,1.0,,1.0,
"Microsoft Surface 2 Tablet - 10.6 Screen 1920x1080, Multi-Touch, Windows RT 8.1, 64GB, 2GB RAM Memory, USB 3.0, Micro SD card Reader, front and Rear Cameras(Refurbished) - Q2W-00001 at TigerDirect.com",Yes,2 - Front & Rear,Refurbished,NVIDIA Tegra 4 Quad-Core,10.81 '' x 6.77 '' x 0.37 '',,,3.5MP,Yes,RAM,Yes,Windows 8.1,Windows,10.6 '',64GB,,1.0,1.49 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 : 9,5.0 MP,Web surfing - up to 10 hours,10.1 '' to 11 '',2 GB,Yes,Multi-touch,1 Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo B550 All-In-One PC - Intel Core i5-4440 3.10GHz, 8GB Memory, 1TB HDD, DVDRW, 23 Display, Windows 8.1 64-bit - 57323749 at TigerDirect.com",,,New,,,,,,,DDR3,,,PC,23 '',,,,,High Definition Audio,,1TB,,,4.0 '',Full HD LED Backlit IPS Multi-Touch Display,,Intel HD Graphics 4600,,1,16.8 '',,,,1,,1920 x 1080,,2 Slots Total / 0 Free,,Windows 8.1 64-Bit,,,Intel,Core i5,i5-4440,3.10GHz,,,"[ 6 ] To provide the most accurate specifications , the specifications listed are based upon information provided by the vendor .",6-in-1,8GB,Yes,,,22.8 '',802.11n 802.11g Bluetooth 4.0 2 - USB 3.0,Integrated Audio,,,,All-In-One,,,,2 - USB 2.0,1,Integrated Graphics,,,Black,,,All-In-One,Hard Disk Drive,1,,Integrated,10/100/1000Mbps,Gigabit Ethernet,RJ-45,2 x 4GB,,DVD±RW,Vertical,,,PC3-12800 1600MHz,,"7,200RPM",,,,,,,,,Wireless LAN 802.11 b/g/n,,,,,,,,,1,Yes,Yes,,Media Reader,Built-In,720p,,802.11b,,,,,Dolby Advance Audio v2,,,,,,,,,,,,,,,,,,,,,,,,,
