<page title>,brand name,color,computer memory type,hard drive,hard drive interface,hardware platform,item dimensions l x w x h,item weight,max screen resolution,operating system,processor,processor brand,processor count,ram,screen size,series,wireless type,item model number,power source,audioout ports,batteries,battery type,flash memory size,graphics coprocessor,memory speed,number of usb 30 ports,optical drive type,screen resolution,asin,best sellers rank,customer reviews,date first available,shipping,shipping weight,average battery life in hours,graphics card ram size,hard drive rotational speed,buy used and save,heres how,voltage,card description,chipset brand,number of usb 20 ports,rear webcam resolution,manufacturer part number,product dimensions,size,number of items
"Amazon.com : HP EliteBook 840 G1 - Core i5 4300U / 1.9 GHz - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - no optical drive - 14"" HD : Computers & Accessories",HP,,,500 GB,,,,3.5 pounds,,microsoft windows 7 professional,Intel Core i5,,2.0,4096 MB,14 inches,,,F1R88AW # ABU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware ALW14-5002sLV 14-inch Laptop (2.4 GHz Intel Core i7 4700MQ Processor, 16.0 GB DDR3L, 1024.0 GB HDD, 80 GB SSD, Windows 7 Home Premium) : Computers & Accessories",Alienware,,,1024 GB flash_memory_solid_state,,,20.32 x 4.51 x 14.59 inches,4 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.4 GHz Core i7-4700MQ,Intel Core I7,1.0,16 GB DDR3L SDRAM,14 inches,Alienware,802.11n,ALW14-5002sLV,,,1 Lithium ion batteries required . ( included ),,80,NVIDIA® GeForce® GTX 765M with 2GB GDDR5,,3.0,,,B00IMUAYT2,# 899 in Computers & Accessories ( See top 100 ) # 48 in Electronics > Outlet,4.3 out of 5 stars See all reviews 27 reviews 4.3 out of 5 stars,"March 6 , 2014",This item is also available for shipping to select countries outside the U.S .,11.2 pounds ( View shipping rates and policies ),,2048 MB,5400 RPM,See all Used offers .,( restrictions apply ),,,,,,,,,
Amazon.com : Gigabyte X3PLUS-CF1 13.9-Inch Gaming Notebook Laptop : Computers & Accessories,Gigabyte,,,512 GB,,PC,10.37 x 12.99 x 0.90 inches,4.1 pounds,3200 X 1600 pixels,Windows 8.1,2.4 GHz Intel Core i7,Intel,,16 GB DDR3,13.9 inches,Gaming Notebook,802.11 A/C,X3PLUS-CF1,,,,,512.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,
Amazon.com : HP 15-d073nr 15.6-Inch Laptop (Sparkling Black) : Computers & Accessories,HP,Sparkling Black,,500 GB,,PC,10.20 x 14.88 x 1.11 inches,5.1 pounds,1366x768,Windows 8.1,2 GHz A6-5200,AMD A6,,4 GB DDR3L SDRAM,15.6 inches,HP,802.11bgn,F5Y36UA # ABA,,1.0,1 Lithium ion batteries required . ( included ),,,,,1.0,SuperMulti DVD burner,,,,,,,,3.75 hours,,5400 RPM,,,,,,2.0,,,,,
Amazon.com : Lenovo B590 Windows 7 i5 15.6-Inch Laptop (Black) 59410449 : Computers & Accessories,Lenovo,Black,DDR3 SDRAM,500 GB mechanical_hard_drive,,PC,14.88 x 1.32 x 9.92 inches,5.5 pounds,1366x768,Windows 7 Home Premium 64-bit,2.6 GHz Core i5 3230M,Intel Core I5,1.0,6 GB DDR3,15.6 inches,IdeaPad,802.11bgn,59410449,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,Integrated,1600 MHz,2.0,DVDRW,1366 x 768,B00HEYVAV8,"# 2,877 in Computers & Accessories ( See top 100 )",3.9 out of 5 stars See all reviews 83 reviews 3.9 out of 5 stars,"January 21 , 2014",This item is also available for shipping to select countries outside the U.S .,7.1 pounds ( View shipping rates and policies ),5 hours,,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : Hp Envy 15t (Non-touch) 15.6"" Quad Laptop Computer w/ Windows 7 Pro : Intel 4th Generation Quad Core I7-4710HQ, 8GB Memory, 1TB HDD Hard Drive, DVD Burner : Computers & Accessories",HP,,DDR3 SDRAM,1 TB,,,,,,Windows 7 Professional,,,,12 GB SDRAM DDR3,15.6 inches,15,802.11bgn,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad X240, I5-4300U 1.9GHZ, 4GB (1600) RAM, 128GB SSD HDD, Win8 pro64, 12.5"" HD display : Computers & Accessories",Lenovo,,,,,,,5.4 pounds,,windows 8,,,2.0,,,,,20AM001HUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware 17 17-Inch Full HD Gaming Laptop, 4th Gen Intel Core i7-4710MQ UP to 3.5GHz, 16GB Memory, 512GB SSD + 500GB SATA HDD, 8GB GeForce GTX 880 Graphics, Windows 8.1 : Computers & Accessories",Alienware,Silver Anodized Aluminum,DDR3 SDRAM,,"Serial ATA , Solid State",PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 8,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad Yoga 20CD00B1US 12.5"" i7-4600U 8GB 256GB SSD + 1TB Full HD W8.1 Notebook : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1256 GB,"Solid State , Serial ATA",PC,12.44 x 8.70 x 0.76 inches,3.6 pounds,,windows 8 professional,2.10 GHz Intel Core i7,Intel,2.0,8 GB,12.50 inches,Yoga,,Yoga,,,,,,Intel HD Graphics 4400,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,
Amazon.com : Panasonic Toughbook CF-53SSLC8LM 14-Inch Laptop (Silver) : Computer Internal Components : Computers & Accessories,Panasonic,Silver,,500 GB,,PC,1 x 1 x 1 inches,1 pounds,1366 x 768 pixels,Windows 7 Professional,2.7 GHz Core i5-3320M,Intel,1.0,4 GB DDR3L SDRAM,14 inches,Toughbook,802.11bgn,CF-53SSLC8LM,,,1 Lithium ion batteries required . ( included ),,,Intel HD Graphics 4000,,2.0,DVD SuperMulti,,,,,,,,7 hours,,7200 RPM,,,,,,2.0,,,,,
"Amazon.com : Gigabyte P25Wv2 15.6"" i7-4810MQ 2.8GHz Nvidia GTX 870M 6GB Full HD W8.1 Gaming Laptop : Computers & Accessories",Gigabyte,,DDR3 SDRAM,1128 GB,"Solid State , Serial ATA",PC,15.43 x 10.35 x 1.51 inches,6.2 pounds,1920x1080,windows 8,2.80 GHz Intel Core i7,Intel,4.0,8 GB,15.60 inches,P25Wv2,802.11bgn,P25Wv2,,1.0,,,,,,2.0,DVD-RW,1920 x 1080,,,,,,,,6 GB,7200.00,,,,NVIDIA Geforce GTX 870M,NVIDIA,1.0,,,,,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen 2.5 GHz Intel Core i7-4710MQ Processor, 16GB DDR3L, 512GB SSD RAID 0, Blu-ray Burner, Dual AMD Radeon R9 M290X, Windows 8.1 Pro : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,24.65 x 5.35 x 16.79 inches,16 pounds,,Windows 8 Pro,,,,,,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS 15.6"" HD Quad-Core Touchscreen Laptop, 500GB HDD & 4GB RAM : Computers & Accessories",Asus,black,DDR3 SDRAM,500 GB,Serial ATA,PC,10.20 x 15 x 1 inches,4.9 pounds,1366*768 pixels,Windows 8.1,1.83 GHz Intel Celeron,Intel,4.0,4 GB DDR3L SDRAM,15.6 inches,K553MA,802.11bgn,K553MA-DB01TQ,,,1 Lithium ion batteries required . ( included ),,,,,2.0,DL DVD±RW/CD-RW,1366x768,,,,,,,5 hours,,5400 RPM,,,,,,,,,,,
"Amazon.com : Dell Latitude E7240 Intel Core i7 2.1GHz 8GB 256GB SSD 12.5"" W8 Pro (Silver) : Computers & Accessories",Dell,Black,,256 GB,ATA-4,,,,,Windows 8 Pro,Intel Core i7,,,8 GB,14 inches,Dell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Panasonic CF-C2CCBZXCM WIN7 (WIN8.1 PRO COA), INTEL CORE I5-4300U 1.90GHZ, VPRO, 12.5IN HD 5-PT MULTI TO : Computers & Accessories",,,,500 GB,,,,,,,Intel Core i5,,,8 GB,12.5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GE60 Apache Pro 15.6-Inch Gaming Series Laptop (i7-4700HQ, 2GB GDDR5 GTX 860M, 1920 x 1080 FHD, Multi-Color Backlit Keyboard, 16GB DDR3 RAM, 120GB Performance SSD & 1TB Hybrid Storage) : Computers & Accessories",MSI,Brush Aluminum Black,,,Solid State,PC,,,,Windows 8,,,,,,MSI GE60 Apache Pro,,GE60 Apache Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : POWERFUL 5TH GEN GAMING PC INTEL CORE i7 5820k 3.3Ghz 16Gb DDR4 SSD 500Gb 1TB WD BLACK ATI RADEON 290 4Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,1 TB,Serial ATA-600,PC,,,,Windows 7 Home Premium,Intel Core i7,Intel,,SDRAM DDR3,,B00NP8HC0U,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 15 7000 Laptop, Intel Core i7-4510U Processor 2.0 GHz, 16GB Ram, 15.6in Screen, 1TB HDD, GT 750M 2GB GDDR5 Graphics, Windows 8.1 : Computers & Accessories",Dell,,DDR3 SDRAM,,,PC,10 x 14.90 x 0.80 inches,5.9 pounds,,Windows 8,,,,,,Inspiron 15 7000,,15 7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : HP Pavilion 10-e010nr TouchSmart Notebook PC : Laptop Computers : Computers & Accessories,HP,Sparkling Black,DDR3 SDRAM,320 GB,Serial ATA,PC,7.66 x 10.74 x 0.89 inches,3.2 pounds,1366x768,Windows 8.1,1 GHz Apple A4,AMD A4,1.0,2 GB DDR3L SDRAM,10.1 inches,Pavilion,802.11bgn,F3F15UA # ABA,,1.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,ADM Radeon HD 8180 graphics,1066 MHz,1.0,,1366 x 768,,,,,,,,,5400 RPM,,,,,,2.0,,,,,
"Amazon.com : Alienware M17x R4 BLACK 17.3"" i7 3940XM 3.9GHz NVD GTX 680M FHD Corsair Vengeance 32GB 1866MHz RAM 256GB Samsung 840 Pro 500GB HDD Killer 1103 DVD Windows 8 : Laptop Computers : Computers & Accessories",,,,500 GB,,,,,,,Intel Core i7,,,ddr3,17.3 inches,,,,,,,,,geforce,,,,1920_x_1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Satellite S55-A5359 15.6"" LED Notebook - Intel Core i7 i7-4700MQ 2.40 GHz - Ice Silver in Brushed Aluminum : Computers & Accessories",Toshiba,,SODIMM,1 GB,Serial ATA,PC,17.20 x 14.60 x 2.40 inches,6.9 pounds,,Windows 7 Professional,2.40 GHz Intel Core i7,Intel,1.0,8 GB,15.6 inches,,,PSKK2U-04G08J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS Flip 15.6-Inch 2-in-1 Convertible Touchscreen Laptop (Core i3, 500GB HDD, 6GB RAM) : Computers & Accessories",Asus,,,500 GB,,,10.20 x 15 x 0.90 inches,5 pounds,1366*768 pixels,Windows 8.1,1.9 GHz Core i3-4030U,,,6 GB DDR3,15.6 inches,TP500LA Series,802.11bgn,TP500LA-EB31T,,,1 Lithium ion batteries required . ( included ),,,,,1.0,,,,,,,,,,,5400 RPM,,,,,,2.0,,,,,
Amazon.com : HP Pavilion 11-e110nr 11-Inch Touchsmart Laptop : Computers & Accessories,HP,black,DDR3 SDRAM,500 GB,Serial ATA,PC,8.53 x 11.41 x 0.87 inches,3.4 pounds,1366x768,Windows 8.1,1 GHz A-Series Dual Core A4,AMD A4,1.0,4 GB DDR3L SDRAM,11.6 inches,Pavilion,802.11bgn,E2S25UA # ABA,,1.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,AMD Radeon HD 8210 Graphics,,2.0,No,1366 x 768,,,,,,,5 hours,,5400 RPM,,,,,,1.0,,,,,
"Amazon.com : MSI GT60 Dominator Pro 3K 475 15.6"" IPS 3K WQHD+ 2880x1620 i7 4930MX EXTREME 3.9GHz 8GB GTX 880M 32GB HyperX RAM 4TB SSD RAID0 BDRE Windows 8.1 Pro : Computers & Accessories",MSI,,DDR3 SDRAM,4 TB,,PC,14.97 x 10.24 x 1.77 inches,7.7 pounds,2880 x 1620,Windows 8 Pro,Intel Core i7,,,SO-DIMM DDR3,15.6 inches,GT60 Dominator Pro 3K-475,802.11bgn,,,,1 Lithium ion batteries required .,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer Corp. MSI GT70 2OD-064US;9S7-176312-064 17.3-Inch Laptop : Computers & Accessories,MSI,Black,DDR3 SDRAM,1024 GB SATA,Serial ATA-600,PC,16.85 x 11.34 x 2.17 inches,8.6 pounds,1920x1080,Windows 8,3.2 GHz Intel Core i7-4700MQ,Intel,4.0,12 GB DDR3,17.3 inches,GT70 2OD,802.11bgn,GT70 2OD-064US ; 9S7-176312-064,,2.0,1 Lithium ion batteries required .,Lithium-Ion ( Li-Ion ),,NVIDIA Geforce GTX780M,1600 MHz,3.0,BD Combo,1920 x 1080,,,,,,,2 hours,4000 MB,7200 RPM,,,,,,2.0,,,,,
Amazon.com : CUSTOM VIDEO EDITING WORKSTATION INTEL X99 i7 5820k 3.3Ghz 32Gb DDR4 SSD 500Gb 2TB WD BLACK PNY QUADRO K4000 3Gb : Computers & Accessories,Adamant Computers,,DDR3 SDRAM,2 TB,Serial ATA-600,PC,,,,Windows 7 Professional,Intel Core i7,Intel,,SDRAM DDR3,,B00NZ1OM2I,802.11bgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GS60 Ghost Pro 3K-097 15.6"" i7-4710HQ 16GB 1.24TB HDD/SSD Nvidia GTX 870M 3GB WQHD+ 3K Display W8.1 : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1240 GB,"Serial ATA , Solid State",PC,15.35 x 10.47 x 0.78 inches,4.4 pounds,,Windows 8.1 x64,2.50 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,15.60 inches,GS60,,GS60,,,,,,NVIDIA GeForce GTX 870M,1600 MHz,,None,2880x1621,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware 17 17-Inch Gaming Laptop, 4th Gen Intel Core i7-4700MQ UP to 3.4GHz, 16GB Memory, 512GB + 512GB SSD, 2GB NVIDIA GTX 765 Graphics, Windows 8 : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,23.03 x 16.22 x 4.76 inches,16 pounds,,Windows 8,,,,,,Alienware 17,,ALW17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Fujitsu Lifebook E734 Core i7 4702MQ 3 MB Cache Windows 7 Professional 64-Bit Office 2013 Trial Windows 8.1 Pro license : Computers & Accessories,Fujitsu,,DDR3 SDRAM,,,,39.37 x 39.37 x 39.37 inches,3.5 pounds,,,,,4.0,,,,,VFY : E7340MXP11GB,,,1 Lithium ion batteries required . ( included ),,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Toshiba Qosmio X70-AST3G23 Laptop Notebook Windows 8 - Intel i7-4700MQ Up to 3.40GHz with Intel® Turbo Boost Technology 2.0 - 8GB RAM - 1.0TB HD - 17.3 inch display : Computers & Accessories,Toshiba,Black,,,,PC,,13 pounds,,Windows 8.1,,,,,,x70-ast3g23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : ASUS G750JZ-QB71-CB Republic of Gamers (ROG) (17.3-inch, i7-4700HQ, 24GB-DDR3, 256GB SSD+1TB HDD, GTX880M-4G, BD, Windows 8.1, Black, Bilingual) : Computers & Accessories",Asus,,,,,PC,12.52 x 16.14 x 2.28 inches,10.6 pounds,,Windows 8,,,,,,G750JZ-QB71-CB,,G750JZ-QB71-CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware ALW14-3437sLV 14-Inch Laptop (2.5 GHz Intel Core i5-4200M Processor, 8.0 GB DDR3L, 1024.0 GB HDD, 80 GB SSD, NVIDIA GeForce GTX 750M, Windows 7 Home Premium) : Computers & Accessories",Alienware,,,1024 GB flash_memory_solid_state,,,20.32 x 4.51 x 14.59 inches,7 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.5 GHz Core i5-4200M,Intel Core I5,1.0,8 GB DDR3L SDRAM,14 inches,Alienware,802.11n,ALW14-3437sLV,,,1 Lithium ion batteries required . ( included ),,80,NVIDIA GeForce GT 750M with 2GB GDDR 5,,3.0,,,B00IMUAYMO,"# 3,743 in Computers & Accessories ( See top 100 )",4.2 out of 5 stars See all reviews 5 reviews 4.2 out of 5 stars,"March 6 , 2014",This item is also available for shipping to select countries outside the U.S .,11.4 pounds ( View shipping rates and policies ),,2048 MB,5400 RPM,,,,,,,,,,,
"Amazon.com : HP ZBook 17 Mobile Workstation - 17.3"" - Core i7 4700MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 16 GB RAM - 750 GB HDD : Computers & Accessories",,,,750 GB,,,,,,,Intel Core i7,,,16 GB,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Alienware ALW18-2001sLV 18-Inch Laptop (3.4 GHz Intel Core i7-4700MQ Processor, 8GB DDR3L, 750GB HDD, Dual NVIDIA GeForce GTX 765M 2GB GDDR5, Windows 7 Home Premium) Silver-Anodized Aluminum : Laptop Computers : Computers & Accessories",Dell,Silver-Anodized Aluminum,,750 GB mechanical_hard_drive,,,24.65 x 5.35 x 16.79 inches,20.8 pounds,1920x1080,Windows 7 Home Premium 64-bit,3.4 GHz Core i7-4700MQ,Intel Core I7,,8 GB DDR3L SDRAM,18 inches,Alienware 18,802.11bgn,ALW18-2001sLV,,,1 Lithium ion batteries required . ( included ),,,,,4.0,,,,,,,,,,,7200 RPM,,,,,,,,,,,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen 2.5 GHz Intel Core i7-4710MQ Processor, 8GB DDR3L, 1TB HDD, 80GB SSD, Dual AMD Radeon R9 M290X, Windows 8.1 Pro : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,24.65 x 5.35 x 16.79 inches,16 pounds,,Windows 8 Pro,,,,,,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo Y70 TOUCH Laptop - 80DU000HUS - Intel Core i7-4710HQ / 512GB Solid State Drive / 16GB RAM / 17.3"" FHD 1920x1080 Display / NVidia GeForce 860M 4GB / Dual Band Wireless AC / Windows 8.1 : Computers & Accessories",Lenovo,Black,DDR3 SDRAM,512 GB,Solid State,PC,,7.5 pounds,1920 x 1080,Windows 8,2.50 GHz,,,16 GB SDRAM DDR3,17.3 inches,Y70 Touch,,80DU000HUS,,,,,,,,,,1920x1080,,,,,,,,,,,,,,,,,,,,
"Amazon.com : HP Pavilion 15-g019wm Notebook PC, AMD E1-2100, 4GB, 500GB, Supermulti DVD Burner, 15.6"" LED, Webcam, Windows 8.1 : Computers & Accessories",HP,Black,DDR3 SDRAM,500 GB,,PC,,,,Windows 8,,AMD E-Series,,4 GB,15.6 inches,15-g019wm,802.11bgn,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Lenovo ThinkPad T540p 20BE003AUS 15.6-Inch Laptop (2.5 GHz Intel Core i5-4200M Processor, 4GB DDR3, 500GB HDD, Intel HD Graphics 4600, Windows 8 Pro) Black : Computers & Accessories",Lenovo,Black,DDR3 SDRAM,500 GB Serial ATA-600,Serial ATA,PC,14.83 x 9.77 x 1.33 inches,1 pounds,1366 x 768 pixels,Windows 8 Professional,2.5 GHz Core i5-4200M,Intel,1.0,4 GB DDR3L SDRAM,15.6 inches,ThinkPad T540p,802.11bgn,20BE003AUS,,,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,Intel HD Graphics 4600,,2.0,DVD-Writer,1366 x 768,,,,,,,7 hours,,7200 RPM,,,,,,2.0,,,,,
"Amazon.com : HP ENVY 15t Touch Intel Core i7 Windows 8.1 Laptop PC (15.6"" Full HD Touch Screen Display, 4GB NVIDIA GeForce GTX 850M Graphics, Blu-Ray Burner, 120GB Performance SSD + 1.5TB Storage, 16GB RAM, Premium Backlit Keyboard, Latest Model) : Computers & Accessories",,,,1.5 TB,,,,,,,Intel Core i7,,,16 GB,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : 15 6"" i7 4800MQ 16G 750GB Win7 : Computers & Accessories",,,,750 GB,,,,,,,Intel Core i7,,,16 GB,15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon.com : Alienware ALW17-8125sLV 17.3-Inch Laptop : Computers & Accessories,Alienware,,,1024 GB flash_memory_solid_state,,,23.03 x 4.76 x 16.22 inches,16 pounds,1920x1080,Windows 7 Home Premium 64-bit,2.4 GHz Core i7-4700MQ,Intel Core I7,,16 GB DDR3L SDRAM,17.3 inches,Alienware,802.11n,ALW17-8125sLV,,,1 Lithium ion batteries required . ( included ),,80,NVIDIA® GeForce® GTX 780M with 4GB GDDR5,,4.0,,,,,,,,,,,5400 RPM,,,,,,,,,,,
"Amazon.com : Lenovo Y50 4K UHD Laptop Computer - 59421859 - Intel Core i7-4710HQ / 512GB Solid State Drive / 16GB RAM / 15.6"" UHD 3840x2160 Display / NVidia GeForce 860M 4GB / Dual Band Wireless AC / Windows 8.1 : Computers & Accessories",Lenovo,Black,DDR3 SDRAM,512 GB flash_memory_solid_state,Solid State,PC,,5.3 pounds,3840 x 2160,Windows 8,2.50 GHz,Intel Core I7,,16 GB SDRAM DDR3,15.6 inches,Y50 UHD,,59421859,,,,,,,,2.0,,,,,,,,,4 hours,,,,,,,,,,,,,
"Amazon.com : Alienware 18 18.4-Inch Gaming Laptop, 4th Gen 2.5 GHz Intel Core i7-4710MQ Processor, 32GB DDR3, 1TB SSD + 1TB HDD, Blu-ray Burner, Dual AMD Radeon R9 M290X, Windows 8.1 Pro : Computers & Accessories",Alienware,,DDR3 SDRAM,,,PC,24.65 x 5.35 x 16.79 inches,16 pounds,,Windows 8 Pro,,,,,,Alienware 18,,ALW18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Gigabyte P27Gv2-CF1 i7-4810MQ 16GB 1TB 7200rpm GTX 860M 17.3"" Full HD Windows 8.1 Gaming Laptop Computer : Computers & Accessories",Computer Upgrade King,,DDR3 SDRAM,1000 GB,Serial ATA,PC,16.26 x 10.93 x 1.92 inches,7 pounds,1920x1080,Windows 8.1 x64,2.80 GHz Intel Core i7,Intel,4.0,16 GB DDR3 1600,17.30 inches,P27Gv2,802.11bgn,P27Gv2,,1.0,,,,NVIDIA Geforce GTX 860M,1600 MHz,2.0,DVD-RW,1920 x 1080,,,,,,,,2 GB,7200.00,,,,NVIDIA Geforce GTX 860M,NVIDIA,1.0,,,,,
Amazon.com : ASUS Tablet T100TA-B1-GR : Computers & Accessories,Asus,Gray,DDR3 SDRAM,32 GB,Solid State,PC,10.40 x 0.41 x 6.70 inches,1.2 pounds,,Windows 8,1.33 GHz Intel Celeron,Intel,1.0,2 GB,10.10 inches,Transformer,,T100TA-B1-GR,Battery,,,,,,,,,1366 x 768,,,,,,,11 hours,,,,,,,,1.0,1 MP,,,,
Amazon.com : MSI GE60 Apache Pro-003 15.6-Inch Laptop : Computers & Accessories,MSI,Alumium Black,DDR3 SDRAM,1024 GB,Serial ATA-600,PC,15.09 x 9.83 x 1.46 inches,5.3 pounds,1920x1080,Windows 8.1,3.2 GHz Core i7-4700HQ,Intel,4.0,8 GB DDR3L SDRAM,15.6 inches,GE60,802.11bgn,GE60 Apache Pro-003 ; 9S7-16GF11-003,,,1 Lithium ion batteries required .,,,NVIDIA Geforce GTX860M,,2.0,DVD Super Multi,1920x1080,B00IMTQ3UW,"# 1,154 in Computers & Accessories ( See top 100 )",4.2 out of 5 stars See all reviews 33 reviews 4.2 out of 5 stars,"March 13 , 2014",This item is also available for shipping to select countries outside the U.S .,9.9 pounds ( View shipping rates and policies ),,2000 MB,7200 RPM,See all Used offers .,( restrictions apply ),,,,2.0,,,,,
Amazon.com : Lenovo Thinkpad W540 20BG0016US i7-4930MX 32GB 1TB SSD Quadro K2100M 2GB 3K IPS Blu-Ray Windows 7 Pro Laptop Computer : Computers & Accessories,Computer Upgrade King,,DDR3 SDRAM,1000 GB flash_memory_solid_state,Solid State,PC,14.83 x 9.77 x 1.16 inches,6 pounds,,Windows 7 Professional,3 GHz Intel Core i7,Intel,4.0,32 GB,15.60 inches,W540,,W540,,,,,,NIVIDIA Quadro K2100M,,1.0,BD-ROM,2880x1620,,,,,,,,,,,,,,,,,,,,
Amazon.com : MSI Computer Corp. GT60 2OJ-097US;9S7-16F411-097 15.6-Inch Laptop : Laptop Computers : Computers & Accessories,MSI,Black,DDR3 SDRAM,750 GB SATA,Serial ATA-600,PC,14.97 x 10.24 x 1.77 inches,7.7 pounds,1920 x 1080 pixels,Windows 7 Professional,2.4 GHz Core i7-4700MQ,Intel,1.0,8 GB DDR3,15.6 inches,GT60,802.11abg,GT60 2OJ-097US ; 9S7-16F411-097,,2.0,1 Lithium ion batteries required .,Lithium-Ion ( Li-Ion ),,NVIDIA Quadro K2100M,1600 MHz,3.0,BD Burner,1920 x 1080,,,,,,,,2000 MB,7200 RPM,,,,,,1.0,,,,,
Amazon.com : CybertronPC Boss NB3162A 17.3-Inch Laptop : Laptop Computers : Computers & Accessories,CybertronPC,Black,DDR3 SDRAM,640 GB,,PC,10.87 x 16.22 x 1.79 inches,8.6 pounds,1920 x 1080 pixels,Windows 8,2.3 GHz Core i7-3610QM,Intel,,8 GB DDR3,17.3 inches,Boss,802.11bgn,NB3162A,,2.0,1 Lithium ion batteries required . ( included ),Lithium-Ion ( Li-Ion ),,NVIDIA GeForce GTX670M,1600 MHz,3.0,DVDRW,1920 x 1080,,,,,,,6 hours,1536 MB,5400 RPM,,,,,,1.0,,,,,
Amazon.com : Dell Latitude 12 7000 E7240 12.5' Touchscreen LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz : Computers & Accessories,Dell,,,256 GB,,,17.36 x 3.54 x 11.14 inches,10 pounds,,microsoft windows 7 professional,Intel Core i5,,,8 GB,12.5 inches,,,462-5615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : Dell Inspiron 16-Inch Laptop (500GB Hard Drive, 4GB RAM, 1.80 GHz, AMD A4-6210 APU Quad Core Processor, HD Touch Screen) : Computers & Accessories",Dell,Black,DDR3 SDRAM,500 GB,,PC,10.50 x 15 x 1 inches,5.3 pounds,1366 x 768,Windows 8,0 MHz 8032,,1.0,0 GB SDRAM DDR3,15.6 inches,Inspiron,802.11bgn,I3541-2000BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazon.com : MSI GT72 Dominator Pro 010 17.3"" i7-4710HQ GTX 880M 8GB Full HD Blu Ray Gaming Laptop : Computers & Accessories",MSI,,DDR3 SDRAM,1256 GB,"Solid State , Serial ATA",PC,16.85 x 11.57 x 1.88 inches,8.6 pounds,,Windows 8.1 Multi Language x64-bit,2.50 GHz Intel Core i7,Intel,4.0,24 GB DDR3 1600,17.30 inches,GT72,,,,,,,,NVIDIA GeForce GTX 880M,1600 MHz,,BD-RW,,,,,,,,,,,,,,,,,,,,,
