<page title>,battery,dimensions wxhxd,keyboard,operating system,pointing device,weight,ac adapter,brand,cpu speed,cpu type,dimensions,gpuvpu,graphics card,hard disk,hdmi,lan,memory,memory size,model,resolution,screen,screen size,series,ssd,tech description,usb,video memory,webcam,wlan,aspect ratio,audio,backlight,bluetooth,cache,display,finish,flash media slot,hard drive,native resolution,network,optical drive,ports,power requirements,processor,size,type,wifi,64bit processing,backlight technology,battery chemistry,battery energy,battery information,bluetooth standard,builtin devices,chipset manufacturer,communication,direct media interface,display graphics,display screen type,displayport,duallayer media supported,ethernet technology,graphics,graphics controller manufacturer,graphics controller model,graphics memory accessibility,graphics memory technology,hard drive interface,hard drive rpm,headphonemicrophone combo port,hyperthreading,input devices,interfacesports,maximum battery run time,maximum memory,maximum turbo speed,memory card reader,memory standard,memory technology,modem,network communication,network rj45,number of total memory slots,number of usb 30 ports,operating system architecture,optical drive type,optical media supported,pointing device type,processor chipset,processor core,processor model,processor speed,processor type,screen mode,screen resolution,software,speakers,storage,touchpad features,vga,vpro technology,wireless lan manufacturer,wireless lan model,wireless lan standard,audio line out,battery capacity,certifications standards,color,depth,hard drive capacity,hdcp supported,height,height front,height rear,maximum power supply wattage,memory card supported,microphone,number of cells,number of usb 20 ports,processor manufacturer,product family,product line,product model,product name,product series,product type,standard memory,width,wireless lan,part,graphic type,hdd,hdd interface,lcd features,memory speed,number of cores,wide screen support,ethernet,navigation,chipset model,manufacturer,manufacturer part number,multitouch screen,storage size,touchscreen,weight approximate,max memory supported,display type,video port,finger print reader,solid state drive capacity,solid state drive interface,total number of usb ports,brightness,security,color gamut,expansion slots,mobile broadband,viewing angle,docking connector,speaker,battery type,green compliance certificateauthority,green compliant,audio ports,battery life,cpu support,construction,expansion slot type,mini displayport,security features,display screen technology,audio line in,external resolution,gps,nfc,supported resolutions,system bus,brand name,usb ports,keyboard backlight,keyboard localization,software included,communications,general,inputoutput connectors,performance,hdd rpm,wwan supported,backlit keyboard,hhd,tv card,touchpad,upc code
"Best Asus G750JS-DS71 ROG-i7-4700MQ-16GB RAM-1TB+256GB-Win 8.1-17.3""Notebook-Black | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 88Wh ),16.1 x 2.0 x 12.5 '' / 40.9 x 5.1 x 31.8 cm,Type : Standard Notebook Keyboard Features : Backlight,Windows 8.1 ( 64-bit ),TouchPad,9.9 lb / 4.49 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 640 G1 Core i5-4200M-2.5GHz-4GB-500GB HDD-Win 7 Pro-14""LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB,,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4200M Processor Speed 2.50 GHz Maximum Turbo Speed 3.10 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes vPro Technology No Chipset Manufacturer Intel,,,,,0.672916667,,,,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),55 Wh,Number of Cells 6-cell Battery Chemistry Lithium Ion ( Li-Ion ) Battery Capacity 5100 mAh Battery Energy 55 Wh Maximum Battery Run Time 13.58 Hour,,,Intel,Wireless LAN Yes Wireless LAN Standard IEEE 802.11a/b/g/n Cellular Network Supported GSM CDMA2000 WCDMA Cellular Generation 4G,5 GT/s,Screen Size 14 '',Active Matrix TFT Color LCD,,Yes,,Screen Size 14 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD 4600,Shared,DDR3L SDRAM,Serial ATA/300,7200.0,,Yes,Keyboard Yes Pointing Device Type TouchPad Pointstick TouchPad Features Multi-touch Gesture,,13.58 Hour,16 GB,3.10 GHz,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,Wireless LAN Yes,,2.0,,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i5-4200M,2.50 GHz,Core i5,HD,1366 x 768,Operating System Windows 7 Professional Upgradable to Windows 8 Pro Operating System Architecture 64-bit,,Hard Drive Capacity 500 GB Hard Drive Interface Serial ATA/300 Hard Drive RPM 7200 Optical Drive Type DVD-Writer Optical Media Supported DVD-RAM/±R/±RW Dual-Layer Media Supported Yes Display &,Multi-touch Gesture,,No,,,IEEE 802.11a/b/g/n,,5100 mAh,,,,,,,,,,Secure Digital ( SD ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP EliteBook Folio 1040 G1-i7-4650U-8GB-256GB SSD-Win 8.1-14"" Touchscreen Ultrabook | TopEndElectronics UK",6-cell lithium ion,,,Windows 8.1 Pro,,,,HP,1.70GHz,Intel Core i7,,HD 5000,,,,,8GB,,,,,14.0 '',EliteBook Folio,,Model Brand HP Series EliteBook Folio CPU CPU Type Intel Core i7 CPU Speed 1.70GHz Display Screen Size 14.0 '' Display Type Full HD Operating Systems Operating System Windows 8.1 Pro Graphics GPU/VPU HD 5000 Hard Drive HDD 256GB Communications WLAN IEEE 802.11a/b/g/n/ac Bluetooth Yes Memory Memory 8GB Supplemental Drive Webcam Yes Power Battery 6-cell lithium ion,,,Yes,IEEE 802.11a/b/g/n/ac,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256GB,,,,,,,,,,,,,,,,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best ASUS X102BA-BH41T-AMD A4-1200-2GB-320GB HDD-Win 8-10.1"" Touchscreen Notebook-Black | TopEndElectronics UK",3-cell lithium ion,,,Windows 8 64-Bit Windows 8 64-bit,,,,ASUS,A4-1200 ( 1.00GHz ),AMD A4-1200 1.00 GHz AMD A-Series,10.5 '' x 7.3 '' x 1.1 '',AMD Radeon HD 8180,AMD Radeon HD 8180,320GB,1 x HDMI,10/100Mbps,2GB,2GB DDR3,,1366 x 768,10.1 '',10.1 '',X102BA-BH41T,,Model Brand ASUS Series X102BA-BH41T General Operating System Windows 8 64-bit CPU Type AMD A4-1200 1.00 GHz Screen 10.1 '' Memory Size 2GB DDR3 Hard Disk 320GB Graphics Card AMD Radeon HD 8180 Dimensions 10.5 '' x 7.3 '' x 1.1 '' Video Memory Shared memory CPU CPU Type AMD A-Series CPU Speed A4-1200 ( 1.00GHz ) Display Screen Size 10.1 '' Resolution 1366 x 768 Operating Systems Operating System Windows 8 64-Bit Graphics GPU/VPU AMD Radeon HD 8180 Hard Drive HDD 320GB Communications LAN 10/100Mbps WLAN 802.11b/g/n Wireless LAN Memory Memory 2GB Memory Speed DDR3 1066 Ports USB 1 x USb 3.0 2 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Power Battery 3-cell lithium ion,1 x USb 3.0 2 x USB 2.0,Shared memory,,802.11b/g/n Wireless LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320GB,,,DDR3 1066,,,,,,,,,,,,,,1 x VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best  Samsung ATIV Book 9 Plus NP940X3G-i5-4200U-8GB-128GB SSD-Win 8.1 Pro-13.3"" Touchscreen LED Ultrabook-Ash Black | TopEndElectronics UK",,,,Windows 8.1 Pro,,,,SAMSUNG,1.60 GHz,Intel Core i5-4200U,,HD 4400,,,,,8GB,,,,,13.3 '',ATIV Book 9 Plus,,Model Brand SAMSUNG Series ATIV Book 9 Plus CPU CPU Type Intel Core i5-4200U CPU Speed 1.60 GHz Display Screen Size 13.3 '' Display Type HD Operating Systems Operating System Windows 8.1 Pro Graphics GPU/VPU HD 4400 Hard Drive HDD 128 GB Communications Bluetooth Yes Memory Memory 8GB Supplemental Drive Webcam Yes,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Lenovo ThinkPad T440s 20AQ004KUS Intel Core i7-4600M 2.90GHz-4GB RAM-128GB SSD-LED Ultrabook-Black | TopEndElectronics UK,,,,Windows 8 Pro,,,,,,,,,,,,,,,,,,14.00 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 8.40 Hour Interfaces/Ports Total Number of USB Ports 2 Number of USB 3.0 Ports 2 VGA Yes DisplayPort Yes Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 14.00 `` Touchscreen Yes Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode Full HD Screen Resolution 1920 x 1080 Backlight Technology LED Multi-touch Screen Yes Graphics Controller Manufacturer Intel Graphics Controller Model HD 4600 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Solid State Drive Capacity 128 GB Solid State Drive Interface Serial ATA/600 Optical Drive Type No Memory Memory Card Supported MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) Standard Memory 4 GB Maximum Memory 12 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 1 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Manufacturer Intel Wireless LAN Model Dual Band Wireless-AC 7260 Wireless LAN Standard IEEE 802.11a/b/g/n/ac Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 0.9 '' Width 13.0 '' Depth 8.9 '' Weight ( Approximate ) 62.4 oz Color Graphite Black Built-in Devices Webcam Yes Microphone Yes Finger Print Reader Yes Speakers Yes Processor & Chipset Processor Manufacturer Intel Processor Type Core i7 Processor Model i7-4600M Processor Speed 2.90 GHz Processor Core Dual-core ( 2 Core ) Cache 4 MB vPro Technology Yes Chipset Manufacturer Intel Chipset Model QM87 Express Software Operating System Windows 8 Pro Operating System Architecture 64-bit",,,Yes,,16 : 9,,,Yes,4 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,Intel,,,,Active Matrix TFT Color LCD,Yes,,Gigabit Ethernet,,Intel,HD 4600,Shared,DDR3L SDRAM,,,Yes,,,,8.40 Hour,12 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,1.0,2.0,64-bit,No,,,,Dual-core ( 2 Core ),i7-4600M,2.90 GHz,Core i7,Full HD,1920 x 1080,,Yes,,,Yes,Yes,Intel,Dual Band Wireless-AC 7260,IEEE 802.11a/b/g/n/ac,,,,Graphite Black,8.9 '',,,0.9 '',,,,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) Card , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,,Intel,,,,,,,4 GB,13.0 '',Yes,,,,,,,,,,,QM87 Express,,,Yes,,Yes,62.4 oz,,,,Yes,128 GB,Serial ATA/600,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Lenovo ThinkPad X140e 20BLS00400 AMD A-Series A4-5000 1.50 GHz-4GB RAM-500GB SSD-Win 7 Pro-LED Notebook-Black | TopEndElectronics UK,,,,Windows 7 Professional,,,,,,,,,,,Yes,,,,,,,11.60 ``,,,"Battery Information Battery Chemistry Lithium Ion ( Li-Ion ) Maximum Battery Run Time 8.50 Hour Interfaces/Ports HDMI Yes Total Number of USB Ports 3 Number of USB 2.0 Ports 1 Number of USB 3.0 Ports 2 VGA Yes Headphone/Microphone Combo Port Yes Display & Graphics Screen Size 11.60 `` Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 16 : 9 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED HDCP Supported Yes Graphics Controller Manufacturer AMD Graphics Controller Model Radeon HD 8240 Graphics Memory Technology DDR3L SDRAM Graphics Memory Accessibility Shared Storage Storage Size 500 GB Hard Drive Interface Serial ATA/600 Hard Drive RPM 7200 Optical Drive Type No Memory Memory Card Supported MultiMediaCard ( MMC ) , Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC ) Standard Memory 4 GB Maximum Memory 8 GB Memory Technology DDR3L SDRAM Memory Standard DDR3L-1600/PC3-12800 Number of Total Memory Slots 2 Memory Card Reader Yes Network & Communication Wireless LAN Yes Wireless LAN Manufacturer Lenovo Wireless LAN Standard IEEE 802.11b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Physical Characteristics Height 1.4 '' Width 11.6 '' Depth 8.5 '' Weight ( Approximate ) 62.4 oz Color Midnight Black Built-in Devices Webcam Yes Microphone Yes Speakers Yes Processor & Chipset Processor Manufacturer AMD Processor Type E-Series Processor Model E1-2500 Processor Speed 1.40 GHz Processor Core Dual-core ( 2 Core ) Cache 1 MB Chipset Manufacturer AMD Software Operating System Windows 7 Professional Operating System Architecture 64-bit",,,Yes,,16 : 9,,,Yes,1 MB,,,,,,,,,,,,,,,LED,Lithium Ion ( Li-Ion ),,,Bluetooth 4.0,,AMD,,,,Active Matrix TFT Color LCD,,,Gigabit Ethernet,,AMD,Radeon HD 8240,Shared,DDR3L SDRAM,Serial ATA/600,7200.0,Yes,,,,8.50 Hour,8 GB,,Yes,DDR3L-1600/PC3-12800,DDR3L SDRAM,,,,2.0,2.0,64-bit,No,,,,Dual-core ( 2 Core ),E1-2500,1.40 GHz,E-Series,HD,1366 x 768,,Yes,,,Yes,,Lenovo,,IEEE 802.11b/g/n,,,,Midnight Black,8.5 '',,Yes,1.4 '',,,,"MultiMediaCard ( MMC ) , Secure Digital ( SD ) , Secure Digital High Capacity ( SDHC ) , Secure Digital Extended Capacity ( SDXC )",Yes,,1.0,AMD,,,,,,,4 GB,11.6 '',Yes,,,,,,,,,,,,,,,500 GB,,62.4 oz,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer Aspire M5-481PT-53336G52Mass-6GB-500GB HDD-20 GB SSD Win 8-14"" Touchscreen LED Ultrabook | TopEndElectronics UK",3-cell 4850 mAh Lithium Polymer ( Li-Polymer ),,,Windows 8 64-bit,,,,Acer,3337U ( 1.80GHz ),Intel Core i5,,Intel HD Graphics 4000,,,1 x HDMI,10/100/1000Mbps,6GB,,,,,14 '',Aspire M,20GB,Model Brand Acer Series Aspire M CPU CPU Type Intel Core i5 CPU Speed 3337U ( 1.80GHz ) Display Screen Size 14 '' Touchscreen Yes Operating Systems Operating System Windows 8 64-bit Graphics GPU/VPU Intel HD Graphics 4000 Hard Drive SSD 20GB HDD 500GB Communications LAN 10/100/1000Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Bluetooth 4.0 + HS Memory Memory 6GB Optical Drive Optical Drive Type DVD-Writer Ports USB 2 x USB 3.0 HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 3-cell 4850 mAh Lithium Polymer ( Li-Polymer ),2 x USB 3.0,,Yes,802.11b/g/n Wireless LAN,,,,Bluetooth 4.0 + HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD-Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best HP ProBook 650 G1 Core i5-4200M-2.50GHz-4GB-180GB SSD-Win 7 Pro-15.6"" LED Notebook-Black | TopEndElectronics UK",,,,,,,,,,,,,,,,,Standard Memory 4 GB,,,,,,,,Processor & Chipset : Processor Manufacturer Intel Processor Type Core i5 Processor Model i5-4200M Processor Speed 2.50 GHz Maximum Turbo Speed 3.10 GHz Processor Core Dual-core ( 2 Core ) Cache 3 MB Direct Media Interface 5 GT/s 64-bit Processing Yes Hyper-Threading Yes Chipset Manufacturer Intel Chipset Model HM87 Express,,,,,0.672916667,,,Yes,3 MB,,,,,,,,,,,,,,Yes,LED,Lithium Ion ( Li-Ion ),55 Wh,Number of Cells 6-cell,Bluetooth 4.0,Webcam Yes,Intel,Wireless LAN Yes Wireless LAN Manufacturer Broadcom Wireless LAN Standard IEEE 802.11a/b/g/n Ethernet Technology Gigabit Ethernet Bluetooth Yes Bluetooth Standard Bluetooth 4.0 Built-in Devices : Webcam Yes Microphone Yes Speakers Yes Interfaces/Ports : Total Number of USB Ports 5 Number of USB 3.0 Ports 5 VGA Yes Network ( RJ-45 ) Yes DisplayPort Yes Headphone/Microphone Combo Port Yes,5 GT/s,Screen Size 15.6 '',Active Matrix TFT Color LCD,Yes,Yes,Gigabit Ethernet,Screen Size 15.6 '' Display Screen Type Active Matrix TFT Color LCD Aspect Ratio 0.672916667 Screen Mode HD Screen Resolution 1366 x 768 Backlight Technology LED Graphics Controller Manufacturer Intel Graphics Controller Model HD Graphic 4600 Graphics Memory Technology DDR3 SDRAM Graphics Memory Accessibility Shared Network &,Intel,HD Graphic 4600,Shared,DDR3 SDRAM,,,Yes,Yes,Keyboard Yes Pointing Device Type TouchPad Pointstick TouchPad Features Multi-touch Gesture,Total Number of USB Ports 5,,16 GB,3.10 GHz,Yes,DDR3-1600/PC3-12800,DDR3 SDRAM,,Wireless LAN Yes,Yes,2.0,5.0,64-bit,DVD-Writer,DVD-RAM/±R/±RW,TouchPad,Processor Manufacturer Intel,Dual-core ( 2 Core ),i5-4200M,2.50 GHz,Core i5,HD,1366 x 768,Operating System Windows 7 Professional Upgradable to Windows 8 Pro Operating System Architecture 64-bit,Yes,Solid State Drive Capacity 180 GB,Multi-touch Gesture,Yes,,Broadcom,,IEEE 802.11a/b/g/n,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,HM87 Express,,,,,,,,,,,,Serial ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best  HP EliteBook Folio 9470m-i7-3687U-8GB-256GB SSD-Win 7-14"" LED Ultrabook-Platinum | TopEndElectronics UK",4-cell lithium ion,,,Windows 7 Professional,,,,HP,3687U ( 2.10GHz ),Intel Core i7 Intel Core i7-3687U 2.1GHz,,Intel HD Graphics 4000,Intel HD Graphics 4000,256GB SSD,,,8GB,8GB DDR3,,,14 '',14 '',EliteBook Folio,256GB,"Model Brand HP Series EliteBook Folio General CPU Type Intel Core i7-3687U 2.1GHz Screen 14 '' Memory Size 8GB DDR3 Hard Disk 256GB SSD Graphics Card Intel HD Graphics 4000 Video Memory Shared memory CPU CPU Type Intel Core i7 CPU Speed 3687U ( 2.10GHz ) Display Screen Size 14 '' Display Type HD+ Operating Systems Operating System Windows 7 Professional Graphics GPU/VPU Intel HD Graphics 4000 Hard Drive SSD 256GB Communications WLAN Intel Centrino Advanced-N 6235 802.11a/b/g/n Bluetooth Bluetooth 4.0 Memory Memory 8GB Memory Speed DDR3 1600 Audio Audio SRS PRO Audio Ports USB 2 x USB 3.0 1 x USB 3.0 Charging Video Port 1 x VGA , 1 x DisplayPort Supplemental Drive Webcam 720p HD webcam Power Battery 4-cell lithium ion",2 x USB 3.0 1 x USB 3.0 Charging,Shared memory,720p HD webcam,Intel Centrino Advanced-N 6235 802.11a/b/g/n,,SRS PRO Audio,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR3 1600,,,,,,,,,,,,,HD+,"1 x VGA , 1 x DisplayPort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad X1 Carbon 20A7002WUS-i7-4600U 2.1GHz-8GB-256GB SSD-Win 7-14"" LED Ultrabook-Black | TopEndElectronics UK",8-Cell Lithium-Polymer Providing up to 8.7 Hours per Charge ( 45Wh ),13.0 x 0.7 x 8.9 '' / 33.1 x 1.8 x 22.7 cm,Type : Standard Notebook Keyboard Features : LED Backlight,Windows 7 Professional ( 64-bit ),TouchPad & TrackPoint with Multi-Touch Control,2.82 lb / 1.28 kg,,,,,,,Type : Integrated Installed : Intel HD Graphics 4400 Shared,,,,Type : 1600MHz DDR3L SDRAM Installed : 8GB Capacity : 8GB,,,,,,,,Performance Processor 2.1GHz Intel Core i7-4600U Dual-Core 4th-Gen Haswell Cache L3 : 4MB Memory,,,Yes,,16 : 9,Integrated Stereo Speakers Integrated Microphone,LED,Bluetooth 4.0,L3 : 4MB,1x Mini DisplayPort 1x HDMI,Antiglare,,Installed : 256GB SSD,2560 x 1440,,,2x USB 3.0 ( A ) ( 1 x Always On ),,2.1GHz Intel Core i7-4600U Dual-Core 4th-Gen Haswell,14 '',Widescreen,802.11ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Toshiba Satellite C55D-B5242-AMD A4-6210 1.8GHz-6GB-750GB HDD-Win 8.1-15.6""LED Notebook | TopEndElectronics UK",4-Cell Lithium-Ion ( 45Wh ),14.9 x 1.0 x 10.2 '' / 37.8 x 2.5 x 25.9 cm,Type : Standard Notebook Keyboard,Windows 8.1,TouchPad with Multi-Touch Control,4.85 lb / 2.20 kg,,,,,,,Type : Integrated,,,,Slots : 2,,,,,,,,,,,Yes,,16 : 09,Integrated Stereo Speakers,LED,None,L2 : 2MB,1x HDMI,Glossy,1x SD,Installed : 750GB 5400rpm,1366 x 768,10/100Mbps Ethernet ( RJ-45 ),SuperMulti DVD Burner,1x USB 3.0 ( A ),"AC : 100-240 V AC , 50-60Hz",1.8GHz AMD A4-6210 Accelerated Quad-Core,15.6 '',Widescreen,802.11b/g/n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Toshiba Qosmio X75-A7170-i7-4700MQ-16GB-1TB HDD-Win 8.1-17.3"" LED Notebook-Black  | TopEndElectronics UK",8-Cell Lithium-Ion Providing up to 3.5 Hours per Charge ( 47Wh ),16.5 x 1.7 x 10.7 '' / 41.9 x 4.3 x 27.2 cm,"Type : Standard Notebook Keyboard Features : LED Backlight , Numeric Keypad",Windows 8.1,TouchPad with Multi-Touch Control,7.6 lb / 3.45 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AC : 100-240 V AC , 50-60Hz Consumption : 180W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kensington Lock Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Acer Aspire V5-131-10174G50akk-Celeron 1017U-4GB-500GB HDD-Win 7-11.6""LED Notebook | TopEndElectronics UK",6-cell lithium ion,,,Windows 7 Home Premium 64-Bit,,,,Acer,1017U ( 1.60GHz ),Intel Celeron,,Intel HD Graphics,,,1 x HDMI,10/100Mbps,4GB,,,,,11.6 '',Aspire V5,,Model Brand Acer Series Aspire V5 CPU CPU Type Intel Celeron CPU Speed 1017U ( 1.60GHz ) Display Screen Size 11.6 '' Touchscreen NO Operating Systems Operating System Windows 7 Home Premium 64-Bit Graphics GPU/VPU Intel HD Graphics Hard Drive HDD 500GB Communications LAN 10/100Mbps WLAN 802.11b/g/n Wireless LAN Bluetooth Bluetooth 4.0 Memory Memory 4GB Ports USB 3 x USB 2.0 Video Port 1 x VGA HDMI 1 x HDMI Supplemental Drive Webcam Yes Power Battery 6-cell lithium ion,3 x USB 2.0,,Yes,802.11b/g/n Wireless LAN,,,,Bluetooth 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500GB,,,,,,,,,,,,,NO,,,,1 x VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Best Lenovo ThinkPad T440 20B6002AUS-i5-4300U 1.9GHz-4GB-500GB HDD-Win 8-14""LED Ultrabook-Graphite Black | TopEndElectronics UK",3-cell,,,Windows 8 Pro 64-bit Windows 8 Pro 64bit,,,,ThinkPad,4300U ( 1.90GHz ),Intel Core i5 4300U ( 1.90GHz ) Intel Core i5,,,Intel HD Graphics 4400,500GB,,,,4GB DDR3,T440 ( 20B6002AUS ),,14 '',14.0 '',T Series,,Model Brand ThinkPad Series T Series Model T440 ( 20B6002AUS ) General Operating System Windows 8 Pro 64bit CPU Type Intel Core i5 4300U ( 1.90GHz ) Screen 14 '' Memory Size 4GB DDR3 Hard Disk 500GB Video Memory Shared memory Webcam Yes Graphics Card Intel HD Graphics 4400 CPU CPU Type Intel Core i5 CPU Speed 4300U ( 1.90GHz ) Display Screen Size 14.0 '' Touchscreen Yes Operating Systems Operating System Windows 8 Pro 64-bit Communications WLAN 802.11b/g/n Wireless LAN Bluetooth Yes Power Battery 3-cell,,Shared memory,Yes,802.11b/g/n Wireless LAN,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
