<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
"Other Laptops & Notebooks - Acer Aspire - 11.6"" - Core | NX.M42EA.011 for sale in Johannesburg (ID:158050424)",4-cell - up to 5 hours,28.36 cm x 19.56 cm x 1.22 cm,11.6 '' LED backlight touchscreen 1920 x 1080 / Full HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4000,4 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8 Single Language 64-bit,No optical drive,Intel Core i5 ( 3rd Gen ) 3337U / 1.8 GHz ( 2.7 GHz ) / 3 MB Cache,Acer Aspire S7-191-53334G12ass - 11.6 '' - Core i5 3337U - Windows 8 Single Language 64-bit - 4 GB RAM - 128 GB SSD,Ultrabook,,128 GB SSD,1.04 kg,,,,,,,,,,Silver,South Africa,,,,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 8GIG RAM | 320GB HDD | LONGLIFE BATTERY | LAPTOP was listed for R4,790.00 on 21 Oct at 22:46 by TradeRouteAuctions in Johannesburg (ID:164555299)",,,,,,,,,Windows 7,,Intel Core i5 ~ 2.6Ghz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GB,8 GB DDR3 1600 MHz,
"Other Laptops & Notebooks - Dell Latitude 3440 - 14"" | CA002L34406EM for sale in Johannesburg (ID:163781015)",6-cell,34.6 cm x 24.5 cm x 2.96 cm,14 '' WLED 1600 x 900 / HD+,,ENERGY STAR Qualified,NVIDIA GeForce GT 740M - 2 GB GDDR5,4 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 8 Pro 64-bit - English,DVD-Writer,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Dell Latitude 3440 - 14 '' - Core i5 4200U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.1 kg,,,,,,,,,,Black,,3 years warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 470 G0 | H0W67EA for sale in Johannesburg (ID:137912513),6-cell - up to 6.75 hours,41.38 cm x 27.95 cm x 3.15 cm,17.3 '' LED backlight HD+ anti-glare 1600 x 900 / HD+,,ENERGY STAR Qualified,AMD Radeon HD 8750M - 1 GB DDR3,4 GB DDR3,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 3rd Gen ) 3120M / 2.5 GHz / 3 MB Cache,HP ProBook 470 G0 - 17.3 '' - Core i3 3120M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,Fingerprint reader,500 GB HDD / 5400 rpm,3 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - TOSHIBA PORTEGE Z930-F0088 - Toshiba for sale in Johannesburg (ID:157342664),,,13.3 '' Anti-Glare LED,,,Intel,4GB DDR3,,,N/A,,,,FP Reader / TPM / AMT / SSD Alert,,1.12kg,,,,,,,,,,,,,,,Spill Resistant STD,,128GB mSATA SSD,Z930-F0007,Win 8 Pro,3 Year Onsite,WLAN+ BT + 3G,,,Silver,i5-3437U,10/100 / 1000,,,,
Other Laptops & Notebooks - HP ProBook 470 G1 | E9Y61EA for sale in Johannesburg (ID:137910718),6-cell - up to 8.25 hours,41.38 cm x 27.95 cm x 3.15 cm,17.3 '' LED backlight HD+ anti-glare 1600 x 900 / HD+,,"ENERGY STAR Qualified , EPEAT Gold",AMD Radeon HD 8750M / Intel HD Graphics 4600 - 1 GB DDR3,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4000M / 2.4 GHz / 3 MB Cache,HP ProBook 470 G1 - 17.3 '' - Core i3 4000M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,Fingerprint reader,500 GB HDD / 5400 rpm,3 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad L540 20AV | 20AV0050ZA for sale in Johannesburg (ID:161123844),6-cell,37.7 cm x 24.7 cm x 3.405 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i3 ( 4th Gen ) 4100M / 2.5 GHz / 3 MB Cache,Lenovo ThinkPad L540 20AV - 15.6 '' - Core i3 4100M - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.52 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP 350 G1 - 15.6"" | G6V87EA for sale in Johannesburg (ID:162342816)",4-cell,38.4 cm x 26.1 cm x 2.31 cm,15.6 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,AMD Radeon HD 8670M / Intel HD Graphics 4400 - 2 GB DDR3,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 8.1 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP 350 G1 - 15.6 '' - Core i5 4200U - Windows 8.1 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.3 kg,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 650 G1 | H5G77EA for sale in Johannesburg (ID:160854958),6-cell,37.8 cm x 25.7 cm x 2.9 cm,15.6 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200M / 2.5 GHz ( 3.1 GHz ) / 3 MB Cache,HP ProBook 650 G1 - 15.6 '' - Core i5 4200M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2.32 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 820 G1 | F1R78AW for sale in Johannesburg (ID:151575345),3-cell,31 cm x 21.53 cm x 2.1 cm,12.5 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth 4.0 HS , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4300U / 1.9 GHz ( 2.9 GHz ) / 3 MB Cache,HP EliteBook 820 G1 - 12.5 '' - Core i5 4300U - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,1.33 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 820 G1 | H5G89EA for sale in Johannesburg (ID:150921981),3-cell - up to 11.25 hours,31 cm x 21.53 cm x 2.1 cm,12.5 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,HP EliteBook 820 G1 - 12.5 '' - Core i7 4600U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,1.33 kg,,,,,,,,,3G,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Extensa 2510-3076 - 15.6"" | NX.EEXEA.006 for sale in Johannesburg (ID:158733990)",6-cell,38.16 cm x 25.6 cm x 3.04 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4030U / 1.9 GHz / 3 MB Cache,Acer Extensa 2510-3076 - 15.6 '' - Core i3 4030U - Windows 8.1 Single Language 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.5 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Edge E531 | N4IDVZA for sale in Johannesburg (ID:149120066),6-cell,37.7 cm x 25 cm x 2.96 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i3 ( 3rd Gen ) 3110M / 2.4 GHz / 3 MB Cache,Lenovo ThinkPad Edge E531 6885 - 15.6 '' - Core i3 3110M - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 7200 rpm,2.46 kg,,,,,,,,,,,,1 year warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 820 G1 | H5G15EA for sale in Johannesburg (ID:137910475),3-cell - up to 13.25 hours,31 cm x 21.53 cm x 2.1 cm,12.5 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,8 GB DDR3L,"Bluetooth 4.0 HS , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4600U / 2.1 GHz ( 3.3 GHz ) / 4 MB Cache,HP EliteBook 820 G1 - 12.5 '' - Core i7 4600U - Windows 7 Pro 64-bit / 8 Pro downgrade - 8 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD Self Encrypting Drive,1.33 kg,,,,,,,,,4G - no service included,,,3 years warranty,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad W530 2447 | N1K5FZA for sale in Johannesburg (ID:160854974),9-cell - up to 12.8 hours,37.28 cm x 24.51 cm x 3.56 cm,15.6 '' LED backlight 1600 x 900 / HD+,,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA Quadro K1000M / Intel HD Graphics 4000 - 2 GB,4 GB DDR3,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i7 ( 3rd Gen ) 3740QM / 2.7 GHz ( 3.7 GHz ) / 6 MB Cache,Lenovo ThinkPad W530 2447 - 15.6 '' - Core i7 3740QM - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,2.81 kg,,,,,,,,,3G/4G upgradable,,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Extensa 2510-56ZP - 15.6"" | NX.EEXEA.003 for sale in Johannesburg (ID:158733988)",6-cell,38.16 cm x 25.6 cm x 3.04 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Acer Extensa 2510-56ZP - 15.6 '' - Core i5 4210U - Windows 8.1 Single Language 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.5 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - ASUS VivoBook S551LA CJ086H | AS-S551LA-CJ086H was listed for R9,958.80 on 31 Oct at 00:52 by FirstShop in Johannesburg (ID:161223923)",3-cell,38 cm x 25.8 cm x 2.25 cm,15.6 '' LED backlight touchscreen 1366 x 768 / HD,,,Intel HD Graphics 4400,4 GB DDR3,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,ASUS VivoBook S551LA CJ086H - 15.6 '' - Core i5 4200U - Windows 8 - 4 GB RAM - 750 GB HDD,Ultrabook,,750 GB HDD / 5400 rpm,2.4 kg,,,,,,,,,,,,,,,,,,,,,,,3 GB ASUS WebStorage ( 3 years ),,,,,,,
Mecer - Mecer Convertible Classmate Netbook for sale in Johannesburg (ID:163013874),,,,,,Embedded Intel Integrated Graphics W/Share Memory,4GB DDR3-1600,,Microsoft Windows 8.1 with Bing 64Bit Multi Language,,"Intel¨ Dual Core Celeronª 847 , 1.1Ghz , 2MB Cache",,,,,1.2kg,,Intel¨ NM70,,500GB SATA HDD w/G-Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo Yoga 2 Pro | 59425934 for sale in Johannesburg (ID:161123751),,33 cm 1.55 cm,13.3 '' LED backlight touchscreen 3200 x 1800,,,Intel HD Graphics 4400,DDR3L,802.11n,,No optical drive,Intel Core i7 ( 4th Gen ) 4510U / 4 MB Cache,Lenovo Yoga 2 Pro - 13.3 '' - Core i7 4510U - 256 GB SSD,,,256 GB SSD,,,,,,,,,,,,,,360 degree flip design,,,,,,,,,Ultrabook,,,,,,,,
Other Laptops & Notebooks - HP ProBook 450 G2 | J4S48EA for sale in Johannesburg (ID:164395901),4-cell,37.5 cm x 26.28 cm x 2.55 cm,15.6 '' LED backlight 1366 x 768 / HD,,,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4030U / 1.9 GHz / 3 MB Cache,HP ProBook 450 G2 - 15.6 '' - Core i3 4030U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 5400 rpm,2.26 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP ZBook 15 Mobile | F0U67EA was listed for R33,598.80 on 25 Oct at 01:03 by FirstShop in Johannesburg (ID:162050167)",8-cell,38.15 cm x 25.7 cm x 3.55 cm,15.6 '' LED backlight Full HD UWVA eDP anti-glare 1920 x 1080 / Full HD,Yes,,NVIDIA Quadro K2100M - 2 GB GDDR5,16 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4800MQ / 2.7 GHz ( 3.7 GHz ) / 6 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i7 4800MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 16 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD Self Encrypting Drive,2.93 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook 850 G1 | H5G85EA for sale in Johannesburg (ID:160933037),3-cell,37.5 cm x 25.3 cm x 2.142 cm,15.6 '' LED backlight Full HD standard-viewing angle ( SVA ) anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,HP EliteBook 850 G1 - 15.6 '' - Core i5 4200U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,1.88 kg,,,,,,,,,3G,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude 3540 BTX | CA011L35406EM was listed for R13,186.80 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:158885537)",6-cell,37.6 cm x 25.9 cm x 3.13 cm,15.6 '' WLED 1920 x 1080 / Full HD,,ENERGY STAR Qualified,AMD Radeon HD 8850M - 2 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Dell Latitude 3540 BTX - 15.6 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.35 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,Dell Channel 38M Basic Next Business Day Warranty,,,,,,,
"Other Laptops & Notebooks - Acer Aspire S7-392-74508G25tws - 13.3"" | NX.MBKEA.007 for sale in Johannesburg (ID:158733964)",4-cell - up to 7 hours,32.3 cm x 22.3 cm x 1.29 cm,13.3 '' LED backlight touchscreen 2560 x 1440 / WQHD,,,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 Single Language 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer Aspire S7-392-74508G25tws - 13.3 '' - Core i7 4500U - Windows 8.1 Single Language 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,,256 GB SSD,1.3 kg,,,,,,,,,,"White , silver",South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer TravelMate - 15.6"" - 4 | NX.V8WEA.022 for sale in Johannesburg (ID:158050433)",4-cell - up to 4 hours,38.16 cm x 25.6 cm x 2.53 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer TravelMate P255-M-74504G1TMnkk - 15.6 '' - Core i7 4500U - Windows 7 Pro 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.35 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook 8570p - 15.6"" | C3D21ES for sale in Johannesburg (ID:137915100)",6-cell,37.4 cm x 25.1 cm x 3.4 cm,15.6 '' LED backlight 1600 x 900 / HD+,Yes,,AMD Radeon HD 7570M - 1 GB GDDR5,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet , wireless cellular modem",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 3rd Gen ) 3540M / 3 GHz ( 3.7 GHz ) / 4 MB Cache,HP EliteBook 8570p - 15.6 '' - Core i7 3540M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,2.71 kg,,,,,,,,,3G,Platinum,,,,,,,,,,,,,,,,,,,,
"ASUS - Asus - N750JV-T4224P high end gaming Notebook was listed for R19,492.86 on 1 Nov at 17:31 by PC group SA in Johannesburg (ID:162664601)","69WHrs , 6260mAh,3S2P , 6-cell Li-ion Polymer Battery Pack",,,,,,,,Win8 pro,9.5mm SATA 6X Blu-Ray ( Read + Write ),,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AL | 20AL009YZA for sale in Johannesburg (ID:164202157),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad X240 20AL - 12.5 '' - Core i5 4200U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.31 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell - 14"" - Core i5 | CA032LE54408EDBSAF for sale in Johannesburg (ID:162342818)",9-cell,37.6 cm x 25.6 cm x 3.67 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K1100M - 2 GB GDDR5,8 GB DDR3L,"Bluetooth 4.0 , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4810MQ / 2.8 GHz ( 3.8 GHz ) / 6 MB Cache,Dell Precision Mobile Workstation M4800 - 15.6 '' - Core i7 4810MQ - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive,Notebook,SmartCard reader,500 GB Hybrid Drive ( 8 GB flash ) / 5400 rpm,2.89 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Extensa 2510-71K0 - 15.6"" | NX.EEXEA.004 for sale in Johannesburg (ID:158733989)",6-cell,38.16 cm x 25.6 cm x 3.04 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,Acer Extensa 2510-71K0 - 15.6 '' - Core i7 4510U - Windows 8.1 Single Language 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.5 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook Folio 9470m | C3C98ES was listed for R24,958.80 on 26 Oct at 01:03 by FirstShop in Johannesburg (ID:164474473)",,33.8 cm x 23.1 cm x 1.895 cm,14 '' LED backlight 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit,No optical drive,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,HP EliteBook Folio 9470m - 14 '' - Core i7 3667U - Windows 7 Pro 64-bit - 4 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD,1.61 kg,,,,,,,,,3G,Platinum,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Mobile Workstation | LG660EA for sale in Johannesburg (ID:137911666),8-cell,38.2 cm x 25.8 cm x 3.8 cm,15.6 '' LED backlight Full HD WVA anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",AMD FirePro M5950 - 1 GB GDDR5,4 GB DDR3,"802.11n , Bluetooth 2.1 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit,DVD SuperMulti DL,Intel Core i5 ( 2nd Gen ) 2540M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,HP EliteBook Mobile Workstation 8560w - 15.6 '' - Core i5 2540M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,3.1 kg,,,,,,,,,,,,,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 8GIG RAM | 320GB HDD | LAPTOP was listed for R4,500.00 on 21 Oct at 15:46 by TradeRouteAuctions in Johannesburg (ID:164525280)",,,,,,,,,Windows 7,,Intel Core i5 ~ 2.6Ghz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GB,8 GB DDR3 1600 MHz,
"Other Laptops & Notebooks - TOSHIBA PORTEGE Z930-F848 - Toshiba was listed for R10,987.00 on 4 Nov at 01:56 by PC LINK COMPUTERS in Johannesburg (ID:157343604)",,,13.3 '' Anti-Glare LED,,,Intel,6GB DDR3,,,N/A,,,,TPM / AMT / SSD Alert,,1.12kg,,,,,,,,,,,,,,,Spill Resistant STD,,128GB mSATA SSD,Z930-F848,Win 8 Pro,3 Years,WLAN+ BT,,,Silver,i3-3217U,10/100 / 1000,,,,
