<page title>,capacity,depth,dockable,height,ram,run time,speed,system type,technology,type,weight,widescreen,width,cache memory,device type,flash memory,form factor,interface,memory speed,monitor type,power provided,installed size,interface type,spindle speed,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,localization,manufacturer selling program,manufacturer warranty,memory,networking,operating system,optical drive,processor,product description,security,storage,system type,weight,empty slots,features,slots qty,automatic duplexing,interface,max resolution bw,microsoft certification,monthly duty cycle max,print speed,printer type,ram installed max,total media capacity,aspect ratio,backlight life,brightness,color,diagonal size,interfaces,panel type,pixel pitch,power supply,response time,screen coating,viewable size,product type,resolution,storage,touchscreen,channel qty,localization,raid level,video memory,card reader,image enhancement technology,language simulation,max media size,max resolution color,media handling,media size class,media type,power,system requirements,main storage,optical drive,color,case material,battery life,battery type,best buy pc app,bluetoothenabled,bluray player,builtin webcam,cache memory,computer hard drive size,digital media reader or slots,directdisc labeling,display type,drive capacity,energy star certified,epeat qualified,game ports,graphics card,graphics chip,hard drive type,hdmi output,ieee 1394 firewire ports,laptop weight,modem,mpeg,operating system bit version,operating system platform,parallel ports,pcmcia slots,pointing device,processor brand,processor speed,screen size measured diagonally,speakers,svideo outputs,system memory ram,system memory ram expandable to,tv tuner,type of memory ram,usb 20 ports,video memory,wireless networking,bypass feeder capacity,copier type,device type,document feeder capacity,fax resolutions,fax type,max copying resolution,max copying speed,max fax transmission speed,max media capacity,max printing resolution,max printing speed,media size,office machine features,original size,original type,output trays capacity,pc connection,pc connection availability,printing technology,scanning,standard media capacity,hard drive size,keyboard description,network card,other control devices mouse etc,recordable dvd drive,recordable dvd drive speeds,software included,tilt,touchscreen,audio output,cache per processor,camera,card reader,form factor,graphics controller,hard drive,monitor,optical storage,os provided,platform technology,processor main features,processor socket,ram,storage controller,type,2in1,audio,customized convenience,more expansion less expense,solid security,receiver,backlit keyboard,gaming series,included software,optical drive speeds,wireless display,adobe flash compatible,data plan required,digital camera,digital camera pixels,front facing webcam,front facing webcam pixels,gps enabled,gps enabled with,headphone jack,internal storage type,pricematch,sd card slot,storage capacity,wifi built in,installed qty,beautifully slim,everlasting memories,sensational fun,superior productivity,wireless,power,microsoft office preloaded,contrast ratio,pixel per inch,speakers,automatic document feeder,automatic document reduction,automatic redial,available print modes,bit depth,black printer resolution,color printer resolution,copier resolution dpi,copier speed bw,copier speed color,document feed type and capacity,duty cycle,fax transmission speed,fontstypefaces,input paper capacity,media sizes,media types,minimum system requirements,multiple copies,networking capabilities,number of speed dials,output paper capacity,pcfree printing,print quality,print speed bw,print speed color,reduction enlargement,scan method,scanner resolution dpi,scanner type,total ink tankscartridge,twosided printer,type of interface,os provided,additional audiovideo connectors,connectivity,mechanical design,batteries needed,battery included,battery quantity,color category,connection type,cordlesswireless,ergonomic,leftrighthanded design,mac compatible,optical technology,port connection,type of pointing device,sharing files and documents is a snap,get connected in more ways than one,store it all,carrier,processor,aspect ratio,brightness,builtin devices,color support,compliant standards,contrast ratio,display position adjustments,input connectors,native resolution,panel type,pixel pitch,response time,all media,connect,do more,easy fun,memory,vesa support,ink palette supported colors,inkjet technology,printer features,product type,max media size custom,ssd cache,sound emission,hard drive capacity,number of ports,power consumption,bundled with,screen coating,fun shareable services,hd video recording,inspiring mobile freedom in your life,location,processor clock speed,rich multimedia experience,sleek portable design,supported flash memory cards,wireless connectivity,amazing angles with ips,beauty and brains,hp and the environment on your side,jawdropping details,software that simplifies,compatibility,dvid input,dvid with hdcp input,hdmi input,inputs,maximum resolution,product depth with stand,speakers included,vga input,airprint enabled,bundled services,min media size custom,pricing type,designed for,features,hot keys function,antiglare coating,horizontal frequency,monitor type,screen refresh rate,vertical frequency,fax memory,product depth without stand,additional features,5 customizable buttons,bluetrack technology,comfort and durability,tilt wheel,backlight technology,battery capacity,battery chemistry,dimensions w x d x h,display screen type,finger print reader,graphics controller manufacturer,graphics memory accessibility,graphics memory technology,hdmi,height,keyboard,maximum battery run time,maximum power supply wattage,memory card reader,memory card supported,memory technology,microphone,multitouch screen,number of cells,number of usb 30 ports,operating system architecture,optical drive type,pointing device type,processor manufacturer,processor model,processor turbo speed,processor type,screen mode,screen resolution,screen size,solid state drive capacity,standard memory,total number of usb ports,webcam,wireless lan standard,battery indicator,scrolling wheel,drop size,paper feeder,green compliance,number of buttons,total print heads,bays,available expansion slots,gorgeous gaming power,included service,instinctfast response,optimum game control,spectacle of sound,input device,heavy security exceptionally managed,reliability for the long haul,the solution for diverse business demands,preview screen size,ips,portrait andor landscape viewable,at home in your environment,barcodes,featurerich and up to any task,print from a usb flash drive,recommended monthly volume,print on cddvd,wireless broadband wwan,dimensions,display format,hdmi ports qty,lan protocol,pc interface,power device,remote control,targeting,tv tuner,viewing angle,7 capacitive multitouch screen,battery run time,fast processor,frontfacing camera,movies and tv shows,responsive touch screen,slim lightweight portable,supported still image formats,supported text formats,flash memory installed max,speaker system,stand,stand design,read speed,series,incredible beauty vibrant portability,incredible cloud store share and sync,incredible sound incredible sound with sonicmaster,pricing type,killer gaming lan priority online gaming lead the way,outstanding management of power usage,carry less,durable and dependable,productive powerhouse,security you can depend on,the power of touch,display screen technology,ethernet technology,network rj45,number of usb 20 ports,processor core,vga,wireless capability,essential security,were right behind you,environmentally friendly,auto sensing,interface slot type,lan connection,number of lan ports,speed,ips panel provides vivid images on the go,supernote super great app for more than note taking,data compression system,onscreen image controls,zooming capabilities,document management also made easy,everything the small workgroup requires,keyboard design,mouse included,multimedia keys,palm rest,available expansion bays,10point multitouch display,four awesome modes one incredible device,instant resume,multimode keyboard,robust harddrive protection,rocksolid durability,print speed photo,antenna qty,frequency band,usb 30 and network connectivity,print documents and web pages fast,cables included,connectivity technology,movement detection technology,movement resolution,os required,performance,a powerful tablet doesnt have to be complicated,make the most of the real estate,make the most of your downtime,hp support,impressive audio and visual experience,power to perform,put it together,integrated options,sensors,detailoriented display,familyfriendly,low battery,magazines come to life,more productive than ever,security at your fingertips,security devices,ultrathin and lighter,dolby advanced audio v2,intel processor,precision keyboard,ultradurable and milspec tested,vga port,discrete graphics,ambibright,digital uniformity compensation,rapid response,add style and priority by customizing your home screen,meetings made easy no paper or servers necessary,powering entertainment and empowering productivity,seamless multi tasking four different ways,take web meetings to the next level,maximum memory,number of total memory slots,mounting kit,a classic timeless design,precise input,providing a smooth computing experience
Samsung Galaxy NotePRO - tablet - Android 4.4.2 (KitKat) - 32 GB - 12.2 - 3G  4G,9500 mAh,0.3 in,,11.7 in,3 GB,,,,Lithium ion,,26.6 oz,,8 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,Tablet,2560 x 1600,32 GB,Multi-Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkCentre M93p 10A9 - Core i5 4670 3.4 GHz - 4 GB - 1 TB,1 x 1 TB,14.8 in,,4 in,,,,,DDR3 SDRAM Optical,Integrated HDD,17.2 lbs,,13.3 in,,Power supply,,DIMM 240-pin,USB,1600 MHz,None .,240 Watt,6 MB,PCIe 2.0 x16 SATA 6Gb/s,7200 rpm,,,,,,,,,,,,,,,,,,,,,Unbuffered,,,,,,,,,,,,,,Business black,,,,,,,,,,,,,2,English,RAID 0 RAID 1,512 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Veriton N4620G_Ec3227U - Core i3 3227U 1.9 GHz - 4 GB - 500 GB,1 x 500 GB,8.3 in,,1.4 in,,,,,DDR3 SDRAM,HDD Card reader Integrated,4.4 lbs,,8.3 in,,Power adapter,,,USB,1600 MHz,None .,65 Watt,3 MB 4 GB,SATA 3Gb/s,5400 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dell C1760NW Color LED Printer, 15 Mono/12 ppm Color Print Speed, 600 x 600dpi Resolution, 150 Sheet Tray Capacity Wireless and Laser W/ Networking",,,,,,,,,,,,,,,,,,,,,,,,,,15.5 in x 11.8 in x 8.9 in,,,,,,,,,"Print server - Ethernet , Fast Ethernet , IEEE 802.11b , IEEE 802.11g , IEEE 802.11n",,,384 MHz,Dell Color Printer C1760nw - printer - color - LED,,,,23.4 lbs,,,,,"USB , LAN , Wi-Fi ( n )",600 dpi,Compatible with Windows 7,30000 pages,Up to 15 ppm - B/W - Letter A Size ( 8.5 in x 11 in ) � Up to 12 ppm - color - Letter A Size ( 8.5 in x 11 in ),Workgroup printer - LED - color,128 MB,150 sheets,,,,,,,,,,,,,,,,,,,,,,1200 IQ,Windows GDI driver,"Legal ( 216 x 356 mm ) , A4 ( 210 x 297 mm )",600 dpi,"150-sheet input tray , 10-sheet bypass tray",A4/Legal,"Envelopes , labels , plain paper , coated paper , recycled paper , cover paper",AC 120 V,"Microsoft Windows Server 2008 R2 , Apple MacOS X 10.6 or later , Apple MacOS X 10.5 or later , Apple MacOS X 10.4.11 or later , Microsoft Windows Vista ( 32/64 bits ) , Microsoft Windows 7 ( 32/64 bits ) , Microsoft Windows XP ( 32/64 bits ) , Microsoft Windows Server 2008 ( 32/64-bits ) , Microsoft Windows Server 2003 ( 32/64-bits ) , Apple MacOS X 10.7 or later , Microsoft Windows Server 2012 , Windows 8 ( 32/64 bits )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer TravelMate P245-M-6622 - 14 - Core i3 4010U - Windows 7 Pro 64-bit / 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,2500 mAh,9.6 in,,1 in,4 GB,Up to 5 hours,,Notebook,DDR3L SDRAM,14,4.6 lbs,Yes,13.5 in ``,,,,,SATA 3 Gb/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,500 GB HDD,DVD-Writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP ZBook 15 Mobile Workstation - 15.6"" - Core i7 4800MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 16 GB RAM - 750 GB HDD",,,,,,,,,,,,,,,,,,,,,,,,,8-cell,15 in x 10.1 in x 1.2 in,15.6 '' LED backlight Full HD UWVA eDP anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K2100M - 2 GB GDDR5,English / United States,HP Smart Buy,3 years warranty,16 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4800MQ / 2.7 GHz ( 3.7 GHz ) / 6 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i7 4800MQ - Windows 7 Pro 64-bit / 8 Pro downgrade - 16 GB RAM - 750 GB HDD,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",750 GB HDD / 7200 rpm + 32 GB SSD cache ( mSATA ),Notebook,6.5 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Whitebook MS-16F496 - 15.6 - no CPU - no OS - 0 MB RAM,,10.6 in,,2.2 in,0 MB,,,Notebook,DDR3 SDRAM,15.6,7.1 lbs,Yes,15.6 in ``,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Glare,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAID 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X140e 20BL - 11.6 - A series A4-5000 - Windows 7 Pro 64-bit / 8 Pro 64-bit downgrade - 4 GB RAM - 128 GB SSD,62.4 Wh,8.5 in,,1.4 in,,,,Notebook,DDR3L SDRAM,11.6,3.9 lbs,Yes,11.6 in ``,,,,,Serial ATA-600,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Anti-glare,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,128 GB SSD,,,ABS plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP EliteBook 820 G1 - 12.5 - Core i5 4200U - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® HD Graphics 4400,,,,,Built-in Gigabit Ethernet LAN ( RJ-45 connector ),Windows 7 Professional,Not included,Intel® 4th Generation Core™ i5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,3-cell Lithium Polymer ( Li-Polymer ),No,Yes,No,Yes,3MB,500GB,"Yes , digital media card reader",No,High-definition widescreen LED-backlit active-matrix TFT-LCD ( 1366 x 768 ),500GB,Yes,No,None,Intel® HD Graphics 4400,Intel,SATA ( 7200 rpm ),No,None,Ultraportable ( 5.5 lbs . or less ),None,No,64-bit,Windows,None,None,TouchPad with multitouch gesture support and Pointstick,Intel®,1.6GHz ( with Turbo Boost up to 2.6GHz ),12.5 '',Internal,None,4GB,16GB,No,DDR3L SDRAM,3 USB 3.0,Shared,Wireless-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OKI Data MC361 Multifunction Color Printer, 23 / 25 ppm, Up to 1200x600dpi - Print, Copy, Scan, Fax",,,,,,,,,,,,,,,,,,,,,,,,,,16.8 in x 20 in x 17.5 in,3.5 '',,ENERGY STAR Qualified,,,,1 year warranty,,,,,,OKI MC361 - multifunction printer ( color ),,,,63.9 lbs,,,,Yes ( copying ) Yes ( printing ),,,Compatible with Windows 7,45000 impressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Envelopes , plain paper",AC 120 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 sheets,Digital,Fax / copier / printer / scanner,50 sheets,200 x 400 dpi,Super G3 - plain paper,Up to 600 x 600 dpi ( mono ) / up to 600 x 600 dpi ( color ),Up to 25 ppm ( mono ) / up to 23 ppm ( color ),33.6 Kbps,880 sheets,Up to 1200 x 600 dpi ( mono ) / up to 1200 x 600 dpi ( color ),Up to 25 ppm ( mono ) / up to 23 ppm ( color ),Legal ( 216 x 356 mm ) ( max ),"Print from USB flash drive , save to USB flash drive , scan to e-mail , scan to network",Legal ( 8.5 in x 14 in ) ( max ),Sheets,150 sheets,"LAN , USB host , USB 2.0",Yes,LED ( color ),1200 x 1200 dpi,350 sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo - 19.5All-In-One Computer - 4GB Memory - 500GB Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel® HD,,,,,,Windows 8.1,,Intel® Celeron®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,Yes,1MB,,"Yes , digital media card reader",No,,500GB,No,No,,,,SATA ( 7200 rpm ),Yes,,,,,64-bit,Windows,,,,Intel®,2.41GHz ( with boost up to 2.58GHz ),19.5 '',Internal,,4GB,Nonexpandable,No,DDR3,"1 USB 3.0 ( side ) ; 3 USB 2.0 ( 1 side , 2 rear )",Shared,Built-in 802.11b/g/n wireless LAN,,,,,,,,,,,,,,,,,,,,,,,500GB,USB,Built-in 10/100/1000 Ethernet LAN,USB optical mouse,"Yes , DVD±RW/CD-RW",Drive speeds not specified,Nitro PDF Reader ; CyberLink PowerDVD and more,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkCentre M93z 10AD - Core i5 4670S 3.1 GHz - 4 GB - 500 GB - LED 23""",,,,,,,,,,,,,,,,,,,,,,,,,,22.4 in x 9.7 in x 21.7 in,,,"ENERGY STAR Qualified , EPEAT Gold",,English,TopSeller,3 years warranty - on-site,,"GigE , 802.11b , 802.11g , 802.11n , Bluetooth 4.0",,,1 x Intel Core i5 ( 4th Gen ) 4670S / 3.1 GHz ( 3.8 GHz ) ( Quad-Core ),Lenovo ThinkCentre M93z 10AD - Core i5 4670S 3.1 GHz - 4 GB - 500 GB - LED 23 '',,,,28.9 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC 120/230 V ( 50/60 Hz ),,,,,,,,,,,,6 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,6 MB,Integrated - 2 Megapixel,11 in 1,All-in-one,Intel HD Graphics 4600,1 x 500 GB - SATA 6Gb/s,23 '' - LED - 1920 x 1080 ( Full HD ) - 16 : 9 - Multi-Touch,DVD-Writer,Windows 8 Pro 64-bit Edition,Intel vPro Technology,Intel Turbo Boost Technology 2,LGA1150 Socket,4 GB ( installed ) / 16 GB ( max ) - DDR3 SDRAM - 1600 MHz - PC3-12800,SATA ( SATA 6Gb/s ),Personal computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion x2 13-p120nr - 13.3 - A series A6-1450 - Windows 8.1 64-bit - 4 GB RAM - 128 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD Radeon HD 8250,,,,,None,Windows 8.1,Not included,AMD A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not available,3-cell lithium-ion polymer,No,Yes,No,Yes,2MB on die Level 2,64GB,"Yes , digital media card reader",No,HD LED touchscreen with IPS,64GB,No,No,None,AMD Radeon HD 8250,AMD/ATI,SSD ( Solid State Drive ),Yes,None,Ultraportable ( 5.5 lbs . or less ),None,No,64-bit,Windows,None,None,Imagepad with multitouch gesture support,AMD,1.0GHz,13.3 '',,None,4GB,8GB,No,DDR3L SDRAM,1 USB 3.0 ; 1 USB 2.0,,Wireless-B+G+N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,DTS Sound+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
