2in1,<page title>,hard drive capacity,laptop battery life,laptop display type,laptop hard drive capacity gb,laptop hard drive speed,laptop hard drive type,laptop memory ram gb,laptop network card,laptop operating system,laptop optical drive,laptop processor speed,laptop processor type,laptop refurbished,laptop screen size inches,laptop style,laptop use,laptop warranty,laptop weight,processor speed up to ghz,processor type,ram capacity,screen size,touch screen enabled,video graphics memory,bluetooth compatibility,cpu cache,laptop audio,laptop battery type,laptop color,laptop dimensions l x w x h,laptop memory type,laptop other ports,laptop usb slots,laptop webcam,laptop weight filter,media card reader,laptop memory expandable,laptop video graphics,color family,laptop processor type details,wireless connectivity,hard drive type,bluetooth compatibility details,laptop color details,laptop extra features,windows select pc,all in one desktop,desktop audio,desktop cpu cache,desktop dimensions l x w x h,desktop hard drive size gb,desktop includes monitor,desktop media card reader,desktop network card,desktop operating system,desktop optical drive,desktop other ports,desktop power,desktop processor,desktop refurbished,desktop usb ports,desktop use,desktop warranty,desktop weight,e desktop memory expandable,form factor,ram desktop memory gb,sp desktop hard drive speed,speed desktop processor speed,t desktop hard drive type,t desktop memory type,desktop special feature,desktop video graphics,all in one desktop details,desktop includes monitor details,desktop lan data transfer rate,desktop processor details,desktop refurbished details,desktop use details,desktop video memory,touch screen enabled details,desktop operating system details,desktop weight details,desktop hard drive size details
No,"Refurbished Lenovo ThinkPad T410 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core i5, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,WXGA LCD,160.0,SATA,5400 RPM,4.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.5Ghz,Intel i5,Yes,14.1,Laptop/Notebook,Business,18 Month parts and labor,1 to 2 lbs,2 to 2.9 GHz,Intel i5,4GB,13 '' to 14.9 '',No,Intel GMA 4500MHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurb Toshiba L75d-a7283 17.3'' Laptop, 6GB Memory, 750GB Hard Drive, AMD Quad Core A4-5000M Accelerated Processor, Windows 8 | Staples®",,,HD TruBrite LED Backlit display,750.0,"5400rpm , Serial ATA",,6.0,,Windows 8,DVD SuperMulti Drive,,AMD Other,Yes,17.3,Laptop/Notebook,Everyday,90 Days,,,,,,No,,No,,Integrated,"Li-Ion ( 48Wh , 6-Call )",Silver,,DDR3,"HDMI , RGB","1-USB ( 2.0 ) with Sleep & Charge , 2-USB ( 3.0 )",HD webcam with microphone,5.9,No Memory Card Reader,,AMD Radeon HD 8330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell Optiplex 780, 750GB Hard Drive, 8GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",750GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,8GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,,12.4 in . H x 3.65 in . W x 13.4 in . D,750,No,,,,DVD,,,Intel Other,Yes,,Business,1 Year,18 lbs .,,Desktop,8,,3.16GHz,,,,Integrated,No,No,,,Yes,Everyday,,No,,,
No,"Refurbished Dell D830 15.5"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,30 minutes to a hour,WXGA ( 1280x800 ),80.0,2.0GHz,SATA,8.0,Gigabit Ethernet 10/100/1000,Windows 7,DVDRW,7200 RPM,Intel Other,Yes,15,Laptop/Notebook,,1 year warranty,5.1 to 6 lbs,2 to 2.9 GHz,Intel,2GB,15 '' to 16.9 '',No,,No,2MB,Integrated HD audio,Lithium ion,Gray,14.2x10.34x1.39,,"S-Video , Serial , 1394 , VGA , headphone/speaker out , 3 USB , powered USB ( D/Bay ) , RJ11 , RJ45 , AC power , docking out , RJ-11 , RJ-45 , AC power",3 USB Slots,,5 lbs,DDR 2,2GB,Integrated video graphics,Gray/Silver,,802.11/a,,N/A,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP 6930P 14.1"", 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,Up to 4 Hours,WXGA,,5400RPM,SATA,4.0,Integrated Intel Gigabit Network Connection,Windows 7,Combo Drive,2.53GHz,Intel Other,Yes,14.1,Laptop/Notebook,Everyday,1 year limited,Over 6 lbs,2 to 2.9 GHz,Intel,4GB,13 '' to 14.9 '',No,N/A,Yes,3MB L2,Integrated HD Audio,6-cell Lithium-ion,Silver,9.57 '' x 13.03 '' x 1.23 '',DDR2 SODIMM,"1 x 1394a , 1 x VGA , 1 x Headphone Output , 1 x Microphone Input , 1 x RJ-11 , 1 x RJ-45 , 1 x Docking Connector , 1 x Battery Connector",3 x USB 2.0,N/A,4.7 lbs .,integrated Smart Card Reader,8GB,ATI Radeon HD 3450 or GMA 4500MHD,Gray/Silver,Intel Core 2 Duo,,Spindle,,Mercury Silver,Full Aluminum Shell,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Dell Inspiron 15.6-Inch Laptop (I3543-7500BLK/I3542-8335BK) | Staples®,1TB,Up to 6 hours 33min,LED Backlit Display with Truelife and HD resolution ( 1366 x 768 ),1024.0,5400 RPM,SATA,8.0,,Windows 7 Professional,Tray load DVD Drive ( Reads and Writes to DVD/CD ),2.7GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,,,Intel i5,8GB,15 '' to 16.9 '',No,Intel® HD Graphics 4400,No,3M,HD Audio enhanced with Wave MaxxAudio,"40 WHr , 4-Cell Battery",Black,10.5 x 15.0 x 1.0,DDR3,"HDMI 1.4a , Security Slot , Media Card Reader ( SD , SDHC and SDXC ) , Headphone/Microphone","1 x USB 3.0 , 2 x USB 2.0",720 MP,5.26 lbs .,Integrated,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Dell Inspiron i15RMT-5124sLV 15.6"" Touchscreen Laptop | Staples®",500GB,Up to 4 hours,HD Touch Display,500.0,5400RPM,SATA,6.0,Integrated 10/100 Ethernet,Windows 8.1,DVD+/-RW Drive,up to 2.6GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,5.1 to 6 lbs,1 to 1.9 GHz,Intel i5,6GB,13 '' to 14.9 '',Yes,Integrated Intel HD Graphics,Yes,3M,Waves MaxxAudio,6-Cell Battery,Silver,14.80 ” ( W ) x 10.20 ” ( D ) x 1.10 ” ( H ),DDR3L,"1 x HDMI , 1 x RJ-45 10/100","2 x USB 3.0 , 2 x USB 2.0",1MP capable,5.84 lbs .,8-in-1,16GB,N/A,Gray/Silver,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell 755 SFF-2.3-1TB-4GB, Intel Core 2 Duo Windows 7 Home | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,6MB,14 '' x 12.5 '' x 3.9 '',1TB,No,Intel GMA 4500,Intel Pro 1000 PT PCIe Gigabit,Windows 7,DVD-ROM,"Serial , 2 x PS2 , RJ-45 , VGA , audio in/out",240W,Intel Other,Yes,8 x USB,Business,18 Month,22lbs,16,Small Form Factor,4,7200RPM,,SATA,DDR2 SYNCH DRAM,,Intel GMA 4500,,,,,,,,,,,
Yes,ASUS Touchscreen 15.6-Inch Convertible Laptop (TP550LA-RHI5T01) | Staples®,,Up to 5.5 hours estimated,HD Touch,1024.0,HDD,5400 RPM,6.0,802.11n wireless,Windows 8.1,SMDVDRW,1.7GHZ,Intel i5,No,15.6 '',Laptop/Notebook,Everyday,1 Year,,,,,,Yes,UMA,Yes,3MB L3,Stereo Speakers,Lithium polymer,Assorted,14.96 '' x 10.28 '' x 1.07 '',DDR3L 1600MHz,"HDMI , combo audio jack , RJ-45","1 x USB 3.0 , 2 x USB 2.0",Integrated,5.73 lbs .,SD Card Reader,Up to 8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell Optiplex 755, 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,,Intel,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65 '' x 12.4 '' x 13.4 '',160,,Intel Integrated Graphics Media Accelerator,,Windows 7,DVD Rom,,,Intel Other,Yes,,Business,1 Year Limited,,,Desktop,4,,,SATA,DDR2,,,,No,,,Yes,Everyday,,,,15lbs,
,"Refurbished HP DC7800 TW-2.6-160GB-2GB, Intel Core 2 Duo Windows 7 Pro | Staples®",Under 320GB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Integrated,,17.3 '' x 6.9 '' x 15.8 '',,No,Intel GMA 4500,Dell Wireless 1505 PCIe WLAN,Windows 7,DVD-ROM,"serial , eSATA , Parallel , RJ-45 , VGA , Display port , 2 x mic , audio line-out",255W,Intel Other,Yes,8 x USB,Business,18 month parts and labor warranty,31lbs,8,Desktop,4,7200RPM,,SATA,DDR2 Non-ECC SDRAM,,Intel GMA 4500,,,10/100/1000 Mbps,,,,,,,,
No,"Toshiba, Satellite L55-B5276, 15.6"" Laptop, 8GB Memory, 1TB Hard Drive, Intel Core i5, Windows 8.1 | Make More Happen at Staples®",1TB,4.2 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,8.0,10/100 Ethernet,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.7GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,,1 to 1.9 GHz,Intel i5,8GB,10 '' and under,No,Mobile Intel HD graphics with shared graphics memory,No,3MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Gold,14.96 x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"VGA , HDMI , Microphone , Headphone , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,4.85 lbs,"Memory Card Reader - Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished Dell OptiPlex 780 SFF, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,2 to 2.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,,Integrated,N/A,13.4 '' x 12.5 '' x 3.9 '',1024,,Intel GMA 4500,,Windows 7 Professional,DVD-ROM,"serial , eSATA , Parallel , RJ-45 , VGA , Display port , 2 x mic , audio line-out",235W,Intel Other,,8 x USB,Business,1 Year,22 lbs .,N/A,Desktop,4,7200 RPM,3.0Ghz,SATA,DDR2 Non-ECC SDRAM,,Intel GMA 4500,No,Yes,Dell Wireless 1505 PCIe WLAN,Intel Core 2 Duo,Yes,Entertainment,8GB,No,,,
No,Toshiba Satellite 15.6-Inch Laptop (L55-B5276) | Staples®,1TB,4.2 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,8.0,10/100 Ethernet,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.7GHz,Intel i5,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,1 to 1.9 GHz,Intel i5,8GB,15 '' to 16.9 '',No,Mobile Intel HD graphics with shared graphics memory,No,3MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Gold,14.96 x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"VGA , HDMI , Microphone , Headphone , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,4.85 lbs,"Memory Card Reader - Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Dell Inspiron 15.6-Inch Touch Screen Laptop ( I3541-5001BLK) | Staples®,,,LED Backlit Touch Display with Truelife and HD resolution ( 1366 x 768 ),1024.0,5400RPM,SATA,8.0,Dell Wireless-N 1705,Windows 8.1,Tray load DVD Drive ( Reads and Writes to DVD/CD ),,AMD A6,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,Yes,,Yes,,HD Audio enhanced with Wave MaxxAudio,Up to 6 hours 33min,Black,15 '' x 1 '' x 10.5 '',DDR3L,"Security Slot , Media Card Reader ( SD , SDHC and SDXC ) , Headphone/Microphone","1 x USB 3.0 , 2 x USB 2.0",720p,5.26 lbs .,N/A,N/A,Radeon™ R4 Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba C55-B5362, Intel Core i3, 4GB RAM, 500GB Hard drive, 15.6"" TruBrite® TFT display, Laptop | Staples®",,4 cell/45Wh Lithium ion battery,TruBrite® TFT display,500.0,5400 RPM,SATA,4.0,802.11b/g/n,Windows 8.1,DVD SuperMulti drive supporting 11 formats,1.70GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,No,,,3M,Integrated,,Black,14.96 ” x 10.2 ” x 1.05 ”,DDR3L,"1 x x RJ-45 LAN port , 1 x HDMI , 1 x RGB","2 x USB 2.0 ports , 1 x USB 3.0 port",HD webcam with microphone,4.85 lbs,Integrated Secure Digital,N/A,Mobile Intel® HD graphics with shared graphics memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP Pavilion 17-e040us 17.3'' Laptop, 6GB Memory, 750GB Hard Drive, Intel Core i3 Processor, Windows 8 | Staples®",,Up to 4 hours and 45 minutes,Diagonal HD+ ( 33 ) BrightView LED-backlit display ( 1600 x 900 ),750.0,5400rpm,,6.0,1x1 802.11b/g/n WLAN,Windows 8,DVD SuperMulti DVD Burner,2.4GHz,Intel i3,Yes,17.3,Laptop/Notebook,Everyday,90 Days,,,,,,No,,No,3MB L3,Integrated,6-cell 47WHr 2.2 Ah lithium-ion battery,Black,46 '' L x 44.1W x 40.7 '' D,DDR3L SDRAM ( 2 DIMM ),"1 HDMI , 1 VGA ( 15-pin ) , 1 RJ-45 ( LAN ) , 1 Headphone-out/microphone-in combo jack","2-USB SuperSpeed ( 3.0 ) , 1-USB ( 2.0 )",Front facing HP TrueVision HD Webcam with integrated digital microphone,,Multi-format digital media card reader for Secure Digital cards,8,,,,,,,,HP CoolSense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"HP Pavilion, 14-v062us, 14.0"" Laptop, 750GB Hard Drive, 8GB Memory, Touchscreen | Make More Happen at Staples®",750GB,up to 5 hours and 30 min,HD WLED-backlit touchscreen display,750.0,5400RPM,HDD,8.0,10/100 BASE-T Ethernet LAN,Windows 8.1,SuperMulti DVD burner,1.9GHz,Intel i3,No,14,Laptop/Notebook,Everyday,1 Year,,4 to 4.9 GHz,Intel i3,8GB,13 '' to 14 '',Yes,Intel® HD graphics 4400,No,N/A,BeatsAudio™ dual speakers,4-cell 41WHr 2.8Ah lithium-ion battery,Silver,13.62 '' x 9.68 '' x 1 '',DDR3L,"1 HDMI , 1 RJ-45 , 1 Headphone/Microphone combo jack","2 x USB 3.0 , 1 x USB 2.0",Integrated,4.6 lbs .,Multi-format digital media card reader for Secure Digital cards,N/A,N/A,Gray/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lenovo 15.6-Inch Laptop (G50) | Staples®,1TB,up to 4 hours,HD LED Backlight,1024.0,5400 RPM,Traditional Harddrive,8.0,802.11 b/g/n,Windows 8.1,DVD RW,2.0GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,,2 to 2.9 GHz,Intel i7,8GB,15 '' to 16.9 '',No,N/A,Yes,4MB,"2 speakers x 1.5 watts , Dolby Advanced Audio , 1 x internal analog mic","4-cell , 2200mAh Li-Cylinder battery",Black,15.12 '' x 10.43 '' x 0.98 '',DDR3L,2 x USB 3.0 port and 1 x USB 2.0,"VGA port , 2 in1 Card Reader ( SD , MMC ) , RJ45 , 1 stereo headphones / microphone in combo jack , HDMI out",Integrated,4.63 lbs .,"2 in1 Card Reader ( SD , MMC )",8GB,Integrated Intel HD 4400 Graphics,Black,,802.11b/g/n,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo T500 15.5"", 160GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",Under 320GB,Up to 4 Hours,WXGA Display,500.0,5400RPM,SATA,4.0,802.11 b/g,Windows 7 Professional,DVDRW Drive,2.4 GHz,AMD Other,Yes,15.5,Laptop/Notebook,Business,1 year limited,Over 6 lbs,2 to 2.9 GHz,Intel,4GB,15 '' to 16.9 '',No,N/A,Yes,3MB L2,Integrated Audio,6-cell Lithium-ion,Black,10 '' x 14.1 '' x 1.3 '',DDR3 1067MHz,"1 x LAN , 1 x Audio Out , 1 x MIC , 1 x VGA , 1 x IEEE 1394",3 x USB 2.0,N/A,5.9 lbs .,7-in-1 Media Card Reader,8GB,Intel Integrated Graphics 4500MHD,Black,Intel Core 2 Duo,802.11/a/b/g/n,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Toshiba Satellite 15.6-Inch Touch Screen Laptop (S55T-B5282) | Staples®,1TB,4 hours,TruBrite TFT display at 1366 x 768 native resolution ( HD ),1024.0,5400RPM,Serial ATA hard disk drive,12.0,10/100 Ethernet,Windows 8.1,Sold Separately : DVD SuperMulti drive supporting 11 formats,1.7GHz,Intel i7,No,15.6,Laptop/Notebook,Everyday,1 Year,Less than 1 lb .,1 to 1.9 GHz,Intel i7,12GB,15 '' to 16.9 '',Yes,Mobile Intel HD graphics with shared graphics memory,Yes,3MB,Stereo speakers tuned by Skull Candy,4 cell/45Wh lithium ion battery,Gold,14.96 '' x 10.2 ” x 0.93 ”,DDR3L 1600MHz,"VGA , HDMI , Microphone , Headphone , RJ-45","1 x USB 2.0 , 1 x USB 3.0 , 1 x USB 3.0 with Sleep and Charge",Integrated,5.2 lbs .,"Secure Digital , SDHC , SDXC , miniSD , microSD , Multi Media Card",Not user upgradeable,Integrated,Gold,,Wireless A/C,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Dell Inspiron 11.6-Inch Notebook | Staples®,500GB,Up to 7 hours 30min,LED Backlit Touch Display with Truelife and HD resolution ( 1366 x 768 ),500.0,5400RPM,SATA,4.0,Wireless-11AC,Windows 8.1,N/A,,Intel Other,No,11.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,2 to 2.9 GHz,Intel,4GB,10.1 '' to 12.9 '',No,Integrated Video Graphics,No,2M,Dell 2.0 Speakers with Waves MaxxAudio,3-cell 43 WHr Lithium-Ion Battery ( removable ),Silver,11.81 '' W x 0.76 '' D x 7.9 '' H,DDR3L,"HDMI , SD Card Reader , Headset/Mic Port",1 USB 3.0 with PowerShare and 2 USB 2.0 ports,Integrated,3.17 lbs .,2-in 1 Media Card Reader,N/A,N/A,Gray/Silver,2.58GHz,802.11/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Toshiba C75D-B7360, AMD A8, 6GB RAM, 750GB SATA hard drive, Windows 8.1, 17.3"" Laptop | Staples®",,6 cell/48Wh Lithium Ion battery pack,diagonal widescreen TruBrite® TFT display,750.0,5400RPM,SATA,6.0,802.11b/g/n,Windows 8.1,DVD SuperMulti drive supporting 11 formats,2.4GHz,AMD A8,No,17.3,Laptop/Notebook,Everyday,1 Year,,,,,,No,,No,,Built-in stereo speakers,,Black,16.3 ” x10.6 ” x 1.3 ”,DDR3L,"1 x HDMI , 1 x RGB","2 x USB 2.0 , 1 x USB 3.0",HD webcam and microphone,5.9 lbs,,N/A,AMD Radeon™ R5 Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,HP K2L95UA#ABA Stream Laptop | Staples®,Under 320GB,,,32.0,,,2.0,,Windows 8.1,,,Intel Other,No,11.6,Laptop/Notebook,Business,,2.1 to 3 lbs,2 to 2.9 GHz,Intel,2GB,10.1 '' to 12.9 '',No,,Yes,,,,Blue,,,,,,,,,,Blue,,802.11b/g/n,Solid State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished Lenovo ThinkPad T61 14.1"", 80GB Hard Drive, 2GB Memory, Intel Core 2 Duo, Win 7 Home | Staples®",Under 320GB,Up to 6 Hours,TFT Color LCD,80.0,SATA,5400 RPM,2.0,802.11 b/g/n,Windows 7,DVD-CDRW,2.0Ghz,,Yes,14.1,Laptop/Notebook,Business,1 Year,Less than 1 lb .,2 to 2.9 GHz,Intel,2GB,13 '' to 14.9 '',No,Intel Graphics Media Accelerator 950,,,,,,,,,,,,,,,,Intel Core 2 Duo,,Spindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buy HP Pro 3500 500 GB Desktop PC at Affordable Price from Staples.com | Staples®,500GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel i3,2GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,3MB,14 1/2 '' x 6 1/2 '' x 15.3 '',500GB,No,No,Yes,Windows 7 Professional,DVD-Writer,"Interfaces/ports : 10 x USB 2.0 , Network ( RJ-45 ) , Audio Line In/Out , VGA , DVI",300 W,Intel i3,No,10 x USB 2.0,Business,1 Year Limited on Parts and Labor,15.28 lbs .,8GB,Desktop,2GB,7200 RPM,3.40GHz,SATA/600,DDR3 SDRAM,Security Slot,,,,,,,,,,,,
No,HP Pavilion 17.3-Inch Laptop (17-f065US) | Staples®,750GB,up to 5 hours and 45 minutes,HD BrightView,1024.0,5400RPM,HDD,6.0,10/100 BASE-T Ethernet LAN,Windows 8.1,SuperMulti DVD burner,1.9GHz,Intel i3,No,17.3,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,1 to 1.9 GHz,Intel i3,6GB,15 '' to 16.9 '',No,Intel HD graphics 4400,No,3M,BeatsAudio dual speakers,4-cell 41WHr 2.8Ah lithium-ion battery,Silver,16.51 '' x 10.98 '' x 1.092 '',DDR3L,"1 HDMI , 1 RJ-45 , 1 Headphone/Microphone combo jack","2 x USB 3.0 , 1 x USB 2.0",Integrated,6.23 lbs .,Multi-format digital media card reader for Secure Digital cards,N/A,N/A,Gray/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Dell Inspiron i15RVT-6195BLK 15.6"" Touchscreen Laptop | Staples®",500GB,Up to 4 hours,HD Touch Display,500.0,5400RPM,SATA,4.0,Integrated 10/100 Ethernet,Windows 8.1,DVD+/-RW Drive,1.7GHz,Intel i3,No,15.6,Laptop/Notebook,Everyday,1 Year,Over 6 lbs,1 to 1.9 GHz,Intel i3,4GB,15 '' to 16.9 '',Yes,Integrated Intel HD Graphics,Yes,3M,2 speakers with Waves MaxxAudio,4-Cell Battery,Black,14.80 ” ( W ) x 10.20 '' ( D ) x 1.07 '' ( H ),DDR3,"1 x HDMI , 1 X RJ-45 10/100","2 x USB 3.0 , 2 x USB 2.0",1.0 MP capable,4.85 lbs .,8-in-1,8GB,N/A,Black,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,"Refurbished HP 8540W 15.5"", 320GB Hard Drive, 4GB Memory, Intel Core i7, Win 7 Pro | Staples®",320GB,,,5400.0,320,SATA,4.0,,Windows 7 Professional,DVDRW,,Intel i7,Yes,15.5,Laptop/Notebook,Business,1 Year,,2 to 2.9 GHz,Intel i7,4GB,15 '' to 16.9 '',No,,,,Integrated HD Audio,6 Cell Lithium Ion,,9.9 '' x 14.7 '' x 1.3 '',DDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP 8000 SFF, 1TB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",1TB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,HD Audio with Realtek ALC261 Codec,,3.95 '' x 13.3 '' x 14.9 '',,No,,,Windows 7 Professional,DVDRW,,,Intel Other,Yes,,Business,,,,Small Form Factor,4,,,SATA,DDR3,,,No,No,,,Yes,Everyday,,No,,16.72lbs,1TB
Yes,"ASUS - SYSTEMS® ET1620IUTT-B1 15.6"" All-in-One PC, Intel Quad-Core Celeron J1900 2GHz | Staples®",,,LCD,320.0,5400 RPM,SATA,2.0,,Windows 8.1,No,2 GHz,Intel Other,No,15.6,Laptop/Notebook,Everyday,,,,,,,Yes,,No,2MB,Integrated - stereo,,Black,9.7 '' x 14.9 '' x 1.1 '',DDR3 SDRAM,"4 x USB , Audio Line-In , Audio Line-Out",4,Built-in,,Yes,8GB,,,,,,,,Wall Mount,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Refurbished HP 8000, 320GB Hard Drive, 4GB Memory, Intel Core 2 Duo, Win 7 Pro | Staples®",320GB,,,,,,,,,,,,,,,,,,3 to 3.9 GHz,Intel,4GB,,No,,,,,,,,,,,,,,,,,,,,,,,,No,High Definition Audio with Realtek ALC261 codec,3MB L2,Small Form Factor 3.95 '' x 13.3 '' x 14.9 '',320,No,n/a,Integrated Intel 82567LM GbE Network Connection,Windows 7 Professional,DVDRW Drive,"1 x serial port , 2 x PS/2 ( mouse and keyboard ) ports , 1 x RJ-45 network interface , 1 x DisplayPort , 1 x VGA video interfaces , audio in/out jacks , dedicated headphone output , a microphone/headphone jack",240 watts,,Yes,10 ( 4 in front and 6 in rear ),Business,1 year limited,,8GB,Small Form Factor,4,7200RPM,3.0GHz,SATA,DDR3 1066MHz,n/a,Integrated Intel GMA 4500,,,10/100/1000 Mbps,Intel Core 2 Duo,,,n/a,,Genuine Windows 7 Professional 32-bit,16.72 lbs .,
No,Dell Inspiron 15.6-Inch Touch Screen Laptop ( I3541-5001BLK) | Staples®,,,LED Backlit Touch Display with Truelife and HD resolution ( 1366 x 768 ),1024.0,5400RPM,SATA,8.0,Dell Wireless-N 1705,Windows 8.1,Tray load DVD Drive ( Reads and Writes to DVD/CD ),,AMD A6,No,15.6,Laptop/Notebook,Everyday,1 Year,,,,,,Yes,,Yes,,HD Audio enhanced with Wave MaxxAudio,Up to 6 hours 33min,Black,15 '' x 1 '' x 10.5 '',DDR3L,"Security Slot , Media Card Reader ( SD , SDHC and SDXC ) , Headphone/Microphone","1 x USB 3.0 , 2 x USB 2.0",720p,5.26 lbs .,N/A,N/A,Radeon™ R4 Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
