<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,builtin devices,certifications standards,colour,colour support,contrast ratio,depth,display orientation,displayport,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,hdmi,headphone,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,number of speakers,operating power consumption,package contents,panel technology,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,speakers,standard refresh rate,standby power consumption,usb,usb standard,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,depth with stand,height with stand,input voltage,screen surface,width with stand,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,horizontal frequency,maximum adjustable height,offmode power consumption,product series,webcam,swivel angle,tilt angle,weight with stand approximate,energy consumption per year,energy efficiency class,mount type,full product specifications,postconsumerwaste,3d type,recycled,recycled content,network rj45,packaged quantity,thunderbolt,component video,composite video,superb performance,versatile connections,full datasheet accessories features,mfr code,product,product code,stock,additional information,svideo
"LS22C65UDC/EN, 2773803, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Samsung,250 cd/mÂ²,USB Hub,"UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 CCC (China): GB 4943-2001 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS / NZS3548 (CISPR22) CCC (China): GB 9254-2008, GB 17625.1-2003",Matte Black,16.7 Million Colours,"1,000:1",55.5 mm,,Yes,Yes,MagicRotation MultiScreen MagicTune Off Timer MagicBright3 Eco Saving,TCO Certified Displays ENERGY STAR EPEAT Gold,Yes,,No,,301.9 mm,178Â°,3 Year,Samsung,LS22C65UDC/EN,1920 x 1080,1.0,,,,AD-PLS Technology,PC,,S22C650D,"21.5"" S22C650D Series 6 LED Business Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,,,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,3.20 kg,504.3 mm,210 mm,490.35 mm,110 V AC 220 V AC,,504.30 mm,,,,,,,650,,,,4.75 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"298P4QJEB/00, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,22:9,LED,Philips,300 cd/mÂ²,USB Hub,,,,"1,000:1",,,Yes,Yes,SmartImage,EPEAT Gold TCO Certified Edge ENERGY STAR,Yes,,Yes,,,178Â°,,Philips Electronics,298P4QJEB/00,2560 x 1080,1.0,,,,,Mac PC,,298P4QJEB,298P4QJEB Widescreen LCD Monitor,LCD Monitor,7 ms,,"73.7 cm (29"")",,,,Yes,USB 3.0,178Â°,Yes,,,,,,,220 V AC 110 V AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C9E49AA, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,,Black,,"1,000:1",47.5 mm,,,Yes,Security Lock,EPEAT Gold ENERGY STAR REACH TCO,Yes,Yes,,,315.2 mm,170Â°,3 Year,Hewlett-Packard,C9E49AA,1920 x 1080,1.0,,28 W,,,,Essential,P221,"ProDispaly P221 54,6 cm (21.5"") LED Backlit Monitor",LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,,500 mW,,,160Â°,Yes,100 x 100,Yes,4 kg,518 mm,160 mm,379 mm,220 V AC 110 V AC,Anti-glare,518 mm,,,,,,,,,,,,,,Arm-mountable,,,,,,,,,,,,,,,,,,,
"C9F26AA#ABT, HP, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,HP,250 cd/mÂ²,,,Black,16.77 Million Colors,"1,000:1",47.5 mm,,,Yes,Security Lock,TCO Certified Edge REACH EPEAT Gold ENERGY STAR,Yes,Yes,,,294.1 mm,170Â°,3 Year,Hewlett-Packard,C9F26AA#ABT,1600 x 900,1.0,,22 W,ProDisplay P201 20-inch LED Backlit Monitor VGA Cable DVI Cable Power Cord Printed Documentation And CD,,PC,Business,P201,ProDisplay P201 20-inch LED Backlit Monitor,LCD Monitor,5 ms,HD+,"50.8 cm (20"")",No,60 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,482 mm,151.10 mm,359.20 mm,220 V AC 110 V AC,Anti-glare,482 mm,,,,,,,Essential,No,,,,,,,,,,,,No,,,,,,,,,,,,,
"C9V75AA#AC8, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,ENERGY STAR TCO Certified Edge,Yes,,,,329 mm,,3 Year,Hewlett-Packard,C9V75AA#AC8,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,,,544 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"9H.L9SLB.RBE, 2998469, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,BenQ,350 cd/mÂ²,,,Red Black,16.7 Million Colours,"12,000,000:1",222 mm,,No,Yes,Game Mode LightBoost Technology Eco Mode Advanced Motion Accelerator (AMA) Security Lock Senseye 3 Black eQualizer Flicker-free Motion Blur Reduction Technology,ENERGY STAR,Yes,Yes,Yes,Yes,431 mm,170Â°,,BenQ Corporation,9H.L9SLB.RBE,1920 x 1080,1.0,,36 W,XL2411Z Widescreen LCD Monitor VGA cable DVI DL cable,Twisted Nematic Film (TN Film),PC,,XL2411Z,XL2411Z Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"61 cm (24"")",No,144 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,6 kg,570 mm,63 mm,347 mm,110 V AC 220 V AC,,570 mm,,,,,130 mm,500 mW,XL,,45Â°,-5Â°to20Â°,,,,Wall Mountable,,,3D Ready,,,,,No,,,,,,,,,,,
"EB220H, EB220H-EDGE10, Edge10, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Edge10,300 cd/mÂ²,Speaker,UL FCC CE,Black,16.7 Million Colours,"20,000:1",46 mm,Landscape/Portrait,,Yes,Security Lock,ENERGY STAR,Yes,,,,310 mm,170Â°,3 Year,Edge10 Corporation Limited,EB220H,1920 x 1080,1.0,,24 W,EB220h Widescreen LCD Monitor Power Cable VGA Cable,,Mac PC,,EB220h,EB220h Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,75 Hz,1 W,,,170Â°,Yes,100 x 100,Yes,5.70 kg,508 mm,240 mm,573 mm,220 V AC 110 V AC,,508 mm,,,,,110 mm,1 W,,,,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LH22UDBPLBB/EN, 2514217, Samsung, LCD Monitor, Itenergy Ltd",,,,1:1,Edge LED,Samsung,450 cd/mÂ²,,,,16.7 Million Colours,"4,000:1",79.5 mm,,Yes,Yes,,,,,Yes,,393.3 mm,178Â°,,Samsung,LH22UDBPLBB/EN,960 x 960,1.0,,67 W,,,PC,SyncMaster,UD22B,SyncMaster UD22B Widescreen LCD Monitor,LCD Monitor,6 ms,,"55.9 cm (22"")",,,1 W,,,178Â°,Yes,300 x 300,Yes,5.80 kg,393.3 mm,,,,,,,,,,,,,,,,,,,Wall Mountable,,,,,,Yes,,,,,,,,,,,,,
"220B4LPCS/00, Philips, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Philips,250 cd/mÂ²,Speaker USB Hub,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Black Silver,16.7 Million Colours,"1,000:1",59 mm,,,Yes,SmartImage PowerSensor Security Lock SmartErgoBase TrueVision,RoHS ENERGY STAR 5.0 EPEAT Gold TCO Certified Edge TCO Certified Displays 5.2,Yes,Yes,,Yes,349 mm,170Â°,,Philips Electronics,220B4LPCS/00,1680 x 1050,1.0,2.0,15.80 W,,,PC Mac,Brilliance,220B4LPCS,"Brilliance LCD monitor, LED Backlight With PowerSensor",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,60 Hz,300 mW,Yes,USB 2.0,160Â°,Yes,100 x 100,Yes,3.38 kg,504 mm,227 mm,509 mm,220 V AC 110 V AC,,504 mm,,,,,,,B,,,,5.20 kg,,,,,65%,,Yes,Plastic,,,,,,,,,,,,,,
"C9V75AA#AB1, HP, LCD Monitor, Itenergy Ltd",,,,16:9,LED,HP,250 cd/mÂ²,USB Hub,,Black,,"5,000,000:1",51 mm,,Yes,Yes,,TCO Certified Edge ENERGY STAR,Yes,,,,329 mm,,3 Year,Hewlett-Packard,C9V75AA#AB1,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,,Elite,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,Yes,,,,,Yes,3.90 kg,544 mm,242.40 mm,469.90 mm,,,544 mm,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"F0W81AA#ABB, HP, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,HP,250 cd/mÂ²,USB Hub,,Silver,,"5,000,000:1",55 mm,,Yes,Yes,Security Lock,TCO Certified Edge ENERGY STAR TCO Certified Displays EPEAT Gold,Yes,Yes,,,362.6 mm,178Â°,3 Year,Hewlett-Packard,F0W81AA#ABB,1920 x 1200,1.0,,40 W,"EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR) VGA cable DVI cable (only in the Asia-Pacific region) USB cable DisplayPort cable (not in the Asia-Pacific region with the exception of Australia and New Zealand) power cord Printed documentation and CD (with User Manual, warranty, drivers) Display Assistant Software",In-plane Switching (IPS) Technology,,Elite,E241i,EliteDisplay E241i 61 cm (24'') IPS LED Backlit Monitor (ENERGY STAR),LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,,,Yes,USB 2.0,178Â°,,,Yes,,556 mm,516.56 mm,276.20 mm,220 V AC 110 V AC,Anti-glare,556 mm,,,,,,,,,180Â°,-5Â°to30Â°,6.58 kg,,,,,,,,,,,,,,,,,,,,,,
"278G4DHSD/00, Philips, LCD Monitor, Itenergy Ltd",Yes,,,16:9,,Philips,250 cd/mÂ²,USB Hub,GOSTBSMICEFCC Class BSEMKOTUV/ISO9241-307UL/cUL,Glossy Black Cherry,16.7 Million Colours,"1,000:1",44 mm,,,,Security Lock SmartImage Ambiglow,TCO Certified Displays WEEE ENERGY STAR 5.0 EPEAT Silver RoHS,Yes,,Yes,,376 mm,178Â°,,Philips Electronics,278G4DHSD/00,1920 x 1080,1.0,,25.94 W,,In-plane Switching (IPS) Technology,Mac PC,Brilliance,278G4DHSD,LCD Monitor with Ambiglow,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,60 Hz,500 mW,Yes,USB 3.0,178Â°,,,Yes,5 kg,623 mm,197 mm,471 mm,220 V AC 110 V AC,,623 mm,,,,,,300 mW,,,,,5.44 kg,,,,,,3D,,,,,,,,,,,,,,,,
"LH46OLBPPGC/EN, Samsung, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Samsung,1500 cd/mÂ²,,EN55022EN55024IEC 60529IP56,,16.7 Million Colours,"4,000:1",618.5 mm,,Yes,Yes,Picture in Picture,,,Yes,Yes,,1730 mm,178Â°,,Samsung,LH46OLBPPGC/EN,1920 x 1080,1.0,,,,,,SyncMaster,OL46B,SyncMaster OL46B Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"116.8 cm (46"")",,,1 W,,,178Â°,,,Yes,,614.2 mm,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,
"UM.RB6EE.001, PBB296CLBMIIDPRZ, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,21:9,LED,Acer,300 cd/mÂ²,USB Hub,,Black,16.7 Million Colours,"100,000,000:1",,,Yes,Yes,,EPEAT Gold TCO Certified Displays 6.0,Yes,,Yes,,,178Â°,3 Year,"Acer, Inc",UM.RB6EE.001,2560 x 1080,1.0,,36.30 W,B296CL LCD Monitor1 x DVI Cable1 x Displayport Cable1 x USB 3.0 CablePower Cord,In-plane Switching (IPS) Technology,,,B296CL,B296CL Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"73.7 cm (29"")",Yes,60 Hz,450 mW,Yes,USB 3.0,178Â°,Yes,100 x 100,,,,,,220 V AC 110 V AC,Anti-glare,,,,,,150 mm,350 mW,B,,60Â°,-5Â°to35Â°,,63 kWh,C,,,,,,,,,,,,,,,,,,,,
"LS27C65UDS/EN, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Samsung,300 cd/mÂ²,USB Hub,"Eco Label Certification:
UL (USA): UL 60950-1 CSA (Canada): CSA C22.2 No. 60950-1 TUV (Germany): EN60950-1 NEMKO (Norway): EN60950-1 KC (Korea): K60950-1 PSB (Singapore): IEC60950-1 GOST (Russia): IEC60950-1, EN55022 SIQ (Slovenia): IEC60950-1, EN55022 PCBC (Poland): IEC60590-1, EN55022 NOM (Mexico): NOM-019-SCFI-1993 IRAM (Argentina): IEC60950-1 SASO (Saudi Arabia): IEC60950-1 EMC:
FCC (USA) FCC Part 15, Subpart B class A CE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea): KN22, KN24 C-Tick (Australia): AS/NZS3548 (CISPR22) CCC(China): GB 9254-2008, GB 17625.1-2003",Matte Black,16.7 Million Colours,"5,000:1",56.7 mm,,Yes,Yes,MagicRotation MultiScreen MagicTune MagicBright3 Eco Saving Off Timer,EPEAT Gold TCO ENERGY STAR,Yes,,No,,378.1 mm,178Â°,,Samsung,LS27C65UDS/EN,1920 x 1080,1.0,,,,MVA technology,,,S27C650D,"27"" S27C650D Series 6 LED Business Monitor",LCD Monitor,4 ms,Full HD,"68.6 cm (27"")",No,,,Yes,USB 2.0,178Â°,Yes,100 x 100,Yes,4.50 kg,639 mm,224 mm,402.80 mm,220 V AC 110 V AC,,639 mm,,,,,,,650,,,,6.20 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"ET.CV3RE.D25, 865W073, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,4:3,,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"50,000:1",180.4 mm,,,,,TCO Displays 5.0 TCO '05,Yes,,,,406.8 mm,178Â°,3 Year,"Acer, Inc",ET.CV3RE.D25,1280 x 1024,1.0,,18.50 W,V193DOb LCD MonitorPower CableVGA Cable,Twisted Nematic Film (TN Film),,,V193DOb,V193DOb LCD Monitor,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",,75 Hz,530 mW,,,178Â°,Yes,100 x 100,Yes,3.91 kg,408 mm,,,,,,,,,,No,530 mW,V3,,No,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"VG2437MC-LED, B921416, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,,LED,Viewsonic,300 cd/mÂ²,USB Hub Speaker Microphone Webcam,,,,"1,000:1",61 mm,,Yes,Yes,,,,Yes,,Yes,340.4 mm,170Â°,,Viewsonic Corporation,VG2437MC-LED,1920 x 1080,1.0,,24.50 W,,,Mac PC,,VG2437mc-LED,VG2437mc-LED Full HD Resolution with DisplayPort Connectivity,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,,,Yes,USB 2.0,160Â°,Yes,100 x 100,Yes,3.76 kg,556.3 mm,238.76 mm,452.12 mm,,Anti-glare,556.26 mm,,,,,,,,,,,5.22 kg,,,,,,,Yes,,,,,,,,,,,,,,,
"VG2433SMH, B921635, ViewSonic, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:9,LED,Viewsonic,250 cd/mÂ²,Speaker,CU UkrSEPRO DoC SVHC List & DoC,,16.7 Million Colours,"50,000,000:1",51 mm,Landscape/Portrait,,Yes,Super Clear Image Enhancement Technology Eco Mode,ErP REACH TCO,Yes,,Yes,Yes,343.2 mm,178Â°,3 Year,Viewsonic Corporation,VG2433SMH,1920 x 1080,1.0,2.0,22 W,VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display Power Cable VGA Cable DVI Cable Audio Cable Quick Start Guide ViewSonic Wizard CD-ROM,In-plane Switching (IPS) Technology,,,VG2433Smh,VG2433Smh Full HD LED HDMI Multimedia Ergonomic SuperClear Display,LCD Monitor,4 ms,Full HD,"61 cm (24"")",Yes,60 Hz,,,,178Â°,Yes,100 x 100,Yes,3.95 kg,566 mm,204.30 mm,382.40 mm,220 V AC 110 V AC,Anti-glare,566 mm,,,,,100 mm,,,,340Â°,-5Â°to25Â°,5.53 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.QG6EE.001, ACEG246HYLBD, Acer, LCD Monitor, Itenergy Ltd",Yes,No,No,16:9,LED,Acer,250 cd/mÂ²,,,Black,16.7 Million Colours,"100,000,000:1",,,,Yes,,MPR II,Yes,Yes,,,,178Â°,2 Year,"Acer, Inc",UM.QG6EE.001,1920 x 1080,1.0,,31 W,G246HYL Widescreen LCD MonitorPower Cord1 x VGA Cable,In-plane Switching (IPS) Technology,,,G246HYL,G246HYL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"60.5 cm (23.8"")",,60 Hz,490 mW,,,178Â°,No,,Yes,,,,,220 V AC 110 V AC,Anti-glare,,,,,,No,450 mW,G,,No,-5Â°to15Â°,,,,,,,,,,,,,,,,,,,,,,,
"60003329, NECX552S, NEC Display Solutions, LCD Monitor, Itenergy Ltd",,,,16:9,Edge LED,NEC Display,700 cd/mÂ²,Speaker,CETUV GSC-tickFCC Class BUL/C-ULCSAPSBVCCI,Black,,"4,000:1",46.1 mm,,Yes,Yes,Digital Daisy Chain Ambient Light Sensor Eco Mode Picture in Picture TileMatrix (10x10) Screen Saver HeatControl Sensor,ENERGY STAR 5.2 RoHS,Yes,Yes,Yes,,725.3 mm,178Â°,3 Year,NEC Display Solutions,60003329,1920 x 1080,1.0,2.0,305 W,"LCD 55"" Public DisplayDVI-D CablePower CableSlot Cover for STv2Remote Control",Super Patterned Vertical Alignment (S-PVA) Technology,PC,MultiSync,X552S,"LCD 55"" Public Display",LCD Monitor,8 ms,Full HD,"139.7 cm (55"")",Yes,60 Hz,1 W,,,178Â°,Yes,300 x 300,Yes,24.50 kg,1254.5 mm,,,,,,,,,,,,,,,,,,,Wall Mountable,,,,,,Yes,,,,Yes,,,,,,,,,Yes
"HP247HJB, V320114, Hannspree, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Hanns.G,,,,,,,,,,Yes,,,,,Yes,,,,,"Hannspree, Inc",HP247HJB,1920 x 1080,1.0,,,,,,,HP247HJB,HP247HJB Widescreen LCD Monitor,LCD Monitor,,Full HD,"61 cm (24"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2083HSD-B1, IIYE2083HSDB, Iiyama, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,iiyama,250 cd/mÂ²,Speaker,CE TUV-GS VCCI-B GOST-R,Black,16.7 Million Colours,"1,000:1",203 mm,,,Yes,Security Lock,TCO Certified Displays ENERGY STAR,Yes,Yes,,Yes,360 mm,170Â°,,"iiyama North America, Inc",E2083HSD-B1,1600 x 900,1.0,2.0,15 W,,Twisted Nematic Film (TN Film),Mac PC,ProLite,E2083HSD,ProLite E2083HSD Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",Yes,75 Hz,500 mW,,,160Â°,Yes,100 x 100,Yes,2.70 kg,469.5 mm,,,110 V AC 220 V AC,,,,,,,,,,,,,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"LS22C45KMWV/EN, Samsung, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Samsung,250 cd/mÂ²,Speaker,"UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC Part 15, Subpart B ClassACE EN55022, EN55024VCCI V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008GB 17625.1-2003",Matte Black,16.7 Million Colours,"1,000:1",55.5 mm,,No,Yes,MagicTune Off Timer MagicBright3 MagicAngle Eco Saving MagicRotation,ENERGY STAR EPEAT Gold TCO,Yes,,No,,329.8 mm,170Â°,,Samsung,LS22C45KMWV/EN,1680 x 1050,1.0,2.0,24 W,,,PC,,S22C450MW,S22C450MW Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,,100 mW,,,160Â°,Yes,100 x 100,Yes,3.50 kg,502.4 mm,210 mm,453.50 mm,110 V AC 220 V AC,,502.40 mm,,,,,,,450,,,,5 kg,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"UM.EB6EE.005, 8654G74, Acer, LCD Monitor, Itenergy Ltd",Yes,Yes,Yes,16:10,LED,Acer,250 cd/mÂ²,Speaker,,Dark Grey,16.7 Million Colours,"100,000,000:1",221.2 mm,,,Yes,,EPEAT Gold TCO '06,Yes,Yes,,,505.7 mm,170Â°,3 Year,"Acer, Inc",UM.EB6EE.005,1680 x 1050,1.0,2.0,24.20 W,B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable,Twisted Nematic Film (TN Film),,,B226WL,B226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,60 Hz,17.20 W,,,160Â°,Yes,100 x 100,Yes,3.09 kg,534.2 mm,,,110 V AC 220 V AC,Anti-glare,,,,,,150 mm,450 mW,B,,60Â°,-5Â°to35Â°,5.75 kg,,,,,,,,,,,,,,,,,,,,,,
"60002933, 3967385, NEC Display Solutions, LCD Monitor, Itenergy Ltd",Yes,,,16:9,LED,NEC Display,250 cd/mÂ²,,,Black,16.7 Million Colours,"1,000:1",71.1 mm,,,Yes,,RoHS TCO Displays 5.0 ENERGY STAR EPEAT Silver,Yes,Yes,,,330.2 mm,176Â°,3 Year,NEC Display Solutions,60002933,1920 x 1080,1.0,,28 W,,,PC,MultiSync,E231W,MultiSync E231W Widescreen LCD Monitor,LCD Monitor,5 ms,,"58.4 cm (23"")",,50 Hz,340 mW,,,176Â°,Yes,100 x 100,Yes,4.20 kg,551.2 mm,213.40 mm,492.80 mm,220 V AC 110 V AC,,551.20 mm,,,,,,,E,,,,6.20 kg,,,,,,,,,,,,,,,,,,,,,,
"9H.L6XLA.DPE, 3017984, BenQ, LCD Monitor, Itenergy Ltd",Yes,Yes,,16:9,LED,BenQ,250 cd/mÂ²,Speaker,,,16.7 Million Colours,"12,000,000:1",173.9 mm,,,Yes,Security Lock Senseye 3 Eye-Care Flicker-free,ENERGY STAR 5.1 TCO Displays 5.0,Yes,Yes,,,399.9 mm,170Â°,,BenQ Corporation,9H.L6XLA.DPE,1920 x 1080,1.0,2.0,27 W,,Twisted Nematic Film (TN Film),PC,,GL2250M,GL2250M Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,,300 mW,,,160Â°,Yes,100 x 100,Yes,3.70 kg,524.7 mm,,,220 V AC 110 V AC,,,,,,,,,GL,,,-5Â°to15Â°,,,,Wall Mountable,,,,,,,,,,,,,,,,,,,
"60B5RAT6UK, 3171469, Lenovo, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Lenovo,300 cd/mÂ²,,,Black,16.7 Million Colours,"3,000:1",160.8 mm,,Yes,,,TCO Certified Displays 6.0 EPEAT Gold Turkey RoHS ENERGY STAR 6.0 ULE Gold RoHS WEEE China RoHS Ukraine RoHS EU RoHS China Energy Label (CEL) ErP TCO Certified Edge Displays 1.2,Yes,,Yes,,347.5 mm,,,Lenovo Group Limited,60B5RAT6UK,1920 x 1080,1.0,,65 W,,,,ThinkVision,Pro2820,ThinkVision Pro2820 28-inch WVA LED Backlit LCD Monitor,LCD Monitor,6.50 ms,Full HD,"71.1 cm (28"")",,,,Yes,,,Yes,,Yes,3.06 kg,478.3 mm,,,,,,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"858-BBBR, Dell, LCD Monitor, Itenergy Ltd",,,,16:9,LED,Dell,250 cd/mÂ²,USB Hub,,Black,16.7 Million Colours,"2,000,000:1",46.5 mm,,Yes,Yes,,EPEAT Gold China Energy Label (CEL) TCO Certified Displays ENERGY STAR,Yes,,,,272.9 mm,,3 Year,"Dell, Inc",858-BBBR,1600 x 900,1.0,,36 W,20 Monitor - P2014H stand Cable cover Power cable Display Port cable VGA cable USB upstream cable Drivers and documentation media Quick setup guide Product and safety information guide,,,,P2014H,20 Monitor - P2014H,LCD Monitor,8 ms,HD+,"49.5 cm (19.5"")",,,,Yes,,,Yes,,Yes,2.48 kg,470.5 mm,180 mm,467.90 mm,,,470.50 mm,"Built to
comply with the latest environmental and regulatory standards, and
protected by a Premium Panel Guarantee and 3 years Advanced Exchange
Service.","Fully
adjustable stand and a comprehensive set of analog and digital
connectivity ports and cables.",,,,,,,,,3.20 kg,,,,Click to view,25%,,,,,,,,,,,,,,,,,
"24M45HQ-B, 2998781, LG Electronics, LCD Monitor, Itenergy Ltd",,,,16:9,LED,LG,,,,Black,,,,,,,,,,,Yes,,,,2 Year,LG Electronics,24M45HQ-B,1920 x 1080,1.0,,,,,,,24M45HQ-B,24M45HQ-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C171, AM-C171-LCD-CCTV, Edge10, LCD Monitor, Itenergy Ltd",Yes,,,,,Edge10,300 cd/mÂ²,Speaker,CEFCCTUVUL,Piano Black,16.2 Million Colours,450:1,198 mm,,,,,ENERGY STAR WEEE,Yes,,,,397 mm,140Â°,3 Year,Edge10 Corporation Limited,C171,1280 x 1024,1.0,2.0,49.99 W,,,Mac PC,,C171,C171 CCTV LCD Monitor,LCD Monitor,5 ms,SXGA,"43.2 cm (17"")",Yes,75 Hz,2.99 W,,,130Â°,Yes,100 x 100,Yes,4.80 kg,374 mm,,,110 V AC 220 V AC,,,,,,,,2.99 W,,,,,,,,Wall Mountable,,,,,,,,,,Yes,,,,,,,,,Yes
