<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
E4U30A8#ABA - Hp Elitedisplay E190i 18.9-inch 5:4 Led Backlit Ips Monitor - PC-Canada.com,Yes,5:4,LED,HP,250 cd/mÂ²,USB Hub,Black,"3,000,000:1","1.8"" (45.7 mm)",,Yes,Ultra Slim,"TCO Certified Displays, ENERGY STAR, RoHS, WEEE, ErP/EuP Lot 6, China Energy Label (CEL), MEPS, Korea MEPS, TÃV, EU RoHS, EPEAT Gold, Eco-label, IT Eco Declaration, TCO Certified Displays 6.0, EU WEEE, CECP",Yes,,"13.6"" (345.4 mm)",,,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,E4U30A8#ABA,http://www.hp.com/ca,1280 x 1024,1.0,28 W,EliteDisplay E190i 18.9-inch 5:4 LED Backlit IPS Monitor VGA Cable DVI Cable Display Port Cable USB Cable AC Power Cable Warranty Card CD,does not accept phone orders.,Elite,E190i,EliteDisplay E190i 18.9-inch 5:4 LED Backlit IPS Monitor,LCD Monitor,,SXGA,"18.9""","Anti-static, Anti-glare",,500 mW,,Yes,3 kg,"16.4"" (416.6 mm)",,16.7 Million Colors,,Yes,,"Arm-mountable, Wall Mountable",,In-plane Switching (IPS) Technology,PC,,-5Â°to25Â°,Yes,100 x 100,Yes,Yes,500 mW,60 Hz,4.90 kg,"ISO 11469 ISO1043 ISO 14001 ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI Approvals KC KCC (Korean) CE Marking FCC Part 15 class B Approval CCC EN55024 Class B CISPR Requirements SmartWay - NA only - Energy logistics",Portrait,"4.7"" (120 mm)",180Â°,Yes,USB 2.0,,,,,,
VE198T - Asus Ve198t Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,250 cd/mÂ²,Speaker,Black,"10,000,000:1",,"7.2"" (182 mm)",Yes,,"RoHS, ENERGY STAR",Yes,Yes,,"14.4"" (366 mm)",170Â°,,,ASUS Computer International,VE198T,http://www.asus.com,1440 x 900,1.0,25 W,VE198T Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VE198T,VE198T Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA,"19""",,Yes,,160Â°,Yes,3.20 kg,,"17.5"" (445 mm)",16.7 Million Colors,,,,Wall Mountable,2.0,,,VE,,Yes,100 x 100,,,1 W,75 Hz,,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL,,,,,,,,,,,
F9Z09A8#ABA - Hp Elitedisplay E221i 21.5-inch Ips Led Backlit Monitor (energy Star) (f9z09a8) - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,Black,"4,000,000:1","2"" (51.1 mm)","9.3"" (237.2 mm)",Yes,Security Lock,"ENERGY STAR, TCO Certified Edge, EPEAT Gold, TCO Certified Displays",Yes,Yes,"12.2"" (309.1 mm)","18.1"" (460.2 mm)",178Â°,"120 V AC, 230 V AC",3 Year,Hewlett-Packard,F9Z09A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,31 W,,does not accept phone orders.,,E221i,EliteDisplay E221i 21.5-inch IPS LED Backlit Monitor (ENERGY STAR) (F9Z09A8),LCD Monitor,8 ms,Full HD,"21.5""",Anti-glare,,,178Â°,Yes,5.82 kg,"20.1"" (509.3 mm)","20.1"" (509.3 mm)",,,Yes,,,,In-plane Switching (IPS) Technology,,,-5Â°to30Â°,,,,Yes,,,,,,,360Â°,Yes,USB 2.0,,,,,,
3024HC1 - Lenovo Lt2323p Wide 23inch Wled Flat Panel Monitor - PC-Canada.com,Yes,16:9,LED,Lenovo,250 cd/mÂ²,USB Hub,Raven Black,"1,000:1","2.1"" (52.3 mm)",,Yes,,"WEEE, RoHS, China RoHS, MPR II, ENERGY STAR 6.0, REACH, EuP, TCO Certified Edge Displays 1.1, EPEAT Gold, IT Eco Declaration, CECP",Yes,,"14.7"" (372.3 mm)",,170Â°,,3 Year,Lenovo Group Limited,3024HC1,http://www.lenovo.com/ca/en,1920 x 1080,1.0,38 W,"LT2323p Wide 23inch WLED Flat Panel Monitor Tooless detachable stand VGA Cable DVI Cable USB 2.0 Cable Power Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster",does not accept phone orders.,ThinkVision,LT2323p,LT2323p Wide 23inch WLED Flat Panel Monitor,LCD Monitor,5 ms,Full HD,"23""",,,500 mW,160Â°,Yes,5.74 kg,"21.5"" (546 mm)",,16.7 Million Colors,,Yes,,,,,PC,,,Yes,100 x 100,Yes,Yes,500 mW,,,,,,,Yes,USB 2.0,,,,,,
"C9F26AA#ABA - Hp Prodisplay P201 50,8 Cm (20'') Led Backlit Monitor - PC-Canada.com",Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47.5 mm)","5.9"" (151.1 mm)",Yes,Security Lock,"ENERGY STAR, EPEAT Gold, TCO Certified Displays",Yes,Yes,"11.6"" (294.1 mm)","14.1"" (359.2 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9F26AA#ABA,http://www.hp.com/ca,1600 x 900,1.0,22 W,,does not accept phone orders.,ProDisplay,P201,"ProDisplay P201 50,8 cm (20'') LED Backlit Monitor",LCD Monitor,5 ms,HD+,"20""",Anti-glare,,500 mW,160Â°,Yes,3.50 kg,"19"" (482 mm)","19"" (482 mm)",,,,,,,,,,,Yes,100 x 100,,,,,,,,,,,,,,,,,
VE248H - Asus Ve248h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,,Black,"10,000,000:1","7.9"" (201 mm)",,Yes,,"ENERGY STAR, RoHS, WEEE",Yes,Yes,"16.1"" (409.7 mm)",,170Â°,,3 Year,ASUS Computer International,VE248H,http://www.asus.com,1920 x 1080,1.0,34 W,VE248H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VE248H,VE248H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"24""",,Yes,990 mW,160Â°,Yes,4.40 kg,"22.4"" (569.4 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,VE,,Yes,100 x 100,,,,76 Hz,,CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS,,,,,,,,,,,
VK228H-CSM - Asus Vk228h-csm Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,"Webcam, Speaker",Black,"80,000,000:1","1.9"" (48.4 mm)","7.9"" (200.6 mm)",Yes,"Splendid Video Intelligence Technology, Security Lock","ENERGY STAR, TCO Certified Displays 5.2, ErP, J-Moss (Japanese RoHS), WEEE, RoHS, EPEAT Gold",Yes,Yes,"15.2"" (387.2 mm)","15.2"" (387.2 mm)",170Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,VK228H-CSM,http://www.asus.com,1920 x 1080,1.0,25 W,VK228H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card,does not accept phone orders.,,VK228H-CSM,VK228H-CSM Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,Yes,500 mW,160Â°,Yes,3.10 kg,"20.2"" (514.1 mm)","20.2"" (514.1 mm)",16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,VK,,Yes,100 x 100,,,500 mW,76 Hz,,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL,,,,Yes,,,Yes,,,,
UM.JB6AA.001 - Acer B326hul Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,Acer,300 Nit,USB Hub,Dark Gray,"100,000,000:1",,,Yes,,"EPEAT Gold, TCO Certified Displays 6.0, ENERGY STAR",Yes,,,,,,,"Acer, Inc",UM.JB6AA.001,http://us.acer.com,2560 x 1440,1.0,45 W,B326HUL Widescreen LCD Monitor 1 x DVI Cable 1 x DisplayPort Cable 1 x HDMI Cable 1 x USB 3.0 Cable Power Cord,does not accept phone orders.,,B326HUL,B326HUL Widescreen LCD Monitor,LCD Monitor,6 ms,WQHD,"32""",,Yes,,,,,,,1.07 Billion Colors,,Yes,Yes,,,,,B,,,,,,,,,,,,,Yes,,,,Click to view,,,
BL2710PT - Benq Bl2710pt Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,,BenQ,350 cd/mÂ²,USB Hub,Black,"1,000:1",,"10.2"" (259 mm)",Yes,"Ambient Light Sensor, Eco Mode, Senseye 3, Security Lock",TCO Certified Displays 6.0,Yes,Yes,,"20.7"" (525 mm)",178Â°,"110 V AC, 220 V AC",,BenQ Corporation,BL2710PT,http://www.benq.ca,2560 x 1440,1.0,,,does not accept phone orders.,,BL2710PT,BL2710PT Widescreen LCD Monitor,LCD Monitor,4 ms,WQHD,"27""",,,,178Â°,Yes,8.20 kg,,"25.2"" (639 mm)",1.07 Billion Colors,,Yes,Yes,Wall Mountable,,Advanced Hyper Viewing Angle (AHVA),"PC, Mac",BL,,Yes,100 x 100,Yes,Yes,,,,,,,,Yes,USB 3.0,,Yes,,,,
Q2770PQU - Aoc Style Q2770pqu Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,AOC,300 cd/mÂ²,"Speaker, USB Hub",Textured Black,"20,000,000:1",,"9.6"" (244 mm)",Yes,"Eco Mode, Screen+, i-Menu, e-Saver, Security Lock, Mobile High-Definition Link (MHL)","ENERGY STAR, TÃV, RoHS, EPEAT Silver",Yes,Yes,,"21.9"" (556 mm)",178Â°,"110 V AC, 220 V AC",,AOC,Q2770PQU,http://us.aoc.com,2560 x 1440,1.0,18 W,"Style Q2770PQU Widescreen LCD Monitor Stand and base Power Cord VGA Cable DVI cable USB cable Audio cable Media (Drivers, AOC Software, User's Manual, Warranty)",does not accept phone orders.,Style,Q2770PQU,Style Q2770PQU Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"27""",,Yes,500 mW,178Â°,Yes,8 kg,,"25.3"" (642.2 mm)",16.7 Million Colors,,Yes,Yes,Wall Mountable,2.0,In-plane Switching (IPS) Technology,PC,,-5Â°to23Â°,Yes,100 x 100,Yes,Yes,450 mW,60 Hz,,CE FCC,Landscape/Portrait,"5.1"" (130 mm)",,Yes,USB 3.0,,Yes,,,,
VK248H-CSM - Asus Vk248h-csm Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,300 cd/mÂ²,"Webcam, Speaker",Glossy Piano Black,"2,000:1","9.1"" (230 mm)",,Yes,"Trace Free Technology, Splendid Video Intelligence Technology, Security Lock","RoHS, WEEE",Yes,Yes,"16.6"" (422 mm)",,170Â°,,3 Year,ASUS Computer International,VK248H-CSM,http://www.asus.com,1920 x 1080,1.0,60 W,VK248H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card,does not accept phone orders.,,VK248H-CSM,VK248H-CSM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"24""",,Yes,2 W,160Â°,Yes,5.50 kg,"22.4"" (568 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,,VK,,Yes,100 x 100,,,,75 Hz,,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSBWHQL,,,,Yes,,,Yes,,,,
F0W81A8#ABA - Hp Business E241i Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,HP,250 cd/mÂ²,USB Hub,Silver,"5,000,000:1","2.2"" (55 mm)","10.9"" (276.2 mm)",Yes,Security Lock,"ENERGY STAR, TCO Certified Displays, EPEAT Gold, REACH",Yes,Yes,"14.3"" (362.6 mm)","20.3"" (516.6 mm)",178Â°,"110 V AC, 220 V AC",,Hewlett-Packard,F0W81A8#ABA,http://www.hp.com/ca,1920 x 1200,1.0,40 W,,does not accept phone orders.,Business,E241i,Business E241i Widescreen LCD Monitor,LCD Monitor,8 ms,WUXGA,"24""",Anti-glare,,35 W,178Â°,Yes,,"21.9"" (556 mm)","2.2"" (55.6 mm)",,,Yes,,,,In-plane Switching (IPS) Technology,,,-5Â°to30Â°,,,Yes,Yes,500 mW,,6.58 kg,,,,180Â°,Yes,USB 2.0,,,,,,
D7Z72AA#ABA - Hp Elitedisplay E271i Led Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,Black,"1,000:1","2.1"" (52.3 mm)","11"" (278.4 mm)",Yes,Security Lock,"ENERGY STAR, TCO Certified Edge, EPEAT Gold, China Energy Label (CEL), EPA",Yes,Yes,"15.3"" (387.4 mm)","21"" (532.1 mm)",178Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,D7Z72AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,40 W,EliteDisplay E271i LED MonitorVGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CDHP DisplayAssistant Software,does not accept phone orders.,Business,E271i,EliteDisplay E271i LED Monitor,LCD Monitor,7 ms,Full HD,"27""",Anti-glare,,500 mW,178Â°,Yes,4.90 kg,"25.3"" (642.1 mm)","25.3"" (642.1 mm)",,,Yes,,,,In-plane Switching (IPS) Technology,,,,,,Yes,Yes,,60 Hz,7.70 kg,CE CB KC KCC NOM PSB ICE TUV-S CCC CECP SEPA ISC VCCI FCC BSMI,,,,Yes,USB 2.0,,,,,,
SX-19P - Ag Neovo Sx-19p Cctv Lcd Monitor - PC-Canada.com,,,,AG Neovo,250 cd/mÂ²,Speaker,,"1,000:1","6.9"" (175 mm)",,Yes,,,,,"16.5"" (420 mm)",,160Â°,,,AG Neovo Technology Corporation,SX-19P,http://www.agneovo.com,1280 x 1024,1.0,33.99 W,,does not accept phone orders.,,SX-19P,SX-19P CCTV LCD Monitor,LCD Monitor,3 ms,SXGA,"19""",,Yes,,160Â°,Yes,7.40 kg,"17.5"" (445 mm)",,16.7 Million Colors,,,,Wall Mountable,2.0,,,,,Yes,100 x 100,,,990 mW,,,,,,,,,,,,,,Yes
2448MB6 - Lenovo Thinkvision Lt1952p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Lenovo,250 cd/mÂ²,,Black,"1,000:1","6.7"" (171.3 mm)",,Yes,,"ENERGY STAR, WEEE, RoHS, TCO Certified Edge Displays 1.1, TCO Certified Displays 5.2, EPEAT Gold, MPR II",Yes,Yes,"15.7"" (397.7 mm)",,170Â°,,3 Year,Lenovo Group Limited,2448MB6,http://www.lenovo.com/ca/en,1440 x 900,1.0,26 W,ThinkVision LT1952p Widescreen LCD MonitorAttached StandCable CoverSetup PosterSafety and Warranty InformationCD with Multilingual User's GuideMonitor Installation FilesAnalog Signal CableDVI-D CablePower Cord,does not accept phone orders.,ThinkVision,LT1952p,ThinkVision LT1952p Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"19""","Anti-glare, Anti-reflective",,500 mW,160Â°,Yes,4.30 kg,"17.4"" (440.9 mm)",,,,Yes,,"Wall Mountable, Desk Mountable",,,PC,,,Yes,100 x 100,Yes,,,,,ULE GoldISO 9241-307FCC Class B,,,,,,,,,,,
RX-22 - Ag Neovo Rx-22 Cctv Lcd Monitor - PC-Canada.com,,,LED,AG Neovo,250 cd/mÂ²,Speaker,,"1,000:1","6.1"" (155 mm)",,Yes,"Noise Reduction, Anti-Burn-in Technology, EcoSmart Sensor, 3D Comb Filter, Picture in Picture, 3D De-interlace","REACH, RoHS, WEEE",Yes,,"14.5"" (369 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,AG Neovo Technology Corporation,RX-22,http://www.agneovo.com,1920 x 1080,1.0,25 W,RX-22 CCTV LCD MonitorQuick GuideCD ROM (User Manual)Power CordPower Adapter15-Pin D-Sub CableAudio Cable,does not accept phone orders.,,RX-22,RX-22 CCTV LCD Monitor,LCD Monitor,3 ms,Full HD,"21.5""",,Yes,500 mW,160Â°,Yes,6.90 kg,"20.2"" (513 mm)",,16.7 Million Colors,,,Yes,,2.0,,PC,RX,,Yes,100 x 100,,,500 mW,85 Hz,,FCCCBCEBSMI,,,,,,,,,,,Yes
UM.VG7AA.001 - Acer G237hl Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1",,"7.3"" (185 mm)",,CrystalBrite,MPR II,Yes,,,"15.8"" (402 mm)",178Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.VG7AA.001,http://www.acer.ca,1920 x 1080,1.0,25 W,G237HL Widescreen LCD Monitor1 x VGA CablePower Cord,does not accept phone orders.,,G237HL,G237HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"23""",,,490 mW,178Â°,Yes,,,"20.9"" (532 mm)",16.7 Million Colors,,,Yes,,,In-plane Switching (IPS) Technology,,G,-5Â°to15Â°,,,No,No,450 mW,,,,,,No,,,,,,,,
RL2455HM - Benq Rl2455hm Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,BenQ,250 cd/mÂ²,Speaker,"Black, Red","1,000:1","7.4"" (189 mm)",,Yes,"Security Lock, Senseye 3, Black eQualizer, Smart Scaling","ENERGY STAR 6.0, TCO Certified Displays 5.2",Yes,Yes,"17.1"" (435 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,BenQ Corporation,RL2455HM,http://www.benq.ca,1920 x 1080,1.0,27 W,,does not accept phone orders.,,RL2455HM,RL2455HM Widescreen LCD Monitor,LCD Monitor,1 ms,Full HD,"24""",,Yes,500 mW,160Â°,Yes,4.10 kg,"22.8"" (579 mm)",,16.7 Million Colors,,,Yes,,2.0,,PC,RL,,Yes,100 x 100,No,,,60 Hz,,,,,,,,,Yes,,,,
60A8KAR2US - Lenovo Thinkvision Lt2423 24-inch Fhd Led Backlit Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Lenovo,250 cd/mÂ²,Speaker,Black,"1,000:1","2"" (50.8 mm)",,,Security Lock,"TCO Certified Edge, ENERGY STAR 6.0, WEEE, TCO Certified Displays 6.0, ULE Gold, RoHS, EPEAT Gold, China Energy Label (CEL), MPR II",Yes,Yes,"13.5"" (342.9 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,Lenovo Group Limited,60A8KAR2US,http://www.lenovo.com/ca/en,1920 x 1080,1.0,21 W,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor Stand And Base VGA Cable Audio Cable Power Cord CD-ROM Quick Start And Safety Poster,does not accept phone orders.,ThinkVision,LT2423,ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor,LCD Monitor,5 ms,Full HD,"24""",,Yes,500 mW,160Â°,Yes,3.76 kg,"22.3"" (566.4 mm)",,16.7 Million Colors,,,Yes,,2.0,,PC,,,Yes,,,,,,,TUV Green Mark TUV FCC Class B certified ISO 9241-307,,,,,,,,,,,
VG2228WM-LED - Viewsonic Vg2228wm-led Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Viewsonic,250 cd/mÂ²,"Speaker, USB Hub",,"1,000:1","9.1"" (230 mm)",,Yes,,"RoHS, REACH, WEEE, ENERGY STAR, EPEAT Silver",Yes,,"16.2"" (412 mm)",,170Â°,"110 V AC, 220 V AC",,Viewsonic Corporation,VG2228wm-LED,http://www.viewsonic.com,1920 x 1080,1.0,26 W,,does not accept phone orders.,,VG2228wm-LED,VG2228wm-LED Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"22""",Anti-glare,Yes,,160Â°,Yes,4.40 kg,"20.1"" (510.9 mm)",,Grayscale,,,,,2.0,,"PC, Mac",G,,,,Yes,,,75 Hz,,CBULcULFCC-B/ICES003UL AR/TUV-SNOMCEGOST-R+HygienicUkrSEPROCCCCEL Level 2BSMIPSBC-TICKSASO,,,,Yes,USB 2.0,,,,,,
VP2365-LED - Viewsonic Professional Vp2365-led Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Viewsonic,250 cd/mÂ²,USB Hub,Black,"1,000:1","2.6"" (66 mm)","9.8"" (248.9 mm)",Yes,Pivot Display,"ENERGY STAR, EPEAT Silver, RoHS, WEEE, TCO '05",Yes,Yes,"12.8"" (325.1 mm)","17"" (431.8 mm)",178Â°,"110 V AC, 220 V AC",3 Year,Viewsonic Corporation,VP2365-LED,http://www.viewsonic.com,1920 x 1080,1.0,45 W,Professional VP2365-LED Widescreen LCD MonitorPower CableVGA CableDVI CableUSB CableQuick Start GuideViewSonic Wizard CD,does not accept phone orders.,Professional,VP2365-LED,Professional VP2365-LED Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"23""",,,,178Â°,Yes,3.30 kg,"21.6"" (548.6 mm)","21.6"" (548.6 mm)",16.7 Million Colors,,,,,,In-plane Switching (IPS) Technology,"PC, Mac",,,Yes,100 x 100,,,,75 Hz,5.40 kg,ULCULFCC-BCBCETUV/GSTUV ERGOTUV-SNOMGOST-RHYGIENICCCCBSMIPSBCELKCC-TICKSASO,,,,Yes,,,,,,,
VA2446M-LED - Viewsonic Va2446m-led Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Viewsonic,,Speaker,,"1,000,000:1","1.9"" (48.3 mm)","8.3"" (210.8 mm)",Yes,"Eco Mode, Security Lock","ENERGY STAR 5.0, WEEE, RoHS, REACH, TCO Certified Displays 5.1, ErP, China Energy Label (CEL)",Yes,Yes,"14.8"" (375.9 mm)","15.8"" (401.3 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Viewsonic Corporation,VA2446M-LED,http://www.viewsonic.com,1920 x 1080,1.0,34 W,VA2446m-LED Widescreen LCD Monitor Power cable Video cable Audio cable Quick start Guide Wizard CD Base Instruction guide,does not accept phone orders.,,VA2446m-LED,VA2446m-LED Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"24""",Anti-glare,Yes,,160Â°,Yes,3.70 kg,"22.5"" (571.5 mm)","22.5"" (571.5 mm)",,,,,Wall Mountable,,,"PC, Mac",,,Yes,100 x 100,,,,75 Hz,4.10 kg,CE CB UL cUL FCC-B/ICES-003B TUV-S Nemko ERGO GOSTR+ Hygienic UkrSEPRO CCC BSMI PSB C-tick KC e-standby ISO9241-3:2008,,,,,,,,,,,
"EA224WMI-BK - Nec Display 22"" Led-backlit Eco-friendly Widescreen Desktop Monitor W/ips Panel - PC-Canada.com",Yes,16:9,LED,NEC Display,250 cd/mÂ²,"USB Hub, Speaker",Black,"1,000:1","2.4"" (61 mm)","8.6"" (218.4 mm)",Yes,"Ambient Light Sensor, Eco Mode, Carbon Footprint Meter, Cable Management, AccuColor, Touch Controls, Smart Sensing Technology","ENERGY STAR 5.1, TCO Certified Displays 5.2, EPEAT Gold, RoHS",Yes,Yes,"11.9"" (302.3 mm)","19.7"" (500.4 mm)",178Â°,,3 Year,NEC Display Solutions,EA224WMI-BK,http://www.necdisplay.com,1920 x 1080,1.0,26 W,"22"" LED-backlit Eco-Friendly Widescreen Desktop Monitor W/IPS PanelSetup SheetUser ManualPower Cord15-pin D-Sub CableDVI CableUSB CableAudio CableControlSync Cable",does not accept phone orders.,MultiSync,EA224WMi,"22"" LED-backlit Eco-Friendly Widescreen Desktop Monitor W/IPS Panel",LCD Monitor,14 ms,Full HD,"22""",,Yes,430 mW,178Â°,Yes,3.72 kg,"20"" (508 mm)","20"" (508 mm)",16.7 Million Colors,,Yes,Yes,,,In-plane Switching (IPS) Technology,PC,EA,,Yes,,Yes,Yes,,75 Hz,5.99 kg,ISO 9241-307 Class I,,,,Yes,USB 2.0,,Yes,,,,
"VA2037M-LED - Viewsonic 20"" (19.5"" Viewable) Widescreen Led - PC-Canada.com",Yes,16:9,LED,Viewsonic,250 cd/mÂ²,Speaker,,"1,000:1","2"" (50.8 mm)","8.6"" (218.4 mm)",Yes,"Eco Mode, Security Lock","ENERGY STAR, WEEE, RoHS, REACH, TCO Certified Displays",Yes,Yes,"13.6"" (345.4 mm)","16.5"" (419.1 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Viewsonic Corporation,VA2037M-LED,http://www.viewsonic.com,1600 x 900,1.0,30 W,"20"" (19.5"" Viewable) Widescreen LEDPower CableVGA CableAudio CableQuick Start GuideWizard CD",does not accept phone orders.,,VA2037m-LED,"20"" (19.5"" Viewable) Widescreen LED",LCD Monitor,5 ms,HD+,"20""",Anti-glare,Yes,1 W,160Â°,Yes,3.49 kg,"21.9"" (556.3 mm)","21.9"" (556.3 mm)",,,,,Wall Mountable,2.0,,"PC, Mac",,,Yes,100 x 100,,,,,4.22 kg,CBCEULcULFCC-B / ICES-003B,,,,,,,,,Yes,,
E4S07AA#ABA - Hp Prodisplay P231 23-inch Monitor E4s07aa - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"4,000,000:1","2"" (51.1 mm)","6.5"" (165.6 mm)",Yes,Security Lock,"ENERGY STAR, EU RoHS, EU WEEE, CECP, China Energy Label (CEL), EPEAT Gold, TCO Certified Displays, IT Eco Declaration, TCO Certified Edge, RoHS, WEEE",Yes,Yes,"13"" (328.9 mm)","15.6"" (395 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,E4S07AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,31 W,ProDisplay P231 23-Inch Monitor E4S07AA VGA Cable DVI-D Cable AC Power Cable Printed Documentation and CD-ROM Display Assistant Software,does not accept phone orders.,ProDisplay,P231,ProDisplay P231 23-Inch Monitor E4S07AA,LCD Monitor,5 ms,Full HD,"23""",Anti-glare,,500 mW,160Â°,Yes,3.25 kg,"21.4"" (544.1 mm)","21.4"" (544.1 mm)",16.7 Million Colors,China,,,"Arm-mountable, Wall Mountable",,Twisted Nematic Film (TN Film),PC,,-5Â°to25Â°,Yes,100 x 100,,,200 mW,60 Hz,,ISO 14001 CE CB KC KCC NOM PSB ICE TUV-S RCM CCC ISC VCCI FCC BMSI WHQL,,,,,,,,,,,
"32WL30MS-B - Lg 32"" Class (31.5"" Measured Diagonally) Ips Edge Led Super Narrow Bezel - PC-Canada.com",Yes,16:9,Edge LED,LG,400 cd/mÂ²,,Black,"1,300:1","1.4"" (35.6 mm)","11.9"" (302.3 mm)",Yes,"Digital Signage Ready, Temperature Sensor, Picture in Picture, Security Lock","ErP, ENERGY STAR 5.1, TCO",Yes,Yes,"17.4"" (442 mm)","19.6"" (497.8 mm)",178Â°,"110 V AC, 220 V AC",3 Year,LG Electronics,32WL30MS-B,http://www.lg.com/ca,1920 x 1080,1.0,65 W,,does not accept phone orders.,,32WL30MS-B,"32"" Class (31.5"" Measured Diagonally) IPS Edge LED Super Narrow Bezel",LCD Monitor,25 ms,Full HD,"32""",Anti-glare,Yes,,178Â°,Yes,7.89 kg,"29.1"" (739.1 mm)","29.1"" (739.1 mm)",16.7 Million Colors,,,Yes,,2.0,In-plane Switching (IPS) Technology,,,,Yes,200 x 200,,,500 mW,60 Hz,8.66 kg,"ULcULCB schemeTUVFCC Class ""B""VCCIC-tickCEKCC",Landscape/Portrait,,,Yes,,,,,,,
