<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour support,contrast ratio,depth with stand,features,firewireilink,green compliance certificateauthority,green compliant,height,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum resolution,network rj45,number of screens,operating power consumption,package contents,panel technology,platform supported,product name,product type,response time,screen mode,screen size,speakers,standby power consumption,system requirements,thunderbolt,usb,usb standard,vertical viewing angle,vesa mount compatible,webcam,weight approximate,width,adjustable display height,adjustable display pivot,depth,dvi,height with stand,mount type,product model,screen surface,standard refresh rate,vesa mount standard,vga,weight with stand approximate,certifications standards,colour,displayport,hdcp supported,hdmi,headphone,product line,maximum adjustable height,offmode power consumption,product series,swivel angle,tilt angle,number of speakers,recycled,recycled content,width with stand,sdi,sdi standard,svideo,postconsumerwaste,energy consumption per year,energy efficiency class,composite video,display orientation,country of origin,component video,horizontal frequency,packaged quantity,additional information,3d type,package type
"A1X76AA#ABU, 94389XM, HP, LCD Monitor, Kingsfield Computer Products Ltd",,4:3,LED,HP,300 cd/m²,USB Hub Speaker,,"1,000:1",,Security Lock,,REACH Eco-label ENERGY STAR IT Eco Declaration EPEAT Gold WEEE China Energy Label (CEL),Yes,208.3 mm,176°,110 V AC 220 V AC,,Hewlett-Packard,A1X76AA#ABU,1024 x 768,,1.0,18 W,,,PC,L6010 10.4-inch Retail Monitor,LCD Monitor,25 ms,XGA,"26.4 cm (10.4"")",Yes,1 W,,,Yes,USB 2.0,176°,Yes,,1.20 kg,254 mm,,No,40.6 mm,Yes,,,L6010,Anti-static Anti-glare,60 Hz,75 x 75,Yes,,UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001,Jack Black,Yes,Yes,,,,,500 mW,,,,2.0,Yes,15.7% Plastic,,,,,,,,,,,,,,,,Retail
"220B4LPCS/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Philips,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",227 mm,TrueVision PowerSensor SmartImage SmartErgoBase Security Lock,,TCO Certified Displays 5.2 TCO Certified Edge EPEAT Gold ENERGY STAR 5.0 RoHS,Yes,349 mm,170°,110 V AC 220 V AC,,Philips Electronics,220B4LPCS/00,1680 x 1050,,1.0,15.80 W,,,Mac PC,"Brilliance LCD monitor, LED Backlight With PowerSensor",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,300 mW,,,Yes,USB 2.0,160°,Yes,,3.38 kg,504 mm,Yes,Yes,59 mm,Yes,509 mm,,220B4LPCS,,60 Hz,100 x 100,Yes,5.20 kg,BSMICE MarkFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,Silver Black,,Yes,,Yes,Brilliance,,,B,,,2.0,Yes,Plastic,504 mm,,,,65%,,,,,,,,,,,
"UM.PB0EE.001, 3168192, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,300 cd/m²,Speaker,16.7 Million Colours,"100,000,000:1",244.70 mm,EcoDisplay Technology ComfyView ErgoStand Flicker-free 6-axis Color Adjustment Picture in Picture Picture by Picture Mobile High-Definition Link (MHL),,EPEAT Gold TCO Certified Displays 6.0 ENERGY STAR ECO,Yes,381.8 mm,170°,230 V AC 120 V AC,3 Year,"Acer, Inc",UM.PB0EE.001,3840 x 2160,,1.0,35.50 W,LED Monitor CB280HK 1 x DVI cable 1 x Display cable Power cord,Twisted Nematic Film (TN Film),,LED Monitor CB280HK,LCD Monitor,1 ms,QFHD,"71.1 cm (28"")",Yes,450 mW,,,,,160°,,,,658.7 mm,Yes,,64.5 mm,Yes,558.50 mm,,CB280HK,Anti-glare,60 Hz,,,,,Black,Yes,Yes,Yes,,,,350 mW,,,-5°to35°,2.0,,,658.70 mm,,,,,63 kWh,B,,,,,,,,,
"VE247H, ASUCAS019, ASUSTeK COMPUTER, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Asus,300 cd/m²,Speaker,16.7 Million Colours,"10,000,000:1",,,,,,409.7 mm,170°,,,ASUS Computer International,VE247H,1920 x 1080,,1.0,34.90 W,,,PC,VE247H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"59.9 cm (23.6"")",Yes,900 mW,,,,,160°,Yes,,4.40 kg,569.4 mm,,,201 mm,Yes,,Wall Mountable,VE247H,,,100 x 100,Yes,,,Black,,Yes,Yes,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
"E2773HS-GB1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,300 cd/m²,Speaker,16.7 Million Colours,"1,200:1",,Security Lock X-Res Technology,,ENERGY STAR,Yes,454.5 mm,170°,220 V AC 110 V AC,3 Year,"iiyama North America, Inc",E2773HS-GB1,1920 x 1080,,1.0,29 W,ProLite E2773HSStandCable GuideQuick Start GuideSafety GuidePower CableVGA Cable (D-Sub)DVI CableAudio Cable,,PC Mac,ProLite E2773HS,LCD Monitor,1 ms,Full HD,"68.6 cm (27"")",Yes,500 mW,,,,,160°,Yes,,5.30 kg,647 mm,No,,239 mm,Yes,,Wall Mountable Desk Mountable,E2773HS,,76 Hz,100 x 100,Yes,,CUTUV BauartPSECEVCCI-B,Black,,Yes,Yes,Yes,ProLite,,,,,,2.0,,,,,,,,,,,,,,,,,,
"D7P53AT#ABU, 2845819, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,HP,300 cd/m²,USB Hub,,"1,000:1",237.90 mm,Security Lock,,WEEE TCO Certified Displays 6.0 CECP REACH EPEAT Gold ENERGY STAR China Energy Label (CEL) TCO Certified Edge EPA,Yes,365 mm,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,D7P53AT#ABU,1920 x 1200,,1.0,55 W,Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor AC Power Cord USB Cable DisplayPort Cable Documentation CD HP Display Assistant Software,In-plane Switching (IPS) Technology,PC,Z Display Z24i 61 cm (24'') IPS LED Backlit Monitor,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,500 mW,,,Yes,USB 2.0,178°,Yes,,,559.4 mm,Yes,Yes,64.5 mm,Yes,525 mm,,Z24i,Anti-glare,60 Hz,,Yes,6.96 kg,CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC HSMI,Black,Yes,Yes,,,Business,,,Performance,,,,,,559.40 mm,,,,,,,,,,,,,,,
"9H.LANLB.DWE, M352416, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,,16.7 Million Colours,"3,000:1",,Security Lock Senseye 3,,TCO Certified Displays 6.0,Yes,392 mm,178°,220 V AC 110 V AC,,BenQ Corporation,9H.LANLB.DWE,1920 x 1080,,1.0,28 W,VW2235H Widescreen LCD Monitor Phone/Card Docking,Vertical Alignment (VA),Mac PC,VW2235H Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",No,300 mW,,,,,178°,Yes,,3.90 kg,513 mm,No,,193 mm,Yes,,Wall Mountable,VW2235H,,,100 x 100,Yes,,,White,,Yes,Yes,Yes,,,,VW,,,,,,,,,,,,,,,,,,,,,
"272P4QPJKEB/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Philips,300 cd/m²,USB Hub Webcam Microphone,,"1,000:1",,SmartImage,,ENERGY STAR EPEAT Gold TCO Certified Edge,Yes,,178°,220 V AC 110 V AC,,Philips Electronics,272P4QPJKEB/00,2560 x 1440,,1.0,,,,Mac PC,272P4QPJKEB Widescreen LCD Monitor,LCD Monitor,6 ms,QHD,"68.6 cm (27"")",,,,,Yes,USB 3.0,178°,Yes,,,,Yes,Yes,,Yes,,,272P4QPJKEB,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.XV6EE.A03, 8654G57, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,200 cd/m²,,16.7 Million Colours,"100,000,000:1",,,,MPR II ENERGY STAR,Yes,353.1 mm,90°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.XV6EE.A03,1366 x 768,,1.0,11.90 W,V196HQL Widescreen LCD Monitor1 x VGA CablePower Cord,Twisted Nematic Film (TN Film),,V196HQL Widescreen LCD Monitor,LCD Monitor,5 ms,SXGA,"47 cm (18.5"")",,450 mW,,,,,65°,Yes,,2.32 kg,447 mm,No,No,191 mm,,,,V196HQL,Anti-glare,60 Hz,100 x 100,Yes,2.72 kg,,Black,,,,,,No,350 mW,V,No,-5°to25°,,,,,,,,,,,,,,,,,,,
"UM.WW3EE.005, 3183424, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,200 cd/m²,,16.7 Million Colours,"100,000,000:1",207 mm,,,MPR II,Yes,304.5 mm,90°,120 V AC 230 V AC,2 Year,"Acer, Inc",UM.WW3EE.005,1920 x 1080,,1.0,18.10 W,K222HQL Widescreen LCD MonitorPower Cord1 x VGA Cable,Twisted Nematic Film (TN Film),,K222HQL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",No,450 mW,,,,,65°,,,2.70 kg,508 mm,No,No,52 mm,Yes,390.50 mm,,K222HQL,Anti-glare,60 Hz,,Yes,3.10 kg,,Black,,,Yes,,,,350 mW,K,No,-5°to25°,,,,508 mm,,,,,29 kWh,A,,,,,,,,,
"9H.LAXLB.HBE, M352388, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,BenQ,250 cd/m²,,16.7 Million Colours,"1,000:1",213 mm,Senseye 3 Security Lock,,TCO Certified Displays 5.2,Yes,,170°,110 V AC 220 V AC,,BenQ Corporation,9H.LAXLB.HBE,1920 x 1080,,1.0,42 W,,Twisted Nematic Film (TN Film),PC,BL2405HT Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"61 cm (24"")",,300 mW,,,,,160°,Yes,,5.10 kg,,Yes,Yes,,Yes,502 mm,Wall Mountable,BL2405HT,,,100 x 100,Yes,,,Black,,Yes,Yes,Yes,,,,BL,,,,,,579 mm,,,,,,,,,,,,,,,
"LS27C45UDS/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,,Samsung,300 cd/m²,USB Hub,16.7 Million Colours,"1,000:1",224 mm,MagicRotation Off Timer Eco Saving MagicTune MagicBright 3 MagicAngle,,EPEAT Gold TCO Certified Displays ENERGY STAR,Yes,378.1 mm,170°,220 V AC 110 V AC,3 Year,Samsung,LS27C45UDS/EN,1920 x 1080,,1.0,30 W,S27C450D Widescreen LCD MonitorD-sub CableUSB CablePower CordQuick Installation GuideInstallation CDElectronic Manual,,PC,S27C450D Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",No,300 mW,,,Yes,USB 2.0,160°,Yes,,4.55 kg,639 mm,Yes,Yes,56.7 mm,Yes,532.80 mm,Wall Mountable,S27C450D,,,100 x 100,Yes,6.20 kg,"UL: UL 60950 1CSA: CSA C22.2 No.. 60950-1TUV: EN60950-1NEMKO: EN60950-1KC: K60950-1CCC: GB 4943-2001PSB: IEC60950-1GOST: IEC60950-1, EN55022SIQ: IEC60950-1, EN55022PCBC: IEC60590-1, EN55022NOM: NOM-019-SCFI-1993IRAM: IEC60950-1SASO: IEC60950-1EMC:FCC: FCC Part 15, Subpart B Class ACE: EN55022, EN55024VCCI: V-3 (CISPR22)KCC: KN22, KN24C-Tick: AS/NZS3548 (CISPR22)CCC: GB 9254-2008, GB 17625.1-2003",Matte Black,Yes,,No,,,,,450,,,,Yes,Plastic,639 mm,,,,,,,,,,,,,,,
"LH32EDCPLBC/EN, Samsung, LCD Monitor, Kingsfield Computer Products Ltd",,16:9,LED,Samsung,,Speaker,16.7 Million Colours,,,,,,,434.5 mm,,220 V AC 110 V AC,3 Year,Samsung,LH32EDCPLBC/EN,1920 x 1080,,1.0,77 W,,,,LFD Display,LCD Monitor,,Full HD,"81.3 cm (32"")",Yes,500 mW,,,Yes,,,Yes,,6 kg,736 mm,,,93.7 mm,No,,,ED32C,,60 Hz,200 x 200,Yes,,,Black,,,Yes,,,,500 mW,,,,,,,,,,,,,,,,,,,,,,
"UM.FB6EE.009, 8654G87, Acer, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Acer,250 cd/m²,Speaker,16.7 Million Colours,"100,000,000:1",,,,ENERGY STAR EPEAT Gold TCO '06,Yes,385.5 mm,170°,110 V AC 220 V AC,3 Year,"Acer, Inc",UM.FB6EE.009,1920 x 1080,,1.0,20.90 W,B246HL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Twisted Nematic Film (TN Film),,B246HL Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",Yes,450 mW,,,,,160°,Yes,,3.44 kg,567 mm,Yes,Yes,221.2 mm,Yes,,,B246HL,Anti-glare,60 Hz,100 x 100,Yes,6.09 kg,,Dark Grey,,Yes,,,,150 mm,350 mW,B,60°,-5°to35°,2.0,,,,,,,,,,,,,,,,,,
"HS241HPB, V320109, Hannspree, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Hanns.G,250 cd/m²,Speaker,16.7 Million Colours,"80,000,000:1",,Eco Mode Security Lock,,China Energy Label (CEL) TCO Certified Displays 6.0 ENERGY STAR,Yes,399 mm,178°,120 V AC 230 V AC,3 Year,"Hannspree, Inc",HS241HPB,1920 x 1080,,1.0,,HS241HPB Widescreen LCD Monitor Power Cable (1.5M) VGA Cable (1.5M) Audio Cable (1.5M) User Manual(CD) Quick Start Guide(Paper),In-plane Switching (IPS) Technology,PC,HS241HPB Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",Yes,,,,,,178°,Yes,,4.50 kg,561 mm,,,220 mm,Yes,,Wall Mountable,HS241HPB,Anti-glare,60 Hz,100 x 100,Yes,,FCC UL/CUL CE CB 3C GS,Black,,Yes,Yes,,,,,HS,,-5°to15°,2.0,,,,,,,,,,,,,,,,,,
"29UM65-P, 2998783, LG Electronics, LCD Monitor, Kingsfield Computer Products Ltd",,21:9,LED,LG,,,,,,,,,,,,,,LG Electronics,29UM65-P,2560 x 1080,,1.0,,,In-plane Switching (IPS) Technology,,29UM65-P Widescreen LCD Monitor,LCD Monitor,,UW-UXGA,"73.7 cm (29"")",,,,,,,,,,,,,,,Yes,,,29UM65-P,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
"60002936, 3967409, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,NEC Display,250 cd/m²,,16.7 Million Colours,"1,000:1",215.90 mm,Cable Management Ambient Light Sensor Carbon Footprint Meter Off Timer AccuColor,,MPR III ENERGY STAR 5.0 EPEAT Gold MPR II RoHS,Yes,317.5 mm,176°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60002936,1920 x 1080,,1.0,31 W,,,PC,"23"" Widescreen Ultra Slim Desktop Monitor",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,370 mW,,,,,170°,Yes,,2.80 kg,541 mm,Yes,Yes,48.3 mm,Yes,510.54 mm,,EX231W,,60 Hz,100 x 100,,4.20 kg,TUV GSFCC Class BPCT/GostUL/C-UL / CSACCCISO 9241-307 (class I),Black,Yes,Yes,,,MultiSync,,,,,,,,,541.02 mm,,,,,,,,,,,,,,,
"60003324, 3967788, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,NEC Display,250 cd/m²,USB Hub,1.07 Billion Colors,"1,000:1",228.60 mm,Ambient Light Sensor TileMatrix Support TileComp CableComp+ Carbon Footprint Meter,,TCO Certified Displays 5.2 ENERGY STAR 5.0 RoHS,Yes,322.6 mm,178°,,,NEC Display Solutions,60003324,1920 x 1080,,1.0,29 W,,In-plane Switching (IPS) Technology,PC,"23"" Widescreen Professional Graphics Desktop Monitor",LCD Monitor,8 ms,Full HD,"58.4 cm (23"")",,300 mW,,,Yes,,178°,Yes,,,543.6 mm,Yes,Yes,73.7 mm,Yes,528.32 mm,,P232W,,85 Hz,100 x 100,Yes,9.21 kg,,Black,Yes,Yes,Yes,,MultiSync,,,P,,,,,,543.56 mm,,,,,,,,,,,,,,,
"B7M13AA#ABU, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,200 cd/m²,,,600:1,170.20 mm,Security Lock,,REACH ENERGY STAR WEEE EPEAT Silver,Yes,281.5 mm,90°,220 V AC 110 V AC,1 Year,Hewlett-Packard,B7M13AA#ABU,1366 x 768,,1.0,24 W,"W1972a 47 cm (18.5) LED Backlit LCD Monitor VGA CableAudio CableAC Power Cord""",,,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,,,,,,50°,,,,446.1 mm,,,47.5 mm,Yes,339.50 mm,,W1972a,Anti-reflective,,,Yes,2.70 kg,,Black,,Yes,,,,,,,,,,,,446.10 mm,,,,,,,,,,,,,,,
"B2083HSD-B1, II-B2083HSD-B1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR TCO Certified Displays 6.0,Yes,356.5 mm,170°,110 V AC 220 V AC,3 Year,"iiyama North America, Inc",B2083HSD-B1,1600 x 900,,1.0,15 W,ProLite B2083HSD Widescreen LCD Monitor Power Cable VGA Cable (D-Sub) DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide,Twisted Nematic Film (TN Film),Mac PC,ProLite B2083HSD Widescreen LCD Monitor,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",Yes,500 mW,,,,,160°,Yes,,4.30 kg,469.5 mm,Yes,Yes,230 mm,Yes,,Wall Mountable,B2083HSD,,75 Hz,100 x 100,Yes,,CE TUV-GS VCCI-B Gost-R,Black,,Yes,,Yes,ProLite,,,,,,2.0,,,,,,,,,,,Landscape/Portrait,,,,,,,
"B2280HS-B1, II-B2280HS-B1, Iiyama, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,iiyama,250 cd/m²,Speaker,16.7 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR,Yes,523 mm,160°,110 V AC 220 V AC,3 Year,"iiyama North America, Inc",B2280HS-B1,1920 x 1080,,1.0,21 W,ProLite B2280HSPower CableVGA Cable (D-Sub)DVI CableAudio CableStand FootScrewsCable GuideQuick Start GuideSafety Guide,,Mac PC,ProLite B2280HS,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",Yes,1 W,,,,,160°,Yes,,5.10 kg,509.5 mm,Yes,Yes,244.5 mm,Yes,,Wall Mountable Desk Mountable,B2280HS,,75 Hz,100 x 100,Yes,,CETUV-GSCU,Black,,Yes,Yes,,ProLite,,,,,,2.0,,,,,,,,,,,Landscape/Portrait,,,,,,,
"60002932, 3967386, NEC Display Solutions, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,NEC Display,250 cd/m²,,16.7 Million Colours,"1,000:1",213.40 mm,,,TCO Displays 5.0 ENERGY STAR RoHS EPEAT Silver,Yes,330.2 mm,176°,220 V AC 110 V AC,3 Year,NEC Display Solutions,60002932,1920 x 1080,,1.0,28 W,,,PC,MultiSync E231W Widescreen LCD Monitor,LCD Monitor,5 ms,,"58.4 cm (23"")",,340 mW,,,,,176°,Yes,,4.20 kg,551.2 mm,,,71.1 mm,Yes,492.80 mm,,E231W,,50 Hz,100 x 100,Yes,6.20 kg,,Silver Light Grey,,Yes,,,MultiSync,,,E,,,,,,551.20 mm,,,,,,,,,,,,,,,
"R20MBEU, S601JD7, Lenovo, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Lenovo,300 cd/m²,USB Hub,16 Million Colours,"1,000:1",,Security Lock,,ENERGY STAR 5.1 MPR II TCO Certified Displays 5.2 WEEE EPEAT Gold RoHS TCO Certified Edge Displays 1.1,Yes,394.8 mm,178°,220 V AC 110 V AC,3 Year,Lenovo Group Limited,R20MBEU,1920 x 1200,,1.0,40 W,,In-plane Switching (IPS) Technology,PC,ThinkVision LT2452p Widescreen LCD Monitor,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",,500 mW,,,Yes,USB 2.0,178°,Yes,,6.67 kg,559.6 mm,Yes,Yes,257.3 mm,Yes,,Desk Mountable Wall Mountable,LT2452p,Anti-reflective Anti-glare,75 Hz,100 x 100,Yes,,ISO 9241-307FCC Class BULE GoldCEBSMIGOSTNEMKONOMSABSSASOIEC 60950CCCPSBIRAMJEITAcTUVus,Black,Yes,Yes,,,ThinkVision,,,,,,,Yes,Plastic,,,,,,,,,,,,,,,,
"B7M13AA#UUZ, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,HP,200 cd/m²,Speaker,16.77 Million Colors,600:1,170.20 mm,Security Lock,,REACH WEEE ENERGY STAR EPEAT Silver,Yes,281.5 mm,90°,220 V AC 110 V AC,1 Year,Hewlett-Packard,B7M13AA#UUZ,1366 x 768,,1.0,24 W,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor VGA Cable Audio Cable Power Cord",,,"W1972a 47 cm (18.5"") LED Backlit LCD Monitor",LCD Monitor,5 ms,HD,"47 cm (18.5"")",Yes,500 mW,,,,,50°,,No,,446.1 mm,No,,47.5 mm,Yes,339.50 mm,,W1972a,Anti-glare,76 Hz,,Yes,2.70 kg,,Black,,Yes,,,Business,,,Value,,,,,,446.10 mm,,,,,,,,,,,,,,,
"860-10213, DELE2414H, Dell, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,Dell,250 cd/m²,,16.7 Million Colours,"1,000:1",164.20 mm,Security Lock,,China Energy Label (CEL) TCO Certified Displays ENERGY STAR EPEAT Gold,Yes,337.5 mm,170°,220 V AC 110 V AC,3 Year,"Dell, Inc",860-10213,1920 x 1080,,1.0,30 W,"E-series E2414H 61cm (24"") LED Monitor VGA,DVI-D (1920x1080) Black Stand Power Cable VGA Cable DVI Cable Cable Cover Drivers and Documentation Media Quick Setup Guide Product Information Guide",Twisted Nematic Film (TN Film),,"E-series E2414H 61cm (24"") LED Monitor VGA,DVI-D (1920x1080) Black",LCD Monitor,5 ms,Full HD,"61 cm (24"")",,500 mW,,,,,160°,Yes,,3 kg,570 mm,,,46.5 mm,Yes,418.30 mm,Wall Mountable Arm-mountable,E2414H,Anti-glare,60 Hz,100 x 100,Yes,,,Black,,Yes,,,,,500 mW,E,,,,,,570 mm,,,,,,,,,,,,,,,
"E2460PHU, 2500820, AOC, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:9,LED,AOC,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",,Security Lock,,TCO Displays 5.0 EPEAT Gold ENERGY STAR 5.0 RoHS,Yes,524.2 mm,170°,220 V AC 110 V AC,,AOC,E2460PHU,1920 x 1080,,1.0,,"LED Monitor - e2460Phu Professional 60.97cm (24"")Power CableD-Sub CableDVI-D CableAudio CableUSB CableWarranty Card",,PC,"LED Monitor - e2460Phu Professional 60.97cm (24"")",LCD Monitor,2 ms,Full HD,"61 cm (24"")",Yes,,,,Yes,,160°,Yes,,6.54 kg,565.4 mm,Yes,Yes,244.6 mm,Yes,,Wall Mountable,e2460Phu,,60 Hz,100 x 100,Yes,,CEFCCISO 9241-307TUV-GS,Black,No,Yes,Yes,,Professional,,,,,,,,,,,,,,,,,,,,,,,,
"220P4LPYES/00, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Philips,250 cd/m²,Speaker USB Hub,16.7 Million Colours,"1,000:1",220 mm,SmartErgoBase PowerSensor Security Lock SmartImage,,TCO Certified Edge RoHS TCO Certified Displays 5.2 EPEAT Gold WEEE ENERGY STAR 5.0,Yes,349 mm,170°,110 V AC 220 V AC,,Philips Electronics,220P4LPYES/00,1680 x 1050,,1.0,16.80 W,,,PC Mac,"LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,WSXGA+,"55.9 cm (22"")",Yes,300 mW,,,Yes,USB 2.0,160°,Yes,,3.38 kg,504 mm,Yes,Yes,59 mm,Yes,517 mm,,220P4LPYES,,60 Hz,100 x 100,Yes,5.50 kg,UL/cULBSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GS,Silver Black,Yes,Yes,,Yes,Brilliance,,,P,,,2.0,Yes,Plastic,504 mm,,,,65%,,,,,,,,,,,
"D7P53A4#ABU, HPXMON481, HP, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,HP,300 cd/m²,USB Hub,,"1,000:1",,Security Lock Cable Management,,EPEAT Gold ENERGY STAR,Yes,365 mm,178°,220 V AC 110 V AC,3 Year,Hewlett-Packard,D7P53A4#ABU,1920 x 1200,,1.0,55 W,"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant software",In-plane Switching (IPS) Technology,PC,"Z Display 61 cm (24"") IPS LED Backlit Monitor Z24i",LCD Monitor,8 ms,WUXGA,"61 cm (24"")",,500 mW,,,Yes,USB 2.0,178°,Yes,,6.96 kg,559.4 mm,,,64.5 mm,Yes,,,Z24i,Anti-glare,60 Hz,,Yes,,,Black,Yes,Yes,,,Business,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L99LA.TBE, M352280, BenQ, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,BenQ,300 cd/m²,Speaker,16.7 Million Colours,"1,000:1",236 mm,Security Lock Eco Mode Senseye 3 Ambient Light Sensor Touch Controls,,TCO Certified Displays 6.0 EPEAT Gold ENERGY STAR,Yes,,178°,220 V AC 110 V AC,,BenQ Corporation,9H.L99LA.TBE,1920 x 1200,,1.0,23 W,,In-plane Switching (IPS) Technology,PC,BL2411PT Widescreen LCD Monitor,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,300 mW,,,,,178°,Yes,,6.70 kg,,Yes,Yes,,Yes,574 mm,Wall Mountable,BL2411PT,Anti-glare,,100 x 100,Yes,,,Glossy Black,Yes,Yes,No,Yes,,,,BL,,,2.0,Yes,65% Plastic,555 mm,,,,,,,,,,,,,,,
"240P4QPYES/00, 2788556, Philips, LCD Monitor, Kingsfield Computer Products Ltd",Yes,16:10,LED,Philips,300 cd/m²,USB Hub Speaker,16.7 Million Colours,"1,000:1",244 mm,Eco Mode PowerSensor Security Lock SmartErgoBase SmartImage Sync on Green SmartResponse,,ENERGY STAR 6.0 EPEAT Gold TCO Certified Displays 6.0 RoHS WEEE,Yes,388 mm,178°,110 V AC 220 V AC,3 Year,Philips Electronics,240P4QPYES/00,1920 x 1200,,1.0,17.10 W,,In-plane Switching (IPS) Technology,Mac PC,"Brilliance LCD Monitor with PowerSensor 240P4QPYES P-line 24"" / 61 cm 1920x1200",LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,200 mW,,,Yes,USB 2.0,178°,Yes,,4.64 kg,555 mm,Yes,Yes,65 mm,Yes,550 mm,,240P4QPYES,,60 Hz,100 x 100,Yes,6.97 kg,FCC Class B GOST SEMKO TUV Ergo TUV/GS UL/cUL BSMI CE Mark,Silver Black,Yes,Yes,,Yes,Brilliance,,0 mW,P,,,2.0,Yes,25%,555 mm,,,,,,,,,,,,,,,
