<page title>,compliant standards,display position adjustments,display size,dot pitch,energy star qualified,image brightness,returns policy,warranty labor,warranty parts,color,compatibility notes,contents,product type,target use,actual weight,physical dimensions,warranty details,diagonal size,speakers included,weight,brightness nitscdm2,color support,connector,connector type,contrast ratio,display technology,display type,internal resolution max,portsconnectors,power notes,response timerate,viewing angle hv degrees,attributes,form factor,image aspect ratio,image size max,image size min,native resolution,projector type,resolution modes,screen distance min,energy star version,brightness lumens,lamp type,digital video standard,refurbished type,system requirements,horizontal frequency khz,vertical frequency hz,os notes
Buy Fellowes 16in Standard Filter With Black Frame Glare Filters & Privacy Screens 93785 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,Clear Black,For use with 16 to 17-inch CRT monitors and 17-inch LCD monitors (measured diagonally),"Filter, documentation",Display screen filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless SmartMount Universal Cart for 32""-65"" Flat Panel Stands & Mounts - AV SR560M today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,5 Years,5 Years,Black,"Weight capacity: 150 lbs. (screen), 50 lbs (per shelf)","Cart components, universal interface bracket, hardware, documentation",Cart,Flat panel display,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 23"" V236HL Cbd Full HD LED-LCD Monitor, Black Monitors - LED-LCD UM.VV6AA.C01 today at PC Connection",TCO Displays 6.0,Tilt,23 in,,,250 cd/m2,,3 Years,3 Years,Black,"Dimensions with stand: 16.1""h x 21.4""w x 8.2""d","monitor, DVI cable, VGA cable, power cord, documentation",,,,"12.8""h x 21.4""w x 2""d",,,,,250 cd/m2,16.7 million colors,DVI HDDB15 Power,Power DVI VGA,"100,000,000:1",LCD LED-backlit,Widescreen,1920 x 1080,"(1) DVI
(1) HDDB15 VGA
(1) Power in",Supply: 110-220VAC,5 ms,170/160,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Planar 22"" PXL2230MW LED-LCD Touchscreen Monitor Monitors - LED-LCD 997-7039-00 today at PC Connection",CUL RoHS FCC Class B certified UL CE,,21.5 in,0.248 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Optimized for multimedia applications.
22"" wide edge-lit LED LCD - Full HD resolution.
Compatible with Microsoft Windows 7 operating system.
Recognizes touch input from finger, gloved hand, or stylus (includes a built in stylus).
Compatible with mounting options that use the 100mm VESA standard.","Monitor, documentation",,,,"12.9""h x 20.3""w x 2.8""d",FREE 2-Day Advance Replacement,,,,250 cd/m2,16.7 million colors,3.5mm audio DVI-D HDDB15 HDMI Power USB Type B,Audio VGA HDMI USB DVI-D Power,1000:1,LED-backlit LCD Touch screen,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) HDMI
(1) USB Type B
(1) 3.5mm audio
(1) Power in","Supply: 100-240VAC, 50/60Hz",5 ms,170/160,Dual speakers Speakers Included,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy ViewSonic 19"" VA1938WA-LED Widescreen LED Monitor Monitors - LED-LCD VA1938WA_LED today at PC Connection",SASO PSB GOST-R UkrSEPRO BSMI NEMKO C-Tick CB WEEE RoHS TCO Displays 5.0 REACH,,18.5 in,0.3 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"PC- VGA up to 1366 x 768 non-interlaced
Mac- Up to 1366 x 768","Monitor, power cable, D-Sub video cable, software, documentation",,,6.00 lb(s),"13.4""h x 17.34""w x7.1""d",Limited,,,,,,DB15 Power,VGA,"10,000,000:1 1000:1",LCD,Widescreen,1366 x 768,"Input:
(1) DB-15 VGA
(1) Power",,5 ms,170/160,,,,,,,,,,,,,,,,,,
"Buy ELO Touch Solutions 22"" 2244L Full HD LED-LCD Open-Frame Monitors - LED-LCD E469590 today at PC Connection",,,21.5 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"100 x 100mm VESA mounting pattern.
Slimmer dimensions enables thinner, artistic enclosure designs.
High definition LCD display offers ultimate HD interactivity, clarity and resolution.
Viewing angle of 178°(h) × 178°(v), wider than most 22”. touchmonitors, allows colors to remain sharp and graphics to retain their integrity in both portrait and landscape modes.
16:9 aspect ratio and bright 250 nits panel for a larger display surface and bright vivid images.
LED backlighting allows for state-of-the-art slim design while reducing power consumption.
Optimized for use in high-traffic environments.","Monitor, documentation",,,10.60 lb(s),"16.9""h x 7.9""w x 24.4""d",,,,,225 nit(s),16.7 million colors,DVI-D HDDB15 Power,Power VGA DVI-D,1000:1,LCD LED-backlit,Widescreen,1920 x 1080,"(1) HDDB15 VGA
(1) DVI-D
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 39W (monitor + power adapter); 26W (on- monitor only); 1.5W (sleep mode); 1W (off mode)",14 ms,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,31.5-80,50-75,
"Buy Elite VMax 2 Projection Screen, MaxWhite, 4:3, 92in (Free Mount Projector Screens VMAX92UWV2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,"Projection screen, black case, RF remote, IR remote, wall box, documentation",,,,"55""h x 73""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Acer 19"" V196WL BM LED-LCD Monitor, Black Monitors - LED-LCD UM.CV6AA.003 today at PC Connection",EPEAT Gold TCO Displays 6.0,,19 in,5 ms,,250 cd/m2,,3 Years,3 Years,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, VGA cable, power cord, documentation",,,6.00 lb(s),"14.9""h x 17.3""w x 7.5""d",limited,,,,,16.7 million colors,HDDB15 Power,Power VGA,"100,000,000:1",LCD LED-backlit,Widescreen,1440 x 900,"(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 13W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,170/160,Dual speakers Speakers Included,,,,,,,,,,,,,,,,,
Buy SMK-Link VP4350 Global Presenter Executive PowerPoint Remote Controls - Presentation VP4350 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Silver,,"RemotePoint Presenter, Remote, USB Extension Cable, Carrying Case, (2) AAA batteries, documentation",,,5.00 oz,"2.4""h x 4.3""w x 1.5""d",,,,,,,,,,,,,,(2) AA batteries,,,,,,,,,,,,,,,,,"Windows 98, 2000, Me, XP
Available USB port",,,
"Buy LG 24"" M34D-B Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24M34D-B today at PC Connection",CUL Plug and Play TUV DDC/CI,Tilt,24 in,0.2715 mm,Yes,200 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Da-Lite Tensioned Advantage Electrol Projection Screen, HDTV, Da Projector Screens 84402 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,White,Case is UL plenum rated.,"Screen with case, Decora wall switch, documentation",Projection screen (motorized),,,"65""h x 116""w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Elite Portable Tripod Pull-Up Projection Screen, Matte White, Projector Screens T119UWS1 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,Black,,"Screen in black case, tripod stand, documentation",Projection screen,,,"149.5""h x 90""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Universal Adapter Plate for 32""-60"" Flat Panel Screens Stands & Mounts - AV PLP-UNLP today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,"Compatible with most 32""-60"" flat panel displays. Please see manufacturer's website for complete compatibility listing.","Adapter plate, hardware, documentation",Adapter plate kit,Flat panel display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy NDS 21"" Dual-Head E3 Grayscale Monitors with Quadro 2000D Monitors - Medical 997-5713-00-2AN today at PC Connection",VCCI TUV GM RoHS FDA 510k REACH cCSAus EN 60601-1 WEEE FCC CCC KCC,Pivot (rotation) Swivel Height Tilt,20.8 in,0.206 mm,,1000 cd/m2,"Due to manufacturer restrictions, all sales on this item are final.",Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar 46"" LX46HD-L Full LED-LCD Monitor with ERO, Black Monitors - Large-Format LED-LCD 997-7113-00 today at PC Connection",,,46 in,,,,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"Unique Architecture and Benefits by Design:
The Clarity Matrix Video Wall System was architected and developed by video wall industry experts in a way that specifically addresses the challenges faced by all video wall installations: mounting and alignment, reliability and extended operation, service and maintenance access and simple, effective image processing and management. At the heart of the Clarity Matrix architecture is a distributed design that takes heat, complexity and unreliability out from behind the LCD panel and replaces it with a centrally located, easily accessible and highly reliable rackmounted system.
EasyAxis Mounting System:
The Clarity Matrix Video Wall System includes the EasyAxis mounting system. The EasyAxis mounting system is designed to be attached to a wall, used with optional free-standing bases or secured overhead in a flying configuration. The single mount supports all these configurations. When used in wall-mount
configuration, horizontal and vertical connection brackets ensure that each mount is perfectly spaced from its neighbor in the video wall. The mount system also incorporates a service mode to accommodate front and rear in-wall repair of any LCD module in the video wall. EasyAxis mounts are designed to facilitate the thinnest profile LCD video wall in the market. The combination of the mount plus the Clarity Matrix LCD Modules “blade” design result in video walls that measure a mere 3.6 inches in depth, screen-to-wall, as opposed to other designs that require 60% more clearance.
Precise Panel Alignment:
Clarity Matrix LCD modules incorporate a single simple interface board designed to distribute off-board power, video and control signals to the LCD panel keeping depth, weight, heat and points of potential failure to an unprecedented minimum. The LCD blade-style module incorporates a bracket that is perfectly paired with the EasyAxis mount. The LCD module includes EasyAxis adjustment cams that facilitate precise 6-axis alignment ensuring uniform, minimized image-to-image gap. The lighter design of the Clarity Matrix LCD module means that handling, installation, alignment and service are all easier to accomplish.
24x7 Operation and Simplified Maintenance:
The unique Clarity Matrix architecture provides for 24x7 operation with optimized thermal design, high-MTBF components and redundant power supply option. Because of the streamlined design of the Clarity Matrix LCD modules, fewer repairs are required at the panel itself. When the panels do need to be accessed or removed, this can be accomplished without removing other panels in the wall. Starting at the top of the wall, panels can be pulled up and out into Service Mode, allowing the panel below to be accessed. Also built into each Clarity Matrix LCD display are service and troubleshooting aids that minimize downtime in the event of a failure. Power, backlight and fan monitoring are all built into Clarity Matrix to provide failure notification. Clarity WallNet enables health and status monitoring over a customer network to proactively provide health status or send an email or text message to a service technician alerting them of a failure.
Redundant Power Supply:
The rack-mount video processing and power supply units each support 4 LCD modules, incorporate their own cooling and make configuration, maintenance and upgrades easily accessible and unobtrusive to the video wall itself. For even further reliability, the Clarity Matrix power supply unit includes an n+1 redundant design so if any one power supply in the unit fails, the remaining 4 will continue to power 4 LCD’s with uninterrupted operation.
Flexible Video Processing:
Clarity Matrix supports a wide range of processing options to display sources on the video wall. Planar’s Big Picture Plus processing is built into Clarity Matrix and allows sources to be scaled across the entire video wall or any section of the video wall. To simplify the set-up process of Big Picture Plus, Clarity Matrix has position sensors built in the LCD that determine where it is located within the array and scale the sources across the video wall automatically. Big Picture Plus processing also allows for ultra-high resolution dual link DVI signals to be input and spread over multiple displays at native resolution. For more complex configurations, Clarity Matrix supports all leading image processing and digital signage software solutions including Planar’s Indisys image processing.
Clarity Matrix with ERO:
Clarity Matrix with ERO features a glass front to provide increased ruggedness and optical performance for applications in public spaces or interactive touch. The glass surface is optically bonded to the front of the LCD with a proprietary construction and technique which maintains the narrow bezel spacing and creates a continuous surface when tiled together in a video wall. Clarity Matrix with ERO also provides improved optical performance in high ambient light by providing additional ambient light rejection and increased contrast.","Display, documentation",,,58.00 lb(s),,,,,,450 nit(s),,DVI (Dual Link),DVI,3500:1,LED-backlit LCD,Widescreen,1920 x 1080,"(2) Dual-Link DVI (in, out)
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 157W (typ.)",,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Tripp Lite HDMI over Cat5 Cat6 Extender, Receiver for Video and Video Extenders & Splitters B126-1P0 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,"Features
Passive extender remote unit for the B126-002 (2-Port) and B126-004 (4-Port) Extender/Splitter local units, available separately
Extends a HDMI signal up to 100 ft. at 1080i (60Hz); or, up to 50 ft. at 1080p (60Hz) when using 24Awg, Solid Wire Cat5e/6 cable (Tripp Lite N202-Series)
Built-in HDMI male connector plugs directly into a monitor without the need for an additional cable
When used with a B126-002 or B126-004, both stereo audio and 7.1 channel surround sound audio are supported, as well as HDCP protected content
Compatible with all operating systems
Plug and play; No drivers or external power required
Compliant with the Federal Trade Agreements Act (TAA) for GSA Schedule purchases","Extender remote unit, documentation",Extender,,,,Limited,,,,,,,,,,,,"(1) RJ-45 (F)
(1) HDMI (M)",,,,,,,,,,,,,,,,,,,,,
"Buy Asus 19.5"" VT207N Multi-Touch LCD HD Monitor Monitors - LCD VT207N today at PC Connection",C-Tick CUL CCC GOST-R FCC ErP Ready ISO 9241-307 CEL Level 1 CB WEEE TCO Displays 6.0 WHQL RoHS VCCI BSMI,Tilt,19.5 in,0.27 mm,Yes,250 cd/m2,,Call for Warranty,Call for Warranty,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Tripp Lite DVI over Cat5 Cat6 Extender, Video Receiver, Video Extenders & Splitters B140-1A0 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Black,,"Unit, Mounting Hardware, Screwdriver, Power Supply Unit, Documentation",AV Extender,,,"1""h x 2.5""w x 3.6""d",,,,,,,,,,,,,"(1) RJ-45 (F)
(1) DVI-I (F)",,,,,,,,,,,,,,,,,,,,,
"Buy Kensington Blackout Privacy Filter for 14.1"" Notebooks Glare Filters & Privacy Screens K55782WW today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Limited Lifetime,Limited Lifetime,Black,"Designed for 14.1-inch notebooks.
Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach and removable, yet thin enough to allow your notebook computer to close.
Screen cleaning cloth included.","Filter, documentation",Display privacy filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Samsung 24"" SC650 LED-LCD Monitor, Matt Black Monitors - LED-LCD S24C650BW today at PC Connection",CSA C22.2 No. 60950-1 FCC Part 15 B Class A UL 60950-1 RoHS NOM-019-SCFI-1993 IRAM,Pivot (rotation) Height Tilt,24 in,0.27 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Matte Black,"Maximum monitor experience with a chic, thin frame. Thanks to its narrow bezel users are less distracted when looking at the monitor and can thus concentrate better. Due to the larger display, it is also easier to set up a workstation with two monitors and thereby increase productivity. And for users who want only a good-looking monitor, the narrow frame gives every desk that certain something.
Give your employees in the office the optimal representation with the cost Samsung Business Monitor. While conventional monitors have only a horizontal viewing angle of 170 degrees, thia Samsung monitor has a wider viewing angle of 178 degrees. The additional 8 degrees is particularly useful when more people need to see the screen. The Samsung Business Monitor has improved the vertical viewing angle to 18 degrees, making it ideal for presentations with many participants.
100 x 100mm VESA mounting pattern.
Dimensions and weight with stand:
15""-20.2""h x 21.8""w x 8.8""d
12.6 lbs.","display, VGA cable, DVI cable, documentation",,,9.00 lb(s),"14.1""h x 21.8""w x 2.1""d",,,,,250 cd/m2,16.7 million colors,DVI HDDB15 Power,DVI Power VGA,1000:1,LED-backlit LCD,Widescreen,1920 x 1200,"(1) HDDB15 VGA
(1) DVI
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 30W (typ.); 25W (standby);",5 ms,178/178,,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy Open Box Acer 22"" V226HQL ABMD Full HD LED-LCD Monitor Monitors - LED-LCD UM.WV6AA.A02 today at PC Connection",TCO Displays 6.0,,21.5 in,,,250 cd/m2,,90 Days,90 Days,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.","Monitor, power cord, DVI cable, VGA cable, documentation",,,7.10 lb(s),"15.4""h x 20""w x 8.1""d",,,,,250 nit(s),16.7 million colors,DVI Power HDDB15,Power DVI VGA,"100,000,000:1",LCD LED-backlit,Widescreen,1920 x 1080,"(1) DVI
(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 19.5W (typ.); 0.4W (standby); 0.3W (off mode)",8 ms,178/178,Speakers Included Dual speakers,,,,,,,,,,,,Digital Visual Interface (DVI),Open Box,,,,
"Buy Elite Manual Series Projection Screen, Matte White, 16:9, 100in Projector Screens M100UWH today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,White,Wall mount bracket sold separately.,"Screen, hardware, case, documentation",Projection screen,,20.00 lb(s),"59.3""h x 93.5""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Open Box Acer 19"" V196HQL AB LED-LCD Monitor, Black Monitors - LED-LCD UM.XV6AA.A01 today at PC Connection",EPEAT Gold MPRII,,18.5 in,,,200 cd/m2,,90 Days,90 Days,Black,"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.
Dimensions and weight with stand:
13.9""h x 17.4""w x 7.5""d
5.5 lbs.","Monitor, VGA cable, power cord, documentation",,,4.40 lb(s),"10.5""h x 17.4""w x 2""d",,,,,200 nit(s),16.7 million colors,Power HDDB15,VGA Power,"100,000,000:1",LED-backlit LCD,Widescreen,1366 x 768,"(1) HDDB15 VGA
(1) Power in","Supply: 110-220VAC
Consumption: 11.9W (typ.); 0.5W (standby); 0.4W (off mode)",5 ms,90/65,,,,,,,,,,,,,,Open Box,,,,
"Buy Elite VMax2 Projection Screen, MaxWhite, 16:9, 135in (Free Mount Projector Screens VMAX135XWH2 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,2 Years,2 Years,,,"Projection screen, white case, RF remote, IR remote, wall box, documentation",,,,"66""h x 117.33""w","Government, Education, Military, and Religious customers receive a 3 year screen warranty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Planar 22"" PLL2210mw Full HD LED Monitor, Black Monitors - LED-LCD 997-6501-00 today at PC Connection",RoHS CE UL CUL FCC Class B certified,Tilt,21.5 in,.248 mm,,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,Black,"100 x 100mm VESA mounting pattern.
Dimensions with stand: 15.4""h x 19.9""w x 7""d","Monitor, base, power cord, VGA cable, DVI cable, audio cable, documentation",,,7.00 lb(s),"12.6""h x 19.9""w x 1.9""d",Customer First warranty featuring FREE 2-Day Advance Replacement for three full years,,,,250 nit(s),16.7 million colors,HDDB15 DVI-D 24-pin (Dual Link) Power 3.5mm audio,DVI VGA Audio Power,1000:1,LED display TFT,Widescreen,1920 x 1080,"(1) 24-pin DVI-D
(1) HDDB15 VGA
(1) 3.5mm audio
(1) Power in","Requirements: 110/220VAC
Consumption: 25W (typ); 0.5W (standby)",5 ms,170/160,Speakers Included Dual speakers Tilt,,,,,,,,,,,,Digital Visual Interface (DVI),,,,,
"Buy InFocus Short Throw Wall Mount, Dual Stud Stands & Mounts - AV PRJ-WALLKIT-12 today at PC Connection",,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,1 Year,1 Year,Silver,"Fast installation with quick-connect system.
Mounts to wood, metal and concrete with included hardware.
Easily adjust the roll, pitch and yaw for precise image alignment.
10 inches (254 mm) of lateral adjustment.
Integrated cable management system conceals cables.
Extends 30 - 52.2 in. (76 - 137 cm).
For studs up to 24"" (61 cm) apart, add this Wall Adapter Bracket.
Compatible with IN114ST, IN124ST, IN126ST, IN3916.
Max weight capacity of 25 pounds.","Wall mount, extension arm, projector mount, bracket documentation",Wall mount,Projector,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Fellowes Space-Saving Designer Suites Laptop Arm Stands & Mounts - AV 8034801 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,Black,,"Laptop arm, documentation",Mounting arm,Notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Peerless Fixed Extension Column, 24"", Black Stands & Mounts - AV EXT102-AB today at PC Connection",CUL UL,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,Max load capacity: 1200 lbs.,"Extension column, documentation",Projector ceiling mount extension tube,Monitor Projector,0.00 lb(s),"24""l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy LG 23.8"" MP55HQ-P Full HD LED-LCD Monitor, Black Monitors - LED-LCD 24MP55HQ-P today at PC Connection",Plug and Play DDC/CI TCO Displays 6.0 CUL RoHS TUV,Tilt,23.8 in,0.274 mm,Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,High-gloss black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Peerless Suspended Ceiling Kit Jumbo Mount One Piece Stands & Mounts - AV CMJ450 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,N/A,N/A,White,"Replaces 2'x2' ceiling tile and secures to structural ceiling with tie wires.
Includes tie wire supports and ceiling plate with two knockout panels for outlet boxes and antenna leads (knockouts are for half-size handy boxes with flanges).
Unit has 1-1/2""-11.5 npt fitting for attachment of extension column.","Ceiling mount, documentation",Ceiling mount,,0.00 lb(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy 3M 17"" ChassisTouch Capacitive Touchscreen LCD Monitor Monitors - LCD 11-4945-227-00 today at PC Connection",FCC Class B certified CUL RoHS CE UL,,17 in,0.264 mm,,270 cd/m2,,3 Years,3 Years,,,"Monitor, documentation",,,10.10 lb(s),"13.2""h x 16""w x 1.9""d",,,,,,16.2 million colors,HDDB15 (F) Power,Power VGA,500:1,Touch screen LCD TFT,Standard,1280 x 1024,"(1) HDDB15 (F)
(1) Power in","Power Supply: 12VDC
Consumption: 30W",13 ms,150/135,Touch screen,,,,,,,,,,,,,,,,,
Buy ELO Touch Solutions Desktop Stand for 0700L Stands & Mounts - AV E548382 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Gray,,"stand, documentation",Display stand,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 15.6"" Full HD LED-LCD Portable Monitor, Black Monitors - LED-LCD MB168B+ today at PC Connection",J-MOSS FCC WEEE VCCI C-Tick WHQL CCC CUL RoHS EuP EMC,,15.6 in,0.179 mm,,250 cd/m2,,3 Years,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy AOC 29"" Q2963PM LED-LCD Monitor, Black Monitors - LED-LCD Q2963PM today at PC Connection",,Tilt,29 in,0.876 mm,Yes,300 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,3 Years,3 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Asus 29"" PB298Q Ultra-Wide LED-LCD Monitor, Black Monitors - LED-LCD PB298Q today at PC Connection",CB WHQL RoHS VCCI C-Tick WEEE PSE Mark TCO Displays 6.0 ErP Ready CCC CUL FCC BSMI,Pivot (rotation) Swivel Tilt Height,29 in,0.2628 mm,Yes,300 cd/m2,,3 Years,3 Years,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy InFocus Presenter Remote with Laser Pointer and USB Receiver Projector Accessories HW-PRESENTER-2 today at PC Connection,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,90 Days,90 Days,Black,"Works with any projector
Laser pointer
Next and Previous slide advance
Works through your PC's USB port","Remote with laser pointer, USB receiver, documentation",Remote control unit Laser pointer Receiver,,,"2""h x 5.7""w x 8.5""d",,,,,,,,,,,,,(1) USB Type A (M),(2) AAA batteries (not included),,,,,,,,,,,,,,,,,"Windows 98, ME, 2000 and XP",,,
"Buy HP 23"" W2371D LED-LCD Monitor Monitors - LED-LCD B3A19AA#ABA today at PC Connection",TUV S NOM CEL C-Tick CB EPA VCCI PSB GOST E-Standby CECP CSA FCC Plug and Play ISO 9241-307 BSMI CCC KCC China Energy Label Level 1 TUV GS,Tilt,23 in,.265 badge(s),Yes,250 cd/m2,This product is subject to our return policy. Please see our complete return policy for details.,Call for Warranty,Call for Warranty,Black,,"Monitor, stand, CD, documentation",,,7.50 lb(s),"15.6""h x 21.8""w x 7.3""d",,,,,250 cd/m2,,DVI-D HDDB15 Power,DVI-D Power VGA,,LCD LED-backlit,Widescreen,1920 x 1080,"(1) DVI-D
(1) HDDB15 VGA
(1) Power in","Supply: 100-240VAC, 50/60Hz
Consumption: 32W (typ.);",,,,,,,,,,,,,,,Digital Visual Interface (DVI),,,24-94,50-76,
