3d compatibility,<page title>,aspect ratio,builtin camera,builtin speakers,cable lock slot,cables included,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvi port,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan connection,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,led indicators,linux operating systems supported,manual,on screen display osd,onoff switch,operating relative humidity range,operating temperature range tt,pivot,pivot angle,plug and play,power consumption max,power consumption standby,power consumption typical,power led,quick start guide,response time,standby led,storage relative humidity range,storage temperature range tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,weight,weight with stand,width,width with stand,windows operating systems supported,wireless lan connection,colour,dimensions w x d x h with stand,display srgb,display viewable area hxv,mean time between failures mtbf,package dimensions wxdxh,pixel pitch,power consumption active,power consumption off,relative humidity,backlight type,digital horizontal frequency,digital vertical frequency,displayports quantity,hdmi ports quantity,vesa mounting interfaces compatibility,wall mountable,audio output,bluetooth,builtin subwoofer,card reader integrated,epeat compliance,full hd,hdmi,headphone out,placement supported,video dot rate,viewable size horizontal,viewable size vertical,dcin jack,display diagonal metric,feet colour,handheld remote control,ac power in,number of loudspeakers,package weight,viewable size diagonal,power consumption powersave,swivel angle,ethernet lan,headphone outputs,wifi,anschlüsse,auflösung empfohlen,bildformat,blickwinkel horizontal,blickwinkel vertikal,displaygröße,eigenschaften,farbe herstellerspezifisch,gewicht netto,helligkeitleuchtstärke,kontrastverhältnis,lcd paneltechnologie bzw tm,netzteil,prüfzeichenzertifikatezulassungen,reaktionszeit,signalart,vesa bohrung,camera included,connection to pc,dvii ports quantity,horizontal scan range,power consumption,rms rated power,safety,vertical scan range,display type,number of colours,builtin microphone,compatible memory cards,microphone in,farbe allgemein,mac operating systems supported,ac adapter included,headphone connectivity,number of osd languages,on screen display osd languages,operating temperature tt,annual energy consumption,audio input,electromagnetic compatibility,packaging depth,packaging height,packaging width,mobile highdefinition link mhl,nonoperating altitude,operating altitude,operating relative humidity hh,storage temperature tt,strahlungsnorm,display surface,pc audio in,separate hv sync,syncongreen sog,maximum resolution,number of products included,screen saving functions,volume control,composite sync,power consumption average,usb 30 ports quantity,common interface ci,common interface plus ci,usb powered,glossy display,rotating,led backlight,pictureinpicture,quantity,user guide on cdrom,compatible with vesawall mounting system,effective viewing area,picture enhancement,compliance industry standards,hdready,power cord included,storage relative humidity hh,dimensions w x d x h,composite video in,svideo in,swivel,megapixel,product type,io ports,power requirements,bezel width side,bezel width top,swivel webcam,power consumption economy mode,bezel width bottom,svideo inputs quantity
,E1780SD-B1 - Iiyama ProLite E1780SD-B1 LED monitor - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVI-D,1.280 x 1.024,Normal 4:3/5:4,170 °,160 °,"43.2 cm 17""","LED Backlight, Pivot drehbar 90°",,"4,4 kg",250 cd/qm,1000 :1,,,,5 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,schwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"24MB65PM-B - LG 24MB65PM-B  LED monitor 24"" 1920 x - Xpcpro.com",16:10,N,Y,,,,Black,,1000:1,239 mm,,LED,250 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,IPS,Y,1,Unspecified,,,Full HD,Y,395 mm,,,,,,,,,,,,Y,,Y,,,,,,5 ms,,,,1920 x 1200 WUXGA,,15 - 68 °,Y,,Y,,N,,,178 °,178 °,5400 g,,558 mm,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,61 cm,,,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"LS27D590PSX/EN - Samsung S27D590P LED monitor 27"" - Xpcpro.com",16:9,N,N,,HDMI,,Black,Mega Contrast,1000:1,58.5 mm,169.2 mm,LED,300 cd/m²,"27 """,16.77 M,1920 x 1080 pixels,AD-PLS,N,,A,Y,,,,388.6 mm,N,465 mm,50/60 Hz,100 - 240 V,,,Y,,,,,N,,,,0.3 W,23 W,,Y,5 ms,,,,,,,N,,,-1 - 15 °,N,,1,178 °,178 °,4360 g,4960 g,619.5 mm,619.5 mm,Y,,,,,,,,,,,,,,,,2,,N,,,,,,,,,,,,,Y,,,,,,6760 g,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,44 kWh,,,439 mm,132 mm,689 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LS22C65UDC/EN - Samsung S22C650D LED monitor  - Xpcpro.com,16:9,,,,,,Black,,1000:1,185.42 mm,,LED,250 cd/m²,"21.5 """,16.77 M,1920 x 1080 pixels,AD-PLS,Y,,Unspecified,Y,,,,375.92 mm,Y,,50/60 Hz,100 - 240 V,,,,,,,,Y,-1 - 95 °,,28 W,0.3 W,38 W,,,5 ms,,,,,,-45 - 45 °,,,,-3 - 25 °,,2,1,178 °,178 °,3221 g,4763 g,576.58 mm,,,,,,,,,,0.24825 x 0.24825 mm,,,,,,,1.0,1,100 x 100 mm,Y,,N,,,Gold,,,,,,,,,,,,,,6169 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,"VG2239M-LED - ViewSonic VG2239m-LED,  LED monitor - Xpcpro.com",16:9,N,Y,Kensington,,,Black,20000000:1,1000:1,"2.2 "" 56.4 mm",239.6 mm,LCD,250 cd/m²,"22 """,,1920 x 1080 pixels,,,1,,Y,,,Y,"12 "" 304.4 mm",Y 135 mm,418 mm,50/60 Hz,100 - 240 V,,,,Y,,10 - 90 %,32 - 104 °F 0 - 40 °C,Y,0 - 90 °,,,,22 W,,,5 ms,,,,1920 x 1080 HD 1080,,,,N,,-5 - 20 °,N,,1,170 °,160 °,3200 g,4700 g,"512.4 mm 20.2 """,512.4 mm,,,,,,,30000 h,,,,,,W-LED,,,,,100 x 100 mm,Y,,,,,Gold,Y,,,,,,,,,,,Y,2 pcs,,,,0 - 360 °,,,,,,,,,,,,,,,,,,,,,,Y,,24 - 82 kHz,,4 W,,50 - 75 Hz,,,,,,,,,,,,,,Y,,187 mm,483 mm,581 mm,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
N,B1780SD-W1 - Iiyama ProLite B1780SD-1 LED monitor - Xpcpro.com,5:4,N,Y,Kensington,"AC, Audio 3.5mm, DVI, VGA","CE, TÜV-Bauart, VCCI-B, TCO, GOST-R",White,5000000:1,1000:1,230 mm,,LED,250 cd/m²,"17 """,16.77 M,1280 x 1024 pixels,TNFilm,Y,1,Unspecified,Y,,N,Y,399.5 mm,Y,,50/60 Hz,100 - 240 V,,,,Y,Y,,,Y,0 - 90 °,,,0.5 W,14 W,,Y,5 ms,,,,1280 x 1024 SXGA,,-45 - 45 °,Y,N,,-3 - 22 °,N,,1,170 °,160 °,4400 g,,370 mm,,"Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,,,,,,,0.264 x 0.264 mm,,,,,24 - 80 kHz,55 - 75 Hz,,,100 x 100 mm,Y,,,N,,,,,,,,337.9 mm,270.3 mm,,43.18 cm,,,Y,2,,431.8 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,Y,,,9.0,"CHI SIMPL, DEU, DUT, ENG, FRE, JPN, POL, RUS",,,,,,,,,,,,,,Matt,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,E2280WSD-B1 - Iiyama ProLite E2280WSD-B1 LED - Xpcpro.com,16:10,N,Y,Kensington,,,Black,5000000:1,1000:1,204.5 mm,,LCD,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TNFilm,,1,Unspecified,,,,Y,395.5 mm,,,50/60 Hz,100 - 240 V,,,,,,,,,,,,- W,21 W,,,5 ms,,,,Unspecified,,,,N,,-4 - 21 °,N,-,1,178 °,170 °,3600 g,,512.5 mm,,,,,,,,,,0.282 x 0.282 mm,,,,,,,,-,100 x 100 mm,Y,,,,,,N,,,,,473.7 mm,296.1 mm,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,-,24 - 80 kHz,,2 W,,55 - 75 Hz,,,,,,,,,,,,,- kWh,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60003543 - NEC SpectraView Reference 242 LED - Xpcpro.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HDMI mit HDCP, DVI-D, D-Sub 15 pol.",1.920 x 1.200,Wide 15:9/16:9/16:10,,,"61 cm 24""",,,"10,6 kg",340 cd/qm,1000 :1,,,,8 ms,digital/analog,100 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,23MB35PM-B - LG FLATRON 23MB35PM-B LED 58CM23I - Xpcpro.com,16:9,N,Y,N,"Audio 3.5mm, DVI, VGA",,Black,5000000:1,1000:1,61 mm,246 mm,LCD,250 cd/m²,"23 """,16.77 M,1920 x 1080 pixels,IPS,Y,1,Unspecified,Y,,Full HD,Y,335 mm,Y,367 mm,,,,,Y,Y,,,,,,Y,27 W,0.3 W,21 W,,Y,5 ms,,,,1920 x 1080 HD 1080,,,,N,Y,20 - 5 °,N,,1,178 °,178 °,4200 g,4500 g,548 mm,548 mm,,,,,,,,,0.265 x 0.265 mm,,,,,,,,,75 x 75 mm,Y,Y,,,,Gold,,,,,,,,,,,,,2,6400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 W,,,,,,,,,,,,,,,,Y,,202 mm,413 mm,626 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,LS19C45KMRV/EN - Samsung S19C450MRV LED monitor - Xpcpro.com,5:4,N,Y,,,,Black,Mega Contrast,1000:1,55 mm,210 mm,LED,250 cd/m²,"19 """,16.77 M,1280 x 1024 pixels,,Y,,Unspecified,Y,,,N,336 mm,Y,,50/60 Hz,100 - 240 V,,,,,,,,,,,,0.1 W,19 W,,,5 ms,,,,,,-45 - 45 °,Y,,Y,-3 - 25 °,N,,1,170 °,160 °,2950 g,4450 g,407 mm,407 mm,,,,,,,,,0.294 x 0.294 mm,,,,,,,,,100 x 100 mm,Y,Y,,,,Gold,,,,,,,,,,,,,2,6000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,10 - 40 °C,,Y,,447 mm,187 mm,525 mm,,,,10 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,T48MNEU - Lenovo ThinkVision LT1952p - LED monitor - Xpcpro.com,16:10,,No,Kensington,,,Black,,1000:1,171.3 mm,,LED,250 cd/m²,"482.6 mm (19 "")",,1440 x 900 pixels,,,1,,Yes,,,Yes,397.7 mm,110 mm,,,,,,,Yes,,10 - 80 %,0 - 40 °C,No,,,,,,,,5 ms,,,,1440 x 900 (WXGA+),,,,No,,-3 - 20 °,No,,1,170 °,160 °,4300 g,,440.9 mm,,Yes,,,,,255.15 x 408.24 mm,,,0.2835 x 0.2835 mm,,0.5 W,,LED,,,,,100 x 100 mm,Yes,,,,,,No,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,17 W,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45 - 45 °,,,,,,,,,,
,60003681 - NEC MultiSync E243WMI-BK LED monitor - Xpcpro.com,16:9,N,Y,,"Audio 3.5mm, VGA",ENERGY STAR 6.0TCO 6.0EPEAT SilverRoHS,Black,,1000:1,58.5 mm,213.9 mm,LED,250 cd/m²,"23.8 """,16.77 M,1920 x 1080 pixels,IPS,Y,1,Unspecified,Y,,Full HD,Y,331.4 mm,Y,379.6 mm,,,,,Y,,,,,Y,,Y,,0.4 W,19 W,,Y,5 ms,,,,1920 x 1080 HD 1080,,,Y,,,,N,,1,178 °,178 °,4300 g,6300 g,557.8 mm,557.8 mm,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,,,,,,,,,,,W-LED,,,1.0,,100 x 100 mm,Y,,,,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5 - 81.1 kHz,,,,56 - 76 Hz,,,,,,,,,,,,5 - 35 °C,,Y,,,,,,12192 m,2000 m,20 - 80 %,10 - 60 °C,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,10 - 85 %,,,,,,,,,,,,,,
,"P1X15HV0EA1-A3 - Neovo X15w,  LCD monitor 15"",  - Xpcpro.com",,N,N,Kensington,,"UL/CUL,TUV/Baurt, CB, GOST-R, FCC, CE, BSMI, WEEE, RoHS, Vista/Basic",White,,-,155 mm,,TFT,320 cd/m²,"15 """,16.7 M,1024 x 768 pixels,,,1,,Y,,,,359 mm,,,,,,,,,,10 - 90 %,0 - 40 °C,,,Y,,2 W,36 W,,,4 ms,,5 - 95 %,-20 - 60 °C,,,,,,,0 - 20 °,N,,1,140 °,125 °,4800 g,,380 mm,,,,,,,,50000 h,,0.297 x 0.297 mm,,1 W,,,,,,,100 x 100 mm,,,,,,,,,,,,,,,,,,,,7000 g,381 mm,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 60 kHz,,,,56 - 75 Hz,,,,,,,,,,,,,,,,217 mm,445 mm,477 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DCC 2B, DCC/CI",,,,,,,,,,1 x 4-Pin Mini Din S-Video1 x CVBS Jack,"100-240V, 50/60Hz",,,,,,
,"60002794 - NEC MultiSync LCD175M - Monitor  17"" - - Xpcpro.com",,,No,,,,Silver,,1000:1,,,TFT LCD,250 cd/m²,"43.2 cm (17 "")",,1280 x 1024 pixels,,,1,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,5 ms,,,,,,,,,,,No,,1,85 °,85 °,4000 g,6500 g,,,,,,368 x 230 x 408 mm,,,,,0.264 x 0.264 mm,,,,,31.5 - 81.1 kHz,56 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,0.4 W,,,,,,,,,,,,,,,,,,,,,,No,,,,21 W,,,,,0 M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368 x 61 x 320 mm,,,,,,,,,,,,,
N,"24MB65PM-W - LG FLATRON 24MB65PM-W LED 24"" - Xpcpro.com",16:10,N,Y,,,,White,,1000:1,239 mm,,LED,250 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,IPS,Y,1,Unspecified,,,Full HD,Y,395 mm,,,,,,,,,,,,Y,,Y,,,,,,5 ms,,,,1920 x 1200 WUXGA,,15 - 68 °,Y,,Y,,N,,,178 °,178 °,5400 g,,558 mm,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,61 cm,,,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,273P3LPHES/00 - Philips Brilliance P-line - Xpcpro.com,16:9,,Yes,Kensington,,"EnergyStar 5.0, RoHS, EPEAT Gold",Silver,20000000:1,1200:1,65 mm,244 mm,TFT-LCD,300 cd/m²,"685.8 mm (27 "")",16.77 M,1920 x 1080 pixels,,,1,Unspecified,,,,N/A,391 mm,110 mm,528 mm,50/60 Hz,100 - 240 V,,,,Yes,,,0 - 40 °C,Yes,0 - 90 °,Yes,,0.5 W,,,,3.5 ms,,,-20 - 60 °C,Unspecified,,,,N/A,,-5 - 20 °,N/A,3,1,178 °,170 °,6380 g,8740 g,642 mm,642 mm,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,,,Yes,,30000 h,,0.311 x 0.311 mm,,0.3 W,20 - 80 %,,30 - 83 kHz,56 - 75 Hz,,,100 x 100 mm,Yes,,,,,,Yes,,,,,597.6 mm,336.2 mm,,,,,,2 pcs,,686 mm,16.7 W,,,,,,,,,,,,,,,,,,,,,,N/A,,,,20.4 W,,,,,,,,,,"Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion",,,8.0,"CHI (SIMPL),DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,,300 mm,446 mm,750 mm,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO certified, UL/cUL, WEEE",,,,,,,-65 - 65 °,,,,,,,,,,
N,"E2260PQ/BK - AOC e2260Pq  LED monitor 22"" 1680 x - Xpcpro.com",16:10,,Y,Kensington,"AC, Audio 3.5mm, DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Black,50000000:1,1000:1,,244.6 mm,LED,250 cd/m²,"22 """,16.77 M,1680 x 1050 pixels,TN,Y,1,Unspecified,Y,,,Y,,Y,408.3 mm,50/60 Hz,100 - 240 V,Y,,,Y,Y,,,Y,,Y,,0.5 W,19 W,Y,,2 ms,Y,,,1680 x 1050 WSXGA,,,Y,N,Y,-5 - 22 °,,,1,170 °,160 °,,5650 g,507.8 mm,507.8 mm,,,,,,,70000 h,,0.282 x 0.282 mm,,0.5 W,,W-LED,30 - 83 kHz,50 - 76 Hz,1.0,,100 x 100 mm,Y,,N,,,Silver,,,,,,476.64 mm,268.11 mm,,55.9 cm,,,Y,,7220 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413 mm,177 mm,652 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
N,"LS24D391HL/EN - Samsung LED monitor  23.6"" 1920 x - Xpcpro.com",,N,N,,,,White,Mega Contrast,,80.1 mm,209.8 mm,LED,250 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,PLS,N,,A,Y,,,Y,332.5 mm,N,409.2 mm,,,,,,Y,,,,,,Y,,,21 W,,,5 ms,,,,,,,,,Y,,N,,1,178 °,178 °,,3700 g,547.8 mm,547.8 mm,Y,,,,,,,,0.272 x 0.272 mm,,,,,30 - 81 kHz,56 - 75 Hz,,1,,,N,,,,,,,,,,,,Y,59.94 cm,,,,,5000 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,31 kWh,,,132 mm,393 mm,615 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,284E5QHAD/00 - Philips E-line 284E5QHAD LED - Xpcpro.com,16:9,N,Y,Kensington,,"RoHS, Lead-free, Mercury Free","Black, Cherry",20000000:1,3000:1,54 mm,237 mm,LCD,300 cd/m²,"28 """,16.77 M,1920 x 1080 pixels,MVA,N,,Unspecified,Y,,Full HD,Y,390 mm,N,485 mm,50/60 Hz,100 - 240 V,,,Y,Y,Y,,,,,Y,23.18 W,0.5 W,,,,6.5 ms,,,,1920 x 1080 HD 1080,1080p,,,N,Y,-5 - 20 °,N,,1,176 °,176 °,4210 g,4730 g,663 mm,663 mm,Y,,,663 x 485 x 237 mm,Y,,30.000 h,711 x 542 x 116 mm,0.32 x 0.32 mm,23.18 W,0.3 W,,W-LED,,,,1,100 x 100 mm,Y,,,,,Silver,,,Y,,,,,,71.1 cm,,,,2,6600 g,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 83 kHz,,14 W,,56 - 75 Hz,,,,,,,Y,,,,"CHI SIMPL, CHI TR, CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",0 - 40 °C,,,,116 mm,542 mm,711 mm,Y,12192 m,3658 m,20 - 80 %,-20 - 60 °C,,,Y,Y,Y,,,,,,,,,,,,,,,,,,619.8 x 348.6 mm,,,,,,,,,,,,,,,,,,,
N,"P2460PXQ - AOC P2460Pxq LED monitor 24"" 1920 x - Xpcpro.com",16:10,,Y,Kensington,"Audio 3.5mm, DisplayPort, DVI, VGA",CE EuP RoHS TUV-GS TCO 6.0CU ISO9241-307,Black,20000000:1,1000:1,244.6 mm,,LED,250 cd/m²,"24 """,16.77 M,1920 x 1200 pixels,PLS,Y,1,Unspecified,Y,,,Y,553.4 mm,Y,,50/60 Hz,100 - 240 V,,,,Y,,,,Y,,Y,,1 W,24 W,,,5 ms,,,,1920 x 1200 WUXGA,,,Y,,Y,-6.5 - 23 °,,,1,178 °,178 °,6650 g,,558.4 mm,,,,,,,,,,0.269 x 0.269 mm,,0.5 W,,W-LED,30 - 83 kHz,50 - 76 Hz,1.0,,,,,,,,Gold,,,,,,518.4 mm,324 mm,Y,61 cm,,,,2,8580 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 W,,,,,,,,,,,,,,,,,,186 mm,455 mm,680 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2773HS-GB1 - Iiyama ProLite E2773HS-1  LED - Xpcpro.com,16:9,N,Y,Kensington,,,Black,5000000:1,1200:1,239 mm,,LCD,300 cd/m²,"27 """,16.77 M,1920 x 1080 pixels,TNFilm,,1,,Y,,,Y,454.5 mm,N,,50/60 Hz,100 - 240 V,,,,,,,,,,,,,29 W,,,1 ms,,,,,,,,N,,0 - 20 °,N,,1,170 °,160 °,5300 g,,647 mm,,,,,,,,,,0.311 x 0.311 mm,,,,,,,,1,100 x 100 mm,Y,,,,,,Y,,,,,597.9 mm,336.3 mm,,,,,,2 pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 82 kHz,,2 W,,55 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,E2460PQ/BK - AOC Professional E2460PQ  LED monitor - Xpcpro.com,16:9,,Y,Kensington,"AC, Audio 3.5mm, DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Gold, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Black,50000000:1,1000:1,,234.5 mm,LED,250 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,TN,Y,1,Unspecified,Y,,Full HD,Y,,Y,393.6 mm,50/60 Hz,100 - 240 V,Y,,,Y,Y,,,Y,,Y,,0.5 W,22 W,Y,,2 ms,Y,,,1920 x 1080 HD 1080,1080p,,Y,N,Y,-5 - 22 °,,,1,170 °,160 °,,6380 g,565.4 mm,565.4 mm,,,,,,,,,0.276 x 0.276 mm,,0.5 W,,W-LED,30 - 83 kHz,50 - 76 Hz,1.0,,100 x 100 mm,Y,,N,,,Gold,,,,,,531.36 mm,298.89 mm,,61 cm,,,Y,,8230 g,,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187 mm,421 mm,693 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
N,"60A8KAT2EU - Lenovo monitor 24"" ThinkVision LT2423 - Xpcpro.com",16:9,N,Y,Kensington,,"TCO, ULE Gold, RoHS, TUV",Black,500000:1,1000:1,50 mm,,LCD,250 cd/m²,"24 """,16.77 M,1920 x 1080 pixels,TNFilm,N,,Unspecified,Y,,Full HD,,343.7 mm,N,,,,,,,,,,,,,,,,21 W,Y,,5 ms,Y,,,1920 x 1080 HD 1080,,,,N,Y,-5 - 22 °,N,,1,170 °,160 °,3760 g,,567.1 mm,,Y,,,,,,,,,,,,W-LED,,,,1,100 x 100 mm,Y,,,,,Gold,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 W,,,,,,,,,,,,,,0 - 45 °C,,,,,,,,,,10 - 80 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,VG2233-LED - ViewSonic VG2233-LED LED monitor - Xpcpro.com,16:9,N,N,,"AC, VGA",,Black,20000000:1,1000:1,51 mm,204.3 mm,LED,250 cd/m²,"56 cm 21.5 """,,1920 x 1080 pixels,,Y,,Unspecified,,,Full HD,,311.6 mm,Y,361 mm,50/60 Hz,100 - 240 V,,,,Y,,10 - 90 %,0 - 40 °C,Y,0 - 90 °,,,,22 W,,Y,5 ms,,,,"1280 x 1024 SXGA, 1920 x 1080 HD 1080",,0 - 340 °,Y,N,Y,-5 - 25 °,N,,1,170 °,160 °,3090 g,4680 g,505.6 mm,505.6 mm,,,,,Y,,,,,,,,,,,,,100 x 100 mm,Y,,,,,,,,,,,,,,,,,Y,,6030 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,167 mm,393 mm,624 mm,,,,,,,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
