3d compatibility,<page title>,ac power in,aspect ratio,audio input,backlight type,bluetooth,builtin camera,builtin speakers,builtin subwoofer,cable lock slot,cables included,card reader integrated,certification,colour of product,contrast ratio dynamic,contrast ratio typical,depth,display,display brightness,display diagonal,display number of colours,display resolution,display technology,dvid ports quantity,energy efficiency class,energy star certified,ethernet lan,hd type,hdcp,hdmi ports quantity,height,height adjustment,horizontal scan range,input frequency,input voltage,manual,number of loudspeakers,number of osd languages,on screen display osd,on screen display osd languages,operating relative humidity hh,operating temperature tt,pivot,pivot angle,pixel pitch,plug and play,power consumption standby,power consumption typical,power led,quick start guide,response time,separate hv sync,storage relative humidity hh,storage temperature tt,supported graphics resolutions,supported video modes,swivel angle range,swivelling,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,width,compatible memory cards,ethernet lan rj45 ports,full hd,headphone outputs,led backlight,microphone in,package weight,packaging depth,packaging height,packaging width,product type,rms rated power,touch sensitive screen,usb 20 ports quantity,wifi,depth with stand,dimensions w x d x h with stand,display diagonal metric,display srgb,dvi port,effective viewing area,epeat compliance,headphone out,height with stand,mac operating systems supported,mean time between failures mtbf,mobile highdefinition link mhl,nonoperating altitude,onoff switch,operating altitude,package dimensions wxdxh,pc audio in,power consumption active,power consumption max,power consumption off,syncongreen sog,weight with stand,width with stand,windows operating systems supported,digital horizontal frequency,digital vertical frequency,displayports quantity,feet colour,user guide on cdrom,viewable size diagonal,power consumption powersave,standby led,display type,display viewable area hxv,power supply type,touch screen type,touchscreen technology,compliance industry standards,led indicators,quantity,relative humidity,ac adapter included,dcin jack,usb 30 ports quantity,active display area w x h,component video ypbprycbcr in,composite video in,rohs compliance,vga dsub input ports,power consumption average,display surface,compatibility,maximum screen size compatibility,minimum screen size compatibility,number of displays supported,audio output,rotating,usb version,power cord included,dimensions wxdxh,hdmi,headphone connectivity,number of products included,color gamut,omnitapps multitouch compatibility,pictureinpicture,bezel width bottom,bezel width side,bezel width top,power requirements,camera included,linux operating systems supported,ethernet lan data rates,electromagnetic compatibility,megapixel,safety,screen format adjustments,maximum resolution,placement supported,screen saving functions,height adjustment range,maximum weight capacity,pan range,rotation,glass thickness,number of colours,rs232 ports,voltage tolerance,child lock,swivel angle,mini displayport quantity,audio system,usb required,depth max,height max,mounting interface,screen size compatibility,handheld remote control,speakers,swivel webcam,input current,volume control,builtin microphone,current rating,picture enhancement,recyclable material,hdready,connection to pc,video dot rate,native resolution,composite sync,compatible operating systems,security features,viewing angle,glossy display,common interface ci,common interface plus ci,number of simultaneous touchpoints windows 7,usb powered,maximum analog resolution,cable length,interface type,annual energy consumption
,Acer T232HLA - MBE,Yes,16:9,,,,,Yes Yes Yes,,,"AC, USB, VGA AC, USB, VGA",,,Black Black,100000000:1,,3.8 cm,LED,300 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,IPS,,,,,Full HD,,1.0,42 cm,No,,,110 - 220V,,,,,,,,,,,,,20.90W,,,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,,,,,,,1.0,,,178Â°,178Â°,,5.16 kg,57.4 cm,,,,,,,,,,,,,,1.0,,5 cm,,58.4 cm,,,,,,45.5 cm,,,,,,,,,,,,,5.7 kg,57.4 cm,,,,,Silver Silver,,,,,,,,,,,,,,Yes Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Samsung S22C650D - MBE,,16:9,,,,No No No,No No No,,No No,,,,Black Black,Mega Contrast,1000:1,5.545 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,AD-PLS,,Unspecified,Yes,,Full HD,,,30.19 cm,Yes 13 cm,,50/60 Hz,100 - 240V,,,,,,10 - 80%,10 - 40 Â°C,Yes,-1 - 95Â°,0.2655 x 0.2655 mm,,0.3W,38W,,,5 ms,,,,1920 x 1080 (HD 1080),"1080i, 1080p",-45 - 45Â°,,No,,-3 - 25Â°,No No,,100 x 100 mm,1.0,47.664 cm,26.811 cm,170Â°,160Â°,Yes,3.2 kg,50.43 cm,,,,,,,6.15 kg 6.15 kg,18.5 cm 18.5 cm,37.5 cm 37.5 cm,57.7 cm 57.7 cm,,,,2.0,,21 cm,,54.61 cm,,Yes,,Gold,,49.035 cm,,,,,Yes Yes,,,,,,,,4.75 kg,50.43 cm,,,,1.0,,,,28W,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP Compaq L2311c - MBE,,16:9,,,,Yes Yes Yes,No No No,,Yes Yes,,,,Black Black,1000000:1,1000:1,4.95 cm,LCD,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,TN+Film,,,Yes,,Full HD,No,,33.42 cm,13 cm,24 - 94 kHz,50/60 Hz,100 - 240V,,,,,,20 - 80%,5 - 35 Â°C,Yes,,0.265 x 0.265 mm,,1W,38W,,,5 ms,,,,"720 x 400, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,-180 - 180Â°,,No,,-5 - 30Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,53.32 cm,28.68 cm,170Â°,160Â°,Yes,6.55 kg,55.51 cm,,1.0,,1.0,,Yes,,,,,,,,2.0,,,551.5 x 249.4 x 467 mm,58.42 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEC MultiSync V552 - MBE,,16:9,,,,,Yes,,,,,CE; TÃœV GS; C-tick; Energy Star 5.1; FCC; UL/C-UL of+F101 CSA; PSB; VCCI,Black,,3500:1,6.35 cm,,450 cd/mÂ²,"139.7 cm (55"")",16.77M,1920 x 1080 pixels,,2.0,,Yes,Yes,Full HD,Yes,1.0,72.05 cm,,31.5 - 91.1 kHz,,,,,,,,20 - 80%,5 - 40 Â°C,,,,Yes,0.5W,61W,,,8 ms,,10 - 90%,-20 - 60 Â°C,"720 x 400, 720 x 576, 1280 x 960, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 768 (WXGA), 1280 x 800 (WXGA), 1360 x 768 (WXGA), 1400 x 1050 (SXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)","1080i, 1080p, 480p, 576p, 720i, 720p",,,No,,,No,25.2 - 85 Hz,300 x 300 mm,,,,178Â°,178Â°,Yes,26500g,124.97 cm,,1.0,,,,,,,,,,20W,No,,,,,139.7 cm,,Yes,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,LED,,,,,,,,,,,,1209.6 x 680.4 mm,1.0,1.0,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Everyday G196HQLbm - MBE,Yes,16:9,,,,No No No,No No No,,,"AC, VGA AC, VGA",,MPR II,Black Black,100000000:1,,16.92 cm,LCD,200 cd/mÂ²,"46.99 cm (18.5"")",16.77M,1366 x 768 pixels,,,Unspecified,,,Full HD,No,,32.74 cm,,,,110 - 220V,,,,,,,,,,,,0.45W,15W,Yes Yes,,5 ms,,,,1366 x 768,,,,No,,,No No,,,1.0,,,90Â°,65Â°,,1.7 kg,44.63 cm,,,,,,,,,,,,,,,,,,47 cm,,No,,,,,,,,,Yes Yes,,,,,,0.4W,,2.2 kg,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips LCD monitor with SmartImage lite 234E5QDAB - MBE,,16:9,,W-LED,,No No No,Yes Yes Yes,,Kensington Kensington,,,RoHS,Black Black,20000000:1,1000:1,4.5 cm,LED,250 cd/mÂ²,"58.42 cm (23"")",16.77M,1920 x 1080 pixels,AH-IPS,1.0,Unspecified,Yes,,Full HD,Yes,1.0,32.5 cm,No,30 - 83 kHz,50/60 Hz,100 - 240V,,2 2 2,22 22,Yes Yes,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,0 - 40 Â°C,,,0.265 x 0.265 mm,Yes Yes,0.5W,19.39W,,,5 ms,Yes,,-20 - 60 Â°C,1920 x 1080 (HD 1080),1080p,,,No,Yes,-5 - 20Â°,No No,56 - 75 Hz,100 x 100 mm,1.0,50.918 cm,28.641 cm,178Â°,178Â°,Yes,3.11 kg,53.2 cm,,,,1.0,,,5.16 kg 5.16 kg,10.5 cm 10.5 cm,47.5 cm 47.5 cm,57.7 cm 57.7 cm,,10W 10W 10W,,,,21.3 cm,,58.4 cm,Yes,Yes,,Silver,,41.4 cm,Yes Yes,30000h 30000h,Yes,0 - 12192m,,0 - 3658m,,Yes,,,0.3W,Yes,3.46 kg,53.2 cm,Yes Yes,,,,,,,,,,,,,,"BSMI, CE Mark, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ ISO9241-307, WEEE","Operation, Stand-by Operation, Stand-by",,20 - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips Brilliance LCD monitor with PowerSensor 240B4LPYNS - MBE,,16:10,,W-LED,No,No No No,No No No,,Kensington Kensington,,,RoHS,Silver Silver,20000000:1,1000:1,6.5 cm,LCD,250 cd/mÂ²,"60.96 cm (24"")",16.77M,1920 x 1200 pixels,,1.0,,Yes,,Full HD,Yes,,38.8 cm,Yes 11 cm,24 - 94 kHz,50/60 Hz,100 - 240V,,,8 8,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS, TUR",20 - 80%,0 - 40 Â°C,Yes,0 - 90Â°,0.270 x 0.270 mm,,0.2W,19.5W,Yes Yes,,5 ms,Yes,,-20 - 60 Â°C,1920 x 1200 (WUXGA),,-65 - 65Â°,Yes,No,Yes,-5 - 20Â°,No No,48 - 85 Hz,100 x 100 mm,1.0,51.81 cm,32.4 cm,160Â°,160Â°,Yes,3.97 kg,55.5 cm,,,,,,,8.56 kg 8.56 kg,18 cm 18 cm,48.7 cm 48.7 cm,61.5 cm 61.5 cm,,,,2.0,No,22.7 cm,555 x 543 x 227 mm,61 cm,Yes,,,Gold,,54.3 cm,Yes Yes,30.000h 30.000h,,,,0 - 3658m,615 x 487 x 180 mm,,,19.5W,,Yes,5.83 kg,55.5 cm,Yes Yes,,,1.0,,,,13.4W,Yes Yes,,518.4 x 324 mm 518.4 x 324 mm,,,,,Yes Yes,,,,,,,,,,,19.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC E2461FWH LED display - MBE,Yes,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,"AC, Audio (3.5mm), HDMI, VGA AC, Audio (3.5mm), HDMI, VGA",,"cCSAus, CE, EuP, FCC, GOST, ISO, RoHS, TCO, TÃœV-Bauart",Black Black,50000000:1,1000:1,21.4 cm,LED,250 cd/mÂ²,"59.94 cm (23.6"")",16.77M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,Yes,1.0,40.05 cm,No,,50/60 Hz,90 - 240V,,,,,,,,,,0.2715 x 0.2715 mm,,0.3W,17.3W,Yes Yes,,2 ms,,,,1920 x 1080 (HD 1080),,,,No,,-3 - 18Â°,No No,,75 x 75 mm,1.0,,,170Â°,160Â°,Yes,2.6 kg,54.54 cm,,,,,,,3.18 kg 3.18 kg,,,,,,,,,,,59.9 cm,,,,Silver,,,,,,,,,,,,,0.2W,,,,,30 - 83 kHz,55 - 75 Hz,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iiyama ProLite E2773HS-GB1 - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,,,,Black Black,5000000:1,1200:1,23.9 cm,LCD,300 cd/mÂ²,"68.58 cm (27"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,,Yes,,Full HD,Yes,1.0,45.45 cm,No,24 - 82 kHz,50/60 Hz,100 - 240V,,2 2 2,,,,,,,,0.311 x 0.311 mm,,,29W,,,1 ms,Yes,,,,,,,No,,0 - 20Â°,No No,55 - 76 Hz,100 x 100 mm,1.0,59.79 cm,33.63 cm,170Â°,160Â°,Yes,5.3 kg,64.7 cm,,,,,,,,,,,,2W 2W 2W,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC e2070Swn 19.5 LED 1600x900 VGA Black - MBE,,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,,,"CE, FCC, GOST, RoHS, EuP, NRTL",Black Black,20000000:1,800:1,,LED,200 cd/mÂ²,"49.53 cm (19.5"")",16.77M,1600 x 900 pixels,TN+Film,,,Yes,,,No,,,No,30 - 83 kHz,50/60 Hz,90 - 240V,,,,,,,,No,,0.27 x 0.27 mm,,0.5W,18W,,,5 ms,,,,1600 x 900,,,No,No,Yes,-5 - 15Â°,No No,55 - 75 Hz,100 x 100 mm,1.0,43.2 cm,23.98 cm,90Â°,50Â°,Yes,,,,,,,,,,,,,,,,,,15.6 cm,,49.5 cm,,No,,Silver,,34.635 cm,,,,,,,,,,,0.3W,,2.27 kg,46.463 cm,,,,,,,49.5 cm,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP A1X79AA flat panel desk mount - MBE,,,,,,,,,,,,,Black Black,,,22.5 cm,,,,,,,,,,,,,,16.79 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 x 75 mm,,,,,,,1 kg,19.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L6010,"26.42 cm (10.4"")","26.42 cm (10.4"")",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lenovo ThinkVision LT2223z - MBE,Yes,16:9,Yes,,,Yes Yes Yes,Yes Yes Yes,,,"AC, USB, VGA AC, USB, VGA",,"TUV Green Mark, UL Environment Gold",,2000000:1,1000:1,5.637 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,,Full HD,,1.0,,Yes 11 cm,,47-63 Hz,,Yes Yes,2 2 2,8 8,Yes Yes,,10 - 80%,0 - 40 Â°C,Yes,0 - 90Â°,0.248 x 0.248 mm,,,17W,Yes Yes,Yes Yes,5 ms,,5 - 95%,-20 - 60 Â°C,"640 x 350, 720 x 400, 832 x 624, 1366 x 768, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,Yes,,,5 - 30Â°,,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,5.43 kg,51.264 cm,,,,,,,7.49 kg 7.49 kg,21 cm 21 cm,41.7 cm 41.7 cm,59.1 cm 59.1 cm,,6W 6W 6W,,,,21.842 cm,,,,,,Gold,,37.936 cm,,,,,,,,,,36W,1W,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP Z27i - MBE,,16:9,,,No,No No No,No No No,,Yes Yes,"AC, DisplayPort, DVI, USB AC, DisplayPort, DVI, USB",,,Black Black,5000000:1,1000:1,6.55 cm,LCD,350 cd/mÂ²,"68.58 cm (27"")",,2560 x 1440 pixels,IPS,1.0,Unspecified,Yes,No,,Yes,1.0,37.92 cm,Yes 12 cm,24 - 94 kHz,50/60 Hz,100 - 240V,,,,,,20 - 80%,5 - 35 Â°C,Yes,0 - 90Â°,0.233 x 0.233 mm,Yes Yes,0.5W,60W,,,8 ms,,5 - 95%,-20 - 60 Â°C,"720 x 400, 2560 x 1440, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1280 x 800 (WXGA), 1440 x 900 (WXGA+), 1600 x 1200 (UXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA), 640 x 480 (VGA), 800 x 600 (SVGA)",,-45 - 45Â°,Yes,No,Yes,-5 - 20Â°,No No,50 - 76 Hz,,1.0,,,178Â°,178Â°,Yes,,64.1 cm,,,,,,,,,,,,,,,No,24.24 cm,,68.58 cm,,Yes,,Gold,,42.04 cm,,,,,,,,,,75W,,,7.6 kg,64.1 cm,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP DreamColor Z24x - MBE,,16:10,,,,No No No,No No No,,Yes Yes,,,,Black Black,5000000:1,1000:1,6.65 cm,LCD,350 cd/mÂ²,"60.96 cm (24"")",1070M,1920 x 1200 pixels,,1.0,Unspecified,Yes,,,Yes,1.0,36.5 cm,12 cm Yes,,,,,,,,,,,Yes,,0.27 x 0.27 mm,,0.5W,58W,,,12 ms,,,,,,-45 - 45Â°,Yes,No,Yes,-5 - 20Â°,No No,,,,52 cm,32.56 cm,178Â°,178Â°,Yes,6.98 kg,55.94 cm,,,,,,,,,,,,,,2.0,,23.8 cm,,61 cm,,Yes,,,,52.5 cm,,,,,,,,,,,,,,55.94 cm,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Acer Essential 196Lb - MBE,Yes,5:4,,,,No No No,No No No,,,VGA VGA,,TCO 6.0,Black Black,100000000:1,,5.2 cm,LED,250 cd/mÂ²,"48.26 cm (19"")",16.77M,1280 x 1024 pixels,,,Unspecified,,,No,No,,33.7 cm,No,,,,,,,Yes Yes,,,,,,,,0.45W,15.8W,,,5 ms,,,,1280 x 1024 (SXGA),,,,No,,,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,2.7 kg,40.64 cm,,,,,,,,,,,,,,,,20.7 cm,,48.3 cm,,No,,Gold,,40.8 cm,,,,,,,,,,,0.35W,,3.1 kg,40.64 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP V241a - MBE,,16:9,,,,No No No,No No No,,Yes Yes,,,,Black Black,1000:1,,4.69 cm,LED,250 cd/mÂ²,"59.94 cm (23.6"")",,1920 x 1080 pixels,,1.0,Unspecified,Yes,,Full HD,Yes,,34.77 cm,No,,,90 - 240V,,,,,,20 - 80%,5 - 35 Â°C,,,0.2715 x 0.2715 mm,Yes Yes,0.5W,26W,,,5 ms,,,,"720 x 400, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,No,,,No No,,,1.0,,,170Â°,160Â°,,,56.33 cm,,,,,,,,,,,,,,,,20.41 cm,,59.94 cm,,Yes,,,,41.24 cm,,,,,,,,,,30W,,,4 kg,56.33 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Benq GW2765HT - MBE,Yes,16:9,Yes,,,No No No,Yes Yes Yes,No No No,Kensington Kensington,"DisplayPort, HDMI, VGA DisplayPort, HDMI, VGA",,,Black Black,20000000:1,1000:1,,LED,350 cd/mÂ²,"68.58 cm (27"")",1070M,2560 x 1440 pixels,IPS,,Unspecified,Yes,,Full HD,Yes,1.0,,13 cm Yes,,,90 - 264V,,2 2 2,17 17,Yes Yes,,,,,,0.2331 x 0.2331 mm,,,32W,,,4 ms,,,,2560 x 1440,,-160 - 160Â°,Yes,No,Yes,-5 - 20Â°,No No,,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,,,,,,1.0,,,9 kg 9 kg,,,,,2W 2W 2W,,,,22.4 cm,,,Yes,Yes,,,Yes,48.7 cm,,,,,,,,,,,,,6.9 kg,74.8 cm,"Windows 8, Windows 8.1 Windows 8, Windows 8.1",,,1.0,,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Asus VE228HR 22 Widescreen LED Multimedia Monitor - Black - MBE,,16:9,,,,No No No,Yes Yes Yes,,Kensington Kensington,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,"EL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, WEEE",Black Black,80000000:1,1000:1,5.7 cm,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,TN+Film,1.0,,Yes,,Full HD,Yes,1.0,30.6 cm,No,30 - 83 kHz,,,,2 2 2,,,,,,,,0.248 x 0.248 mm,,,30W,Yes Yes,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),1080p,,,No,,-5 - 20Â°,No No,50 - 76 Hz,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,,51.284 cm,,,,1.0,,,6.1 kg 6.1 kg,14.8 cm 14.8 cm,46.8 cm 46.8 cm,57.6 cm 57.6 cm,,2W 2W 2W,,,,20.1 cm,512.84 x 201 x 385.96 mm,54.6 cm,,,,,,38.596 cm,,,,,Yes Yes,,576 x 148 x 468 mm,Yes,,,,,4.1 kg,51.284 cm,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",30 - 83 kHz,50 - 76 Hz,,,,,1W,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.84 x 57 x 306 mm,Yes Yes,3.5 mm,1 pc(s) 1 pc(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS VS228HR 21.5 Full HD LCD screen - MBE,,16:9,,,,No No No,,,Kensington Kensington,"DVI, VGA DVI, VGA",,,Black Black,5000000:1,,,LED,250 cd/mÂ²,"54.61 cm (21.5"")",16.77M,1920 x 1080 pixels,,1.0,Unspecified,Yes,,Full HD,Yes,1.0,,,,,,,,,,,,,,,0.248 x 0.248 mm,,,21.1W,,Yes Yes,5 ms,,,,1920 x 1080 (HD 1080),,,,,,,No No,,100 x 100 mm,1.0,,,170Â°,160Â°,Yes,3.8 kg,,,,,,,,,,,,,,,,,20 cm,,54.6 cm,,Yes,,Gold,,38.63 cm,,,,,,,,,,,0.5W,,5.9 kg,51.41 cm,,,,,,,,0.5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips LCD monitor with SmartImage lite 244E5QHSD - MBE,,16:9,,W-LED,,No No No,No No No,,Kensington Kensington,,,,"Black, Cherry Black, Cherry",20000000:1,1000:1,4.5 cm,LCD,250 cd/mÂ²,"60.45 cm (23.8"")",16.77M,1920 x 1080 pixels,,,,Yes,,Full HD,Yes,2.0,33.8 cm,No,,50/60 Hz,100 - 240V,,,21 21,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",20 - 80%,0 - 40 Â°C,,,0.2745 x 0.2745 mm,Yes Yes,0.5W,18.2W,,,5 ms,Yes,,-20 - 60 Â°C,,,,,,Yes,-5 - 20Â°,No No,,100 x 100 mm,1.0,,,178Â°,178Â°,Yes,3.44 kg,55.7 cm,,,,,,,5.34 kg 5.34 kg,9.9 cm 9.9 cm,47.8 cm 47.8 cm,59.9 cm 59.9 cm,,,,,,21.3 cm,,60.5 cm,Yes,,,Silver,,42.8 cm,,30.000h 30.000h,Yes,,,,,,,,0.3W,Yes,3.8 kg,55.7 cm,,30 - 83 kHz,56 - 75 Hz,,,,,,,,,,,,,"Operation, Stand-by Operation, Stand-by",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
