<page title>,ac power in,altezza,altezza con supporto,altezza imballo,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,consumi,consumi modalità spento,consumi modalità standby,dimensioni schermo,dot pitch,formato,fotocamera integrata,guida rapida,hdcp,inclinazione,inclinazione regolabile,indicatore led alimentazione,interruttore integrato,intervallo di scansione verticale,larghezza,larghezza con supporto,larghezza imballo,led standby,luminosità schermo,manuale dellutente,modalità video supportate,montabile a parete,peso,peso incluso imballo,peso prodotto con supporto,plug play,porta dvi,profondità,profondità con supporto,profondità imballo,quantità porte vga dsub,range di scansione orizzontale,rapporto di contrasto,rapporto di contrasto dinamico,risoluzione,risoluzioni grafiche supportate,sintonizzatore tv integrato,sistema operativo windows supportato,tecnologia display,tempo di risposta,thin client installato,thin client thin client installato no,tipologia display,tipologia hd,voltaggio di ingresso,angolo di rotazione,certificazione energy star,conformità epeat,girevole,pivot angle,quantità displayports,quantità porte dvid,quantità porte usb 20,regolazione altezza,rotazione,source datasheet,thin client thin client installato n,altoparlante cuffia spinotto di uscita,area di visualizzazione effettiva,consumi modalità risparmio energetico,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,ingresso audio per pc,intervallo di temperatura,intervallo temperatura di funzionamento,lingue osd,mtbf,numero di altoparlanti,on screen display osd,potenza in uscita rms,schermo srgb,sync hv separato,syncongreen sog,umidità relativa,dimensioni schermo cm,mobile highdefinition link mhl,altre caratteristiche source datasheet,bluetooth,collegamento ethernet lan,colore del piede,dimensione visibile orizzontale,dimensione visibile verticale,guida utente su cdrom,indicatori led,lettore di schede integrato,quantità porte hdmi,range di umidità di funzionamento,wifi,cavo alimentazione incluso,dimensione visibile diagonale,thin client,tipologia di retroilluminazione,connessione wlan,dot rate video,microfono spinotto dingresso,tipi schede di memoria,alimentazione,angolo visuale,dimensioni imballo lxpxa,dimensioni lxpxa,conforme agli standard,consumi modalità attivo,consumo energetico max,ingresso audio,materiale riciclabile,connessione cuffia,quantità porte usb 30,subwoofer incorporato,uscita audio,performance,design colore del prodotto nero,altitudine di funzionamento,altitudine di nonfunzionamento,lunghezza cavo,numero di lingue osd,umidità,microfono incorporato,display surface,sistema operativo linux supportato,compatibilità sistema operativo mac,condizioni ambientali,dimensioni lxpxa con base,compatibilità elettromagnetica,sicurezza,certificati di sicurezza certificazione energy star si,numero di prodotti inclusi,quantità,hdmi,contenuto dellimballo cavi inclusi ac vga,adattatore acdc,pictureinpicture,funzione risparmio,miglioramento dellimmagine,posizionamento supportato,risoluzione massima,certificati di sicurezza,dcin jack,altre caratteristiche quantità 1 source datasheet,megapixel,interfaccia comune,cable lock slot type,capacità totale hard disk,famiglia processore,full hd,intel antitheft technology,intel hyperthreading technology,intel identity protection technology,intel my wifi technology,intel rapid start technology,intel small business advantage sba,intel smart connect technology,intel smart response technology,intel turbo boost technology,intel visual technologies,intel vpro technology,intel wireless display technology,megapixel totali,mouse incluso,numero di core del processore,processore,quantità porte ethernet lan rj45,ram installata,retroilluminazione a led,sistema operativo incluso,supporto di memoria,tecnologia touch,tipo di ram,touch screen,velocità processore,controllo del volume,consumo energia modalità economica,convenienza,dimensioni altoparlante centrale l x a x p,ingresso segnale,materiali della confezione riciclabili,peso contenzione inclusa,peso schermo con supporto,prodotto senza piedistallo kg,regulatory approvals,risoluzione consigliata,segnale ingresso sincronizz video,smartcontrast,specificazioni ambientali,supporto lingue,networking connessione wlan n collegamento ethernet lan n,tipo di prodotto,common interface plus ci,webcam girevole,altre caratteristiche,colore,connessioni audio,mhl specification,smartresponse
Aoc AOC A2472PW4T A2472PW4T BK Planet Computer.it,,"37,937 cm",,,Si,,,Si,"AC, HDMI, USB",,,Nero,,,,,,,"59,94 cm (23.6"")",,16:9,Si,,,15 - 57°,,,,,"60,673 cm",,,,250 cd/m²,,,,6 kg,"8,5 kg",,,No,"4,94 cm",,,1.0,,,,1920 x 1080 Pixels,,,,,,,,,,,,Si,,,,,,2.0,,,,,,,,,,,,,,,,,,4W,,,,,,,,Si,Si,,,,,,Si,1.0,,Si,,,,,,,Si,SDHC,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,"Gestione energetica
Adattatore di voltaggio input AC 100 - 240V
Adattatore di frequenza AC 50/60 Hz
Adattatore dissipazione di potenza AC 65W",,,,,,,,,,,,Si,,,,Kensington,8 GB,NVIDIA Tegra,Si,No,No,No,No,No,No,No,No,No,No,No,No,"1,0 MP",No,4.0,T33,1.0,2 GB,Si,Android 4.2,Flash,Dual-touch,DDR3-SDRAM,Si,"1,6 GHz",,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP EliteDisplay E271i D7Z72AT ABB Planet Computer.it,,387.3 mm,532.1 mm,,N,178 °,178 °,Kensington,AC,"CE, CB ,KC, KCC, NOM, PSB, ICE, TUV-S, CCC, CEL Grade 1, CECP, SEPA, TCO, EPA, ISC, VCCI ,FCC, BSMI",Non specificato,Nero,16.77 M,,N,35 W,,0.5 W,68.58 cm,,16:9,N,Si,Si,-5 - 30 °,Si,Si,Si,,642 mm,642 mm,,Si,250 cd/m²,Si,1080p,,4.9 kg,,7.7 kg,Si,Si,52.2 mm,278.5 mm,,1.0,,1000:1,5000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,IPS,7 ms,N,,LED,Full HD,100 - 240 V,0 - 360 °,Si,,Si,0 - 90 °,,1.0,3.0,Si 150 mm,Si,.,,,,,50/60 Hz,,,,-20 - 60 °C,5 - 35 °C,,,,Si,,,,,,,,"Dimensioni e peso
Profondità (con supporto) 278.5 mm
Altezza (con supporto) 532.1 mm
Larghezza (con supporto) 642 mm
Peso prodotto con supporto 7.7 kg
Profondità 52.2 mm
Larghezza 642 mm
Altezza 387.3 mm
Peso 4.9 kg",,N,,,,,Si,,,20 - 80 %,,,,,,N,,,,,,,,,,40 W,,,,,,,,,,,,,5 - 90 %,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 274E5QHAW 274E5QHAW 00 Planet Computer.it,Si,375 mm,470 mm,546 mm,Si,178 °,178 °,Kensington,,"RoHS, Lead-free, Mercury Free",Non specificato,Bianco,16.77 M,100 x 100 mm,,25.6 W,0.3 W,0.5 W,68.6 cm,0.311 x 0.311 mm,16:9,,,,,Si,,Si,56 - 75 Hz,622 mm,622 mm,667 mm,,250 cd/m²,,,Si,4.88 kg,7.14 kg,5.1 kg,Si,,46 mm,237 mm,106 mm,1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,,,,IPS,5 ms,,,LED,Full HD,100 - 240 V,,Si,Argento,,,,,,,,.,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30.000 h,2.0,Si,12 W,Si,Si,Si,,,Si,,,,,597.89 mm,336.31 mm,,"Operation, Stand-by",,2.0,20 - 80 %,,,,,W-LED,,,,,,,,,"BSMI, CE Mark, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV/ISO9241-307, WEEE",,,,,,,,,MTBF 30.000 h,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,"Display
Risoluzione 1920 x 1080 Pixels
Luminosità schermo 250 cd/m²
Dimensioni schermo 68.6 cm
Colori del display 16.77 M
Dimensione visibile, verticale 336.31 mm
Dimensione visibile, orizzontale 597.89 mm
Intervallo di scansione verticale 56 - 75 Hz
Tipologia display LED
Formato 16:9
Angolo di visualizzazione (verticale) 178 °
Angolo di visualizzazione (orizzontale) 178 °
Range di scansione orizzontale 30 - 83 kHz
Rapporto di contrasto 1000:1
Dot Pitch 0.311 x 0.311 mm
Sync H/V separato Si
Sync-on-green (SOG) Si
Schermo sRGB Si
Rapporto di contrasto (dinamico) 20000000:1
Tipologia di retroilluminazione W-LED
Tecnologia display IPS
Tipologia HD Full HD
Mobile High-Definition Link (MHL) Si
Tempo di risposta 5 ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP ProDisplay P221 C9E49AT ABB Planet Computer.it,,,,,,170 °,160 °,,,,,,16.77 M,,N,,,,54.6 cm,0.248 x 0.248 mm,16:9,,,Si,,,,,,,,,,250 cd/m²,,1080p,,,,,,,,,,,,1000:1,3000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2451FH E2451FH Planet Computer.it,,,,,,170 °,160 °,,,,,,16.77 M,,N,,,,"609.6 mm (24 "")",0.27675 x 0.27675 mm,16:9,,,Si,,,,,50 - 76 Hz,,,,,250 cd/m²,,,,,,,,,,,,,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,2 ms,,,LCD,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC A2272PWH BK monitor touch screen A2272PWH BK Planet Computer.it,,,,,,170°,160°,,,,,,,,No,,,,"54,6 cm","0,248 x 0,248 mm",16:9,,,,15 - 57°,,,,50 - 75 Hz,,,,,250 cd/m²,,1080p,,,,,,,,,,,30 - 83 kHz,1000:1,50000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,,,2 ms,,,TN+Film,,,,,,,,,,,,,,,,"476,64 x 268,11 mm",,,30 - 83 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,6 cm",,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Lenovo ThinkVision LT1953 T45HNIT Planet Computer.it,Si,353.98 mm,,,N,170 °,160 °,Kensington,,"RoHS, UL, IEC, NEMKO, TUV-GS, CCC, BSMI, NOM, ICCP, GOST, SISIR, ISC, JEITA, KS, FCC, IC, CE, VCCI",Non specificato,Nero,16.77 M,100 x 100 mm,N,17 W,05 W,0.5 W,"482.6 mm (19 "")",0.2835 x 0.2835 mm,16:10,N,,Si,-5 - 22 °,Si,Si,Si,,443 mm,,510 mm,Si,250 cd/m²,,,Si,3 kg,4.93 kg,,,,50.5 mm,,160 mm,1.0,,1000:1,10000000:1,1440 x 900 Pixels,"640 x 350, 720 x 400, 832 x 624, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",TN+Film,5 ms,N,,LCD,,96 - 264 V,,Si,Oro,,,,1.0,,N,,.,"Altre caratteristiche
Source data-sheet .
Numero di prodotti inclusi 1 pezzi",,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,,,Si,,,Si,,,,,,,,,408 mm,255 mm,,,,,10 - 80 %,,,,,,,,,,,,,,,,20 W,,,,,,,,"Condizioni ambientali
Altitudine di non-funzionamento 0 - 12192 m
Umidità 5 - 95 %
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 10 - 80 %
Altitudine di funzionamento 0 - 2438 m",0 - 2438 m,0 - 12192 m,,8.0,5 - 95 %,,,,,,,,,,1 pezzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips Brilliance C240P4QPYEW C240P4QPYEW 00 Planet Computer.it,,388 mm,550 mm,457 mm,Si,178 °,178 °,Kensington,,"EC/EN60601-1-2, CE JIS Z2801, TUV/GS, TUV Ergo, TCO 6.0",Non specificato,Bianco,16.77 M,100 x 100 mm,N,17.4 W,,0.4 W,61 cm,0.270 x 0.270 mm,16:10,N,Si,Si,-5 - 20 °,Si,Si,Si,48 - 85 Hz,555 mm,555 mm,632 mm,Si,300 cd/m²,Si,,Si,4.64 kg,9.8 kg,6.97 kg,Si,Si,65 mm,244 mm,286 mm,1.0,24 - 94 kHz,1000:1,,1920 x 1200 Pixels,1920 x 1200 (WUXGA),N,Si,IPS,14 ms,N,,LED,,100 - 240 V,-65 - 65 °,Si,Oro,Si,0 - 90 °,1.0,1.0,4.0,130 mm Si,Si,.,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,30000 h,2.0,Si,4 W,Si,Si,Si,,,,"Thin Client
Thin client installato N",,N,,518.4 mm,324 mm,,Si,,,20 - 80 %,,,,,W-LED,N,,,,,,,,,,,,,,,,,,,0 - 3658 m,0 - 12192 m,,,10 - 80 %,,,,,,,,"RoHS, WEEE, EC/EN60601-1, CE, GOST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 240P4QPYES 240P4QPYES 00 Planet Computer.it,Si,388 mm,550 mm,457 mm,Si,178 °,178 °,Kensington,,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",Non specificato,Argento,16.77 M,100 x 100 mm,N,7.1 W,,0.2 W,61 cm,0.270 x 0.270 mm,16:10,N,,Si,-5 - 20 °,Si,Si,Si,,555 mm,555 mm,632 mm,Si,300 cd/m²,,,Si,4.64 kg,9.8 kg,6.97 kg,Si,Si,65 mm,244 mm,286 mm,1.0,,1000:1,20000000:1,1920 x 1200 Pixels,1920 x 1200 (WUXGA),N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",IPS,14 ms,N,,LED,Full HD,100 - 240 V,-65 - 65 °,Si,Oro,Si,0 - 90 °,1.0,1.0,4.0,130 mm Si,Si,.,,1,518.4 x 324 mm,14 W,50/60 Hz,24 - 94 kHz,48 - 85 Hz,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",30000 h,2.0,Si,3 W,Si,Si,Si,,,,,N,N,Nero,518.4 mm,324 mm,,Si,,,20 - 80 %,,,610 mm,,W-LED,N,,,,,,632 x 286 x 457 mm,,,,,,25 %,,,N,,,,0 - 3658 m,0 - 12192 m,,8.0,,,,,,"Altitudine di non-funzionamento 0 - 12192 m
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %
Altitudine di funzionamento 0 - 3658 m",555 x 244 x 550 mm,,,,,,,,,N,,SmartImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digitale,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 246V5LHAB 246V5LHAB 00 Planet Computer.it,Si,354 mm,435 mm,446 mm,Si,170 °,160 °,Kensington,AC,"BSMI, CE Mark, cETLus, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV/ISO9241-307, WEEE",Non specificato,Nero,16.77 M,100 x 100 mm,N,21.75 W,0.5 W,0.3 W,61 cm,0.277 x 0.277 mm,16:9,N,Si,Si,-5 - 20 °,Si,Si,Si,56 - 75 Hz,565 mm,565 mm,613 mm,Si,250 cd/m²,Si,1080p,Si,4.22 kg,6.05 kg,4.65 kg,Si,N,63 mm,238 mm,131 mm,1.0,30 - 83 kHz,1000:1,10000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,Si,,5 ms,N,,LED,Full HD,100 - 240 V,,Si,Argento,,,,,,,,.,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,,30000 h,2.0,Si,4 W,Si,Si,Si,,,,"Thin Client
Thin client installato N",N,N,,531.36 mm,298.89 mm,,Si,,1.0,20 - 80 %,,,,,W-LED,N,,,,,,,,,,,,,3.5 mm,,,,,"Dimensioni e peso
Profondità 63 mm
Larghezza 565 mm
Altezza 354 mm
Peso incluso imballo 6.05 kg
Peso 4.22 kg
Peso prodotto con supporto 4.65 kg
Profondità imballo 131 mm
Altezza imballo 446 mm
Larghezza imballo 613 mm
Larghezza (con supporto) 565 mm
Altezza (con supporto) 435 mm
Profondità (con supporto) 238 mm",0 - 3658 m,0 - 12192 m,,,,,,Si,,,,,RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 242G5DJEB 242G5DJEB 00 Planet Computer.it,,"35,4 cm","51,7 cm","42,2 cm",No,170°,160°,Kensington,,"BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TCO, TUV Ergo, TUV/GS, cETLus",Non specificato,Nero,"16,77M",100 x 100 mm,No,"18,58W","0,3W","0,5W",61 cm,"0,277 x 0,277 mm",16:9,No,Si,Si,-5 - 20°,Si,Si,,56 - 120 Hz,"56,5 cm","56,5 cm","63,1 cm",Si,350 cd/m²,Si,1080p,Si,"4,13 kg","8,84 kg","6,27 kg",Si,Si,"6,3 cm",22 cm,"28,7 cm",1.0,30 - 140 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),No,Si,TN+Film,5 ms,No,,LED,Full HD,100 - 240V,-65 - 65°,Si,Argento,Si,0 - 90°,1.0,1.0,,13 cm Si,Si,,,,,,50/60 Hz,,,,-20 - 60 °C,0 - 40 °C,,30000h,,Si,,Si,Si,Si,,,Si,"Thin Client
Thin client installato No",,No,,"53,136 cm","29,889 cm",,Si,,1.0,20 - 80%,,,,,W-LED,No,,,,,,,,,,,,,,4.0,,,,"Multimedia
Sintonizzatore TV integrato No
Altoparlanti incorporati No
Fotocamera integrata No",0 - 3658m,0 - 12192m,,,10 - 80%,,,Si,,,,,"RoHS, WEEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 224E5QDAB 00 224E5QDAB 00 Planet Computer.it,,"30,6 cm","39,4 cm","46,6 cm",Si,178°,178°,Kensington,AC,,Non specificato,Nero,"16,77M",100 x 100 mm,N,"17,46W","0,5W","0,5W","54,6 cm","0,248 x 0,248 mm",16:9,N,,Si,-5 - 20°,Si,,,56 - 75 Hz,50 cm,50 cm,"56,2 cm",,250 cd/m²,,1080p,Si,"2,82 kg","5,01 kg","3,14 kg",Si,Si,"4,7 cm","21,3 cm","10,6 cm",1.0,30 - 83 kHz,1000:1,20000000:1,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8",LCD,5 ms,N,,LCD,Full HD,100 - 240V,,Si,Argento,,,,1.0,,,Si,,,1,,,50/60 Hz,,,Si,-20 - 60 °C,0 - 40 °C,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",30000h,2.0,Si,10W,,Si,Si,20 - 80%,,Si,,,,,,,,"Operation, Stand-by",,1.0,,,,,Thin client installato N,W-LED,,,,,,,,,,,,Si,,,,,Si,,,0 - 3658m,0 - 12192m,,22.0,,,Lucida,,"Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion, Mac OS X 10.8 Mountain Lion, Mac OS X 10.9 Mavericks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hp Hewlett Packard HP V241a E5Z95AT ABB Planet Computer.it,,,,,,170°,160°,,,,,,,,No,,,,"59,94 cm","0,2715 x 0,2715 mm",16:9,,,Si,,,,,,,,,,250 cd/m²,,,,,,,,,,,,,,,1000:1,1920 x 1080 Pixels,"720 x 400, 1440 x 900, 1600 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1280 x 720 (HD 720), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,5 ms,,,LED,Full HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benq Benq GW2765HT 9H.LCELA.TBE Planet Computer.it,Si,,"48,7 cm",,Si,178°,178°,Kensington,"DisplayPort, HDMI, VGA",,Non specificato,Nero,1070M,100 x 100 mm,No,32W,,,"68,58 cm (27"")","0,2331 x 0,2331 mm",16:9,No,,Si,-5 - 20°,Si,,,,,"74,8 cm",,,350 cd/m²,,,Si,,9 kg,"6,9 kg",,Si,,"22,4 cm",,1.0,,1000:1,20000000:1,2560 x 1440 Pixels,2560 x 1440,No,"Windows 8, Windows 8.1",IPS,4 ms,No,,LED,Full HD,90 - 264V,-160 - 160°,Si,,Si,,1.0,,,13 cm Si,,,,Si,,"0,5W",,,,,,,,,2.0,Si,2W,Si,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Si,,,,No,,"Sistema operativo Windows supportato Windows 8, Windows 8.1",,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Philips 271S4LPYEB S-line 27  68.6 cm Full HD display LCD monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"597,6 x 336,15 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100-240 V CA, 50/60 Hz Incorporata",170º / 160º,750 x 234 x 490 mm,,,"21,3W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SmartImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 W (tip.),blocco Kensington Montaggio VESA (100 x 100 mm) SmartImage PowerSensor Luminosità Menu Accensione/spegnimento,639 x 405 x 64 mm,"DisplayPort DVI-D (digitale, HDCP) VGA (analogico)",100%,"10,35 kg (22.8 lbs)","7,50 kg (16.5 lbs)","5,10 kg (11.2 lbs)",BSMI marchio CE FCC Class B GOST SASO SEMKO TCO 6 TUV Ergo TUV/GS UL/cUL WEEE,1920 x 1080 a 60 Hz,Sincronizzazione separata Sync su verde,20.000.000:1,EnergyStar 6.0 PowerSensor EPEAT Gold* RoHS,Italiano Francese Tedesco Italiano Portoghese Russo Cinese semplificato Spagnolo,,,,,,,,,
Samsung Samsung LS22D300HY LED display LS22D300HY EN Planet Computer.it,,"31,08 cm","38,52 cm","37,7 cm",,,,,,,,,,,,,,,,,,,,,,,,,,"51,16 cm","51,16 cm","57,3 cm",,,,,,"2,6 kg","3,95 kg","2,85 kg",,,"5,31 cm","17,7 cm","11,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC E2250SD E2250SD Planet Computer.it,Si,,"40,85 cm",42 cm,No,170°,160°,Kensington,"AC, DVI, VGA","CE, Energy Star 6.0, EPEAT Silver, GOST, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Non specificato,Nero,"16,77M",75 x 75 mm,Si,18W,"0,5W","0,5W","55,9 cm","0,282 x 0,282 mm",16:10,,,Si,-4 - 17°,Si,Si,Si,,"50,87 cm","50,87 cm","56,2 cm",Si,250 cd/m²,,,Si,,"4,62 kg","3,76 kg",Si,Si,,19 cm,"10,9 cm",1.0,,1000:1,20000000:1,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),,,TN,5 ms,No,,LED,,100 - 240V,,Si,Argento,No,,,11.0,,No,No,,,,,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,,,,,Si,,,,,,,,,,,,"47,664 cm","26,811 cm",Si,Si,,,,,,,Thin client installato No,W-LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoc AOC Q2770PQU LED display Q2770PQU Planet Computer.it,,"24,5 cm",,"28,6 cm",Si,178°,178°,Kensington,"DisplayPort, DVI, HDMI, VGA",,,Nero,"16,77M",100 x 100 mm,N,65W,,"0,5W","68,58 cm (27"")","0,233 x 0,233 mm",16:9,N,,Si,,,,,50 - 76000 Hz,"64,22 cm",,"75,9 cm",,300 cd/m²,Si,,Si,,,,,Si,"55,8 cm",,"48,6 cm",1.0,30 - 99000 kHz,1000:1,80000000:1,2560 x 1440 Pixels,"2560 x 1440, 1920 x 1080 (HD 1080)",N,,,5 ms,N,,LED,,100 - 240V,,,,,,1.0,1.0,,Si 13 cm,,,,,,,50/60 Hz,,,,-25 - 55 °C,0 - 40 °C,,,,Si,,,,,,,,,,,,"59,789 cm","33,631 cm",,,,1.0,10 - 85%,,,,Thin client installato N,,,,,,,,,,,,,,,,,,,,,,,,16.0,5 - 93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
