<page title>,adjustable display angle,adjustable display height,adjustable display pivot,aspect ratio,backlight technology,brand name,brightness,colour,colour support,contrast ratio,dvi,green compliance certificateauthority,green compliant,hdcp supported,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,maximum adjustable height,maximum resolution,number of screens,offmode power consumption,operating power consumption,package contents,panel technology,product model,product name,product series,product type,response time,screen mode,screen size,standard refresh rate,standby power consumption,swivel angle,tilt angle,vertical viewing angle,vesa mount compatible,vga,certifications standards,depth,depth with stand,features,height,height with stand,mount type,platform supported,recycled,recycled content,vesa mount standard,weight approximate,weight with stand approximate,width,width with stand,builtin devices,displayport,product line,screen surface,usb,usb standard,speakers,webcam,hdmi,component video,composite video,svideo,display orientation,energy consumption per year,energy efficiency class,full product specifications,number of speakers,postconsumerwaste,headphone,3d type,packaged quantity,network rj45,horizontal frequency,sdi,sdi standard,environmentconscious and reliable,flexible viewing and connectivity options,impressive screen clarity,country of origin,additional information,superb performance,versatile connections,system requirements,thunderbolt
"60003586, NECEA193MIB, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,NEC Display,250 cd/m²,Black,16.77 Million Colors,"1,000:1",Yes,MPR II ENERGY STAR 6.0 ErP MPR III RoHS TCO Certified Displays 6.0 EPEAT Silver,Yes,Yes,178°,220 V AC 110 V AC,,NEC Display Solutions,60003586,,1280 x 1024,1.0,,18 W,,In-plane Switching (IPS) Technology,EA193Mi,"LCD 19"" Desktop Display",,LCD Monitor,6 ms,SXGA,"48.3 cm (19"")",60 Hz,350 mW,,,178°,Yes,Yes,CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307,65 mm,213.90 mm,Off Timer Cable Management Carbon Footprint Meter Eco Mode Ambient Light Sensor Intelligent Power Manager (IPM) System Security Lock,338 mm,386.40 mm,Desk Mountable,PC,Yes,Plastic,100 x 100,4 kg,6 kg,408 mm,408 mm,Speaker,Yes,MultiSync,,,,Yes,,,,,,Landscape/Portrait,,,,2.0,,Yes,,,,,,,,,,,,,,,
"60A9MAR2UK, S603PX5, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Lenovo,250 cd/m²,Raven Black,16.7 Million Colours,"2,000,000:1",Yes,TCO '06 EU RoHS Taiwan Green Mark TCO Certified Edge Displays 1.2 ENERGY STAR 6.0 Ukraine RoHS China RoHS ULE Gold Turkey RoHS WEEE RoHS China Energy Label (CEL) EPEAT Gold,Yes,,176°,220 V AC 110 V AC,3 Year,Lenovo Group Limited,60A9MAR2UK,,1920 x 1080,1.0,500 mW,30 W,"ThinkVision LT2223d 21.5-inch FHD LED Backlit LCD OneLink Docking Monitor Detachable tool-less full ergo stand OneLink Cable VGA Cable USB Cable 135w Power Adapter + Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster",Twisted Nematic Film (TN Film),LT2223d,ThinkVision LT2223d 21.5-inch FHD LED Backlit LCD OneLink Docking Monitor,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",75 Hz,500 mW,-45°,-5°to30°,170°,Yes,Yes,"SAFETY CU (Belarus/Russia/Uzbekistan) BSMI CCC (China) CE (Europe) CSA /cUl (Canada) CSM (Bulgaria) IEC950 CB Report INSM (Moldavia) ISC (Cambodia) JEITA KC (Korea) KEBS (Kenya) KONCAR (Croatia) KUCAS (Kuwait) KVALITET (Serbia) NOM (Mexico) OTAN (Kazakhstan) PSB (Singapore) SABS (South Africa) SASO (Saudi Arabia) SEMKO or NEMKO SONCAP (Nigeria) Tanzania TUV -GS (Germany) TUV-S or IRAM-S (Argentina) Ukraine UL or c(TUV)us (USA) EMI BSMI (Taiwan) CCC (China) CE (Europe) CSM (Bulgaria) C-tick (Australia/New Zealand) FCC B (USA) IC (Canada) KC (Korea) KONCAR (Croatia) KVALITET (Serbia) SABS-CoC, LoA (South Africa) SASO (Saudi Arabia) VCCI (Japan) ERGONOMIC E-standby (Korea) CECP (China) CEL (China) Tier 1 Environmentally Responsible Certifications Carbon footprint ULE Gold VOC (US)",12.7 mm,,VoIP Controls Mobile High-Definition Link (MHL) Zero Power Switch,226.1 mm,,,,,,100 x 100,2.86 kg,,348 mm,,USB Hub Speaker Microphone,,ThinkVision,Anti-glare,Yes,USB 3.0,Yes,Yes,Yes,,,,Landscape/Portrait,,,,2.0,,,,,Yes,,,,,,,,,,,,
"LS24D300HL/XU, 886N194, Samsung, LCD Monitor, IML Direct Italy",,,,16:9,LED,Samsung,200 cd/m²,High Glossy Black,16.7 Million Colours,700:1,,EPEAT Gold ENERGY STAR,Yes,,90°,110 V AC 220 V AC,,Samsung,LS24D300HL/XU,,1920 x 1080,1.0,,20 W,,Twisted Nematic Film (TN Film),S24D300HL,"Simple LED 23.6"" Monitor with High Glossy Finish",300,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",60 Hz,300 mW,,,65°,,Yes,,53.8 mm,196.85 mm,Off Timer Display Power Management Signaling (DPMS) Magic Upscale MagicAngle Eco Saving MagicBright3 Game Mode,341.9 mm,417.07 mm,,PC Mac,,,,3.19 kg,3.54 kg,569 mm,568.96 mm,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"47WS10, LG47WS10, LG Electronics, LCD Monitor, IML Direct Italy",,,,16:9,LED,LG,450 cd/m²,Black,1.06 Billion Colors,"1,300:1",Yes,ErP ENERGY STAR 5.1,Yes,Yes,178°,220 V AC 110 V AC,,LG Electronics,47WS10,,1920 x 1080,1.0,500 mW,120 W,,In-plane Switching (IPS) Technology,47WS10,"47"" class (46.9"" measured diagonally) LED Widescreen Full HD Capable Monitor",,LCD Monitor,12 ms,Full HD,"119.4 cm (47"")",60 Hz,1 W,,,178°,Yes,Yes,"FCC Class ""B""VCCIC-tickCEKCCULcULCB schemeTUV",38.1 mm,297.18 mm,Video Wall Security Lock TileMatrix (5x5) Temperature Sensor Sleep Timer Auto-off Picture in Picture,645.2 mm,721.36 mm,Wall Mountable,PC,,,400 x 400,17.51 kg,18.91 kg,1102.4 mm,1102.36 mm,,Yes,Flatron,Anti-glare,Yes,USB 2.0,,,Yes,Yes,Yes,,Landscape/Portrait,,,,,,,,,Yes,,,,,,,,,,,,
"MB168B, 2834659, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",,,,16:9,LED,Asus,200 cd/m²,Silver Black,,500:1,,,,,90°,,,ASUS Computer International,MB168B,,1366 x 768,1.0,0 mW,5 W,,Twisted Nematic Film (TN Film),MB168B,MB168B Portable USB-powered Monitor,,LCD Monitor,11 ms,HD,"39.6 cm (15.6"")",,0 mW,,,65°,,,,8 mm,,Ambient Light Sensor,236 mm,,,PC,,,,800 g,,379 mm,,,,,Anti-glare,Yes,USB 3.0,,,,,,,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"234E5QDAB/00, 2974035, Philips, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,Philips,250 cd/m²,Glossy Black Cherry,16.77 Million Colors,"20,000,000:1",Yes,WEEE ENERGY STAR 6.0 TCO Certified Displays 6.0 EPEAT Silver RoHS,Yes,Yes,178°,110 V AC 220 V AC,,Philips Electronics,234E5QDAB/00,,1920 x 1080,1.0,300 mW,19.39 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,234E5QDAB,LCD Monitor with SmartImage Lite,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",60 Hz,500 mW,,-5°to20°,178°,Yes,Yes,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307,45 mm,213 mm,SmartResponse Mobile High-Definition Link (MHL) SmartContrast SmartImage Lite Sync on Green TrueVision Ultra Slim Security Lock,325 mm,414 mm,Wall Mountable,PC Mac,,,100 x 100,3.11 kg,3.46 kg,532 mm,532 mm,Speaker,,,Glossy,,,Yes,No,Yes,,,,Landscape/Portrait,,,,2.0,,Yes,No,,,,,,,,,,,,,,
"29UM65-P, 2998783, LG Electronics, LCD Monitor, IML Direct Italy",,,,21:9,LED,LG,,,,,Yes,,,,,,,LG Electronics,29UM65-P,,2560 x 1080,1.0,,,,In-plane Switching (IPS) Technology,29UM65-P,29UM65-P Widescreen LCD Monitor,,LCD Monitor,,UW-UXGA,"73.7 cm (29"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WB6EE.A01, 8654T98, Acer, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Acer,250 cd/m²,Dark Grey,16.7 Million Colours,"100,000,000:1",Yes,ENERGY STAR TCO '06,Yes,Yes,178°,220 V AC 110 V AC,3 Year,"Acer, Inc",UM.WB6EE.A01,150 mm,1920 x 1080,1.0,250 mW,19.50 W,B226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,Vertical Alignment (VA),B226HQL,B226HQL Widescreen LCD Monitor,B,LCD Monitor,8 ms,Full HD,"54.6 cm (21.5"")",60 Hz,350 mW,60°,-5°to35°,178°,Yes,Yes,,221 mm,,,518.2 mm,,,,,,100 x 100,3.17 kg,5.81 kg,508 mm,,,,,Anti-glare,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"857-10586, 0912968, Dell, LCD Monitor, IML Direct Italy",,,,16:10,LED,Dell,250 cd/m²,Black,16.78 Million Colors,"1,000:1",Yes,TCO Certified Displays EPEAT Gold China Energy Label (CEL) ENERGY STAR 5.2,Yes,,,,3 Year,"Dell, Inc",857-10586,,1440 x 900,1.0,,23 W,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black Stand Power Cable DVI Cable VGA Cable Drivers and Documentation media Quick setup guide Safety Information",,E1913,"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black",E,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,,,,,Yes,Yes,,52 mm,163.50 mm,,290.8 mm,372.80 mm,,,,,,2.54 kg,,443.8 mm,443.80 mm,,,,,,,,,,,,,,,,Click to view,,25%,,,,,,,,,,,,,,,,
"E2250SWDAK, 2528079, AOC, LCD Monitor, IML Direct Italy",No,No,No,16:9,LED,AOC,250 cd/m²,Glossy Black,16.7 Million Colours,"1,000:1",Yes,RoHS ENERGY STAR 5.0,,No,85°,110 V AC 220 V AC,3 Year,AOC,E2250SWDAK,,1920 x 1080,1.0,,21 W,"e2250Swdak 54.6cm (21.5"") LED MONITORPower CableDriver CDD-Sub Cable",,e2250Swdak,"e2250Swdak 54.6cm (21.5"") LED MONITOR",,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,500 mW,,,80°,Yes,Yes,CBCEFCCGOSTISO 9241-307TÜV-GSUkraine SafetyWin7,,,Off Timer Security Lock,,,Wall Mountable,PC,,,75 x 75,3.28 kg,,,,Speaker,No,Value,,,,Yes,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
"60003418, 3968039, NEC Display Solutions, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,NEC Display,350 cd/m²,White,16.77 Million Colors,"1,000:1",Yes,TCO Certified Displays 6.0 MPR III MPR II RoHS ErP,Yes,,178°,110 V AC 220 V AC,3 Year,NEC Display Solutions,60003418,,1920 x 1200,1.0,,30 W,MultiSync P242W Widescreen LCD MonitorPower CableSignal Cable Display PortVGA CableDVI-D CableCD-ROMSales Office ListUser Manual,In-plane Switching (IPS) Technology,P242W,MultiSync P242W Widescreen LCD Monitor,,LCD Monitor,8 ms,,"61.2 cm (24.1"")",60 Hz,1 W,,,178°,Yes,Yes,CETUV ErgonomicsTUV GSC-tickFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB,85 mm,227.60 mm,Intelligent Power Manager (IPM) System Eco Mode Auto Brightness Control (ABC) CableComp Picture by Picture Cable Management AmbiBright Ambient Light Sensor TileComp ColorComp Tiled Matrix OmniColor Picture in Picture,362.4 mm,528 mm,,,,,200 x 100,7.40 kg,10.10 kg,556.8 mm,556.80 mm,USB Hub,Yes,MultiSync,,Yes,,,,Yes,,,,Landscape,,,,,,,,,,,,,,,,,,,,,
"23MP65HQ-P, 2998248, LG Electronics, LCD Monitor, IML Direct Italy",,,Yes,16:9,LED,LG,250 cd/m²,,16.7 Million Colours,"1,000:1",,,,Yes,178°,220 V AC 110 V AC,,LG Electronics,23MP65HQ-P,,1920 x 1080,1.0,,21 W,,Advanced High Performance In-plane Switching (AH-IPS) Technology,23MP65HQ-P,23MP65HQ-P Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,300 mW,,,178°,Yes,Yes,,326 mm,426 mm,Flicker-free Dual Web Reading Mode Smart Resolution Technology Dual-screen Display Sleep Timer,68 mm,188 mm,,,,,75 x 75,2.60 kg,3 kg,533 mm,533 mm,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,
"D7R00AT#ABU, 3125989, HP, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,HP,250 cd/m²,,1.07 Billion Colors,"1,000:1",,China Energy Label (CEL) TCO Certified Displays EPA REACH WEEE,Yes,Yes,178°,230 V AC 120 V AC,3 Year,Hewlett-Packard,D7R00AT#ABU,,2560 x 1440,1.0,,,DreamColor Z27x Professional Display(D7R00AT) AC Power Cord DisplayPort Cable USB Cable HDMI Cable DisplayPort Mini Cable DVD Documentation Kit Factory Calibration Report,In-plane Switching (IPS) Technology,Z27x,DreamColor Z27x Professional Display(D7R00AT),Z,LCD Monitor,7 ms,WQHD,"68.6 cm (27"")",,1.20 W,45°,-5°to20°,178°,,,WHQL CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI,65.5 mm,242.40 mm,Security Lock,379.2 mm,420.40 mm,,PC,,,,8.80 kg,,641 mm,641 mm,USB Hub,Yes,Business,Anti-glare,Yes,USB 3.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"VS207NE, 3054723, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy",,,,16:9,LED,Asus,200 cd/m²,Black,16.7 Million Colours,"80,000,000:1",Yes,WEEE RoHS ErP China Energy Label (CEL) ENERGY STAR 6.0,Yes,Yes,,,3 Year,ASUS Computer International,VS207NE,,1600 x 900,1.0,,,VS207NE Widescreen LCD Monitor DVI Cable VGA Cable Power Cord Quick Start Guide Warranty Card,,VS207NE,VS207NE Widescreen LCD Monitor,,LCD Monitor,5 ms,HD+,"49.5 cm (19.5"")",,,,-5°20°,,Yes,Yes,"CB CCC CE C-Tick FCC Gost-R UL/cUL VCCI WHQL (Windows 8, Windows 7)",,185 mm,Splendid Video Intelligence Technology SmartContrast QuickFit Security Lock,,355.50 mm,,,,,75 x 75,,,,468 mm,,,,,,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"UM.HH6EE.001, Acer, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,Acer,250 cd/m²,Black,16.7 Million Colours,"100,000,000:1",Yes,MPR II EPEAT Gold,Yes,,178°,220 V AC 110 V AC,2 Year,"Acer, Inc",UM.HH6EE.001,No,1920 x 1080,1.0,400 mW,29.03 W,H276HL Widescreen LCD Monitor1 x VGA CablePower Cord,In-plane Switching (IPS) Technology,H276HL,H276HL Widescreen LCD Monitor,H,LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",60 Hz,450 mW,No,-5°to15°,178°,,Yes,,,,Mobile High-Definition Link (MHL) CrystalBrite,,,,,,,,,,,,,,,,,,Yes,,,,,,,38 kWh,A,,,,,,,,,,,,,,,,,,,
"60B5RAT6UK, 3171469, Lenovo, LCD Monitor, IML Direct Italy",,,,16:9,LED,Lenovo,300 cd/m²,Black,16.7 Million Colours,"3,000:1",,RoHS EU RoHS EPEAT Gold TCO Certified Edge Displays 1.2 TCO Certified Displays 6.0 China Energy Label (CEL) Turkey RoHS ULE Gold China RoHS ENERGY STAR 6.0 ErP WEEE Ukraine RoHS,Yes,,,,,Lenovo Group Limited,60B5RAT6UK,,1920 x 1080,1.0,,65 W,,,Pro2820,ThinkVision Pro2820 28-inch WVA LED Backlit LCD Monitor,,LCD Monitor,6.50 ms,Full HD,"71.1 cm (28"")",,,,,,Yes,Yes,,160.8 mm,,,347.5 mm,,,,,,,3.06 kg,,478.3 mm,,,Yes,ThinkVision,,Yes,,,,Yes,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"HX193DPB, V320089, Hannspree, LCD Monitor, IML Direct Italy",Yes,,,5:4,LED,Hanns.G,250 cd/m²,,16.7 Million Colours,"1,000:1",Yes,RoHS ENERGY STAR TCO Certified Displays 5.2 China Energy Label (CEL) WEEE,Yes,Yes,170°,,,"Hannspree, Inc",HX193DPB,,1280 x 1024,1.0,500 mW,21.10 W,,,HX193DPB,"19"" Diagonal LED Monitor",,LCD Monitor,5 ms,SXGA,"48.3 cm (19"")",75 Hz,500 mW,,,160°,Yes,Yes,CECBGOSTNemko GSFCCUL3CcULus,66 mm,,Security Lock Eco Mode,388.6 mm,,,PC,,,,3.76 kg,,421.6 mm,,,,,Anti-glare,,,Yes,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
"60A1MAR2UK, LNVCMG00, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,Lenovo,250 cd/m²,Black,16.7 Million Colours,"1,000:1",,EPA China RoHS TCO Certified Displays 6.0 EPEAT Gold China Energy Label (CEL) RoHS TCO Certified Edge ULE Gold ENERGY STAR 6.0,Yes,Yes,170°,220 V AC 110 V AC,,Lenovo Group Limited,60A1MAR2UK,,1920 x 1080,1.0,500 mW,22 W,,,LT2223p,ThinkVision LT2223p Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,500 mW,,,160°,Yes,Yes,CCC NOM IEC-60950-1 BSMI JEITA TUV-S SABS SASO CE GOST PSB FCC Class B VCCI IC KC GS INSM ISO 9241-307 TUV-GS BSMI KONCAR MPR-II ECO CSC China Energy Efficiency Standard Tier 1 NEMKO KVALITET TUV Green Mark,56.4 mm,218.40 mm,Security Lock,362.9 mm,362.90 mm,Wall Mountable,PC,,,100 x 100,3.07 kg,4.96 kg,512.6 mm,512.60 mm,USB Hub,Yes,ThinkVision,,Yes,USB 2.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"24M45HQ-B, 2998781, LG Electronics, LCD Monitor, IML Direct Italy",,,,16:9,LED,LG,,Black,,,,,,,,,2 Year,LG Electronics,24M45HQ-B,,1920 x 1080,1.0,,,,,24M45HQ-B,24M45HQ-B Widescreen LCD Monitor,,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"C9V75AA#A2K, HP, LCD Monitor, IML Direct Italy",,,,16:9,LED,HP,250 cd/m²,Black,,"5,000,000:1",Yes,ENERGY STAR TCO Certified Edge,Yes,,,,3 Year,Hewlett-Packard,C9V75AA#A2K,,1920 x 1080,1.0,,36 W,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD,,E231,EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR),,LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,,,,,,Yes,,51 mm,242.40 mm,,329 mm,469.90 mm,,,,,,3.90 kg,,544 mm,544 mm,USB Hub,Yes,Elite,,Yes,,,,,,,,,,,Click to view,,,,,,,,,,,,,,,,,,
"D7P94AT#ABU, 9439K0V, HP, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:10,LED,HP,350 cd/m²,Black,16.77 Million Colors,"1,000:1",Yes,EPEAT Gold TCO Certified Displays ENERGY STAR REACH WEEE,Yes,Yes,178°,110 V AC 220 V AC,3 Year,Hewlett-Packard,D7P94AT#ABU,,2560 x 1600,1.0,,125 W,"Z Display Z30i 76,2 cm (30'') IPS LED Backlit Monitor AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software",In-plane Switching (IPS) Technology,Z30i,"Z Display Z30i 76,2 cm (30'') IPS LED Backlit Monitor",,LCD Monitor,8 ms,WQXGA,"76.2 cm (30"")",70 Hz,500 mW,,,178°,Yes,Yes,EN 55022 Class A,66.3 mm,266.40 mm,Cable Management Security Lock,449.8 mm,601 mm,Wall Mountable,PC,,,,,9.96 kg,690.3 mm,690.30 mm,,Yes,Performance,Anti-glare,Yes,USB 3.0,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"284E5QHAD/00, 2905242, Philips, LCD Monitor, IML Direct Italy",Yes,,Yes,16:9,LED,Philips,300 cd/m²,Glossy Black Cherry,16.7 Million Colours,"3,000:1",,WEEE TCO Certified Displays 6.0 ENERGY STAR 6.0 RoHS EPEAT Silver,Yes,Yes,176°,220 V AC 110 V AC,3 Year,Philips Electronics,284E5QHAD/00,,1920 x 1080,1.0,300 mW,23.18 W,,MVA technology,284E5QHAD,LCD Monitor with SmartImage Lite,E,LCD Monitor,4 ms,Full HD,"71.1 cm (28"")",60 Hz,500 mW,,-5°to20°,176°,Yes,Yes,BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307,54 mm,237 mm,SmartResponse SmartContrast TrueVision Security Lock SmartImage Lite Sync on Green Mobile High-Definition Link (MHL),390 mm,485 mm,Wall Mountable,Mac PC,,,100 x 100,4.21 kg,4.73 kg,663 mm,663 mm,Speaker,,,,,,Yes,,Yes,,,,Landscape/Portrait,,,,2.0,,Yes,,,,,,,,,,,,,,,
"E2460PQ/BK, 3088794, AOC, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,16:9,LED,AOC,250 cd/m²,Black,16.7 Million Colours,"50,000,000:1",Yes,EuP TCO Certified Displays 6.0 EPEAT Gold ENERGY STAR 6.0 RoHS,Yes,Yes,170°,220 V AC 110 V AC,3 Year,AOC,E2460PQ/BK,130 mm,1920 x 1080,1.0,500 mW,22 W,"e2460Pq /BK 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Twisted Nematic Film (TN Film),e2460Pq /BK,"e2460Pq /BK 61cm (24"") LCD Monitor",,LCD Monitor,2 ms,Full HD,"61 cm (24"")",60 Hz,500 mW,,-5°to22°,160°,Yes,Yes,CE CU ISO 9241-307 TUV-GS Ukarin Safety,,243.50 mm,e-Saver OverDrive Security Lock Screen+ i-Menu Eco Mode,,523.60 mm,Wall Mountable,,,,100 x 100,6.38 kg,,,565.40 mm,Speaker,Yes,Professional,,No,,Yes,,No,,,No,Landscape/Portrait,,,,,,,,,,,,,,,,,,,,,
"HW246HBB, V320091, Hannspree, LCD Monitor, IML Direct Italy",,,,16:9,LED,Hanns.G,250 cd/m²,White Black,,"40,000,000:1",,,,,,,,"Hannspree, Inc",HW246HBB,,1920 x 1080,1.0,,,,,HW246HBB,HW246HBB Widescreen LCD Monitor,,LCD Monitor,5 ms,,"59.9 cm (23.6"")",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"E2260SWDA, 2518432, AOC, LCD Monitor, IML Direct Italy",Yes,No,No,16:9,LED,AOC,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold TCO Displays 5.0 ENERGY STAR 5.0 RoHS,Yes,Yes,170°,110 V AC 220 V AC,,AOC,E2260SWDA,,1920 x 1080,1.0,,,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")Power CableD-Sub CableDVI-D CableAudio CableWarranty Card",,e2260Swda,"LED Monitor - e2260Swda Professional 54.7cm (21.5"")",,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",60 Hz,,,,160°,Yes,Yes,CEFCCISO 9241-307TUV-GS,185 mm,,Security Lock,373 mm,,Wall Mountable,PC,,,100 x 100,,,511 mm,,Speaker,No,Professional,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,
"60AAHAR1UK, S603EW8, Lenovo, LCD Monitor, IML Direct Italy",Yes,Yes,Yes,5:4,LED,Lenovo,250 cd/m²,Black,16.7 Million Colours,"1,000:1",Yes,EPEAT Gold TCO Certified Displays 6.0 ULE Gold TCO Certified Edge Displays 1.1 China Energy Label (CEL) RoHS China RoHS ENERGY STAR 6.0,Yes,Yes,178°,110 V AC 220 V AC,,Lenovo Group Limited,60AAHAR1UK,,1280 x 1024,1.0,,24 W,,In-plane Switching (IPS) Technology,LT1913p,ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor,,LCD Monitor,7 ms,SXGA,"48.3 cm (19"")",,,,,178°,,Yes,TUV Green Mark ISO 9241-307,221.9 mm,,Security Lock,378.3 mm,,,PC,,,,,,411 mm,,,,ThinkVision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K9301851A, 2835449, Barco, LCD Monitor, IML Direct Italy",Yes,Yes,,16:9,LED,Barco,250 cd/m²,Silver White,16.7 Million Colours,"1,000:1",,RoHS,Yes,,178°,220 V AC 110 V AC,3 Year,Barco,K9301851A,80 mm,1920 x 1080,1.0,500 mW,40 W,"Eonis 22"" (MDRC-2122 WP) User Guide Cable Routing Strap Video Cables Main Cables USB 2.0 Cable External Power Supply",In-plane Switching (IPS) Technology,MDRC-2122 WP,"Eonis 22"" (MDRC-2122 WP)",,LCD Monitor,14 ms,Full HD,"55.9 cm (22"")",,500 mW,30°,0°to20°,178°,Yes,Yes,CE (MDD 93/42/EEC class I product) CE - 2004/ 108/EC IEC 60950-1:2005 + A1:2009 (2ND EDITION) IEC 60601-1 2ND ED:1988 + A1:1991 + A2:1995 UL 60601-1 1ST EDITION CAN/CSA-C22.2 NO. 601.1-M90:2005 IEC 60601-1:2005 + A1:2012 ANSI/AAMI ES 60601-1:2005 + C1:2009 + A1:2012 CAN/CSAC22.2 No. 60601-1-08:2008 DEMKO - EN 60601- 1:2006 EN 60601-1-2:2007 CCC - GB9254-2008 + GB4943-2001 + GB17625.1-2003 KC VCCI FCC class B ICES-001 Level B,57 mm,166 mm,Display Power Management Signaling (DPMS) Ambient Light Compensation (ALC) Integrated Front Sensor (IFS),306 mm,457 mm,,,,,75 x 75,4.30 kg,6.70 kg,507 mm,507 mm,USB Hub,Yes,Eonis,Anti-reflective,Yes,USB 2.0,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"LS24B150BL/EN, 886G086, Samsung, LCD Monitor, IML Direct Italy",Yes,,,16:9,LED,Samsung,200 cd/m²,High Glossy Black,16.7 Million Colours,"1,000:1",Yes,ENERGY STAR 5.0,Yes,,90°,110 V AC 220 V AC,2 Year,Samsung,LS24B150BL/EN,,1920 x 1080,1.0,,30 W,,,S24B150BL,"23.6"" S24B150BL Series 1 LED Monitor",150,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",60 Hz,300 mW,,,65°,,Yes,,53 mm,197 mm,MagicTune MagicBright3 MagicColor MultiScreen Eco Saving Off Timer,342 mm,416 mm,,PC,,,,3.25 kg,3.60 kg,569 mm,569 mm,,,Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
