3d compatibility,<page title>,aspect ratio,backlight type,bluetooth,builtin camera,builtin speakers,cable lock slot,certification,colour of product,compliance industry standards,contrast ratio dynamic,contrast ratio typical,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display srgb,display technology,energy efficiency class,energy star certified,epeat compliance,hd type,height,height adjustment,height with stand,horizontal scan range,input frequency,input voltage,led indicators,mac operating systems supported,mean time between failures mtbf,nonoperating altitude,number of loudspeakers,on screen display osd,on screen display osd languages,onoff switch,operating altitude,operating relative humidity hh,operating temperature tt,package weight,packaging depth,packaging height,packaging width,pivot,pivot angle,pixel pitch,plug and play,power consumption powersave,power consumption standby,power consumption typical,response time,rms rated power,separate hv sync,source datasheet,storage temperature tt,supported graphics resolutions,swivel angle range,swivelling,syncongreen sog,thin client installed,tilt adjustment,tilt angle,tv tuner integrated,usb 20 ports quantity,usb 30 ports quantity,vertical scan range,vesa mounting interfaces compatibility,vga dsub ports quantity,viewable size horizontal,viewable size vertical,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,wifi,windows operating systems supported,dvid ports quantity,hdcp,relative humidity,ac power in,dvii ports quantity,headphone out,manual,standby led,storage relative humidity hh,audio input,hdmi,hdmi ports quantity,supported video modes,builtin subwoofer,cables included,card reader integrated,digital horizontal frequency,digital vertical frequency,displayports quantity,placement supported,power consumption max,power led,video dot rate,viewable size diagonal,pc audio in,power consumption off,quick start guide,number of osd languages,component video ypbprycbcr in,svideo inputs quantity,headphone connectivity,microphone in,package dimensions wxdxh,rs232 ports,dvi port,ethernet lan,pictureinpicture,dimensions w x d x h with stand,dimensions wxdxh,handheld remote control,composite sync,composite video in,power requirements,common interface ci,safety,display surface,screen format adjustments,power cord included,quantity,audio output,linux operating systems supported,dcin jack,display viewable area hxv,number of products included,screen saving functions,bezel width side,builtin microphone,feet colour,mobile highdefinition link mhl,maximum resolution,volume control,effective viewing area,compatible memory cards,analog signal format system,common interface plus ci,product type,picture enhancement,ac adapter included
No,Lenovo ThinkVision LT1952p - MrHighTech Shop,16:10,W-LED,,,,Kensington Kensington,,Black Black,,10000000:1,1000:1,171.29 mm,,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,TN+Film,,Yes,,No,397.7 mm,,,,,,,,,,,Yes Yes,,,0 - 2438 m,10 - 80 %,0 - 40 °C,,149 mm,450 mm,515 mm,No,,0.2835 x 0.2835 mm,,,0.5 W,13 W,5 ms,,,. .,-20 - 60 °C,"640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1366 ? 768, 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,,No,No,,,,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.3 kg,,440.9 mm,,,"Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional Windows 7 Ultimate, Windows Vista Ultimate, Windows XP Professional",1.0,,,Yes,,,,Yes Yes,5 - 95 %,,,,,,,,,,1.0,,,Yes Yes,,,,0.5 W,,8 8,,,,,,,,,,,440.9 x 171.29 x 397.7 mm,,,,,,,,,,,,,,,,,15.55 mm,,,,,,,,,,,,
,Fujitsu L line L24T-1 - MrHighTech Shop,16:9,,,No No,No No,Kensington Kensington,"CE, RoHS, WEEE",Black Black,,20000000:1,1000:1,39 mm,189.9 mm,LED,250 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,,Full HD,341.4 mm,,399.8 mm,,50/60 Hz,110 - 240 V,,,,,,Yes Yes,"DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS DEU, ENG, ESP, FIN, FRE, ITA, POR, RUS",,,,5 - 35 °C,5.55 kg,,,,,,0.277 x 0.277 mm,,0.19 W,,17.6 W,5 ms,,,. .,,"720 x 400, 1440 x 900, 1024 x 768 (XGA), 1280 x 1024 (SXGA), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,No,Yes,-5 - 20 °,,,,,,1.0,,,170 °,160 °,Yes,,4.18 kg,569.4 mm,569.4 mm,,,1.0,Yes,,,,,,,,,,,,,,,30 - 83 kHz,56 - 75 Hz,,,,,,,,0.15 W,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,AOC M2752PQU - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,"CE, FCC, EuP, GOST, ISO, RoHS, TCO, TUV GS",Black Black,,20000000:1,1200:1,210 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Silver,Full HD,452 mm,Yes,,30 - 80 kHz,50/60 Hz,90 - 240 V,Yes Yes,,,,,Yes Yes,,,,,,,,,,,,0.311 x 0.311 mm,Yes Yes,,0.4 W,44 W,8 ms,,,. .,,1920 x 1080 (HD 1080),,,,No,,-3 - 19 °,No,1.0,,56 - 75 Hz,100 x 100 mm,1.0,597.89 mm,336.31 mm,178 °,178 °,Yes,7.6 kg,,645.7 mm,,,,1.0,Yes,,,,1,,Yes Yes,,,,1.0,,,,,,,1.0,,,Yes Yes,,,,0.3 W,,15 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung LS22C65UDC LED display - MrHighTech Shop,16:9,,No,,,,,Black Black,,,1000:1,185.42 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,AD-PLS,Unspecified,Yes,Gold,,375.92 mm,Yes,,,50/60 Hz,100 - 240 V,,,,,,,,,,,,6.169 kg 6.169 kg,,,,Yes,-1 - 95 °,0.24825 x 0.24825 mm,,,0.3 W,38 W,5 ms,,,. .,,,-45 - 45 °,,,,,-3 - 25 °,,2.0,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,3.221 kg,4.763 kg,576.58 mm,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,28 W,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 240P4QPYNS - MrHighTech Shop,16:10,W-LED,No,No No No,No No No,Kensington Kensington,"PowerSensorBSMI, CE Mark, FCC B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL","Black, Silver Black, Silver",,20000000:1,1000:1,65 mm,244 mm,LED,300 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1200 pixels,Yes,IPS,,Yes,Gold,No,388 mm,Yes,550 mm,24 - 94 kHz,50/60 Hz,100 - 240 V,Yes Yes,,30000 h 30000 h,0 - 12192 m,,Yes Yes,,Yes Yes,0 - 3658 m,20 - 80 %,0 - 40 °C,9.8 kg 9.8 kg,286 mm 286 mm,457 mm 457 mm,632 mm 632 mm,Yes,0 - 90 °,0.270 x 0.270 mm,Yes Yes,14 W,0.2 W,17 W,14 ms,,Yes,. .,-20 - 60 °C,,-65 - 65 °,Yes,Yes,No,Yes,-5 - 20 °,No No,4.0,,48 - 85 Hz,100 x 100 mm,1.0,518.4 mm,324 mm,178 °,178 °,Yes,464 g,6.97 kg,555 mm,555 mm,No,Yes Yes,1.0,Yes,,Yes,,,Yes Yes,Yes Yes,,,,,,,AC AC,,,,1.0,,,Yes Yes,,,,,Yes Yes,8 8,,,,,,,,No,,,,,,,,,"RoHS, WEEE",,,,,,Yes Yes,,,,,,,,,,,,,,,,,
No,Benq GW2450HM - MrHighTech Shop,16:9,,,No No No,Yes Yes Yes,Kensington Kensington,,Black Black,,20000000:1,3000:1,65 mm,181 mm,LED,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,,Full HD,351 mm,No,437 mm,,,90 - 264 V,,,,,2 2 2,Yes Yes,,,,,,5.6 kg 5.6 kg,134 mm 134 mm,420 mm 420 mm,650 mm 650 mm,,,,,0.3 W,,27 W,,2 W 2 W 2 W,,,,,,,,No,,,No No,,,,100 x 100 mm,1.0,,,178 °,178 °,Yes,4.1 kg,,580 mm,580 mm,,,1.0,Yes,,,,Yes,,,,,,1.0,,,,,,,,,,,,,Yes,,,17 17,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,Black Black,,,,,,,,,,
No,Philips 220B4LPCS - MrHighTech Shop,16:10,W-LED,,No No No,Yes Yes Yes,Kensington Kensington,"BSMI, CE, FCC B, GOST, SASO, SEMKO, TCO 5.2, TUV Ergo, TUV/GS, UL/cUL, WEEE, RoHS",Silver Silver,,20000000:1,1000:1,59 mm,227 mm,LCD,250 cd/m²,"558.8 mm (22 "")",55.9 cm,16.77 M,1680 x 1050 pixels,Yes,,,Yes,Gold,No,349 mm,Yes,509 mm,,50/60 Hz,100 - 240 V,,Yes Yes,30000 h 30000 h,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,0 - 3658 m,,0 - 40 °C,7.05 kg 7.05 kg,186 mm 186 mm,391 mm 391 mm,565 mm 565 mm,Yes,,0.282 x 0.282 mm,Yes Yes,11.7 W,0.3 W,15.8 W,5 ms,3 W 3 W 3 W,Yes,. .,-20 - 60 °C,1680 x 1050 (WSXGA+),-65 - 65 °,,Yes,,,-5 - 20 °,,2.0,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.38 kg,5.2 kg,504 mm,504 mm,,Yes Yes,1.0,Yes,20 - 80 %,,,1,,Yes Yes,,,,,,,,,30 - 83 kHz,56 - 75 Hz,,,,Yes Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,473.76 x 296.1 mm 473.76 x 296.1 mm,,,,,,
No,ASUS VS247H-P - MrHighTech Shop,16:9,,,No No No,,Kensington Kensington,"UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS,RoHS, WEEE",Black Black,,50000000:1,,,200 mm,LED,300 cd/m²,"599.4 mm (23.6 "")",,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,,,410.6 mm,,,,,,,,,,,,,,,6.8 kg 6.8 kg,130 mm 130 mm,469 mm 469 mm,618 mm 618 mm,,,0.272 x 0.272 mm,,0.5 W,,33 W,2 ms,,,,,1920 x 1080 (HD 1080),,,,No,,20 - -5 °,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,,4.4 kg,,561.8 mm,,Yes Yes,1.0,Yes,,Yes,,,,,,,Yes Yes,1.0,1080p,,"AC, DVI, VGA AC, DVI, VGA",,30 - 80 kHz,55 - 75 Hz,,,,,,,,0.5 W,Yes Yes,,,,,,618 x 130 x 469 mm,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG 1940 - MrHighTech Shop,5:4,,,No No,Yes Yes,Yes Yes,"ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",,30000000:1,,52 mm,200 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,,TN+Film,Unspecified,Yes,,,345 mm,No,388 mm,,50/60 Hz,100 - 240 V,,,,,,Yes Yes,,,,,,,,,,,,0.294 x 0.294 mm,Yes Yes,,0.5 W,17 W,5 ms,,,,,1280 x 1024 (SXGA),,,,No,Yes,-5 - 20 °,No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,2.9 kg,,415 mm,415 mm,,,1.0,Yes,,Yes,,,Yes Yes,,,,,,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,24 - 80 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Wortmann AG 2250W - MrHighTech Shop,16:9,,,No No,Yes Yes,,,Black Black,,15000000:1,,190 mm,,LCD,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,,,Full HD,379 mm,,,,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,,,,,,0.248 x 0.248 mm,,,0.5 W,15 W,5 ms,,,,,1920 x 1080 (HD 1080),,,,No,,,No,,,,No,1.0,,,170 °,160 °,No,3.1 kg,,524 mm,,,,,Yes,,,1.0,,,,,,,,"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",,,,30 - 80 kHz,55 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VE228TR - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,"CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE",Black Black,,80000000:1,1000:1,56.9 mm,201.82 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,,Yes,,Full HD,305.51 mm,No,385.96 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,,,2 2,,,,,,,,148 mm,468 mm,576 mm,,,0.248 x 0.248 mm,,,0.5 W,35 W,5 ms,2 W 2 W,,. .,,1920 x 1080 (HD 1080),,,,No,,-5 - 20 °,No,,,50 - 76 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,4.1 kg,,512.84 mm,512.84 mm,,,1.0,,,,,,,,,,,,1080p,,"AC, Audio (3.5mm), VGA AC, Audio (3.5mm), VGA",,30 - 83 kHz,50 - 76 Hz,,,,,,,,0.5 W,Yes Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer V 176Lb - MrHighTech Shop,5:4,,,No No No,No No No,,,Black Black,,100000000:1,,55 mm,191 mm,LCD,250 cd/m²,"431.8 mm (17 "")",43.2 cm,16.77 M,1280 x 1024 pixels,,,Unspecified,,Gold,,308.7 mm,,394.5 mm,,,,,,,,,,,,,,,,,,,,,,,,0.45 W,13 W,5 ms,,,. .,,,,,,No,,,No No,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,2.2 kg,2.6 kg,369 mm,369 mm,,,,No,,,,,,,,,,,,,,,,,,,,,,,,0.35 W,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iiyama ProLite E2280HS-1 - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,,Black Black,,5000000:1,1000:1,189.5 mm,,LCD,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,,TN+Film,Unspecified,Yes,Silver,Full HD,365.5 mm,No,,24 - 80 kHz,50/60 Hz,100 - 240 V,,,,,2 2,Yes Yes,,,,,,,,,,,,0.248 x 0.248 mm,Yes Yes,,0.5 W,21 W,5 ms,2 W 2 W,Yes,. .,,,,,,No,,-5 - 21 °,No,,,56 - 75 Hz,100 x 100 mm,1.0,476.64 mm,268.11 mm,160 °,160 °,Yes,3.3 kg,,509.5 mm,,,,1.0,Yes,,,,,,,,,,1.0,,,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA",,,,,,,,,,,,Yes Yes,9 9,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP ZR2740w - MrHighTech Shop,16:9,,,No No No,,Yes Yes,,Black Black,,,1000:1,68 mm,235 mm,LED,380 cd/m²,"685.8 mm (27 "")",,1070 M,2560 x 1440 pixels,,,,,,No,392 mm,,540 mm,,,,,,,,,,,,,20 - 80 %,5 - 35 °C,,,,,,,0.233 x 0.233 mm,Yes Yes,,2 W,120 W,12 ms,,,. .,,,-45 - 45 °,,,,,-5 - 35 °,,4.0,,,,,,,178 °,178 °,,,10.5 kg,646 mm,646 mm,,,1.0,Yes,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,HP VM617A4 - MrHighTech Shop,16:10,,,No No No,No No No,Yes Yes,,Black Black,,3000:1,1000:1,87 mm,276 mm,,370 cd/m²,"762 mm (30 "")",,1070 M,2560 x 1600 pixels,,,,Yes,,No,454 mm,100 mm,489 mm,,50/60 Hz,100 - 240 V,,,,,,,,,,,41 - 95 °F,,,,,,,0.2505 x 0.2505 mm,Yes Yes,,2 W,185 W,7 ms,,,. .,,2560 x 1600 (WQXGA),-45 - 45 °,,,No,,-5 - 35 °,No No,5.0,,,,,,,178 °,178 °,,,13 kg,694 mm,694 mm,,Yes Yes,1.0,Yes,,Yes,,,Yes Yes,,,,,,,,"AC, DisplayPort, DVI AC, DisplayPort, DVI",No No,,,1.0,,,Yes Yes,,762 mm,,,Yes Yes,,,,,,,,,No,,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,
No,ASUS VS228DE - MrHighTech Shop,16:9,,No,No No,No No,Yes Yes,"BSMI, CB, CCC, CE, C-Tick, EK, ErP, FCC, Gost-R, J-MOSS, PSB, PSE, RoHS, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)",Black Black,,50000000:1,,200 mm,,LED,200 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Gold,Full HD,386.3 mm,No,,30 - 80 kHz,,,,,,,,,,Yes Yes,,,,5.9 kg,130 mm,443 mm,556 mm,No,,0.248 x 0.248 mm,Yes Yes,,0.5 W,21.1 W,5 ms,,,. .,,1920 x 1080 (HD 1080),,No,,No,Yes,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,90 °,65 °,Yes,3.8 kg,,514.1 mm,,No,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64",,No,,Yes,,,,,,Yes,,,,,"AC, VGA AC, VGA",,,,,,,,,,,0.5 W,Yes Yes,,,,,,,,No,No,,,,,,,,,,,"4:3, 16:9 4:3, 16:9",,1 1,No,,,,,,,,,,,,,,,,,,
,NEC MultiSync EX231W - MrHighTech Shop,16:9,,,No No,No No,Kensington Kensington,EPEAT Gold; CE; ErP; TCO 5.0; TÜV Ergonomics; TÜV GS; GEEA/Energy Label; Energy Star 5.0; FCC Class B; PCT/Gost; UL/C-UL or CSA; CCC; ISO 9241-307 (pixel failure class I); MPR II/ MPR III,White White,,25000:1,1000:1,47.7 mm,215 mm,,250 cd/m²,"584.2 mm (23 "")",,16.77 M,1920 x 1080 pixels,,,,,,Full HD,318.3 mm,110 mm,401.3 mm,,,,,,,,,,,,,20 - 80 %,5 - 35 °C,,,,,,,0.265 mm,Yes Yes,,0.38 W,32 W,5 ms,,,. .,-10 - 60 °C,,-170 - 170 °,,,,,-5 - 30 °,,1.0,,,100 x 100 mm,,,,176 °,170 °,,2.8 kg,4.1 kg,540.2 mm,540.2 mm,,,,,,,1.0,,Yes Yes,,10 - 84 %,,,,,,,,31.5 - 82.3 kHz,56 - 75 Hz,1.0,,,,,,,,,,,,,,,,,,,,,,,,100-120 V/220-240 V; 0.6 A/0.35 A,,,,,,,,,,,,,14 mm,,,,,,,,,,,,
No,DELL P Series P2213 - MrHighTech Shop,16:10,,,No No,No No,Yes Yes,TCO Certified,Black Black,,2000000:1,1000:1,59.8 mm,183.3 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.88 cm,16.77 M,1680 x 1050 pixels,,,Unspecified,Yes,Gold,HD-ready,332.7 mm,Yes,368.9 mm,,47-63 Hz,100 - 240 V,,,,0 - 10668 m,,,,,0 - 3048 m,10 - 80 %,0 - 40 °C,,,,,,,0.282 x 0.282 mm,,,0.3 W,25 W,5 ms,,,. .,-20 - 60 °C,1680 x 1050 (WSXGA+),,Yes,,No,Yes,,No,3.0,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,3.43 kg,7.43 kg,510.4 mm,510.4 mm,,,1.0,Yes,,,,,,,5 - 90 %,,,,,,,,,,1.0,,45 W,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,PC monitor,,
No,Wortmann AG Terra LED 1910W - MrHighTech Shop,"4:3, 16:9",Edge-lit LED,,No No,Yes Yes,,"CE, EN 60950",Black Black,,5000000:1,,48.5 mm,178 mm,LCD,250 cd/m²,"469.9 mm (18.5 "")",47 cm,16.77 M,1366 x 768 pixels,,TN+Film,Unspecified,,,,291 mm,No,357 mm,30 - 82 kHz,50/60 Hz,100 - 240 V,Yes Yes,,,,,,,Yes Yes,,,,,,,,,,0.3 x 0.3 mm,Yes Yes,,0.5 W,15 W,5 ms,,,,,1366 x 768,,,,,,-5 - 20 °,No,,,55 - 75 Hz,100 x 100 mm,1.0,,,170 °,160 °,Yes,,2.6 kg,450 mm,450 mm,,,,No,,Yes,,,Yes Yes,Yes Yes,,Yes,,,,,"Audio (3.5mm), VGA Audio (3.5mm), VGA",,,,,,,Yes Yes,,,,,,,,,,,,,No,,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,,,,
No,Benq GL951AM - MrHighTech Shop,16:10,,,No,Yes Yes,,,,,,1000:1,,,LED,250 cd/m²,"482.6 mm (19 "")",,16.77 M,1440 x 900 pixels,,,,,,HD-Ready,,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,,5 ms,,,,,1440 x 900 (WXGA+),,,,No,,,,,,,100 x 100 mm,1.0,,,170 °,160 °,Yes,,,,,,,,No,,Yes,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Fujitsu E line E20T-6 LED - MrHighTech Shop,16:9,,,No No,Yes Yes,Kensington Kensington,"CE, TÜV GS, GOST, FCC, cUL, C-Tick, VCCI, KC, BSMI, CCC",Black Black,,2000000:1,1000:1,61 mm,156 mm,LED,250 cd/m²,"508 mm (20 "")",50.8 cm,16.77 M,1600 x 900 pixels,,,Unspecified,Yes,Gold,No,294 mm,,316 mm,30 - 82 kHz,50/60 Hz,100 - 240 V,,,70000 h 70000 h,,,,,,,,5 - 35 °C,,,,,,,0.277 x 0.277 mm,,0.3 W,0.3 W,13.4 W,5 ms,3 W 3 W,,. .,,"1600 x 900, 1280 x 1024 (SXGA), 1280 x 768 (WXGA), 1440 x 900 (WXGA+), 640 x 480 (VGA), 800 x 600 (SVGA)",,,,No,Yes,-5 - 15 °,No,,,56 - 76 Hz,Yes,1.0,,,170 °,170 °,Yes,2.7 kg,,475 mm,475 mm,,,,Yes,,,,,,,,Yes,,,,,"Audio (3.5mm), VGA Audio (3.5mm), VGA",,,,,,16 W,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Philips 240P4QPYES - MrHighTech Shop,16:10,W-LED,No,No No,Yes Yes,Kensington Kensington,"RoHS, BSMI, CE, FCC B, GOST, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, UL/cUL, WEEE",Silver Silver,,20000000:1,1000:1,65 mm,244 mm,LED,300 cd/m²,"609.6 mm (24 "")",61 cm,16.77 M,1920 x 1200 pixels,Yes,IPS,Unspecified,Yes,Gold,Full HD,388 mm,Yes,550 mm,,50/60 Hz,100 - 240 V,Yes Yes,,30000 h 30000 h,0 - 12192 m,2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",Yes Yes,0 - 3658 m,20 - 80 %,0 - 40 °C,9.8 kg,286 mm,457 mm,632 mm,Yes,0 - 90 °,0.270 x 0.270 mm,Yes Yes,14 W,0.2 W,7.1 W,14 ms,3 W 3 W,Yes,. .,-20 - 60 °C,1920 x 1200 (WUXGA),-65 - 65 °,Yes,Yes,No,Yes,-5 - 20 °,No,4.0,,,100 x 100 mm,1.0,518.4 mm,324 mm,178 °,178 °,Yes,4.64 kg,6.97 kg,555 mm,555 mm,No,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",1.0,Yes,,Yes,,1,,Yes Yes,,,,,,No No,,,24 - 94 kHz,48 - 85 Hz,1.0,,,Yes Yes,,610 mm,Yes,,,8 8,,,,,632 x 286 x 457 mm,,Yes,No,No No,555 x 244 x 550 mm,,,,,,,,,,,,,,,,,,,,Black Black,,,Digital Digital,518.4 x 324 mm 518.4 x 324 mm,,,,,SmartImage SmartImage,
,Philips 221B3LPCB/02 LED display - MrHighTech Shop,,W-LED,,No No No,Yes Yes Yes,Kensington Kensington,"BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜVErgo, UL/cULRoHS",Black Black,,20000000:1,1000:1,59 mm,227 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,Yes,,Unspecified,Yes,Gold,Full HD,323 mm,Yes,480 mm,30 - 83 kHz,50/60 Hz,100 - 240 V,,,30000 h 30000 h,,2 2 2,Yes Yes,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,20 - 80 %,0 - 40 °C,7.12 kg 7.12 kg,186 mm 186 mm,361 mm 361 mm,568 mm 568 mm,Yes,,0.248 x 0.248 mm,Yes Yes,,0.1 W,17.8 W,5 ms,3 W 3 W 3 W,Yes,. .,-20 - 60 °C,1920 x 1080 (HD 1080),,,Yes,No,Yes,-5 - 20 °,No No,2.0,,56 - 75 Hz,100 x 100 mm,1.0,476.6 mm,268.1 mm,176 °,170 °,Yes,3.4 kg,5.3 kg,507 mm,507 mm,No,,1.0,Yes,,,,1,,,,Yes,No No,,,,,No No,,,,,,,,,Yes,,,8 8,,,,,,,,No,,,,,,,,No,,,,,,Yes,,,,,,,,,,,,,No No,,No,,,
