<page title>,adjustable display angle,adjustable display height,aspect ratio,backlight technology,brand name,brightness,certifications standards,color,contrast ratio,depth,displayport,dvi,green compliance certificateauthority,green compliant,hdcp supported,height,horizontal viewing angle,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,mount type,number of screens,operating power consumption,package contents,platform supported,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,standby power consumption,vertical viewing angle,vesa mount compatible,vesa mount standard,vga,weight approximate,width,additional information,color supported,input voltage,touchscreen,touchscreen type,usb,adjustable display pivot,builtin devices,features,panel technology,usb standard,weight with stand approximate,depth with stand,hdmi,height with stand,horizontal frequency,standard refresh rate,width with stand,offmode power consumption,swivel angle,tilt angle,display orientation,product series,maximum adjustable height,speakers,component video,network rj45,serial port,country of origin,full product specifications,headphone,number of speakers,interfacesports,postconsumerwaste,recycled,recycled content,composite video,multitouch screen,svideo,webcam,package type,digital zoom,image sensor,resolution,compatibility,packaged quantity,3d type
"Asus Vk248h-csm 24"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 2,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 60 W - Glossy Piano Black - Rohs, Weee - (VK248H-CSM) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,300 cd/mÂ²,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSBWHQL,Glossy Piano Black,"2,000:1",,No,Yes,"RoHS, WEEE",Yes,Yes,,170Â°,3 Year,ASUS Computer International,VK248H-CSM,http://www.asus.com,1920 x 1080,Wall Mountable,1.0,60 W,VK248H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card,PC,,VK248H-CSM,VK248H-CSM Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"24""",,2 W,160Â°,Yes,100 x 100,Yes,5.50 kg,,,16.7 Million Colors,,,,Yes,,"Webcam, Speaker","Trace Free Technology, Splendid Video Intelligence Technology, Security Lock",,,,"2.4"" (61.5 mm)",Yes,"14.1"" (358.8 mm)",83 kHz,75 Hz,"22.4"" (568.4 mm)",,,,,VK,,Yes,,,,,,Yes,2.0,,,,,,,,Yes,Retail,,,,,,
"Nec Display Accusync As222wm-bk 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Vga - 18 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Silver, Rohs - (AS222WM-BK) - SoftwareCity.ca - Canada",Yes,,16:9,LED,NEC Display,250 cd/mÂ²,ISO 9241-307 Class I,Black,"1,000:1","8.1"" (205.1 mm)",No,Yes,"ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Silver, RoHS",Yes,Yes,"11.9"" (301.1 mm)",176Â°,3 Year,NEC Display Solutions,AS222WM-BK,http://www.necdisplay.com,1920 x 1080,"Wall Mountable, Desk Mountable",1.0,18 W,"22"" LED-Backlit Value Widescreen Desktop Monitor w/ Built-in Speakers Setup Sheet User Manual Power Cord 15-pin D-sub Cable Audio Cable",PC,AccuSync,AS222WM-BK,"22"" LED-Backlit Value Widescreen Desktop Monitor w/ Built-in Speakers",LCD Monitor,5 ms,Full HD,"21.5""",Matte,350 mW,170Â°,Yes,100 x 100,Yes,3.70 kg,"20"" (507.4 mm)",,16.7 Million Colors,,,,,,Speaker,"Sync on Green, AccuColor, Touch Controls, Security Lock, Eco Mode, Intelligent Power Manager (IPM) System, Off Timer, Carbon Footprint Meter",Twisted Nematic Film (TN Film),,4.10 kg,"2.4"" (60 mm)",No,"14.4"" (364.7 mm)",81.10 kHz,76 Hz,"20"" (507.4 mm)",,,,,,,Yes,,,,,,,2.0,,,,,,,,,,,,,,,
"Pos-x Evo-rd4-lcd15 15"" Lcd Monitor - 1024 X 768 - 16.7 Million Colors - 250 Nit - Xga-2 - Vga - Black - Rohs - (EVO-RD4-LCD15) - SoftwareCity.ca - Canada",,,,,POS-X,250 Nit,IP54 FCC Class A CE LVD,Black,,"2.5""",,,RoHS,Yes,,"11""",,3 Year,"POS-X, Inc",EVO-RD4-LCD15,http://www.pos-x.com,1024 x 768,,1.0,,EVO-RD4-LCD15 Integrated LCD Customer Display Mounting Bracket & Hardware VGA Cable,,,EVO-RD4-LCD15,EVO-RD4-LCD15 Integrated LCD Customer Display,LCD Monitor,,XGA-2,"15""",,,,Yes,100 x 100,Yes,14.30 lb,"14.2""",,16.7 Million Colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Vn289h 28"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 80,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - 35 W - Black - Energy Star 6.0, China Energy Label (cel), Erp, Rohs, Tco Certified Displays 6.0, Weee, Meps - (VN289H) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,300 cd/mÂ²,BSMI CB CCC CE C-Tick CU FCC PSE UL/cUL VCCI WHQL,Black,"80,000,000:1","8.3"" (210 mm)",Yes,Yes,"ENERGY STAR 6.0, China Energy Label (CEL), ErP, RoHS, TCO Certified Displays 6.0, WEEE, MEPS",Yes,Yes,"17.7"" (450.7 mm)",178Â°,,ASUS Computer International,VN289H,http://www.asus.com,1920 x 1080,Wall Mountable,1.0,35 W,VN289H Widescreen LCD Monitor VGA Cable Audio Cable Power Cord Quick Start Guide Warranty Card,PC,,VN289H,VN289H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"28""",,500 mW,178Â°,Yes,100 x 100,Yes,5.20 kg,"26"" (660.2 mm)",,16.7 Million Colors,,,,,,Speaker,"Flicker-free, VividPixel Technology, Mobile High-Definition Link (MHL), Eye-Care, Splendid Video Intelligence Technology, Reading Mode, QuickFit, Trace Free Technology, Security Lock, Game Mode",Vertical Alignment (VA),,,"8.3"" (210 mm)",Yes,"17.7"" (450.7 mm)",80 kHz,75 Hz,"26"" (660.2 mm)",500 mW,,-5Â°to20Â°,,,,Yes,,,,,,Yes,2.0,,,,,,,,No,,,,,,,
"Lg 32wl30ms-b 32"" Edge Led Lcd Monitor - 16:9 - 25 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 400 Nit - 500,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Usb - 65 W - Black - Erp, Energy Star 5.1, Tco - (32WL30MS-B) - SoftwareCity.ca - Canada",Yes,,16:9,Edge LED,LG,400 cd/mÂ²,"ULcULCB schemeTUVFCC Class ""B""VCCIC-tickCEKCC",Black,"500,000:1","1.4"" (35.6 mm)",,Yes,"ErP, ENERGY STAR 5.1, TCO",Yes,Yes,"17.4"" (442 mm)",178Â°,3 Year,LG Electronics,32WL30MS-B,http://www.lg.com/ca,1920 x 1080,,1.0,65 W,,PC,,32WL30MS-B,"32"" Class (31.5"" Measured Diagonally) IPS Edge LED Super Narrow Bezel",LCD Monitor,25 ms,Full HD,"32""",Anti-glare,1 W,178Â°,Yes,200 x 200,Yes,7.89 kg,"29.1"" (739.1 mm)",,16.7 Million Colors,"120 V AC, 230 V AC",,,Yes,,,"Digital Signage Ready, Temperature Sensor, Picture in Picture, Security Lock",In-plane Switching (IPS) Technology,,8.66 kg,"11.9"" (302.3 mm)",Yes,"19.6"" (497.8 mm)",67.50 kHz,60 Hz,"29.1"" (739.1 mm)",500 mW,,,Landscape/Portrait,,,Yes,Yes,Yes,,,,,2.0,,,,,,,,,,,,,,,
"Viewsonic Vg2428wm-led 24"" Led Lcd Monitor - 5 Ms - 1920 X 1080 - 1,000:1 - Full Hd - Dvi - Vga - (VG2428WM-LED) - SoftwareCity.ca - Canada",,Yes,,LED,Viewsonic,,,,"1,000:1",,,Yes,,,,,,,Viewsonic Corporation,VG2428WM-LED,http://www.viewsonic.com,1920 x 1080,,1.0,,,,,VG2428wm-LED,VG2428wm-LED Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"24""",,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asus Pa249q 24"" Led Lcd Monitor - 16:10 - 6 Ms - Adjustable Display Angle - 1920 X 1200 - 1073.7 Million Colors (10-bit) - 350 Nit - 80,000,000:1 - Wuxga - Dvi - Hdmi - Vga - Displayport - Usb - 72 W - Black - Energy Star, China Energy Label (cel), Epeat Gold, Erp, J-moss (japanese Rohs), Rohs, Tco Certified Displays 6.0, Weee - (PA249Q) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Asus,350 cd/mÂ²,BSMI CB CCC CE C-Tick FCC Gost-R ISO-9241-307 PSE TUV-Ergo TUV-GS UL/cUL VCCI WHQL NOM,Black,"80,000,000:1","2.4"" (62 mm)",Yes,Yes,"ENERGY STAR, China Energy Label (CEL), EPEAT Gold, ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE",Yes,Yes,"14.3"" (362.8 mm)",178Â°,3 Year,ASUS Computer International,PA249Q,http://www.asus.com,1920 x 1200,Wall Mountable,1.0,72 W,PA249Q Widescreen LCD Monitor Cable Tie DVI Cable VGA Cable Power Cord DisplayPort Cable USB 3.0 Cable Quick Start Guide Support CD Warranty Card Color Pre-calibration Report,"PC, Mac",,PA249Q,PA249Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"24""",,1 W,178Â°,Yes,100 x 100,Yes,6.60 kg,"21.9"" (557.2 mm)",,1073.7 Million Colors (10-bit),"110 V AC, 220 V AC",,,Yes,Yes,USB Hub,"Splendid Video Intelligence Technology, Picture in Picture, Picture by Picture, Security Lock",Advanced High Performance In-plane Switching (AH-IPS) Technology,USB 3.0,,"9.3"" (235 mm)",Yes,"16.4"" (416.3 mm)",83 kHz,76 Hz,"21.9"" (557.2 mm)",0 mW,,,,PA,,,,,,,,Yes,,,,,,,,,,,,,,,,
"Nec Display Multisync Ea244wmi-bk 24"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1920 X 1200 - 16.7 Million Colors - 350 Nit - 1,000:1 - Wuxga - Speakers - Dvi - Hdmi - Vga - Displayport - Usb - 29 W - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Gold, Rohs - (EA244WMI-BK) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,NEC Display,350 cd/mÂ²,ISO 9241-307 Class I,,"1,000:1","2.6"" (66 mm)",Yes,Yes,"ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Gold, RoHS",Yes,Yes,"14.2"" (360.7 mm)",178Â°,3 Year,NEC Display Solutions,EA244WMI-BK,http://www.necdisplay.com,1920 x 1200,Arm-mountable,1.0,29 W,"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS PanelSetup SheetUser ManualPower Cord15-pin D-sub CableDVI-D CableUSB CableAudio CableControlSync Cable",,MultiSync,EA244WMI-BK,"24"" Widescreen LED-Backlit Desktop Monitor w/ IPS Panel",LCD Monitor,5 ms,WUXGA,"24""",,470 mW,178Â°,Yes,100 x 100,Yes,4.81 kg,"21.9"" (556.3 mm)",,16.7 Million Colors,,,,Yes,Yes,"USB Hub, Speaker","Smart Sensing Technology, Ambient Light Sensor, Eco Mode, Touch Controls, AccuColor",In-plane Switching (IPS) Technology,USB 2.0,7.62 kg,"9.1"" (231.1 mm)",Yes,"21.2"" (538.5 mm)",77 kHz,60 Hz,"21.9"" (556.3 mm)",,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
"Acer T232hl 23"" Led Lcd Touchscreen Monitor - 16:9 - 5 Ms - 1920 X 1080 - Adjustable Display Angle - 16.7 Million Colors - 300 Nit - Speakers - Hdmi - Usb - Vga - (UM.VT2AA.A01) - SoftwareCity.ca - Canada",Yes,No,16:9,LED,Acer,300 cd/mÂ²,,Black,"100,000,000:1","1.5"" (38 mm)",,,MPR II,Yes,,"16.5"" (420 mm)",178Â°,,"Acer, Inc",UM.VT2AA.A01,http://www.acer.ca,1920 x 1080,,,20.90 W,T232HL Widescreen LCD Touchscreen Monitor1 x HDMI Cable1 x VGA Cable1 x USB 3.0 CablePower Cord,,,T232HL,T232HL Widescreen LCD Touchscreen Monitor,LCD Touchscreen Monitor,5 ms,Full HD,"23""",Anti-glare,490 mW,178Â°,,,Yes,5.16 kg,"22.6"" (574 mm)",,16.7 Million Colors,"220 V AC, 110 V AC",Yes,,Yes,No,USB Hub,Mobile High-Definition Link (MHL),,USB 3.0,5.70 kg,"2"" (50 mm)",Yes,"17.9"" (455 mm)",,60 Hz,"22.6"" (574 mm)",480 mW,,,,T,,Yes,,,,,,,,,,,,,,,,,,,,,,
"Viewsonic Td2740 27"" Led Lcd Touchscreen Monitor - 16:9 - 12 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 3000:1 - 260 Cd/mÂ² - Speakers - Hdmi - Usb - Vga - Glossy Black - Weee, Rohs - 3 Year - (TD2740) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Viewsonic,260 cd/mÂ²,CE CB FCC-B w/ ICES003 US NRTL w/ CA cULus\cTUVus cETLus/cBVus Mexico Energy ISO9241-3:2008,Glossy Black,3000:1,,Yes,,"WEEE, RoHS",Yes,,,178Â°,3 Year,Viewsonic Corporation,TD2740,http://www.viewsonic.com,1920 x 1080,Wall Mountable,,52 W,TD2740 Touchscreen LCD Monitor Power cable Audio cable VGA cable HDMI cable USB cable Quick Start Guide ViewSonic Wizard CD,PC,,TD2740,TD2740 Touchscreen LCD Monitor,LCD Touchscreen Monitor,12 ms,Full HD,"27""",Anti-scratch,,178Â°,Yes,100 x 100,Yes,,,,,"110 V AC, 220 V AC",Yes,Projected Capacitive,Yes,,"USB Hub, Speaker, Webcam, Microphone","Mobile High-Definition Link (MHL), Security Lock",,USB 2.0,8.80 kg,"2"" (50.8 mm)",Yes,"16.5"" (419.1 mm)",82 kHz,75 Hz,"26.5"" (673.1 mm)",,,,,,,Yes,,,,,,Yes,,,,,,,Yes,,,,,,,,,
"Asus Vs239h-p 23"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 50,000,000:1 - Full Hd - Hdmi - Vga - 40 W - Black - Energy Star 5.0, Rohs, Weee, Erp - (VS239H-P) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,250 cd/mÂ²,UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL,Black,"50,000,000:1","7.9"" (200 mm)",,,"ENERGY STAR 5.0, RoHS, WEEE, ErP",Yes,Yes,"15.8"" (400.3 mm)",178Â°,3 Year,ASUS Computer International,VS239H-P,http://www.asus.com,1920 x 1080,Wall Mountable,1.0,40 W,VS239H Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card,PC,,VS239H-P,VS239H Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"23""",,1 W,178Â°,Yes,100 x 100,Yes,3.50 kg,"21.7"" (552 mm)",,16.7 Million Colors,,,,,,,"Splendid Video Intelligence Technology, Security Lock",In-plane Switching (IPS) Technology,,,,Yes,,,75 Hz,,1 W,,,,VS,,,,,,,,Yes,,,,,,,,,,,,,,,,
"Acer B226wl 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 16.7 Million Colors - 250 Nit - 100,000,000:1 - Wsxga+ - Speakers - Dvi - Vga - 24.20 W - Black - Tco '06 - (UM.EB6AA.001) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","8.7"" (221.2 mm)",,Yes,TCO '06,Yes,Yes,"21"" (534.2 mm)",170Â°,,"Acer, Inc",UM.EB6AA.001,http://www.acer.ca,1680 x 1050,,1.0,24.20 W,B226WL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord,,,B226WL,B226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"22""",Anti-glare,450 mW,160Â°,,,Yes,3.09 kg,"19.9"" (505.7 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,Yes,Speaker,,Twisted Nematic Film (TN Film),,5.75 kg,,,,,60 Hz,,350 mW,,,,B,,Yes,,,,,,,2.0,,,,,,,,,,,,,,,
"Philips Brilliance 220b4lpcb 22"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1680 X 1050 - 16.7 Million Colors - 250 Cd/mÂ² - 1,000:1 - Wsxga+ - Speakers - Dvi - Vga - Usb - 15.80 W - Textured Black - Energy Star 5.0, Epeat Gold, Weee, Rohs, Tco Certified Edge, Tco Certified Displays 5.2 - (220B4LPCB/27) - SoftwareCity.ca - Canada",Yes,Yes,16:10,LED,Philips,250 cd/mÂ²,BSMI CE Mark FCC Class B GOST SASO SEMKO TUV Ergo TUV/GS UL/cUL,Textured Black,"1,000:1","2.3"" (59 mm)",,Yes,"ENERGY STAR 5.0, EPEAT Gold, WEEE, RoHS, TCO Certified Edge, TCO Certified Displays 5.2",Yes,Yes,"13.7"" (349 mm)",170Â°,4 Year,Philips Electronics,220B4LPCB/27,http://www.philips.com,1680 x 1050,,1.0,15.80 W,,"PC, Mac",Brilliance,220B4LPCB,"Brilliance LCD Monitor, LED Backlight with PowerSensor",LCD Monitor,5 ms,WSXGA+,"22""",,300 mW,160Â°,Yes,100 x 100,Yes,3.38 kg,"19.8"" (504 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,Yes,Speaker,"PowerSensor, TrueVision, SmartErgoBase, SmartImage",,USB 2.0,5.20 kg,"8.9"" (227 mm)",,"20"" (509 mm)",,60 Hz,"19.8"" (504 mm)",0 mW,,,Landscape/Portrait,B,,Yes,,,,,,Yes,2.0,,65%,,Plastic,,,,,,,,,,1.0,
"3m M2167pw 21.5"" Led Lcd Touchscreen Monitor - 16:9 - 16 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 16.7 Million Colors - 5,000:1 - 250 Nit - Hdmi - Usb - Vga - Rohs - 1 Year - (98-0003-3729-9) - SoftwareCity.ca - Canada",Yes,,16:9,LED,3M,250 cd/mÂ²,FCC-BCETUVC-Tick,,"5,000:1","7.1"" (180.3 mm)",Yes,,RoHS,Yes,,"14.9"" (378.5 mm)",178Â°,1 Year,3M,98-0003-3729-9,http://www.3m.com,1920 x 1080,"Wall Mountable, Arm-mountable",,37.50 W,,"PC, Mac",,M2167PW,M2167PW Touchscreen LCD Monitor,LCD Touchscreen Monitor,16 ms,Full HD,"21.5""",,,178Â°,Yes,100 x 100,Yes,6.40 kg,"20.7"" (525.8 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",Yes,Projected Capacitive,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
"Asus Vs228h-p 21.5"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 50,000,000:1 - Full Hd - Hdmi - Vga - 25 W - Black - Weee, Energy Star, Rohs - (VS228H-P) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,250 cd/mÂ²,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL,Black,"50,000,000:1",,,,"WEEE, ENERGY STAR, RoHS",Yes,Yes,,170Â°,3 Year,ASUS Computer International,VS228H-P,http://www.asus.com,1920 x 1080,Wall Mountable,1.0,25 W,VS228H-P Widescreen LCD MonitorDVI CableVGA CablePower CordQuick Start GuideWarranty Card,PC,,VS228H-P,VS228H-P Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,500 mW,160Â°,Yes,100 x 100,Yes,3.10 kg,,,16.7 Million Colors,,,,,,,,,,,"7.9"" (200 mm)",Yes,"15.2"" (385.5 mm)",,75 Hz,"20.2"" (514.1 mm)",500 mW,,,,VS,,,,,,,,Yes,,,,,,,,,,,,,,,,
"Asus Ve278q 27"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 10,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 44 W - Black - Energy Star, Rohs, Weee - (VE278Q) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Asus,300 cd/mÂ²,CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSSTaiwan Green Mark,Black,"10,000,000:1","8.7"" (220 mm)",,Yes,"ENERGY STAR, RoHS, WEEE",Yes,,"17.5"" (445.6 mm)",170Â°,3 Year,ASUS Computer International,VE278Q,http://www.asus.com,1920 x 1080,Wall Mountable,1.0,44 W,VE278Q Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card,PC,,VE278Q,VE278Q Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"27""",,2 W,160Â°,Yes,100 x 100,Yes,6.50 kg,"25.3"" (643 mm)",,16.7 Million Colors,,,,,,Speaker,,,,,,Yes,,,85 Hz,,,,,,VE,,Yes,,,,,,,2.0,,,,,,,,,,,,,,,
"Viewsonic Va926-led 19"" Led Lcd Monitor - 4:3 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 250 Cd/mÂ² - 1,000:1 - Sxga - Dvi - Vga - 18 W - Black - Energy Star, Rohs, Tco Displays 5.0, Epeat Silver - (VA926-LED) - SoftwareCity.ca - Canada",Yes,,4:3,LED,Viewsonic,250 cd/mÂ²,,Black,"1,000:1","7.7"" (195.6 mm)",,Yes,"ENERGY STAR, RoHS, TCO Displays 5.0, EPEAT Silver",Yes,,"17.1"" (434.3 mm)",170Â°,3 Year,Viewsonic Corporation,VA926-LED,http://www.viewsonic.com,1280 x 1024,Wall Mountable,1.0,18 W,,"PC, Mac",,VA926-LED,VA926-LED LCD Monitor,LCD Monitor,5 ms,SXGA,"19""",Anti-glare,,160Â°,Yes,,Yes,3.49 kg,"16.2"" (411.5 mm)",,,,,,,,,Security Lock,,,,"7.7"" (195 mm)",,,82 kHz,75 Hz,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,
"Planar Pll2210mw 22"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Nit - 1,000:1 - Full Hd - Speakers - Dvi - Vga - 25 W - Black - Rohs - (997-6501-00) - SoftwareCity.ca - Canada",Yes,,16:9,LED,Planar,250 cd/mÂ²,cTUVusCEFCC-B,Black,"1,000:1","1.9"" (48.5 mm)",,Yes,RoHS,Yes,Yes,"12.6"" (321.1 mm)",170Â°,3 Year,"Planar Systems, Inc",997-6501-00,http://www.planar.com,1920 x 1080,,1.0,25 W,PLL2210MW Widescreen LCD MonitorPower CordVGA CableDVI CableAudio CableUser's Guide,"PC, Mac",,PLL2210MW,PLL2210MW Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"22""",Anti-glare,500 mW,160Â°,Yes,100 x 100,Yes,3.18 kg,"19.9"" (506.5 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,,,Speaker,,,,,"7"" (177.8 mm)",,"15.4"" (389.9 mm)",,60 Hz,"19.9"" (506.5 mm)",,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,
"Aoc Value I2769vm 27"" Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 50,000,000:1 - Full Hd - Speakers - Hdmi - Vga - Displayport - 35 W - Black - Energy Star 6.0, Tco Displays 5.0, Rohs, Eup - (I2769VM) - SoftwareCity.ca - Canada",Yes,No,16:9,,AOC,250 cd/mÂ²,,Black,"50,000,000:1","5.1"" (130 mm)",Yes,No,"ENERGY STAR 6.0, TCO Displays 5.0, RoHS, EuP",Yes,Yes,"17.7"" (449 mm)",178Â°,3 Year,AOC,i2769Vm,http://us.aoc.com,1920 x 1080,,1.0,35 W,,PC,Value,i2769Vm,"i2769Vm 68.6cm (27"") IPS Monitor",LCD Monitor,5 ms,Full HD,"27""",,500 mW,178Â°,,,Yes,4.99 kg,"24.5"" (622 mm)",,16.7 Million Colors,,,,,No,Speaker,"Eco Mode, Security Lock, Mobile High-Definition Link (MHL)",In-plane Switching (IPS) Technology,,,,Yes,,83 kHz,60 Hz,,500 mW,,,,,,Yes,No,,,,,Yes,,,,,,No,,No,,,,,,,,
"Viewsonic Va2251m-led 22"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Vga - 30 W - Reach, Weee, Epeat Silver, Energy Star, Erp - (VA2251M-LED) - SoftwareCity.ca - Canada",,,16:9,LED,Viewsonic,250 cd/mÂ²,CBCEUL/c ULFCC-BULARGOST-R/HygienicUkrSEPRO + DoCCCCCEL Level 1BSMIPSBC-tickSASOe-standbyKC,,"1,000:1","2.4"" (62 mm)",,Yes,"REACH, WEEE, EPEAT Silver, ENERGY STAR, ErP",Yes,,"12.2"" (310.4 mm)",170Â°,3 Year,Viewsonic Corporation,VA2251m-LED,http://www.viewsonic.com,1920 x 1080,Wall Mountable,1.0,30 W,,"PC, Mac",,VA2251m-LED,"22"" Full HD 1080p LED Monitor",LCD Monitor,5 ms,Full HD,"22""",Anti-glare,,160Â°,Yes,100 x 100,Yes,3.23 kg,"20.1"" (511.3 mm)",,,"110 V AC, 220 V AC",,,,,,Security Lock,,,3.54 kg,"6.5"" (163.8 mm)",,"14.6"" (371.1 mm)",82 kHz,75 Hz,"20.1"" (511.3 mm)",,,,,,,Yes,,,,,,,2.0,,,,,,,,,,,,,,,
"Nec Display Multisync Ex231w-bk 23"" Led Lcd Monitor With Vukunet Free Cms - 5 Ms - 16:09 - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 1000:1 - Dvi - Usb - Black - Energy Star, Tco Displays 5.0, Mpr Iii, Epeat Gold, Rohs - (EX231W-BK) - SoftwareCity.ca - Canada",Yes,,16:9,LED,NEC Display,250 cd/mÂ²,,Black,"25,000:1, 1,000:1","1.9"" (47.7 mm)",Yes,Yes,"ENERGY STAR, TCO Displays 5.0, MPR III, EPEAT Gold, RoHS",Yes,Yes,"12.5"" (318.3 mm)",176Â°,3 Year,NEC Display Solutions,EX231W-BK,http://www.necdisplay.com,1920 x 1080,,1.0,32 W,,PC,MultiSync,EX231W-BK,MultiSync EX231W-BK Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"23""",,370 mW,170Â°,Yes,100 x 100,,2.80 kg,"21.3"" (540.2 mm)",,16.7 Million Colors,"110 V AC, 220 V AC",,,Yes,,,,,USB 2.0,4.20 kg,"8.5"" (215 mm)",,"20.1"" (511.3 mm)",,75 Hz,"21.3"" (540.2 mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
