<page title>,aspect ratio,backlight technology,brand name,brightness,builtin devices,colour,contrast ratio,depth,depth with stand,displayport,dvi,full product specifications,green compliance certificateauthority,green compliant,height,height with stand,limited warranty,manufacturer,manufacturer part number,maximum resolution,number of screens,operating power consumption,package contents,product line,product model,product name,product type,response time,screen mode,screen size,usb,vga,weight approximate,width,width with stand,adjustable display angle,features,hdmi,horizontal viewing angle,mount type,number of speakers,platform supported,product series,speakers,vertical viewing angle,vesa mount compatible,weight with stand approximate,adjustable display height,adjustable display pivot,colour support,hdcp supported,headphone,input voltage,maximum adjustable height,offmode power consumption,panel technology,standard refresh rate,standby power consumption,swivel angle,tilt angle,vesa mount standard,screen surface,certifications standards,component video,composite video,webcam,firewireilink,network rj45,thunderbolt,svideo,energy consumption per year,energy efficiency class,usb standard,recycled,recycled content,horizontal frequency,system requirements,sdi,sdi standard,display orientation,3d type,additional information,postconsumerwaste,packaged quantity,product code,3d technology,country of origin,package type
"PA249Q, 2765107, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:10,LED,Asus,350 cd/m²,USB Hub,Black,"80,000,000:1",62 mm,235 mm,Yes,Yes,,,,362.8 mm,416.30 mm,,ASUS Computer International,PA249Q,1920 x 1200,1,72 W,,,PA249Q,PA249Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"61 cm (24"")",Yes,Yes,6.60 kg,557.2 mm,557.20 mm,Yes,Splendid Video Intelligence Technology Picture by Picture Security Lock Picture in Picture,Yes,178°,Wall Mountable,,Mac PC,PA,,178°,Yes,,Yes,Yes,1073.7 Million Colors (10-bit),Yes,Yes,,,0 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,,1 W,,,100 x 100,,,,,,,,,,,,USB 3.0,,,83 kHz,,,,,,,,,,,,
"I2476VWM, 3091676, AOC, LCD Monitor, JR Linton",16:9,,AOC,250 cd/m²,,Black,"50,000,000:1",183.4 mm,,No,No,,TCO Certified Displays 6.0 RoHS EuP EPEAT Silver ENERGY STAR 6.0,Yes,427.8 mm,,3 Year,AOC,I2476VWM,1920 x 1080,1,26 W,Value i2476Vwm Widescreen LCD Monitor Power Cable D-Sub Cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM,Value,i2476Vwm,Value i2476Vwm Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"59.9 cm (23.6"")",,Yes,3.84 kg,558.1 mm,,Yes,Security Lock i-Menu Mobile High-Definition Link (MHL) Eco Mode Screen+ e-Saver,Yes,178°,,,,,No,178°,Yes,,No,No,16.7 Million Colours,Yes,,230 V AC 120 V AC,,500 mW,In-plane Switching (IPS) Technology,60 Hz,500 mW,,-4°to22°,100 x 100,,CE cTUVus GOST ISO 9241-307 TÜV-Bauart,,,,,,,,,,,,,,,,,,,,,,,,,
"857-10595, DELP1913, Dell, LCD Monitor, JR Linton",16:10,LED,Dell,250 cd/m²,USB Hub,Black,"1,000:1",58.5 mm,183.30 mm,Yes,Yes,,ENERGY STAR 6.0 China Energy Label (CEL) EPEAT Gold TCO Certified Displays,Yes,290.8 mm,476.40 mm,3 Year,"Dell, Inc",857-10595,1440 x 900,1,42 W,"Professional P1913 19'' (48cm) LED Monitor VGA,DVI-D,DP (1440x900) Black Power Cable USB Cable VGA Cable Drivers and Documentation Media Quick Setup Guide Safety Information DVI-D Cable",Professional,P1913,"Professional P1913 19'' (48cm) LED Monitor VGA,DVI-D,DP (1440x900) Black",LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",Yes,Yes,2.52 kg,443.8 mm,443.80 mm,Yes,Security Lock Cable Management,,170°,Wall Mountable,,PC,,,160°,Yes,,Yes,Yes,16.7 Million Colours,Yes,,110 V AC 220 V AC,,,,60 Hz,300 mW,,,100 x 100,Anti-glare,,,,,,,,,,,USB 2.0,,,,,,,Landscape/Portrait,,,,,,,,
"60003330, NECTFTSV241, NEC Display Solutions, LCD Monitor, JR Linton",16:10,,NEC Display,360 cd/m²,USB Hub,Black,"1,000:1",227.6 mm,,Yes,Yes,,MPR II ErP RoHS MPR III TCO Displays 5.0,Yes,528 mm,,3 Year,NEC Display Solutions,60003330,1920 x 1200,1,95 W,SpectraView Reference 241Power CableSignal Cable DisplayPortCD-ROMSales Office ListUser ManualCD-ROM With SpectraView Profiler Software And ManualDetachable Black Light Protection HoodSpectraView Certifier DocumentSignal Cable: DVI-D - DVI-D,SpectraView,Reference 241,SpectraView Reference 241,LCD Monitor,8 ms,WUXGA,"61 cm (24"")",Yes,Yes,10.60 kg,556.8 mm,,Yes,Carbon Footprint Meter Ambient Light Sensor TileComp TileMatrix Support Picture in Picture Security Lock CableComp+,,178°,,,PC,,,178°,Yes,,Yes,Yes,1.07 Billion Colors,,,220 V AC 110 V AC,,,In-plane Switching (IPS) Technology,60 Hz,1 W,,,200 x 100,,CETUV ErgonomicsTUV GSC-tickGEEA/Energy LabelFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB,,,,,,,,,,,,,,,,,Landscape,,,,,,,,
"274E5QHSB/00, 2711318, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Glossy Black,"20,000,000:1",,,,No,,,,,,,Philips Electronics,274E5QHSB/00,1920 x 1080,1,,,,274E5QHSB,274E5QHSB Widescreen LCD Monitor,LCD Monitor,7 ms,Full HD,"68.6 cm (27"")",,,,,,,Mobile High-Definition Link (MHL),Yes,178°,,,,,,178°,,,,,,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DS19SDI, VIGDS19SDI, Vigilant Vision, Ltd, LCD Monitor, JR Linton",16:9,LED,Vigilant,250 cd/m²,Speaker,Black,"1,000:1",,,,,,WEEE RoHS ENERGY STAR,Yes,,,,"Vigilant Vision, Ltd",DS19SDI,1920 x 1080,1,35 W,"18.51"" (16:9 ) LED Monitor Power Supply Kettle Lead VGA Cable Audio Cable User Manual Remote Control",,DS19SDI,"18.51"" (16:9 ) LED Monitor",LCD Monitor,3.90 ms,Full HD,"47 cm (18.5"")",,Yes,3.80 kg,,,,Picture on Picture Sleep Timer Picture in Picture,Yes,178°,,2.0,,,Yes,170°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,75 Hz,,,,100 x 100,,CE FCC,,,,,,,Yes,,,,,,,,Yes,HDSDI,,,,,,,,,
"9H.LAALB.QBE, 2819843, BenQ, LCD Monitor, JR Linton",16:9,,BenQ,350 cd/m²,USB Hub,Black,"1,000:1",,259 mm,Yes,Yes,,TCO Certified Displays 6.0,Yes,,525 mm,,BenQ Corporation,9H.LAALB.QBE,2560 x 1440,1,,,,BL2710PT,BL2710PT Widescreen LCD Monitor,LCD Monitor,4 ms,WQHD,"68.6 cm (27"")",Yes,Yes,8.20 kg,,639 mm,Yes,Security Lock Brightness Sensor Eco Mode Senseye 3 Ambient Light Sensor,Yes,178°,Wall Mountable,2.0,PC Mac,,Yes,178°,Yes,,Yes,Yes,1.07 Billion Colors,Yes,Yes,110 V AC 220 V AC,,,Advanced Hyper Viewing Angle (AHVA),,,,,100 x 100,,,,,,,,,,,,USB 3.0,,,,,,,,,,,,,,,
"G2460FQ, 3062143, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,350 cd/m²,Speaker,Black,"80,000,000:1",,219.30 mm,Yes,Yes,,RoHS TCO Certified Displays 6.0 ENERGY STAR 6.0 EPEAT Gold,Yes,,411.60 mm,3 Year,AOC,G2460FQ,1920 x 1080,1,22 W,"g2460Fq 61cm (24"") LCD Monitor Power Cable D-Sub cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Style,g2460Fq,"g2460Fq 61cm (24"") LCD Monitor",LCD Monitor,1 ms,Full HD,"61 cm (24"")",No,Yes,4.16 kg,,565.40 mm,Yes,OverDrive Screen+ Security Lock i-Menu Eco Mode e-Saver Zero Power Switch,Yes,170°,Wall Mountable,,,,Yes,160°,Yes,,No,No,16.7 Million Colours,Yes,Yes,220 V AC 110 V AC,,300 mW,Twisted Nematic Film (TN Film),60 Hz,500 mW,,-5°to20°,100 x 100,,CE CU ISO 9241-307 TUV-GS Ukarin Safety,,,,,,,No,,,,,,,,,,,,,,,,,,
"VG2233SMH, B921637, ViewSonic, LCD Monitor, JR Linton",16:9,LED,Viewsonic,250 cd/m²,Speaker,,"20,000,000:1",51 mm,204.30 mm,,Yes,,REACH ErP TCO,Yes,311.6 mm,361 mm,3 Year,Viewsonic Corporation,VG2233SMH,1920 x 1080,1,22 W,VG2233Smh Widescreen LCD Monitor Power Cable VGA Cable DVI Cable Audio Cable Quick Start Guide ViewSonic Wizard CD-ROM,,VG2233Smh,VG2233Smh Widescreen LCD Monitor,LCD Monitor,4 ms,Full HD,"55.9 cm (22"")",,Yes,,505.6 mm,505.60 mm,Yes,Eco Mode Super Clear Image Enhancement Technology,Yes,178°,Wall Mountable,2.0,,,Yes,178°,Yes,,Yes,Yes,16.7 Million Colours,,Yes,110 V AC 220 V AC,100 mm,,Twisted Nematic Film (TN Film),60 Hz,,340°,-5°to25°,100 x 100,Anti-glare,CU UkrSEPRO DoC,,,,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
"190S1CB/00, Philips, LCD Monitor, JR Linton",16:10,,Philips,250 cd/m²,,Black,"25,000:1",68 mm,201 mm,,Yes,,RoHS TCO '03 ENERGY STAR 5.0 EPEAT Silver,Yes,305 mm,421 mm,,Philips Electronics,190S1CB/00,1440 x 900,1,17.10 W,,Brilliance,190S1CB,Brilliance LCD Monitor with SmartImage,LCD Monitor,5 ms,WXGA+,"48.3 cm (19"")",,Yes,3.40 kg,436 mm,436 mm,Yes,Security Lock TrueVision SmartImage,,176°,,,PC Mac,S,,170°,Yes,4.50 kg,Yes,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,800 mW,,,100 x 100,,BSMICE MarkFCC Class BGOSTSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,,,,,,,,,,,,,,,
"UM.WG7EE.A01, 3112698, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Black,"100,000,000:1",35.4 mm,185.70 mm,,Yes,,ENERGY STAR ECO MPR II,Yes,303.8 mm,384.10 mm,2 Year,"Acer, Inc",UM.WG7EE.A01,1920 x 1080,1,24 W,LED Monitor G227HQL 1 x VGA cable Power cord,,G227HQLA,LED Monitor G227HQL,LCD Monitor,6 ms,Full HD,"54.6 cm (21.5"")",,Yes,,499.4 mm,499.40 mm,Yes,CrystalBrite,Yes,178°,,,,,,178°,,,No,,16.7 Million Colours,,,230 V AC 120 V AC,,450 mW,In-plane Switching (IPS) Technology,60 Hz,490 mW,,-5°to15°,,Anti-glare,,,,,,,,,29 kWh,A,,,,,,,,,,,,,,,,
"I2770VHE, 3142910, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,300 cd/m²,,Black,"50,000,000:1",,241.90 mm,No,Yes,,EuP RoHS ENERGY STAR 6.0 REACH EPEAT Gold TCO Certified Displays 6.0,Yes,,449.30 mm,3 Year,AOC,I2770VHE,1920 x 1080,1,32 W,"i2770Vhe 68.6cm (27"") LCD Monitor Power Cable D-Sub Cable HDMI Cable Product CD-ROM Warranty Card on CD-ROM",Value,i2770Vhe,"i2770Vhe 68.6cm (27"") LCD Monitor",LCD Monitor,5 ms,Full HD,"68.6 cm (27"")",No,Yes,4.80 kg,,642.40 mm,Yes,i-Menu Eco Mode e-Saver Screen+,Yes,178°,Wall Mountable,,,,No,178°,Yes,,No,No,16.7 Million Colours,Yes,,230 V AC 120 V AC,,500 mW,PLS (Plane to Line Switching) Technology,60 Hz,500 mW,,-5°to25°,100 x 100,,CE GOST ISO 9241-307 TUV-GS FCC,,,,,,,,,,,,,,,,,,,,,,,,,
"LDT422V, MITLDT422V, Mitsubishi, LCD Monitor, JR Linton",,,Mitsubishi,500 cd/m²,,,"1,300:1",132.1 mm,,,Yes,,,,614.7 mm,,,Mitsubishi,LDT422V,1920 x 1080,1,182 W,,,LDT422V,LDT422V Widescreen LCD Monitor,LCD Monitor,9 ms,,"106.7 cm (42"")",,Yes,20.41 kg,1022.1 mm,,,,Yes,178°,Wall Mountable,,Mac PC,,,178°,Yes,,,,,,,,,,,,,,,100 x 100,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,
"223V5LHSB/00, PHI-223V5LHSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",50 mm,213 mm,,No,,TCO Certified Displays WEEE RoHS EPEAT Silver ENERGY STAR 6.0,Yes,316 mm,376 mm,,Philips Electronics,223V5LHSB/00,1920 x 1080,1,15.85 W,,V-line,223V5LHSB,LCD Monitor with SmartControl Lite,LCD Monitor,5 ms,Full HD,"54.6 cm (21.5"")",,Yes,2.35 kg,503 mm,503 mm,Yes,Security Lock Sync on Green SmartContrast SmartControl,Yes,170°,Wall Mountable,,Mac PC,,No,160°,Yes,2.61 kg,No,No,16.7 Million Colours,Yes,,220 V AC 110 V AC,,500 mW,,60 Hz,500 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus,,,No,,No,,,,,,,,,"Operating Systems:
Windows 7 Home Basic Windows 7 Home Basic x64 Windows 7 Home Premium Windows 7 Home Premium x64 Windows 7 Professional Windows 7 Professional x64 Windows 7 Starter Windows 7 Starter x64 Windows 7 Ultimate Windows 7 Ultimate x64 Windows 8 Windows 8 Enterprise Windows 8 Enterprise x64 Windows 8 Pro Windows 8 Pro x64 Windows 8 x64",,,,,,,,,,,
"E807955, N300913, Elo Touch Solutions, Inc, LCD Monitor, JR Linton",16:9,,Elo,200 cd/m²,,Black,500:1,30.5 mm,,,,,WEEE RoHS,Yes,124.5 mm,,3 Year,"Elo Touch Solutions, Inc",E807955,800 x 480,1,4.50 W,,,0700L,0700L Widescreen LCD Monitor,LCD Monitor,25 ms,,"17.8 cm (7"")",Yes,,589.7 g,188 mm,,,,,140°,,,,,,100°,Yes,,,,16.7 Million Colours,,,,,2.59 W,,60 Hz,2.59 W,,,75 x 75,Anti-glare,C-TickcULICCEVCCINOM CoCULFCCCB,,,,,,,,,,,,,,,,,,,,,,,,,
"PA279Q, 2802052, ASUSTeK COMPUTER, LCD Monitor, JR Linton",16:9,LED,Asus,350 cd/m²,Speaker USB Hub Card Reader,Black,"100,000,000:1",69.5 mm,240 mm,Yes,Yes,,,,379.7 mm,559.84 mm,,ASUS Computer International,PA279Q,2560 x 1440,1,49 W,,ProArt,PA279Q,ProArt PA279Q Widescreen LCD Monitor,LCD Monitor,6 ms,WQHD,"68.6 cm (27"")",Yes,,10 kg,640.8 mm,640.78 mm,Yes,Trace Free Technology Picture in Picture Splendid Video Intelligence Technology Picture by Picture SmartContrast Security Lock,Yes,178°,Wall Mountable,2.0,Mac PC,,Yes,178°,Yes,,Yes,Yes,1073.7 Million Colors (10-bit),Yes,Yes,,,0 mW,Advanced High Performance In-plane Switching (AH-IPS) Technology,,500 mW,,,100 x 100,,,,,,,,,,,,USB 3.0,,,113 kHz,,,,,,,,,,,,
"e2370sd, AOCE2370SD, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,,Black,"1,000:1",221 mm,,No,Yes,,ENERGY STAR 6.0 EPEAT Gold EuP RoHS China Energy Label (CEL) CECP,Yes,393.3 mm,,3 Year,AOC,E2370SD,1920 x 1080,1,18 W,"e2370Sd 58.4cm (23"") LED MONITOR Power Cable D-Sub Cable DVI-D Cable Driver CD Warranty Card on CD-ROM",Value,e2370Sd,"e2370Sd 58.4cm (23"") LED MONITOR",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",No,Yes,3.27 kg,546.7 mm,,Yes,Screen+ i-Menu Security Lock e-Saver Eco Mode,No,170°,Wall Mountable,,PC,,No,160°,Yes,,No,No,16.7 Million Colours,Yes,,110 V AC 220 V AC,,300 mW,,60 Hz,500 mW,,,100 x 100,,CE FCC GOST ISO 9241-307 NRTL TÜV-GS CCC CB cTUVus BSMI,No,No,,,,,No,,,,,,,,,,,,,,,,,,
"240B4LPYCS/00, PHI-240B4LPYCS/00, Philips, LCD Monitor, JR Linton",16:10,LED,Philips,250 cd/m²,Speaker USB Hub,Black Silver,"1,000:1",65 mm,227 mm,Yes,Yes,,WEEE TCO Certified Displays 6.0 EPEAT Gold ENERGY STAR 6.0 EPA RoHS,Yes,388 mm,543 mm,2 Year,Philips Electronics,240B4LPYCS/00,1920 x 1200,1,20.10 W,,Brilliance,240B4LPYCS,Brilliance LCD Monitor with PowerSensor,LCD Monitor,5 ms,WUXGA,"61 cm (24"")",Yes,Yes,3.97 kg,555 mm,555 mm,Yes,Eco Mode Security Lock Cable Management Sync on Green SmartImage PowerSensor SmartErgoBase,,170°,,2.0,PC Mac,B,Yes,160°,Yes,5.83 kg,Yes,Yes,16.7 Million Colours,Yes,Yes,110 V AC 220 V AC,,0 mW,,60 Hz,200 mW,,,100 x 100,,BSMI CE Mark FCC Class B GOST SEMKO TUV Ergo TUV/GS UL/cUL,,,,,,,,,,USB 2.0,,,,,,,,,,,,,,,
"UM.VB6EE.009, 3009345, Acer, LCD Monitor, JR Linton",16:9,LED,Acer,250 cd/m²,,Dark Grey,"100,000,000:1",52 mm,221 mm,,Yes,,TCO Certified Displays 6.0 EPEAT Gold,Yes,325 mm,530 mm,3 Year,"Acer, Inc",UM.VB6EE.009,1920 x 1080,1,21.90 W,B236HL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,,B236HL,B236HL Widescreen LCD Monitor,LCD Monitor,6 ms,Full HD,"58.4 cm (23"")",,Yes,3.50 kg,544 mm,544 mm,Yes,,Yes,178°,,,,B,Yes,178°,,6.20 kg,Yes,Yes,16.7 Million Colours,,,220 V AC 110 V AC,,350 mW,In-plane Switching (IPS) Technology,60 Hz,450 mW,60°,-5°to35°,,Anti-glare,,,,,,,,,36 kWh,B,,,,,,,,,,,,,,,,
"231S4LSB/00, Philips, LCD Monitor, JR Linton",16:9,LED,Philips,250 cd/m²,,Black,"1,000:1",60 mm,207 mm,,Yes,,RoHS WEEE ENERGY STAR 5.0 TCO Certified Displays 5.2 EPEAT Gold,Yes,343 mm,431 mm,2 Year,Philips Electronics,231S4LSB/00,1920 x 1080,1,21.30 W,,Brilliance,231S4LSB,"LCD Monitor, LED Backlight with SmartImage",LCD Monitor,5 ms,Full HD,"58.4 cm (23"")",,Yes,3.03 kg,547 mm,547 mm,Yes,SmartImage Security Lock,,170°,,,Mac PC,S,,160°,Yes,3.68 kg,,,16.7 Million Colours,Yes,,220 V AC 110 V AC,,100 mW,,60 Hz,100 mW,,,100 x 100,,BSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GSUL/cUL,,,,,,,,,,,Yes,25% Plastic,,,,,,,,,,,,,
"E2460PQ/BK, 3088794, AOC, LCD Monitor, JR Linton",16:9,LED,AOC,250 cd/m²,Speaker,Black,"50,000,000:1",,243.50 mm,Yes,Yes,,RoHS ENERGY STAR 6.0 EPEAT Gold TCO Certified Displays 6.0 EuP,Yes,,523.60 mm,3 Year,AOC,E2460PQ/BK,1920 x 1080,1,22 W,"e2460Pq /BK 61cm (24"") LCD Monitor Power Cable D-Sub Cable DVI-D Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM",Professional,e2460Pq /BK,"e2460Pq /BK 61cm (24"") LCD Monitor",LCD Monitor,2 ms,Full HD,"61 cm (24"")",No,Yes,6.38 kg,,565.40 mm,Yes,Eco Mode e-Saver i-Menu Screen+ Security Lock OverDrive,No,170°,Wall Mountable,,,,Yes,160°,Yes,,Yes,Yes,16.7 Million Colours,Yes,,110 V AC 220 V AC,130 mm,500 mW,Twisted Nematic Film (TN Film),60 Hz,500 mW,,-5°to22°,100 x 100,,CE CU ISO 9241-307 TUV-GS Ukarin Safety,,,,,,,No,,,,,,,,,,Landscape/Portrait,,,,,,,,
"9H.L94LA.T8E, M352229, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,200 cd/m²,,Glossy Black,600:1,164 mm,,,,,ENERGY STAR 5.0,Yes,362 mm,,,BenQ Corporation,9H.L94LA.T8E,1366 x 768,1,11 W,,,GL955A,GL955A Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA,"47 cm (18.5"")",,Yes,2.80 kg,459 mm,,Yes,Security Lock Senseye 3,,90°,Wall Mountable,,PC,G,,50°,Yes,,,,16.7 Million Colours,,,220 V AC 110 V AC,,,,,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FWD-S42H1, 1625962, Sony, LCD Monitor, JR Linton",16:9,,Sony,700 cd/m²,Speaker,,"1,000:1",124.5 mm,,,Yes,,,,577.9 mm,,,Sony Corporation,FWD-S42H1,1920 x 1080,1,,,,FWD-S42H1,FWD-S42H1 Widescreen LCD Monitor,LCD Monitor,8 ms,Full HD,"106.7 cm (42"")",,Yes,29.94 kg,984.3 mm,,,,,178°,Arm-mountable Wall Mountable,2.0,,FWD,Yes,178°,,,,,1.06 Billion Colors,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,
"LH46EDCPLBC/EN, Samsung, LCD Monitor, JR Linton",16:9,LED,Samsung,350 cd/m²,Speaker,,"5,000:1",94.8 mm,,,,,,,615.8 mm,,3 Year,Samsung,LH46EDCPLBC/EN,1920 x 1080,1,121 W,,,ED46C,LFD Display,LCD Monitor,,Full HD,"116.8 cm (46"")",Yes,Yes,11.90 kg,1057.7 mm,,,,Yes,178°,,2.0,,,Yes,178°,Yes,,,,1.07 Billion Colors,,,110 V AC 220 V AC,,500 mW,,60 Hz,500 mW,,,400 x 400,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60B4RAT6UK, 3092025, Lenovo, LCD Monitor, JR Linton",16:9,LED,Lenovo,300 cd/m²,Speaker USB Hub,Black,"3,000,000:1",,289.31 mm,Yes,No,,China RoHS ULE Gold TÜV RoHS ENERGY STAR 6.0 TCO Certified Edge Displays 1.2 EPEAT Gold TCO Certified Displays,Yes,443.2 mm,,3 Year,Lenovo Group Limited,60B4RAT6UK,3840 x 2160,1,,,ThinkVision,Pro2840m,Thinkvision Pro2840m Widescreen LCD Monitor,LCD Monitor,5 ms,QFHD,"71.1 cm (28"")",Yes,,10.19 kg,665.7 mm,,Yes,CAD/CAM Mode Security Lock Mobile High-Definition Link (MHL),Yes,170°,,2.0,PC,,Yes,160°,Yes,,Yes,Yes,1.073 Billion Colors,Yes,,220 V AC 110 V AC,110 mm,,Twisted Nematic Film (TN Film),60 Hz,,45°,-5°to20°,100 x 100,,ISO 9241-307,,,No,,,,,,,USB 3.0,Yes,85% Plastic,,,,,,,,,,,,,
"27MB85Z-B, 3003554, LG Electronics, LCD Monitor, JR Linton",16:9,LED,LG,,,,,,,Yes,Yes,,,,,,,LG Electronics,27MB85Z-B,2560 x 1440,1,,,,27MB85Z-B,27MB85Z-B Widescreen LCD Monitor,LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",Yes,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,Yes,,,,USB 3.0,,,,,,,,,,,,,,,
"A1X76AA#ABU, 94389XM, HP, LCD Monitor, JR Linton",4:3,LED,HP,300 cd/m²,Speaker USB Hub,Jack Black,"1,000:1",40.6 mm,,Yes,Yes,,ENERGY STAR IT Eco Declaration EPEAT Gold WEEE Eco-label REACH China Energy Label (CEL),Yes,208.3 mm,,,Hewlett-Packard,A1X76AA#ABU,1024 x 768,1,18 W,,,L6010,L6010 10.4-inch Retail Monitor,LCD Monitor,25 ms,XGA,"26.4 cm (10.4"")",Yes,Yes,1.20 kg,254 mm,,,Security Lock,,176°,,2.0,PC,,Yes,176°,Yes,,,No,,Yes,,110 V AC 220 V AC,,500 mW,,60 Hz,1 W,,,75 x 75,Anti-static Anti-glare,UL CB CE FCC ICES BSMI CCC SEPA CECP C-Tick S-Mark VCCI ISO 11469 ISO 1043 ISO 14001,,,,,,,,,,USB 2.0,Yes,15.7% Plastic,,,,,,,,,,,,,Retail
"240P4QPYNS/00, Philips, LCD Monitor, JR Linton",16:10,,Philips,300 cd/m²,,,,,,,Yes,,,,,,,Philips Electronics,240P4QPYNS/00,1920 x 1200,1,,,,240P4QPYNS,240P4QPYNS Widescreen LCD Monitor,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9H.L7ALB.QPE, BENQGL2450, BenQ, LCD Monitor, JR Linton",16:9,LED,BenQ,250 cd/m²,,Glossy Black,"1,000:1",179.1 mm,,,Yes,,TCO Displays 5.0,Yes,436.5 mm,,,BenQ Corporation,9H.L7ALB.QPE,1920 x 1080,1,34 W,GL2450 Widescreen LCD MonitorVGA Cable,,GL2450,GL2450 Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"61 cm (24"")",,Yes,4.10 kg,579.4 mm,,Yes,Senseye 3,,170°,Wall Mountable,,PC,,No,160°,Yes,,No,,16.7 Million Colours,Yes,,,,,,76 Hz,300 mW,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60A6MAR2EU, LNVCMG18, Lenovo, LCD Monitor, JR Linton",16:10,LED,Lenovo,300 cd/m²,USB Hub,Black,"1,000:1",,,Yes,Yes,,ULE Gold EPEAT Gold TCO Certified Edge Displays 1.1 ENERGY STAR 5.1,Yes,,,5 Year,Lenovo Group Limited,60A6MAR2EU,1920 x 1200,1,,,ThinkVision,LT2452p,ThinkVision LT2452p Wide 24in LED Monitor,LCD Monitor,7 ms,WUXGA,"61 cm (24"")",Yes,Yes,,,,Yes,Security Lock Cable Management,,178°,,,PC,,,178°,Yes,,Yes,Yes,,,,,,,Enhanced In-plane Switching (E-IPS) Technology,,,,,100 x 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XB2779QS-B1, 2883685, Iiyama, LCD Monitor, JR Linton",16:9,LED,iiyama,440 cd/m²,Speaker,Black,"1,000:1",230 mm,,Yes,Yes,,ENERGY STAR,Yes,564.5 mm,,,"iiyama North America, Inc",XB2779QS-B1,2560 x 1440,1,55 W,,ProLite,XB2779QS,"ProLite XB2779QS-B1 27"" LED AH-IPS Monitor",LCD Monitor,5 ms,WQHD,"68.6 cm (27"")",,Yes,8.20 kg,650 mm,,Yes,Security Lock i-Style-Color Eco Mode OverDrive Display Power Management Signaling (DPMS),Yes,178°,Wall Mountable,2.0,Mac PC,,Yes,178°,Yes,,Yes,Yes,16.77 Million Colors,Yes,Yes,220 V AC 110 V AC,130 mm,,Advanced High Performance In-plane Switching (AH-IPS) Technology,75 Hz,500 mW,45°,0°Up to17°,100 x 100,,CE TUV-Bauart GOST-R VCCI-B PSE,,,No,,,,,,,,,,,,,,Landscape/Portrait,,,,,,,,
