1920 x 1200 graphic mode,<page title>,aspect ratio,backlight,barcode,brightness,case colour,certifications,contrast ratio,digital in,dimensions,displayport in,environmental,hd support,hdmi ports,headphone ports,height adjustable,in the box,pixel pitch,plug and play,power consumption,power supply,resolution native,response time,scan frequency,screen dimensions,screen type,security locking mechanics,speakers,swivel,tilt forwardbackward,usb ports,user controls,vga in,view angle,voltagefrequency,wall mount,warranty,antiglare antistatic,audio features,audio line in ports,audio line out ports,digital out,language selection,model name,pixel clock speed,product type,resolution maximum,rj45 ports,scan frequency horizontal,scan frequency vertical,serial ports,synch input,display type,1920 x 1080 graphic mode,monitor,power adaptor type,remote control,svideo in,video component in,video composite in,power management features,product family,video component out,video composite out,description,audio capabilities,network interface,pivot,scart ports,backlight technology,brand name,builtin devices,colour,dvi,hdmi,horizontal viewing angle,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,maximum response time,number of screens,product model,product name,screen mode,screen size,vertical viewing angle,vga,audiovisual port,lifetime,system requirements,webcam,ac power,bnc port,1024 x 768 graphic mode,1280 x 768 graphic mode,640 x 350 graphic mode,640 x 480 graphic mode,720 x 400 text graphic mode,800 x 600 graphic mode,factory presets,user programmable modes,video bandwidth,operating systems supported,power adaptor output voltage,1680 x 1050 graphic mode,dc power,microphone in port,adjustable display angle,colour support,depth,green compliance,green compliance certificateauthority,hdcp support,height,input voltage,marketing information,operating power consumption,package contents,platform support,standby power consumption,vesa mount compatible,vesa mount standard,weight approximate,width,mount type,offmode power consumption,product series,svideo,1440 x 900 graphic mode,1280 x 1024 graphic mode,1400 x 900 graphic mode,1152 x 864 mac graphic mode
,Cleverboxes - 241TE5LB/00 | Philips 241TE5LB/00 (23.6 inch) LCD Monitor with LED Backlight 1920x1080 (Black),16:9,LED,,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",,56.0cm (W) x 17.4cm (D) x 39.5cm (H) - Weight 3.91kg,,,,2 x HDMI,1 x Headphone Port,Yes,,,,33W (Max) / 0.3W (Standby),,1920 x 1200 Pixels,5ms,,23.6in (Diagonal),TFT LCD 16.7 Million Colour,,2 x 3W,±65°,0 to +15°,1 x USB 2.0,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 75mm x 75mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,,,,,,,,,,,,,,,,,"You want the LCD flat display with the highest contrast and most vibrant images. Philips advanced video processing combined with unique extreme dimming and backlight-boosting technology results in vibrant images. SmartContrast will increase the contrast with excellent black level and accurate rendition of dark shades and colours. It gives a bright, lifelike picture with high contrast and vibrant colours. SmartPicture is an exclusive leading edge Philips technology that analyses the content displayed on your screen and gives you optimised display performance. This user friendly interface allows you to select various modes like Office, Image, Entertainment, Economy etc., to fit the application in use. Based on the selection, SmartPicture dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button! SmartSound allows you to select various modes like Movie, Games, Music etc., thereby automatically activating predefined frequencies to enhance the sound related to the function.",,,Yes,1 x SCART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - LH32MDCPLGC/EN | Samsung SyncMaster MD32C (32 inch) LED Large Format Display 5000:1 350cd/m2 1920x1080 8ms HDMI,16:9,Direct LED,8806085513426,350cd/m2,Black,,"5,000:1 (Static) , 100,000:1 (Dynamic)",1 x DVI-D,73.60cm (W) x 9.35cm (D) x 43.60cm (H) - Weight 6.40kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,1 x HDMI,,,Samsung SyncMaster MD32C (32 inch) LED Large Format Display • Quick Setup Guide • Warranty Card • Application CD • D-Sub Cable • Power Cord • Remote Controller • Batteries,0.363mm,DDC 2B,47W (Max) / 0.5W (Standby),Internal,1920 x 1080 Pixels Full HD,8ms,,32in,a-si TFT/S-PVA 16.7 Million Colour,,2 x 10W,,,,,1 x 15-pin D-Sub (RGB),178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 200mm x 200mm",3 Years,,,1 x Stereo Mini Jack,1 x Stereo Mini Jack,,,MD32C,,Display,,1 x RJ-45,30KHz to 81KHz,48Hz to 75Hz,1 x 9-pin RS-232-C (input) • 1 x 9-pin RS-232-C (output),,,,,,Included,,1 x Component Video,1 x Composite (CVBS),Energy Star 5.0,SyncMaster,,,"You'll find the Samsung LED LFD brings with it a slim bezel and light design, yet it offers heavy weight communication solutions for any modern business looking to convey concise marketing or educational messages. Its sheer narrowness of bezel removes any distractions from your sight to provide a greater surface area. Whilst its lightness makes it easy to transport and mount. In your day-to-day work it's a constant challenge to make sure your sales or educational messages are noticed quickly with maximum impact. With the built-in media player for your Samsung LFD, you can elevate your display capabilities more than you ever thought possible. The brightness sensor detects the ambient light intensity and automatically adjusts the screen brightness in accordance. The inclusion of our Samsung MagicInfo Lite software enables you to run the LFD as a standalone unit without the need of additional players, display and schedule video clip, slide show and image files increased versatility. Its features include Network Schedule, Network Schedule Manager, Local Schedule, Local Schedule Manager, Contents Manager, Internal AutoPlay and USB AutoPlay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cleverboxes - 273E3LHSB/00 | Philips 273E3LHSB 68.6 cm (27"") LED LCD Monitor - 16:9 - 5 ms - 1920 x 1080 - 390 cd/m² - 20000000:1 - Speakers - DVI - HDMI - VGA - Black",16:9,,,390 cd/m²,,,20000000:1,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,LCD Monitor,,,,,,,,,,,,,,,,,,,,,,,,LED,Philips,Speaker,Black,Yes,Yes,176°,Philips Electronics,273E3LHSB/00,www.philips.co.uk,1920 x 1080,5 ms,1.0,273E3LHSB,273E3LHSB Widescreen LCD Monitor,HD 1080,"68.6 cm (27"")",170°,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 32WL30MS | LG Electronics LG 32WL30MS-B (32 inch) IPS Edge LED Backlit LCD Large Screen Monitor 1300:1 400cd/m2 1920x1080 16.4ms HDMI/DVI-D,16:9,,8806084048882,400cd/m2,Black,,"1,300:1 (Static) , 500,000:1 (Dynamic)",1 x DVI-D (with HDCP),73.91cm (W) x 3.55cm (D) x 44.19cm (H) - Weight 7.89kg,,Operating Temperature 0 to 40°C - Humidity 10 to 80%,Yes,1 x HDMI (with HDCP),,,,,,,,1920 x 1080 Pixels Full HD,16.4ms,,32in (Diagonal),IPS 16.7 Million Colour,,2 x 10W,,,1 x USB,,1 x 15-pin D-Sub (RGB),178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , VESA Compliant - 200mm x 200mm",,Anti-glare • Hard Coating (2H) • Haze 1%,Clear Voice II,,,,,32WL30MS-B,148.5MHz,Display,1920 x 1080 Pixels Full HD,1 x RJ-45,30KHz to 67.5KHz,60Hz,1 x 9-pin RS-232-C (input) • 1 x 9-pin RS-232-C (output),,,,,,,,1 x Component Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 x AV input,"60,000 hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 278C4QHSN/00 | Philips (27 inch) LCD Monitor with Ambiglow LCD Backlight 1920x1080 (Black),16:9,LED,,250cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",,62.3cm (W) x 19.7cm (D) x 47.1cm (H) - Weight 5.44kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,,,,,0.311 x 0.311mm,,28W (Max) / 0.4W (Standby),,,5ms,,27in (Diagonal),IPS LED 16.7 Million Colour,,,,-5 to +20°,,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,,,,,,,,,,Monitor,,,30KHz to 83KHz,56Hz to 75Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"Utilising the latest technology panels, the new Philips displays are designed with a minimalistic approach by limiting the outer bezel thickness to about 2.5 mm. Combined with an in-panel black matrix strip of around 9 mm, the overall bezel dimensions are reduced significantly, minimising distractions and maximising viewing size. Especially suited to multi-display or tiling setups like gaming, graphics design and professional applications, the Ultra-narrow bezel display gives you the feeling of using one large display. An HDMI-ready device has all the required hardware to accept High-Definition Multimedia Interface (HDMI) input, high quality digital video and audio signals all transmitted over a single cable from a PC or any number of AV sources including set-top boxes, DVD players and A/V receivers and video cameras. SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and gives you optimised display performance. This user-friendly interface allows you to select various modes like Office, Image, Entertainment, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - LS22C20KBW/EN | Samsung Series 2 S22C200BW (22 inch) LED Business Monitor 1000:1 250cd/m2 1680x1050 5ms DVI,16:10,LED,8806085230682,250cd/m2,Matt Black,,"1,000:1 (Static)",1 x DVI,50.24cm (W) x 18.5cm (D) x 41.35cm (H) - Weight 3.85kg,,Operating Temperature 10 to 40°C - Humidity 10 to 80%,,,,,Samsung Series 2 S22C200BW (22 inch) LED Business Monitor • D-sub Cable • 1.5m Power Cable Length • E-manual • Install CD • Quick Setup Guide,0.282 x 0.282mm,,24W (Max) / 0.1W (Standby),,1680 x 1050 Pixels WSXGA+,5ms,,22in Display Area - 47.376 x 29.61cm,TN (Twisted nematic) 16.7 Million Colour,,,,-1 to 20°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",3 Year,,,,,,,S22C200BW,,Display,,,,,,,,,,Integrated,,,,,,Series 2,,,"Easy to mount and install, it is convenient, safe, compatible, and the perfect partner to your monitor. You will always have a great viewing angle and it also makes the most of your space with its slim design. With 5-mode angle management, enjoy a full visual experience with amazing picture clarity from whatever angle or position you view your Samsung monitor from. Mega Dynamic Contrast Ratio delivers new levels of colour and picture quality to your viewing experience with images that are real-to-life. A breathtaking Mega DCR contrast ratio shows blacks at their absolute darkest and pristine whites and other colours at their brightest. You will notice the crystal clear picture clarity. It is like explosions of colours that make other screens seem dull in comparison. Enjoy your multimedia content with the professionalism it deserves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 240B4LPYNS/00 | Philips 240B4LPYNS/00 (24 inch) LCD Monitor with PowerSensor LED Backlight 1920x1200 (Silver),16:10,LED,,250cd/m2,Silver,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,55.5cm (W) x 22.7cm (D) x 54.3cm (H) - Weight 5.83kg,1 x DisplayPort 1.2,,,,,Yes,,0.270 x 0.270mm,,19.5W (Max) / 0.2W (Standby),,1920 x 1200 Pixels,5ms,,24in (Diagonal),TFT LCD 16.7 Million Colour,,,±65°,-5 to +20°,2 x USB 2.0,,1 x 15-pin D-sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,,,,,,,Monitor,,,24KHz to 94KHz,48Hz to 85Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and optimises your display performance. This user-friendly interface allows you to select various modes, like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time at the touch of a single button! Thanks to its advanced SmartErgoBase, the Philips monitor can be lowered down almost to desk level for a comfortable viewing angle. Low bezel-to-table height is the perfect solution if you use bifocals, trifocals or progressive lens glasses for your computing work. Additionally, it allows users of different heights to use the monitor at their preferred angle and height settings, helping them to reduce fatigue and strain. USB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which have USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass through to the computer.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - UM.VG6EE.H01 | Acer G6 Series G236HLHbid (23 inch) Full HD LED Monitor 200cd/m2 1920x1080 5ms HDMI/DVI (Black),16:9,,4712196793029,200cd/m2,Black,,"100,000,000:1 (Dynamic)",1 x DVI (with HDCP),,,,Yes,1 x HDMI,,,,,,,,1920 x 1080 Pixels 1080p,5ms,,23in (Diagonal),LED,,,,,,,1 x 15-pin D-Sub,,,,2 Years Bring-in,,,,,,,G236HLHbid,,Monitor,,,,,,,,60Hz,,,,,,,,G6 Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 240P4QPYEB/00 | Philips 240P4QPYEB/00 (24 inch) LCD Monitor with LED Backlight 1920x1200 (Black),16:10,LED,,300cd/m2,Black,,"1,000:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI-D,55.5cm (W) x 24.4cm (D) x 55.0cm (H) - Weight 6.97kg,1 x DisplayPort 1.2,,,,1 x Headphone Port,Yes,,0.270 x 0.270mm,,17W (Max) / 0.2W (Standby),,1920 x 1200 Pixels,14ms,,24in (Diagonal),IPS LED 16.7 Million Colour,,2 x 1.5W,±65°,-5 to +20°,2 x USB 2.0,,1 x 15-pin D-sub,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,,1 x 3.5mm PC audio input,,,,,,Monitor,,,30KHz to 83KHz,56Hz to 76Hz,,"Separate sync, Sync on green",,,,,,,,,,,,,"SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and optimises your display performance. This user-friendly interface allows you to select various modes, like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time at the touch of a single button! Thanks to its advanced SmartErgoBase, the Philips monitor can be lowered down almost to desk level for a comfortable viewing angle. Low bezel-to-table height is the perfect solution if you use bifocals, trifocals or progressive lens glasses for your computing work. Additionally, it allows users of different heights to use the monitor at their preferred angle and height settings, helping them to reduce fatigue and strain. USB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which have USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass through to the computer.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - MC914ZM/B | Apple (27 inch) LED Backlit LCD Display 1000:1 375cd/m2 (2560x1440) 12ms USB/FireWire/Thunderbolt,16:9,,,375cd/m2,,Lead-free; BFR-free; PVC-free; Mercury-free; Arsenic-free glass; Meets ENERGY STAR 5.1 requirements; Rated EPEAT Gold,"1,000:1 (Static)",,65.0cm (W) x 20.7cm (D) x 49.1cm (H) - Weight 10.8kg,,Operating Temperature 10 to 35°C - Humidity 20 to 80%,,,,,Apple Thunderbolt Display • AC power cord • Printed documentation,,,250W (Max) /,,2560 x 1440 Pixels,12ms,,27in,LED Backlight LCD TFT active-matrix LCD with in-plane switching (IPS) 16.7 million Colour,Kensington Lock Slot,Built-in,,,3 x USB 2.0,,,178° (Horizontal - Max) x 178° (Vertical - Max),100 to 240VAC / 50 to 60Hz,,90 days of free telephone support and a one-year limited warranty.,,Microphone integrated,,,,,,,Display,WQXGA,1 x RJ-45,,,,,LCD Display,,,,,,,,Energy Star,,,,"Thunderbolt I/O technology lets you move data between your devices and your computer with unprecedented speed. With two channels of 10-Gbps throughput in both directions, it's up to 20 times faster than USB 2.0 and up to 12 times faster than FireWire 800. And it allows you to connect as many as six devices through a single, compact port. With just one cable, connect any Thunderbolt-enabled Mac and get 27 inches of high-resolution screen space, high-quality audio, a FaceTime HD camera, FireWire 800 and Gigabit Ethernet ports, and a Thunderbolt port you can use to daisy-chain additional high-performance peripherals such as hard drives and video capture devices. The Thunderbolt Display includes a MagSafe connector that powers and charges your MacBook Pro or MacBook Air. The connector sits on your desk, ready and waiting. No need to unwind the cord to the power adapter that came with your notebook. Leave it exactly where it is, in your bag. With the built-in FaceTime HD camera and microphone, you can connect your Mac desktop or notebook, open or closed, and make HD video calls or take a few snapshots using Photo Booth.",,,,,,,,,,,,,,,,,,,,,,,,,,"Mac OS X v10.6.8 or later • Thunderbolt-enabled Mac computer, including MacBook Air, MacBook Pro, Mac mini, and iMac",Integrated Webcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 273E3LSB/00 | Philips E-Line 27 inch LED Monitor 1200:1 300 cd/m2 1920 x 1080 3.5ms VGA DVI-D,16:9,W-LED System,,300cd/m2,Black,BSMI • CE Mark • FCC Class B • GOST • SEMKO • PSB • SASO • TUV Ergo • TUV/GS • UL/cUL • TCO certified • WEEE,"1,200:1 (Static) , 20,000,000:1 (Dynamic)",1 x DVI (with HDCP),64.2cm (W) x 22.7cm (D) x 44.0cm (H) - Weight 8.2kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,Yes,,,,Philips E-Line 27 inch LED Monitor,0.311mm,DDC/CI • Mac OS X • sRGB • Windows 7,0.5W (Standby) / 0.5W (Saving),Built-in,,,30 to 83KHz (Horizontal) x 56 to 75Hz (Vertical),27in Display Area - 59.76 x 33.62cm,TFT LCD 16.7 Million Colour,Kensington Lock,,,-5 to +20°,,Touchscreen,1 x 15-pin D-Sub,178° (Horizontal - Max) x 170° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",,,,,,,English • French • German • Italian • Portuguese • Russian • Simplified Chinese • Spanish • Turkish,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,,"You want the LCD flat display with the highest contrast and most vibrant images. Philips advanced video processing combined with unique extreme dimming and backlight-boosting technology results in vibrant images. SmartContrast will increase the contrast with excellent black level and accurate rendition of dark shades and colours. It gives a bright, lifelike picture with high contrast and vibrant colours. Touch controls are intelligent, touch sensitive icons that replace protruding buttons that lets the user adjust the monitor to their requirement. Responding to your lightest touch, Touch control gives the monitor a modern feel. SmartControl Lite is the next generation 3D icon-based GUI monitor control software. This allows the user to fine-tune most parameters of the monitor like Colour, Brightness, screen calibration, Multimedia, ID management etc with the mouse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - LS23C45KBS/EN | Samsung Series 4 S23C450B (23 inch) LED Business Monitor 1000:1 250cd/m2 1920x1080 5ms DVI,16:9,LED,,250cd/m2,Matt Black,,"1,000:1 (Static)",1 x DVI,54.29cm (W) x 22.4cm (D) x 34.465cm (H) - Weight 4.6kg,,Operating Temperature 10 to 40°C - Humidity 10 to 80%,Yes,,,,Samsung Series 4 S23C450B (23 inch) LED Business Monitor • D-sub Cable • 1.5m Power Cable Length • E-manual • Install CD • Quick Setup Guide,0.2655 x 0.2655mm,,25W (Max) / 0.1W (Standby),,1920 x 1080 Pixels 1080p,5ms,,23in Display Area - 50.976 x 28.674cm,TN (Twisted nematic) 16.7 Million Colour,,,-45 to +45°,-3 to 25°,,,1 x 15-pin D-Sub,170° (Horizontal - Max) x 160° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , Supported - 100mm x 100mm",3 Year,,,,,,,S23C450B,,Display,,,,,,,,,,Internal,,,,,,Series 4,,,"Easy to mount and install, it is convenient, safe, compatible, and the perfect partner to your monitor. You will always have a great viewing angle and it also makes the most of your space with its slim design. Mega Dynamic Contrast Ratio delivers new levels of colour and picture quality to your viewing experience with images that are real-to-life. A breathtaking Mega DCR contrast ratio shows blacks at their absolute darkest and pristine whites and other colours at their brightest. You will notice the crystal clear picture clarity. It is like explosions of colours that make other screens seem dull in comparison. Enjoy your multimedia content with the professionalism it deserves.",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 196V4LAB2/00 | Philips Asus V-Line 196V4LAB2 (18.5 inch) LED Backlight LCD Monitor 600:1 200 cd/m2 1366 x 768 5ms VGA DVI- (Black) with Built in Speakers,16:9,W-LED System,,200cd/m2,Black,BSMI • CE Mark • FCC Class B • GOST • PSB • SASO • SEMKO • TUV/ISO9241-307 • UL/cUL • WEEE,"600:1 (Static) , 10,000,000:1 (Dynamic)",1 x DVI-D,44.3cm (W) x 20.1cm (D) x 34.9cm (H) - Weight 2.98kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,,,,,Asus V-Line 196V4LAB2 (18.5 inch) LED Backlight LCD Monitor,,DDC/CI • Mac OS X • sRGB • Windows 7 • Windows XP,0.5W (Standby) / 0.5W (Saving),Built-in,1366 x 768 Pixels,5ms,,18.5in,LED Backlight LCD 16.7 million Colour,Kensington Lock,2 x 2.0W Integrated,,-5 to 20°,,Auto/Down • Brightness/Back • Menu/OK • Power On/Off • Volume/Up,1 x 15-pin D-Sub,90° (Horizontal - Max) x 65° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",,,Integrated speakers,1 x PC audio input,,,English • French • German • Italian • Portuguese • Russian • Spanish • Simplified Chinese • Turkish,196V4LAB2/00,,Display,,,30KHz to 83KHz (Digital),56Hz to 75Hz (Digital),,"Separate sync, Sync on green",LED Backlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - LS23MUPNB/EN | Samsung MD230 23 inch Professional LCD Monitor 3000:1 300cd/m2 1920x1080 8ms (Black),,,8808993751686,300cd/m2,Black,,"3,000:1 (Static) , 15,000:1 (Dynamic)",,52.86cm (W) x 6.05cm (D) x 30.8cm (H) - Weight 5.6kg,,,,,,,,,,46W (Max) /,,,8ms,,,LCD 16.7 million Colours,,,,,,,,178° (Horizontal - Max) x 178° (Vertical - Max),,"Yes , Supported - 100mm x 100mm",,,,,,,,,,,1920 x 1080 Pixels,,,,,,,,23in,,,,,,,,,,"The MD230X6 comes with six high-performance screens. Complete your multi-display experience with the highest picture quality you can get—full HD. The MD series offers a stunningly clear picture thanks to an incredible 3000:1 static contrast ratio and a 150000:1 dynamic contrast ratio. And with a wide angle view of 178° / 178°, the picture looks razor-sharp from every direction. Each MD series display includes an ergonomic, custom stand which gives you total flexibility to play games, watch movies or design graphics just the way you want. It’s height adjustable up to 100mm and includes a hinge that tilts inward at 30°. The stand even lets you assemble your multi-display in landscape or portrait form. How’s that for a design that adapts to your needs? Worried you won’t have enough outlets to hook up every display? No problem—the MD series features a simple power connection. A daisy chain connects every monitor so you’ll only have one power cord to plug in. Take multitasking to new levels with this multi-control pad which lets you control up to six monitors. You can adjust the picture’s brightness and contrast, and even optimize the picture settings for editing a document, surfing the Internet, playing games, watching sports or movies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 273P3LPHEB/00 | Philips P-Line 273P3 (27 inch) LED Monitor 1200:1 300cd/ms2 1920 x 1080 3.5ms DVI-D VGA HDMI (Black),16:9,,8712581596699,300cd/m2,Black,BSMI • CE Mark • FCC Class B • GOST • PSB • SASO • SEMKO • TUV Ergo • TUV/GS • TCO certified • UL/cUL • WEEE • RoHS • EPEAT Gold,,1 x DVI-D,64.2cm (W) x 24.4cm (D) x 52.8cm (H) - Weight 8.74kg,,Operating Temperature 0 to 40°C - Humidity 20 to 80%,Yes,1 x HDMI (with HDCP),,Yes,,,DDC/CI • Mac OS X sRGB • Windows 7,0.5W (Standby),,1920 x 1080 Pixels,,,27in Display Area - 59.76 x 33.62cm,TFT LCD 16.7 Million Colour,Kensington Lock,2 x 2W,,-5 to +20°,3 x USB 2.0,SmartImage • Volume • Power On/Off • PowerSensor • Menu,1 x 15-pin D-Sub,178° (Horizontal - Max) x 170° (Vertical - Max),100 to 240VAC / 50 to 60Hz,"Yes , VESA Compliant - 100mm x 100mm",3 Years,,,1 x 3.5mm PC audio input,,,English • French • German • Italian • Portuguese • Russian • Simplified Chinese • Spanish,273P3LPHEB/00,,Display,1920 x 1080 Pixels,,30KHz to 83KHz,56Hz to 75Hz,,,LED Monitor,,,,,,,,,P-Line,,,"USB Hub allows user to conveniently connect their plug and play multimedia devices such as USB memory devices, camera, portable HDD, Web camera, PDA, Printer and many other devices which have USB connection available. The conveniently located USB 2.0 Hub on the monitor allows USB 2.0 signals to pass through to the computer. Note that many devices like cameras and HDD may need to be powered On independently, as they have higher power requirements than the monitor USB Hub can provide. SmartImage is an exclusive leading edge Philips technology that analyses the content displayed on your screen and gives you optimised display performance. This user-friendly interface allows you to select various modes like Office, Image, Entertainment, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimises the contrast, colour saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button. A pair of stereo speakers built into a display device. It can be visible front firing, or invisible down firing, top firing, rear firing etc, depending on model and design.",Built-in speakers: 2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cleverboxes - 60003146 | NEC Displays X551UN 55 inch LED Backlit Public Display 4000:1 700cd/m2 1920 x 1080 8ms DisplayPort/DVI-D/HDMI/VGA Black (no Feet),S-PVA TFT with Direct White LED Backlights,,,Yes,Operating Temperature 5 to 40°C - Humidity 20 to 80%,,700cd/m2,60Hz,"Yes , VESA Compliant - 300mm x 300mm Black 121.53cm (W) x 12.81cm (D) x 68.61cm (H) - Weight 36.40kg",1 x DVI-D (with HDCP),200W (Max) / 0.5W (Standby),55in Display Area - 121.0 x 68.0cm,1 x 15-pin D-Sub,,,VESA DPMS,,,1 x AC Adaptor,,16:9,178° (Horizontal - Max) x 178° (Vertical - Max),"4,000:1 (Static)",,,,,,,,,31.5 to 91.1KHz (Horizontal) x 25.2 to 85Hz (Vertical),1920 x 1080 Pixels HD 1080p,,NEC Displays X551UN 55 inch LED Backlit Public Display • DVI-D cable • Display Cable • Power Cable • interface cover • Free LAN control software • CD-ROM (User Guides/Manuals) • 3.5 mm jack Signal Cable,3 Years,,,1 x Composite,1 x Composite,,,,,,,1 x HDMI 1.3,,,1 x RCA,,,8ms,5028695108240,,,1 x RJ-45,,5 x BNC,10/100Mbps,,,1 x S-Video,,,1 x 9-pin RS-232-C (input) • 1 x 9-pin RS-232-C (output),,,,,,,,,,,,,,,,,,,,,,,,,,1 x RCA,1 x DisplayPort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
