<page title>,brand name,contrast ratio,diagonal screen size,dimensions,ecolabel,hd compatible,horizontal viewable angle,integrated speakers,item,manufacturer,manufacturer,maximum resolution,model name,monitor brightness,monitor color,native resolution,pixel pitch,signal input type,tv tuner,typical response time,viewable image size,wall mountable,warranty length,aspect ratio,backlight technology,brightness,depth,display orientation,height,input voltage,number of screens,platform supported,product line,product name,product type,screen size,vesa mount compatible,vesa mount standard,vga,weight,width,postconsumer recycled content,screen type,total recycled content,touchscreen type,builtin devices,color,color supported,depth with stand,dvi,height with stand,mount type,response time,screen mode,speakers,standard refresh rate,vertical viewing angle,viewing angle,weight with stand approximate,width with stand,features,offmode power consumption,operating power consumption,standby power consumption,touchscreen,usb,adjustable display angle,adjustable display height,adjustable display pivot,assembly required,country of origin,displayport,product series,quantity,recycled,certifications standards,hdcp supported,hdmi,multitouch screen,number of speakers,headphone jack,screen surface,panel technology,usb standard,webcam,antiglare,network rj45,compatibility,be comfortable,customizable color,full hd resolution,stay versatile,superb performance,ultrawide viewing angle,versatile connections,work with ease stay entertained for hours,component video,composite video,svideo,tilt angle
Asus VS208N P 20 LED LCD Monitor 169 5 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; EPEAT Gold,,,,866596,ASUS Computer International,KW3631,1600 x 900,VS208N-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.7""",,"14.6""",,1.0,,,VS208N-P Widescreen LCD Monitor,LCD Monitor,"20""",Yes,75 x 75,Yes,5.51 lb,"18.9""",,,,,,Black,16.7 Million Colors,,Yes,,Wall Mountable,5 ms,HD+,,75 Hz,160°,170°,,,,500 mW,14 W,500 mW,,,Yes,,,,,,VS,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,
LG E2211TB BN 22 LED LCD Monitor 169 5 ms by Office Depot,LG,"1,000:1",,,TCO Displays 5.0; EPEAT Gold; ENERGY STAR 5.0; RoHS,,,,119404,LG Electronics,NG8386,1920 x 1080,E2211TB-BN,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.5""",,"12""",110 V AC; 220 V AC,1.0,PC,,E2211TB-BN Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,5.93 lb,"20""",,,,,,Black,16.7 Million Colors,"8.30""",Yes,"15.70""",Wall Mountable,5 ms,Full HD,,75 Hz,160°,170°,6.61 lb,"20""",,,28 W,300 mW,,,Yes,,,,,,E11,,,ISO13406-2; UL (cUL); TUV-GS (TUV-Type); SEMKO; FCC-B; CE; TAA,Yes,,,,,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic EW2960 29 LED LCD Monitor by Office Depot,Viewsonic,"1,000:1",,,,,,,589774,Viewsonic Corporation,KB8782,1366 x 512,EW2960,,,,,,,,,,,,LED,1000 Nit,,,,,1.0,,,EW2960 Widescreen LCD Monitor,LCD Monitor,"29""",Yes,500 x 100,Yes,,,,,,,,Black,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic VX2370Smh LED 23 Widescreen HD Monitor Black by Office Depot,Viewsonic,"30,000,000:1 (dynamic)",23 inches,"16.1""H x 21""W x 7""D",ENERGY STAR,yes,170 degrees,Yes,695738,ViewSonic,PU9482,1920 x 1080,VX2370Smh-LED,250 cd/m2,Black,1920 x 1080,0.265 mm,"DVI, VGA, HDMI",No,7 ms,23 inches,no,3-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,flat-panel LED,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Viewsonic VA2037m LED 20 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR; WEEE; RoHS; REACH; TCO Certified Displays,,,,695639,Viewsonic Corporation,QN8766,1600 x 900,VA2037m-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"13.6""",110 V AC; 220 V AC,1.0,PC; Mac,,"20"" (19.5"" Viewable) Widescreen LED",LCD Monitor,"20""",Yes,100 x 100,Yes,7.70 lb,"21.9""",,,,,Speaker,,,"8.60""",Yes,"16.50""",Wall Mountable,5 ms,HD+,Yes,,160°,170°,9.30 lb,"21.90""",Eco Mode; Security Lock,,30 W,1 W,,,Yes,,,,,,,,Yes,CB; CE; UL; cUL; FCC-B / ICES-003B,Yes,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Dell UltraSharp U2312HM 23 LED Monitor Black by Office Depot,Dell,1000:1 (typical) / 2 million:1 (DCR),23 inches,"14.4""H x 21.5""W x 7.3""D",ENERGY STAR,yes,178 degrees,no,848918,"Dell, Inc.",T9MJ3,1920 x 1080 at 60Hz,UltraSharp U2312HM,300 cd/m2,Black,,0.265 mm,DisplayPort; DVI; VGA,No,8 ms,23 inches,yes,3-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,LED,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
Acer V196L 19 LED LCD Monitor 54 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,195958,"Acer, Inc",3696800,1280 x 1024,V196L,,,,,,,,,,,5:4,LED,250 Nit,"2""",,"13.3""",110 V AC; 220 V AC,1.0,,,V196L LCD Monitor,LCD Monitor,"19""",,,Yes,5.95 lb,"16""",,,,,,Black,16.7 Million Colors,"8.15""",Yes,"16.06""",,5 ms,SXGA,Yes,75 Hz,160°,170°,6.83 lb,"16""",,350 mW,15.80 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Asus VS248H P 24 LED LCD Monitor 169 2 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,865003,ASUS Computer International,KE8250,1920 x 1080,VS248H-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"8.1""",,"16.2""",,1.0,PC,,VS248H-P Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,9.04 lb,"22.6""",,,,,,Glossy Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,,76 Hz,160°,170°,,,,500 mW,32 W,500 mW,,,Yes,,,,,,VS,,,CEL; UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
Acer V196WL 19 LED LCD Monitor 1610 5 ms by Office Depot,Acer,"100,000,000:1",,,TCO '06; EPEAT Gold,,,,459640,"Acer, Inc",QX6152,1440 x 900,V196WL,,,,,,,,,,,16:10,LED,250 Nit,"7.5""",,"14.9""",110 V AC; 220 V AC,1.0,,,V196WL Widescreen LCD Monitor,LCD Monitor,"19""",,,Yes,6 lb,"17.3""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,WXGA+,,60 Hz,160°,170°,6.90 lb,,,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,Yes,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Viewsonic VG2228wm LED 22 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,RoHS; REACH; WEEE; ENERGY STAR; EPEAT Silver,,,,549938,Viewsonic Corporation,LL0271,1920 x 1080,VG2228wm-LED,,,,,,,,,,,16:9,LED,250 Nit,"9.1""",,"16.2""",110 V AC; 220 V AC,1.0,PC; Mac,,VG2228wm-LED Widescreen LCD Monitor,LCD Monitor,"22""",,,Yes,9.70 lb,"20.1""",,,,,Speaker; USB Hub,,Grayscale,,Yes,,,5 ms,Full HD,Yes,75 Hz,160°,170°,,,,,26 W,,,Yes,Yes,Yes,,,,,G,,,CB; UL; cUL; FCC-B/ICES003; UL AR/TUV-S; NOM; CE; GOST-R+Hygienic; UkrSepro; CCC; CEL level 2; BSMI; PSB; C-Tick; SASO,,,,2.0,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Asus VE248H 24 LED LCD Monitor 169 2 ms by Office Depot,Asus,"10,000,000:1",,,ENERGY STAR; RoHS; WEEE,,,,851809,ASUS Computer International,DL7132,1920 x 1080,VE248H,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"16.1""",,1.0,PC,,VE248H Widescreen LCD Monitor,LCD Monitor,"24""",Yes,100 x 100,Yes,9.70 lb,"22.4""",,,,,,Black,16.7 Million Colors,,Yes,,Wall Mountable,2 ms,Full HD,Yes,76 Hz,160°,170°,,,,,34 W,990 mW,,,Yes,,,,,,VE,,,CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS,Yes,Yes,,2.0,,,,,,,,,,,,,,,,,,,,
Viewsonic VA2232WM LED 22 LED LCD Monitor 1610 5 ms by Office Depot,Viewsonic,"1,000:1",,,WEEE; RoHS; REACH; ErP,,,,695657,Viewsonic Corporation,PF8799,1680 x 1050,VA2232WM-LED,,,,,,,,,,,,LED,,"2.4""",,"13.9""",110 V AC; 220 V AC,1.0,PC; Mac,,"22"" LED Display",,"22""",Yes,100 x 100,Yes,7.67 lb,"20.1""",,,,,,,,"7.69""",Yes,"16.39""",,,WSXGA+,Yes,75 Hz,,,8.62 lb,"20.11""",,,,,,,,,,,,,VA,,,CE; CB; UL; cUL; FCC-B / ICES-003B; UL-AR/TUV-S; NOM; Nemko ERGO; GS; GOST-R+Hygienic; UkrSEPRO; CCC; CEL level 1 BSMI; PSB; C-tick; SASO,,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Dell UltraSharp U2913WM 2875 Ultra Wide LED Monitor Black by Office Depot,Dell,"1000:1 (static, typical); 2 million:1 (dynamic)",28.75 inches,"14.12""-19.17""H x 27.55""W x 7.65""D",EPEAT Gold,yes,178 degrees,no,898013,"Dell, Inc.",0CX7K,2560 x 1080,UltraSharp U2913WM,300 cd/m2,Black,2560 x 1080,0.265 mm,DVI-D (digital) with HDCP; HDMI; VGA 15-pin D-sub; DisplayPort; mini-DisplayPort; USB upstream; USB downstream,No,8 ms (gray-to-gray),28.75 inches,yes,3-yr limited,21.3:9,,,,,,,,,,,,,,,,,,25%,in-plane switching (IPS),25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,
LG Flatron IPS235P BN 23 LED LCD Monitor 169 5 ms by Office Depot,LG,"5,000,000:1",23 inches,,TCO Displays 5.0,,,,119431,LG Electronics,11189759,1920 x 1080,IPS235P-BN,250 Nit,,,,,,,,,,16:9,LED,,"8.7""",,"15.2""",110 V AC; 220 V AC,1.0,PC,Flatron,Flatron IPS235P-BN Widescreen LCD Monitor,LCD Monitor,,Yes,100 x 100,Yes,13.01 lb,"21.5""",,,,,,Black,16.7 Million Colors,,Yes,,Wall Mountable; Arm-mountable,5 ms,Full HD,,,178°,178°,,,,300 mW,35 W,300 mW,,No,Yes,Yes,Yes,,,,IPS5,,,UL(cUL); TUV-GS (TUV-Type); SEMKO; FCC-B; CE; EPA,Yes,Yes,,,Yes,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Asus VS198D P 19 LED LCD Monitor 1610 5 ms by Office Depot,Asus,"50,000,000:1",,,EPEAT Gold; ENERGY STAR; WEEE; RoHS,,,,844762,ASUS Computer International,LA9579,1440 x 900,VS198D-P,,,,,,,,,,,16:10,LED,250 Nit,"7.3""",,"14.5""",,1.0,PC,,VS198D-P Widescreen LCD Monitor,LCD Monitor,"19""",Yes,75 x 75,Yes,5.95 lb,"17.6""",,,,,,Black,16.7 Million Colors,,No,,Wall Mountable,5 ms,WXGA+,No,75 Hz,160°,170°,,,,500 mW,25 W,500 mW,,,Yes,Yes,,,,No,VS,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL,No,No,,,,,,,,,,,,,,,,,,,,,,
NEC Display AccuSync AS192WM 19 LED LCD Monitor 1610 5 ms by Office Depot,NEC Display,"1,000:1",,,TCO Certified Displays 6.0; ENERGY STAR 6.0; EPEAT Silver; RoHS,,,,516583,NEC Display Solutions,QP7591,1440 x 900,AS192WM,,,,,,,,,,3-year limited,16:10,LED,250 Nit,"2.5""",,"11.8""",,1.0,,AccuSync,"19"" Value LED-Backlit Desktop Monitor w/ Built-In Speakers",LCD Monitor,"19""",Yes,100 x 100,Yes,7.30 lb,"17.3""",,,,,Speaker,,16.7 Million Colors,"8.30""",Yes,"13.70""",,5 ms,WXGA+,Yes,75 Hz,160°,170°,7.90 lb,"17.30""",Carbon Footprint Meter; AccuColor; Intelligent Power Manager (IPM) System,,14 W,400 mW,,,Yes,,,,,,,,,ISO 9241-307 Class I,Yes,,,,,,,,,,,,,,,,,,,,,,,
HP Advantage E231 23 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; TCO Certified Edge; EPA; EPEAT Gold,,,,479117,Hewlett-Packard,11083052,1920 x 1080,E231,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",Portrait,"13""",110 V AC; 220 V AC,1.0,,Advantage,Promo EliteDisplay E231 23-Inch LED Backlit Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,8.60 lb,"21.4""",,,,,USB Hub,Black,16.7 Million Colors,"9.54""",Yes,"18.50""",,5 ms,Full HD,No,60 Hz,160°,170°,,"21.42""",Security Lock,500 mW,36 W,500 mW,,Yes,Yes,Yes,Yes,,China,Yes,,,,CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; HSMI,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
HP Business Z23i 23 LED LCD Monitor 169 8 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Edge; REACH,,,,720614,Hewlett-Packard,RY4454,1920 x 1080,Z23i,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",,"12.9""",110 V AC; 220 V AC,1.0,PC,Business,Z Display Z23i 23-inch IPS LED Backlit Monitor (Energy Star),LCD Monitor,"23""",,,Yes,,"21.4""",,,,,USB Hub,,,"9.50""",Yes,"18.50""",,8 ms,Full HD,,,178°,178°,14.10 lb,"21.40""",Security Lock,,36 W,500 mW,,Yes,Yes,,,,,Yes,Performance,,,,Yes,,,,,Anti-glare,In-plane Switching (IPS) Technology,USB 2.0,,,,,,,,,,,,,,,,
Samsung SyncMaster S19B420BW 19 LED LCD Monitor 1610 5 ms by Office Depot,Samsung,"1,000:1",19 inches,,TÜV; ENERGY STAR 5.0; TCO Displays 5.0; EPEAT Gold,,,,771046,Samsung,PD5977,1440 x 900,S19B420BW,250 Nit,,,,,,,,,3-year limited,16:10,LED,,"2.4""",,"11.4""",,1.0,,SyncMaster,"19"" Business Monitor Series 4 (S19B420)",LCD Monitor,,Yes,,Yes,6.05 lb,"17.3""",,,,,,Matte Black,16.7 Million Colors,"7.48""",Yes,"16.43""",,5 ms,WXGA+,,,,,8.58 lb,"17.28""",,,20 W,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer S231HL 23 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II,,,,480304,"Acer, Inc",RT7457,1920 x 1080,S231HL,,,,,,,,,,,16:9,LED,250 Nit,,,,110 V AC; 220 V AC,1.0,,,S231HL Widescreen LCD Monitor,LCD Monitor,"23""",,,Yes,6.17 lb,,,,,,,Black,16.7 Million Colors,"6.18""",Yes,"15.39""",,5 ms,Full HD,No,60 Hz,160°,170°,7.50 lb,"21.34""",,450 mW,28.20 W,490 mW,,,Yes,No,No,,,,S,,,,,Yes,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Compaq Advantage LA1956x 19 LED LCD Monitor 54 5 ms by Office Depot,Compaq,"1,000:1",,,ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays; CECP,,,,479108,Hewlett-Packard,PV1437,1280 x 1024,LA1956x,,,,,,,,,,,5:4,LED,250 Nit,"1.9""",,"13.7""",110 V AC; 220 V AC,1.0,PC,Advantage,"LA1956x 48,3 cm (19"") LED Backlit LCD Monitor (A9S75AA)",LCD Monitor,"19""",Yes,,Yes,,"16.4""",,,,,USB Hub,Black,,"7.56""",Yes,"19.13""",,5 ms,SXGA,,,160°,170°,9.92 lb,"16.42""",Security Lock,,35 W,500 mW,,Yes,Yes,,,,,Yes,,,,,Yes,,,,,Anti-static; Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Viewsonic VA2451m LED 24 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",24 inches,,WEEE; RoHS; ENERGY STAR; EPEAT Silver; ErP; REACH,,,,695774,Viewsonic Corporation,PF9817,1920 x 1080,VA2451m-LED,250 Nit,,,,,,,,,,16:9,LED,,"7.8""",,"16.4""",110 V AC; 220 V AC,1.0,PC; Mac,,"24"" Full HD 1080p LED Monitor",LCD Monitor,,Yes,100 x 100,Yes,8.82 lb,"22""",,,,,,,,,Yes,,Wall Mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,,,Security Lock,,32 W,,,,,,,,,,,,,CE; CB; UL/c UL; FCC-B; ULAR; Gost-R/Hygienic; UkrSEPRO + DoC; CCC; CEL Level 1; BSMI; PSB; C-Tick; SASO; e-Standby; KC,,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
Viewsonic VG2428wm LED 24 LED LCD Monitor 5 ms by Office Depot,Viewsonic,"1,000:1",,,,,,,794054,Viewsonic Corporation,QU4696,1920 x 1080,VG2428wm-LED,,,,,,,,,,,,LED,,,,,,1.0,,,VG2428wm-LED Widescreen LCD Monitor,LCD Monitor,"24""",,,Yes,,,,,,,,,,,Yes,,,5 ms,Full HD,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer FT220HQL 215 LED LCD Touchscreen Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II,,,,539027,"Acer, Inc",TX3739,1920 x 1080,FT220HQL,,,,,,,,,,,16:9,LED,250 Nit,,,,220 V AC; 110 V AC,,,,FT220HQL Widescreen LCD Touchscreen Monitor,LCD Touchscreen Monitor,"21.5""",,,Yes,,,,,,,,Black,16.7 Million Colors,,,,,5 ms,Full HD,Yes,60 Hz,160°,170°,,,Mobile High-Definition Link (MHL),,,,Yes,,Yes,No,No,,,,F,,,,,Yes,Yes,,,Anti-glare,Twisted nematic (TN),,,,,,,,,,,,,,,,,10°to90°
Samsung S22C350H 215 LED LCD Monitor 169 5 ms by Office Depot,Samsung,"1,000:1",,,,,,,894827,Samsung,RL7430,1920 x 1080,S22C350H,,,,,,,,,,1-year limited,16:9,LED,,,,,,1.0,,,S22C350H Widescreen LCD Monitor,LCD Monitor,"21.5""",,,,,,,,,,,Black,,,,,,5 ms,Full HD,,,,,,,,,,,,,Yes,,,,,,350,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
Viewsonic VA2246m LED 22 LED LCD Monitor 169 5 ms by Office Depot,Viewsonic,"1,000:1",,,ENERGY STAR 5.0; RoHS; REACH; TCO Displays 5.0; ErP; China Energy Label (CEL); WEEE,,,,210134,Viewsonic Corporation,3570795,1920 x 1080,VA2246m-LED,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"12.5""",110 V AC; 220 V AC,1.0,Mac; PC,,VA2246m-LED Widescreen LCD Monitor,LCD Monitor,"22""",Yes,100 x 100,Yes,6.90 lb,"20.1""",,,,,Speaker,,,"1.90""",Yes,"14.40""",Wall Mountable,5 ms,Full HD,Yes,75 Hz,160°,170°,7.70 lb,"20.10""",,,34 W,,,No,Yes,,,,,,,,,CE; CB; SVHC list; UL; cUL; FCC-B / ICES-003B; TUV-S; Nemko ERGO; GOSTR+ Hygienic; UkrSepro; CCC; BSMI; PSB; C-Tick; KC; e-Standby,Yes,,,,No,Anti-glare,,,,,,,,,,,,,,,,,,
Acer V176L 17 LED LCD Monitor 54 5 ms by Office Depot,Acer,"100,000,000:1",,,EPEAT Gold; TCO Certified Displays 6.0,,,,666469,"Acer, Inc",RX0028,1280 x 1024,V176L,,,,,,,,,,,5:4,LED,250 Nit,"2.2""",,"12.2""",110 V AC; 220 V AC,1.0,,,V176L LCD Monitor,LCD Monitor,"17""",,,Yes,4.85 lb,"14.5""",,,,,,Black,16.7 Million Colors,"7.52""",,"15.53""",,5 ms,SXGA,Yes,75 Hz,160°,170°,5.73 lb,"14.53""",,350 mW,13 W,450 mW,,,Yes,No,No,,,,V,,,,,,,,,Anti-glare,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,
Asus VS238H P 23 LED LCD Monitor 169 2 ms by Office Depot,Asus,"50,000,000:1",,,ENERGY STAR; WEEE; RoHS,,,,866578,ASUS Computer International,KW3627,1920 x 1080,VS238H-P,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"7.9""",,"15.8""",,1.0,PC,,VS238H-P Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,7.50 lb,"21.7""",,,,,,Black,16.7 Million Colors,,,,Wall Mountable,2 ms,Full HD,,75 Hz,160°,170°,,,,500 mW,27 W,500 mW,,,Yes,,,,,,VS,,,UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
Samsung S27C230B 27 Widescreen LED Monitor Black by Office Depot,Samsung,1000:1,27 inches,"25.38""H x 19.10""W x 8.76""D",,no,170 degrees,no,361739,Samsung,S27C230B,1920 x 1080,S27C230B,300 cd/m2,black,1920 x 1080,0.311 mm,VGA 15-pin D-sub,No,5 ms (gray-to-gray),27 inches,no,1-yr limited,16:9,,,,,,,,,,,,,,,,,,0%,TFT active matrix LCDED,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
Viewsonic VSD221 All in One Computer Texas Instruments OMAP 4 OMAP4470 150 GHz Desktop by Office Depot,Viewsonic,,,,WEEE; REACH; RoHS; ErP,,,,318277,Viewsonic Corporation,TK9189,,VSD221,,,,,,,,,,3-year limited,16:9,LED,,"2.2""",,"13.9""",110 V AC; 220 V AC,,,,"22"" (21.5"" viewable) 1080p Smart Display",All-in-One Computer,"22""",,,,10.60 lb,"20.2""",,,,,,,,,,,,,Full HD,,,,,,,,,,,Yes,,,,,,,,,,,CE; CB; C-Tick; UL/cUL; FCC-B (including ICES003); FCC-C; IC RSS-210; China CCC; SRRC; GOST-R; FAC; SVHC; Argentina CNC; Google GMS,,Yes,Yes,,,,,,Yes,,Yes,,,,,,,,,,,,,
Acer H226HQL 215 LED LCD Monitor 169 5 ms by Office Depot,Acer,"100,000,000:1",,,MPR II; ENERGY STAR,,,,484300,"Acer, Inc",QW3851,1920 x 1080,H226HQL,,,,,,,,,,,16:9,LED,250 Nit,"6.8""",,"15.2""",110 V AC; 220 V AC,1.0,,,H226HQL Widescreen LCD Monitor,LCD Monitor,"21.5""",,,Yes,5.64 lb,"19.6""",,,,,,Black,16.7 Million Colors,,Yes,,,5 ms,Full HD,,60 Hz,178°,178°,7.21 lb,,,400 mW,26 W,450 mW,,,Yes,No,No,,,,H,,,,Yes,Yes,,,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,
Speco Auria VMS 2 4 LCD Monitor by Office Depot,Speco,,,,,,,,432202,Speco Technologies,T56700,,VMS-2,,,,,,,,,,,,,,"3""",,"5""",,1.0,,Auria,VMS-2 Portable LCD Monitor,LCD Monitor,"4""",,,,2.20 lb,"6""",,,,,,Black,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Business E231 23 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays; EPA,,,,471179,Hewlett-Packard,RC0857,1920 x 1080,E231,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2""",Portrait,"13""",110 V AC; 220 V AC,1.0,PC,Business,EliteDisplay E231 23-Inch LED Backlit Monitor,LCD Monitor,"23""",,,Yes,13.45 lb,"21.4""",,,,,USB Hub,Black,,"9.54""",Yes,"18.50""",,5 ms,Full HD,No,60 Hz,160°,170°,,"21.42""",Security Lock,500 mW,36 W,500 mW,,Yes,Yes,Yes,Yes,,,Yes,Advantage,,,CE,Yes,,,,,Anti-glare,,USB 2.0,,,,,,,,,,,,,,,,
Asus PB238Q 23 LED LCD Monitor 169 6 ms by Office Depot,Asus,"80,000,000:1",,,ENERGY STAR; ErP; J-Moss (Japanese RoHS); RoHS; WEEE,,,,771172,ASUS Computer International,PP9992,1920 x 1080,PB238Q,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"2.3""",,"12.7""",110 V AC; 220 V AC,1.0,PC,,PB238Q Widescreen LCD Monitor,LCD Monitor,"23""",Yes,100 x 100,Yes,12.13 lb,"21.6""",,,,,Speaker; USB Hub,Black,16.7 Million Colors,"7.91""",Yes,"16.30""",Wall Mountable,6 ms,Full HD,Yes,75 Hz,178°,178°,,"21.61""",Trace Free Technology; Splendid Video Intelligence Technology; Security Lock,,,500 mW,,Yes,Yes,Yes,Yes,,,Yes,PB,,,UL/cUL; CB; CE; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSE; WHQL,Yes,Yes,,2.0,,,In-plane Switching (IPS) Technology,USB 2.0,,,,,,,,,,,,,,,,
Mace EasyWatch EWO 17LCD RJ11 17 LCD Monitor by Office Depot,Mace,800:1,,,,,,,150943,"Mace Security International, Inc",DQ2432,1280 x 1024,EWO-17LCD-RJ11,,,,,,,,,,2-year limited,,,300 Nit,"2""",,"14.4""",,1.0,,EasyWatch,EasyWatch EWO-17LCD-RJ11 CCTV LCD Monitor,LCD Monitor,"17""",Yes,,Yes,8.27 lb,"15""",,,,,Speaker,,,,,,,,SXGA,Yes,,150°,150°,,,,,35 W,,,,,,,,,,RJ11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compaq L5009tm 15 LCD Touchscreen Monitor 17 ms by Office Depot,Compaq,400:1,,,WEEE; RoHS; IT Eco Declaration,,,,108843,Hewlett-Packard,2584544,1024 x 768,L5009tm,,,,,,,,,,3-year limited,,,225 Nit,"2.2""",,"11""",110 V AC; 220 V AC,,,,L5009tm Touchscreen LCD Monitor,LCD Touchscreen Monitor,"15""",Yes,75 x 75,Yes,10.58 lb,"13.8""",,,,,,,,,,,,17 ms,XGA,,75 Hz,100°,120°,,,,,30 W,4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP P201m 20 LED LCD Monitor 169 5 ms by Office Depot,HP,"1,000:1",,,ENERGY STAR; EPEAT Gold; TCO Certified Displays,,,,779807,Hewlett-Packard,QW9403,1600 x 900,P201m,,,,,,,,,,3-year limited,16:9,LED,250 Nit,"1.9""",,"11.6""",110 V AC; 220 V AC,1.0,,,Promo ProDisplay P201m 20-inch LED Backlit Monitor,LCD Monitor,"20""",Yes,100 x 100,Yes,7.70 lb,"19""",,,,,Speaker,Black,,"5.95""",Yes,"14.14""",,5 ms,HD+,Yes,,160°,170°,,"18.98""",Security Lock,,24 W,500 mW,,,Yes,No,No,,,,,,,,Yes,,,2.0,,Anti-glare,,,,,,,,,,,,,,,,,,
