<page title>,ac power in,altezza,altezza con supporto,altoparlante cuffia spinotto di uscita,altoparlanti incorporati,angolo di visualizzazione orizzontale,angolo di visualizzazione verticale,blocco cavo,cavi inclusi,certificazione,certificazione energy star,classe efficienza energetica,colore del prodotto,colori del display,compatibile con montaggio vesa,compatibilità 3d,connessione cuffia,consumi,consumi modalità spento,consumi modalità standby,dimensione visibile diagonale,dimensione visibile orizzontale,dimensione visibile verticale,dimensioni schermo,dot pitch,dot rate video,formato,fotocamera integrata,frequenza di ingresso,frequenza scansione orizzontale,frequenza scansione verticale,girevole,hdcp,inclinazione,inclinazione regolabile,interruttore integrato,larghezza,larghezza con supporto,lettore di schede integrato,luminosità schermo,mobile highdefinition link mhl,modalità video supportate,montabile a parete,numero di altoparlanti,peso,peso incluso imballo,plug play,porta dvi,potenza in uscita rms,profondità,profondità con supporto,quantità porte hdmi,quantità porte usb 20,quantità porte usb 30,quantità porte vga dsub,rapporto di contrasto,rapporto di contrasto dinamico,regolazione altezza,risoluzione,risoluzioni grafiche supportate,rotazione,sintonizzatore tv integrato,source datasheet,subwoofer incorporato,tecnologia display,tempo di risposta,thin client installato,tipologia di retroilluminazione,tipologia display,tipologia hd,uscita audio,voltaggio di ingresso,bluetooth,collegamento ethernet lan,connessione wlan,dcin jack,full hd,microfono incorporato,microfono spinotto dingresso,retroilluminazione a led,tipi schede di memoria,conformità epeat,on screen display osd,quantità porte dvid,altezza imballo,angolo di rotazione,area di visualizzazione effettiva,compatibilità elettromagnetica,guida rapida,indicatore led alimentazione,ingresso audio,intervallo temperatura di funzionamento,larghezza imballo,led standby,manuale dellutente,peso prodotto con supporto,pivot angle,profondità imballo,range di umidità di funzionamento,intervallo di scansione verticale,numero di lingue osd,range di scansione orizzontale,display surface,quantità displayports,colore piedi,guida utente su cdrom,sicurezza,colori display,dimensioni lxpxa con base,tipo di display,tipologia touch screen,alimentazione,altoparlanti,angolo di inclinazione,angolo di visione orizzontale,angolo di visione verticale,caratteristiche,certificato energy star,colore,connettori di ingresso,consumo energetico in standby,descrizione prodotto,dettagli dimensioni e peso,dimensioni lxpxh,interfacce,interfaccia di montaggio schermo piatto,luminosità,lunghezza diagonale,pixel pitch,potenza assorbita in esercizio,potenza di uscita canale,rapporto daspetto,regolazione posizione display,risoluzione nativa,standard ambientali,standard di conformità,supporto colore,tecnologia retroilluminazione,tipo,tipo di dispositivo,tipo di schermo,tipo schermo,indicatori led,mtbf,compatibilità sistema operativo mac,ingresso audio per pc,schermo srgb,sistema operativo windows supportato,lingue osd,controllo del volume,funzione risparmio,lunghezza cavo,numero di prodotti inclusi,pictureinpicture,posizionamento supportato,intervallo di temperatura,consumo energetico annuo,protezione per i bambini,consumo energetico max,quantità porte thunderbolt,composite sync,sync hv separato,syncongreen sog,dimensioni lxpxa,number of simultaneous touchpoints windows 7,tipo alimentazione,cavo alimentazione incluso,quantità,consumi modalità risparmio energetico,hdmi,risoluzione massima,regolazioni formato schermo,tecnologia touchscreen,comandi regolazioni,copertura schermo,tensione richiesta,velocità refresh orizzontale,velocità refresh verticale,adattatore acdc,caratteristiche sicurezza,porta rs232,tipo di prodotto,umidità,sistema operativo linux supportato,telecomando,interfaccia comune,conforme agli standard,megapixel,dimensioni imballo lxpxa,webcam girevole,common interface plus ci,porta usb
iiyama LED 21.5 ProLite T2234MC-B1 touch IPS MONITOR LED,,,,,,178 °,178 °,,,,,,Nero,,100 x 100 mm,,,40 W,,,,,,"546.1 mm (21.5 "")",0.247 x 0.247 mm,,16:9,,,31.5 - 82.3 kHz,56 - 75 Hz,,,5 - 90 °,,,,,,225 cd/m²,,,Si,,,,,,,,,,,,1.0,1000:1,,,1920 x 1080 Pixels,,,,.,,,8 ms,,,IPS,,,12 V,,,,,Si,,,,,,,1.0,,,476.6 x 268.1 mm,,,,,,,,,7.2 kg,,,,56 - 75 Hz,,31.5 - 82.3 kHz,,,,,,16.7 M,517.5 x 219 x 351.7 mm,,Da tavolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,DC,,,,,,,Capacitivo,,,,,,,,,,,,,,,,,,,
AOC 22 e2260Pq/BK MONITOR LED,Si,,"40,83 cm",,Si,170°,160°,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, Energy Star 6.0, EPEAT Silver, EuP, ISO 9241-307, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,19W,"0,5W","0,5W",,"47,664 cm","26,811 cm","55,9 cm 55,88 cm (22"")","0,282 x 0,282 mm",,16:10,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,Si,Si,-5 - 22°,Si,Si,"50,78 cm","50,78 cm",,250 cd/m²,,,Si,,,"7,22 kg",Si,Si,,,"24,46 cm",,,,1.0,1000:1,50000000:1,13 cm,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),Si,,,,TN,2 ms,No,W-LED,LED,,,100 - 240V,No,No,No,,,,,,,Argento,Si,1.0,"17,7 cm",,,,,Si,,,"65,2 cm",Si,,"5,65 kg",,"41,3 cm",,,,,,1.0,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,70000h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC LED 27 e2770She MONITOR LED,,,,,Si,170°,160°,,,"CE, FCC, TUV-GS, GOST, RoHS",Si,Non specificato,Nero,"16,77M",100 x 100 mm,N,,,,,,"59,789 cm","33,631 cm","68,58 cm (27"")",,,16:9,N,50/60 Hz,,,N,Si,-5 - 15°,Si,,,,,250 cd/m²,,,Si,,,,,N,2W,,,2.0,,,1.0,1000:1,20000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,,,TN+Film,5 ms,N,,LED,Full HD,,90 - 240V,,,,,,,,,,Argento,,,,,,,,,,,,,,,,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 18.5 e950Swn,Si,,343 mm,,N,,,Kensington,"AC, VGA","CB, CE, FCC, GOST, ISO 9241-307, RoHS, TÜV-GS, Ukraine Safety, Win7, cCSAus",Si,,Nero,16.77 M,75 x 75 mm,N,,12 W,0.2 W,0.3 W,230.4 mm,,409.8 mm,"47 cm 469.9 mm (18.5 "")",0.3 x 0.3 mm,,16:9,N,50/60 Hz,,,N,N,-4 - 17 °,Si,Si,,444.35 mm,,200 cd/m²,,,Si,,2.63 kg,,Si,,,,175 mm,,,,1.0,600:1,20000000:1,N,1366 x 768 Pixels,1366 х 768,N,N,.,,TN+Film,5 ms,N,W-LED,LED,N,,100 - 240 V,,,,,,,,,,,Si,,,,,,,Si,,,,Si,,3.55 kg,,,,50 - 76 Hz,16.0,30 - 60 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,Orizzontale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 27 PL XB2779QS-B1 QUAD-HD MONITOR LED,Si,564.5 mm,,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), DisplayPort, DVI","CE, TUV-Bauart, GOST-R, VCCI-B, PSE",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,55 W,,0.5 W,685.8 mm,335.7 mm,596.7 mm,"685.8 mm (27 "") 68.58 cm",0.233 x 0.233 mm,,16:9,N,50/60 Hz,30 - 80 kHz,55 - 75 Hz,Si,Si,0 - 17 °,Si,Si,650 mm,,,440 cd/m²,,,Si,2.0,8.2 kg,,Si,Si,4 W,230 mm,,2.0,,,2.0,1000:1,5000000:1,130 mm,2560 x 1440 Pixels,2560 x 1440,N,,.,N,IPS,5 ms,N,,LED,Full HD,,100 - 240 V,N,N,N,,,,,,,,Si,2.0,,-45 - 45 °,,,Si,,,,,,,,,,,55 - 75 Hz,9.0,30 - 80 kHz,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate","CHI (SIMPL), CHI (TR), DEU, ENG, FRE, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Acer 23 V236HLbd,,"41,91 cm",,,No,178°,178°,Kensington,,"CE, TÜV GS, ISO9241-307, TCO6.0",Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,"17,2W","0,35W","0,45W",,"50,98 cm","28,68 cm","58,42 cm (23"") 58 cm","0,265 x 0,265 mm",,16:9,No,,,,,Si,,,,"50,58 cm",,,250 cd/m²,,,Si,,"4,5 kg",,,Si,,"20,7 cm",,,,,1.0,,100000000:1,,1920 x 1080 Pixels,,,No,,,IPS,6 ms,No,,LCD,Full HD,,100 - 240V,,,,,,,,,,Oro,,,,,,,,,,,,,,,,,,49 - 75 Hz,,54.2 - 83.8 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC monitor,,,,,,,,,,
Asus LED 19 VW199TL 5ms.VGA.DVI MONITOR LED,,,,,Si,170 °,160 °,Kensington,,TCO 5.2,Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,27 W,,0.2 W,,,,"482.6 mm (19 "")",0.2835 x 0.2835 mm,,,N,,30 - 80 kHz,55 - 75 Hz,,Si,-5 - 20 °,,,,,,250 cd/m²,,,Si,2.0,,6.4 kg,,,2 W,,,,,,1.0,,50000000:1,Si,1440 x 900 Pixels,1440 x 900 (WXGA+),,N,.,,,5 ms,N,,LED,N,,,,,,,,,,,,,,1.0,368 mm,,,,,,,,602 mm,,,,,210 mm,,,,,,,,,,,444 x 214 x 364.4 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 23.6 PL T2452MTS TOUCH MONITOR LED,,"39,9 cm",,1,Si,170°,160°,,"AC, Audio (3.5mm), DVI, USB, VGA","CE, TÜV-Bauart, GOST-R, VCCI-B, PSE",Si,,Nero,"16,77M",100 x 100 mm,,,22W,,,,,,"59,94 cm (23.6"")","0,272 x 0,272 mm",,16:9,,50/60 Hz,,,,Si,-9 - 22°,,,"55,6 cm",,,260 cd/m²,,,Si,2.0,"6,2 kg",,Si,,4W,24 cm,,1.0,1.0,,,1000:1,,,1920 x 1080 Pixels,,,,,,,2 ms,,,TN+Film,,,100 - 240V,,,,,Si,,,Si,,,,1.0,,,"293,2 x 521,3 mm",,,,,,,,,,,,,55 - 75 Hz,9.0,24 - 80 kHz,,,,,,,,LED,Multi utente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,Si,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung LED 27 S27D850T 16:9 5ms DVI USB DP Pivot MONITOR LED,,"37,64 cm","59,63 cm",1 Si,No,178°,178°,,"DisplayPort, DVI, HDMI, USB",,Si,Non specificato,"Nero, Verde",1060M,100 x 100 mm,,,85W,,"0,45W",,,,"68,58 cm (27"")",,,16:9,No,50/60 Hz,,,Si,,-5 - 20°,,,"62,74 cm","62,74 cm",,,,,Si,,"7,1 kg",13600g,,Si,,"6,61 cm",28 cm,1.0,,4.0,,1000:1,Contrasto Mega,13 cm,2560 x 1440 Pixels,2560 x 1440,Si,No,,,PLS,5 ms,No,,LED,Wide Quad HD,,100 - 240V,,,,,,,,,,,,,"46,9 cm",-30 - 30°,,,Si,,,,"79,8 cm",,Si,"9,95 kg",,"35,4 cm",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,,,,,,,,,,,90W,,,,,,,,,,33W,,,,,,,,,,,,,,,,,,,,,,,
LG LED 24 24EB23TM-B IPS MONITOR LED,Si,370.5 mm,395 mm,1,Si,178 °,178 °,Kensington,"AC, Audio (3.5mm), VGA","RoHS, TCO6.0, DIN-ISO9241-307, TÜV-GS, TÜV-Ergo, UL, CSA, SEMKO, NEMKO, CE",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,25 W,0.3 W,0.3 W,,516.94 mm,323.09 mm,"609.6 mm (24 "") 60.96 cm",0.269 x 0.269 mm,135 MHz,16:10,N,47-63 Hz,30 - 83 kHz,56 - 75 Hz,N,Si,-5 - 23 °,Si,Si,558.4 mm,558.4 mm,N,300 cd/m²,,1080p,Si,2.0,4.5 kg,6.5 kg,,,2 W,58 mm,239 mm,,,,1.0,1000:1,5000000:1,N,1920 x 1200 Pixels,"1920 x 1080 (HD 1080), 1920 x 1200 (WUXGA)",N,N,.,N,IPS,5 ms,N,W-LED,LED,Full HD,,,N,N,N,,,N,,,N,Oro,Si,1.0,44 mm,,,,,,,,633 mm,,Si,5.1 kg,,191 mm,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000 h,,Si,Si,,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR",,,1.8 m,,,,,,,,,Si,Si,Si,,,,,,,,,"4:3, 16:10",,,,,,,,,,,,,,,,,,,,
AOC LED 23.6 e2470Swhe5ms VGA HDMI MONITOR LED,,"39,69 cm",,,No,170°,160°,Kensington,"HDMI, VGA",,Si,Non specificato,Nero,"16,77M",100 x 100 mm,No,,26W,"0,5W","0,5W",,,,"59,94 cm (23.6"") 59,9 cm","0,276 x 0,276 mm",,16:9,No,50/60 Hz,,,,No,,,,"55,14 cm",,,250 cd/m²,,,Si,,"3,58 kg",,,No,,"7,82 cm",,2.0,,,1.0,1000:1,20000000:1,No,1920 x 1080 Pixels,,,No,,,LCD,5 ms,No,,LED,Full HD,,110 - 240V,,,,Si,,,,,,Oro,Si,,,,,,,,,,,,,,,,,,,,,,Nero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,
Samsung 19 S19C450BR LED MONITOR LED,,"36,9 cm","46,9 cm",,No,170°,160°,,,,Si,Non specificato,Nero,"16,77M",100 x 100 mm,,,19W,,"0,1W",,,,"48,26 cm (19"")",,,5:4,No,,,,Si,,-3 - 25°,Si,,"40,7 cm","40,7 cm",,250 cd/m²,,,Si,,"2,95g",,,,,21 cm,21 cm,,,,1.0,,1000:1,,1280 x 1024 Pixels,1280 x 1024 (SXGA),Si,No,,,TN+Film,5 ms,No,,LED,No,,,,,,,,,,,,Oro,,1.0,,-45 - 45°,,,Si,,,10 - 40 °C,,,Si,"4,45g",-1 - 95°,,10 - 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC 22 e2250Sd,Si,,"40,85 cm",,No,170°,160°,Kensington,"AC, DVI, VGA","CE, Energy Star 6.0, EPEAT Silver, GOST, RoHS, TCO 6.0, TÜV-GS, Ukrain Safety",Si,Non specificato,Nero,"16,77M",75 x 75 mm,Si,,18W,"0,5W","0,5W",,"47,664 cm","26,811 cm","55,88 cm (22"") 55,9 cm","0,282 x 0,282 mm",,16:10,,50/60 Hz,30 - 83 kHz,50 - 76 Hz,No,Si,-4 - 17°,Si,Si,"50,87 cm","50,87 cm",,250 cd/m²,,,Si,,,"4,62 kg",Si,Si,,,19 cm,,,,1.0,1000:1,20000000:1,No,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),No,,,,TN,5 ms,No,W-LED,LED,,,100 - 240V,,,,,,,,,,Argento,Si,11.0,42 cm,,,,,Si,,,"56,2 cm",Si,,"3,76 kg",,"10,9 cm",,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama 20 PL B2083HSD-B1,Si,356.5 mm,,,Si,170 °,160 °,Kensington,"Audio (3.5mm), DVI, VGA","TCO, CE, TUV-GS, VCCI-B, Gost-R",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,15 W,,0.5 W,495 mm,236.3 mm,433.9 mm,"49.53 cm 495.3 mm (19.5 "")",0.271 x 0.27 mm,,16:9,N,50/60 Hz,30 - 80 kHz,55 - 75 Hz,Si,Si,-5 - 22 °,Si,Si,469.5 mm,,,250 cd/m²,,,Si,2.0,4.3 kg,,,Si,4 W,230 mm,,,,,1.0,1000:1,5000000:1,130 mm,1600 x 900 Pixels,1600 x 900,Si,N,.,N,TN+Film,5 ms,N,CCFL,LED,HD-ready,,100 - 240 V,N,N,N,,,,,,,,Si,1.0,,-45 - 45 °,,,Si,,,,,,,,0 - 90 °,,,55 - 75 Hz,10.0,30 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate","CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,Si,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 21.5 VE228TR DVI Wide MONITOR LED,,305.51 mm,385.96 mm,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), VGA","CEL, UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS, RoHS,WEEE",Si,,Nero,16.77 M,100 x 100 mm,N,,35 W,0.5 W,0.5 W,,,,"54.6 cm 546.1 mm (21.5 "")",0.248 x 0.248 mm,,16:9,N,50/60 Hz,30 - 83 kHz,50 - 76 Hz,,,-5 - 20 °,,,512.84 mm,512.84 mm,,250 cd/m²,,1080p,Si,2.0,4.1 kg,,,,2 W,56.9 mm,201.82 mm,,,,1.0,1000:1,80000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,,LED,Full HD,,100 - 240 V,,,,,,,,,,,,1.0,468 mm,,,,Si,,,,576 mm,,,,,148 mm,,50 - 76 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG MONITOR LED 27 LG 27EA53VQ-P IPS,Si,,459 mm,1,N,178 °,178 °,N,"AC, VGA",RoHS,,Non specificato,Nero,16.77 M,100 x 100 mm,N,3.5 mm,32 W,0.3 W,0.3 W,,552.46 mm,293.88 mm,"685.8 mm (27 "") 68.58 cm",0.311 x 0.311 mm,,16:9,N,47-63 Hz,30 - 83 kHz,56 - 75 Hz,N,Si,-5 - 20 °,Si,Si,,641 mm,N,250 cd/m²,,1080p,Si,,,,Si,Si,,,202 mm,1.0,,,1.0,1000:1,5000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,.,,IPS,5 ms,N,,LED,Full HD,,100 - 240 V,N,N,N,,,N,,,N,,Si,1.0,,,,,,,,,,,Si,4.2 kg,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, GRE, ITA, JPN, KOR, POL, POR, RUS, SWE, UKR",,,,,,,,,,,,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 23 PL XU2390HS-B1 IPS MONITOR LED,Si,"38,75 cm",,,Si,178°,178°,Kensington,"AC, Audio (3.5mm), DVI","TCO, CE, TÜV-Bauart, VCCI-B, EAC",Si,Non specificato,Nero,"16,77M",100 x 100 mm,N,,24W,,"0,5W","58,42 cm","50,92 cm","28,64 cm","58,42 cm 58,42 cm (23"")","0,265 x 0,265 mm",,16:9,N,50/60 Hz,24 - 80 kHz,56 - 75 Hz,N,Si,-4 - 20°,Si,Si,"53,25 cm",,,250 cd/m²,,1080p,Si,2.0,4 kg,,,Si,4W,18 cm,,1.0,,,1.0,1000:1,5000000:1,N,1920 x 1080 Pixels,1920 x 1080 (HD 1080),N,N,,,IPS,5 ms,N,,LED,Full HD,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64","CHI (SIMPL), ENG, ESP, FRE, ITA, JPN, POR, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus LED 22 VW22AT MONITOR LED,Si,340.79 mm,406.23 mm,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, J-MOSS, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WEEE, WHQL (Windows 7)",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,33 W,0.3 W,,,,,"558.8 mm (22 "") 55.9 cm",0.282 x 0.282 mm,,16:10,N,50/60 Hz,24 - 83 kHz,50 - 75 Hz,,Si,-5 - 20 °,,Si,513.95 mm,513.95 mm,,250 cd/m²,,,Si,2.0,3.9 kg,5.4 kg,,,2 W,63.34 mm,210.32 mm,,,,1.0,,50000000:1,N,1680 x 1050 Pixels,1680 x 1050 (WSXGA+),,N,.,,,5 ms,N,,LED,N,,100 - 240 V,,,,,,,,,,,Si,1.0,452 mm,,,,Si,Si,,,588 mm,Si,,,,146 mm,,56 - 76 Hz,,31 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,Si,,Digitale,Si,,1 pezzi,,Orizzontale,,,,,,,,,,,,,,0.5 W,,1680 x 1050 Pixels,,,,,,,,,,,,,,,,,,,,,
IIyama 27 PL XB2779QS-W1 QUAD-HD,,"43,55 cm",,Si 1,Si,178°,178°,Kensington,"Audio (3.5mm), DisplayPort, DVI","CE, TUV, GOST-R, VCCI-B, PSE",Si,Non specificato,Bianco,"16,77M",100 x 100 mm,,,55W,,"0,5W",,,,"68,58 cm (27"") 68,5 cm","0,233 x 0,233 mm",,16:9,No,50/60 Hz,,,,Si,0 - 17°,Si,,65 cm,,,350 cd/m²,,,Si,2.0,"8,2 kg",,Si,Si,2W,23 cm,,1.0,,,1.0,1000:1,5000000:1,13 cm,2560 x 1440 Pixels,2560 x 1440,Si,,,,AH-IPS,5 ms,,,LED,,,100 - 240V,,,,,,,,,,,Si,1.0,,,,,Si,,,,,,Si,,,,,55 - 75 Hz,9.0,30 - 80 kHz,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHI (SIMPL), CHI (TR), DEU, DUT, ENG, FRE, JPN, POL, RUS",,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIyama LED 24 PL B2480HS-B1,Si,557 mm,,,Si,170 °,160 °,Kensington,"AC, Audio (3.5mm), DVI, VGA","CE, CU, TUV-GS, TCO",Si,,Nero,16.77 M,100 x 100 mm,N,,22 W,,1 W,,521.28 mm,293.22 mm,"599.4 mm (23.6 "")",0.2715 x 0.2715 mm,,16:9,N,50/60 Hz,,,,Si,-5 - 22 °,,Si,571.5 mm,,N,300 cd/m²,,,Si,2.0,6.1 kg,,Si,,4 W,244.5 mm,,1.0,,,1.0,1000:1,5000000:1,130 mm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,N,TN+Film,2 ms,N,Edge-lit LED,LED,Full HD,,100 - 240 V,N,N,,,,N,,,,,Si,1.0,,-160 - 160 °,,,Si,Si,Si,5 - 35 °C 41 - 95 °F,,,,,0 - 90 °,,10 - 80 %,56 - 75 Hz,9.0,24 - 80 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,Si,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS",,,,,,,-20 - 60 °C,,,,,,Si,,,,,,,,,,,,,,,,,,,,,5 - 85 %,,N,N,,,,,N,
AOC MONITOR LED 23 AOC i2360Phus IPS,,375.2 mm,,,Si,170 °,160 °,,"AC, Audio (3.5mm), DVI, VGA","Energy Star 5.0, EPEAT Gold, CE, cCSAus, EPEAT Silver, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, EuP",Si,Non specificato,Nero,16.77 M,100 x 100 mm,N,,,,0.5 W,,,,"584.2 mm (23 "") 58.5 cm",,,16:9,N,50/60 Hz,,,,Si,-5 - 15 °,,,548.5 mm,,,250 cd/m²,,,Si,,5.65 kg,,,Si,,244.5 mm,,1.0,4.0,,1.0,1000:1,20000000:1,130 mm,1920 x 1080 Pixels,1920 x 1080 (HD 1080),,N,.,,,5 ms,N,,LED,Full HD,,90 - 240 V,,,,,,,,,,Oro,Si,1.0,,,,,,,,,,,,,,,,55 - 75 Hz,,30 - 83 kHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG LED 24 E2411PU-BN MONITOR LED,Si,342 mm,433 mm,,Si,170 °,160 °,,,"UL, CSA, SEMKO, NEMKO, CE",Si,,Nero,16.77 M,,N,,30 W,0.3 W,0.3 W,609.6 mm,531.4 mm,299 mm,"609.6 mm (24 "")",0.277 x 0.277 mm,,"4:3, 16:9",N,50/60 Hz,30 - 83 kHz,56 - 75 Hz,,,-5 - 20 °,,,569 mm,569 mm,,250 cd/m²,,,Si,2.0,3.67 kg,6.35 kg,Si,,2 W,63 mm,271 mm,,,,1.0,1000:1,5000000:1,,1920 x 1080 Pixels,1920 x 1080 (HD 1080),Si,N,.,,,5 ms,N,,LCD,Full HD,,100 - 240 V,,,,,,,,,,,Si,1.0,413 mm,,,,Si,Si,,,638 mm,Si,Si,5.09 kg,0 - 90 °,231 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
