<page title>,brightness,colour,compliant standards,device type,dimensions wxdxh,product description,weight,aspect ratio,colour support,contrast ratio,display position adjustments,environmental standards,input connectors,manufacturer warranty,native resolution,panel type,pixel pitch,response time,builtin devices,localisation,screen coating,speakers,microsoft certification,height rack units,kvm switch,designed for,manufacturer selling program,bundled with,3d capable,energy class,energy consumption per year,diagonal size,diagonal size cm,display format,features,hdcp compatible,hdmi ports qty,image aspect ratio,lcd backlight technology,pc interface,power,power consumption operational,product type,remote control,resolution,speaker system,targeting,technology,tv tuner,video interface,video wall components qty,character resolution,digital tv tuner,usb port
"OHC24 Shop : Monitor > Monitor search help > Dell P2214H 22"" >  8ms >  250cd >  1920x1080 >  16:9 861-BBBQ",250 cd/m2,Black,"Plug and Play, DDC/CI, RoHS, CECP, TCO Displays","LED-backlit LCD monitor - 22""",51.27 cm x 18 cm x 35.42 cm - with stand,"Dell P2214H - LED monitor - 22"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee",,Widescreen - 16:9,16.7 million colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,IPS,0.248 mm,8 ms (grey-to-grey),,,"Anti-glare, 3H Hard Coating",,Compatible with Windows 7,,,,,3-Years Advanced Exchange Service and Premium Panel Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > BenQ XL2720Z 68 > 58CM 27IN LED 1MS FULL HD HDMI  9H.LA4LB.RBE,300 cd/m2,"Black, red",TCO Displays 6.0,"LED-backlit LCD monitor - 27""",64.2 cm x 27.3 cm x 54.8 cm,"BenQ XL2720Z - 3D LED monitor - 27""",7.5 kg,Widescreen,16.7 million colours,1000:1 / 12000000:1 (dynamic),"Height, swivel, tilt",ENERGY STAR Qualified,"2xHDMI, DVI-D, VGA, DisplayPort",,FullHD 1920 x 1080 at 144 Hz,TN,0.311 mm,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 17S4LSB/00 17"" LED Monitor >  1280x1024 >  5ms >",250 cd/m2,Textured black with black stand,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, cETLus","LED-backlit LCD monitor - 17""",36.7 cm x 19.4 cm x 39.3 cm - with stand,"Philips S-line 17S4LSB - LED monitor - 17""",3.54 kg,5:4,16.7 million colours,1000:1 / 20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1280 x 1024 at 60 Hz,,0.264 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips 241P4QRYES/00 61CM 24IN LCD Der weltweit,250 cd/m2,"Textured black, textured silver","Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SASO, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 6.0, cETLus","LED-backlit LCD monitor - 24""",56.5 cm x 22 cm x 52.1 cm - with stand,"Philips Brilliance P-line 241P4QRYES - LED monitor - 24""",5.3 kg,Widescreen - 16:9,16.7 million colours,3000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.276 mm,12 ms (typical); 4 ms (grey-to-grey),USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Acer G246HLAbd >  24"" LED TFT >  16:9 1920x1080 >  UM.FG6EE.A02",250 cd/m2,Black,MPR II,"LED-backlit LCD monitor - 24""",56.5 cm x 17.9 cm x 40.1 cm,"Acer G246HLAbd - LED monitor - 24""",3.8 kg,Widescreen - 16:9,16.7 million colours,100000000:1 (dynamic),Tilt,,"DVI, VGA",2 years warranty,FullHD 1920 x 1080,,,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson A61B133EAWU,690 cd/m2,Cool white,"FCC Class A certified, UL, TUV, EN 60950, VCCI Class A ITE",Customer display,,Epson DMD110BA - customer display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
"OHC24 Shop : Monitor > 80 Zoll and greater > Samsung Display 95"" LED ME95C LH95MECPLBC/EN",,,,,212.72 cm x 4.58 cm x 121 cm - without stand,"Samsung ME95C - 95"" LED-backlit LCD flat panel display",66.5 kg,,,,,,,,,,,,,,,,,,,,,,,,,"95""",241 cm,1080p (FullHD),"Pivot, temperature sensor, Multiple Display Control (MDC), picture by picture (no tuner), picture in picture (no tuner), Lamp Error Detection, digital daisy chain, Video Wall, MagicInfo Lite, LED BLU, Smart Scheduling, Super Clear Coating, MagicInfo Premium-S, MagicInfo Videowall-S, Intel Wireless Display 2.0 (WiDi 2.0)",Yes,3 port(s),16:9,LED backlight - edge-lit,"DVI, VGA (HD-15), DisplayPort",AC 120/230 V ( 50/60 Hz ),495 Watt,LED-backlit LCD flat panel display with built-in PC,Remote control,1920 x 1080,,Commercial use,,,"Component, composite, HDMI",100.0,,,"Yes , 1 port(s)"
OHC24 Shop : Monitor > Monitor search help > AOC Value - i2770Vhe I2770VHE,300 cd/m2,Black,"TUV GS, GOST, RoHS, ISO 9241-307, REACH, EuP, TCO Displays 6.0","LED-backlit LCD monitor - 27""",64.24 cm x 24.19 cm x 44.93 cm - with stand,"AOC Value i2770Vhe - LED monitor - 27""",4.8 kg,Widescreen,16.7 million colours,1000:1 / 50000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,IPS,0.311 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Dell UltraSharp - UZ2215H 861-BBDN,250 cd/m2,Black,"Plug and Play, RoHS, WEEE, EuP, TCO Displays","LED-backlit LCD monitor - 22""",53.07 cm x 18 cm x 40.75 cm - with stand,"Dell UltraSharp UZ2215H - LED monitor - 22""",4.88 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 8000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"2xHDMI, VGA, DisplayPort",,FullHD 1920 x 1080 at 60 Hz,IPS,0.248 mm,8 ms (grey-to-grey),"Camera, microphone , 2.0 megapixel camera, USB 3.0 hub",Switzerland,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Iiyama XB2776QS-B2 68 > 5CM 27IN LED 68.6 cm (27"")/",350 cd/m2,Black,"Plug and Play, TUV GS, DDC-2B, VESA DPMS, ISO 9241-307, PSE Mark, TCO Displays 6.0, VCCI Class B","LED-backlit LCD monitor - 27""",64.4 cm x 23 cm x 41.8 cm - with stand,"Iiyama ProLite XB2776QS-B2 - LED monitor - 27""",7.4 kg,Widescreen - 16:9,16.8 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",,2560 x 1440,AH-IPS,0.233 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NCR 6.5IN COLOR VGA LCD DISPLAY No mount >  no 5982-4100-9090,,Anthracite,RoHS,"LED-backlit LCD monitor - 6.5""",17.2 cm x 4.1 cm x 13.7 cm,"NCR RealPOS 5982 - LED monitor - 6.5""",,,,400:1,,,VGA,,640 x 480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo - 2440L E000414,270 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS","LCD monitor - 24""",56.16 cm x 4.22 cm x 32.58 cm,"Elo Open-Frame Touchmonitors 2440L IntelliTouch Zero-Bezel / iTouch - LCD monitor - 24""",5.7 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 75 Hz,,,5 ms,Touch-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP L6017tm 17.0"" Retail Touch A1X77AA#UUZ",225 cd/m2,Jack black,"CSA, UL, VCCI, C-Tick, BSMI, CCC, FCC, ICES, S Mark, CECP, BFR","LED-backlit LCD monitor - 17""",38.6 cm x 28.3 cm x 42.3 cm - with stand,"HP L6017tm Retail Touch Monitor - LED monitor - 17""",6.8 kg,5:4,,800:1,,"ENERGY STAR Qualified , EPEAT Gold",,3 years warranty,1280 x 1024 at 60 Hz,TN,0.264 mm,,,"German, French, Italian / Switzerland","Anti-glare, anti-static",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard 27xi 27IN IPS Monitor HP Pavilion C4D27AA#UUZ,250 cd/m2,,"Plug and Play, CSA, cUL, WHQL, FCC, C-ETL, ETL, ICES, ERP, BFR","LED-backlit LCD monitor - 27""",63.47 cm x 19.2 cm x 45.38 cm,"HP Pavilion 27xi - LED monitor - 27""",5.3 kg,Widescreen,,10000000:1 (dynamic),Tilt,"ENERGY STAR Qualified , EPEAT Silver","HDMI, DVI-D, VGA",1 year warranty,FullHD 1920 x 1080 at 60 Hz,IPS,0.311 mm,7 ms,,"German, French, Italian / Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Iiyama XUB2790HS-B1 68 > 6CM 27IN LED 68.6 cm (27"")/",250 cd/m2,Black,"DDC-2B, VESA DPMS, TUV Bauart, TCO Displays 6.0, VCCI Class B, EAC","LED-backlit LCD monitor - 27""",62.25 cm x 23 cm x 43.3 cm,"Iiyama ProLite XUB2790HS-1 - LED monitor - 27""",5.4 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 5000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA",,FullHD 1920 x 1080,AH-IPS,0.311 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > 3M M1700SS MICROTOUCH BLACK 17IN USB     DE272907176,270 cd/m2,Black,"FCC Class B certified, UL, C-Tick, cUL, VESA DPMS, CB, CCC, RoHS","LCD monitor - 17""",40.5 cm x 24.7 cm x 41.3 cm,"3M MicroTouch M1700SS USB - LCD monitor - 17""",8.6 kg,,16.2 million colours,800:1,,,"DVI-D, VGA",3 years warranty,1280 x 1024 at 60 Hz,,0.264 mm,9 ms,Touch-screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2460SXDA/24"" LED Monitor > 1920 x 1200 >  16:10 >",250 cd/m2,Black,"TUV GS, GOST, FCC, RoHS, ISO 9241-307, TCO '06, EuP, NRTL","LED-backlit LCD monitor - 24""",55.84 cm x 24.46 cm x 42.34 cm,"AOC Professional E2460Sxda - LED monitor - 24""",5.8 kg,Widescreen - 16:10,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Swivel, tilt","ENERGY STAR Qualified , EPEAT Silver","DVI-D, VGA",3 years warranty,1920 x 1200 at 60 Hz,,0.269 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Entuitive 3000 Series - 3239L E162387,450 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, cUL, NOM, PCT, CCC, MIC, EK, FCC, RoHS, WEEE, S Mark","LCD monitor - 32""",78.4 cm x 11 cm x 47.4 cm,"Elo Entuitive 3000 Series 3239L - LCD monitor - 32""",17.3 kg,Widescreen - 16:9,16.7 million colours,1500:1,,,"DVI-D, VGA",3 years warranty,1366 x 768 at 60 Hz,,,8 ms,Touch-screen,EMEA,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA193MI LED 48 > 2CM 19IN ANA/DI 49.5 cm (19.5"")/ 60003585",250 cd/m2,"White, silver","FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, VESA EDID, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 19""",40.8 cm x 21.39 cm x 38.64 cm - with stand,"NEC MultiSync EA193Mi - LED monitor - 19""",6 kg,5:4,16.7 million colours,1000:1,"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI, VGA, DisplayPort",3 years warranty,1280 x 1024,IPS,0.294 mm,6 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Open-Frame Touchmonitors - 1938L IntelliTouch E965017,270 cd/m2,Black,"FCC Class B certified, UL, VCCI Class B ITE, cUL, CB, C-Tick Class B, RoHS","LCD monitor - 19""",44.4 cm x 4.7 cm x 29.7 cm,"Elo Open-Frame Touchmonitors 1938L IntelliTouch - LCD monitor - 19""",4.8 kg,Widescreen - 16:10,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,1440 x 900 at 75 Hz,,,3.7 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > LG Electronics FLATRON 22M45HQ-B LED 55CM 22I 54.6 cm,250 cd/m2,,"Plug and Play, FCC Class B certified, UL, TUV, cUL, DDC/CI","LED-backlit LCD monitor - 21.5""",50.9 cm x 18.8 cm x 41.8 cm - with stand,"LG 22M45HQ-B - LED monitor - 21.5""",2.6 kg,Widescreen - 16:9,,1000:1,Tilt,,"HDMI, VGA",,1920 x 1080,TN,0.248 mm,5 ms,,,"Anti-glare, 3H Hard Coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Entuitive 3000 Series - 1939L E779866,220 cd/m2,"Black, steel","FCC Class B certified, UL, VCCI Class B ITE, cUL, CB, C-Tick Class B, RoHS","LCD monitor - 19""",41.5 cm x 5.1 cm x 34.3 cm,"Elo Entuitive 3000 Series 1939L - LCD monitor - 19""",5.2 kg,5:4,16.7 million colours,1300:1,,,VGA,3 years warranty,1280 x 1024 at 75 Hz,,,25 ms,Touch-screen,,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Epson Customer display >  2x20 A61B133123,690 cd/m2,Cool white,"FCC Class A certified, CSA, UL, TUV, VCCI Class A",Customer display,16.5 cm x 5.05 cm x 6.9 cm,Epson DM-D110 (103) - customer display,,,,,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
"OHC24 Shop : Monitor > Monitor search help > AOC E2460SD 61CM 24IN LED 61 cm (24"")/ 1.920 x",250 cd/m2,Black,"DDC-2B, CCC, FCC, RoHS, cTUVus, TCO Displays 5.2, CQC, EPA 5.1, DDC-2B/CI","LED-backlit LCD monitor - 24""",56.54 cm x 21.93 cm x 40.305 cm - with stand,"AOC 60 series E2460SD - LED monitor - 24""",4.44 kg,Widescreen,16.7 million colours,20000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"DVI-D, VGA",,1920 x 1080 at 60 Hz,,0.277 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Fujitsu Technology Solutions DISPLAY S26361-K1473-V160,250 cd/m2,Black,"FCC Class B certified, TUV GS, VCCI, C-Tick, BSMI, cUL, EN 60950, SASO, TUV S, CCC, RoHS, ISO 9241-307, WEEE, EN 60601-1-2, KC, Directive 2004/108/EEC, TCO Displays 6.0","LED-backlit LCD monitor - 21.5""",51.6 cm x 21.39 cm x 35.93 cm,"Fujitsu E22T-7 - LED monitor - 21.5""",3.7 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 2000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, DVI-D, VGA",3 years warranty,FullHD 1920 x 1080,TN,0.248 mm,5 ms,Stereo speakers,,"Anti-glare, 3H Hard Coating",Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 273V5LHSB LED >  27"" Wide >  5ms >  273V5LHSB/00",300 cd/m2,"Textured black, black hairline","Plug and Play, FCC Class B certified, TUV, BSMI, GOST, SASO, SEMKO, PSB, DDC/CI, RoHS, Lead-Free, ISO 9241-307, WEEE, TCO Certified Edge","LED-backlit LCD monitor - 27""",64.6 cm x 24 cm x 39.8 cm - with stand,"Philips V-line 273V5LHSB - LED monitor - 27""",4.53 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 10000000:1 (dynamic),Tilt,ENERGY STAR Qualified,"HDMI, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,,0.311 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions ET1517L Touchdisplay E590483,250 cd/m2,White,"UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, China RoHS","LED-backlit LCD monitor - 15""",35.8 cm x 19.7 cm x 31.9 cm - with stand,"Elo Desktop Touchmonitors 1517L AccuTouch Zero-Bezel - LED monitor - 15""",4.3 kg,4:3,16.2 million colours,700:1,,,VGA,3 years warranty,1024 x 768 at 75 Hz,,,16 ms,Touch-screen,Worldwide,Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions KIT VFD CUST DISPLAY2 USB ESYXX B/C  E879762,600 cd/m2,,,Customer display,,Elo Customer Display - customer display,,,,,,,,3 years from manufacture date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lines x 20 characters,,
"OHC24 Shop : Monitor > Monitor search help > Acer B326HULymiidphz 32"" >  6ms >  300cd >  UM.JB6EE.004",350 cd/m2,Dark grey,"TUV GS, ISO 9241-307, TCO '06","LED-backlit LCD monitor - 32""",73.6 cm x 26.65 cm x 47.34 cm,"Acer B326HUL - LED monitor - 32""",15.6 kg,Widescreen - 16:9,,100000000:1 (dynamic),"Height, pivot (rotation)","ENERGY STAR Qualified , EPEAT Gold","HDMI, DVI, DisplayPort",3 years warranty,2560 x 1440,A-MVA,0.233 mm,6 ms,USB 3.0 hub,"Switzerland, EMEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC EA234WMI LED 58CM 23IN ANA 58.4 cm (23 "")/ 60003588",250 cd/m2,Black,"FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0, TCO Certified Edge 1.2","LED-backlit LCD monitor - 23""",54.38 cm x 21.8 cm x 38.04 cm,"NEC MultiSync EA234WMi - LED monitor - 23""",6.4 kg,Widescreen - 16:9,16.8 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-D, VGA, DisplayPort",3 years warranty,1920 x 1080,IPS,0.265 mm,6 ms,USB Hub,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1919L >  18.5-INCH LCD >  ITOUCH >  DUAL E876321,250 cd/m2,Dark grey,"UL, VCCI, BSMI, cUL, NOM, CB, CCC, RoHS, WEEE, S Mark, KC","LCD monitor - 18.5""",45.4 cm x 23.6 cm x 32.1 cm - with stand,"Elo TouchSystems 1919L - LCD monitor - 18.5""",6.8 kg,Widescreen - 16:9,16.7 million colours,1000:1,"Pivot (rotation), tilt",,VGA,3 years warranty,1366 x 768 at 60 Hz,,,5 ms,Touch-screen,EMEA,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard Z30i 30IN IPS LED Display 76.2 cm (30 D7P94A4#UUZ,350 cd/m2,Black,TCO Certified Edge,"LED-backlit LCD monitor - 30""",69.03 cm x 6.63 cm x 44.98 cm - without stand,"HP Z Display Z30i - LED monitor - 30""",,Widescreen - 16:10,,1000:1 / 5000000:1 (dynamic),"Swivel, tilt",ENERGY STAR Qualified,"HDMI, DVI-I, VGA, DisplayPort",3 years warranty,2560 x 1600,IPS2,0.25 mm,8 ms (grey-to-grey),Speaker,"German, French, Italian / Switzerland",Anti-glare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 2201L iTouch E382790,225 cd/m2,Black,"UL, VCCI, C-Tick, BSMI, GOST, cUL, NOM, CB, CCC, IC, FCC, RoHS, KCC, WEEE","LED-backlit LCD monitor - 22""",55.1 cm x 19.3 cm x 39.2 cm - with stand,"Elo Desktop Touchmonitors 2201L iTouch - LED monitor - 22""",7.5 kg,Widescreen - 16:9,16.7 million colours,1000:1,,,"DVI-D, VGA",3 years warranty,1920 x 1080 at 60 Hz,,,5 ms,"Touch-screen , stereo speakers",Worldwide,,Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Barco MDSC-2224  1920X1200 350 CD/QM 1000:1    K9307912,300 cd/m2,"White, RAL 9003","DEMKO, IEC 60601-1-2, CCC, EMC, UL 60601-1, FCC CFR47 Part 15, WEEE, EN 55011, cULus, EN 60601, REACH, EN 60601-1, CISPR 11, CAN/CSA C22.2 No. 601.1-M90, IP21, RoHS2","LED-backlit LCD monitor - colour - 24""",59.5 cm x 8.4 cm x 41.4 cm - without stand,"Barco MDSC-2224 - LED monitor - colour - 24""",10 kg,Widescreen - 16:10,1.07 billion colours,1000:1,,,"DVI-I, DisplayPort , S-Video, composite video, component video",3 years warranty,FullHD 1920 x 1200 at 60 Hz,S-IPS,0.27 mm,6 ms (grey-to-grey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > 80 Zoll and greater > LG - 84WT70PS-B 84WT70PS-B.AEU,,Black,,,192.34 cm x 10.1 cm x 110.934 cm - without stand,"LG 84WT70PS-B - 84"" LED-backlit LCD flat panel display",102.6 kg,,,,,,,,,,,,,,,,,,,,,,,,,"84""",213 cm,4K UHDTV (2160p),"Temperature sensor, 10 touchpoints",Yes,,16:9,LED backlight - edge-lit,"DVI, VGA (HD-15), DisplayPort",AC 120/230 V ( 50/60 Hz ),350 Watt,LED-backlit LCD flat panel display with touch-screen,Remote control,3840 x 2160,,Commercial use,IPS,No tuner,"Composite, HDMI",,,,Yes
"OHC24 Shop : Monitor > Monitor search help > Dell P2014H 20"" >  8ms >  250cd >  1600x900 >  16:9 858-BBBS",250 cd/m2,Black,TCO Displays,"LED-backlit LCD monitor - 20""",47.05 cm x 18 cm x 35.42 cm - with stand,"Dell P2014H - LED monitor - 20""",3.2 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 2000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt","ENERGY STAR Qualified , EPEAT Gold","DVI-D, VGA, DisplayPort",3 years warranty,1600 x 900 at 60 Hz,IPS,0.271 mm,8 ms (grey-to-grey),,Switzerland,"Anti-glare, 3H Hard Coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > NEC E243WMI LED60.96CM 24IN ANA/DI 61 cm (24"")/ 1.920 x 60003681",250 cd/m2,Black,"DDC-2B, VESA DPMS, DDC/CI, RoHS, ISO 9241-307, TCO Displays 6.0","LED-backlit LCD monitor - 23.8""",55.78 cm x 21.39 cm x 37.96 cm - with stand,"NEC MultiSync E243WMI-BK - LED monitor - 23.8""",6.3 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 25000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,IPS,0.28 mm,6 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > Philips Brilliance S-line 221S3LCB - LED-Monitor - 221S3LCB/00,250 cd/m2,Black,"Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SEMKO, TUV Ergo, DDC/CI, RoHS, halogen-free, TCO Displays 5.1","LED-backlit LCD monitor - 21.5""",50.7 cm x 22 cm x 40 cm - with stand,"Philips Brilliance S-line 221S3LCB - LED monitor - 21.5""",4.8 kg,Widescreen - 16:9,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,FullHD 1920 x 1080 at 60 Hz,TN,0.248 mm,5 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHC24 Shop : Monitor > Monitor search help > NEC AS222WM 54 > 62CM 21 > 5IN ANA/DIG 250CD/QM 1000:1 5MS   60003496,250 cd/m2,Black,"FCC Class B certified, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, PCT, VESA EDID, TUV Ergo, ISO 9241-307, ERP, TCO Displays 6.0","LED-backlit LCD monitor - 21.5""",50.74 cm x 20.51 cm x 36.47 cm,"NEC AccuSync AS222WM - LED monitor - 21.5""",4.1 kg,Widescreen,16.7 million colours,1000:1,,ENERGY STAR Qualified,"DVI-D, VGA",3 years warranty,1920 x 1080,TN,0.248 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Acer Monitor 27"" > V276HLbmdp UM.HV6EE.011",300 cd/m2,Black,TCO Displays 6.0,"LED-backlit LCD monitor - 27""",,"Acer V276HLbmdp - LED monitor - 27""",,Widescreen - 16:9,16.7 million colours,100000000:1 (dynamic),,"ENERGY STAR Qualified , EPEAT Gold","DVI, VGA, DisplayPort",3 years warranty,FullHD 1920 x 1080,IPS,,6 ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OHC24 Shop : Monitor > Monitor search help > Philips 19B4LCB5/00 19"" LED Monitor 1280x1024 5ms >",250 cd/m2,Textured black,"Plug and Play, FCC Class B certified, TUV GS, BSMI, GOST, SEMKO, TUV Ergo, DDC/CI, RoHS, Lead-Free, WEEE, TCO Displays 6.0","LED-backlit LCD monitor - 19""",40.4 cm x 22.7 cm x 50.6 cm - with stand,"Philips Brilliance B-line 19B4LCB5 - LED monitor - 19""",4.61 kg,5:4,16.7 million colours,1000:1 / 20000000:1 (dynamic),"Height, pivot (rotation), swivel, tilt",ENERGY STAR Qualified,"DVI-D, VGA",,1280 x 1024 at 60 Hz,,0.294 mm,5 ms,,,,Integrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
