<page title>,aspect ratio,builtin speakers,contrast ratio,display colors,dvi,hdmi,ips,led,manufacturer,part,recommended resolution,refresh rate,screen size,viewing angle,widescreen,brightness,response time,vga,displayport,model,component,dvid duallink,svideo,minidisplay port
"Asus VW199T-P 19.1"" Monitor (VW199T-P) - PCPartPicker Canada",16:10,Yes,"ASCR 10,000,000:1",16700000.0,1.0,,No,Yes,Asus,VW199T-P,1440 x 900,,"19.1""",170° H x 160° V,Yes,,5 ms,1.0,,,,,,
"Dell E2214H 60Hz 21.5"" Monitor (E2214H) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Dell,E2214H,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC EA243WM-BK 24.0"" Monitor (EA243WM-BK) - PCPartPicker Canada",16:10,Yes,"DC 25,000:1 (1,000:1)",16700000.0,1.0,1.0,No,Yes,NEC,EA243WM-BK,1920 x 1200,,"24""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"DoubleSight DS-245V2 75Hz 24.0"" Monitor (DS-245V2) - PCPartPicker Canada",16:10,Yes,1000:1,16700000.0,,,Yes,No,DoubleSight,DS-245V2,1920 x 1200,75Hz,"24""",,Yes,400 cd/m²,5 ms,1.0,,,,1.0,,
"JVC DT-R24L41DU 24.0"" Monitor (DT-R24L41DU) - PCPartPicker Canada",16:10,No,1000:1,16770000.0,1.0,,No,No,JVC,DT-R24L41DU,1920 x 1200,,"24""",178° H x 178° V,Yes,400 cd/m²,5 ms,,,,,,,
"Asus VE228H 21.5"" Monitor (VE228H) - PCPartPicker Canada",16:9,Yes,"ASCR 10,000,000:1",16700000.0,1.0,,No,Yes,Asus,VE228H,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP L2206tm 60Hz 21.5"" Monitor (B0L55A8#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,,1.0,,No,No,HP,B0L55A8#ABA,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,L2206tm,,,,
"Asus VS228H-P 21.5"" Monitor (VS228H-P) - PCPartPicker Canada",16:9,No,50000000:1 (ASCR),16700000.0,1.0,1.0,No,Yes,Asus,VS228H-P,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VA1912M-LED 19.0"" Monitor (VA1912M-LED) - PCPartPicker Canada",16:9,Yes,"DC 10,000,000:1 (1000:1)",,1.0,,No,Yes,ViewSonic,VA1912M-LED,1366 x 768,,"19""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Lenovo 60B9HAR1US 60Hz 20.0"" Monitor (60B9HAR1US) - PCPartPicker Canada",16:9,No,1000:1,,1.0,,No,Yes,Lenovo,60B9HAR1US,1600 x 900,60Hz,"20""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Dell E2213H 60Hz 21.5"" Monitor (469-3938) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Dell,469-3938,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,E2213H,,,,
"Acer G206HQLbd 60Hz 19.5"" Monitor (UM.IG6AA.001) - PCPartPicker Canada",16:9,No,"100,000,000:1 (1,000:1)",16700000.0,1.0,,No,Yes,Acer,UM.IG6AA.001,1600 x 900,60Hz,"19.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,G206HQLbd,,,,
"Lenovo LT1712p 75Hz 17.0"" Monitor (5047HC2) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,1.0,,No,No,Lenovo,5047HC2,1280 x 1024,75Hz,"17""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,LT1712p,,,,
"Planar LA2250RTPW 75Hz 21.5"" Monitor (997-7442-00) - PCPartPicker Canada",16:9,No,1000:1,,1.0,,No,No,Planar,997-7442-00,1920 x 1080,75Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,LA2250RTPW,,,,
"HP LE2002XM 60Hz 20.0"" Monitor (A2U63A8#ABA) - PCPartPicker Canada",16:9,Yes,"DC 3,000,000:1 (1000:1)",,1.0,,No,Yes,HP,A2U63A8#ABA,1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,LE2002XM,,,,
"NEC EA273WM-BK 27.0"" Monitor (EA273WM-BK) - PCPartPicker Canada",16:9,Yes,"25,000:1 DCR (1000:1)",16700000.0,1.0,1.0,No,Yes,NEC,EA273WM-BK,1920 x 1080,,"27""",160° H x 160° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"Samsung C24A650X 24.0"" Monitor (C24A650X) - PCPartPicker Canada",16:9,No,3000:1 / Mega DCR,,,1.0,No,Yes,Samsung,C24A650X,1920 x 1080,,"24""",178° H x 178° V,Yes,250 cd/m²,8 ms,1.0,,,,,,
"LG LG-D2343PB-BN 60Hz 23.0"" Monitor (LG-D2343PB-BN) - PCPartPicker Canada",16:9,No,,,,1.0,Yes,No,LG,LG-D2343PB-BN,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,14 ms,,,,,1.0,,
"HP W2072a (A3M50AA#ABA) 60Hz 20.0"" Monitor (W2072a) - PCPartPicker Canada",16:9,Yes,3000000:1 (600:1),16770000.0,1.0,,No,Yes,HP,W2072a,1600 x 900,60Hz,"20""",90° H x 50° V,Yes,200 cd/m²,5 ms,1.0,,W2072a (A3M50AA#ABA),,,,
"HP F0W81AA#ABA 60Hz 24.0"" Monitor (F0W81AA#ABA) - PCPartPicker Canada",16:10,Yes,"5,000,000:1",16700000.0,1.0,,Yes,Yes,HP,F0W81AA#ABA,1920 x 1200,60Hz,"24""",,Yes,250 cd/m²,8 ms,1.0,1.0,,,,,
"Acer G237HLbi 60Hz 23.0"" Monitor (UM.VG7AA.001) - PCPartPicker Canada",16:9,No,"DCR 100,000,000:1 (1,000:1)",16700000.0,,1.0,Yes,Yes,Acer,UM.VG7AA.001,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,G237HLbi,,,,
"Lenovo LT2323p 23.0"" Monitor (3024HC1) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Lenovo,3024HC1,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,LT2323p,,,,
"ViewSonic VG732M 17.0"" Monitor (VG732M) - PCPartPicker Canada",5:4,Yes,"1000:1 (typ); 100,000:1 (dynamic)",,1.0,,No,No,ViewSonic,VG732M,1280 x 1024,,"17""",160° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Dell P2815Q 30Hz 28.0"" Monitor (P2815Q) - PCPartPicker Canada",16:9,Yes,1000:1,1073000000.0,,1.0,No,Yes,Dell,P2815Q,3840 x 2160,30Hz,"28""",170° H x 160° V,Yes,300 cd/m²,5 ms,,1.0,,,,,1.0
"BenQ GW2265HM 60Hz 21.5"" Monitor (GW2265HM) - PCPartPicker Canada",16:9,Yes,"DCR 20,000,000:1 (3000:1)",16700000.0,1.0,1.0,No,Yes,BenQ,GW2265HM,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,,,,,
"HP D7R00A8#ABA 60Hz 27.0"" Monitor (D7R00A8#ABA) - PCPartPicker Canada",16:9,Yes,1000:1,1070000000.0,,1.0,Yes,Yes,HP,D7R00A8#ABA,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,12 ms,,2.0,,,,,
"Asus VX238H 23.0"" Monitor (VX238H) - PCPartPicker Canada",16:9,Yes,"80,000,000:1",16700000.0,,2.0,No,Yes,Asus,VX238H,1920 x 1080,,"23""",170° H x 160° V,Yes,250 cd/m²,1 ms,1.0,,,,,,
"Acer S200HQLbd 60Hz 19.5"" Monitor (UM.IS0AA.002) - PCPartPicker Canada",16:9,No,"100,000,000:1",16700000.0,1.0,,No,Yes,Acer,UM.IS0AA.002,1600 x 900,60Hz,"19.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S200HQLbd,,,,
"Dell U2312HM 23.0"" Monitor (469-1253) - PCPartPicker Canada",16:9,No,2 Million:1 DCR (1000:1),16700000.0,1.0,,Yes,Yes,Dell,"469-1253
(or) U2312HM",1920 x 1080,,"23""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,U2312HM,,,,
"AOC 2036Sa 20.0"" Monitor (2036Sa) - PCPartPicker Canada",16:9,Yes,DC 60000:1,16700000.0,,,No,No,AOC,2036Sa,1600 x 900,,"20""",160° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"LG E1910T-BN 18.5"" Monitor (E1910T-BN) - PCPartPicker Canada",5:4,No,10000:1,16700000.0,1.0,,No,Yes,LG,E1910T-BN,1280 x 1024,,"18.5""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"NEC EA223WM-BK 22.0"" Monitor (EA223WM-BK) - PCPartPicker Canada",16:10,Yes,1000:1,16700000.0,1.0,,No,Yes,NEC,EA223WM-BK,1680 x 1050,,"22""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Planar PL1700M 17.0"" Monitor (PL1700M-WH) - PCPartPicker Canada",5:4,Yes,700:1,16700000.0,,,No,No,Planar,PL1700M-WH,1280 x 1024,,"17""",150° H x 135° V,No,300 cd/m²,8 ms,1.0,,PL1700M,,,,
"Lenovo L2250P 22.0"" Monitor (2572HB6) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,No,Lenovo,2572HB6,1680 x 1050,,"22""",176° H x 170° V,Yes,250 cd/m²,5 ms,1.0,,L2250P,,,,
"Acer V246HLbmdp 60Hz 24.0"" Monitor (UM.FV6AA.004) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.FV6AA.004,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,V246HLbmdp,,,,
"HP D2W67AA#ABA 19.0"" Monitor (D2W67AA#ABA) - PCPartPicker Canada",5:4,No,1000:1,,,,No,Yes,HP,D2W67AA#ABA,1280 x 1024,,"19""",,No,250 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VG2732m-LED 27.0"" Monitor (VG2732M-LED) - PCPartPicker Canada",16:9,Yes,"DC 20,000,000:1 (1,200:1)",,1.0,,No,Yes,ViewSonic,VG2732M-LED,1920 x 1080,,"27""",170° H x 160° V,Yes,300 cd/m²,3 ms,1.0,1.0,VG2732m-LED,,,,
"Dell E2314H 60Hz 23.0"" Monitor (E2314H) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Dell,E2314H,1920 x 1080,60Hz,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"BenQ RL2460HT 60Hz 24.0"" Monitor (RL2460HT) - PCPartPicker Canada",16:9,Yes,"DC 12,000,000:1 (1000:1)",16700000.0,1.0,2.0,No,Yes,BenQ,RL2460HT,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,1 ms,1.0,1.0,,,,,
"Toshiba PA5022U-1LC3 15.6"" Monitor (PA5022U-1LC3) - PCPartPicker Canada",16:9,No,300:1,,,,No,Yes,Toshiba,PA5022U-1LC3,1366 x 768,,"15.6""",,Yes,220 cd/m²,16 ms,,,,,,,
"AOC e2060Sn 60Hz 20.0"" Monitor (e2060Sn) - PCPartPicker Canada",16:9,No,"20,000,000:1",16700000.0,,,No,Yes,AOC,e2060Sn,1600 x 900,60Hz,"20""",90° H x 50° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"ViewSonic VP2365-LED 23.0"" Monitor (VP2365-LED) - PCPartPicker Canada",16:9,No,"DC 20,000,000:1 (1,000:1)",,1.0,,Yes,Yes,ViewSonic,VP2365-LED,1920 x 1080,,"23""",178° H x 178° V,Yes,250 cd/m²,6 ms,1.0,,,,,,
"Dell U2413 60Hz 24.0"" Monitor (469-4030) - PCPartPicker Canada",16:10,Yes,"2,000,000:1 (1000:1)",1070000000.0,1.0,1.0,Yes,Yes,Dell,"469-4030
(or) U2413",1920 x 1200,60Hz,"24""",178° H x 178° V,Yes,350 cd/m²,6 ms,,1.0,U2413,,,,
"HP LP2480zx 24.0"" Monitor (GV546A4#ABA) - PCPartPicker Canada",16:10,No,1000:1,,2.0,1.0,Yes,Yes,HP,GV546A4#ABA,1920 x 1200,,"24""",178° H x 178° V,Yes,250 cd/m²,12 ms,,1.0,LP2480zx,1.0,,1.0,
"HP LV1911 60Hz 18.5"" Monitor (A5V72A8#ABA) - PCPartPicker Canada",16:9,No,600:1 (static) / 3000000:1 (dynamic),16700000.0,,,No,Yes,HP,A5V72A8#ABA,1366 x 768,60Hz,"18.5""",90° H x 50° V,Yes,200 cd/m²,5 ms,1.0,,LV1911,,,,
"Acer V246HL Bmid  60Hz 24.0"" Monitor (UM.FV6AA.005) - PCPartPicker Canada",16:9,No,"100,000,000:1",16700000.0,1.0,1.0,No,Yes,Acer,UM.FV6AA.005,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,V246HL Bmid,,,,
"Asus VW22AT-CSM 22.0"" Monitor (VW22AT-CSM) - PCPartPicker Canada",16:10,Yes,"50,000,000:1",16700000.0,1.0,,No,Yes,Asus,VW22AT-CSM,1680 x 1050,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"HP E4U30A8#ABA 60Hz 18.9"" Monitor (E4U30A8#ABA) - PCPartPicker Canada",5:4,Yes,"3,000,000:1",16700000.0,1.0,,Yes,Yes,HP,E4U30A8#ABA,1280 x 1024,60Hz,"18.9""",,No,250 cd/m²,,1.0,1.0,,,,,
"ViewSonic VA2406m-LED 24.0"" Monitor (VA2406m-LED) - PCPartPicker Canada",16:9,Yes,"DC 10,000,000:1",,1.0,,No,Yes,ViewSonic,VA2406m-LED,1920 x 1080,,"24""",170° H x 160° V,Yes,270 cd/m²,5 ms,1.0,,,,,,
"BenQ GL2460HM 60Hz 24.0"" Monitor (GL2460HM) - PCPartPicker Canada",16:9,Yes,1000:1,,,1.0,No,Yes,BenQ,GL2460HM,1920 x 1080,60Hz,"24""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,,1.0,,
"Samsung S24C300HL 23.6"" Monitor (S24C300HL) - PCPartPicker Canada",16:9,No,Mega Infinite DCR (1000:1),16700000.0,,1.0,No,Yes,Samsung,S24C300HL,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer S235HLbii 60Hz 23.0"" Monitor (ET.VS5HP.001) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (1000:1)",16700000.0,,2.0,No,Yes,Acer,ET.VS5HP.001,1920 x 1080,60Hz,"23""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S235HLbii,,,,
"BenQ XL2420Z 144Hz 24.0"" Monitor (XL2420Z) - PCPartPicker Canada",16:9,No,,,1.0,2.0,No,Yes,BenQ,XL2420Z,1920 x 1080,144Hz,"24""",170° H x 160° V,Yes,350 cd/m²,1 ms,1.0,1.0,,,,,
"Samsung U28D590D 60Hz 28.0"" Monitor (U28D590D) - PCPartPicker Canada",16:9,No,1000:1,1070000000.0,,2.0,No,Yes,Samsung,U28D590D,3840 x 2160,60Hz,"28""",170° H x 160° V,Yes,300 cd/m²,1 ms,,1.0,,,,,
"Philips 271S4LPYEB 60Hz 27.0"" Monitor (271S4LPYEB) - PCPartPicker Canada",16:9,No,"20,000,000:1",16700000.0,1.0,,No,Yes,Philips,271S4LPYEB,1920 x 1080,60Hz,"27""",170° H x 160° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"LG 24M45VQ 60Hz 23.6"" Monitor (24M45VQ) - PCPartPicker Canada",16:9,No,"1,000:1",,,1.0,No,Yes,LG,24M45VQ,1920 x 1080,60Hz,"23.6""",170° H x 160° V,Yes,250 cd/m²,2 ms,1.0,,,,,,
"Samsung S22C650D 21.5"" Monitor (S22C650D) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,,,Yes,Yes,Samsung,S22C650D,1920 x 1080,,"21.5""",,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Acer V246HLbd 60Hz 24.0"" Monitor (UM.FV6AA.003) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,UM.FV6AA.003,1920 x 1080,60Hz,"24""",,Yes,250 cd/m²,5 ms,1.0,,V246HLbd,,,,
"Asus VX229H 60Hz 21.5"" Monitor (VX229H) - PCPartPicker Canada",16:9,Yes,"80,000,000:1",16700000.0,,2.0,No,Yes,Asus,VX229H,1920 x 1080,60Hz,"21.5""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VN279Q 27.0"" Monitor (VN279Q) - PCPartPicker Canada",16:9,Yes,100000000:1,16700000.0,,1.0,No,Yes,Asus,VN279Q,1920 x 1080,,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"BenQ XL2420G 144Hz 24.0"" Monitor (XL2420G) - PCPartPicker Canada",16:9,No,"DCR 12,000,000:1 (1000:1)",16700000.0,1.0,1.0,No,Yes,BenQ,XL2420G,1920 x 1080,144Hz,"24""",170° H x 160° V,Yes,350 cd/m²,1 ms,,1.0,,,,,
"LG 27EA83R-D 60Hz 27.0"" Monitor (27EA83R-D) - PCPartPicker Canada",16:9,No,"5,000,000:1",,1.0,1.0,Yes,Yes,LG,27EA83R-D,2560 x 1440,60Hz,"27""",178° H x 178° V,Yes,350 cd/m²,5 ms,,1.0,,,,,
"LG 22EC33T-B 21.5"" Monitor (22EC33T-B) - PCPartPicker Canada",16:9,No,"5,000,000:1",,1.0,,No,Yes,LG,22EC33T-B,1920 x 1080,,"21.5""",90° H x 65° V,Yes,200 cd/m²,5 ms,1.0,,,,,,
"NEC PA302W 30.0"" Monitor (PA302W) - PCPartPicker Canada",16:10,No,1000:1,,1.0,1.0,Yes,Yes,NEC,PA302W,2560 x 1600,,"30""",178° H x 178° V,Yes,340 cd/m²,6 ms,,2.0,,,,,
"Planar PL2210W 22.0"" Monitor (997-6498-00) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,No,Planar,997-6498-00,1920 x 1080,,"22""",160° H x 160° V,Yes,300 cd/m²,5 ms,1.0,,PL2210W,,,,
"LG 34UM95-P 60Hz 34.0"" Monitor (34UM95-P) - PCPartPicker Canada",21:9,No,"DFC 5,000,000:1(1000:1)",,,2.0,Yes,Yes,LG,34UM95-P,3440 x 1440,60Hz,"34""",178° H x 178° V,Yes,320 cd/m²,14 ms,,1.0,,,,,
"BenQ GW2450 24.0"" Monitor (GW2450) - PCPartPicker Canada",16:9,No,"DC 20,000,000:1 (5000:1)",16700000.0,1.0,,No,Yes,BenQ,GW2450,1920 x 1080,,"24""",178° H x 178° V,Yes,250 cd/m²,4 ms,1.0,,,,,,
"Samsung S24C200BL 23.6"" Monitor (S24C200BL) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Samsung,S24C200BL,1920 x 1080,,"23.6""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"Asus VK228H-CSM 21.5"" Monitor (VK228H-CSM) - PCPartPicker Canada",16:9,Yes,"ASCR 80,000,000:1",16700000.0,1.0,1.0,No,Yes,Asus,VK228H-CSM,1920 x 1080,,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC PA301W-BK-SV 30.0"" Monitor (PA301W-BK-SV) - PCPartPicker Canada",16:10,No,1000:1,1070000000.0,2.0,,No,No,NEC,PA301W-BK-SV,2560 x 1600,,"30""",178° H x 178° V,Yes,350 cd/m²,7 ms,,2.0,,,,,
"V7 LED185W2S-9N 19.0"" Monitor (LED185W2S-9N) - PCPartPicker Canada",16:9,Yes,800:1,,,,No,Yes,V7,LED185W2S-9N,1366 x 768,,"19""",,Yes,200 cd/m²,5 ms,1.0,,,,,,
"Dell E1911 60Hz 19.0"" Monitor (469-1382) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,No,Dell,469-1382,1440 x 900,60Hz,"19""",160° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,E1911,,,,
"NEC AS241W-BK 24.0"" Monitor (AS241W-BK) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,NEC,AS241W-BK,1920 x 1080,,"24""",176° H x 170° V,Yes,300 cd/m²,5 ms,1.0,,,,,,
"Planar PLL2210W 22.0"" Monitor (997-6897-00) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,No,Yes,Planar,997-6897-00,1920 x 1080,,"22""",,Yes,250 cd/m²,5 ms,1.0,,PLL2210W,,,,
"3M C2254PW 22.0"" Monitor (98-0003-3601-0) - PCPartPicker Canada",16:10,No,1000:1,16700000.0,1.0,,No,No,3M,98-0003-3601-0,1680 x 1050,,"22""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,,C2254PW,,,,
"NEC P241W-BK 24.1"" Monitor (P241W-BK) - PCPartPicker Canada",16:10,No,1000:1,,1.0,,No,No,NEC,P241W-BK,1920 x 1200,,"24.1""",178° H x 178° V,Yes,360 cd/m²,8 ms,1.0,1.0,,,,,
"Dell P2714H 60Hz 27.0"" Monitor (P2714H) - PCPartPicker Canada",16:9,No,1000:1,16700000.0,1.0,,Yes,Yes,Dell,P2714H,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,8 ms,1.0,1.0,,,,,
"Planar 997-7698-00 60Hz 23.0"" Monitor (997-7698-00) - PCPartPicker Canada",16:9,Yes,"1,000:1",16700000.0,,1.0,No,Yes,Planar,997-7698-00,1920 x 1080,60Hz,"23""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,,,,,
"NEC EA234WMI-BK 75Hz 23.0"" Monitor (EA234WMI-BK) - PCPartPicker Canada",16:9,Yes,1000:1,16700000.0,,,No,Yes,NEC,EA234WMI-BK,1920 x 1080,75Hz,"23""",,Yes,250 cd/m²,6 ms,1.0,,,,,,
"Acer G276HL Gbmid 60Hz 27.0"" Monitor (UM.HG6AA.G03) - PCPartPicker Canada",16:9,Yes,"ACM 100,000,000:1(3000:1)",16700000.0,1.0,1.0,No,Yes,Acer,UM.HG6AA.G03,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,300 cd/m²,6 ms,1.0,,G276HL Gbmid,,,,
"Philips 298X4QJAB/27 60Hz 29.0"" Monitor (298X4QJAB/27) - PCPartPicker Canada",21:9,Yes,"20,000,000:1",,1.0,2.0,Yes,Yes,Philips,298X4QJAB/27,2560 x 1080,60Hz,"29""",178° H x 178° V,Yes,300 cd/m²,5 ms,,1.0,,,,,
"NEC EA224WMi-BK 22.0"" Monitor (EA224WMi-BK) - PCPartPicker Canada",16:9,Yes,DCR 25000:1 (1000:1),,1.0,1.0,Yes,Yes,NEC,EA224WMi-BK,1920 x 1080,,"22""",178° H x 178° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"HP Smartbuy Z30i 60Hz 30.0"" Monitor (D7P94A8#ABA) - PCPartPicker Canada",16:10,No,DCR 5000000:1(1000:1),,1.0,1.0,Yes,Yes,HP,D7P94A8#ABA,2560 x 1600,60Hz,"30""",178° H x 178° V,Yes,350 cd/m²,8 ms,1.0,1.0,Smartbuy Z30i,,,,
"NEC LCD175M-BK 17.0"" Monitor (LCD175M-BK) - PCPartPicker Canada",5:4,No,1000:1,,1.0,,No,No,NEC,LCD175M-BK,1280 x 1024,,"17""",170° H x 170° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Asus PQ321Q 31.5"" Monitor (PQ321Q) - PCPartPicker Canada",16:9,Yes,,1070000000.0,,1.0,No,Yes,Asus,PQ321Q,3840 x 2160,,"31.5""",176° H x 176° V,Yes,350 cd/m²,8 ms,,1.0,,,,,
"ViewSonic VG2239M-LED 22.0"" Monitor (VG2239M-LED) - PCPartPicker Canada",16:9,Yes,"DC 20,000,000:1",,1.0,,No,Yes,ViewSonic,VG2239M-LED,1920 x 1080,,"22""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,1.0,,,,,
"Asus PB278Q 27.0"" Monitor (PB278Q) - PCPartPicker Canada",16:9,Yes,"80,000,000:1",,1.0,1.0,Yes,Yes,Asus,PB278Q,2560 x 1440,,"27""",178° H x 178° V,Yes,300 cd/m²,5 ms,1.0,1.0,,,,,
"HP 20xi 60Hz 20.0"" Monitor (20xi) - PCPartPicker Canada",16:9,No,"10,000,000:1",,1.0,,Yes,Yes,HP,20xi,1600 x 900,60Hz,"20""",178° H x 178° V,Yes,250 cd/m²,7 ms,1.0,,,,,,
"BenQ RL2240HE 60Hz 21.5"" Monitor (RL2240HE) - PCPartPicker Canada",16:9,No,,,1.0,1.0,No,Yes,BenQ,RL2240HE,1920 x 1080,60Hz,"21.5""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,,,,,
"NEC AS172-BK 76Hz 17.0"" Monitor (AS172-BK) - PCPartPicker Canada",5:4,No,1000:1,,,,No,Yes,NEC,AS172-BK,1280 x 1024,76Hz,"17""",,No,250 cd/m²,5 ms,1.0,,,,,,
"Planar 997-7451-00 60Hz 19.0"" Monitor (997-7451-00) - PCPartPicker Canada",5:4,No,1000:1,16700000.0,,,No,Yes,Planar,997-7451-00,1280 x 1024,60Hz,"19""",,No,250 cd/m²,5 ms,1.0,,,,,,
"Acer V196HQLAb 60Hz 18.5"" Monitor (UM.XV6AA.A01) - PCPartPicker Canada",16:9,No,"ACM 100,000,000:1 (600:1)",16700000.0,,,No,Yes,Acer,UM.XV6AA.A01,1366 x 768,60Hz,"18.5""",90° H x 65° V,Yes,200 cd/m²,5 ms,1.0,,V196HQLAb,,,,
"Acer S201HLbd 60Hz 20.0"" Monitor (ET.DS1HP.001) - PCPartPicker Canada",16:9,No,"ACM 12,000,000:1 (1000:1)",16700000.0,1.0,,No,Yes,Acer,ET.DS1HP.001,1600 x 900,60Hz,"20""",170° H x 160° V,Yes,250 cd/m²,5 ms,1.0,,S201HLbd,,,,
"Lenovo LI2721S 60Hz 27.0"" Monitor (18200587) - PCPartPicker Canada",16:9,No,"10,000,000:1 (1000:1)",,1.0,1.0,Yes,Yes,Lenovo,18200587,1920 x 1080,60Hz,"27""",178° H x 178° V,Yes,250 cd/m²,14 ms,1.0,,LI2721S,,,,
"Asus VB178T 17.0"" Monitor (VB178T) - PCPartPicker Canada",5:4,Yes,"50,000,000:1",16700000.0,1.0,,No,Yes,Asus,VB178T,1280 x 1024,,"17""",170° H x 160° V,No,250 cd/m²,5 ms,1.0,,,,,,
"Eizo MX241W-BK 24.1"" Monitor (MX241W-BK) - PCPartPicker Canada",16:10,No,1000:1,1070000000.0,2.0,,Yes,No,Eizo,MX241W-BK,1920 x 1200,,"24.1""",178° H x 178° V,Yes,320 cd/m²,13 ms,,1.0,,,,,
"AOC E960SRDA 60Hz 19.0"" Monitor (E960SRDA) - PCPartPicker Canada",5:4,Yes,20000000:1,16000000.0,1.0,,No,Yes,AOC,E960SRDA,1280 x 1024,60Hz,"19""",,No,250 cd/m²,5 ms,1.0,,,,,,
