<page title>,ac power in,aspect ratio,audio input,builtin camera,builtin speakers,cables included,certification,colour of product,contrast ratio dynamic,depth,depth with stand,display,display brightness,display diagonal,display diagonal metric,display number of colours,display resolution,display technology,dvi port,energy efficiency class,energy star certified,hd type,hdcp,height,height adjustment,height with stand,input frequency,input voltage,manual,pivot,pixel pitch,plug and play,power consumption standby,power consumption typical,power cord included,power led,response time,standby led,supported graphics resolutions,supported video modes,thin client installed,tilt angle,tv tuner integrated,vesa mounting interfaces compatibility,vga dsub ports quantity,viewing angle horizontal,viewing angle vertical,wall mountable,weight,weight with stand,width,width with stand,3d compatibility,cable lock slot,contrast ratio typical,headphone out,microphone in,package weight,rs232 ports,source datasheet,displayports quantity,dvid ports quantity,hdmi ports quantity,tilt adjustment,ac adapter included,audio output,dcin jack,mac operating systems supported,on screen display osd,packaging depth,packaging height,packaging width,quick start guide,windows operating systems supported,power consumption max,power consumption off,power consumption powersave,digital horizontal frequency,digital vertical frequency,bluetooth,epeat compliance,ethernet lan,horizontal scan range,onoff switch,quantity,screen format adjustments,swivelling,vertical scan range,wifi,hdmi,led indicators,linux operating systems supported,mean time between failures mtbf,number of products included,operating relative humidity hh,operating temperature tt,placement supported,storage relative humidity hh,storage temperature tt,viewable size horizontal,viewable size vertical,svideo inputs quantity,video dot rate,on screen display osd languages,power requirements,builtin subwoofer,headphone connectivity,number of loudspeakers,number of osd languages,pivot angle,rms rated power,separate hv sync,swivel angle range,usb 20 ports quantity,dvii ports quantity,viewable size diagonal,safety,backlight type,compliance industry standards,display srgb,feet colour,nonoperating altitude,operating altitude,pictureinpicture,usb 30 ports quantity,display viewable area hxv,pc audio in,syncongreen sog,dimensions w x d x h with stand,effective viewing area,package dimensions wxdxh,picture enhancement,volume control,maximum resolution,screen saving functions,display surface,composite video in,product type,bezel width side,analog signal format system,dimensions wxdxh,builtin microphone,card reader integrated,compatible memory cards,composite sync,mobile highdefinition link mhl,relative humidity,common interface ci,component video ypbprycbcr in,handheld remote control,common interface plus ci
Samsung LS27C45KBSV LED display - MediaShopUK,,,,No No No,No No No,,TCO,Black Black,1000:1,56.7 mm,224 mm,LED,300 cd/m²,"685.8 mm (27 "")",66.5 cm,16.77 M,1920 x 1080 pixels,TN+Film,,,Yes,Full HD,Yes,378.1 mm,Yes,397.8 mm,50/60 Hz,100 - 240 V,,Yes,,Yes Yes,0.1 W,30 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-3 - 25 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,6.2 kg,,639 mm,639 mm,No,,,,,8 kg 8 kg,,. .,,1.0,,Yes,,,,,,461 mm 461 mm,187 mm 187 mm,722 mm 722 mm,,,,,,,,,Gold,,,,,,Yes,,,,"Power, Y Power, Y",,,,,,,,,,,,,,,,,,,-1 - 95 °,,,-45 - 45 °,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite E2083HSD-B1 LED display - MediaShopUK,Yes,16:9,,No No,Yes Yes,"Audio (3.5mm), DVI, VGA Audio (3.5mm), DVI, VGA","TCO, CE, TUV-GS, VCCI-B, GOST-R",Black Black,5000000:1,203 mm,,LED,250 cd/m²,"495.3 mm (19.5 "")",49.53 cm,16.77 M,1600 x 900 pixels,TN+Film,Yes,Unspecified,Yes,HD-ready,Yes,360 mm,No,,50/60 Hz,100 - 240 V,,No,0.271 x 0.27 mm,,0.5 W,15 W,Yes Yes,,5 ms,,1600 x 900,,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.7 kg,,469.5 mm,,No,Kensington Kensington,1000:1,,,,,. .,,1.0,,Yes,,,,,Yes Yes,,,,Yes Yes,"Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64 Windows 2000, Windows 2000 Professional, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows 95, Windows 98, Windows ME, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64",,,,30 - 80 kHz,55 - 75 Hz,No,,No,30 - 80 kHz,Yes Yes,1 1,,No,55 - 75 Hz,No,,,,,,,,,,,236.3 mm,433.9 mm,,,"CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL CHI (SIMPL), CHI (TR), DEU, DUT, ENG, ESP, FRE, ITA, JPN, POL",,No No,,2 2,10 10,,4 W 4 W,Yes,,,,495 mm,,CCFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG IPS277L - MediaShopUK,Yes,16:9,,No No,No No,,"UL(cUL)TUV-TYPEFCC-B, CEEPA",Black Black,5000000:1,,,LED,250 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,IPS,,,,Full HD,Yes,,No,,,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,,31 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,,,1.0,178 °,178 °,No,4.36 kg,5.3 kg,,,No,,1000:1,1,,,,. .,,,2.0,,,,,,,,,,,"Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64 Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64",,0.7 W,0.7 W,,,,,,,Yes Yes,,,,,,,,,,1 pcs 1 pcs,,,Horizontal Horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,No No,,,,,,,,,,,Yes Yes,,,,,,,,,,,,,,,,
AOC M2752PQU - MediaShopUK,,16:9,,No No,Yes Yes,,"CE, FCC, EuP, GOST, ISO, RoHS, TCO, TUV GS",Black Black,20000000:1,210 mm,,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,452 mm,Yes,,50/60 Hz,90 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.4 W,44 W,,Yes Yes,8 ms,Yes Yes,1920 x 1080 (HD 1080),,No,-3 - 19 °,No,100 x 100 mm,1.0,178 °,178 °,Yes,7.6 kg,,645.7 mm,,No,Kensington Kensington,1200:1,1,,,,. .,1.0,1.0,1.0,,,,,,Yes Yes,,,,,,,0.3 W,,,,,Silver,,30 - 80 kHz,,,,,56 - 75 Hz,,,Yes Yes,,,,,,,,,597.89 mm,336.31 mm,,,,,,,,15 15,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL P Series P2213 - MediaShopUK,,16:10,,No No,No No,,TCO Certified,Black Black,2000000:1,59.8 mm,183.3 mm,LED,250 cd/m²,"558.8 mm (22 "")",55.88 cm,16.77 M,1680 x 1050 pixels,,Yes,Unspecified,Yes,HD-ready,Yes,332.7 mm,Yes,368.9 mm,47-63 Hz,100 - 240 V,,,0.282 x 0.282 mm,,0.3 W,25 W,,,5 ms,,1680 x 1050 (WSXGA+),,No,,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.43 kg,7.43 kg,510.4 mm,510.4 mm,No,Yes Yes,1000:1,,,,,. .,1.0,1.0,,Yes,,Yes,,,,,,,,,45 W,,,,,,Gold,,,,,,Yes,,,,,,,,10 - 80 %,0 - 40 °C,,5 - 90 %,-20 - 60 °C,,,,,,,,,,,,,,,3.0,,,,,,,,0 - 10668 m,0 - 3048 m,,,,,,,,,,,,,,,PC monitor,,,,,,,,,,,,,
Samsung LS22C65UDC LED display - MediaShopUK,,16:9,,,,,,Black Black,,185.42 mm,,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,AD-PLS,Yes,Unspecified,Yes,,,375.92 mm,Yes,,50/60 Hz,100 - 240 V,,Yes,0.24825 x 0.24825 mm,,0.3 W,38 W,,,5 ms,,,,,-3 - 25 °,,100 x 100 mm,1.0,178 °,178 °,Yes,3.221 kg,4.763 kg,576.58 mm,,,,1000:1,,,6.169 kg 6.169 kg,,. .,1.0,,1.0,,,,,,,,,,,,28 W,,,,,No,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1 - 95 °,,,-45 - 45 °,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 27EA83-D LED display - MediaShopUK,,16:9,,No No No,No No No,"AC, DisplayPort, DVI, USB AC, DisplayPort, DVI, USB","UL(cUL), FCC-B, CE, TCO5.1, TCO6.0",Black Black,5000000:1,38 mm,226 mm,LED,350 cd/m²,"685.8 mm (27 "")",68.58 cm,1070 M,2560 x 1440 pixels,IPS,,Unspecified,,,Yes,381 mm,Yes,459 mm,50/60 Hz,100 - 240 V,,Yes,0.2331 x 0.2331 mm,Yes Yes,1.2 W,70 W,,,5 ms,,2560 x 1440,,No,-5 - 15 °,No No,100 x 100 mm,,178 °,178 °,Yes,5.5 kg,7.3 kg,643 mm,643 mm,No,Kensington Kensington,1000:1,1,,9.3 kg 9.3 kg,,. .,1.0,1.0,1.0,Yes,,,,,Yes Yes,150 mm 150 mm,447 mm 447 mm,747 mm 747 mm,Yes Yes,,,0.5 W,,30 - 88.8 kHz,56 - 75 Hz,No,,No,,Yes Yes,,,,,No,,,,,,,,,,,597.8 mm,336.3 mm,,,,,,3.5 mm,,16 16,,,Yes,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,No No,,,,,,,,
Philips 221B3LPCS/02 LED display - MediaShopUK,,,Yes,No No,Yes Yes,,"BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÜV/GS, TÜVErgo, UL/cULRoHS",Silver Silver,20000000:1,59 mm,227 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",54.6 cm,16.77 M,1920 x 1080 pixels,,,Unspecified,Yes,Full HD,Yes,323 mm,Yes,480 mm,50/60 Hz,100 - 240 V,,Yes,0.248 x 0.248 mm,Yes Yes,0.1 W,17.8 W,,,5 ms,,1920 x 1080 (HD 1080),,No,-5 - 20 °,No,100 x 100 mm,1.0,176 °,170 °,Yes,3.4 kg,,507 mm,507 mm,,Kensington Kensington,1000:1,1,,7.12 kg,,. .,,1.0,,Yes,,Yes,,,Yes Yes,186 mm,361 mm,568 mm,,,,,,,,,Gold,No,30 - 83 kHz,,,,,56 - 75 Hz,No,No No,,,30000 h 30000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,476.6 mm,268.1 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS",,,,2 2,8 8,,3 W 3 W,Yes,,2.0,,,,W-LED,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,No No,No No,No No,,,,No,,,No
LG 27EA63V - MediaShopUK,,16:9,,No No,,,,Black Black,10000000:1,50 mm,193 mm,LCD,250 cd/m²,"685.8 mm (27 "")",,16.77 M,1920 x 1080 pixels,IPS,Yes,Unspecified,,Full HD,Yes,372 mm,,450 mm,,100 - 240 V,,,0.3114 x 0.3114 mm,Yes Yes,0.3 W,34 W,,,5 ms,,1920 x 1080 (HD 1080),,,-5 - 20 °,,100 x 100 mm,,178 °,178 °,Yes,4.3 kg,4.6 kg,623 mm,623 mm,,,,1,,6.76 kg,,. .,,1.0,1.0,Yes,,,,,,455 mm,142 mm,706 mm,,,,0.3 W,0.3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UL(cUL), TUV-GS, FCC-B, CE, EPA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Benq BL2405HT - MediaShopUK,,16:9,,No No No,No No No,,,Black Black,12000000:1,213 mm,,,250 cd/m²,"609.6 mm (24 "")",,16.77 M,1920 x 1080 pixels,,Yes,Unspecified,,Full HD,Yes,350 mm,Yes,,,,,,,,0.3 W,42 W,,,5 ms,,,,,,No No,100 x 100 mm,1.0,170 °,160 °,Yes,5.1 kg,,579 mm,,No,,1000:1,1,,,,,,,1.0,Yes,,,,,No No,,,,,"Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64 Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64",,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,17 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS PQ321QE - MediaShopUK,,16:9,,No No,Yes Yes,"DisplayPort, RS-232 DisplayPort, RS-232",,Black Black,,,256 mm,,350 cd/m²,"800.1 mm (31.5 "")",80.1 cm,1073.7 M,3840 x 2160 pixels,,No,Unspecified,,4K Ultra HD,Yes,,Yes,489 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.182 x 0.182 mm,,,,,,8 ms,,3840 x 2160,,No,,No,200 x 200 mm,,176 °,176 °,Yes,13 kg,,,750 mm,No,Kensington Kensington,800:1,,,,1.0,. .,1.0,,,,,,,,,,,,,,93 W,1 W,6 W,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,2 2,,,2 W 2 W,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Philips 273E3LHSB - MediaShopUK,Yes,16:9,,No No No,Yes Yes Yes,,"RoHS, BSMI, CE, FCC B, GOST, PSB, SASO, SEMKO, TUV Ergo, TUV/GS, TCO certified, UL/cUL, WEEE",Black Black,20000000:1,64 mm,227 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,Yes,,Yes,Full HD,Yes,391 mm,No,440 mm,,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.5 W,20.4 W,,Yes Yes,3.5 ms,Yes Yes,1920 x 1080 (HD 1080),1080p,No,-5 - 20 °,No No,100 x 100 mm,1.0,178 °,170 °,Yes,6.5 kg,8.2 kg,642 mm,642 mm,No,Kensington Kensington,1200:1,1,,8.82 kg 8.82 kg,,. .,,1.0,1.0,,,,,"Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion Mac OS X 10.0 Cheetah, Mac OS X 10.1 Puma, Mac OS X 10.2 Jaguar, Mac OS X 10.3 Panther, Mac OS X 10.4 Tiger, Mac OS X 10.5 Leopard, Mac OS X 10.6 Snow Leopard, Mac OS X 10.7 Lion",Yes Yes,138 mm 138 mm,525 mm 525 mm,700 mm 700 mm,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64 Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64",,0.3 W,,30 - 83 kHz,56 - 75 Hz,,Silver,,,Yes Yes,,"4:3, 16:9 4:3, 16:9",,,,,"Progress, Stand-by Progress, Stand-by",,30000 h 30000 h,1 pcs 1 pcs,,0 - 40 °C,Horizontal Horizontal,,-20 - 60 °C,597.6 mm,336.2 mm,,,"CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POL, RUS, TUR",,No No No,,2 2 2,9 9,,4 W 4 W 4 W,Yes,,,,,,W-LED,,Yes,,,,No No,,,Yes,Yes,,,,,,,Yes Yes,,,,,,,,,,,,20 - 80 %,,,,
HP VM617A4 - MediaShopUK,Yes,16:10,,No No No,No No No,"AC, DisplayPort, DVI AC, DisplayPort, DVI",,Black Black,3000:1,87 mm,276 mm,,370 cd/m²,"762 mm (30 "")",,1070 M,2560 x 1600 pixels,,,,Yes,No,Yes,454 mm,100 mm,489 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.2505 x 0.2505 mm,Yes Yes,2 W,185 W,,Yes Yes,7 ms,,2560 x 1600 (WQXGA),,No,-5 - 35 °,No No,,,178 °,178 °,,,13 kg,694 mm,694 mm,No,Yes Yes,1000:1,,,,,. .,1.0,1.0,,,,,,,,,,,Yes Yes,Yes Yes,,,,,,,,No,,,,,,,,,,,,,,41 - 95 °F,,,,,,,,,,,,,,,,,-45 - 45 °,5.0,,762 mm,,,,,,,,,,,,,,,,,,,,Matt,,,,,,,No No,,,,,,,,
Wortmann AG 1940 - MediaShopUK,Yes,5:4,,No No,Yes Yes,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","ISO 9241-307, TCO Displays 6.0","Black, Silver Black, Silver",30000000:1,52 mm,200 mm,LED,250 cd/m²,"482.6 mm (19 "")",48.2 cm,16.77 M,1280 x 1024 pixels,TN+Film,Yes,Unspecified,Yes,,Yes,345 mm,No,388 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.294 x 0.294 mm,Yes Yes,0.5 W,17 W,,,5 ms,,1280 x 1024 (SXGA),,No,-5 - 20 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,2.9 kg,,415 mm,415 mm,No,Yes Yes,,,,,,,,1.0,,Yes,,,,,Yes Yes,,,,,,,,,24 - 80 kHz,50 - 75 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wortmann AG TERRA LED 2211W - MediaShopUK,,16:9,,No No,,"AC, DVI, VGA AC, DVI, VGA","CE, CB (EN 60950)",Black Black,10000000:1,60 mm,220 mm,LED,250 cd/m²,"546.1 mm (21.5 "")",,16.77 M,1920 x 1080 pixels,TN+Film,,Unspecified,Yes,Full HD,Yes,321 mm,,381 mm,50/60 Hz,100 - 240 V,,,0.248 x 0.248 mm,,0.5 W,20 W,,,5 ms,,1920 x 1080 (HD 1080),,No,,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.4 kg,,507 mm,507 mm,No,,,,,4.5 kg,,,,1.0,,,,,,,,,,,,,,,,31 - 83 kHz,55 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG DM2352D-PZ LED display - MediaShopUK,Yes,16:9,,No No No,Yes Yes Yes,AC AC,"UL, CUL, SEMKO, FCC-B, CE, TUV-Type GS, TUV-Type, ISO 13406-2, TCO-03, TCO-99, NEMKO, SWOP",Black Black,5000000:1,62.9 mm,182.8 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.42 cm,16.77 M,1920 x 1080 pixels,TN+Film,,C,Yes,Full HD,No,334.6 mm,,406.2 mm,,,Yes Yes,,0.27 x 0.27 mm,,1 W,33 W,,,5 ms,,1920 x 1080 (HD 1080),,,-5 - 10 °,No No,100 x 100 mm,1.0,170 °,160 °,Yes,3.4 kg,3.9 kg,544.1 mm,544.1 mm,Yes,,1000:1,,,,,. .,,1.0,2.0,,,,,,Yes Yes,,,,,,,,,,,,,,30 - 83 kHz,,,,,56 - 75 Hz,,Yes Yes,Yes Yes,,,,,,,,,,,,,,,,,2 2 2,31 31,,10 W 10 W 10 W,Yes,,1.0,,,,,,,,,,,,,,,544.1 x 182.8 x 406.2 mm,,,,,,,,,,,,544.1 x 62.9 x 334.6 mm,,,,,,,,,Yes Yes,
Wortmann AG 2760W - MediaShopUK,,16:9,Yes,No No No,No No No,"AC, Audio (3.5mm), DVI, VGA AC, Audio (3.5mm), DVI, VGA","TÜV, CE, ISO 9241-307, TCO, ISO 9241-307, ISO 13406-2!",Black Black,20000000:1,66 mm,240 mm,LCD,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,,Yes,,Yes,Full HD,Yes,400 mm,,455 mm,50/60 Hz,100 - 240 V,Yes Yes,,0.3114 x 0.3114 mm,,0.5 W,24 W,,,3.4 ms,,1920 x 1080 (HD 1080),"1080i, 1080p, 480i, 480p, 576i, 576p, 720p",No,,No No,100 x 100 mm,1.0,170 °,160 °,Yes,,5.4 kg,647 mm,647 mm,No,,,,,,,,,1.0,1.0,,,,,,,,,,,"Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate",,0.5 W,,30 - 82 kHz,56 - 76 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 273V5LHAB - MediaShopUK,Yes,16:9,,,Yes Yes Yes,,"RoHS, Lead-free, Mercury Free",Black Black,10000000:1,57 mm,240 mm,LED,300 cd/m²,"685.8 mm (27 "")",68.6 cm,16.77 M,1920 x 1080 pixels,LCD/TFT,Yes,Unspecified,Yes,Full HD,,398 mm,,471 mm,50/60 Hz,100 - 240 V,,,0.311 x 0.311 mm,Yes Yes,0.5 W,19.65 W,,,5 ms,,,,,,,100 x 100 mm,1.0,170 °,160 °,Yes,4 kg,4.53 kg,646 mm,646 mm,,Kensington Kensington,1000:1,1,,6.17 kg 6.17 kg,,. .,,1.0,1.0,Yes,,,,,Yes Yes,139 mm 139 mm,482 mm 482 mm,698 mm 698 mm,,,,0.3 W,,,,,Silver,,30 - 83 kHz,Yes Yes,1 1,,,56 - 75 Hz,,,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,597.88 mm,336.31 mm,,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,2 2 2,,,4 W 4 W 4 W,Yes,,,,,,W-LED,"BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE",Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
iiyama ProLite E2083HD-1 - MediaShopUK,,16:9,,,No No,"AC, VGA AC, VGA",,Black Black,5000000:1,203 mm,,LED,250 cd/m²,"495.3 mm (19.5 "")",,16.77 M,1600 x 900 pixels,TN+Film,,Unspecified,Yes,,Yes,360 mm,,,50/60 Hz,100 - 240 V,Yes Yes,,0.271 x 0.271 mm,,1 W,15 W,,,5 ms,,1600 x 900,,,-5 - 22 °,,100 x 100 mm,1.0,170 °,160 °,Yes,2.6 kg,,469.5 mm,,No,Kensington Kensington,1000:1,,,,,. .,,1.0,,Yes,,,,,Yes Yes,,,,Yes Yes,,,,,30 - 80 kHz,55 - 75 Hz,No,,No,,,,,,,No,,,,,,,,,,,433.9 mm,236.3 mm,,,,,,,,10 10,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 233V5LSB - MediaShopUK,Yes,16:9,,,,,"RoHS, Lead-free, Mercury Free",Black Black,10000000:1,53 mm,219 mm,LED,250 cd/m²,"584.2 mm (23 "")",58.4 cm,16.77 M,1920 x 1080 pixels,LCD/TFT,Yes,Unspecified,Yes,Full HD,,340 mm,,416 mm,50/60 Hz,100 - 240 V,,,0.265 x 0.265 mm,Yes Yes,0.5 W,20.11 W,,,5 ms,,,,,,,100 x 100 mm,1.0,170 °,160 °,Yes,3.13 kg,3.5 kg,547 mm,547 mm,,Kensington Kensington,1000:1,,,4.93 kg 4.93 kg,,. .,,1.0,,,,,,,Yes Yes,118 mm 118 mm,415 mm 415 mm,600 mm 600 mm,,,,0.5 W,,,,,Silver,,30 - 83 kHz,Yes Yes,,,,56 - 75 Hz,,,"Operation, Stand-by Operation, Stand-by",,30.000 h 30.000 h,,20 - 80 %,0 - 40 °C,,,-20 - 60 °C,509.18 mm,286.42 mm,,,"CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR",,,,,,,,Yes,,,,,,W-LED,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Edge10 EF190a - MediaShopUK,Yes,16:10,,No No,Yes Yes,VGA VGA,,Black Black,10000:1,55 mm,180 mm,LED,300 cd/m²,"482.6 mm (19 "")",48.4 cm,16.77 M,1440 x 900 pixels,,Yes,Unspecified,,,,302 mm,No,358 mm,50/60 Hz,100 - 240 V,,,0.285 x 0.285 mm,,1 W,21 W,Yes Yes,,5 ms,,1440 x 900,,No,-5 - 15 °,No,100 x 100 mm,1.0,170 °,160 °,Yes,3.35 kg,4.32 kg,440 mm,440 mm,No,Kensington Kensington,1000:1,,,,,,,1.0,,Yes,,,,,Yes Yes,,,,,,,,,,,,,,31.5 - 80 kHz,,,,,60 - 75 Hz,,,,,,,,,,,,410.4 mm,256.45 mm,,,,,,,2 2,,,4 W 4 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
