authors,title,venue,year
l golab m zsu,processing sliding window multijoins in continuous queries over data streams,vldb,2003.0
g cormode f korn s muthukrishnan d srivastava,finding hierarchical heavy hitters in data streams,vldb,2003.0
d xin j han x li b wah,starcubing computing iceberg cubes by topdown and bottomup integration,vldb,2003.0
f korn s muthukrishnan y zhu,checks and balances monitoring data quality problems in network traffic databases,vldb,2003.0
d lbbers u grimmer m jarke,systematic development of data miningbased data quality tools,vldb,2003.0
g iwerks h samet k smith,continuous knearest neighbor queries for continuously moving points with updates,vldb,2003.0
t grust m keulen j teubner,staircase join teach a relational dbms to watch its axis steps,vldb,2003.0
s blott h korth,an almostserial protocol for transaction execution in mainmemory database systems,vldb,2002.0
l dayns g czajkowski,lightweight flexible isolation for languagebased extensible systems,vldb,2002.0
n karayannidis a tsois t sellis r pieringer v markl f ramsak r fenk k elhardt r bayer,processing star queries on hierarchicallyclustered fact tables,vldb,2002.0
h kang c chung,exploiting versions for online data warehouse maintenance in molap servers,vldb,2002.0
a nierman h jagadish,protdb probabilistic data in xml,vldb,2002.0
v hristidis y papakonstantinou,discover keyword search in relational databases,vldb,2002.0
s rizvi j haritsa,maintaining data privacy in association rule mining,vldb,2002.0
p senkul m kifer i toroslu,a logical framework for scheduling workflows under resource allocation constraints,vldb,2002.0
t palpanas r sidle r cochrane h pirahesh,incremental maintenance for nondistributive aggregate functions,vldb,2002.0
f korn s muthukrishnan d srivastava,reverse nearest neighbor aggregates over data streams,vldb,2002.0
c chan w fan p felber m garofalakis r rastogi,tree pattern aggregation for scalable xml data dissemination,vldb,2002.0
m benedikt c chan w fan r rastogi s zheng a zhou,dtddirected publishing with attribute translation grammars,vldb,2002.0
u rhm k bhm h schek h schuldt,fas a freshnesssensitive coordination middleware for a cluster of olap components,vldb,2002.0
l lakshmanan r ng c wang x zhou t johnson,the generalized mdl approach for summarization,vldb,2002.0
l lakshmanan j pei j han,quotient cube how to summarize the semantics of a data cube,vldb,2002.0
y lee k whang y moon i song,a onepass aggregation algorithm with the optimal buffer size in multidimensional olap,vldb,2002.0
b zeller a kemper,experience report exploiting advanced database optimization features for largescale sap r3 installations,vldb,2002.0
r vingralek,gnatdb a smallfootprint secure database system,vldb,2002.0
k goto y kambayashi,a new passenger support system for public transport using mobile database access,vldb,2002.0
p selinger,information integration and xml in ibms db2,vldb,2002.0
a fox,toward recoveryoriented computing,vldb,2002.0
a seifert m scholl,a multiversion cache replacement and prefetching policy for hybrid data delivery environments,vldb,2002.0
m sayal f casati u dayal m shan,business process cockpit,vldb,2002.0
g lohman s lightstone,smart making db2 more autonomic,vldb,2002.0
a schmidt f waas m kersten m carey i manolescu r busse,xmark a benchmark for xml data management,vldb,2002.0
b dageville m zat,sql memory management in oracle9i,vldb,2002.0
w kieling g kstler,preference sql design implementation experiences,vldb,2002.0
a pan j raposo m lvarez p montoto v orjales j hidalgo l ardao a molano via,the denodo data integration platform,vldb,2002.0
a laud s bhowmick p cruz d singh g rajesh,the grna a highly programmable infrastructure for prototyping developing and deploying genomicscentric applications,vldb,2002.0
i alexandrov a amorim e badescu m barczyk d burckhartchromek m caprini m dobson j flammer r hart r jones a kazarov s kolos v kotov d liko l lucio l mapelli m mineev l moneta i papadopoulos m nassiakou n parrington l pedro a ribeiro ,obk an online high energy physics metadata repository,vldb,2002.0
i ilyas w aref a elmagarmid,joining ranked inputs in practice,vldb,2002.0
c mohan,an efficient method for performing record deletions and updates using index scans,vldb,2002.0
m keidl s seltzsam k stocker a kemper,serviceglobe distributing eservices across the internet,vldb,2002.0
q sheng b benatallah m dumas e mak,selfserv a platform for rapid composition of web services in a peertopeer environment,vldb,2002.0
c aggarwal p yu,an automated system for web portal personalization,vldb,2002.0
g shegalov g weikum r barga d lomet,eos exactlyonce eservice middleware,vldb,2002.0
y ohura k takahashi i pramudiono m kitsuregawa,experiments on query expansion for internet yellow page services using web log mining,vldb,2002.0
w li w hsiung d kalashnikov r sion o po d agrawal k candan,issues and evaluations of caching solutions for web application acceleration,vldb,2002.0
r king,the rubicon of smart data,vldb,2002.0
s sripada,information management challenges from the aerospace industry,vldb,2002.0
w mahnke c mathis h steiert,extending an ordbms the statemachine module,vldb,2002.0
b aditya g bhalotia s chakrabarti a hulgeri c nakhe p parag s sudarshan,banks browsing and keyword searching in relational databases,vldb,2002.0
m cilia p hasselmayer a buchmann,profiling and internet connectivity in automotive environments,vldb,2002.0
s santini a gupta,gembase a geometric mediator for brain analysis with surface ensembles,vldb,2002.0
k lam a kwan k ramamritham,rtmonitor realtime data monitoring using mobile agent technologies,vldb,2002.0
s heymann k tham a kilian g wegner p rieger d merkel j freytag,viator a tool family for graphical networking and data view creation,vldb,2002.0
r agrawal r srikant y xu,database technologies for electronic commerce,vldb,2002.0
w hsu m lee b ooi p mohanty k teo c xia,advanced database technologies in a diabetic healthcare system,vldb,2002.0
c mohan,caching technologies for web applications,vldb,2001.0
m garofalakis p gibbons,approximate query processing taming the terabytes,vldb,2001.0
h liu h jacobsen,atopss a publishsubscribe system supporting approximate matching,vldb,2002.0
s sarawagi a bhamidipaty a kirpal c mouli,alias an active learning led interactive deduplication system,vldb,2002.0
r rantzau c constantinescu u heinkel h meinecke,champagne data change propagation for heterogeneous information systems,vldb,2002.0
a herlekar a deopujari k ramamritham s gopale s shukla,entrans a system for flexible consistency maintenance in directory applications,vldb,2002.0
p bohannon j freire j haritsa m ramanath p roy j simon,legodb customizing relational storage for xml documents,vldb,2002.0
s abiteboul o benjelloun i manolescu t milo r weber,active xml peertopeer data and web services integration,vldb,2002.0
s raghavan h garciamolina,crawling the hidden web,vldb,2001.0
i stanoi m riedewald d agrawal a abbadi,discovery of influence sets in frequently updated databases,vldb,2001.0
a amir r kashi n netanyahu,analyzing quantitative databases image is everything,vldb,2001.0
r chirkova a halevy d suciu,a formal perspective on the view selection problem,vldb,2001.0
j madhavan p bernstein e rahm,generic schema matching with cupid,vldb,2001.0
p wadler,et tu xml the downfall of the relational empire abstract,vldb,2001.0
u dayal m hsu r ladin,business process coordination state of the art trends and open issues,vldb,2001.0
m cherniack m franklin s zdonik,data management for pervasive computing,vldb,2001.0
,data stream query processing a tutorial,,2003.0
,grid data management systems services,,2003.0
,constructing and integrating datacentric web applications methods tools and techniques,,2003.0
d shasha p bonnet,database tuning principles experiments and troubleshooting techniques,vldb,2002.0
g gottlob c koch r pichler,efficient algorithms for processing xpath queries,vldb,2002.0
g cormode m datar p indyk s muthukrishnan,comparing data streams using hamming norms how to zero in,vldb,2002.0
r ramamurthy d dewitt q su,a case for fractured mirrors,vldb,2002.0
s chakrabarti s roy m soundalgekar,fast and accurate text classification via multiple linear discriminant projections,vldb,2002.0
,ebusiness standards and architectures,,2002.0
,querying and mining data streams you only get one look,,2002.0
,application servers and associated technologies,,2002.0
,automation in information extraction and data integration,,2002.0
,searching and mining finegrained semistructured data,,2002.0
,sensor data mining similarity search and pattern analysis,,2002.0
t imielinski b badrinath,wireless graffiti data data everywhere matters,vldb,2002.0
g weikum a mnkeberg c hasse p zabback,selftuning database technology and information services from wishful thinking to viable engineering,vldb,2002.0
t ashwin r gupta s ghosal,adaptable similarity search using nonrelevant information,vldb,2002.0
d cosley s lawrence d pennock,referee an open framework for practical testing of recommender systems using researchindex,vldb,2002.0
j conrad x guo p jackson m meziou,database selection using actual physical and acquired logical collection resources in a massive domainspecific operational environment,vldb,2002.0
g zsoyoglu a alhamdani i altingvde s zel ulusoy z zsoyoglu,sideway value algebra for objectrelational databases,vldb,2002.0
g moerkotte,incorporating xsl processing into database engines,vldb,2002.0
c park j min c chung,structural function inlining technique for structurally recursive xml queries,vldb,2002.0
l bouganim p pucheral,chipsecured data access confidential data on untrusted servers,vldb,2002.0
p bohannon s ganguly h korth p narayan p shenoy,optimizing view queries in rolex to support navigable result trees,vldb,2002.0
r agrawal j kiernan,watermarking relational databases,vldb,2002.0
r agrawal j kiernan r srikant y xu,hippocratic databases,vldb,2002.0
a ghosh j parikh v sengar j haritsa,plan selection based on query clustering,vldb,2002.0
a hulgeri s sudarshan,parametric query optimization for linear and piecewise linear cost functions,vldb,2002.0
s chandrasekaran m franklin,streaming queries over streaming data,vldb,2002.0
s manegold p boncz m kersten,generic database cost models for hierarchical memory systems,vldb,2002.0
b ludscher p mukhopadhyay y papakonstantinou,a transducerbased xml query processor,vldb,2002.0
d carney u etintemel m cherniack c convey s lee g seidman m stonebraker n tatbul s zdonik,monitoring streams a new class of data management applications,vldb,2002.0
c chan m garofalakis r rastogi,retree an efficient index structure for regular expressions,vldb,2002.0
d kossmann f ramsak s rost,shooting stars in the sky an online algorithm for skyline queries,vldb,2002.0
r kaushik p bohannon j naughton p shenoy,updates for structure indexes,vldb,2002.0
s chien z vagena d zhang v tsotras c zaniolo,efficient structural joins on indexed xml documents,vldb,2002.0
w kieling,foundations of preferences in database systems,vldb,2002.0
y chen g dong j han b wah j wang,multidimensional regression analysis of timeseries data streams,vldb,2002.0
y tao d papadias q shen,continuous nearest neighbor search,vldb,2002.0
j dittrich b seeger d taylor p widmayer,progressive merge join a generic and nonblocking sortbased join algorithm,vldb,2002.0
r lempel s moran,optimizing result prefetching in web search engines with segmented indices,vldb,2002.0
m lifantsev t chiueh,ioconscious data preparation for largescale web search engines,vldb,2002.0
g manku r motwani,approximate frequency counts over data streams,vldb,2002.0
y zhu d shasha,statstream statistical monitoring of thousands of data streams in real time,vldb,2002.0
y tao d papadias,adaptive index structures,vldb,2002.0
l lim m wang s padmanabhan j vitter r parr,xpathlearner an online selftuning markov histogram for xml path selectivity estimation,vldb,2002.0
p ipeirotis l gravano,distributed search over the hidden web hierarchical database sampling and selection,vldb,2002.0
e keogh,exact indexing of dynamic time warping,vldb,2002.0
s cho s ameryahia l lakshmanan d srivastava,optimizing the secure evaluation of twig queries,vldb,2002.0
t yu d srivastava l lakshmanan h jagadish,compressed accessibility map efficient access control for xml,vldb,2002.0
n polyzotis m garofalakis,structure and value synopses for xml data graphs,vldb,2002.0
a gilbert y kotidis s muthukrishnan m strauss,how to summarize the universe dynamic maintenance of quantiles,vldb,2002.0
a uhl,a bandwidth model for internet search,vldb,2002.0
s shah k ramamritham p shenoy,maintaining coherency of dynamic data in cooperating repositories,vldb,2002.0
j cho a ntoulas,effective change detection using sampling,vldb,2002.0
c bettini s jajodia x wang d wijesekera,provisions and obligations in policy management and security applications,vldb,2002.0
r ananthakrishna s chaudhuri v ganti,eliminating fuzzy duplicates in data warehouses,vldb,2002.0
s kounev a buchmann,improving data access of j2ee applications by exploiting asynchronous messaging and caching services,vldb,2002.0
k candan d agrawal w li o po w hsiung,view invalidation for dynamic content caching in multitiered architectures,vldb,2002.0
l bright l raschid,using latencyrecency profiles for data delivery on the web,vldb,2002.0
l hammel j patel,searching on the secondary structure of protein sequences,vldb,2002.0
e stolte g alonso,efficient exploration of large scientific databases,vldb,2002.0
h do e rahm,coma a system for flexible combination of schema matching approaches,vldb,2002.0
l popa y velegrakis r miller m hernndez r fagin,translating web data,vldb,2002.0
a aiken j hellerstein j widom,static analysis techniques for predicting the behavior of active database rules,acm trans database syst,1995.0
w chen,declarative updates of relational databases,acm trans database syst,1995.0
h jagadish,the incinerate data model,acm trans database syst,1995.0
k goldman n lynch,quorum consensus in nested transaction systems,acm trans database syst,1994.0
s ceri p fraternali s paraboschi l tanca,addendum to automatic generation of production rules for integrity maintenance,acm trans database syst,1995.0
l bkgaard l mark,incremental computation of nested relational query expressions,acm trans database syst,1995.0
j chomicki,efficient checking of temporal integrity constraints using bounded history encoding,acm trans database syst,1995.0
g graefe r cole,fast algorithms for universal quantification in large databases,acm trans database syst,1995.0
d srivastava s sudarshan r ramakrishnan j naughton,space optimization in deductive databases,acm trans database syst,1995.0
w chen,query evaluation in deductive databases with alternating fixpoint semantics,acm trans database syst,1995.0
y ioannidis r ramakrishnan,containment of conjunctive queries beyond relations as sets,acm trans database syst,1995.0
d shasha f llirbat e simon p valduriez,transaction chopping algorithms and performance studies,acm trans database syst,1995.0
w mok y ng d embley,a normal form for precisely characterizing redundancy in nested relations,acm trans database syst,1996.0
i mumick s finkelstein h pirahesh r ramakrishnan,magic conditions,acm trans database syst,1996.0
i chen r hull d mcleod,an execution model for limited ambiguity rules and its application to derived data update,acm trans database syst,1995.0
p fraternali l tanca,a structured approach for the definition of the semantics of active databases,acm trans database syst,1995.0
s guo w sun m weiss,solving satisfiability and implication problems in database systems,acm trans database syst,1996.0
c bell a nerode r ng v subrahmanian,implementing deductive databases by mixed integer programming,acm trans database syst,1996.0
p buneman a ohori,polymorphism and type inference in database programming,acm trans database syst,1996.0
e baralis s ceri s paraboschi,modularization techniques for active rules design,acm trans database syst,1996.0
s ghandeharizadeh r hull d jacobs,heraclitus elevating deltas to be firstclass citizens in a database programming language,acm trans database syst,1996.0
d dey s sarkar,a probabilistic relational model and algebra,acm trans database syst,1996.0
k ross,tail recursion elimination in deductive databases,acm trans database syst,1996.0
l liu r meersman,the building blocks for specifying communication behavior of complex objects an activitydriven approach,acm trans database syst,1996.0
l raschid j lobo,semantics for update rule programs and implementations in a relational database management system,acm trans database syst,1996.0
d kuo,model and verification of a data manager based on aries,acm trans database syst,1996.0
p ciaccia p tiberio p zezula,declustering of keybased partitioned signature files,acm trans database syst,1996.0
w litwin m neimat d schneider,lh a scalable distributed data structure,acm trans database syst,1996.0
c galindolegaria a rosenthal,outerjoin simplification and reordering for query optimization,acm trans database syst,1997.0
j clifford c dyreson t isakowitz c jensen r snodgrass,on the semantics of now in databases,acm trans database syst,1997.0
j keen w dally,extended ehemeral logging log storage management for applications with long lived transactions,acm trans database syst,1997.0
r peters m zsu,an axiomatic model of dynamic schema evolution in objectbase systems,acm trans database syst,1997.0
,guest editorial,,2003.0
c chan m garofalakis r rastogi,retree an efficient index structure for regular expressions,vldb j,2003.0
d abadi d carney u etintemel m cherniack c convey s lee m stonebraker n tatbul s zdonik,aurora a new model and architecture for data stream management,vldb j,2003.0
s chakrabarti s roy m soundalgekar,fast and accurate text classification via multiple linear discriminant projections pp,vldb j,2003.0
j yang j widom,incremental computation and maintenance of temporal aggregates,vldb j,2003.0
r ramamurthy d dewitt q su,a case for fractured mirrors,vldb j,2003.0
s helmer g moerkotte,a performance study of four index structures for setvalued attributes of low cardinality,vldb j,2003.0
c cecil r chiang e lim,instancebased attribute identification in database integration,vldb j,2003.0
c fung k karlapalem q li,costdriven vertical class partitioning for methods in object oriented databases,vldb j,2003.0
c li,computing complete answers to queries in the presence of limited access patterns,vldb j,2003.0
m halkidi b nguyen i varlamis m vazirgiannis,thesus organizing web document collections based on link semantics,vldb j,2003.0
r fileto l liu c pu e assad c medeiros,poesia an ontological workflow approach for composing web services in agriculture,vldb j,2003.0
a maedche b motik l stojanovic,managing multiple and distributed ontologies on the semantic web,vldb j,2003.0
a doan j madhavan r dhamankar p domingos a halevy,learning to match ontologies on the semantic web,vldb j,2003.0
b medjahed a bouguettaya a elmagarmid,composing web services on the semantic web,vldb j,2003.0
,guest editorial,,2003.0
w kim,charter and scope,acm trans database syst,1994.0
k salem h garciamolina j shands,altruistic locking,acm trans database syst,1994.0
j clifford a croker a tuzhilin,on completeness of historical relational query languages,acm trans database syst,1994.0
p tendick n matloff,a modified random perturbation method for database security,acm trans database syst,1994.0
m olivier s solms,a taxonomy for secure objectoriented databases,acm trans database syst,1994.0
e sciore m siegel a rosenthal,using semantic values to falilitate interoperability among heterogeneous information systems,acm trans database syst,1994.0
t yan h garciamolina,index structures for selective dissemination of information under the boolean model,acm trans database syst,1994.0
v subrahmanian,amalgamating knowledge bases,acm trans database syst,1994.0
m bright a hurson s pakzad,automated resolution of semantic heterogeneity in multidatabases,acm trans database syst,1994.0
a rosenthal d reiner,tools and transformations rigorous and otherwise for practical database design,acm trans database syst,1994.0
h korth g speegle,formal aspects of concurrency control in longduration transaction systems using the ntpv model,acm trans database syst,1994.0
p chrysanthis k ramamritham,synthesis of extended transaction models using acta,acm trans database syst,1994.0
c polyzois h garciamolina,evaluation of remote backup algorithms for transactionprocessing systems,acm trans database syst,1994.0
s ceri p fraternali s paraboschi l tanca,automatic generation of production rules for integrity maintenance,acm trans database syst,1994.0
m winslett k smith x qian,formal query languages for secure relational databases,acm trans database syst,1994.0
n krishnakumar a bernstein,bounded ignorance a technique for increasing concurrency in a replicated system,acm trans database syst,1994.0
y cui j widom j wiener,tracing the lineage of view data in a warehousing environment,acm trans database syst,2000.0
j parsons y wand,emancipating instances from the tyranny of classes in information modeling,acm trans database syst,2000.0
c bhm,a cost model for query processing in high dimensional data spaces,acm trans database syst,2000.0
d kossmann k stocker,iterative dynamic programming a new class of query optimization algorithms,acm trans database syst,2000.0
b lerner,a model for compound type changes encountered in schema evolution,acm trans database syst,2000.0
r gting m bhlen m erwig c jensen n lorentzos m schneider m vazirgiannis,a foundation for representing and quering moving objects,acm trans database syst,2000.0
d dey v storey t barron,improving database design through the analysis of relationships,acm trans database syst,1999.0
k muralidhar r sarathy,security of random data perturbation methods,acm trans database syst,1999.0
a dekhtyar r ross v subrahmanian,probabilistic temporal databases i algebra,acm trans database syst,2001.0
w hsu a smith h young,io reference behavior of production database workloads and the tpc benchmarks an analysis at the logical level,acm trans database syst,2001.0
m bhlen c jensen r snodgrass,temporal statement modifiers,acm trans database syst,2000.0
l fegaras d maier,optimizing object queries using an effective calculus,acm trans database syst,2000.0
d kossmann m franklin g drasch,cache investment integrating query optimization and distributed data placement,acm trans database syst,2000.0
b kemme g alonso,a new approach to developing and implementing eager database replication protocols,acm trans database syst,2000.0
r meo,theory of dependence values,acm trans database syst,2000.0
e baralis j widom,an algebraic approach to static analysis of active database rules,acm trans database syst,2000.0
c li e chang,answering queries with useful bindings,acm trans database syst,2001.0
t eiter j lu t lukasiewicz v subrahmanian,probabilistic object bases,acm trans database syst,2001.0
,editorial,,2001.0
w ng,an extension of the relational data model to incorporate ordered domains,acm trans database syst,2001.0
t fukuda y morimoto s morishita t tokuyama,data mining with optimized twodimensional association rules,acm trans database syst,2001.0
j chomicki d toman m bhlen,querying atsql databases with temporal logic,acm trans database syst,2001.0
m andries l cabibbo j paredaens j bussche,applying an update method to a set of receivers,acm trans database syst,2001.0
s jajodia p samarati m sapino v subrahmanian,flexible support for multiple access control policies,acm trans database syst,2001.0
d suciu,distributed query evaluation on semistructured data,acm trans database syst,2002.0
n bruno s chaudhuri l gravano,topk selection queries over relational databases mapping strategies and performance evaluation,acm trans database syst,2002.0
m liu g dobbie t ling,a logical foundation for deductive objectoriented databases,acm trans database syst,2002.0
h schuldt g alonso c beeri h schek,atomicity and isolation for transactional processes,acm trans database syst,2002.0
n mamoulis d papadias,multiway spatial joins,acm trans database syst,2001.0
y kotidis n roussopoulos,a case for dynamic view management,acm trans database syst,2001.0
,editorial,,2001.0
l lakshmanan f sadri s subramanian,schemasql an extension to sql for multidatabase interoperability,acm trans database syst,2001.0
m franklin m carey m livny,transactional clientserver cache consistency alternatives and performance,acm trans database syst,1997.0
t eiter g gottlob h mannila,disjunctive datalog,acm trans database syst,1997.0
z tari j stokes s spaccapietra,object normal forms and dependency constraints for objectoriented schemata,acm trans database syst,1997.0
m zaharioudakis m carey m franklin,adaptive finegrained sharing in a clientserver oodbms a callbackbased approach,acm trans database syst,1997.0
p ammann s jajodia i ray,applying formal methods to semanticbased decomposition of transactions,acm trans database syst,1997.0
o wolfson s jajodia y huang,an adaptive data replication algorithm,acm trans database syst,1997.0
l lakshmanan n leone r ross v subrahmanian,probview a flexible probabilistic database system,acm trans database syst,1997.0
x wang c bettini a brodsky s jajodia,logical design for temporal databases with multiple granularities,acm trans database syst,1997.0
x liu a helal w du,multiview access protocols for largescale replication,acm trans database syst,1998.0
s mehrotra r rastogi h korth a silberschatz,ensuring consistency in multidatabases by preserving twolevel serializability,acm trans database syst,1998.0
a formica h grger m missikoff,an efficient method for checking objectoriented database schema correctness,acm trans database syst,1998.0
j hellerstein,optimization techniques for queries with expensive methods,acm trans database syst,1998.0
a stolboushkin m taitslin,safe stratified datalog with integer order does not have syntax,acm trans database syst,1998.0
v storey r chiang d dey r goldstein s sundaresan,database design with common sense business reasoning and learning,acm trans database syst,1997.0
c dyreson r snodgrass,supporting validtime indeterminacy,acm trans database syst,1998.0
p revesz,safe query languages for constraint databases,acm trans database syst,1998.0
d konopnicki o shmueli,information gathering in the worldwide web the w3ql query language and the w3qs system,acm trans database syst,1998.0
m levene g loizou,database design for incomplete relations,acm trans database syst,1999.0
j wijsen,temporal fds on complex objects,acm trans database syst,1999.0
a datta d vandermeer a celik v kumar,broadcast protocols to support efficient retrieval from databases by mobile users,acm trans database syst,1999.0
s castano v antonellis m fugini b pernici,conceptual schema analysis techniques and applications,acm trans database syst,1998.0
e bertino c bettini e ferrari p samarati,an access control model supporting periodicity constraints and temporal reasoning,acm trans database syst,1998.0
j zobel a moffat k ramamohanarao,inverted files versus signature files for text indexing,acm trans database syst,1998.0
a sistla o wolfson y yesha r sloan,towards a theory of cost management for digital libraries and electronic commerce,acm trans database syst,1998.0
t bozkaya z zsoyoglu,indexing large metric spaces for similarity search queries,acm trans database syst,1999.0
s alagic,typechecking oql queries in the odmg type systems,acm trans database syst,1999.0
t yan h garciamolina,the sift information dissemination system,acm trans database syst,1999.0
y wand v storey r weber,an ontological analysis of the relationship construct in conceptual modeling,acm trans database syst,1999.0
g hjaltason h samet,distance browsing in spatial databases,acm trans database syst,1999.0
l gravano h garciamolina a tomasic,gloss textsource discovery over the internet,acm trans database syst,1999.0
s chaudhuri k shim,optimization of queries with userdefined predicates,acm trans database syst,1999.0
f casati s ceri s paraboschi g pozzi,specification and implementation of exceptions in workflow management systems,acm trans database syst,1999.0
g aslan d mcleod,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,vldb j,1999.0
p boncz m kersten,mil primitives for querying a fragmented world,vldb j,1999.0
t hrder g sauter j thomas,the intrinsic problems of structural heterogeneity and an approach to their solution,vldb j,1999.0
z li k ross,fast joins using join indices,vldb j,1999.0
w liang m orlowska j yu,optimizing multiple dimensional queries simultaneously in multidimensional databases,vldb j,2000.0
e pacitti e simon,update propagation strategies to improve freshness in lazy master replicated databases,vldb j,2000.0
k law j lui l golubchik,efficient support for interactive service in multiresolution vod systems,vldb j,1999.0
n krivokapic a kemper e gudes,deadlock detection in distributed database systems a new algorithm and a comparative performance analysis,vldb j,1999.0
m garofalakis b zden a silberschatz,on periodic resource scheduling for continuousmedia databases,vldb j,1998.0
m zsu s christodoulakis,introduction special issue on multimedia databases,vldb j,1998.0
r ng p shum,optimal clip ordering for multiclip queries,vldb j,1998.0
h jiang a elmagarmid,spatial and temporal contentbased access to hypervideo databases,vldb j,1998.0
n kabra d dewitt,opt an objectoriented implementation for extensible database query optimization,vldb j,1999.0
y huang j ding s tsao,constant time permutation an efficient block allocation strategy for variablebitrate continuous media data,vldb j,1999.0
n balkir g zsoyoglu,delivering presentations from multimedia servers,vldb j,1998.0
p zezula p savino g amato f rabitti,approximate similarity retrieval with mtrees,vldb j,1998.0
b chidlovskii u borghoff,semantic caching of web queries,vldb j,2000.0
j gruser l raschid v zadorozhny t zhan,learning response time for websources using query feedback and application in query optimization,vldb j,2000.0
p buneman m fernandez d suciu,unql a query language and algebra for semistructured data based on structural recursion,vldb j,2000.0
r braumandl j clauen a kemper d kossmann,functionaljoin processing,vldb j,2000.0
k candan e lemar v subrahmanian,view management in multimedia databases,vldb j,2000.0
m fernandez d florescu a levy d suciu,declarative specification of web sites with strudel,vldb j,2000.0
b berendt m spiliopoulou,analysis of navigation behaviour in web sites integrating multiple information systems,vldb j,2000.0
,guest editorial databases and the web,,2000.0
b george j haritsa,secure bufering in firm realtime database systems,vldb j,2000.0
p muth p oneil a pick g weikum,the lham logstructured history data access method,vldb j,2000.0
f korn a labrinidis y kotidis c faloutsos,quantifiable data mining using ratio rules,vldb j,2000.0
g sheikholeslami s chatterjee a zhang,wavecluster a wavelet based clustering approach for spatial data in very large databases,vldb j,2000.0
d gibson j kleinberg p raghavan,clustering categorical data an approach based on dynamical systems,vldb j,2000.0
e knorr r ng v tucakov,distancebased outliers algorithms and applications,vldb j,2000.0
k torp c jensen r snodgrass,effective timestamping in databases,vldb j,2000.0
,foreword by the vldb 98 pc chairmen best papers of vldb 98,,2000.0
l haas m carey m livny a shukla,seeking the truth about ad hoc join costs,vldb j,1997.0
e panagos a biliris,synchronization and recovery in a clientserver storage system,vldb j,1997.0
e cobb,the impact of technology on commercial transaction processing,vldb j,1997.0
d lomet b salzberg,concurrency and recovery for index trees,vldb j,1997.0
m steinbrunn g moerkotte a kemper,heuristic and randomized optimization for the join ordering problem,vldb j,1997.0
s berchtold d keim h kriegel,using extended feature objects for partial similarity retrieval,vldb j,1997.0
t mck m polaschek,a configrable type hierarchy index for oodb,vldb j,1997.0
k bhm k aberer e neuhold x yang,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,vldb j,1997.0
v singhal a smith,analysis of locking behavior in three real database systems,vldb j,1997.0
g antoshenkov,dictionarybased orderpreserving string compression,vldb j,1997.0
y ioannidis r ng k shim t sellis,parametric query optimization,vldb j,1997.0
m chen h hsiao p yu,on applying hash filters to improving the execution of multijoin queries,vldb j,1997.0
s mehrotra h korth a silberschatz,concurrency control in hierarchical multidatabase systems,vldb j,1997.0
t catarci g santucci j cardiff,graphical interaction with heterogeneous databases,vldb j,1997.0
m papazoglou b krmer,a database model for object dynamics,vldb j,1997.0
m papazoglou b krmer,erratum a database model for object dynamics,vldb j,1997.0
s abiteboul s cluet t milo,a logical view of structured files,vldb j,1998.0
b ooi k tan t chua w hsu,fast image retrieval using colorspatial information,vldb j,1998.0
s chakrabarti b dom r agrawal p raghavan,scalable feature selection classification and signature generation for organizing large text databases into hierarchical topic taxonomies,vldb j,1998.0
w ng p chen,integrating reliable memory in databases,vldb j,1998.0
p roy s seshadri a silberschatz s sudarshan s ashwin,garbage collection in objectoriented databases using transactional cyclic reference counting,vldb j,1998.0
a kraiss g weikum,integrated document caching and prefetching in storage hierarchies based on markovchain predictions,vldb j,1998.0
a soffer h samet,integrating symbolic images into a multimedia database system using classification and abstraction approaches,vldb j,1998.0
p seshadri,enhanced abstract data types in objectrelational databases,vldb j,1998.0
o daz a jaime,exact an extensible approach to active objectoriented databases,vldb j,1997.0
g fahl t risch,query processing over object views of relational data,vldb j,1997.0
j han,optimizing relational queries in connection hypergraphs nested queries views and binding propagations,vldb j,1998.0
a mehta j geller y perl e neuhold,the oodb pathmethod generator pmg using access weights and precomputed access relevance,vldb j,1998.0
e hanson i chen r dastur k engel v ramaswamy w tan c xu,a flexible and recoverable clientserver database event notification system,vldb j,1998.0
p scheuermann g weikum p zabback,data partitioning and load balancing in parallel disk systems,vldb j,1998.0
n ishakbeyoglu z zsoyoglu,maintenance of implication integrity constraints under updates to constraints,vldb j,1998.0
s deloch t hrder n mattos b mitschang j thomas,advanced data processing in krisys modeling concepts implementation techniques and clientserver issues,vldb j,1998.0
a ailamaki d dewitt m hill,data page layouts for relational databases on deep memory hierarchies,vldb j,2002.0
e hunt m atkinson r irving,database indexing for large dna and protein sequence collections,vldb j,2002.0
v aguilera s cluet t milo p veltri d vodislav,views in a largescale xml repository,vldb j,2002.0
,editorial,,2002.0
l feng j yu h lu j han,a template model for multidimensional intertransactional association rules,vldb j,2002.0
a nanopoulos y manolopoulos,efficient similarity search for market basket data,vldb j,2002.0
g hjaltason h samet,speeding up construction of pmr quadtreebased spatial indexes,vldb j,2002.0
y sakurai m yoshikawa s uemura h kojima,spatial indexing of highdimensional data based on relative approximation,vldb j,2002.0
e ferrari n adam v atluri e bertino u capuozzo,an authorization system for digital libraries,vldb j,2002.0
d rafiei a mendelzon,efficient retrieval of similar shapes,vldb j,2002.0
g navarro,searching in metric spaces by spatial approximation,vldb j,2002.0
