author_1,author_2,author_3,author_4,title,venue,year
werner kieling,,,,foundations of preferences in database systems,vldb,2002.0
fernando berzal galiano,nicols marn,,,data mining concepts and techniques book review,sigmod record,2002.0
abraham silberschatz,sumit ganguly,yossi matias,phillip b gibbons,bifocal sampling for skewresistant join size estimation,sigmod conference,1996.0
bertram ludscher,pratik mukhopadhyay,yannis papakonstantinou,,a transducerbased xml query processor,vldb,2002.0
anuradha bhamidipaty,sunita sarawagi,chandra mouli,alok kirpal,alias an active learning led interactive deduplication system,vldb,2002.0
dimitris papadias,timos k sellis,yannis theodoridis,max j egenhofer,topological relations in the world of minimum bounding rectangles a study with rtrees,sigmod conference,1995.0
bernhard zeller,alfons kemper,,,experience report exploiting advanced database optimization features for largescale sap r3 installations,vldb,2002.0
johann christoph freytag,ulrike jaeger,,,an annotated bibliography on active databases,sigmod record,1995.0
pradeep shenoy,philip bohannon,p p s narayan,henry f korth,optimizing view queries in rolex to support navigable result trees,vldb,2002.0
fei sha,tatiana chansineying,georges gardarin,tuyettram dangngoc,miro web integrating multiple data sources through semistructured data types,vldb,1999.0
georges gardarin,fernando machuca,philippe pucheral,,ofl a functional execution model for object query languages,sigmod conference,1995.0
tiziana catarci,isabel f cruz,,,information visualizatio guest editors foreword,sigmod record,1996.0
philip a bernstein,patrick e oneil,hal berenson,elizabeth j oneil,a critique of ansi sql isolation levels,sigmod conference,1995.0
oliver po,divyakant agrawal,radu sion,wensyan li,issues and evaluations of caching solutions for web application acceleration,vldb,2002.0
alexandros labrinidis,nick roussopoulos,,,generating dynamic content at databasebacked web servers cgibin vs mod perl,sigmod record,2000.0
jochen doppelhammer,donald kossmann,thomas hppler,alfons kemper,database performance in the real world tpcd and sap r3 experience paper,sigmod conference,1997.0
azer bestavros,,,,advances in realtime database systems research,sigmod record,1996.0
david j dewitt,navin kabra,,,opt an objectoriented implementation for extensible database query optimization,vldb j,1999.0
sudarshan s chawathe,,,,comparing hierarchical data in external memory,vldb,1999.0
jim melton,andrew eisenberg,,,standards in practice,sigmod record,1998.0
s sudarshan,h v jagadish,rajeev rastogi,abraham silberschatz,dal a high performance main memory storage manager,vldb,1994.0
narain h gehani,william d roome,h v jagadish,,odefs a file system interface to an objectoriented database,vldb,1994.0
leonid libkin,,,,some remarks on variable independenc closur and orthographic dimension in constraint databases,sigmod record,1999.0
sin yeung lee,tok wang ling,,,further improvements on integrity constraint checking for stratifiable deductive databases,vldb,1996.0
eric simon,esther pacitti,pascale minet,,fast algorithms for maintaining replica consistency in lazy master replicated databases,vldb,1999.0
dieter gawlick,,,,scalablity and availability in oracle7 73,vldb,1996.0
raymond t ng,edwin m knorr,,,algorithms for mining distancebased outliers in large datasets,vldb,1998.0
chun zhang,guy m lohman,jun rao,nimrod megiddo,automating physical database design in a parallel database,sigmod conference,2002.0
christos faloutsos,byoungkee yi,,,fast time sequence indexing for arbitrary lp norms,vldb,2000.0
themis panayiotopoulos,efstathios v ioannidis,constantine d spyropoulos,stavros kokkotos,on the issue of valid times in temporal databases,sigmod record,1995.0
jennifer widom,elena baralis,,,an algebraic approach to rule analysis in expert database systems,vldb,1994.0
dan suciu,rada chirkova,alon y halevy,,a formal perspective on the view selection problem,vldb,2001.0
erik duval,eddy forte,kris cardinaels,koen hendrikx,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,sigmod record,1999.0
c mohan,joseph m hellerstein,marcel kornacker,,concurrency and recovery in generalized search trees,sigmod conference,1997.0
s sudarshan,arvind hulgeri,,,parametric query optimization for linear and piecewise linear cost functions,vldb,2002.0
luis gravano,h v jagadish,panagiotis g ipeirotis,s muthukrishnan,approximate string joins in a database almost for free,vldb,2001.0
arie segev,,,,editors farewell notes,sigmod record,1995.0
viswanath poosala,yannis e ioannidis,,,histogrambased approximation of setvalued queryanswers,vldb,1999.0
paolo merialdo,giansalvatore mecca,paolo atzeni,,to weave the web,vldb,1997.0
ashok joshi,n macnaughton,juan loaiza,m keihl,the oracle universal server buffer,vldb,1997.0
ioana stanoi,amr el abbadi,divyakant agrawal,mirek riedewald,discovery of influence sets in frequently updated databases,vldb,2001.0
ling liu,,,,editors notes,sigmod record,2001.0
naci ishakbeyoglu,z meral zsoyoglu,,,maintenance of implication integrity constraints under updates to constraints,vldb j,1998.0
mark r tuttle,david b lomet,,,redo recovery after system crashes,vldb,1995.0
hamid pirahesh,c mohan,jeffrey f naughton,sailesh krishnamurthy,middletier database caching for ebusiness,sigmod conference,2002.0
j d tygar,,,,atomicity versus anonymity distributed transactions for electronic commerce,vldb,1998.0
ouri wolfson,yixiu huang,sushil jajodia,,an adaptive data replication algorithm,acm trans database syst,1997.0
iakovos motakis,carlo zaniolo,,,temporal aggregation in active database rules,sigmod conference,1997.0
jeffrey f naughton,avi pfeffer,joseph m hellerstein,,generalized search trees for database systems,vldb,1995.0
jennifer widom,,,,editors notes,sigmod record,1995.0
ashok joshi,ron weiss,amit ganesh,tirthankar lahiri,faststart quick fault recovery in oracle,sigmod conference,2001.0
matthias jarke,stephan jacobs,michael gebhardt,,a toolkit for negotiation support interfaces to multidimensional data,sigmod conference,1997.0
xiaolei qian,,,,announcements from ns nas and elsewhere,sigmod record,1994.0
phillip b gibbons,gary valentin,todd c mowry,shimin chen,fractal prefetching btrees optimizing both cache and disk performance,sigmod conference,2002.0
rene j miller,mauricio a hernndez,laura m haas,,schema mapping as query discovery,vldb,2000.0
hamid pirahesh,,,,objectoriented features of db2 clientserver,sigmod conference,1994.0
rainer a sommer,david bailey,thomas r gulledge,,the ntier hub technology,sigmod record,2002.0
william w cohen,,,,integration of heterogeneous databases without common domains using queries based on textual similarity,sigmod conference,1998.0
phillip b gibbons,yossi matias,,,new samplingbased summary statistics for improving approximate query answers,sigmod conference,1998.0
donald kossmann,michael j franklin,bjrn r jnsson,,performance tradeoffs for clientserver query processing,sigmod conference,1996.0
stratos idreos,manolis koubarakis,christos tryfonopoulos,yannis drougas,selective information dissemination in p2p networks problems and solutions,sigmod record,2003.0
surajit chaudhuri,ashraf aboulnaga,,,selftuning histograms building histograms without looking at data,sigmod conference,1999.0
roy goldman,serge abiteboul,jennifer widom,dallan quass,lore a database management system for semistructured data,sigmod record,1997.0
david w adler,,,,db2 spatial extender spatial data within the rdbms,vldb,2001.0
s muthukrishnan,nick koudas,piotr indyk,,identifying representative trends in massive time series data sets using sketches,vldb,2000.0
dennis shasha,yunyue zhu,,,warping indexes with envelope transforms for query by humming,sigmod conference,2003.0
l pedro,v kotov,i papadopoulos,l mapelli,obk an online high energy physics metadata repository,vldb,2002.0
shinichi morishita,yasuhiko morimoto,takeshi tokuyama,takeshi fukuda,data mining using twodimensional optimized accociation rules schem algorithm and visualization,sigmod conference,1996.0
n l belkhodja,mourad ouzzani,m a atroun,,a topdown approach for two level serializability,vldb,1994.0
sacha berger,christoph wieser,sebastian schaffert,franois bry,xcerpt and visxcerpt from patternbased to visual querying of xml and semistructured data,vldb,2003.0
leonidas fegaras,,,,query unnesting in objectoriented databases,sigmod conference,1998.0
jochen van den bercken,bernhard seeger,,,an evaluation of generic bulk loading techniques,vldb,2001.0
nam huyn,,,,scientific olap for the biotech domain,vldb,2001.0
ramakrishnan srikant,rakesh agrawal,,,privacypreserving data mining,sigmod conference,2000.0
reynold cheng,dmitri v kalashnikov,sunil prabhakar,,evaluating probabilistic queries over imprecise data,sigmod conference,2003.0
sunil prabhakar,reynold cheng,,,managing uncertainty in sensor database,sigmod record,2003.0
richard r muntz,leana golubchik,steven berson,,fault tolerant design of multimedia servers,sigmod conference,1995.0
c j date,,,,edgar f codd a tribute and personal memoir,sigmod record,2003.0
meikel pss,chris floyd,,,new tpc benchmarks for decision support and web commerce,sigmod record,2000.0
ramaraju kalidindi,vijay kumar,rajgopal kannan,s sitharama iyengar,energy and rate based mac protocol for wireless sensor networks,sigmod record,2003.0
clement t yu,weiyi meng,george philip,,distributed topn query processing with possibly uncooperative local systems,vldb,2003.0
jignesh m patel,laurie hammel,,,searching on the secondary structure of protein sequences,vldb,2002.0
karl aberer,,,,guest editors introduction,sigmod record,2003.0
arvind nithrakashyap,rajendran m sivasankaran,jayavel shanmugasundaram,krithi ramamritham,efficient concurrency control for broadcast environments,sigmod conference,1999.0
ramakrishnan srikant,rakesh agrawal,,,mining generalized association rules,vldb,1995.0
margaret h dunham,abdelsalam helal,,,mobile computing and databases anything new,sigmod record,1995.0
leslie d fife,le gruenwald,,,research issues for data communication in mobile adhoc network database systems,sigmod record,2003.0
rene j miller,yuping yang,,,association rules over interval data,sigmod conference,1997.0
reinhard pichler,christoph koch,georg gottlob,,xpath processing in a nutshell,sigmod record,2003.0
jun zhang,dimitris papadias,manli zhu,yufei tao,locationbased spatial queries,sigmod conference,2003.0
valrie issarny,patrick valduriez,khaled yagoub,daniela florescu,building and customizing dataintensive web sites using weave,vldb,2000.0
luis gravano,nicolas bruno,surajit chaudhuri,,stholes a multidimensional workloadaware histogram,sigmod conference,2001.0
jeroen hoppenbrouwers,mike p papazoglou,,,contextualizing the information space in federated digital libraries,sigmod record,1999.0
rada chirkova,dan suciu,alon y halevy,,a formal perspective on the view selection problem,vldb j,2002.0
jim gray,betty salzberg,stefano ceri,andreas reuter,databases and workflow management what is it all about panel,vldb,1995.0
leonard j seligman,,,,industry perspectives,sigmod record,1997.0
laks v s lakshmanan,jian pei,jiawei han,,quotient cube how to summarize the semantics of a data cube,vldb,2002.0
charu c aggarwal,philip s yu,,,finding generalized projected clusters in high dimensional spaces,sigmod conference,2000.0
marianne winslett,,,,hector garciamolina speaks out,sigmod record,2002.0
james j lu,guido moerkotte,joachim sch,v s subrahmanian,efficient maintenance of materialized mediated views,sigmod conference,1995.0
rainer gallersdrfer,matthias nicola,,,improving performance in replicated databases through relaxed coherency,vldb,1995.0
nelson mendona mattos,,,,supporting procedural constructs in sql compilers,vldb,1996.0
dave liles,,,,the zero latency enterprise,vldb,2000.0
jeanne vanbriesen,paul s fischbeck,christos faloutsos,anastassia ailamaki,an environmental sensor network to determine drinking water quality and security,sigmod record,2003.0
surajit chaudhuri,nicolas bruno,luis gravano,,topk selection queries over relational databases mapping strategies and performance evaluation,acm trans database syst,2002.0
z meral zsoyoglu,tolga bozkaya,,,indexing large metric spaces for similarity search queries,acm trans database syst,1999.0
carlotta domeniconi,vassilis j tsotras,george kollios,dimitrios gunopulos,approximating multidimensional aggregate range queries over real attributes,sigmod conference,2000.0
anand deshpande,,,,linking business to deliver value a data management challenge,vldb,2000.0
hanspeter kriegel,daniel a keim,,,visdb a system for visualizing large databases,sigmod conference,1995.0
surojit chatterjee,gholamhosein sheikholeslami,aidong zhang,,wavecluster a multiresolution clustering approach for very large spatial databases,vldb,1998.0
john r smith,,,,mpeg7 standard for multimedia databases,sigmod conference,2001.0
nick koudas,h v jagadish,divesh srivastava,,on effective multidimensional indexing for strings,sigmod conference,2000.0
anand rajaraman,,,,ecommerce database issues and experience,sigmod conference,1999.0
anandi herlekar,atul deopujari,shaymsunder gopale,shridhar shukla,entrans a system for flexible consistency maintenance in directory applications,vldb,2002.0
samuel madden,wei hong,joseph m hellerstein,michael j franklin,the design of an acquisitional query processor for sensor networks,sigmod conference,2003.0
gautam das,surajit chaudhuri,brian babcock,,dynamic sample selection for approximate query processing,sigmod conference,2003.0
mitch cherniack,stanley b zdonik,,,changing the rules transformations for rulebased optimizers,sigmod conference,1998.0
joseph m hellerstein,vijayshankar raman,,,potters wheel an interactive data cleaning system,vldb,2001.0
jens teubner,torsten grust,maurice van keulen,,staircase join teach a relational dbms to watch its axis steps,vldb,2003.0
sergey brin,,,,near neighbor search in large metric spaces,vldb,1995.0
chris jermaine,,,,robust estimation with sampling and approximate preaggregation,vldb,2003.0
xiaolei qian,,,,jumping on the nii bandwagon,sigmod record,1994.0
henrique paques,ling liu,david buttler,calton pu,ominisearch a method for searching dynamic content on the web,sigmod conference,2001.0
timesten team,,,,midtier caching the timesten approach,sigmod conference,2002.0
bettina kemme,gustavo alonso,,,dont be laz be consistent postgres a new way to implement database replication,vldb,2000.0
flix saltor,uwe hohenstein,ralfdetlef kutsche,wilhelm hasselbring,engineering federated information systems report of efis 99 workshop,sigmod record,1999.0
michele melchiori,silvana castano,g malvezzi,domenico beneventano,information integration the momis project demonstration,vldb,2000.0
guido moerkotte,alfons kemper,carsten andreas gerlhof,,on the cost of monitoring and reorganization of object bases for clustering,sigmod record,1996.0
leonard loureiro,yi deng,carlos ordonez 0002,mario sanchez,florida international university high performance database research center,sigmod record,1995.0
dimitri tombroff,eric simon,franois llirbat,,using versions in update transactions application to integrity checking,vldb,1997.0
jeffrey f naughton,yihong zhao,prasad deshpande,,an arraybased algorithm for simultaneous multidimensional aggregates,sigmod conference,1997.0
khoa doan,catherine plaisant,ben shneiderman,tom bruns,query previews for networked information systems a case study with nasa environmental data,sigmod record,1997.0
shiby thomas,rakesh agrawal,sunita sarawagi,,integrating mining with relational database systems alternatives and implications,sigmod conference,1998.0
john m tyler,kosmas karadimitriou,,,minmax compression methods for medical image databases,sigmod record,1997.0
jeff sidell,,,,the mariposa distributed database management system,sigmod record,1996.0
bennet vance,richard swagerman,michael j carey,srinivasa narayanan,o what have they done to db2,vldb,1999.0
shamkant b navathe,kiran j achyutuni,edward omiecinski,,two techniques for online index modification in shared nothing parallel databases,sigmod conference,1996.0
ramez elmasri,leonidas fegaras,,,query engines for webaccessible xml data,vldb,2001.0
elizabeth hamel,serge bourbonnais,bruce g lindsay,tuong c truong,capturing global transactions from multiple recovery log files in a partitioned database system,vldb,2003.0
joachim hammer,youzhong liu,chunbo huang,yihua huang,an internetbased negotiation server for ecommerce,vldb j,2001.0
mengchi liu,tok wang ling,gillian dobbie,,a logical foundation for deductive objectoriented databases,acm trans database syst,2002.0
hasan davulcu,michael kifer,i v ramakrishnan,juliana freire,a layered architecture for querying dynamic web content,sigmod conference,1999.0
ken smith,leo obrst,,,unpacking the semantics of source and usage to perform semantic reconciliation in largescale information systems,sigmod record,1999.0
myra spiliopoulou,bettina berendt,,,analysis of navigation behaviour in web sites integrating multiple information systems,vldb j,2000.0
z meral zsoyoglu,,,,vice chairs message,sigmod record,1999.0
yiukai ng,david w embley,wai yin mok,,a normal form for precisely characterizing redundancy in nested relations,acm trans database syst,1996.0
kyuseok shim,kaushik chakrabarti,minos n garofalakis,rajeev rastogi,approximate query processing using wavelets,vldb,2000.0
motomichi toyama,yoko maeda,,,actiview adaptive data presentation using supersql,vldb,2001.0
alfons kemper,guido moerkotte,klaus peithner,michael steinbrunn,bypassing joins in disjunctive queries,vldb,1995.0
michael j rothman,john p nearhos,marisa s viveros,,applying data mining techniques to a health insurance information system,vldb,1996.0
serge abiteboul,,,,on views and xml,sigmod record,1999.0
ada waichee fu,man hon wong,chan man kuok,,mining fuzzy association rules in databases,sigmod record,1998.0
peter zabback,christof hasse,gerhard weikum,axel mnkeberg,selftuning database technology and information services from wishful thinking to viable engineering,vldb,2002.0
joakim eriksson,jonas mellin,sten andler,mikael berndtsson,deeds towards a distributed and active realtime database system,sigmod record,1996.0
zohreh nazeri,paul ostwald,eric bloedorn,,experiences in mining aviation safety data,sigmod conference,2001.0
jennifer widom,chris olston,jing jiang,,adaptive filters for continuous queries over distributed data streams,sigmod conference,2003.0
sushil jajodia,xiaoyang sean wang,elisa bertino,claudio bettini,semantic assumptions and query evaluation in temporal databases,sigmod conference,1995.0
chengyu sun,divyakant agrawal,amr el abbadi,,hardware acceleration for spatial selections and joins,sigmod conference,2003.0
gerhard weikum,peter zabback,peter scheuermann,,data partitioning and load balancing in parallel disk systems,vldb j,1998.0
gennady antoshenkov,,,,dictionarybased orderpreserving string compression,vldb j,1997.0
c j date,,,,a response to r camps article domain relations and religious wars,sigmod record,1996.0
m tamer zsu,,,,chairs message,sigmod record,2001.0
yannis kotidis,nick roussopoulos,,,an alternative storage organization for rolap aggregate views based on cubetrees,sigmod conference,1998.0
michael j franklin,,,,editors notes,sigmod record,1999.0
juliana freire,rajeev rastogi,michael benedikt,wenfei fan,capturing both types and constraints in data integration,sigmod conference,2003.0
reagan moore,bertram ludscher,richard marciano,,preservation of digital data with selfvalidatin selfinstantiating knowledgebased archives,sigmod record,2001.0
david s reiner,arnon rosenthal,,,tools and transformations rigorous and otherwise for practical database design,acm trans database syst,1994.0
byung suk lee,,,,normalization in oodb design,sigmod record,1995.0
gio wiederhold,abraham silberschatz,gerhard rossbach,raghu ramakrishnan,scientific journals extinction or explosion panel,vldb,1995.0
tova milo,sagit zohar,,,using schema matching to simplify heterogeneous data translation,vldb,1998.0
ronald c unrau,kaladhar voruganti,m tamer zsu,,an asynchronous avoidancebased cache consistency algorithm for client caching dbmss,vldb,1998.0
bishwaranjan bhattacharjee,sriram padmanabhan,matthew huras,leslie cranston,multidimensional clustering a new data layout scheme in db2,sigmod conference,2003.0
guido moerkotte,,,,incorporating xsl processing into database engines,vldb,2002.0
michael j franklin,sirish chandrasekaran,,,streaming queries over streaming data,vldb,2002.0
sridhar ramaswamy,,,,epiphany epicenter technology overview,vldb,2000.0
v s subrahmanian,elisa bertino,pierangela samarati,sushil jajodia,a unified framework for enforcing multiple access control policies,sigmod conference,1997.0
david j dewitt,ravishankar ramamurthy,qi su,,a case for fractured mirrors,vldb j,2003.0
praveen seshadri,,,,building notification services with microsoft sqlserver,sigmod conference,2003.0
s muthukrishnan,h v jagadish,nick koudas,,mining deviants in a time series database,vldb,1999.0
damianos chatziantoniou,kenneth a ross,,,querying multiple features of groups in relational databases,vldb,1996.0
thanos papadimitriou,andrey balmin,yannis papakonstantinou,,hypothetical queries in an olap environment,vldb,2000.0
george m mohay,m corney,a anderson,olivier y de vel,mining email content for author identification forensics,sigmod record,2001.0
chen li,ramana yerneni,jeffrey d ullman,hector garciamolina,computing capabilities of mediators,sigmod conference,1999.0
hector garciamolina,jennifer widom,brad adelberg,,the strip rule system for efficiently maintaining derived data,sigmod conference,1997.0
yufei tao,dimitris papadias,,,adaptive index structures,vldb,2002.0
masahiko tsukamoto,shojiro nishio,tsutomu terada,rie sawai,functional properties of information filtering,vldb,2001.0
hector garciamolina,anthony tomasic,kurt a shoens,,incremental updates of inverted lists for text document retrieval,sigmod conference,1994.0
lory d molesky,krithi ramamritham,,,recovery protocols for shared memory database systems,sigmod conference,1995.0
karl aberer,klemens bhm,,,hyperstorm administering structured documents using objectoriented database technology,sigmod conference,1996.0
yannis e ioannidis,minos n garofalakis,,,multidimensional resource scheduling for parallel queries,sigmod conference,1996.0
umeshwar dayal,,,,industrial panel on data warehousing technologies experience challenge and directions,vldb,1999.0
dennis shasha,theodore johnson,,,2q a low overhead high performance buffer management replacement algorithm,vldb,1994.0
daniel a keim,markus wawryniuk,alexander hinneburg,,hdeye visual clustering of high dimensional data,sigmod conference,2002.0
sunita sarawagi,gayatri sathe,,,intelligent rollups in multidimensional olap data,vldb,2001.0
rosa meo,,,,theory of dependence values,acm trans database syst,2000.0
v s subrahmanian,sibel adali,maria luisa sapino,piero a bonatti,a multisimilarity algebra,sigmod conference,1998.0
matthias jarke,jrg kller,thomas list,,the challenge of process data warehousing,vldb,2000.0
opher etzion,,,,report on ngits99 the 4th international workshop on next generation information technologies and systems,sigmod record,1999.0
xiaolei qian,,,,scientists called upon to take actions,sigmod record,1996.0
alberto o mendelzon,alejandro a vaisman,,,temporal queries in olap,vldb,2000.0
jef wijsen,,,,temporal fds on complex objects,acm trans database syst,1999.0
jeff richey,,,,condition handling in sql persistent stored modules,sigmod record,1995.0
krithi ramamritham,hoshi mistry,prasan roy,s sudarshan,materialized view selection and maintenance using multiquery optimization,sigmod conference,2001.0
hector garciamolina,narayanan shivakumar,,,waveindices indexing evolving databases,sigmod conference,1997.0
sihem ameryahia,mary f fernandez,yu xu,divesh srivastava,phrase matching in xml,vldb,2003.0
apostolos papadopoulos,yannis manolopoulos,,,similarity query processing using disk arrays,sigmod conference,1998.0
marianne winslett,,,,interview with jim gray,sigmod record,2003.0
viswanath poosala,sridhar ramaswamy,swarup acharya,,selectivity estimation in spatial databases,sigmod conference,1999.0
philippe pucheral,luc bouganim,,,chipsecured data access confidential data on untrusted servers,vldb,2002.0
richard t snodgrass,,,,editorial,acm trans database syst,2001.0
sven helmer,guido moerkotte,till westmann,,diagjoin an opportunistic join algorithm for 1n relationships,vldb,1998.0
debra e vandermeer,krithi ramamritham,anindya datta,kaushik dutta,demonstration enabling scalable online personalization on the web,vldb,2000.0
manish arya,mary tork roth,laura m haas,joachim thomas ii,the garlic project,sigmod conference,1996.0
csar a galindolegaria,eirik dahle,tor didriksen,,database decentralization a practical approach,vldb,1995.0
manoj chavda,peter t wood,,,towards an odmgcompliant visual object query language,vldb,1997.0
eric n hanson,lloyd noronha,,,timerdriven database triggers and alerters semantics and a challenge,sigmod record,1999.0
nikolaos sidiropoulos,christos faloutsos,h v jagadish,,recovering information from summary data,vldb,1997.0
shinichi morishita,yasuhiko morimoto,hiromu ishii,,efficient construction of regression trees with range and region splitting,vldb,1997.0
marianne winslett,,,,interview with pat selinger,sigmod record,2003.0
hasan m jamil,,,,belief reasoning in mls deductive databases,sigmod conference,1999.0
byron dom,rakesh agrawal,prabhakar raghavan,soumen chakrabarti,using taxonom discriminant and signatures for navigating in text databases,vldb,1997.0
anthony tomasic,peter fankhauser,j muoz,m lopez,experiences in federated databases from irodb to miroweb,vldb,1998.0
divesh srivastava,nick koudas,,,data stream query processing a tutorial,vldb,2003.0
mike p papazoglou,bernd j krmer,,,erratum a database model for object dynamics,vldb j,1997.0
cass squire,,,,data extraction and transformation for the data warehouse,sigmod conference,1995.0
tobias mayr,thorsten von eicken,michael w godfrey,praveen seshadri,secure and portable database extensibility,sigmod conference,1998.0
yannis e ioannidis,viswanath poosala,,,balancing histogram optimality and practicality for query result size estimation,sigmod conference,1995.0
yuan wang,feng tian,david j dewitt,jianjun chen,niagaracq a scalable continuous query system for internet databases,sigmod conference,2000.0
w bruce croft,james p callan,eric w brown,,fast incremental indexing for fulltext information retrieval,vldb,1994.0
kenneth a ross,beng chin ooi,frank neven,,reminiscences on influential papers,sigmod record,2003.0
b sreenath,s seshadri,,,the hcctree an efficient index structure for object oriented databases,vldb,1994.0
lynn l peterson,jorge c g ramirez,lon a smith,,medical information systems characterization and challenges,sigmod record,1994.0
panos vassiliadis,spyros ligoudistianos,diego calvanese,christoph quix,concept based design of data warehouses the dwq demonstrators,sigmod conference,2000.0
alberto o mendelzon,paolo atzeni,,,webdb 98 international workshop on the web and databases,sigmod record,1998.0
object database management group,,,,response to the march 1994 odmg93 commentary written by dr won kim of unisq inc,sigmod record,1994.0
viswanath poosala,yannis e ioannidis,,,selectivity estimation without the attribute value independence assumption,vldb,1997.0
yannis e ioannidis,,,,the history of histograms abridged,vldb,2003.0
kathleen hornsby,heidi gregersen,lex wedemeijer,tomi mnnist,evolution and change in data management issues and directions,sigmod record,2000.0
c mohan,,,,an efficient method for performing record deletions and updates using index scans,vldb,2002.0
chihhe li,irene s y kwan,shiming huang,,a study on the management of semantic transaction for efficient data retrieval,sigmod record,2002.0
beng chin ooi,yanfeng shu,kianlee tan,,relational data sharing in peerbased data management systems,sigmod record,2003.0
dan vodislav,sophie cluet,pierangelo veltri,,views in a large scale xml repository,vldb,2001.0
mike p papazoglou,bernd j krmer,,,a database model for object dynamics,vldb j,1997.0
geetika agrawal,paul lucas,arvind sundararajan,fabio riccardi,the beaxqrl streaming xquery processor,vldb,2003.0
yannis papakonstantinou,vasilis vassalos,,,describing and using query capabilities of heterogeneous sources,vldb,1997.0
gerald held,hector garciamolina,michael lesk,jim gray,the asilomar report on database research,sigmod record,1998.0
kyuseok shim,rajeev rastogi,,,public a decision tree classifier that integrates building and pruning,vldb,1998.0
gustavo alonso,etzard stolte,,,efficient exploration of large scientific databases,vldb,2002.0
julie basu,arthur m keller,,,a predicatebased caching scheme for clientserver database architectures,vldb j,1996.0
mohandsaid hacid,elisa bertino,ahmed k elmagarmid,,a database approach to quality of service specification in video databases,sigmod record,2003.0
yvn j garca,scott t leutenegger,mario a lopez,,on optimal node splitting for rtrees,vldb,1998.0
philip a bernstein,umeshwar dayal,,,an overview of repository technology,vldb,1994.0
gautam bhargava,balakrishna r iyer,piyush goel,,hypergraph based reorderings of outer join queries with complex predicates,sigmod conference,1995.0
v s subrahmanian,,,,amalgamating knowledge bases,acm trans database syst,1994.0
hector garciamolina,narayanan shivakumar,chandra chekuri,,filtering with approximate predicates,vldb,1998.0
j madar,raymond t ng,h v jagadish,,semantic compression and pattern extraction with fascicles,vldb,1999.0
patrick valduriez,philippe pucheral,christophe bobineau,luc bouganim,picodbms scaling down database techniques for the smartcard,vldb j,2001.0
r g g cattell,bruce e martin,,,relating distributed objects,vldb,1994.0
m tamer zsu,kaladhar voruganti,ronald c unrau,,an adaptive hybrid server architecture for client caching odbmss,vldb,1999.0
john a stankovic,krithi ramamritham,ming xiong,rajendran m sivasankaran,integrating tempora realtim and active databases,sigmod record,1996.0
tolga yurek,divyakant agrawal,amr el abbadi,ambuj k singh,efficient view maintenance at data warehouses,sigmod conference,1997.0
laks v s lakshmanan,raymond t ng,carson kaisang leung,,efficient dynamic mining of constrained frequent sets,acm trans database syst,2003.0
timothy w finin,anupam joshi,,,agent turs and information access on the semantic web,sigmod record,2002.0
joachim hammer,hector garciamolina,svetlozar nestorov,ramana yerneni,templatebased wrappers in the tsimmis system,sigmod conference,1997.0
norbert widmann,paula furtado,peter baumann,roland ritsch,geoenvironmental and medical data management in the rasdaman system,vldb,1997.0
richard t snodgrass,,,,journal relevance,sigmod record,2003.0
divesh srivastava,nick koudas,nicolas bruno,,holistic twig joins optimal xml pattern matching,sigmod conference,2002.0
richard sidle,wolfgang lehner,hamid pirahesh,roberta cochrane,maintenance of automatic summary tables,sigmod conference,2000.0
alon y levy,divesh srivastava,abraham silberschatz,maria zemankova,challenges for global information systems,vldb,1994.0
peter buneman,louiqa raschid,jeffrey d ullman,,mediator languages a proposal for a standard,sigmod record,1997.0
bruno tessier,amlie marian,brendan hills,sophie cluet,xml repository and active views demonstration,vldb,1999.0
zhan cui,paul obrien,dean m jones,,semantic b2b integration issues in ontologybased applications,sigmod record,2002.0
k bernhard schiefer,arun n swami,,,estimating page fetches for index scans with finite lru buffers,vldb j,1995.0
konrad schwarz,eva khn,thomas tschernko,,a language based multidatabase system,sigmod conference,1994.0
stanley y w su,nabil kamel,ping wu,,a patternbased object calculus,vldb j,1994.0
,,,,title,vldb j,1995.0
murali venkatrao,michael pizzo,,,sqlcli a new binding style for sql,sigmod record,1995.0
paul h lewis,joseph kuan,,,a study on data point search for hgtrees,sigmod record,1999.0
yannis papakonstantinou,hector garciamolina,serge abiteboul,,object fusion in mediator systems,vldb,1996.0
konrad stocker,alfons kemper,stefan seltzsam,markus keidl,serviceglobe distributing eservices across the internet,vldb,2002.0
donald r slutz,,,,massive stochastic testing of sql,vldb,1998.0
roberto j bayardo jr,,,,efficiently mining long patterns from databases,sigmod conference,1998.0
gerhard weikum,peter muth,patrick e oneil,achim pick,desig implementatio and performance of the lham logstructured history data access method,vldb,1998.0
shruti kasetty,colin meek,jignesh m patel,,oasis an online and accurate technique for localalignment searches on biological sequences,vldb,2003.0
leo mark,lars bkgaard,,,incremental computation of nested relational query expressions,acm trans database syst,1995.0
mario a lopez,simonas saltenis,christian s jensen,scott t leutenegger,indexing the positions of continuously moving objects,sigmod conference,2000.0
jiawei han,teresa mah,laks v s lakshmanan,raymond t ng,exploratory mining via constrained frequent set queries,sigmod conference,1999.0
sanju k bansal,,,,real world requirements for decision support implications for rdbms,sigmod conference,1995.0
kevin chenchuan chang,hector garciamolina,,,mind your vocabulary query mapping across heterogeneous information sources,sigmod conference,1999.0
viswanath poosala,phillip b gibbons,yossi matias,,fast incremental maintenance of approximate histograms,acm trans database syst,2002.0
