actor_1,actor_2,actor_3,color,content_rating,director,original_language,production_countries,title,vote_average,year
jonathan brandis,george wendt,shawn hatosy,color,r,michael corrente,english,usa,outside providence,6.0,1999.0
indira varma,martin henderson,anupam kher,color,pg13,gurinder chadha,english,uk,bride prejudice,6.0,2004.0
roy billing,david gulpilil,deborah mailman,color,pg,phillip noyce,aboriginal,australia,rabbitproof fence,8.0,2002.0
jeffrey jones,faizon love,lil wayne,color,pg13,don michael paul,english,usa,whos your caddy,2.0,2007.0
michael j pollard,alun armstrong,alastair duncan,color,r,tony maylam,english,uk,split second,6.0,1992.0
anne hathaway,nathaniel lees,miriama smith,color,pg,mitch davis,english,usa,the other side of heaven,6.0,2001.0
alice braga,randy couture,jose pablo cantillo,color,r,david mamet,english,usa,redbelt,7.0,2008.0
matt walsh,tim guinee,katie aselton,color,r,jay duplass,english,usa,cyrus,6.0,2010.0
bruce mcgill,cheryl ladd,jack warden,color,pg,kevin brodie,english,usa,a dog of flanders,6.0,1999.0
ed begley jr,michael mckean,kurt fuller,color,r,paul schrader,english,usa,auto focus,7.0,2002.0
hayden christensen,jimmy fallon,beth grant,color,r,george hickenlooper,english,usa,factory girl,6.0,2006.0
ezra miller,siobhan fallon hogan,ashley gerasimovich,color,r,lynne ramsay,english,uk,we need to talk about kevin,8.0,2011.0
samantha barks,hans matheson,lesley manville,color,pg,john stephenson,english,uk,the christmas candle,6.0,2013.0
ellen burstyn,marley shelton,jennifer butler,color,g,tim chambers,english,usa,the mighty macs,6.0,2009.0
tom cruise,shelley long,rick rossovich,color,r,curtis hanson,english,canada,losin it,5.0,1983.0
naomi watts,jimmy smits,carla gallo,color,r,rodrigo garca,english,usa,mother and child,7.0,2009.0
catherine deneuve,terence hill,jack ohalloran,color,pg,dick richards,english,uk,march or die,6.0,1977.0
christian clavier,isabelle nanty,valrie lemercier,color,r,jeanmarie poir,french,france,les visiteurs,7.0,1993.0
nathalie fay,chris pontius,erin wasson,color,r,sofia coppola,english,usa,somewhere,6.0,2010.0
geoff stults,susie abromeit,derek wayne johnson,color,r,bob gosse,english,usa,i hope they serve beer in hell,5.0,2009.0
taylor negron,raquel welch,larry miller,color,pg13,alex zamm,english,usa,chairman of the board,2.0,1998.0
joseph gordonlevitt,natalie portman,rainn wilson,color,r,spencer susser,english,usa,hesher,7.0,2010.0
richard e grant,mark wingett,richard graham,color,r,richard shepard,english,uk,dom hemingway,6.0,2013.0
olivia williams,luke newberry,eleanor bron,color,r,thaddeus osullivan,english,uk,the heart of me,7.0,2002.0
steve carell,josh charles,luke grimes,color,pg13,peter sollett,english,usa,freeheld,6.0,2015.0
lynn cohen,marian seldes,dan hedaya,color,r,shari springer berman,english,usa,the extra man,6.0,2010.0
leonid yarmolnik,yuriy tsurilo,valentin golubenko,black and white,not rated,aleksey german,russian,russia,hard to be a god,7.0,2013.0
chris hemsworth,mike starr,paul sanchez,color,r,stephen milburn anderson,english,usa,cah,6.0,2010.0
emily watson,julie walters,miranda richardson,color,r,richard e grant,english,uk,wahwah,7.0,2005.0
norman reedus,david della rocco,bob marley,black and white,r,troy duffy,english,canada,the boondock saints,8.0,1999.0
alden ehrenreich,bruce dern,joanne whalley,color,r,francis ford coppola,english,usa,twixt,5.0,2011.0
erin fitzgerald,wendee lee,ivan okhlobystin,color,pg,vladlen barbe,russian,russia,snow queen,5.0,2012.0
clint eastwood,chris penn,sydney penny,color,r,clint eastwood,english,usa,pale rider,7.0,1985.0
milla jovovich,adam goldberg,cole hauser,color,r,richard linklater,english,usa,dazed and confused,8.0,1993.0
lucas grabeel,corbin bleu,olesya rulin,color,tvg,kenny ortega,english,usa,high school musical 2,5.0,2007.0
rory culkin,john heard,tim dekay,color,r,arie posin,english,usa,the chumscrubber,7.0,2005.0
glenn plummer,jason cerbone,mark de alessandro,color,r,damian nieman,english,usa,shade,6.0,2003.0
jennifer lawrence,nolan gerard funk,gil bellows,color,pg13,mark tonderai,english,canada,house at the end of the street,6.0,2012.0
lubna azabal,mlissa dsormeauxpoulin,ahmad massad,color,r,denis villeneuve,french,canada,incendies,8.0,2010.0
laura morante,silvio muccino,giulia michelini,color,r,gabriele muccino,italian,italy,remember me my love,6.0,2003.0
jim broadbent,brendan coyle,michael mcelhatton,color,r,ian fitzgibbon,english,ireland,perriers bounty,6.0,2009.0
wagner moura,fernanda machado,andr ramiro,color,r,jos padilha,portuguese,brazil,elite squad,8.0,2007.0
alfre woodard,annabelle wallis,gabriel bateman,color,r,john r leonetti,english,usa,annabelle,5.0,2014.0
deborah mailman,magda szubanski,jessica mauboy,color,pg13,rachel perkins,english,australia,bran nue dae,6.0,2009.0
john cothran,lloyd avery ii,nablonka durden,color,r,john singleton,english,usa,boyz n the hood,8.0,1991.0
esai morales,rosanna desoto,danielle von zerneck,color,pg13,luis valdez,english,usa,la bamba,7.0,1987.0
rita moreno,len cariou,sandy dennis,color,pg,alan alda,english,usa,the four seasons,7.0,1981.0
angie dickinson,david margulies,nancy allen,color,x,brian de palma,english,usa,dressed to kill,7.0,1980.0
curtis armstrong,frances conroy,anne heche,color,pg,stephen sommers,english,usa,the adventures of huck finn,6.0,1993.0
sarah polley,jay mohr,scott wolf,color,r,doug liman,english,usa,go,7.0,1999.0
greg germann,marin hinkle,jake cherry,color,r,nicole holofcener,english,usa,friends with money,6.0,2006.0
david wayne,paula kelly,eric christmas,color,g,robert wise,english,usa,the andromeda strain,7.0,1971.0
leon,bob gunton,ned bellamy,color,pg13,louis morneau,english,usa,bats,4.0,1999.0
merab ninidze,juliane khler,matthias habich,color,r,caroline link,english,germany,nowhere in africa,8.0,2001.0
michael fassbender,nicole beharie,james badge dale,color,nc17,steve mcqueen,english,uk,shame,7.0,2011.0
tom hardy,sally hawkins,jamie foreman,color,r,matthew vaughn,english,uk,layer cake,7.0,2004.0
emily podleski,eric johnson,brenda strong,color,pg13,sterling van wagenen,english,usa,the work and the glory ii american zion,7.0,2005.0
alexander skarsgrd,julia ormond,jason ritter,color,pg13,zal batmanglij,english,uk,the east,7.0,2013.0
robin wright,matt frewer,sissy spacek,color,r,michael mayer,english,usa,a home at the end of the world,7.0,2004.0
steve buscemi,yaya dacosta,eamonn walker,color,r,oren moverman,english,usa,the messenger,7.0,2009.0
ray winstone,jed brophy,temuera morrison,color,r,ian sharp,english,new zealand,tracker,6.0,2010.0
sam riley,samantha morton,alexandra maria lara,black and white,r,anton corbijn,english,uk,control,8.0,2007.0
michael biehn,brian thompson,paul winfield,color,r,james cameron,english,uk,the terminator,8.0,1984.0
florian lukas,chulpan khamatova,burghart klauner,black and white,r,wolfgang becker,german,germany,good bye lenin,8.0,2003.0
stephen graham,mark bazeley,maurice roves,color,r,tom hooper,english,uk,the damned united,8.0,2009.0
linnea quigley,clu gulager,beverly randolph,color,r,dan obannon,english,usa,the return of the living dead,7.0,1985.0
ethan suplee,jason mewes,joey lauren adams,color,r,kevin smith,english,usa,mallrats,7.0,1995.0
olivia newtonjohn,stockard channing,sid caesar,color,pg13,randal kleiser,english,usa,grease,7.0,1978.0
johnny depp,tom berenger,kevin dillon,color,r,oliver stone,english,uk,platoon,8.0,1986.0
osama bin laden,stevie wonder,ricky martin,color,r,michael moore,english,usa,fahrenheit 911,8.0,2004.0
katharine ross,ted cassidy,kenneth mars,color,m,george roy hill,english,usa,butch cassidy and the sundance kid,8.0,1969.0
ed wynn,glynis johns,elsa lanchester,color,approved,robert stevenson,english,usa,mary poppins,8.0,1964.0
adam baldwin,elizabeth mcgovern,judd hirsch,color,r,robert redford,english,usa,ordinary people,8.0,1980.0
rita moreno,george chakiris,richard beymer,color,unrated,jerome robbins,english,usa,west side story,8.0,1961.0
bill murray,rodney dangerfield,brian doylemurray,color,r,harold ramis,english,usa,caddyshack,7.0,1980.0
julie benz,tatyana ali,jenifer lewis,color,r,gary hardwick,english,usa,the brothers,6.0,2001.0
omar epps,tamala jones,richard t jones,color,r,rick famuyiwa,english,usa,the wood,7.0,1999.0
kevin spacey,chazz palminteri,kevin pollak,color,r,bryan singer,english,usa,the usual suspects,9.0,1995.0
lisa wilcox,kelly jo minter,matthew borlenghi,black and white,x,stephen hopkins,english,usa,a nightmare on elm street 5 the dream child,5.0,1989.0
ryan reynolds,curtis armstrong,erik estrada,color,r,walt becker,english,germany,van wilder party liaison,6.0,2002.0
mark margolis,john dleo,ajay naidu,color,r,darren aronofsky,english,usa,the wrestler,8.0,2008.0
joseph cotten,lillian gish,jennifer jones,color,unrated,king vidor,english,usa,duel in the sun,7.0,1946.0
john michael higgins,catherine ohara,michael mckean,color,pg13,christopher guest,english,usa,best in show,8.0,2000.0
donald pleasence,adrienne barbeau,tom atkins,color,r,john carpenter,english,uk,escape from new york,7.0,1981.0
tisha campbellmartin,ossie davis,bill nunn,color,r,spike lee,english,usa,school daze,6.0,1988.0
lochlyn munro,brian doylemurray,tamala jones,color,pg,fred savage,english,usa,daddy day camp,3.0,2007.0
sammo kambo hung,richard norton,rachel blakely,color,pg13,sammo kambo hung,english,hong kong,mr nice guy,6.0,1997.0
michael mckean,christopher guest,laura harris,color,pg13,christopher guest,english,usa,a mighty wind,7.0,2003.0
julia roberts,lili taylor,conchata ferrell,color,r,donald petrie,english,usa,mystic pizza,6.0,1988.0
jeanne tripplehorn,kevin mcnally,john lynch,color,r,peter howitt,english,uk,sliding doors,7.0,1998.0
corbin bernsen,clarence williams iii,david alan grier,color,r,rusty cundieff,english,usa,tales from the hood,6.0,1995.0
david oyelowo,simon mcburney,abby mukiibi nkaaga,color,r,kevin macdonald,english,uk,the last king of scotland,8.0,2006.0
donald pleasence,tamara glynn,troy evans,color,x,dominique otheningirard,english,usa,halloween 5,5.0,1989.0
matthew mcconaughey,brandon smith,rick dial,color,pg13,richard linklater,english,usa,bernie,7.0,2011.0
john heard,bud cort,amy madigan,color,r,ed harris,english,usa,pollock,7.0,2000.0
janeane garofalo,dave chappelle,gaby hoffmann,color,r,risa bramon garcia,english,usa,200 cigarettes,6.0,1999.0
jk simmons,bradley cooper,olivia wilde,color,pg13,brian klugman,english,usa,the words,7.0,2012.0
will ferrell,adrian martinez,luis e carazo,color,r,matt piedmont,spanish,usa,casa de mi padre,6.0,2012.0
ezra miller,curtiss cook,dominik garcalorido,color,pg13,raymond de felitta,english,usa,city island,7.0,2009.0
don cheadle,fionnula flanagan,wale ojo,color,r,john michael mcdonagh,english,ireland,the guard,7.0,2011.0
drake bell,alona tal,haley bennett,color,r,deb hagan,english,usa,college,5.0,2008.0
kirsten dunst,kathleen turner,scott glenn,color,r,sofia coppola,english,usa,the virgin suicides,7.0,1999.0
jim broadbent,annette badland,brenda blethyn,color,r,mark herman,english,uk,little voice,7.0,1998.0
hugh m hefner,windell middlebrooks,raquel alessi,color,r,zach cregger,english,usa,miss march,5.0,2009.0
jim parsons,josh gad,michael weston,color,r,zach braff,english,usa,wish i was here,7.0,2014.0
sarah michelle gellar,dylan baker,lawrence gilliard jr,color,pg13,mark tarlov,english,germany,simply irresistible,5.0,1999.0
john cameron mitchell,miriam shor,andrea martin,color,r,john cameron mitchell,english,usa,hedwig and the angry inch,8.0,2001.0
antoni corone,ryan bollman,todd susman,color,pg13,sheldon lettich,english,usa,only the strong,7.0,1993.0
hayden christensen,rosario dawson,cas anvar,color,pg13,billy ray,english,usa,shattered glass,7.0,2003.0
chelcie ross,lynne thigpen,polly noonan,color,r,david atkins,english,usa,novocaine,6.0,2001.0
stockard channing,tony devon,frederick weller,color,r,patrick stettner,english,usa,the business of strangers,6.0,2001.0
william holden,warren oates,lq jones,color,r,sam peckinpah,english,usa,the wild bunch,8.0,1969.0
marykate olsen,aaron yoo,method man,color,r,jonathan levine,english,usa,the wackness,7.0,2008.0
lesleyanne down,michael elphick,pamela salem,black and white,pg,michael crichton,english,uk,the great train robbery,7.0,1979.0
samantha morton,bryan dick,paul popplewell,color,r,lynne ramsay,english,uk,morvern callar,7.0,2002.0
michael berryman,kari wuhrer,marc singer,color,pg13,sylvio tabet,english,usa,beastmaster 2 through the portal of time,4.0,1991.0
aidan quinn,kendrick cross,sammy nagi njuguna,color,pg,rick bieber,english,usa,the 5th quarter,6.0,2010.0
benot magimel,nathalie baye,mlanie doutey,color,r,claude chabrol,french,france,the flower of evil,7.0,2003.0
jennifer ehle,zo kravitz,cara seymour,color,r,shana feste,english,usa,the greatest,7.0,2009.0
tim blake nelson,diane ladd,ritchie montgomery,color,r,joey lauren adams,english,usa,come early morning,6.0,2006.0
james nesbitt,olivia williams,peter mcnamara,color,pg13,peter cattaneo,english,uk,lucky break,6.0,2001.0
meryl streep,jane fonda,vanessa redgrave,color,pg,fred zinnemann,english,usa,julia,7.0,1977.0
matthew mcconaughey,scott glenn,sarah wright,color,r,sr bindler,english,usa,surfer dude,5.0,2008.0
noam chomsky,pat buchanan,bill baird,black and white,unrated,tony kaye,english,usa,lake of fire,8.0,2006.0
henry thomas,barbara hershey,shawn hatosy,color,r,greg marcks,english,usa,1114,7.0,2003.0
catherine bell,kevin tighe,tim guinee,color,r,perry lang,english,usa,men of war,6.0,1994.0
pruitt taylor vince,m emmet walsh,robert wahlberg,color,r,jake goldberger,english,usa,don mckay,6.0,2009.0
charlie hunnam,olivia wilde,sissy spacek,color,r,stefan ruzowitzky,english,usa,deadfall,6.0,2012.0
connie nielsen,aidan quinn,john bell,color,pg,vic sarin,english,canada,a shine of rainbows,7.0,2009.0
drew waters,sean cook,cole hauser,color,r,william kaufman,english,usa,the hit list,5.0,2011.0
debbie harry,leslie carlson,reiner schwarz,color,r,david cronenberg,english,canada,videodrome,7.0,1983.0
romain duris,ccile de france,iddo goldberg,color,r,cdric klapisch,french,france,lauberge espagnole,7.0,2002.0
anne hathaway,shawn parsons,li jun li,color,pg13,kate barkerfroyland,english,usa,song one,6.0,2014.0
yorick van wageningen,tygo gernandt,martijn lakemeier,color,r,martin koolhoven,dutch,netherlands,winter in wartime,7.0,2008.0
jeanne moreau,paul scofield,michel simon,black and white,unrated,john frankenheimer,english,france,the train,8.0,1964.0
mira sorvino,john billingsley,trieu tran,color,pg13,christopher m bessette,english,usa,trade of innocents,5.0,2012.0
jon foo,nathan jones,johnny nguyen,color,r,prachya pinkaew,thai,thailand,the protector,7.0,2005.0
sean pertwee,frank finlay,samuel west,color,r,gary sinyor,english,uk,stiff upper lips,6.0,1998.0
archie panjabi,parminder nagra,anupam kher,color,pg13,gurinder chadha,english,uk,bend it like beckham,7.0,2002.0
miguel ferrer,edie falco,timothy hutton,color,pg13,john sayles,english,usa,sunshine state,7.0,2002.0
wesley jonathan,wayne brady,eva marcille,color,pg13,preston a whitmore ii,english,usa,crossover,2.0,2006.0
asin,mithun chakraborty,johnny lever,color,not rated,ashish r mohan,hindi,india,khiladi 786,4.0,2012.0
jonathan d mellor,pablo rosso,andrea ros,color,r,jaume balaguer,spanish,spain,rec 2,7.0,2009.0
kayla jackson,alexis biesiada,kayla raparelli,color,pg,stewart raffill,english,usa,standing ovation,3.0,2010.0
eileen brennan,robert shaw,ray walston,color,pg,george roy hill,english,usa,the sting,8.0,1973.0
alice krige,ben cross,john gielgud,color,pg,hugh hudson,english,uk,chariots of fire,7.0,1981.0
cicely tyson,kimberly elise,tamara taylor,color,pg13,darren grant,english,usa,diary of a mad black woman,6.0,2005.0
noah taylor,armin muellerstahl,nicholas bell,color,pg13,scott hicks,english,australia,shine,8.0,1996.0
joseph gordonlevitt,scarlett johansson,tony danza,color,r,joseph gordonlevitt,english,usa,don jon,7.0,2013.0
clint eastwood,richard bull,john hillerman,color,r,clint eastwood,english,usa,high plains drifter,8.0,1973.0
scarlett johansson,steve buscemi,tj thyne,color,r,terry zwigoff,english,usa,ghost world,7.0,2001.0
kate winslet,jim broadbent,kris marshall,color,r,richard eyre,english,uk,iris,7.0,2001.0
stephen macht,avery schreiber,angelo rossitto,color,r,william sachs,english,usa,galaxina,3.0,1980.0
jeanbaptiste maunier,franois berland,grard jugnot,color,pg13,christophe barratier,french,france,the chorus,8.0,2004.0
paul sorvino,luke kirby,claudia ferri,color,r,mile gaudreault,english,canada,mambo italiano,7.0,2003.0
alexis dziena,louis lombardi,franky g,color,r,james cox,english,usa,wonderland,7.0,2003.0
ruby dee,john savage,danny aiello,color,r,spike lee,english,usa,do the right thing,8.0,1989.0
sarah michelle gellar,eric stoltz,joey lauren adams,color,r,james toback,english,usa,harvard man,5.0,2001.0
jeanpierre laud,kati outinen,jeanpierre darroussin,color,not rated,aki kaurismki,french,finland,le havre,7.0,2011.0
philippe nahon,albert dupontel,jo prestia,color,not rated,gaspar no,french,france,irreversible,7.0,2002.0
lindsay kay hayward,hitoshi matsumoto,shinobu terajima,color,unrated,hitoshi matsumoto,japanese,japan,r100,6.0,2013.0
anupam kher,steven mackintosh,madhavan,color,not rated,rakeysh omprakash mehra,hindi,india,rang de basanti,8.0,2006.0
jim gaffigan,cree kelly,mike eshaq,color,r,george ratliff,english,usa,salvation boulevard,5.0,2011.0
jon hamm,ken marino,ron silver,color,r,david wain,english,usa,the ten,5.0,2007.0
bob hoskins,paddy considine,shane meadows,color,r,shane meadows,english,uk,a room for romeo brass,8.0,1999.0
aksel hennie,synnve macody lund,julie r lgaard,color,r,morten tyldum,norwegian,norway,headhunters,8.0,2011.0
russell tovey,richard coyle,bronagh gallagher,color,not rated,jon wright,english,uk,grabbers,6.0,2012.0
campbell scott,adam butcher,gordon pinsent,color,pg13,michael mcgowan,english,canada,saint ralph,8.0,2004.0
samantha morton,jessica chastain,colin farrell,color,pg13,liv ullmann,english,norway,miss julie,6.0,2014.0
teresa wright,bill erwin,george voskovec,color,pg,jeannot szwarc,english,usa,somewhere in time,7.0,1980.0
abhishek bachchan,bipasha basu,prateik,color,r,rohan sippy,hindi,india,dum maaro dum,6.0,2011.0
lin shaye,barbara hershey,leigh whannell,color,pg13,james wan,english,usa,insidious chapter 2,7.0,2013.0
emmanuelle vaugier,tony nappo,shawnee smith,color,r,darren lynn bousman,english,usa,saw ii,7.0,2005.0
bradley cooper,john gallagher jr,sumalee montano,color,pg13,dan trachtenberg,english,usa,10 cloverfield lane,7.0,2016.0
bam margera,steveo,chris pontius,color,r,jeff tremaine,english,usa,jackass the movie,7.0,2002.0
billy burke,amiah miller,gabriel bateman,color,pg13,david f sandberg,english,usa,lights out,7.0,2016.0
johanna braddy,sprague grayden,christopher nicholas smith,color,r,henry joost,english,usa,paranormal activity 3,6.0,2011.0
lin shaye,shelley hennig,daren kagasoff,color,pg13,stiles white,english,usa,ouija,4.0,2014.0
john saxon,heather langenkamp,jennifer rubin,color,x,chuck russell,english,usa,a nightmare on elm street 3 dream warriors,7.0,1987.0
eugenio derbez,jessica lindsey,hugo stiglitz,color,pg13,eugenio derbez,spanish,mexico,instructions not included,8.0,2013.0
matt shively,brendon eggertsen,alisha boe,color,r,henry joost,english,usa,paranormal activity 4,5.0,2012.0
richard burton,jean simmons,victor mature,color,unrated,henry koster,english,usa,the robe,7.0,1953.0
burt kwouk,herbert lom,catherine schell,color,g,blake edwards,english,uk,the return of the pink panther,7.0,1975.0
johnny depp,tom arnold,yaphet kotto,color,r,rachel talalay,english,usa,freddys dead the final nightmare,5.0,1991.0
charlize theron,bruce dern,pruitt taylor vince,color,r,patty jenkins,english,usa,monster,7.0,2003.0
james mason,robert j wilke,paul lukas,color,approved,richard fleischer,english,usa,20000 leagues under the sea,7.0,1954.0
richard cabral,gloria sandoval,molly ephraim,color,r,christopher landon,english,usa,paranormal activity the marked ones,5.0,2014.0
anthony hopkins,anne bancroft,dexter fletcher,black and white,pg,david lynch,english,usa,the elephant man,8.0,1980.0
matthew mcconaughey,jennifer garner,denis ohare,color,r,jeanmarc valle,english,usa,dallas buyers club,8.0,2013.0
olivia wilde,mark duplass,donald glover,color,pg13,david gelb,english,usa,the lazarus effect,5.0,2015.0
callum rennie,thomas lennon,jorja fox,black and white,r,christopher nolan,english,usa,memento,8.0,2000.0
james lafferty,rory cochrane,garrett ryan,color,r,mike flanagan,english,usa,oculus,6.0,2013.0
ethan suplee,jason mewes,brian ohalloran,black and white,r,kevin smith,english,usa,clerks ii,7.0,2006.0
julie walters,gary lewis,jamie draven,color,r,stephen daldry,english,uk,billy elliot,8.0,2000.0
steve carell,liam james,jim rash,color,pg13,nat faxon,english,usa,the way way back,7.0,2013.0
william schallert,tisha campbellmartin,helen martin,color,r,george jackson,english,usa,house party 2,5.0,1991.0
tony bonner,jack thompson,tom burlinson,color,pg,george miller,english,australia,the man from snowy river,7.0,1982.0
frank welker,constance shulman,alice playten,color,g,maurice joyce,english,usa,dougs 1st movie,5.0,1999.0
john beasley,todd allen,june carter cash,color,pg13,robert duvall,english,usa,the apostle,7.0,1997.0
faye dunaway,xander berkeley,diana scarwid,color,r,frank perry,english,usa,mommie dearest,7.0,1981.0
zooey deschanel,adam scott,steve coogan,color,r,jesse peretz,english,usa,our idiot brother,6.0,2011.0
william hurt,tony curran,david kross,color,pg13,stephen hopkins,english,canada,race,7.0,2016.0
bernie mac,monica calhoun,chrystale wilson,color,r,ice cube,english,usa,the players club,6.0,1998.0
ben feldman,edwin hodge,perdita weeks,color,r,john erick dowdle,english,usa,as above so below,6.0,2014.0
boris kodjoe,cameron mills,sharon leal,color,r,bille woodruff,spanish,usa,addicted,5.0,2014.0
jurnee smollettbell,lynn whitfield,diahann carroll,color,r,kasi lemmons,english,usa,eves bayou,7.0,1997.0
kristen stewart,hunter parrish,seth gilliam,color,pg13,richard glatzer,english,usa,still alice,8.0,2014.0
gene tierney,peter ustinov,jean simmons,color,approved,michael curtiz,english,usa,the egyptian,7.0,1954.0
sylvester stallone,lindsay wagner,persis khambatta,color,r,bruce malmuth,english,usa,nighthawks,6.0,1981.0
kane hodder,peter mark richman,scott reeves,color,r,rob hedden,english,usa,friday the 13th part viii jason takes manhattan,4.0,1989.0
nia vardalos,louis mandylor,lainie kazan,color,pg,joel zwick,english,usa,my big fat greek wedding,7.0,2002.0
james franco,heather morris,rachel korine,color,r,harmony korine,english,usa,spring breakers,5.0,2012.0
donald pleasence,kim darby,mitchell ryan,color,r,joe chappelle,english,usa,halloween the curse of michael myers,5.0,1995.0
maribel verd,daniel gimnez cacho,mara aura,color,r,alfonso cuarn,spanish,mexico,y tu mam tambin,8.0,2001.0
peter serafinowicz,dylan moran,rafe spall,color,r,edgar wright,english,uk,shaun of the dead,8.0,2004.0
jessica lowndes,randy wayne,haley bennett,color,pg13,mickey liddell,english,usa,the haunting of molly hartley,4.0,2008.0
matthew mcconaughey,clifton james,miriam colon,color,r,john sayles,english,usa,lone star,8.0,1996.0
donald pleasence,kathleen kinmont,ellie cornell,color,r,dwight h little,english,usa,halloween 4 the return of michael myers,6.0,1988.0
thomas f wilson,deborah foreman,clayton rohner,color,r,fred walton,english,usa,april fools day,6.0,1986.0
steve guttenberg,daniel stern,ellen barkin,color,r,barry levinson,english,usa,diner,7.0,1982.0
david carradine,william sanderson,robert beltran,color,pg,steve carver,english,usa,lone wolf mcquade,6.0,1983.0
warren christie,ryan robbins,andrew airlie,color,pg13,gonzalo lpezgallego,english,usa,apollo 18,5.0,2011.0
clifton collins jr,mary lynn rajskub,paul dooley,color,r,christine jeffs,english,usa,sunshine cleaning,7.0,2008.0
sterling jerins,claire geare,sahajak boonthanakit,color,r,john erick dowdle,english,usa,no escape,7.0,2015.0
vanna bonta,john amos,rip torn,color,pg,don coscarelli,english,usa,the beastmaster,6.0,1982.0
fred willard,mike epps,russell peters,color,r,michael tiddes,english,usa,fifty shades of black,4.0,2016.0
eddie cibrian,jenifer lewis,wood harris,color,pg13,bill duke,english,usa,not easily broken,6.0,2009.0
gary cooper,helen hayes,adolphe menjou,black and white,unrated,frank borzage,english,usa,a farewell to arms,7.0,1932.0
donald faison,brandy norwood,lauren london,color,r,bille woodruff,english,usa,the perfect match,4.0,2016.0
lara jill miller,colleen oshaughnessey,mona marshall,color,pg,mamoru hosoda,english,usa,digimon the movie,6.0,2000.0
macaulay culkin,patrick fugit,eva amurri martino,color,pg13,brian dannelly,english,usa,saved,7.0,2004.0
mariejose croze,stphane rousseau,marina hands,color,r,denys arcand,french,canada,the barbarian invasions,8.0,2003.0
robert shaw,denholm elliott,nicol williamson,color,pg,richard lester,english,usa,robin and marian,7.0,1976.0
brendan fehr,kerr smith,izabella miko,color,r,js cardone,english,usa,the forsaken,5.0,2001.0
harrison ford,carl weathers,franco nero,black and white,pg,guy hamilton,english,uk,force 10 from navarone,6.0,1978.0
fran drescher,gedde watanabe,michael richards,color,pg13,jay levey,english,usa,uhf,7.0,1989.0
linda cardellini,joel david moore,shirley jones,color,r,nicholaus goossen,english,usa,grandmas boy,7.0,2006.0
natasha lyonne,kevin corrigan,jessica walter,color,r,tamara jenkins,english,usa,slums of beverly hills,7.0,1998.0
claudia cardinale,woody strode,jack elam,color,pg13,sergio leone,english,italy,once upon a time in the west,9.0,1968.0
jon favreau,faizon love,jonathan silverman,color,r,jon favreau,english,usa,made,6.0,2001.0
kevin spacey,matt berry,benedict wong,color,r,duncan jones,english,uk,moon,8.0,2009.0
miranda cosgrove,jami gertz,carter jenkins,color,pg13,scott marshall,english,usa,keeping up with the steins,5.0,2006.0
bruce greenwood,sarah polley,simon baker,color,r,atom egoyan,english,canada,the sweet hereafter,8.0,1997.0
lambert wilson,michael lonsdale,olivier rabourdin,color,pg13,xavier beauvois,french,france,of gods and men,7.0,2010.0
alan rickman,freddy rodrguez,greg collins,color,pg13,randall miller,english,usa,bottle shock,7.0,2008.0
cassandra peterson,tim thomerson,bess armstrong,color,r,jerry belson,english,usa,jekyll and hyde together again,6.0,1982.0
kate winslet,jed brophy,liz mullane,color,r,peter jackson,english,new zealand,heavenly creatures,7.0,1994.0
hayden christensen,bobby batson,cynthia barrett,color,pg13,michael polish,english,usa,90 minutes in heaven,5.0,2015.0
will ferrell,scott takeda,stephen root,color,r,dan rush,english,usa,everything must go,6.0,2010.0
kim dickens,ryan oneal,angela featherstone,color,r,jake kasdan,english,usa,zero effect,7.0,1998.0
christian bale,jennifer jason leigh,reg e cathey,color,r,brad anderson,english,spain,the machinist,8.0,2004.0
dana delany,jane adams,david clennon,color,r,paul schrader,english,usa,light sleeper,7.0,1992.0
jeremy renner,paz vega,robert pralgo,color,r,michael cuesta,english,usa,kill the messenger,7.0,2014.0
dianne wiest,jon tenney,tammy blanchard,color,pg13,john cameron mitchell,english,usa,rabbit hole,7.0,2010.0
macaulay culkin,mia kirshner,marilyn manson,color,r,fenton bailey,english,usa,party monster,6.0,2003.0
alia shawkat,mark webber,joe cole,color,r,jeremy saulnier,english,usa,green room,7.0,2015.0
liza minnelli,tim russ,winter ave zoli,color,r,billy kent,english,usa,the oh in ohio,6.0,2006.0
joaquim de almeida,greg germann,kristoffer polaha,color,pg13,james manera,english,usa,atlas shrugged who is john galt,4.0,2014.0
andrew wilson,darryl cox,lumi cavazos,color,r,wes anderson,english,usa,bottle rocket,7.0,1996.0
viggo mortensen,joe mantegna,faye dunaway,color,r,kevin spacey,english,usa,albino alligator,6.0,1996.0
jeffrey frost,megan ambuhl graner,ken davis,color,r,errol morris,english,usa,standard operating procedure,8.0,2008.0
raymond burr,don gordon,jim byrnes,color,r,dennis hopper,english,canada,out of the blue,7.0,1980.0
katrina bowden,tyler labine,chelan simmons,color,r,eli craig,english,canada,tucker and dale vs evil,8.0,2010.0
adam scott,ellen burstyn,martin landau,color,pg,nicholas fackler,english,usa,lovely still,7.0,2008.0
judith anderson,paul fix,laraine day,color,approved,richard wallace,english,usa,tycoon,6.0,1947.0
ethan suplee,john heard,sara gilbert,color,r,morgan j freeman,english,usa,desert blue,6.0,1998.0
meghan ory,marc trottier,corey sevier,color,r,matthew hastings,english,canada,decoys,5.0,2004.0
