<page title>,additional features,connector type,digital zoom,features,flash modes,focal length equivalent to 35mm camera,lens system mounting,magnification,model no,operating system support,optical zoom,product in inches l x w x h,self timer delay,shipping weight in pounds,software,store information not available,type,viewfinder color support,viewfinder diagonal size,walmart no,battery type,has mercury,has paper wood,lcd screen resolution,lcd screen size,multi pack indicator,primary color,resolution megapixels,transactionid,viewfinder frames,effective flash range,macro focus range,age,external microphone jack,stereo recording,tripod mount,viewfinder
Canon Black EOS 6D Digital SLR Camera with 20.2 Megapixels and EF 24-105mm IS Lens Kit Included: Cameras & Camcorders : Walmart.com,"Direct print, USB 2.0 compatibility, RGB primary color filter, auto power save, digital noise reduction, DPOF support, display brightness control, depth-of-field preview button, digital image rotation, camera orientation detection, PictBridge support, histogram display, AE lock, AF lock, FE lock, cropping an image, highlight point display, 1080p Full HD movie recording, Dust Delete Data system, Video Snapshot mode, face detection, built-in help guide, remote live view, DLNA support, Auto Lighting Optimizer, Exif Print support, in-camera RAW processing, built-in GPS, peripheral illumination correction, Chromatic Aberration Compensation (CAC), digital level meter, Constant AF Live View, HDR image enhancement technology, Scene Intelligent Auto technology, Wi-Fi Protected Setup (WPS), Intelligent Auto Plus (iA+), Predictive Focus Control, remote control via IPhone, remote control via Android devices, Lens Distortion Correction",1 x Hi-Speed USB Â¦ 1 x composite video/audio output Â¦ 1 x HDMI output Â¦ 1 x microphone Â¦ 1 x remote control,,,,,Canon EF,0.71x,8035B009,,,11.1 x 8.86 x 7.4,"10 sec, 2 sec",6.1,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"4.3 x zoom lens - 24 - 105 mm - f/4.0 L IS USM Canon EF 3"" LCD display",,,551095381.0,,,,,,,,,,Autofocus frame,,,,,,,
Samsung Plum DV150F DualView Digital Camera - Walmart.com,"Audio recording, direct print, USB 2.0 compatibility, built-in speaker, date/time stamp, DPOF support, sharpness control, remote control, PictBridge support, face retouch, 720p HD movie recording, in-camera red-eye fix, photo album function, in-camera movie editing, Dual LCD screens, face detection, USB charging, remote live view, DLNA support, YouTube capture mode, Exif Print support, Smart AUTO, Sound Alive technology, Live Panorama function, GPS via mobile",1 x USB Â¦ 1 x composite video/audio output,,,"Fill-in mode, slow synchro, auto mode, flash OFF mode, red-eye reduction",25 - 125mm,,,DV150F,"MS Windows 7, MS Windows Vista, MS Windows XP SP2",5X,3.72 x 2.28 x 0.71,"10 sec, 2 sec",0.55,"Drivers & Utilities, Samsung Intelli Studio",Please visit your local store to see if this item is in stock.,"5 x zoom lens - 4.5 - 22.5 mm - f/2.5-6.3 2.7"" LCD display",,,551172183.0,,,,,,,,,,,7.9 in - 13.4 ft ( wide lens ) Â¦ 1.6 ft - 4.6 ft ( tele lens ),2 in,,,,,
"Nikon 1 J1 Silver 10.1MP Digital Camera w/ 3x Optical Zoom, 10-30mm VR Lens, 3"" LCD, HD Movie Recording - Walmart.com","Audio recording, direct print, USB 2.0 compatibility, date/time stamp, DPOF support, display brightness control, PictBridge support, AE lock, AF lock, face-priority AF function, interval shooting mode, Active D-Lighting technology, 1080p Full HD movie recording, face detection, Exif Print support, Scene Auto Selector, Smart Photo Selector, Motion Snapshot",1 x Hi-Speed USB Â¦ 1 x HDMI output,,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 81mm,Nikon 1,,Nikon J1 S 10-30,"MS Windows XP SP3, MS Windows Vista SP2, MS Windows 7 SP1, Apple Mac OS X 10.5.8 - 10.6.7",3X,4.2 x 2.4 x 2.5,"10 sec, 2 sec, 5 sec",2.05,"Drivers & Utilities, Nikon ViewNX 2, Nikon Short Movie Creator",Please visit your local store to see if this item is in stock.,"3"" LCD display 3 x zoom lens - 10 - 30 mm - f/3.5-5.6",,,550069785.0,,,,,,,,,,,,,,,,,
"Sony Alpha NEX-3K Silver 14.2MP DSLR Camera, 18-55mm - Walmart.com","USB 2.0 compatibility, built-in speaker, RGB primary color filter, digital noise reduction, date/time stamp, DPOF support, display brightness control, sharpness control, PRINT Image Matching, histogram display, AE lock, AF lock, accessories hot shoe, saturation control, 720p HD movie recording, Intelligent Scene Recognition (iSCN), Sweep Panorama technology, Dolby Digital AC-3 (2 channel) recording, LCD live view mode, shadow point display, highlight point display, contrast control, Auto HDR mode, Dynamic Range Optimizer, face detection, built-in help guide, Exif Print support, Smile Detection technology, automatic display brightness adjustment",1 x USB Â¦ 1 x HDMI output,10X,"AF illuminator, flash +/- compensation, wireless off-camera control","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 82.5mm,Sony E-mount,,NEX-3K/S,"Apple Mac OS X 10.1.3 or later, MS Windows Vista, MS Windows 2000 Professional, MS Windows XP SP2",N/A,1.38 x 4.63 x 2.5,"10 sec, 2 sec",2.3,"Drivers & Utilities, Sony Picture Motion Browser, Sony Image Data Converter SR, Sony Image Data Lightbox SR",Please visit your local store to see if this item is in stock.,"3 x zoom lens - 18 - 55 mm - f/3.5-5.6 3"" LCD display",,,611098.0,,,,,,,,,,,,,,,,,
Sony Black Alpha a5000 Digital SLR Camera with 20.1 Megapixels and 16-50mm Lens Included: Cameras & Camcorders : Walmart.com,,,4x,,,,,,ILCE5000L/B,,3x,4.38 x 1.44 x 2.5,,1.5,,Please visit your local store to see if this item is in stock.,,,,552425171.0,Lithium Ion,No,No,"460,800 Pixels","3""",No,Black,20.1 MP,,,,,,,,,
"Coleman Waterproof Digital Camera, C12WP - Walmart.com",Direct print,,4x,,,,,,C12WP-BL,,,4.0 x 2.0 x 3.0,,1.0,,Please visit your local store to see if this item is in stock.,"2.5"" LCD display Lens - 5.7 mm - f/3.2",,,551946576.0,,,,,,,,,,,,,,,,,
Coleman Red Xtreme2 C12WP Waterproof Digital Camera - Walmart.com,Direct print,,4x,,,,,,C12WP-R,,,4.0 x 2.0 x 3.0,,1.0,,Please visit your local store to see if this item is in stock.,"Lens - 5.7 mm - f/3.2 2.5"" LCD display",,,551946593.0,,,,,,,,,,,,,,,,,
Samsung wb350f camera with 16.3 megapixels - Walmart.com,,,5x,,,,,,EC-WB350FBPRUS,,21x,4.47 x 2.56 x 0.98,,2.0,,Please visit your local store to see if this item is in stock.,,,,552574223.0,Lithium Ion,No,No,"460,000 Pixels","3""",No,Red,16.3 MP,900000000.20140404.070007.4852059,,,,,,,,
"Coleman Waterproof Digital Camera, Duo 2V7WP - Walmart.com",Dual LCD screens,,3x,,,,,,2V7WP-P,,,4.0 x 3.0 x 2.0,Yes,1.0,,Please visit your local store to see if this item is in stock.,"2.7"" LCD display Lens",,,551946623.0,,,,,,,,,,,,,,,,,
"Nikon DSLR Camera, D5300 - Walmart.com","Remote live view, no anti-aliasing filter",1 x USB 2.0 Â¦ 1 x HDMI output Â¦ 1 x composite video/audio output Â¦ 1 x microphone,,"AF illuminator, flash +/- compensation, wireless off-camera control","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",,Nikon F,0.82x,1519,,,3.0 x 4.92 x 3.9,"10 sec, 2 sec, 5 sec, 20 sec",3.05,Nikon ViewNX 2,Please visit your local store to see if this item is in stock.,"3.2"" LCD display",,,551943502.0,,,,,,,,,,,,,,,,,
"Nikon COOLPIX Digital Camera, S6800 - Walmart.com",,,,,,,,,26442,,,3.81 x 2.28 x 0.9,,0.85,,Please visit your local store to see if this item is in stock.,,,,552020635.0,,,,,,,,,,,,,,,,,
Bell+Howell S16 Ultra-Slim 16 Megapixel Digital Camera - Walmart.com,"Audio recording, USB 2.0 compatibility",,8x,,,,,,S16-BK,,,4.0 x 3.0 x 1.0,,1.0,,Please visit your local store to see if this item is in stock.,"Lens 2.7"" LCD display",,,551946532.0,,,,,,,,,,,,,,,,,
Vivitar Black VX137-BLK Digital Camera with 12.1 Megapixels and 4x Digital Zoom: Cameras & Camcorders : Walmart.com,,,4x,,,,,,VX137-BLK,,,7.0 x 2.0 x 9.0,,0.75,,Please visit your local store to see if this item is in stock.,,,,552358863.0,,,,,,,,,,,,,,,,,
Olympus Black OM-D E-M5 Digital SLR Camera with 16.1 Megapixels (Body Only): Cameras & Camcorders : Walmart.com,,,,,,,,,V204040BU000,,,6.85 x 9.45 x 3.9,,2.81,,Please visit your local store to see if this item is in stock.,,,,552481315.0,Lithium Ion,No,No,"610,00 Pixels","3""",No,Black,16.1 MP,900000000.20140321.140029.8472534,,,,,,,,
"Pentax K-r 12.4MP DSLR Camera Bundle w/ 18-55mm Lens, 3"" LCD, and HD Video, Green - Walmart.com","IrDA compatibility, USB 2.0 compatibility, RGB primary color filter, digital noise reduction, DPOF support, display brightness control, sharpness control, digital image rotation, PRINT Image Matching, histogram display, AE lock, AF lock, cropping an image, resizing an image, saturation control, 720p HD movie recording, shadow point display, interval shooting mode, highlight point display, contrast control, Auto HDR mode",1 x Hi-Speed USB Â¦ 1 x composite video/audio output,,"AF illuminator, flash +/- compensation, wireless off-camera control","Fill-in mode, slow synchro, auto mode, flash OFF mode, P-TTL",27 - 82.5mm,Pentax KAF2,0.85x,14973,"MS Windows XP, MS Windows 7, MS Windows Vista, Apple Mac OS X 10.3 - 10.5",,4.9 x 3.8 x 2.7,"2 sec, 12 sec",4.1,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"3"" LCD display 3 x zoom lens - 18 - 55 mm - f/3.5-5.6 DA L AL Pentax KAF",,,550096058.0,,,,,,,,,,,,,,,,,
Kodak AZ521 Astro Zoom Digital Camera - Walmart.com,"Direct print, USB 2.0 compatibility, DPOF support, PictBridge support, in-camera red-eye removal, 1080p Full HD movie recording, USB charging, Exif Print support, Motion Panorama 360, HDR image enhancement technology, Eye-Fi Card Ready",1 x USB 2.0 Â¦ 1 x composite video/audio output Â¦ 1 x HDMI output,4X,,"Fill-in mode, slow synchro, auto mode, flash OFF mode, red-eye reduction",24 - 1248mm,,,AZ521,,52X,6.0 x 5.7 x 4.1,,1.5,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"52 x zoom lens - 4.3 - 223.6 mm - f/2.8-5.6 3"" LCD display",,,551857239.0,,,,,,,,,,,1.6 ft - 25 ft : ISO 800 ( wide lens ) Â¦ 4 ft - 12 ft : ISO 800 ( tele lens ),0.4 in,,,,,
"Canon EOS Rebel SL1 Digital SLR Camera Kit, 18MP - Walmart.com",,,,,,,,,8575B003L25KIT,,,4.6 x 2.7 x 3.6,,7.0,,Please visit your local store to see if this item is in stock.,,,,551624007.0,Lithium Ion,No,No,"1,040,000 Pixels","3""",Yes,Black,18 MP,900000000.20130705.122639.9529450,,,,,,,,
"GE Purple Power PRO Series X2600-EP Compact System Digital Camera with 16.1 Megapixels, 26x Optical Zoom and 4.7mm-122.2mm Lens Included, Refurbished: Cameras & Camcorders : Walmart.com",,,5x,,,,,,X2600-EP/B,,26x,6.0 x 5.0 x 3.0,,1.7,,Please visit your local store to see if this item is in stock.,,,,553128387.0,Does Not Contain a Battery,No,No,"230,000 Pixels","3""",No,Purple,16.1 MP,900000000.20140908.140002.7801346,,,,,,,,
BELL+HOWELL Black Splash Underwater Digital Video Camera - Walmart.com,,,8x,,,,,,WP7 BLACK,,,7.0 x 6.0 x 3.0,,1.0,,Please visit your local store to see if this item is in stock.,,,,551399080.0,Does Not Contain a Battery,,,,"2.4""",No,Black,,,,,,,No,No,Yes,LCD
Canon EOS 60D 18MP Digital SLR Camera - Walmart.com,"Direct print, USB 2.0 compatibility, RGB primary color filter, digital noise reduction, DPOF support, display brightness control, depth-of-field preview button, camera orientation detection, PictBridge support, histogram display, highlight tone priority, LCD live view mode, highlight point display, 1080p Full HD movie recording, face detection, Auto Lighting Optimizer, Exif Print support, in-camera RAW processing, peripheral illumination correction, digital level meter",1 x composite video/audio output Â¦ 1 x USB Â¦ 1 x HDMI Â¦ 1 x microphone,,"AF illuminator, flash +/- compensation","Fill-in mode, E-TTL, rear curtain sync, auto mode, flash OFF mode, red-eye reduction",,Canon EF,0.95x,60D Body,"MS Windows XP, MS Windows 7, Apple Mac OS X 10.4 - 10.6, MS Windows Vista",,6.0 x 4.0 x 3.0,"10 sec, 2 sec",2.0,"Drivers & Utilities, Canon PhotoStitch, Canon ZoomBrowser EX, Canon ImageBrowser, Canon Remote Capture, Canon Digital Photo Professional",Please visit your local store to see if this item is in stock.,"3"" LCD display",,,602615.0,,,,,,,,,,,,,,,,,
Canon EOS 70D Digital SLR Camera Kit - Walmart.com,"Direct print, USB 2.0 compatibility, touch-screen control, RGB primary color filter, DPOF support, display brightness control, depth-of-field preview button, digital image rotation, camera orientation detection, PictBridge support, histogram display, AE lock, AF lock, LCD live view mode, highlight point display, 1080p Full HD movie recording, face detection, Auto Lighting Optimizer, Exif Print support, in-camera RAW processing, peripheral illumination correction, digital level meter, Multi-Frame Noise Reduction, Eye-Fi Card Ready, Scene Intelligent Auto technology, long exposure noise reduction, high ISO speed noise reduction, remote control via mobile devices, Dual Pixel CMOS AF technology",1 x composite video/audio output Â¦ 1 x Hi-Speed USB Â¦ 1 x HDMI output ( 19 pin mini HDMI Type C ) Â¦ 1 x microphone ( mini-phone stereo 3.5 mm ),,"AF illuminator, flash +/- compensation, wireless off-camera control, flash exposure bracketing",,29 - 216mm,Canon EF,0.95x,8469B016,"MS Windows XP SP3, MS Windows Vista SP2, MS Windows 7 SP1, Apple Mac OS X 10.6 - 10.8",,3.1 x 5.5 x 4.1,"10 sec, 2 sec",4.5,"Drivers & Utilities, Canon PhotoStitch, Canon Digital Photo Professional, Canon Picture Style Editor, Canon ImageBrowser EX, Canon EOS Utility",Please visit your local store to see if this item is in stock.,"3"" LCD display 7.5 x zoom lens - 18 - 135 mm - f/3.5-5.6 IS STM Canon EF-S",,,551610641.0,,,,,,,,,,,,,,,,,
Coleman Blue Duo 2V7WP Waterproof Digital Camera - Walmart.com,Dual LCD screens,,3x,,,,,,2V7WP-BL,,,4.0 x 3.0 x 2.0,Yes,1.0,,Please visit your local store to see if this item is in stock.,"2.7"" LCD display Lens",,,551946609.0,,,,,,,,,,,,,,,,,
GE X550 Digital Camera - Walmart.com,"Direct print, USB 2.0 compatibility, DPOF support, PictBridge support, histogram display, in-camera red-eye removal, Exif Print support, Auto Scene mode (ASCN), HDR image enhancement technology",1 x Hi-Speed USB Â¦ 1 x composite video/audio output,,AF illuminator,"Fill-in mode, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 405mm,,,X550-WH,,15X,4.0 x 2.9 x 2.6,,1.7,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"2.7"" LCD display 15 x zoom lens - 4.9 - 73.5 mm - f/3.0-5.2",Color,,551798547.0,,,,,,,,,,,1 ft - 23 ft : ISO 800 ( wide lens ) Â¦ 4 ft - 13 ft : ISO 800 ( tele lens ),2 in,,,,,
FUJIFILM AX655 Digital Camera with 16 Megapixels and 5x Optical Zoom: Cameras & Camcorders : Walmart.com,,,,,,,,,FUJIFILM AX655,,5X,3.8 x 0.8 x 2.2,,1.1,,Please visit your local store to see if this item is in stock.,,,,551142094.0,Alkaline,No,No,"230,000 Pixels","2.7""",No,Black,16 MP,,,,,,,,,
"Nikon COOLPIX Digital Camera, P530 - Walmart.com","Audio recording, USB 2.0 compatibility, DPOF support, display brightness control, digital image rotation, cropping an image, Wi-Fi ready, Active D-Lighting technology, Auto HDR mode, 1080p Full HD movie recording, Best Shot Selector (BSS), USB charging, Exif Print support, Motion Detection Technology, zoom memory, Scene Auto Selector, Eye-Fi Card Ready, Subject tracking technology, high-speed recording, Smart Portrait System, Focus Peaking function, Dynamic Fine Zoom",1 x USB 2.0 Â¦ 1 x HDMI output Â¦ 1 x composite video/audio output,4x,Flash +/- compensation,Auto mode,24 - 1000mm,,,26464,,42x,4.83 x 3.31 x 3.86,"10 sec, 2 sec",15.67,,Please visit your local store to see if this item is in stock.,"3"" LCD display 42 x zoom lens - 4.3 - 180 mm - f/3.0-5.9",Color,"0.2""",552020628.0,,,,,,,,,,,1.6 ft - 26 ft : ISO auto ( wide lens ) Â¦ 5 ft - 15 ft : ISO auto ( tele lens ),0.4 in,,,,,
Canon EOS 60D 18MP Digital SLR - Walmart.com,"Direct print, USB 2.0 compatibility, RGB primary color filter, digital noise reduction, DPOF support, display brightness control, depth-of-field preview button, camera orientation detection, PictBridge support, histogram display, highlight tone priority, LCD live view mode, highlight point display, 1080p Full HD movie recording, face detection, Auto Lighting Optimizer, Exif Print support, in-camera RAW processing, peripheral illumination correction, digital level meter",1 x composite video/audio output Â¦ 1 x USB Â¦ 1 x HDMI Â¦ 1 x microphone,,"AF illuminator, flash +/- compensation","Fill-in mode, E-TTL, rear curtain sync, auto mode, flash OFF mode, red-eye reduction",29 - 216mm,Canon EF,0.95x,60D 18-135 Kit,"MS Windows XP, MS Windows 7, Apple Mac OS X 10.4 - 10.6, MS Windows Vista",,6.0 x 4.0 x 3.0,"10 sec, 2 sec",5.1,"Drivers & Utilities, Canon PhotoStitch, Canon ZoomBrowser EX, Canon ImageBrowser, Canon Remote Capture, Canon Digital Photo Professional",Please visit your local store to see if this item is in stock.,"7.5 x zoom lens - 18 - 135 mm - f/3.5-5.6 Canon EF-S 3"" LCD display",,,602608.0,,,,,,,,,,,,,,,,,
"GE Power PRO Camera, X450 - Walmart.com","Audio recording, direct print, USB 2.0 compatibility, auto power save, date/time stamp, DPOF support, PictBridge support, AE lock, in-camera red-eye removal, Pan-Capture Panorama technology, Exif Print support, Auto Scene mode (ASCN), HDR image enhancement technology, Eye-Fi Card Ready",1 x USB 2.0 Â¦ 1 x composite video/audio output,,AF illuminator,"Fill-in mode, slow synchro, auto mode, flash OFF mode, red-eye reduction",24 - 600mm,,,X450-BK,,25x,4.5 x 3.1 x 2.8,,2.0,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"25 x zoom lens - 4.3 - 107.5 mm - f/3.7-6.2 2.7"" LCD display",,,551798536.0,,,,,,,,,,,1.6 ft - 23 ft : ISO 800 ( wide lens ) Â¦ 4 ft - 14 ft : ISO 800 ( tele lens ),1 in,,,,,
"POV Action Video ACG22 POV SD Action Camera Eyewear, Black: Cameras & Camcorders : Walmart.com",,,,,,,,,ACG22,,,7.4 x 3.4 x 3.0,,0.45,,Please visit your local store to see if this item is in stock.,,,,552070929.0,Does Not Contain a Battery,No,No,,,No,Black,2 MP,900000000.20131203.150032.4667855,,,,,,,,
"Get the Vivitar 14.1MP Digital Camera, VT027 at Walmart.com. Save money. Live better.","Audio recording, direct print, USB 2.0 compatibility, built-in speaker, auto power save, date/time stamp, sharpness control, digital image rotation, PictBridge support, in-camera red-eye removal, cropping an image, Anti-Shake DSP, face detection, Smile Detection technology",1 x USB,4x,,"Fill-in mode, auto mode, flash OFF mode, red-eye reduction",,,,VT027 BLK,"MS Windows 7, Apple Mac OS X 10.5.x or later, MS Windows Vista, MS Windows XP SP2",,9.0 x 7.0 x 1.75,"10 sec, 2 sec, 5 sec",0.63,Vivitar Experience Image Manager,Please visit your local store to see if this item is in stock.,"2.7"" LCD display Lens - 7.45 mm - f/3.0",,,552103330.0,,,,,,,,,,,,,,,,,
"Vivitar 14.1 MP Digital Camera, VF128-PNK - Walmart.com","Audio recording, USB 2.0 compatibility, built-in speaker, 720p HD movie recording, Anti-Shake DSP, face detection",1 x USB,4X,,"Fill-in mode, auto mode, flash OFF mode",,,,VF128-PNK,"MS Windows 7, MS Windows Vista SP1, MS Windows XP SP3, Apple Mac OS X 10.5.x or later",,7.0 x 1.5 x 9.0,,0.6,Vivitar Experience Image Manager,Please visit your local store to see if this item is in stock.,"2.7"" LCD display Lens - 8.15 mm - f/3.0",,,551677954.0,,,,,,,,,,,3.3 ft - 6.6 ft,,,,,,
Bell+Howell Splash WV30HD Yellow 1080p HD Waterproof Camcorder - Walmart.com,"Pre-Rec function, face detection, Motion Detection Technology, Time-Lapse recording",1 x USB 2.0 Â¦ 1 x HDMI output,8x,,,,,,WV30HD-Y,,,5.0 x 3.0 x 3.0,,1.0,,Please visit your local store to see if this item is in stock.,"3"" LCD display Lens",,,551946477.0,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-GF3 Digital Camera - Walmart.com,"Audio recording, USB 2.0 compatibility, touch-screen control, built-in speaker, RGB primary color filter, date/time stamp, DPOF support, digital image rotation, PictBridge support, histogram display, color control, AE lock, AF lock, cropping an image, resizing an image, saturation control, Face Detection AF/AE, brightness control, in-camera movie editing, contrast control, Intelligent Resolution Technology, 1080i Full HD movie recording, digital tele-converter, Exif Print support, Full-time Live View, Face Recognition, Dolby Digital Stereo Creator, Intelligent D-range Control, 3D photo shooting, NR Slow Shutter, Intelligent Auto Plus (iA+), text stamp",,2X,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",28 - 84mm,Micro Four Thirds,,DMCGF3XK,,3X,7.5 x 5.7 x 4.4,"10 sec, 2 sec",2.1,"Drivers & Utilities, SILKYPIX Developer Studio 3.1 SE, Loilo Super Loiloscope, Panasonic PHOTOfunSTUDIO 6.2 HD Edition",Please visit your local store to see if this item is in stock.,"3"" LCD display 3 x zoom lens - 14 - 42 mm - f/3.5-5.6 X",,,551867085.0,,,,,,,,,,,,,,,,,
"Nikon COOLPIX Digital Camera, P600 - Walmart.com","Audio recording, DPOF support, display brightness control, D-Lighting technology, 1080p Full HD movie recording, Best Shot Selector (BSS), face detection, Exif Print support, Motion Detection Technology, Scene Auto Selector, Smart Portrait System",1 x Hi-Speed USB Â¦ 1 x HDMI output,4x,,,24 - 1440mm,,,26462,,60x,4.92 x 3.35 x 4.19,"10 sec, 2 sec",2.4,,Please visit your local store to see if this item is in stock.,"3"" LCD display 60 x zoom lens - 4.3 - 258 mm - f/3.3-6.5",Color,"0.2""",552376101.0,,,,,,,,,,,1.6 ft - 25 ft : ISO auto ( wide lens ) Â¦ 5 ft - 13 ft : ISO auto ( tele lens ),0.4 in,,,,,
"Nikon 1 DSLR Camera V2 with 14.2 Megapixels, Black - Walmart.com",,,,,,,,,Nikon1 V2 2lens,,,5.12 x 7.28 x 5.91,,16.53,,Please visit your local store to see if this item is in stock.,,,,551091986.0,,,,,,,,,,,,,,,,,
"Nikon 1 J1 10.1 MP HD Digital Camera System with 10-30mm VR 1 NIKKOR Lens, Red, 1080p HD Digital Camera, 3x Optical Zoom Digital Camera, LCD Screen Digital Camera","Audio recording, direct print, USB 2.0 compatibility, date/time stamp, DPOF support, display brightness control, PictBridge support, AE lock, AF lock, face-priority AF function, interval shooting mode, Active D-Lighting technology, 1080p Full HD movie recording, face detection, Exif Print support, Scene Auto Selector, Smart Photo Selector, Motion Snapshot",1 x Hi-Speed USB Â¦ 1 x HDMI output,,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, slow synchro, auto mode, flash OFF mode, red-eye reduction",27 - 81mm,Nikon 1,,Nikon J1 R 10-30,"MS Windows XP SP3, MS Windows Vista SP2, MS Windows 7 SP1, Apple Mac OS X 10.5.8 - 10.6.7",3X,4.2 x 2.4 x 2.5,"10 sec, 2 sec, 5 sec",1.95,"Drivers & Utilities, Nikon ViewNX 2, Nikon Short Movie Creator",Please visit your local store to see if this item is in stock.,"3 x zoom lens - 10 - 30 mm - f/3.5-5.6 3"" LCD display",,,550069774.0,,,,,,,,,,,,,,,,,
"Coleman Waterproof Digital Camera, Duo 2V7WP - Walmart.com",Dual LCD screens,,3x,,,,,,2V7WP-P,,,4.0 x 3.0 x 2.0,Yes,1.0,,Please visit your local store to see if this item is in stock.,"Lens 2.7"" LCD display",,,551946623.0,,,,,,,,,,,,,,,,,
Nikon Coolpix Digital Camera S01 with 10.1 Megapixels and 3x Optical Zoom - Walmart.com,"Audio recording, direct print, USB 2.0 compatibility, touch-screen control, RGB primary color filter, DPOF support, display brightness control, AF lock, 720p HD movie recording, digital image stabilization (video mode), USB charging, Exif Print support, Motion Detection Technology, Scene Auto Selector, Smart Portrait System",1 x Hi-Speed USB Â¦ 1 x composite video/audio output,4X,,Auto mode,,,,Mini,,3X,0.7 x 3.1 x 2.1,10 sec,5.95,,Please visit your local store to see if this item is in stock.,"2.5"" LCD display 3 x zoom lens - 4.1 - 12.3 mm - f/3.3-5.9",,,550831698.0,,,,,,,,,,,1.6 ft - 7 ft : ISO auto ( wide lens ) Â¦ 1.6 ft - 4 ft : ISO auto ( tele lens ),2 in,,,,,
"Sony digital camera, DSC-H300/B, Black - Walmart.com",,,2x,,,,,,DSC-H300/B,,35x,5.12 x 4.12 x 3.75,,1.95,,Please visit your local store to see if this item is in stock.,,,,552425154.0,Alkaline,No,No,"460,000 Pixels","3""",No,Black,20.1 MP,,,,,,,,,
Nikon D5200 DSLR 24.1 Megapixel Camera - Walmart.com,,,,,,,,,D5200 w/18-55,,,5.1 x 3.9 x 3.1,,3.9,,Please visit your local store to see if this item is in stock.,,,,551178730.0,,,,,,,,,,,,,,,,,
Coleman Red Xtreme2 C12WP Waterproof Digital Camera - Walmart.com,Direct print,,4x,,,,,,C12WP-R,,,4.0 x 2.0 x 3.0,,1.0,,Please visit your local store to see if this item is in stock.,"Lens - 5.7 mm - f/3.2 2.5"" LCD display",,,551946593.0,,,,,,,,,,,,,,,,,
"Nikon COOLPIX Digital Camera, L620 - Walmart.com","Audio recording, USB 2.0 compatibility, DPOF support, display brightness control, 1080p Full HD movie recording, Best Shot Selector (BSS), Exif Print support, Motion Detection Technology, Scene Auto Selector",1 x USB 2.0 Â¦ 1 x HDMI output Â¦ 1 x composite video/audio output,2X,,,25 - 350mm,,,NikonL620Blk,,14X,1.4 x 4.3 x 2.7,10 sec,1.9,Nikon ViewNX 2,Please visit your local store to see if this item is in stock.,"3"" LCD display 14 x zoom lens - 4.5 - 63 mm - f/3.3-5.9",,,551693125.0,,,,,,,,,,,1.6 ft - 16.4 ft : ISO auto ( wide lens ) Â¦ 3.3 ft - 10 ft : ISO auto ( tele lens ),0.4 in,,,,,
"Samsung Galaxy 2 Digital Camera with 21x Optical Zoom, GC200 - Walmart.com",,,,,,,,,EK-GC200ZWAXAR,,21x,5.08 x 2.8 x 0.75,,1.44,,Please visit your local store to see if this item is in stock.,,,,552054453.0,Lithium Ion,No,No,"921,600 Pixels","4.8""",No,White,16.3 MP,,,,,,,,,
Vivitar VF324-BLACK Digital Camera with Optical Zoom - Walmart.com,"Audio recording, USB 2.0 compatibility, Anti-Shake DSP, face detection",1 x USB,4x,,,,,,VF324-BLACK,,3x,7.09 x 1.81 x 8.9,,0.34,"Drivers & Utilities, Vivitar Experience Image Manager",Please visit your local store to see if this item is in stock.,"3 x zoom lens 2.4"" LCD display",,,551678060.0,,,,,,,,,,,,,,,,,
"Canon DSLR Camera, EOS Rebel T3, 18-55mm Lens - Walmart.com","Direct print, USB 2.0 compatibility, RGB primary color filter, auto power save, digital noise reduction, DPOF support, display brightness control, depth-of-field preview button, PictBridge support, histogram display, AE lock, AF lock, FE lock, 720p HD movie recording, LCD live view mode, highlight point display, Dust Delete Data system, Live Face detection AF mode, face detection, built-in help guide, Auto Lighting Optimizer, Exif Print support, Eye-Fi Card Ready",1 x Hi-Speed USB Â¦ 1 x HDMI output Â¦ 1 x remote control,,"AF illuminator, flash +/- compensation","Fill-in mode, rear curtain sync, auto mode, flash OFF mode, red-eye reduction",29 - 88mm,Canon EF,0.8x,5157B002AA,,,5.1 x 3.9 x 3.1,"10 sec, 2 sec",3.3,Drivers & Utilities,Please visit your local store to see if this item is in stock.,"2.7"" LCD display 3 x zoom lens - 18 - 55 mm - f/3.5-5.6 II Canon EF-S",,,609547.0,,,,,,,,,,Autofocus frame,,,,,,,
