3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
,"Canon PowerShot SX510 HS digital camera prices, Shopping comparison for Canon SX 510 HS, Buy online in India - ShopMania",,F/3.4-5.8,Li-Ion,Compact,Canon,Digital Cameras,HDMI / USB,3.8,80 mm,MOV / MPEG-4 / H.264,4x,Fixed,"8714574610207, 4016138858891, 4549292008272, 8714574610191, 4960999989372, 4960999989389, 0013803229059","-/+ 2 EV range, in 1/3 EV steps",High Sensitivity / Macro / Movie / Scene / Snow,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,5 m,,4.3 - 129 mm,Yes,70 mm,DCF / DPOF / JPEG,Digic 4,480x480 / 640x360 / 640x424 / 640x480 / 1200x1200 / 1600x1200 / 2112x2112 / 2816x1584 / 2816x1880 / 2816x2112 / 2992x2992 / 3968x2976 / 4000x2248 / 4000x2664 / 4000x3000,Optical,Carrying strap / Charger / USB cable,,Auto / 50 / 80 / 100 / 120 / 200 / 250 / 300 / 320 / 400 / 640 / 800 / 1200 / 1600 / 3200 / 4000,1/1600,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),30x (more than 98%),Canon PowerShot SX510 HS,0 out of 5,"Face Detection
/ Panorama",,12 MP (more than 51%),461000 (more than 77%),"3"" (more than 62%)",LCD,Custom / 2s / 10s,1/2.3,CMOS,Miniature / Poster / Sepia,,Write a review,1280x720,349 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Tungsten,104 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,"Rs.9,295 - Naaptol.com Cameras Show all prices »",Yes,,Yes,,,013803229059,,,,24 - 720 mm,Yes,,Yes,,,
,"Olympus PEN E-PL3 digital camera prices, Shopping comparison for Olympus PEN E PL 3, Buy online in India - ShopMania",Yes,F/2.8 / F/8.0 / F/3.5-5.6 / F/3.5-6.3 / F/4.0-5.6,Li-Ion,Mirrorless,Olympus,Digital Cameras,Composite / USB / micro HDMI / mini HDMI,5.5,37 mm,AVCHD / AVI / MJPEG / WAV,,Folding,"4545350037543, 4545350037680, 4545350037550, 4545350037536, 0610696377654, 0689466556803, 0610696377678, 0050332180406, 0689466447026, 0689466447125, 0689466447163, 0050332181311, 0050332180383, 0689466447101, 0610696377623, 0050332180482, 0689466447156, 0689466447002, 0689466447064, 0689466447132, 0689466447118, 0050332180376, 0689466447057, 0610696377661, 0689466447088, 0689466447071, 0689466447149, 0876544791731, 0876544791700, 0876544791717, 0665309900323, 0876544791687, 4545350038519, 4545350037697, 4545350037574, 0050332180390, 4545350037567","-/+ 3 EV range in 1/3, 1/2 or 1 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,,Built-in / External,12 - 50 mm / 14 - 42 mm / 14 - 150 mm / 40 - 150 mm,,64 mm,DCF / DPOF / JPEG / MPO / RAW,TruePic VI,640x480 / 1024x768 / 1280x960 / 1600x1200 / 1920x1080 / 2560x1920 / 3200x2400 / 4032x3024,Digital,AV cable / Body cap / Charger / USB cable,,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 4000 / 6400 / 12800,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),10.7x (more than 88%),Olympus PEN E-PL3,4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,12.3 MP (more than 65%),460000 (more than 68%),"3"" (more than 62%)",HyperCrystal LCD,2s / 12s,17.3x13.0mm,CMOS,Black & White / Fisheye / Monotone / Neutral / Saturation / Sepia / Soft Focus / Vivid,Yes,Write a review,320x240 / 640x480 / 1280x720 / 1920x1080,313 g,Custom / Manual / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Overcast / Shade / Sunlight / Sunny
/ Tungsten / Underwater",110 mm,,"Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",Body,1/160,2x,4:3,,"Rs.42,680 - Grabmore India Show all prices »",Yes,35.0,,,Four Thirds,"610696377654, 689466556803, 610696377678, 050332180406, 689466447026, 689466447125, 689466447163, 050332181311, 050332180383, 689466447101, 610696377623, 050332180482, 689466447156, 689466447002, 689466447064, 689466447132, 689466447118, 050332180376, 689466447057, 610696377661, 689466447088, 689466447071, 689466447149, 876544791731, 876544791700, 876544791717, 665309900323, 876544791687, 050332180390",,,,,Yes,,,,,
,"Fujifilm X-E1 kit 18-55mm digital camera prices, Shopping comparison for Fujifilm X E 1 kit 18 55mm, Buy online in India - ShopMania",,,,,Fujifilm,Digital Cameras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujifilm X-E1 kit 18-55mm,0 out of 5,,,,,"2.8"" (more than 61%)",,,,CMOS,,,Write a review,,,,,,,,,,,,,"Rs.71,970 - Homeshop18.com Show all prices »",,,,,,,,,,,,,,,,
,"Canon EOS 1D Mark IV body digital camera prices, Shopping comparison for Canon EOS 1 D Mark IV body, Buy online in India - ShopMania",Yes,,Li-Ion,DSLR,Canon,Digital Cameras Digital Cameras,Composite / HDMI / USB / mini HDMI,10.0,80 mm,MOV / MPEG / QuickTime / H.264,,Fixed,"0013803119619, 0661799345668, 0899140002148, 0876544663755, 0876544663731, 0846818030576, 0876544663748, 0876544663762, 0857760002023","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Slow Speed Sync,,Built-in / External,,,157 mm,DCF / DPOF / JPEG / RAW,Digic 4,640x480 / 1920x1080 / 1936x1288 / 2448x1632 / 2816x1880 / 3456x2304 / 3552x2368 / 3672x2448 / 4320x2880 / 4896x3264,Optical,AV cable / Body cap / Carrying strap / Charger / Neck strap / USB cable,,Auto / 50 / 100 / 125 / 160 / 200 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 6400 / 12800 / 25600 / 51200 / 102400,1/8000,CompactFlash / SD / SDHC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),,Canon EOS 1D Mark IV body Canon EOS 1D Mark IV body,1 out of 5 1 out of 5,,,16.1 MP (more than 84%),920000 (more than 80%),"3"" (more than 62%)",,2s / 10s,27.9x18.6mm,CMOS,Contrast / Fisheye / Monochrome / Neutral,,"Write a review Read reviews
Write a review",640x480 / 1280x720 / 1920x1080,"1,230 g",Automatic / Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Shade / Sunlight / Tungsten",156 mm,"-/+ 3 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Body,1/300,1.3x,3:2,Canon EF / Canon EF-S,,Yes,45.0,Yes,Yes,APS-H,"013803119619, 661799345668, 899140002148, 876544663755, 876544663731, 846818030576, 876544663748, 876544663762, 857760002023",100%,0.76x,Optical,,Yes,,,,,
Yes,"Panasonic DMC-GF2 digital camera prices, Shopping comparison for Panasonic DMC GF 2, Buy online in India - ShopMania",Yes,F/2.5 / F/3.5-5.6,Li-Ion,Mirrorless,Panasonic,Digital Cameras Digital Cameras,Composite / HDMI / USB / mini HDMI,2.0,33 mm,AVCHD / MJPEG / QuickTime,4x,Fixed,"0876544736367, 0885170033559, 0885170033535, 0885170033528, 0885170033634, 5025232609079, 0885170033603, 0885170041721, 0876544659758, 0876544736398, 5025232609369, 0885170033627, 0616932797446","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,6 m,Built-in / External,14 - 42 mm,,68 mm,JPEG / MPO / RAW,Venus Engine FHD,640x480 / 1600x904 / 1504x1504 / 1600x1064 / 1600x1200 / 1920x1080 / 2048x1360 / 2048x1536 / 2112x2112 / 2816x1584 / 2816x1880 / 2816x2112 / 2992x2992 / 4000x2248 / 4000x2672 / 4000x3000,Optical,AV cable / Battery case / Body cap / Charger / Lens cap / Stylus / USB cable,,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),3x,Panasonic DMC-GF2 Panasonic DMC-GF2,3 out of 5 3 out of 5,Panorama,Yes,12.1 MP (more than 57%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,17.3x13.0mm,CMOS,Contrast / Custom Effect / Monochrome / Retro / Saturation / Soft,Yes,Write a review Write a review,320x240 / 640x480 / 848x480 / 1280x720 / 1920x1080,310 g,Automatic / Custom / Presets,Cloudy / Daylight / Sunny / Fine / Flash / Halogen / Incandescent / Indoor / Shade,112 mm,"-/+ 1.3 EV (3, 5 frames in 1/3, 2/3 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",Kit,1/160,2x,1:1 / 3:2 / 4:3 / 16:9,,,Yes,23.0,,,Four Thirds,"876544736367, 885170033559, 885170033535, 885170033528, 885170033634, 885170033603, 885170041721, 876544659758, 876544736398, 885170033627, 616932797446",,,,,Yes,,,,,
,"Nikon COOLPIX L320 digital camera prices, Shopping comparison for Nikon L 320, Buy online in India - ShopMania",,F/3.1-5.9,AA,Compact,Nikon,Digital Cameras,USB,,83 mm,MOV,4x,,"0018208933624, 4960759140258",,,,5 m,,,,76 mm,JPEG,Expeed C2,640x480 / 1600x1200 / 2272x1704 / 3264x2448 / 4608x2592 / 4608x3456,Optical,Carrying strap / Lens cap / USB cable,,Auto / 50 / 80 / 100 / 200 / 1600,,SD / SDHC / SDXC,Center-weighted,,,26x (more than 97%),Nikon COOLPIX L320,0 out of 5,Panorama,,16.1 MP (more than 84%),230000,"3"" (more than 62%)",LCD,10s,1/2.3,CCD,,,Write a review,,430 g,,,111 mm,,,,,,,,"Rs.9,500 - Shopclues.com Show all prices »",,,,,,018208933624,,,,,,,,,,
,"Canon PowerShot A3400 IS digital camera prices, Shopping comparison for Canon A 3400 IS, Buy online in India - ShopMania",Yes,F/2.8-6.9,Li-Ion,Compact,Canon,Digital Cameras,Composite / USB,0.8,21 mm,MOV / H.264,5x,Fixed,"8714574578965, 8714574579016, 8714574579047, 8714574579085, 0013803146523, 0013803146417, 0660685048553, 0013803146516, 0013803146509, 0661799820585, 0661799820622, 0661799820547, 0661799820370, 0661799820455, 0661799820417, 0876544537919, 0876544537872, 0845251035469, 0845251035483, 0845251035421, 0845251035476, 0845251035438, 0845251035452, 0845251035490","-/+ 2 EV range, in 1/3 EV steps",Custom / Program / Scene,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3 m,Built-in,,Yes,56 mm,DCF / DPOF / JPEG,Digic 4,640x480 / 1600x1200 / 3264x2448 / 4608x2592 / 4608x3456,Optical,AV cable / Carrying strap / Charger / USB cable,,Auto / 100 / 200 / 400 / 800 / 1600,1/2000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,15s (more than 51%),5x (more than 61%),Canon PowerShot A3400 IS,5 out of 5,Face Detection,Yes,16 MP (more than 78%),230000,"3"" (more than 62%)",LCD,Custom / 2s / 10s,1/2.3,CCD,Fisheye / Monochrome / Retro / Sepia / Vivid,Yes,Write a review,320x240 / 640x480 / 1280x720,126 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Fluorescent / Tungsten",94 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Single
/ Touch
/ Tracking",,,,4:3 / 16:9,,"Rs.6,499 - Shopclues.com Show all prices »",,9.0,Yes,,,"013803146523, 013803146417, 660685048553, 013803146516, 013803146509, 661799820585, 661799820622, 661799820547, 661799820370, 661799820455, 661799820417, 876544537919, 876544537872, 845251035469, 845251035483, 845251035421, 845251035476, 845251035438, 845251035452, 845251035490",,,,28 - 140 mm,Yes,,,,,
,"Sony Cyber-shot DSC-HX50 digital camera prices, Shopping comparison for Sony Cybershot DSC HX 50, Buy online in India - ShopMania",Yes,F/3.5-6.3,Li-Ion,Compact,Sony,Digital Cameras,HDMI / USB / micro HDMI / micro USB,10.0,38 mm,AVCHD / AVI / MP4 / MPEG-4,2x,Fixed,"4905524944570, 0027242862227, 0689466657517, 0639767673174, 4905524944587, 4905524943399, 0639767673181, 0689466657494, 0689466657487, 4905524944556, 0616932799518, 0616932799532, 0616932799525, 4905524943368, 5013493236394, 0845251054224, 3355830053694, 0845251054248, 0845251054231","-/+ 2 EV range, in 1/3 EV steps",Beach / Food / High Sensitivity / High key / Landscape / Macro / Movie / Panorama / Program / Scene / Snow / Soft Skin / Sport / Sunset / 3D,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,5.60 m,,4.3 - 129 mm,Yes,64 mm,DCF / DPOF / JPEG / DCF 2.0,Bionz,640x480 / 1920x1080 / 2592x1944 / 3648x2736 / 4000x3000 / 4224x3168 / 4896x3672 / 5184x3888,Optical,Carrying strap / USB cable,,Auto / 20 / 25 / 50 / 64 / 80 / 100 / 120 / 200 / 400 / 640 / 800 / 1600 / 3200 / 4000 / 12800,1/4000,Memory Stick / Memory Stick Micro / Memory Stick PRO-HG Duo / Memory Stick Pro / Memory Stick XC-HG Duo / SD / SDHC / SDXC / micro SD / micro SDHC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),30x (more than 98%),Sony Cyber-shot DSC-HX50,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",,20 MP (more than 95%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s,1/2.3,BSI CMOS,,,Write a review,1280x720,272 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent,108 mm,,"Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,4:3 / 16:9,,"Rs.22,300 - Shopclues.com Show all prices »",Yes,,,Yes,,"027242862227, 689466657517, 639767673174, 639767673181, 689466657494, 689466657487, 616932799518, 616932799532, 616932799525, 845251054224, 845251054248, 845251054231",,,,24 - 720 mm,Yes,,Yes,,,
,"Fujifilm X-S1 digital camera prices, Shopping comparison for Fujifilm X S 1, Buy online in India - ShopMania",Yes,F/2.8-5.6,Li-Ion,Compact,Fujifilm,Digital Cameras,Composite / HDMI / USB / mini HDMI,10.0,149 mm,MOV / H.264,2x,Folding,"4547410195323, 0661799423588, 0661799423571, 0661799423564, 0876544659772, 0661799423557, 0876544626163, 0876544659765, 0876544663724, 0074101012248","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Macro / Program / Scene / Shutter Priority / Super Macro,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,8 m,Built-in / External,6.1 - 158.6 mm,,107 mm,DCF / DPOF / JPEG / RAW,EXR,640x480 / 1536x1536 / 1920x1080 / 2048x1360 / 2048x1536 / 2112x2112 / 2816x1584 / 2816x1864 / 2816x2112 / 2992x2992 / 4000x2248 / 4000x2664 / 4000x3000,Optical,Charger / Lens cap,26 MB,Auto / 100 / 200 / 250 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 4000 / 5000 / 6400 / 12800,1/4000,SD / SDHC / SDXC,Average / Center-weighted / Multi / Spot,Yes,30s (more than 65%),26x (more than 97%),Fujifilm X-S1,4 out of 5,"Face Detection
/ Panorama
/ Sweep Panorama",Yes,12 MP (more than 51%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,2/3,Exmor CMOS,Vivid,,Write a review,320x240 / 1280x720 / 1920x1080,920 g,Custom / Presets,Daylight / Sunny / Fine / Fluorescent / Incandescent / Indoor / Shade / Sunlight / Underwater,135 mm,,"Center
/ Continuous
/ Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,"Rs.52,249 - Homeshop18.com Show all prices »",Yes,,Yes,,,"661799423588, 661799423571, 661799423564, 876544659772, 661799423557, 876544626163, 876544659765, 876544663724, 074101012248",100%,,Electronic / Optical,24 - 624 mm,Yes,,,,,
,"Samsung WB250F digital camera prices, Shopping comparison for Samsung WB 250F, Buy online in India - ShopMania",,F/3.2-5.8,Li-Ion,,Samsung,Digital Cameras,Composite / USB,,,MPEG-4 / H.264,4x,Fixed,"0887276009735, 0887276010052, 0887276009179, 0689466667448, 0689466667417, 0616932800238, 0846431096027, 0689466667530, 0639767664417, 0639767664424, 0639767664479, 0639767664387, 0689466667479, 0689466667486, 0639767664462, 0689466667455, 8801089729514, 8806085362659, 0845251051964, 0845251051957, 0887276009728, 0639767664448, 0689466667493, 0616932800245, 0616932800221, 0689466667400, 0846431096041, 0639767664400, 0845251051827, 0846431096010, 0845251037517, 0689466667394, 0846431095983, 0846431095976, 0846431096034, 0689466667516, 0639767664370, 0639767664394, 0639767664431, 0846431095990, 0846431096003, 0689466667431, 0689466667424, 0689466667523","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.38 m,,4 - 72 mm,,,DCF / DPOF / JPEG,Prime,1024x768 / 1920x1080 / 2592x1944 / 2832x2832 / 3648x2736 / 4320x2432 / 4320x2880 / 4320x3240,Optical,,,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,,18x (more than 93%),Samsung WB250F,0 out of 5,"HDR
/ Panorama
/ Sweep Panorama",Yes,14.2 MP (more than 75%),460000 (more than 68%),"3"" (more than 62%)",LCD,,1/2.3,BSI CMOS,,Yes,Write a review,1280x720,226 g,,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Tungsten,,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Tracking",,,,,,"Rs.13,550 - Shopclues.com Show all prices »",Yes,,,,,"887276009735, 887276010052, 887276009179, 689466667448, 689466667417, 616932800238, 846431096027, 689466667530, 639767664417, 639767664424, 639767664479, 639767664387, 689466667479, 689466667486, 639767664462, 689466667455, 845251051964, 845251051957, 887276009728, 639767664448, 689466667493, 616932800245, 616932800221, 689466667400, 846431096041, 639767664400, 845251051827, 846431096010, 845251037517, 689466667394, 846431095983, 846431095976, 846431096034, 689466667516, 639767664370, 639767664394, 639767664431, 846431095990, 846431096003, 689466667431, 689466667424, 689466667523",,,,24 - 432 mm,Yes,,Yes,,,
Yes,"Sony DSC-HX20V digital camera prices, Shopping comparison for Sony DSC HX 20V, Buy online in India - ShopMania",Yes,F/3.2-5.8,Li-Ion,Compact,Sony,Digital Cameras,HDMI / USB / mini HDMI,10.0,35 mm,AVCHD / MJPEG / MPEG / MPEG-4,40x,Fixed,"4905524861242, 4905524861280, 4905524861259, 0027242846227, 0661799742306, 0661799742290, 0876544937092, 0661799742313, 0661799742283, 0661799742276, 0661799742269, 0661799742245, 0661799742252, 0876544937061, 0876544937054","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Beach / High Sensitivity / Intelligent Auto / Manual / Program / Scene / Shutter Priority / Snow / Soft Skin / Sunset,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7.10 m,,4.45 - 89 mm,Yes,62 mm,DCF / DPOF / JPEG / MPF,Bionz,640x480 / 1920x1080 / 2592x1944 / 3424x1920 / 3648x2736 / 4896x2752 / 4896x3672 / 4912x1080,Optical,Carrying strap / Power adapter / USB cable,105 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800,1/1600,Memory Stick Duo / Memory Stick Micro / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / SD / SDHC / SDXC / micro SD / micro SDHC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),20x (more than 94%),Sony DSC-HX20V,4 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,18.2 MP (more than 94%),921600 (more than 90%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,Monochrome,,Write a review,1280x720 / 1440x1080 / 1920x1080,254 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent",107 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Selective Single-point
/ Single
/ Tracking",,,,4:3 / 16:9,,"Rs.19,985 - Shopclues.com Show all prices »",Yes,9.0,Yes,,,"027242846227, 661799742306, 661799742290, 876544937092, 661799742313, 661799742283, 661799742276, 661799742269, 661799742245, 661799742252, 876544937061, 876544937054",,,,25 - 500 mm,Yes,,,,,
Yes,"Nikon P310 digital camera prices, Shopping comparison for Nikon P 310, Buy online in India - ShopMania",Yes,F/1.8 / F/1.8-4.9,Li-Ion,Compact,Nikon,Digital Cameras,Composite / HDMI / USB / mini HDMI,6.0,32 mm,AVC / MOV / MPEG / WAV / MPEG-4 / H.264,4x,Fixed,"0018208926640, 0018208926602, 0876544935074, 0876544935067, 0876544935043, 0876544935036, 0876544935029, 0018208263202, 0639767686389, 5052415400536, 0639767686372, 8033737552285, 5052415400864","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Off / On / Red Eye Reduction / Slow Speed Sync,6.50 m,Built-in,4.3 - 17.9 mm,,58 mm,DPOF / JPEG / MPF / MPO,Expeed C2,640x480 / 1600x1200 / 1920x1080 / 2272x1704 / 3264x2448 / 3456x3456 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Carrying strap / Hand strap / Power adapter / USB cable,90 MB,Auto / 100 / 200 / 400 / 800 / 1600 / 2000 / 3200 / 6400,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,8s,4.2x (more than 60%),Nikon P310,4 out of 5,"Blink Detection
/ Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",,16 MP (more than 78%),921000 (more than 84%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,BSI CMOS,Fisheye / Sepia,,Write a review,1280x720 / 1920x1080,194 g,,Fine / Indoor,103 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Tracking",,,,1:1 / 3:2 / 4:3 / 16:9,,,Yes,,,,,"018208926640, 018208926602, 876544935074, 876544935067, 876544935043, 876544935036, 876544935029, 018208263202, 639767686389, 639767686372",,,,24 - 100 mm,Yes,,,"Rs.16,336 Show all prices »",,
,"Sony Cyber-shot DSC-W310 digital camera prices, Shopping comparison for Sony Cybershot DSC W 310, Buy online in India - ShopMania",Yes,F/3.0-5.8,Li-Ion,Ultracompact,Sony,Digital Cameras Digital Cameras,Composite / USB,0.85,19 mm,AVCHD / AVI / MJPEG,8x,Fixed,"0876544570831, 0876544570824, 0894582216368, 0876544570855, 0876544570862, 0876544570848, 4905524669718","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3 m,Built-in,5 - 20 mm,,55 mm,DCF / DPOF / JPEG,Bionz,640x480 / 1920x1080 / 2048x1536 / 2592x1944 / 3072x2304 / 3264x2448 / 3456x2304 / 3456x2592 / 3648x2056 / 3648x2432 / 3648x2736 / 4000x2248 / 4000x2672 / 4000x3000 / 4320x3240,Optical,AV cable / Carrying strap / Charger / Power adapter / USB cable,6 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,Memory Stick Duo / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick PRO-HG Duo / SD / SDHC,Center-weighted / Multi / Spot,Yes,1s,4x (more than 51%),Sony Cyber-shot DSC-W310 Sony Cyber-shot DSC-W310,4 out of 5 4 out of 5,"Blink Detection
/ Face Detection
/ Smile Detection",Yes,12.1 MP (more than 57%),230400 (more than 63%),"2.7""",LCD,2s / 10s,1/2.3,CCD,Contrast,,Write a review Write a review,320x240 / 640x480 / 1280x720 / 1440x1080,137 g,Custom / Presets,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Outdoor / Sunlight",95 mm,,"Center
/ Contrast Detect
/ Live View
/ Multi-area
/ Single",,,,4:3 / 16:9,,,,9.0,Yes,,,"876544570831, 876544570824, 894582216368, 876544570855, 876544570862, 876544570848",,,Digital,28 - 112 mm,,,,,,
,"KODAK AZ251 digital camera prices, Shopping comparison for KODAK AZ 251, Buy online in India - ShopMania",,,NiMH,,Kodak,Digital Cameras,,,,,4x,,,,,,,,,,,,,,Optical,,8 MB,,,,,,,,KODAK AZ251,0 out of 5,,,16 MP (more than 78%),,,,,,CCD,,,Write a review,,,,,,,,,,,,,"Rs.11,990 - Naaptol.com Cameras Show all prices »",,,,,,,,,,,,,,,,
,"Olympus SP-800UZ digital camera prices, Shopping comparison for Olympus SP 800UZ, Buy online in India - ShopMania",Yes,F/2.8-5.6,Li-Ion,Compact,Olympus,Digital Cameras Digital Cameras,Composite / HDMI / USB / micro HDMI,10.0,85 mm,MPEG / QuickTime / MPEG-4 / H.264,5x,Fixed,"0876544543293, 0610074527398, 0876544543248, 0876544543279","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene,Auto / Fill-in / Off / On / Red Eye Reduction,3.10 m,Built-in,4.9 - 147 mm,,73 mm,DCF / DPOF / JPEG,TruePic III,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 3968x2232 / 4288x2416 / 4288x3216,Digital,AV cable / Carrying strap / Hand strap / Lens cap / USB cable,2 GB,Auto / 50 / 64 / 100 / 200 / 400 / 800 / 1000 / 1600 / 3200 / 6400,1/2000,SD / SDHC,Center-weighted / Multi / Spot,Yes,12s (more than 51%),30x (more than 98%),Olympus SP-800UZ Olympus SP-800UZ,4 out of 5 4 out of 5,"Face Detection
/ Panorama",Yes,14 MP (more than 67%),230000,"3"" (more than 62%)",LCD,2s / 12s,1/2.3,CCD,Black & White / Contrast / Fisheye / Saturation / Sepia / Soft,,Write a review Write a review,320x240 / 640x480 / 1280x720,455 g,Automatic / Custom / Presets,"Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Indoor / Overcast / Sunlight / Sunny
/ Tungsten",107 mm,,"Contrast Detect
/ Live View
/ Multi-area
/ Single
/ Tracking",,,,,,,,143.0,Yes,,,"876544543293, 610074527398, 876544543248, 876544543279",,,,28 - 840 mm,Yes,,,,,
