<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Nikon D5300 Black SLR Digital Camera Kit W/ 18-55 Mm Lens (24.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24200000 pixels,,Built-in Flash|Accessory Shoe,Yes,3.9 in,CMOS,Sensor Shift,"USB|HDMI|Audio - Line Out (1/8"" Mini)",3.2 in,Nikon F,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,24780000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1519/D5300.html,1 year(s),16.9 oz,4.92 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikon D5300 Black SLR Digital Camera Kit w/ 18-55 mm Lens (24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon V1 Black Digital Camera W/ 10-30mm Lens (10.1 MP, 3x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.7 in,10.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction|Slow Sync|Flash Exposure Compensation|Rear Curtain Sync,,3.0 in,CMOS,Optical,,3 in,Nikon 1-mount,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),12000000,http://www.nikon.com,1 Year,10.37 oz,4.4 in,,,,,,,,,,,,,,10 mm to 30 mm (Lens 1),,3 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-3 Black SLR Digital Camera Kit W/ 18-135 Mm Lens (23.35 MP, 7.5x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3.1 in,23350000 pixels,Water Resistant|Dust Proof,Accessory Shoe|Built-in Flash,,3.9 in,CMOS,Sensor Shift,Video - Out (Unspecified)|USB|HDMI,3.2 in,Pentax KAF2,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,24710000 pixels,http://www.pentaxwebstore.com/product/49300,1 year(s),1.8 lbs,5.2 in,Yes,,,,,,,,,,,,,18 mm to 135 mm,27.5 mm to 207 mm,7.5 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D5300 Red SLR Digital Camera Kit W/ 18-55 Mm Lens (24.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24200000 pixels,,Accessory Shoe|Built-in Flash,Yes,3.9 in,CMOS,Sensor Shift,"USB|HDMI|Audio - Line In (1/8"" Mini)",3.2 in,Nikon F,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),24780000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1520/D5300.html,1 year(s),16.9 oz,4.92 in,Yes,,,,,,,,,,,,,18 mm to 55 mm,27 mm to 82.5 mm,,,,,,,,,,,,,,,,,,,,5.6 1/f,,,,,,,,,,Nikon D5300 Red SLR Digital Camera Kit w/ 18-55 mm Lens (24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix SL280 14 Megapixel Bridge Camera (3"" LCD - 28x Optical Zoom - Optical, Electronic IS - 4288 X 3216 Image - 1280 X 720 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Bridge Camera,3.9 in,14 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,,3.7 in,CCD,Optical|Electronic,,3 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),,http://www.fujifilm.com,1 Year,1.04 lbs,4.8 in,,,,,,,,,,,,,6.7x,4.30 mm to 120.40 mm,24 mm to 672 mm,28 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vivitar ITwist F124 14.1 Megapixel Compact Camera - Red (2.4"" LCD - Electronic IS - 4416 X 3312 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.8 in,14.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,7.3 in,CMOS,Electronic,,2.4 in,,1280 x 720,Secure Digital (SD) Card,,http://www.vivitar.com,1 Year,,9.3 in,,,,,,,,,,,,,4x,7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax K-50 Black SLR Digital Camera (16.3 MP, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,2.8 in,16300000 pixels,Weather Resistant,Built-in Flash|Accessory Shoe,,3.8 in,CMOS,Sensor Shift,USB|A/V (RCA Composite),3 in,Pentax KAF2,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16500000 pixels,http://www.pentaxwebstore.com/product/42690,1 year(s),20.8 oz,5.1 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 70D Black SLR Digital Camera Kit W/ 18-135 Mm Lens (20.2 MP, SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3.1 in,20.2 Megapixel,Water Resistant|Dust Resistant,Auto Flash|Flash ON|Flash OFF|Red-eye Reduction|Flash Exposure Compensation,Yes,4.1 in,CMOS,Optical,Video - Out (Unspecified)|USB|HDMI,3 in,Canon EF,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC UHS-I)|Secure Digital High Capacity (SDHC UHS-I)|Eye-Fi Card,20900000,http://www.usa.canon.com,1 Year,1.49 lbs,5.5 in,Yes,,,,,,,,,,,,,18 mm to 135 mm (Lens 1),29 mm to 216 mm (Lens 1),7.5 X,,,,,,,,,,,,,,,,,,,3.5 1/f,WEEE|RoHS|REACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intova IC14 Red Digital Camera (14 MP, 5x Opt, SD/SDHC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.74 in,14000000 pixels,Water Proof,,,2.26 in,CCD,,,2.7 in,,1366 x 768,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,,http://www.intova.net/products/ic14-digital-camera-with-waterproof-housing/,1 year(s),3.88 oz,3.81 in,,,,,,,,,,,,,6 X,,,5 X,,,,,,,,,,,,,,,,,,32 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-TS25 16.1 Megapixel Compact Camera - White (2.7"" LCD - 4x Optical Zoom - Optical IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.8 in,16.1 Megapixel,Water Proof|Shock Proof|Freeze Proof|Dust Proof,Red-eye Reduction|Red-eye Fix|Auto Flash|Flash ON|Flash OFF|Slow Sync,,2.3 in,CCD,Optical,,2.7 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),16600000,http://www.panasonic.com,1 Year,4.41 oz,4.1 in,,Panasonic,Yes,Scene Modes:PortraitSoft SkinSceneryNight PortraitNight SceneryFoodBaby1Baby2PetSunsetHigh SensitivityStarry SkyGlass Through,Program AE,No,No,1.0,,Yes,DMC-TS25,No,4x,4.50 mm to 18 mm,25 mm to 100 mm 25 mm to 100 mm,4 X,Yes,23.0,No,Yes,,Yes,No,Yes,ISO 6400,Vietnamese,60 Second,30 fps,,Lumix,,1/1300 Second,AutoDaylightCloudyShadeIncandescentWhite Set,,,,11 Elements in 10 Groups,4.0,58.42,4.0,4.41,TS,Yes,Photofunstudio 9.0 SEAdobe Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuji Blowers FinePix F900EXR 16 Megapixel Compact Camera - Blue (3"" LCD - 20x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.4 in,16 Megapixel,,Flash ON|Flash OFF|Auto Flash|Slow Sync|Red-eye Reduction|Suppressed Flash,,2.4 in,EXR CMOS II,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital High Capacity (SDHC UHS-I)|Secure Digital Extended Capacity (SDXC)|Secure Digital Extended Capacity (SDXC UHS-I),,http://www.fujifilm.com,1 Year,7.48 oz,4.1 in,,Fujifilm,Yes,Shooting Modes:PortraitPortrait EnhancerLandscapeSportNightNight (Tripod)FireworksSunsetSnowBeachUnderwaterPartyFlowerText,Program AEAperture Priority AEShutter Priority AEManual,No,No,1.0,B00B9775OC,Yes,F900EXR,No,2x,4.60 mm to 92 mm,25 mm to 500 mm 25 mm to 500 mm,20 X,,,No,Yes,NP-50A,Yes,No,Yes,ISO 12800,,8 Second,480 fps,Digital Camera,FinePix,,1/2000 Second,FineShadeFluorescent Light (Daylight)Fluorescent Light (Warm White)Fluorescent Light (Cool White)Incandescent LightUnderwaterCustomAutomatic Scene Recognition,,,,14 Elements in 11 Groups,2.0,60.96,20.0,7.48,F,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot 140 IS 16 Megapixel Compact Camera - Gray (2.7"" LCD - 8x Optical Zoom - Optical IS - 4608 X 3456 Image - 1280 X 720 Video - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,16 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Fix,,2.1 in,CCD,Optical,,2.7 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),16600000,http://www.usa.canon.com,1 Year,4.06 oz,3.8 in,,,,,,,,,,,,,4x,5 mm to 40 mm,28 mm to 224 mm,8 X,,,,,,,,,,,,,,,,,,,,REACH|RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-LZ40 Black Digital Camera (20 MP, 42x Opt, SD/SDHC/SDXC Card Slot, 80 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,3.71 in,20000000 pixels,,Built-in Flash|Accessory Shoe,,3.41 in,CCD,Optical,"USB|Audio - Line Out (1/8"" Mini)",3 in,,1280 x 720,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),20500000 pixels,http://www.panasonic.com/au/consumer/imaging/lumix-cameras/dmc-lz40.html,1 year(s),1.1 lbs,4.98 in,,,,,,,,,,,,,4 X,4 mm to 168 mm,22 mm to 924 mm,42 X,,,,,,,,,,,,,,,,,,80 MB,3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D3300 Red SLR Digital Camera Kit W/ 18-55 Mm Lens (24.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24200000 pixels,,Built-in Flash|Accessory Shoe,Yes,3.9 in,CMOS,Sensor Shift,"USB|Video - Out (Unspecified)|HDMI|Audio - Line In (1/8"" Mini)",3 in,Nikon F,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,24700000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1532/D3300.html,1 year(s),14.5 oz,4.9 in,Yes,,,,,,,,,,,,,18 mm to 55 mm,27 mm to 82.5 mm,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,Nikon D3300 Red SLR Digital Camera Kit w/ 18-55 mm Lens (24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX700 HS Black Digital Camera (16.1 MP, 30x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.37 in,16100000 pixels,,Accessory Shoe|Built-in Flash,,2.59 in,CMOS,Optical,"Video - Out (Unspecified)|HDMI|Audio - Line Out (1/8"" Mini)",3 in,,,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16800000 pixels,http://shop.usa.canon.com/shop/en/catalog/cameras/powershot-sx-series-digital-cameras/powershot-sx700-hs-black,1 year(s),8.64 lbs,4.44 in,,,,,,,,,,,,,4 X,4.5 mm to 135 mm,25 mm - 750 mm,30 X,,,,,,,,,,,,,,,,,,,3.2 1/f,REACH|RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-H400 20.1 Megapixel Compact Camera - Black (3"" LCD - 63x Optical Zoom - Optical IS - 5152 X 3864 Image - 1280 X 720 Video - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,4.8 in,20.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Advanced Flash|Flash Exposure Compensation|Red-eye Reduction,,3.7 in,Super HAD CCD,Optical,,3 in,,1280 x 720,Memory Stick Duo|Memory Stick PRO Duo|Memory Stick PRO High Speed|Memory Stick PRO-HG Duo|Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Memory Stick Micro|Memory Stick Micro (M2)|microSD Card|microSDHC Card|microSD Extended Capacity (microSDXC),20400000,http://www.sony.com,1 Year,6.20 oz,5.1 in,,,,,,,,,,,,,126x,4.40 mm to 277 mm,32.10 mm to 2029 mm,63 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sakar Hello Kitty 2.1 Megapixel Compact Camera (1.5"" LCD) Price Comparison at Buy.net",,Compact Camera,,2.1 Megapixel,,,,,,No,,1.5 in,,,Secure Digital (SD) Card,,http://www.sakar.com,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm X100S Silver Digital Camera (16.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,2.1 in,16.3 Megapixel,,Accessory Shoe|Built-in Flash,,2.9 in,CMOS,,HDMI|USB,2.8 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16.3 Megapixel,http://www.fujifilm.com/products/digital_cameras/x/fujifilm_x100s/,1 year(s),15.7 oz,5 in,,,,,,,,,,,,,,23 mm,,,,,,,,,,,,,,,,,,,,,2 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony DSC-RX100/B Black Digital Camera (20.2 MP, 3.6x Opt, SD/SDXC/SDHC/MS Duo Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.44 in,20200000 pixels,,Built-in Flash|Accessory Shoe,,2.38 in,CMOS,Optical,USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Memory Stick Duo,20900000 pixels,http://store.sony.com/cyber-shot-digital-camera-rx100-zid27-DSCRX100/B/cat-27-catid-All-Cyber-shot-Cameras,1 year(s),7.5 oz,4 in,,,,,,,,,,,,,14 X,,36 mm to 127 mm,3.6 X,,,,,,,,,,,,,,,,,,,1.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix AW120 Blue Digital Camera (16 MP, 5x Opt, SD/SDHC/SDXC Card Slot, 329 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,Water Proof|Shock Proof|Freeze Proof,Accessory Shoe|Built-in Flash,Yes,2.6 in,CMOS,Optical,Video - Out (Unspecified)|USB|HDMI,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26467/COOLPIX-AW120.html,1 year(s),7.5 oz,4.4 in,Yes,,,,,,,,,,,,4 X,4.3 mm to 21.5 mm,24 mm to 120 mm,5 X,,,,,,,,,,,,,,,,,,329 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic Lumix DMC-ZS25 16.1 Megapixel Compact Camera - Silver (3"" LCD - 20x Optical Zoom - Optical IS - 4896 X 3672 Image - 1920 X 1080 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,1.1 in,16.1 Megapixel,,Slow Sync|Auto Flash|Flash ON|Flash OFF|Red-eye Fix|Red-eye Reduction,,2.3 in,MOS,Optical,,3 in,,1920 x 1080,Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,17500000,http://www.panasonic.com,1 Year,6.03 oz,4.1 in,,Panasonic,Yes,Scene Modes:PortraitSoft SkinScenerySportsNight PortraitNight SceneryHandheld Night ShotHDRFoodBaby1Baby2PetSunsetHigh SensitivityStarry SkyGlass ThroughUnderwater3D Photo,Aperture Priority AEProgram AEShutter Priority AEManual,No,No,1.0,,Yes,DMC-ZS25,No,4x,4.30 mm to 86 mm,24 mm to 480 mm 24 mm to 480 mm,20 X,Yes,23.0,No,Yes,,Yes,No,Yes,ISO 6400,Vietnamese,30 Second,220 fps,Digital Camera,Lumix,,1/2000 Second,White Balance Adjustment (Except Auto)AutoDaylightCloudyShadeIncandescentWhite Set,,,,12 Elements in 10 Groups,4.0,58.42,20.0,6.03,ZS,Yes,Photofunstudio 9.0 AEAdobe Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Df Silver SLR Digital Camera (16.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Digital SLR Camera,2.6 in,16200000 pixels,,Accessory Shoe,Yes,4.3 in,CMOS,Sensor Shift,USB|HDMI,3.2 in,Nikon F,,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,16600000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1526/Nikon-Df.html,1 year(s),25 oz,5.6 in,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony DSC-RX100M II Cyber-Shot Black Digital Camera (20.2 MP, 3.6x Opt, SD Card Slot) Price Comparison at Buy.net",,Compact Camera,1.4 in,20.2 Megapixel,,Auto Flash|Flash ON|Flash OFF|Rear Curtain Sync|Slow Sync,,2.3 in,Exmor CMOS,Optical,,3 in,,1920 x 1080,Memory Stick Duo|Memory Stick PRO Duo|Memory Stick PRO High Speed Duo|Memory Stick PRO-HG Duo|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Eye-Fi Card,20900000,http://www.sony.com,1 Year,7.51 oz,4.0 in,,,,,,,,,,,,,14x,10.40 mm to 37.10 mm,28 mm to 100 mm,3.6 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha A5000 White Digital Camera Kit W/ 16-50 Mm Lens (20.1 MP, SD/SDHC/SDXC/MS PRO Duo/MS PRO-HG Duo Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Interchangeable Lens Camera,1.44 in,20100000 pixels,Water Resistant,Accessory Shoe|Built-in Flash,,2.5 in,CMOS,Sensor Shift,USB|HDMI,3 in,Sony E,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick PRO Duo|Memory Stick PRO-HG Duo,20400000 pixels,http://store.sony.com/a5000-mirrorless-dslr-camera-w-16-50mm-lens-zid27-ILCE5000L//cat-27-catid-All-Alpha-NEX-Cameras,1 year(s),7.4 oz,4.38 in,Yes,,,,,,,,,,,,,16 mm to 50 mm,24 mm to 75 mm,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung SL820 12.2 Megapixel Compact Camera - Black (3"" LCD - 5x Optical Zoom - 4000 X 3000 Image - 1280 X 720 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.9 in,12.2 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,2.3 in,CCD,Electronic|Optical,1 x USB|1 x Audio/Video Out|1 x HDMI|1 x DC Power In,3 in,Fixed,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|MMCplus,12400000,http://www.samsungusa.com,1 Year Limited,4.9 oz,3.7 in,,,,,,,,,,,,,5x,5 mm to 25 mm,,5 X,,,,,,,,,,,,,,,,,,100 MB,3.4 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha A6000 Silver Digital Camera Kit W/ 16-50 Mm Lens (24.3 MP, 3x Opt, MS PRO Duo/MS PRO-HG Duo/SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Interchangeable Lens Camera,1.81 in,24300000 pixels,Water Resistant,Built-in Flash|Accessory Shoe,,2.88 in,CMOS,Optical,USB|HDMI,3 in,Sony E,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card|Memory Stick PRO-HG Duo|Memory Stick PRO Duo,24700000 pixels,http://store.sony.com/a6000-mirrorless-camera-w-16-50mm-lens-zid27-ILCE6000L//cat-27-catid-All-Alpha-a6000-Cameras,1 year(s),10.1 oz,4.75 in,Yes,,,,,,,,,,,,4 X,,24 mm to 77 mm,3 X,,,,,,,,,,,,,,,,,,,3.5 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX260 HS Black Digital Camera (12.1 MP, 20x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1.3 in,12.1 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Rear Curtain Sync|Red-eye Reduction|Flash Exposure Compensation,,2.4 in,CMOS,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),12800000,http://www.usa.canon.com,1 Year Limited,7.34 oz,4.2 in,,,,,,,,,,,,,4x,4.50 mm to 90 mm,25 mm to 500 mm,20 X,,,,,,,,,,,,,,,,,,,,RoHS|WEEE|REACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot G16 Black Digital Camera (12.1 MP, 5x Opt, SD Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.59 in,12100000 pixels,,Built-in Flash|Accessory Shoe,,2.99 in,CMOS,Optical,USB|HDMI|A/V (RCA Composite),3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,12800000 pixels,http://www.usa.canon.com/cusa/support/consumer/digital_cameras/powershot_g_series/powershot_g16,1 year(s),12.6 oz,4.28 in,Yes,,,,,,,,,,,,4 X,6.1 mm to 30.5 mm,28mm to 140 mm,5 X,,,,,,,,,,,,,,,,,,,1.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D610 Black SLR Digital Camera Kit W/ 24-85 Mm & 70-300 Mm Lens (24.3 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3.2 in,24300000 pixels,,Built-in Flash|Accessory Shoe,Yes,4.4 in,CMOS,Sensor Shift,"USB|HDMI|Audio - Line Out (1/8"" Mini)",3.2 in,Nikon F,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,24700000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1540/D610.html,1 year(s),26.8 oz,5.6 in,Yes,,,,,,,,,,,,,24 mm to 85 mm,,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix S8600 Black Digital Camera (16 MP, 36x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,2.7 in,16000000 pixels,,Built-in Flash|Accessory Shoe,,3.2 in,CCD,Optical,USB|HDMI,3 in,,1280 x 720,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16440000 pixels,http://www.fujifilmusa.com/products/digital_cameras/s/finepix_s8600/features/index.html,1 year(s),13.4 oz,4.8 in,,,,,,,,,,,,,2 X,4.5 mm to 162 mm,25 mm to 900 mm,36 X,,,,,,,,,,,,,,,,,,,2.9 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
