<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Nikon D5200 (AF-S DX Nikkor 18-55mm & 55-300mm ED VR) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",24.7 MP,,18-55 mm & 55-300 mm,"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, & Basic Quality )",No,100 - 25600,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,"Focal Length Multiplier (1.5x), No. Of Focus Points (39), Eye Point (17.9 mm)","Yes, 2, 5, 10 or 20 sec","MOV, MPEG-4 / H.264","Auto, incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual, all except preset manual with fine-tuning","Yes, Primary (RGB) Color Filter","Yes, 3 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, HDMI Mini Type C",,,6000 x 4000 Pixels,"Yes, Built-in Stereo",,"Yes, PictBridge 1.0",Expeed 3,23.5 x 15.6 mm,CMOS,Auto modes (auto; auto (flash off)); programmed auto with flexible program (P); shutter-priority auto (S); aperture-priority auto (A); manual (M); scene modes (portrait; landscape; child; sports; close up; night portrait; night landscape; party/indoor; beach/snow; sunset; dusk/dawn; pet portrait; candlelight; blossom; autumn colors; food); special effects modes (night vision; color sketch; miniature effect; selective color; silhouette; high key; low key),"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, Hot-Shoe","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Olympus VG190 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F6.5 (T),,"Yes, Face Detect iESP, Spot, Tracking",16.0 MP,4x,4.7 - 23.5 mm (35 mm Equivalent to 26 - 130 mm),,"Yes, Digital Image Stabilization",100 - 1600,Olympus Lens,,,,5x,"Normal Focus Range (20 cm - Infinity(W), 60 cm - Infinity(T))",,AVI / Motion JPEG,,,,Yes,,"Yes, Upto 8 Faces Detected",,,"Yes, 5 cm",,,,,,,,"Magic Filter (POP ART, PIN HOLE, FISH EYE, SOFT FOCUS, PUNK, WATER COLOR, REFLECTION, MINIATURE)",,,1280 x 720 pixels at 30 fps,,,,,,,,,,,,,,,,,,26 mm Wide-angle,
"Samsung NX Mini (NX-M 9mm F3.5 ED) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5,AAC,"Yes, Contrast Detect, Multi-Area, Center, Selective Single Point, Single, Continuous, Touch, Face Detection, Live View",20.5 MP,,9 mm,"JPEG (Normal, Fine & Superfine JPEG Quality)","Yes, Lens Shift (depends on Lens), Modes (OIS Mode1 / Mode2 / OFF)",100 - 25600,Samsung NX M Prime Lens,Yes,1/16000 sec,30 sec,,"Focus Points (21), Focal Length Multiplier (2.7x), Tilting Articulated LCD, Live View, LCD Field Of View (100%), Guide Display, AF Assist Lamp, Lens Min. Aperture (F13.0), Lens Max. Aperture (F3.5), Number of Diaphragm Blades (7), Circular Aperture Diaphragm, Lens Construction (6 Elements, 5 Groups, 1 Aspherical element, 1 Extra-low Dispersion element, 1 Xtreme High Refractive element), Min. Focus (0.11 m), Max. Magnification (0.11x), Stepper Motor, No Lens Filter Thread","Yes, 2-30 Sec","MPEG-4, H.264","White Balance Presets (Auto, Daylight, Cloudy, Fluorescent (W, N, D), Tungsten, Flash, Custom, K (Manual)), Custom White Balance","Yes, Primary (RGB) Color filter","Yes, JPEG: 6fps, Burst (5M): 30fps / 15fps / 10fps selectable, RAW: 6fps",Yes,,Yes,,,,,,"Software (Adobe Photoshop Lightroom 5, iLauncher)",,,,,"Still Smart (Beauty Face, Best Face, Landscape, Macro, Action Freeze, Rich Tone, Panorama, Waterfall, Silhouette, Sunset, Night, Firework, Light Trace, Continuous Shot, Kids Shot, Food, Parties and Indoors), Picture Wizard (Standard, Vivid, Portrait, Landscape, Forest, Retro, Cool, Calm, Classic, Custom)",,,320 x 480 pixels,,,,"Yes, Multi, Center-Weighted, Spot","Yes, 1/200 sec",,Yes,32,,,,,,,,,,24mm wide-angle (Equivalent to 35mm),
"Nikon CoolPix S4400 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F6.5 (T),,,20.1 MP,4x,4.6 - 27.6 mm (35 mm Equivalent to 26 - 156 mm),,"Yes, Lens Shift Vibration Reduction",80 - 3200,NIKKOR Lens,,,,6x,Focus Range (50 cm - Infinity),,,,,,Yes,,,,16:9,"Yes, 5 cm - Infinity",5152 x 3864 Pixels,,,,EXPEED C2 Image Processing Engine,1/2.3 inch,CCD,"Scene auto selector, Subject tracking, Smart portrait system, Filter Effects (Fisheye, Miniature Effect, Selective Colour, Soft, Cross Screen, Painting)",,,1280 x 720 pixels,,,,,,,,,,,,,,,,,,26 mm Wide-angle,
"Canon EOS 7D (EF-S 15-85 mm IS) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detect, Phase Detect, Multi-Area, Single, Selective Single Point, Continuous, Face Detection, Live View",18 MP,,15 - 85 mm (35 mm Equivalent to 24 - 136 mm),"JPEG ( Fine, Normal Quality ), JPEG, RAW, M RAW, S RAW, RAW JPEG, EXIF 2.21, DPOF",No,100 - 12800,Canon EF / EF-S,Yes,1/8000,30 sec,,"Focal Length Multiplier (1.6x), No. of Focus Points (19)","Yes, 2 or 10 sec","H.264, MOV","White Balance Presets (6), Custom White Balance(1), Auto, Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash, Custom","Yes, Primary (RGB) Color filter","Yes, High-speed: 8 Shots at 1 fps, Low-speed: 3 Shots at 1 fps",Yes,"Yes, Auto, Manual, Dust Delete Data Appending",Yes,"Yes, Mini HDMI, Type-C",3:2,,5184 x 3456 Pixels,"Yes, Mono",,"Yes, PictBridge-compatible, Dgital Print Order Format Version 1.1 Compatible",Dual Digic 4,22.3 x 14.9 mm,CMOS,"Picture Style (Standard, Portrait, Landscape, Neutral, Faithful, Monochrome, User Def. 1-3), Live View Shooting, Remote Live View Shooting, Subject/Scene Mode, Manual Exposure Mode, Shutter Priority, Aperture Priority, WB Bracketing, AE Bracketing, Exposure Compensation","Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels,"Yes, Pop-Up","Yes, Hot-shoe, Wireless plus Sync connector","Auto, On, Off, Red-eye","Yes, Multi-Segment, Center-Weighted, Spot, Partial","Yes, 1/250 sec","Yes, Live View, Optical (Pentaprism) Viewfinder, Magnification (1x), Coverage (100%), Fixed Articulated LCD, Eye Point (22 mm), Built-in Dioptric Adjustment (3.0 - .0m-1), Fixed Focussing Screen, Quick-return half mirror",Yes,25,,,,,,,,,,,
"Panasonic Lumix DMC S3 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.1 (W) - F6.5 (T),,"Yes, Live View, Contrast Detect (sensor)",14.1 MP,4x,5 - 20 mm (35 mm Equivalent to 28 - 112 mm),"JPEG, DCF, EXIF 2.3 (Fine & Standard Quality)","Yes, Mega Optical Image Stabilization",100 - 6400,"Lumix DC Vario, 6 Elements in 5 Groups (3 Aspherical Lenses, 5 Aspherical Surfaces)",No,1/1600 sec,8 sec,4x,"Focal Length Multiplier (5.6x), Live View, Fixed Articulated LCD, No. Of Focus Points (11), Macro Focus Range (5 cm), Normal Focus Range (50 cm), Auto Focus Assist","Yes, 2 or 10 sec",MPEG-4,"Auto, Daylight, Cloudy, Shade, Incandescent, White Set, Custom White Balance","Yes, Primary (RGB) Color Filter","Yes, 2 fps",Yes,,Yes,,"4:3, 3:2, 16:9","Yes, 5 cm",4320 x 3240 Pixels,,"PHOTOfunSTUDIO 6.0 Edition, QuickTime, Adobe Reader",,Venus Engine IV,6.08 x 4.56,CCD,"Exposure Compensation, Subject/Scene Mode, Portrait, Soft Skin, Self-Portrait, Scenery, Panorama Assist, Sports, Night Portrait, Night Scenery, Food, Party, Baby, Sunset, High Sensitivity, Fireworks, Beach, Snow",,,1280 x 720 pixels at 30 fps,Yes,No,"Auto, Auto with Red-eye Reduction, Slow Sync, Red-eye Reduction, Forced On, Forced Off","Yes, Intelligent Multiple",,,Yes,6,,,,"0.4 - 3.3 m (W), 1.0 - 1.6 m (T)",,,,,,28 mm Ultra Wide-angle,
"Nikon CoolPix S100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.9 F4.8,"WAV, AAC","Yes, Contrast Detect TTL AF",16 MP,4x,5 - 25 mm (35 mm Equivalent to 24 - 140 mm),"JPEG, EXIF, MPO",,125 - 3200,NIKKOR ED Glass lens,,1/1500 sec,4 sec,5x,,"Yes, 2 and 10 sec",MPEG-4 AVC/H.264,"Auto, Preset manual, Daylight, Incandescent, Fluorescent, Cloudy, Flash",,"Yes, 8.1 fps up to 3 shots (Continuous H), 1.4 fps (Continuous L)",,,Yes,,,"Yes, 1 cm",,,,,,,,"Auto mode, Scene mode, Smart portrait, Movie mode, Easy auto mode",,,1920 x 1080 pixels at 30 fps,,,,,,,Yes,29,,,,,,,,,,,
"Nikon Coolpix S8100 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),,"Yes, Contrast Detection with Face Priority and Subject Tracking",12.1 MP,4x,5.4 - 54.0 mm / F3.5-5.6,JPEG,"Yes, Optical",160 - 3200,NIKKOR ED Glass Lens,Yes,1/2000 Sec,2 Sec,10x,,"Yes, 10 sec",MOV Movie,"Auto, Preset manual, Daylight, Incandescent, Fluorescent, Cloudy, Flash",No,"Yes, Yes, 10 fps up to 5 shots",Yes,,Yes,,,"Yes, 1 cm",,,,,,,,"Auto Mode, Scene mode, Scene Auto Selelctor, Night Landscape, Night Portrait, Backlight, Subject tracklight, Auto continous shooting. Using mode dial",,,,Yes,No,"Auto, Auto with red-eye reduction, Off, Fill flash, Slow sync","Yes, Multi, Center-Weighted, Spot",,,Yes,24,,,,"0.5 m - 4.0 m (W), 0.5 m - 2.5 m (T).",,,,,,30 mm Wide Angle,
"Panasonic Lumix DMC FZ70 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F5.9 (T),,"Yes, Contrast Detect, Multi-Area, Center, Tracking, Single, Face Detection, Continuous",17 MP,2x,3.5 - 215 mm (35 mm Equivalent to 20 - 1200 mm),"JPEG (Fine, Standard Quality )","Yes, Power Optical Image Stabilization",100 - 6400,Lumix DC Vario Aspherical Lens,Yes,1/2000 sec,8 sec,60x,"Normal Focus Range (30cm), Macro Focus Range (1cm), No. of Focus Points (23)","Yes, 2 or 10 sec","MPEG-4, AVCHD","White Balance Presets (5), Custom White Balance(2)",,,,,Yes,,,,4608 x 3456 Pixels,,,,Venus Engine,1/2.3 inch (6.17 x 4.55 mm),CMOS,,,,,,,,"Yes, Multi-Pattern, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Sony CyberShot DSC WX60 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 (W) - F/6.3 (T),,"Yes, Center Weighted AF",16.2 MP,32x,4.5 - 36 mm (35 mm Equivalent to 25 - 200 mm),"JPEG, DCF, DPOF",,100 - 12800,Carl Zeiss Vario-Tessar 8,,1/1600 sec,4 sec,8x,,"Yes, 2 and 10 sec","AVCHD 2.0, MPEG-4 AVC","Auto, Daylight, Cloudy, Fluorescent, Incandescent, Flash, One Push, One Push Set",,"Yes, 10 Shots at 10 fps",Yes,,Yes,,"16:9, 4:3","Yes, 5 cm (W) 150 cm (T)",4608 x 3456 Pixels,,,,,1/2.3 inch,Exmor R CMOS,"Superior Auto, Intelligent Auto, Easy Shooting, Program Auto, Movie Mode, Panorama, Scene Selection, Picture Effect, 3D, Background Defocus, Intelligent Sweep Panorama",,,1920 x 1080 pixels,,,,,,,Yes,19,,,92.3 (W) x 52.5 (H) x 22.5 (D) mm,,SD / SDHC / SDXC / microSD / microSDHC / microSDXC / Stick Duo / Stick PRO Duo / Stick PRO Duo (High Speed) / Stick PRO HG Duo / Stick Micro / Stick Micro (Mark 2),,Point & Shoot,Yes,"124 g (with Battery and Meomry Card), 108 g (Body Only)",25 mm Wide angle,48.0 MB
"Nikon D3200 (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.0 (W) - F5.6 (T),Linear PCM,"Yes, TTL Phase Detection",24.2 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG, NEF (RAW), NEF (RAW) JPEG, EXIF 2.3, DCF 2.0, DPOF ( Fine, Normal, Basic Quality )",No,100 - 12800,Nikon F mount (with AF contacts),Yes,1/4000 sec,30 sec,3x,No. Of Focus Points(11),"Yes, 2, 5, 10, 20 sec","MPEG-4, H.264, MOV","Auto, Incandescent, Fluorescent (7 Types), Direct Sunlight, Flash, Cloudy, Shade, Preset Manual, White Balance Presets (12), Custom White Balance",,"Yes, 4 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,"Yes, Type C mini-pin HDMI connector",,Yes,6016 x 4000 Pixels,"Yes, Monaural",,"Yes, PictBridge 1.0",Expeed 3,APS-C (23.2 x 15.4 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,"Yes, Auto, portrait, child, close up, night portrait: Auto flash with auto pop-upP, S, A, M: Manual pop-up with button release","Yes, Hot-shoe, Wireless plus sync connector","Auto, auto with red-eye reduction, auto slow sync, auto slow sync with red-eye reduction, fill-flash, red-eye reduction, slow sync, slow sync with red-eye reduction, rear-curtain with slow sync, rear-curtain sync, off","Yes, Matrix Metering: 3D Color Matrix Metering II (Type G and D Lenses), Color Matrix Metering II (Other CPU Lenses), Center-weighted, Spot","Yes, 1/200 sec",,Yes,26,Yes,,,,,,,,,,
"Olympus SZ16 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.0 - F/6.9,,"Yes, TTL Auto Focus",16 MP,4x,4.5 - 108 mm (35 mm Equivalent to 25 - 600 mm),"JPEG, DCF, EXIF 2.2, DPOF, PIM III",,100 - 6400,Olympus Lens,,1/2000 sec,1/4 sec,24x,,"Yes, 2 and 12 sec",QuickTime Motion JPEG,"Auto, Preset (Overcast, Sunlight, Tungsten, Flourescent 1)","Yes, Primary (RGB) Color Filter",,Yes,,Yes,"Yes, Micro HDMI (Type D)","4:3, 3:2, 16:9, 1:1","Yes, 3 cm",4608 x 3456 Pixels,"Yes, Mono",,Yes,,1/2.3 inch,CMOS,"i-Auto, Programme Automatic, Beauty, Super Macro, Scene Modes, Magic Filter, Panorama, P Movie Clip","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,Yes,39,,,107.9 (W) x 69.7 (H) x 39.9 (D) mm,,,,Advance Point and shoot,,227 g (with Battery and SD Meomry Card),25 mm Wide angle,
"Panasonic Lumix DMC F3 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 F6.2,,"Yes, Normal / Macro",12.1 MP,4x,f=5-20 mm (28-112 mm in 35 mm equiv.),"JPEG, EXIF 2.2, DCF",,80 - 1600,Lumix DC Vario,Yes,Still: Approx. 8 1/1000 sec,8 Sec,4x,,"Yes, 2 and 10 sec","VGA, QVGA, WVGA","Auto / Daylight / Cloudy / Shade / Halogen / White Set (Selectable at Portrait, Soft Skin, Self-Portrait, Sports, Baby, Pet, High Sensitivity, Highspeed Burst)","Yes, Primary (RGB) Color Filter","Yes, 6 fps (recorded in 3m for 4:3, 2.5m for 3:2, 2m for 16:9)",,No,"Yes, Photo",,,"Yes, Macro / Auto Scene Mode : Wide 20 cm infinity / Tele 70cm infinity",,,,,,,,Max. 5 images (Standard mode),,,,"Yes, Auto, Auto/Red-eye Reduction, Forced On, Forced Off",No,"Portrait, Soft Skin, Self-Portrait, Scenery, Sports, Night Portrait, Night Scenery, Food, Party, Candle Light",,,,,5,,,95.9 (W) x 53.9 (H) x 22.0 (D) mm,,,,Point & Shoot,,110 g (without Battery and SD Memory Card),,
"Canon PowerShot SX600 HS Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.8 (W) - F6.9 (T),,"Yes, Contrast Detect (Center), Center, Face Detection, Multi-Area",16 MP,,25 - 450 mm,JPEG ( Fine & Superfine JPEG Quality ),"Yes, Optical",,,,1/2000 sec,15 Sec,18x,"5 cm Macro Focus Range, 9 Focus Points","Yes, 10 or 2 seconds, Custom",H.264,"5 White Balance Presets, Custom White Balance",,,,,Yes,,"1:1, 4:3, 3:2, 16:9",,4608 x 3456 Pixels,,,,DIGIC 4+,1/2.3,BSI CMOS,,,,,Yes,"Yes, Canon High Power Flash HF-DC2","Auto, Manual Flash On / Off, Slow Synchro","Yes, Multi, Center-Weighted, Spot",,,,,,,,50 cm 3.5 m (W) / 1.0 m 2.0 m (T),,,,,,,
"Panasonic HX DC3  Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 (W) - F/3.7 (T),AAC Stereo,"Yes, Auto",14.3 MP,120x,6.8 - 34 mm (35 mm Equivalent to 39.9 - 199.5 mm),"JPEG, EXIF 2.2, DCF",,50 - 1600,,Yes,1/1500 sec,1/2 sec,5x,,"Yes, 2 and 10 sec",MPEG-4 AVC / H.264,"Auto, Indoor1, Indoor2, Sunny, Cloudy, White Set",,,,,Yes,,"16:9, 4:3",,4352 x 2448 Pixels,,,,,1/2.33 inch,MOS,,,,1920 x 1080 pixels at 30 fps,,,,,,,,,,,,,,,,,,,
"Canon EOS 60D (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View.",19 MP,1.5x 10x,,"JPEG ( Fine, Normal Quality )",No,100 - 12800,Canon EF / EF-S Lens Mount,Yes,1/8000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Focus Modes ( One-Shot AF, AI Servo AF, AI Focus AF, Manual focusing ), AF Assist Beam","Yes, 2 or 10 sec",MPEG-4 AVC / H. 264,"White Balance Presets (6), Custom White Balance, Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash), Custom, Colour temperature setting",,"Yes, 5.3 fps",Yes,"Yes, Auto, Manual, Dust Delete Data appending",Yes,"Yes, Mini HDMI",,,5184 x 3456 Pixels,"Yes, Mono",,Yes,DIGIC 4,APS-C (22.3 x 14.9 mm),CMOS,,"Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Retractable, auto pop-up flash","Yes, Hot-shoe, Wireless plus sync connector","Auto, On, Off, Red-eye","Yes, Multi-Pattern, Center-Weighted, Spot, Partial","Yes, 1/250 sec","Yes, Fully Articulated LCD, Magnification (0.95x), Coverage (96%), Optical Pentamirror Viewfinder Type, Live View, Eye Point (22 mm), Built-in Dioptric Adjustment, Interchangeable Focussing Screen, Reflex Mirror ( Quick Return )",,25,Yes,,,13.0 m,,,,,,,
"Nikon CoolPix L610 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.3 - F/6.6,"WAV, AAC Stereo","Yes, Contrast Detect AF",16 MP,2x,4.5 - 63 mm (35 mm Equivalent to 25 - 350 mm),"JPEG, EXIF 2.3, DCF, DPOF, MPF",,125 - 3200,NIKKOR Lens,,1/1600 sec,1 sec,14x,,"Yes, 10 sec","MOV, MPEG-4 AVC, H.264","Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,"Yes, 1.9 fps",Yes,,Yes,"Yes, USB Mini HDMI","16:9, 4:3","Yes, 1 cm (W)",4608 x 3456 Pixels,"Yes, Stereo","Windows 7 SP1, Windows Vista SP2, Windows XP SP3, MAC OS X 10.6, MAC OS X 10.7",Yes,,1/2.3 inch,CMOS,"Easy Auto, Scene (Portrait, Landscape, Sports, Night Portrait, Party / Indoor, Beach, Snow, Sunset, Dusk / Dawn, Night Landscape, Close-up, Food, Museum, Fireworks Show, Black and White Copy, Back Lighting, Easy Panorama, Pet Portrait, 3D Photography), Special Effects, Smart Portrait, Auto","Yes, Audio / Video Output (NTSC, PAL)",Yes,1920 x 1080 pixels at 30 fps,,,,,,,,30,,,108.0 (W) x 68.4 (H) x 34.1 (D) mm,,,,Point & Shoot,,240 g (Including Battery and SD Memory Card),25 mm Wide angle,
"Sony Alpha A3000 (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/3.5 - F/5.6,Dolby Digital (AC-3) / MPEG-4 AAC-LC,"Yes, Contrast Detect AF",20.1 MP,4x,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG (DCF 2.0, EXIF 2.3, MPF Baseline Compliant), RAW + JPEG, RAW (Sony ARW 2.3 Format)","Yes, Optical Image Stabilization",100 - 16000,Sony E-mount Lens,Yes,1/4000 sec,30 sec,3x,,"Yes, 2 and 10 sec",AVCHD / MP4 (MPEG-4 AVC (H.264)),"Auto, Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash, Color Temperature Range 2500 to 9900 K, Custom","Yes, Primary (RGB) Color Filter","Yes, 2.5 fps (Continuous Mode), 3.5 fps (Speed Priority Continuous Mode)",,"Yes, Charge Protection Coating on Optical Low-pass Filter",Yes,,"16:9, 3:2",Yes,5456 x 3632 Pixels,,"Windows XP SP3 (64-bit), Windows Vista SP2, Windows 7 SP1, Windows 8, Mac OS X v10.5 v10.8",,,23.5 x 15.6 mm,Exmor APS HD CMOS,,,,1920 x 1080 pixels,,,,,,,Yes,,,,128 (W) x 90.9 (H) x 84.5 (D) mm,,,,SLR,,"353 g (Main Unit Only), 411 g (with Battery and Memory Stick Pro Duo",,
"Vivitar DVR 548HD Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,,,8.1 MP,,,JPEG,"Yes, Anti-Shake Reduction",,,,,,,,,AVI (M-JPEG),"Automatic, Presets",,,,,"Yes, Photo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pentax Q7 (5-15 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F4.5 (T),,"Yes, Contrast Detect, Selective Single Point, Tracking, Face Detection, Live View",13 MP,,5 - 15 mm (35 mm Equivalent to 23.5 - 70.5 mm),"JPEG ( Good, Better & Best Quality )","Yes, Sensor shift Shake Reduction",100 - 12800,Pentax Q,,1/2000 sec,30 Sec,,Focal Length Multiplier (4.7x),"Yes, 2, 12 sec","MPEG-4, H.264","White Balance Presets (9), Custom White Balance, TTL by CMOS image sensor, Daylight, Shade, Cloudy, Fluorescent Light (D: Daylight Color, N: Daylight White, W: Cool White, L: Warm White), Tungsten, Flash, CTE, Manual (13)","Yes, Primary (RGB) Color filter",,,,Yes,"Yes, Micro HDMI, Type D",,,4000 x 3000 Pixels,"Yes, Mono",,,,1/1.7 inch (7.44 x 5.58 mm),BSI CMOS,"Auto Picture Mode ( Standard, Portrait, Landscape, Macro, Night Scene Portrait, Night Scene,Blue Sky, Forest ), Scene Mode ( Portrait, Landscape, Macro, Moving Object, Night Scene Portrait,Sunset, Blue Sky, Night Scene,Night Scene HDR*, Night Snap, Food )","Yes, Analog Video Output (NTSC, PAL)",Yes,,"Yes, Built-in retractable P-TTL flash",Yes,"P-TTL, Red-eye Reduction, Slow-speed Sync, Trailing Curtain Sync","Yes, Multi-Pattern, Center-Weighted, Spot",,,,,Yes,,,4.9 m,,,,,,,
"Sony Alpha SLT A35K (18-55 mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),"Dolby Digital (AC-3), AAC-LC, 2ch","Yes, Focus Modes ( Single-shot AF, Auto AF, Continuous AF, Manual Focus ), TTL phase-detection system, CCD Line Sensors, AF Illuminator ( Range: 1 - 5m )",16.5 MP,,18 - 55 mm (35 mm Equivalent to 27 - 82.5 mm),"JPEG (DCF2.0, Exif 2.3), RAW (ARW 2.2 format), RAW + JPEG, 3D still image MPO","Yes, Image-sensor shift mechanism",100 - 12800,"Sony A-mount lens, Minolta and Konica Minolta AF lenses",Yes,1/4000 sec,30 sec,,Focal Length Multiplier (1.5x),"Yes, 2, 10 sec","AVCHD, MPEG-4","Auto, Preset (Daylight, Shade, Cloudy, Incandescent, Fluorescent, Flash), Colour Temperature (2500 9900K with 19-step Magenta / Green compensation)","Yes, Primary (RGB) Color filter","Yes, Up to 7 fps in Tele-zoom Continuous Advance Priority AE mode, Up to 5.5 fps in Continuous mode",,"Yes, Charge protection coating on low pass filter and image-sensor shift mechanism",Yes,,"3:2, 16:9",Yes,4912 x 3264 Pixels,,"Windows XP SP3, Windows Vista SP2, Windows 7, Mac OS X (v10.4 - 10.6)",,BIONZ Image Processing Engine,APS-C (23.5 x 15.6 mm),Exmor APS HD CMOS Image Sensor,"Portrait, Landscape, Macro, Sports, Sunset, Night Portrait, Night View, Hand-held Twilight",,,1920 x 1080 pixels at 25 fps,"Yes, Pop-Up",Yes,"Auto (Flash-off), Auto, Fill flash, Red-eye reduction, Rear Sync, Slow sync, High-speed sync","Yes, Multi Segment, Center-weighted, Spot","Yes, 1/160 sec",,Yes,,,,,1 - 5 mm,,,,,,,
