3d mode,<page title>,age filter code,age range maximum,age range minimum,alaska hawaii 1 day upcharge or override,alaska hawaii 2 day upcharge or override,alaska hawaii ground upcharge or override,alaska hawaii upcharge or override,anti shake mode,aperture,assembled dimension width,assembled dimension width uom,bpp bucket,bpp eligible,bubble control,builtin memory,camera color,camera pixel count,camera style,can be giftwrapped,chamber in,channel availability,choke,color,compatible battery,continuous advance fps,corp national status,customer purchase limit,date 1st available online,depth inches,digital zoom,effective megapixel count,electronic flash,exposure modes,fits,flash,focus modes,freight class,fulfillment option,gauge,hazmat warning,hdmi mini,height inches,image format,interest,keyfeatures,lcd display size inches,lcd viewer,length in,lens,lower 48 1 day upcharge or override,lower 48 ground upcharge or override,lower 48 upcharge or override,lower48 2 day upcharge or override,manufacturer age range,manufacturer part number,manufacturers age range maximum,manufacturers age range minimum,megapixels,model,movie mode,notify me when available,optical zoom,outlet,payrunnercarteligible,play_type,power supply type,preschool,product demo url,registerable,removable memory type,scene modes,self timer,sensitivity,sensor,shutter speed,sku,skuprice,sound,specification,still image resolution max,still picture capture,storage media type,style,taxable,trackinglinkbaseurl,trackinglinkuri,tru age range,tru skn,type,usb port,video movie capture,voltage,weight pounds,white balance,width inches,camera type,interchangeable lens camera format,display screen,focus mode,internal memory,memory type,pictbridge,pixel count,resolution,select camera style,select media,standard warranty,compatible with macintosh,compatible with windows pc,manufacturers warranty hardware,optical viewfinder,screen size,analog audio video mini,card slot,digital slr,filterwide angle capability,hdmi,image stabilization,kit,lens mount,batteries,batteries required,battery quantity 1,battery type 1,etoys shoprunner eligible,faos shoprunner eligible,iship eligible,payrunnerpdeligible,primary_category,skills,trus shoprunner eligible,upceanisbn,accessory shoe,battery charger,viewfinder,microphone,speakers,text attribute 1,text attribute 2,text attribute 3,text attribute 4,text attribute 5,waterresistant,promo financing available,lcd size in,touch screen,ac adapter,batteries needed,35mm equivalent zoom ratio,exposure compensation,external flash,flash modes,macro focus,maximum aperture,records video,sgpmoviemode,sgpopticalzoom,sgpresolution,still image file formats,wifi mode,country of origin,countryornowool,focus distance,metering,print modes,storage media,tru age filter,video output,touch panel lcd,aspect ratio,boy girl,brand name,camera resolution,dimensions,effective resolution,image formats,interfacesports,lens type,manufacturer,manufacturer website address,product type,total resolution,viewfinder type,finish,weight,image stabilizer,shooting modes,shutter speed range,charger,face detection,espn shoprunner eligible,fog shoprunner eligible,team shoprunner eligible,tsa shoprunner eligible,hd video,wifi networking,hdmi version,price range,aperture range,battery life,battery type,depth,focal length,height,interface,width,waterproof,body only,safety warnings,remote control,aa batteries,copyright,display resolution,display screen type,product details,toddler,brand,select,batteries included,content complete,manual controls,35mm digital slr lenses fits,fits camera made by,lens coverage,lens series,battery,camera flash,dimensions wxdxh,display,expansion slots,exposure metering,focus adjustment,integrated memory,lens aperture,lens system,light sensitivity,maximum shutter speed,memory,min focus range,minimum shutter speed,optical sensor resolution,optical zoom measurement,product description,red eye reduction,sensor resolution,supported battery,supported flash memory,technology,timer,unique features,imaginarium,product dimensions,product weight,lamp life,lamp power,laptop accessory type
Stills only,(not Provided) | Nikon Coolpix S3300 Digital Camera - Black Reviews - Buzzillions.com,"050,060 050 070 050,060,070,080 040,050 080",120 60 168 84 300,84 36 144 60 180,99.99,79.99,59.44 40.9 70.77 77.86 73.6 69.99,F,Yes,f/3.3-6.5 f/3.5-5.9,0,IN,3781960,Yes,New,26MB 42MB,Pink Purple Red,16 Megapixel,Point & Shoot with Zoom Lens,Yes,3.0,Online Only,"Fixed Choke, Improved Cylinder Fully Rifled Rem Choke 2",Black White Blue,EN-EL19 EN-EL12,1.3 6.9,X A,4,26-JUN-11 13-MAY-12 27-JUL-11 25-MAY-10 10-MAY-11 27-JUN-11 27-SEP-12 28-JUL-11 29-AUG-11 30-AUG-11,0.8 1.3,4,16,Built-in,Program Auto,Nikon,Built-in,Auto Center AF Face Priority Focus lock Manual Subject tracking,ANY TRU_SHPG,"SP SP,ISP",12 20,N,Side Output,2.3 2.5,JPEG,Outdoors,"12 Ga. 3"" Chamber 21"" Cantilever Barrel Matte Finish Polished Blue Finish",2.7 3.0,2.7 Inch 3 Inch,18.5 20 21 23 28,Zoom Lens,39.99,18 24 24.96 12 15.99 31.12,F,29.99,7 years and up 5 years and up 5 - 7 years 12 years and up 15 years and up 5 - 12 years 5 - 15 years 3 - 12 years,CPS3300SLVTRU 98201 26611 26601 26311 26301 26201 24311 24301 23581 23461 23312 23311 22031 22021,84 300 180 144,84 60 36 180 144,16,Wingmaster&reg; Standard Contour Special Purpose Deer Special Purpose Premier Deer Express&reg; Deer Express Deer Cantilever w/Scope Cantilever,MPEG4 MOV AVI Motion JPEG 960 x 540 320 x 240 1920 x 1080 1280 x 720 640 x 480,Yes,6x 6 18x 18,Yes,Yes,Outdoor,Camera Batteries,Yes,http://www.youtube.com/watch?v=_6zaK3pzVys,Yes,Secure Digital SDXC SDHC,Party/Indoor Pet Portrait Scene Auto Selector Sports Sunset Landscape Food Fireworks Dusk/Dawn Copy Close-up Night Landscape Beach/Snow Back Light 3D Photo Museum Night portrait Panorama Assist,10 Seconds 2 Seconds,ISO 125-3200 ISO 80-3200,CCD CMOS,1/2000-1 sec.,182155 211170 211178 211179 211180 211186 211187 211188 211189 211191 211192 211193 211194 238935 238936 238951 250793 211195,109.9900 114.9900 129.9900 139.9900 159.9900 175.9900 189.9900 199.9900 349.9900 44.9900 59.9900 74.9900 99.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,018208263158 22031 23241 23251 23311 23312 23461 23581 24301 24311 26201 26211 26301 26311 26681 26691 26770 26851,Y,http://www.beachaudio.com http://www.gandermountain.com http://www.meijer.com,/catalog/ /modperl/track.cgi?VPWRREV_401175+/modperl/product/details.cgi?r=view&i=401175&aID=503AH /modperl/track.cgi?VPWRREV_401216+/modperl/product/details.cgi?r=view&i=401216&aID=503AH /modperl/track.cgi?VPWRREV_402873+/modperl/product/details.cgi?r=view&i=402873&aID=503AH /modperl/track.cgi?VPWRREV_402876+/modperl/product/details.cgi?r=view&i=402876&aID=510J1I /modperl/track.cgi?VPWRREV_402877+/modperl/product/details.cgi?r=view&i=402877&aID=510J1I /modperl/track.cgi?VPWRREV_402879+/modperl/product/details.cgi?r=view&i=402879&aID=510J1I /modperl/track.cgi?VPWRREV_402880+/modperl/product/details.cgi?r=view&i=402880&aID=510J1I /modperl/track.cgi?VPWRREV_402884+/modperl/product/details.cgi?r=view&i=402884&aID=510J1I /modperl/track.cgi?VPWRREV_402885+/modperl/product/details.cgi?r=view&i=402885&aID=503AH /modperl/track.cgi?VPWRREV_402888+/modperl/product/details.cgi?r=view&i=402888&aID=510J1I /modperl/track.cgi?VPWRREV_402890+/modperl/product/details.cgi?r=view&i=402890&aID=510J1I /product_info.php?products_id=156015&src=pwr,12 - 14 years 15 years and up 3 - 5 years 5 - 10 years 5 - 7 years 7 years and up,173269 183382 183390 183420 183428 183536 217104 741364 741429 742061 742069 752238 769272 769780 840450,2 - 7 x 32 scope Cantilever Scope Mount Rifle Sight Ventilated Rib,Mini-B,1280x720 1920x1080,3.7 V DC,0.47,Flash Fluorescent Incandescent Manual Auto Cloudy Daylight,3.8 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panasonic Lumix DMC-FX12 Digital Camera Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60316 Black,188.9900,,Description,,,,DMCFX12K,Y,http://www.meijer.com,/catalog/,,,,,,,,,,,,,,,,,7 Megapixel,,Point & Shoot with Zoom Lens,"Internal Memory,Multimedia Cards,Secure Digital Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,(not Provided) | Fujifilm 16229347 FinePix HS30EXR 16MP Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/2.8-11,,,,,,,Black,16 Megapixel,Point & Shoot with Zoom Lens,,,,,Black,NP-W126,8,,,,4.9,,16.0,Built-in,,,,,,,,,Side Output,3.8,JPEG RAW,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,,,,30x,,,,,,,,Secure Digital SDHC SDXC,,,ISO 100-12800,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,Mini-B,1920x1080,,1.5,,5.1,,,,,,,,,,,,,,,,Electronic,,,,,58mm,,CMOS Shift + High ISO,,,,,,,,,,,,,,,Yes,BC-W126,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Ready,(not Provided) | Panasonic Lumix DMC-GH2 Digital Camera w/14-140mm Lens (Black) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,16 Megapixel,Interchangeable Lens DSLR's,,,,,,DMW-BLC12,,,,,2.98,4x,16.05,Built-in,Shutter-Priority AE Program AE Manual Auto Aperture-Priority AE,,On Built-in with Red Eye Reducer Auto Forced Flash Slow Synchro Off,AF Tracking AF Lock Face Detection 23-area-focusing Quick AF Continuous AF,,,,,Yes,3.53,JPEG RAW,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,DMCGH2,320x240 Motion JPEG 1280 x 720 848x480 640 x 480 1920 x 1080,,10x,,,,,,,,SDXC SDHC Secure Digital,Indoor Sunset Portrait Night Scenery Close-up Party Scenery Soft Skin Flower Baby Sports Food Night portrait,10 Seconds 2 Seconds,ISO 160-12800,,1/4000 - 60,,,Yes,Description,4976 x 2800,Yes,SD - SDHC - SDXC,,,,,,,,Yes,1920x1080,,0.9,Flash Halogen Shade White Set Cloudy Daylight Auto,4.88,,,"3""",Auto,,Secure Digital High Capacity (SDHC) Card,,,16.1 Megapixel,,,1 Year Limited,,,,,,,,,,,,,Micro Four Thirds,,,,,,,,,,,,,Yes,,,Built-in Stereo,Mono Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Why Do Batteries Die Fast On Canon A1000 | Canon PowerShot A1000 IS Grey Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/2.7 (W) - f/5.6 (T),,,,,,,Brown Blue Purple Gray,,,,,,,Gray Purple Blue,,1.3,,,,1.22,4x 4,10.3,Built-in,Exposure Lock Program AE,,Slow Synchro On Off Built-in with Red Eye Reducer Automatic,Manual Auto,,,,,,2.46,JPEG,,,2.5,2.5 Inch,,Zoom Lens,,,,,,,,,10.0,,320x240 160x120 AVI 640 x 480,,4x,,,,,,,,Secure Digital Multimedia Card plus MultiMedia Card HC MMC Plus SDHC,Sunset Flower Indoor Fireworks Kids & Pets Beach/Snow Automatic Night Scene Landscape Portrait,2 Seconds Yes 10 Seconds,ISO 80-1600,,15-1/1600 sec,147889 Blue,179.9900,Yes,Description,3648 x 2736,,Secure Digital (SD) / MultiMedia Card (MMC),CANPSA1000IS,Y,http://www.beachaudio.com http://www.meijer.com,/catalog/ /product_info.php?products_id=157278&src=pwr,,,,Mini-B,VGA - Up to 640x480,,.3,Tungsten Bulb Presets Fluorescent H Fluorescent Daylight Custom Cloudy Auto,3.76,,,,Auto Focus,,,Compatible,10 Megapixel,,Point & Shoot with Zoom Lens,"Multimedia Cards,Secure Digital Cards(SD),Secure D",1 Year Limited,,,,,,,,,,,Optical Image Stabilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panasonic Lumix | Panasonic Lumix DMC-ZS8 Digital Camera (Black) Reviews - Buzzillions.com,"050,060,070,080",300,84,,,,,Yes,,,,3781960,Yes,,,Black Silver,14 Megapixel,Point & Shoot with Zoom Lens,,,Online Only,,,,,X,,12-APR-11 11-APR-11,,4x,,Built-in,,,,,TRU_SHPG,SP,,N,,,,,,,3 Inch,,Zoom Lens,,,,,7 years and up,DMCZS8S DMCZS8K,300,84,14 Megapixels,,,Yes,16x,,,,,,,Yes,,,,,CCD,,214730,299.9900,Yes,Description,,Yes,SD - SDHC - SDXC,PANDMCZS8BLACK,Y,http://www.meijer.com,/catalog/,7 years and up,739099 739094,,,1280x720,,,,,Point & Shoot with Zoom Lens,,"3""",Auto,70 MB,Secure Digital (SD) Card,,,14.1 Megapixel,,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casio Cameras | Casio Exilim EX-Z35 Point & Shoot Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,16MB,Blue Pink Black Purple Silver,,,,,,,,,,,,,,4x,,Built-in,,,,,,,,,,,,,,,2.5 Inch,,Zoom Lens,,,,,,,,,12.1,0007976749355,,,3x,,,,,,,,,,,,,,196151,109.9900,Yes,Description,,Yes,SD - SDHC,EXZ35BK,Y,http://www.meijer.com,/catalog/,,,,,848x480,,,,,,,"2.50""",Auto-focus,16.90 MB,Secure Digital (SD) Card,,12 Megapixel,12.1 Megapixel,Point & Shoot with Zoom Lens,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodak C123 Blue Easyshare Sport Camera | Kodak EasyShare Sport 12 MP Waterproof Digital Camera Reviews - Buzzillions.com,"070,080",300,168,,,,,,,,,3781960,Yes,New,,Red Silver / Gray Blue,12 Megapixel,Point & Shoot with Fixed Lens,Yes,,Online Only,,,,,A,,07-OCT-11 30-MAY-11,,5x 4x,,Built-in,,,,,ANY,"SP SP,ISP",,N,,,,,,,2.4 Inch,,Included,,,,,14 years and up,C123RED C123BLUE,300,168,12.0,,,Yes,,Yes,Yes,,,,,Yes,,,,,,,,,,Description,,Yes,SD - SDHC,,,,,14 years and up,770621 762856,,,VGA - Up to 640x480,,,,,,,"2.4""",Auto,32 MB,Secure Digital (SD) Card,Compatible,,12 Megapixel,,,1 Year,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,12MP,Display: 2.4 in. 112K TFT color LCD,"Storage: 32 MB internal memory[1]available, SD/SDHC card expansion slot",Zoom: 5X advanced digital,"Weather/Outdoor ratings: waterproofIEC 60529 IPX8, up to 10 ft. DustproofIEC 60529 IP6X",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fujifilm 16318497 Finepix Xp60 Digital Camera [green] Reviews | Buzzillions.com,"050,060",108,84,,,,,Yes,,,,3781960,Yes,,85MB,,,,,,Online Only,,Yellow Green,,,A,,18-FEB-13,,10x 2x,,Built-in,,,,,TRU_SHPG,SP,,N,,,,,,,2.7 Inch,,Zoom Lens,,,,,7 years and up,FPXP60BLU FPXP60YEL FPXP60GRN FPXP60RED,300,84,16,,,Yes,5x,,,,,,http://syndicate.sellpoint.net/Syndicate/AptViewer?play=IEYFGY-501712 http://syndicate.sellpoint.net/Syndicate/AptViewer?play=IQ9BT6-501709,Yes,,,Yes,,CMOS,,280880 Yellow 304527 Green,249.9900 199.9900,Yes,Description,,Yes,SD - SDHC - SDXC,074101021479509 16318GBY,Y,http://www.meijer.com,/catalog/,7 - 9 years,546308 556435 556462 556411,,,1920x1080 1280x720,,,,,Point & Shoot with Zoom Lens,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sony Cyber-shot DSC-TX9 Compact Camera Reviews | Buzzillions.com,,,,,,,,Yes,f/3.5-6.3,,,,,,32MB,Red,12 Megapixel,Point & Shoot with Zoom Lens,,,,,,NP-BN1,10,,,,0.7,4x 2x,12.2,Built-in,,,Off Natural Pre-Flash Slow Synchro On Auto Daylight Synchro Auto,,,,,,Yes,2.4,,,,3.5,3.5 Inch,,Zoom Lens,,,,,,,,,12.1,,1440 x 1080 1920 x 1080 640 x 480 AVCHD MPEG4 1280 x 720,,4x 12x 4,,,,,,,,Memory Stick Duo Secure Digital Memory Stick Pro Duo SDXC Memory Stick PRO HG-Duo SDHC,Twilight Portrait Soft Skin Pet High Speed Shutter High Sensitivity Fireworks Underwater Twilight Soft Snap Landscape Beach/Snow,10 Seconds 2 Seconds,ISO 125-3200,,"1-1/1,600",,,Yes,Description,4000 x 3000,Yes,Memory Stick Pro Duo / SDHC,,,,,,,,Mini-B,1920x1080,,0.3,One-Touch Cloudy Fluorescent Daylight Auto Incandescent Flash,3.9,,,"3.5""",Auto,32 MB,Memory Stick Duo,Compatible,,12.2 Megapixel,,,1 Year Limited,,,,,,,Memory Stick Pro Duo SDXC Secure Digital Memory Stick Duo SDHC Memory Stick PRO-HG Duo,,,,,,,,,,,,,,,,,,,,,,Stereo,,,,,,,,,3.4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Sony Cyber-shot Digital Camera HX1 DSCHX1 Reviews - Buzzillions.com,,,,,,,,Yes,f/2.8-8.0,,,,,,11 MB 10MB,,,,,,,,,NP-FH50 ProMaster NPFH50 XtraPower,10,,,,3.6,,,Built-in,,,Automatic Off Slow Synchro On,Semi Manual Manual Flexible Spot AF Center AF AF (Auto Focus) Illuminator 9 point AF,,,,,,3.4,JPEG,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,9.1,,640 x 480 1280 x 720 1440 x 1080,,20x 20,,,,,,,,Memory Stick Pro Memory Stick Duo,Landscape Gourmet Twilight Twilight Portrait Soft Snap Fireworks Beach/Snow Sports,10 Seconds 2 Seconds,ISO 125-3200,,1-1/4000,,,,Description,,Yes,Memory Stick Pro DUO,,,http://www.beachaudio.com,/product_info.php?products_id=292917&src=pwr,,,,Mini-B,1280x720,,,Underwater Incandescent Flash Cloudy Fluorescent Daylight Auto,4.6,,,,,,,,10 Megapixel,High Definition,Fixed Lens SLR's,,,,,,,,,Memory Stick Pro Duo Memory Stick Duo,,,,Optical Image Stabilization,,,,,,,,,,,,,,,,BC-VH1,,Built-in,Built-in Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Polaroid Z340 3x4 Instant Digital Camera + Review | Polaroid Z340 3x4 Instant Digital Camera Reviews - Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Included,,,,,,,,,14,0081536101567,,,4x,,,,,,,,,,,,CCD,,,,,Description,,Yes,Secure Digital (SD),,,,,,,,,,,,,,Point & Shoot with Fixed Lens,,,,,,,,,,,,,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodak M380 Digital Camera Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,10.2,0004177196926,,,5x,,,,,,,,,,,,,,,,Yes,Description,,Yes,SD Secure Digital or MMC Multimedia Card,,,http://www.beachaudio.com,/product_info.php?products_id=266258&src=pwr,,,,,VGA - Up to 640x480,,,,,,,,,,,Compatible,10 Megapixel,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon Coolpix L110 | Nikon Coolpix L110 Digital Camera (Red) Reviews - Buzzillions.com,,,,,,,,,f/3.5-5.4,,,,,,43MB,Black,,,,,,,Red Black,AA Batteries,,,,,3.1,4x 4,12.1,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,0001820826194,HD Movies with sound (720p),,15x 15,,,,,,,,Secure Digital SDHC,,,ISO 80-6400,,,173747 Black,279.9900,,Description,4000×3000,,,NKNL110,Y,http://www.beachaudio.com http://www.meijer.com,/catalog/ /product_info.php?products_id=353911&src=pwr,,,,Mini-B,,,.9,,4.3,,,"3""",Auto-focus,43 MB,Secure Digital (SD) Card,,12 Megapixel,12.1 Megapixel,Point & Shoot with Zoom Lens,,1 Year Limited,,,,,,,Secure Digital SDHC,,,,Hybrid - Combination lens shift VR and digital processing,,,,,,,,,,,,,,,,MH-73,,,,,,,,,,,,,EH-67,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fisher-Price KID TOUGH DIGITAL CAMERA - BLUE Reviews | Buzzillions.com,"040,050",60,36,,,,,,,,,3781960,Yes,,,,,,Yes,,,,,,,A,2,29-JUN-11,,,,,,,,,ANY,SP,,N,,,,,,,,,,,,,,3 years and up,W1458,300,36,,,,Yes,,,Yes,,,Yes,http://webapps.easy2.com/cm/masterflash/generic_index.asp?page_id=36083082&buyhide=1,Yes,,,,,,,105429,72.9900,,Description,,,,J8209,Y,http://www.meijer.com,/catalog/,3 - 5 years,279800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,batteries are required (not included),Yes,,AAA,Yes,Yes,Yes,Yes,,,Yes,746775031688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Canon SD1000 7.1M Digital Camera Reviews - Buzzillions.com,,,,,,,,,,,,,,,,Yes,,,,,,,Silver,,,,,,,4X 4x,,Built-in,,,,,,,,,,,,,,,2.5 Inch,,Zoom Lens,,,,,,,,,7.0,,Yes,,3x,,,,,,,,,,Yes,,,,62252 SILVER,199.9900,Yes,Description,,Yes,Secure Digital (SD),CANPSSD1000SIL,Y,http://www.beachaudio.com http://www.meijer.com,/catalog/ /product_info.php?products_id=131123&src=pwr /product_info.php?products_id=106046&src=pwr,,,,,VGA - Up to 640x480,,,,,,,2.5 Inch,,,Secure Digital Memory,,7 Megapixel,5-7 MP 7.1 MegaPixel,Point & Shoot with Zoom Lens,"Multimedia Cards,Secure Digital Cards(SD),Secure D",,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2.5,,,,35 - 105,Yes,Yes,Auto Forced-On Red-eye reduction SloSync,Yes,f/2.8-4.9,Yes with sound,Yes,3X,5-7 MP,JPEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
