<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
Buy Sakar Vivicam T027 Digital Camera with 12.1mp & 2.7-Inch TFT LCD Cameras - Digital - Point & Shoot VT027-RH-TA today at PC Connection,Compact,Red,2.7 in,Built-in flash,12.1 megapixel(s),,CMOS,,Beach High Sensitivity Night scene Party/Indoor Night Portrait Scenery Portrait Sports,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-shot DSC-WX350 Digital Camera, 20x Zoom, 18.2MP, Cameras - Digital - Point & Shoot DSCWX350/B today at PC Connection",Compact,Black,3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Night Portrait Beach Gourmet Landscape Portrait Backlight correction HDR Fireworks Show Pet Handheld twilight Soft skin Snow High Sensitivity Night scene Anti-motion blur,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS Rebel T5i EF-S Digital SLR with 8-135mm IS STM Kit Cameras - Digital - SLR 8595B005 today at PC Connection,SLR camera,,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Handheld night shot Portrait Night Portrait Close-up Sports Backlight correction HDR,1 Year,1 Year,,,Fixed eye-level pentamirror,"Camera, 18-135mm lens, battery, charger, eyecup Ef, cover, interface cable, front lens cap, rear lens cap, documentation","(1) HDMI mini
(1) USB 2.0
(1) AV out",Battery: LP-E8 Lithium-Ion,18.50 oz,,"3.9""h x 5.2""w x 3.1""d",,,,,,,,,,,,,,,,,,,"18.0 Megapixel CMOS (APS-C) sensor:
The EOS Rebel T5i features Canon's amazing 18.0 Megapixel CMOS (Complementary Metal Oxide Semiconductor) sensor. Perfect for enlargements or for cropping detailed portions of the composition, the camera's sensor captures images with exceptional clarity and tonal range. This first-class sensor features many of the same technologies used by professional Canon cameras to maximize each pixel's light-gathering efficiency and has center pixels that aid in the EOS Rebel T5i's accurate AF performance. This APS-C size sensor creates an effective 1.6x field of view (compared to 35mm format).
ISO 100-12800 and expandable to 25600 in H mode:
Thanks to its DIGIC 5 Image Processor, the EOS Rebel T5i features an expanded ISO range of ISO 100-12800 (expandable to 25600 in H mode) that makes shooting possible in situations previously unthinkable without flash. The EOS Rebel T5i, with the DIGIC 5 Image Processor's remarkable noise-reduction technology, performs brilliantly in low-light shooting. Used with one of Canon's EF or EF-S lenses with Optical Image Stabilizer, the EOS Rebel T5i can record beautiful images even when light sources are scarce.
DIGIC 5 Image Processor:
The EOS Rebel T5i's DIGIC 5 Image Processor works with the camera's CMOS sensor to deliver images with incredible detail in more situations, without the need for artificial light sources. With the power of the DIGIC 5 Image Processor, the EOS Rebel T5i can achieve higher ISO sensitivity, can shoot up to 5.0 fps continuously and can even perform advanced functions like HDR Backlight Control, art filters, lens correction and much more. The camera's brilliant imaging core supercharges every facet of still and moving image capture.
High-speed continuous shooting:
The EOS Rebel T5i can shoot up to 5.0 frames per second, continuously. Thanks to the enhanced shutter mechanism, mirror drive and camera sensor, the EOS Rebel T5i is ready for action; whether capturing that perfect expression, the game's winning goal, or the bride walking down the aisle, the EOS Rebel T5i delivers the speed and performance to guarantee results.
Exceptional autofocus performance and Hybrid CMOS AF:
The EOS Rebel T5i is equipped with AF features that ensure speedy, accurate and continuous AF every time. When shooting through the viewfinder, the EOS Rebel T5i has advanced autofocus with a 9-point, all cross-type AF system (including a high-precision dual-cross f/2.8 center point) for accurate focus whether the camera is oriented in portrait or landscape position. An AI Servo AF system achieves and maintains consistent focus with an exceptional degree of reliability.
The EOS Rebel T5i also features Canon's amazing Hybrid CMOS AF System, perfect for shooting photos and video in Live View. This system combines two distinct AF technologies, phase and contrast detection AF, for speedier and more accurate focus. These complementary focusing systems are aided by pixels on the camera's CMOS sensor that assist in predicting subject location, making continuous focus tracking quick and accurate in video recording while enhancing focusing speed.
EOS Full HD Movie Mode with Movie Servo AF:
The EOS Rebel T5i offers easy-to-use, professional video capture without compromise. It enables easy manual control of exposure, focus and Live View features, even in-camera editing! Movie Servo AF allows continuous autofocus tracking of moving subjects while recording video.
CANON iMAGE GATEWAY Qualified:
An online resource offering digital imaging education and photo and video sharing capabilities exclusively for registered owners of qualified Canon products. Members can read up on topics related to their products, how-to articles, and more.",,,
"Buy Panasonic DMC-TS5K  Digital Camera, 16.1MP, Black Cameras - Digital - Point & Shoot DMC-TS5K today at PC Connection",Compact,Black,3 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Baby2 Sunset Dynamic Range (HDR) Night Portrait High Sensitivity Baby1 Portrait Behind glass Handheld night shot Night scene Scenery Pet Food Starry sky Soft skin,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix S6800 Digital Camera, 16MP, 30x Zoom, Black Cameras - Digital - Point & Shoot 16303014 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sakar VS536 Digital Camera, 16.1MP, 3.3x Zoom, Silver Cameras - Digital - Point & Shoot VS325-SILVER today at PC Connection",Compact,Silver,2.4 in,Built-in flash,16.1 megapixel(s),,CMOS,,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix HS35 EXR Digital Camera, 16MP, 30x Zoom, Black Cameras - Digital - Point & Shoot 16286187 today at PC Connection",Compact,Black,3 in,Pop-up flash,16 megapixel(s),"1/2""",BSI EXR CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D610 FX-Format Digital SLR with 28-300mm VR Lens Cameras - Digital - SLR 13304 today at PC Connection,SLR camera,Black,3.2 in,Built-in flash,24.3 megapixel(s),24 x 35.9mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,"Camera, documentation","SD care slot
Type C mini-pin HDMI connector
Headphone Connector
Hi-speed USB
Stereo Microphone Input","EN-EL15 Lithium-ion Battery
Battery Life (shots per charge): 900 shots (CIPA)",1.70 lb(s),,"4.4""h x 5.6""w x 3.2""d",,,Lithium ion,MPEG-4 MOV H.264,Built-in,LCD TFT,SD Card SDHC Card SDXC Card,ISO 6400 ISO 100,Yes,1 - 1/4000,JPEG,Digital camera,900 image(s),,,,,Neutral Vivid,,,,
"Buy Canon PowerShot SX700 HS Digital Camera, Black Cameras - Digital - Point & Shoot 9338B001 today at PC Connection",Point & Shoot camera,Black,3 in,Pop-up flash,16.1 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Sports Creative shot Auto mode,1 Year,1 Year,750 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation",,Battery: NB-6LH Rechargeable Lithium-Ion,9.50 oz,,"2.6""h x 4.4""w x 1.4""d",,,Lithium ion,,Built-in,LCD,SDXC Card SDHC Card SD Card,,,15 - 1/3200 1 - 1/3200,,,,4 X,30 X,135 mm,4.5 mm,Black & White Sepia Vivid Neutral,"30x Optical Zoom (25-750mm) helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
16.1 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 6 Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p/60p Full HD video with a dedicated movie button.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
The convenient Mobile Device Connect Button allows you to connect to your Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 58 predefined shooting situations.",,,
"Buy Panasonic Lumix DMC-TS5 Tough Digital Camera, 16.1MP, 9.3x Zoom, Cameras - Digital - Point & Shoot DMC-TS5A today at PC Connection",Compact,Blue,3 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Handheld night shot Baby2 Behind glass Dynamic Range (HDR) Baby1 Sunset Soft skin Food Scenery Starry sky Night scene Portrait Pet High Sensitivity,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony a7 Interchangeable Lens Camera Body Only Cameras - Digital - SLR ILCE7/B today at PC Connection,Mirrorless system,Black,3 in,,24.3 megapixel(s),23.9 x 35.8mm,Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Landscape Sunset Handheld twilight Sports Night scene Anti-motion blur Macro Night Portrait Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sakar IS2132 Digital Camera, 16MP, 21x Zoom, Black Cameras - Digital - Point & Shoot IS2132-BLACK today at PC Connection",Compact,Black,3 in,Pop-up flash,16 megapixel(s),,BSI-CMOS,,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony Alpha A3000 Camera with 18-55mm Lens Cameras - Digital - SLR ILCE3000K/B today at PC Connection,Mirrorless system,Black,3 in,Pop-up flash,20.1 megapixel(s),15.6 x 23.5mm,Exmor APS HD CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Night view Handheld twilight Anti-motion blur Portrait Sunset Macro Sports Night Portrait,Call for Warranty,Call for Warranty,82.50 mm,27.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Panasonic 16.1MP Digital Camera, 60x Zoom, Black Cameras - Digital - Point & Shoot DMC-LZ70K today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS Rebel T5i EF-S Digital SLR with 18-55mm IS STM Kit Cameras - Digital - SLR 8595B003 today at PC Connection,SLR camera,,3 in,,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Close-up Portrait Backlight correction HDR Sports Handheld night shot Night Portrait,Call for Warranty,Call for Warranty,,,Fixed eye-level pentamirror,"EOS Rebel T5i Body, EF-S 18-55mm f/3.5-5.6 IS STM lens, Eyecup Ef, Battery Pack LP-E8, Battery Charger LC-E8E, Wide Neck Strap EW-100DB IV, USB Interface Cable IFC-130U, EOS Digital Solution Disc & Software Instruction Manual CD, Documentation","Hi-Speed USB
Audio (stereo)/video (NTSC/PAL) output",One Battery Pack LP-E8,20.50 lb(s),"SD card, SDHC card, SDXC memory card","3.9"" x 5.2""w x 3.1""d",,,,,,,,,,,,,,,,,,,,,,
Buy Sony DSC-TX30 Camera Cameras - Digital - Point & Shoot DSCTX30/P today at PC Connection,Compact,Pink,3.3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Soft skin Night scene Night Portrait Gourmet Snow Softsnap Fireworks Show Pet Handheld twilight Backlight correction HDR Anti-motion blur Landscape High Sensitivity Magnifying glass Beach,90 Days,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.400 oz
"Buy Panasonic Lumix DMC-TS5 Tough Digital Camera, 16.1MP, 9.3x Zoom, Cameras - Digital - Point & Shoot DMC-TS5D today at PC Connection",Compact,Orange,3 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Soft skin Baby1 Food Starry sky Handheld night shot Behind glass Night Portrait Pet Baby2 Scenery Sunset High Sensitivity Dynamic Range (HDR) Portrait Night scene,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D610 FX-Format Digital SLR with 24-85mm VR Lens Cameras - Digital - SLR 13305 today at PC Connection,SLR camera,Black,3.2 in,Built-in flash,24.3 megapixel(s),24 x 35.9mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,"Camera, documentation","SDc ard slot
Type C mini-pin HDMI connector
Headphone Connector
Hi-speed USB
Stereo Microphone Input","EN-EL15 Lithium-ion Battery
Battery Life (shots per charge): 900 shots (CIPA)",1.70 lb(s),,"4.4""h x 5.6""w x 3.2""d",,,Lithium ion,H.264 MPEG-4,,TFT LCD,SDXC Card SDHC Card SD Card,ISO 6400 ISO 100,Yes,1 - 1/4000,JPEG,Digital camera,900 image(s),,,,,Neutral Vivid,,,,
Buy Sony Smartphone Attachable Lens-Style Camera 18MP 10x Optical Cameras - Digital - Point & Shoot DSCQX10/W today at PC Connection,Smartphone attachable,White,,,18.2 megapixel(s),"1/2.3""",Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Canon EOS Rebel T5i Digital SLR Kit Cameras - Digital - SLR 8595B001 today at PC Connection,SLR camera,,3 in,Pop-up flash,18 megapixel(s),14.9 x 22.3mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight correction HDR Portrait Handheld night shot Close-up Night Portrait Landscape Sports,Call for Warranty,Call for Warranty,,,Fixed eye-level pentamirror,"Camera Kit, Documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix T550 Digital Camera, 12x Zoom, Red Cameras - Digital - Point & Shoot 16309393 today at PC Connection",Compact,Red,3 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Night (tripod) Party/Indoor Smile shutter Individual shutter 3D Motion panorama Sunset Beach Text Snow Sports Baby Natural Light Portrait Flower Fireworks Show Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-shot Digital Camera RX100 II, 20.2MP, Black Cameras - Digital - Point & Shoot DSCRX100M2/B today at PC Connection",Compact,Black,3 in,Pop-up flash,20.2 megapixel(s),"1.0""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Night scene Portrait Action Pet Night Portrait Sunset Sports Macro Landscape High Sensitivity Handheld twilight Gourmet Fireworks Show Anti-motion blur,1 Year,1 Year,100.00 mm,28.00 mm,,"Rechargeable Battery Pack NP-BX1, AC Adaptor AC-UB10, Micro USB cable, Wrist Strap
Shoulder Strap Adaptor, Documentation","AC-UB10 AC charger
SD, SDHC and SDXC memory card
HD Output: HDMI (Type D micro)
USB 2.0
Accessory Shoe: Multi Interface Shoe
Tripod Mount: Yes (1/4"" diameter, 20 threads per inch)","Battery Type : InfoLITHIUM NP-BX1 (3.6V)
Power Consumption (in Operation): Approx. 1.8W",,,,Limited Warranty Term,,Lithium,AVCHD H.264,,,,ISO 3200 ISO 160,,,RAW JPEG,Digital camera,350 image(s),14 X,3.6 X,,,,"Operating System Compatibility: PlayMemories Home: Windows XP SP3, Windows Vista SP2, Windows7 SP1, Windows8 (PlayMemories Home is not Mac compatible)
PlayMemories Online Uploader: Windows XP SP3, Windows VistaSP2, Windows7 SP1, Windows8, Mac OS X (v10.5- v10.8); Image Data Converter Version 4.2: Windows XP SP3, Windows Vista SP2, Windows7 SP1, Windows8, Mac OS X(v10.5- v10.8)",F/1.8,,7.800 oz
"Buy Pentax K-3 DSLR Camera - Body Only, Black Cameras - Digital - SLR 15530 today at PC Connection",SLR camera,Black,3.2 in,Pop-up flash,23.35 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon CoolPix S02, White Cameras - Digital - Point & Shoot 26432 today at PC Connection",Compact,White,2.7 in,Built-in flash,13.2 megapixel(s),"1/3.1""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Portrait Landscape Back light Backlight correction HDR Night landscape Night Portrait Handheld night shot,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3 GB,
"Buy Fujifilm FinePix S8600 Camera, 16MP, 36X Zoom, Black Cameras - Digital - Point & Shoot 16407145 today at PC Connection",Compact,Black,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Text Zoom bracketing Party/Indoor Night (tripod) Panorama assist Beach Flower Fireworks Show Portrait Sports Baby Natural Light Sunset Landscape Snow,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony DSC-TX30 Camera - Black Cameras - Digital - Point & Shoot DSCTX30/B today at PC Connection,Compact,Black,3.3 in,Built-in flash,18.2 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Magnifying glass Landscape Soft skin Handheld twilight Snow Beach Night scene Night Portrait Fireworks Show High Sensitivity Pet Backlight correction HDR Anti-motion blur Gourmet Softsnap,1 Year,1 Year,130 mm,26 mm,,"Rechargeable Battery Pack NP-BN, AC AdaptorAC-UB10, Micro USB cable, Wrist Strap, Documentation","Memory Card Slot: MS Micro, Memory Stick Micro (Mark 2) and Micro SD/Micro SDHC Compatible
HD Output: Micro HDMI
USB Port(s): Multi (AV/USB), Hi-Speed USB (USB2.0)","Power Requirements: AC 100V to 240V, 50/60 Hz, 70mA
Battery Type: LITHIUM ION NP-BN 3.6V
Power Consumption (in Operation): Approx. 1.0W
Battery Capacity: typical: 2.3Wh (630mAh), minimum: 2.2Wh (600mAh)",,,,Limited Warranty,,Lithium ion,AVCHD,Built-in,LCD,,ISO 100 ISO 3200 ISO 1600 ISO 6400 ISO 400 ISO 800 ISO 200 Auto mode ISO 80,,,,Digital camera,,,5 X,,,,,,,
"Buy Sony Smartphone Attachable Lens-Style Camera, 18MP 10x Optical Cameras - Digital - Point & Shoot DSCQX10/B today at PC Connection",Smartphone attachable,Black,,,18.2 megapixel(s),"1/2.3""",Exmor CMOS,"Due to manufacturer restrictions, all sales on this item are final.",,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon COOLPIX AW120 Waterproof Digital Camera, 5X Zoom, Orange Cameras - Digital - Point & Shoot 26467 today at PC Connection",Compact,Orange,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night landscape Sunset Dawn/Dusk Underwater Beach Museum Pet portrait Snow Panorama assist Night Portrait Food Back light Fireworks Show Black and white copy Party/Indoor Landscape Close-up,Call for Warranty,Call for Warranty,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon S1 Interchangable Lens Digital Camera, 10.1MP, Khaki with Cameras - Digital - SLR 27621 today at PC Connection",Mirrorless system,Khaki,3 in,Pop-up flash,10.1 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night landscape Back light Soft Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix XP70 Camera, 16MP, 5X Zoom, Blue Cameras - Digital - Point & Shoot 16409284 today at PC Connection",Compact,Blue,2.7 in,Built-in flash,16.4 megapixel(s),"1/2.3""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Sunset Sports Beach Flower Snow Dynamic Range (HDR) Underwater Portrait Party/Indoor Natural Light Text Landscape Underwater macro Night (tripod) Pro low light,Call for Warranty,Call for Warranty,140.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus Stylus TOUGH TG-3 Digital Camera, 16MP, Red Cameras - Digital - Point & Shoot V104140RU000 today at PC Connection",Compact,Red,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Underwater macro Sunset Fireworks Show Backlight correction HDR Underwater wide1 Beach/snow Microscopic macro Landscape Underwater wide2 Documents Cuisine Handheld starlight Night Portrait Indoor Night scene Portrait Panorama assist Underwater snapshot E-portrait Sports Snow Self Portrait,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus E-PL5 with Silver 14-42mm Lens - Silver Cameras - Digital - Point & Shoot V205041SU000 today at PC Connection,Mirrorless system,Silver,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night Portrait Panorama assist E-portrait Low key Macro converter Night scene Beach/snow Fireworks Show Sports Fisheye converter Document Nature macro Landscape + Portrait Children High key Landscape,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Fujifilm X20 - 12 MP - CMOS - 4 X - F2. Cameras - Digital - Point & Shoot 16320696 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus PEN E-PL5 Mirrorless Digital Camera, 16MP, 14-42mm Lens, Cameras - Digital - SLR V205041WU000 today at PC Connection",Mirrorless system,White,3 in,Detachable flash,16.1 megapixel(s),13.0 x 17.3mm,Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Portrait Nature macro Children Macro converter Low key High key Fisheye converter E-portrait Landscape Document Panorama assist Fireworks Show Night scene Landscape + Portrait Sports Beach/snow,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix JX660 Camera, 16MP, 5X Zoom, Red Cameras - Digital - Point & Shoot 16291376 today at PC Connection",Compact,Red,3 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Snow Landscape Natural Light Party/Indoor Flower Sunset Fireworks Show Beach Panorama assist Text Night (tripod) Baby Individual shutter 3D Sports Smile shutter,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus Olympus OM-D E-M1 Mirrorless Micro Four Thirds Digital Cameras - Digital - SLR V207010BU000 today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,,"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Nature macro Macro converter Landscape + Portrait Low key Documents High key Fisheye converter Anti-shake E-portrait 3D image Sports Sunset Panorama assist Portrait Night Portrait Night scene Children Landscape Macro Candle Beach/snow Fireworks Show Wide converter,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon S1 Interchangable Lens Digital Camera, 10.1MP, Pink with Cameras - Digital - SLR 27620 today at PC Connection",Mirrorless system,Pink,3 in,Pop-up flash,10.1 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Back light Night landscape Soft,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus OM-D E-M10 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - Point & Shoot V207021SU000 today at PC Connection",Mirrorless system,Silver,3 in,Pop-up flash,16.1 megapixel(s),"4/3""",Live MOS,This product is subject to our return policy. Please see our complete return policy for details.,Children Landscape + Portrait Night Portrait Digital IS High key Nature macro Handheld starlight Fisheye converter Sports Wide converter 3D image Night scene Macro converter Panorama assist Low key Sunset Portrait Macro E-portrait Candle Beach/snow Underwater Documents Landscape Fireworks Show,Call for Warranty,Call for Warranty,84.00 mm,28.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Vista Quest HPS510 Digital Camera with 16MP & 5x Zoom Cameras - Digital - Point & Shoot HPS510H today at PC Connection,Compact,Silver,2.7 in,Built-in flash,20.1 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Children Food Text Sports Foliage Night scene Party/Indoor Fireworks Show Snow Candle Night Portrait Back light Sunset Portrait Soft skin Auction Landscape Self Portrait,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, Red with 10 Cameras - Digital - SLR 27649 today at PC Connection",Mirrorless system,Red,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Close-up Landscape Portrait Night landscape Night Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm XF1 Digital Camera, 12MP, 4x Zoom, Brown Cameras - Digital - Point & Shoot 16270891 today at PC Connection",Compact,Brown,3 in,Pop-up flash,12 megapixel(s),"2/3""",EXR-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night (tripod) Natural Light Underwater Sports Beach Portrait Landscape Flower Snow Portrait enhancer Fireworks Show Sunset Text Party/Indoor,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.200 oz
"Buy Fujifilm XS-1 Digital CAmera, 12MP, 26x Zoom, Black Cameras - Digital - Point & Shoot 16199188 today at PC Connection",Compact,Black,3 in,Pop-up flash,12 megapixel(s),"2/3""",EXR-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait enhancer Night (tripod) EXR mode Party/Indoor Snow Cat Sunset Fireworks Show Dog Beach Landscape Natural Light Text Sports Flower Portrait,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, White with Cameras - Digital - SLR 27658 today at PC Connection",Mirrorless system,White,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Close-up Night landscape Night Portrait Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Olympus OM-D E-M1 Mirrorless Micro Four Thirds Digital Camera, Cameras - Digital - SLR V207010SU000 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Olympus Stylus 1 Digital Camera Cameras - Digital - Point & Shoot V109010BU000 today at PC Connection,Compact,Black,3 in,Pop-up flash,12 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Fireworks Show Sunset Landscape Multiple exposure Documents Sports Night Portrait Panorama assist E-portrait Beach/snow,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
