<page title>,camera type,deal first added on,ean13,last updated,lcd screen size,manufacturer,megapixels,optical zoom,product name,product number mpn,retail price,upc,dimensions,ean14,weight,manufactured in,megapixel range,redeye reduction,feature
Nikon Coolpix S60 10MP Digital Camera on sale for $194.49,,15-October-2008,0018208261345,09-October-2014,,Nikon,,,Nikon Coolpix S60 10MP Digital Camera with 5x Optical Vibration Reduction (VR) Zoom (Crimson Red),S60 Crimson Red,$329.99,018208261345,3.8 x 0.9 x 2.4 in.,00018208261345,1 lbs.,,10.0 - 10.9 Megapixels,,
Nikon Coolpix S3000 12MP Camera on sale for $102.83,Point-and-Shoot,6-July-2010,0018208262076,09-October-2014,2.7 inches,Nikon,12 MP,4 x,Nikon Coolpix S3000 12MP Camera with 4x VR Zoom (Black),S3000 Black,$149.95,018208262076,,00018208262076,,,,Yes,
Pentax K-01 16MP APS-C CMOS Compact on sale for $621.29,Point-and-Shoot,9-December-2012,0027075214590,09-October-2014,,Pentax,,,Pentax K-01 16MP APS-C CMOS Compact System Camera Kit with DA 40mm Lens (Black),K-01 Lens Kit w,$899.00,027075214590,,,,,,,
Panasonic Lumix DMC-FX500 10.1MP Digital on sale for $249.00,,1-May-2008,0037988987825,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FX500 10.1MP Digital Camera with 5x Wide Angle MEGA Optical IS Zoom (Black),DMC-FX500K,$399.95,037988987825,2.13 x 0.97 x 3.81 in.,00037988987825,1 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Fujifilm FinePix Real 3D W3 Battery Kit on sale for $14.95,,6-November-2010,,09-October-2014,,ButterflyPhoto,,,Fujifilm FinePix Real 3D W3 Battery Kit Includes Extended Replacement NP-50 (1100 mAH) Battery + LCD Clear Screen Protectors,,,,,,,,,,
Canon G1 X 14.1 MP CMOS Digital Camera on sale for $719.00,,31-August-2012,0662425821877,09-October-2014,,BVI,,,Canon G1 X 14.1 MP CMOS Digital Camera with 4x Wide-Angle Optical Image Stabilized Zoom Lens Full 1080p HD Video and 3.0-inch Vari-Angle LCD Deluxe Bundle With 32GB SDHC Memory Card + Card Reader + Case + Batteries (NB10L) +More !!,5249B001 B2,,662425821877,,,,,,,
Canon EOS 5D Mark II 21.1MP Digital SLR on sale for $3099.00,SLR,3-October-2012,4960999629544,09-October-2014,,Canon,,,Canon EOS 5D Mark II 21.1MP Digital SLR Camera with EF 24-105mm f/4 L IS USM Lens,2764B004,$2999.00,013803105414,,,,,,,
Fujifilm FinePix Real 3D W3 Battery Kit on sale for $19.95,,6-November-2010,,09-October-2014,,ButterflyPhoto,,,Fujifilm FinePix Real 3D W3 Battery Kit Includes Extended Replacement NP-50 (1100 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + LCD Clear Screen Protectors,,,,,,,,,,
Olympus PEN E-PL2 12.3MP CMOS Micro Four on sale for $399.99,,26-January-2011,0050332176935,09-October-2014,3 inches,Olympus,12.3 MP,3 x,Olympus PEN E-PL2 12.3MP CMOS Micro Four Thirds Interchangeable Lens Digital Camera with 14-42mm Lens,262901,$599.99,050332176935,,,,,,Yes,
Fujifilm FinePix Real 3D W3 Essentials on sale for $44.95,,6-November-2010,,09-October-2014,,ButterflyPhoto,,,Fujifilm FinePix Real 3D W3 Essentials Accessory Kit Includes 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Deluxe Hard Case + Mini Hdmi to Hdmi Cable + Mini Tripod + More,,,,,,,,,,
Canon EOS 5D Mark III 22.3 MP Full Frame on sale for $3499.95,,3-October-2012,0662425827398,09-October-2014,,BVI,,,Canon EOS 5D Mark III 22.3 MP Full Frame CMOS Digital SLR Camera + Extended Life Battery + 16GB CF Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Accessory Saver Bundle!,Canon 5D Mark I,$3899.99,662425827398,,,,,,,
Nikon Coolpix AW120 16.1MP Waterproof on sale for $289.95,Point-and-Shoot,27-June-2014,0018208264650,10-October-2014,,Nikon,,,"Nikon Coolpix AW120 16.1MP Waterproof Digital Camera with Wi-Fi, GPS and 1080p Video (Black)",,$349.95,018208264650,,,,,,,
Canon EOS Rebel T3i 18 MP CMOS Digital on sale for $939.00,,24-May-2012,0721405368693,09-October-2014,,ZEEMO,,,Canon EOS Rebel T3i 18 MP CMOS Digital SLR Camera and DIGIC 4 Imaging with EF-S 18-135mm f/3.5-5.6 IS Lens + EF 75-300mm f/4.0-5.6 III Autofocus Lens + 16GB Deluxe Kit,ZM-T3i,,721405368693,,,,,,,
"Canon Powershot S95, SD4000 IS Digital C on sale for $22.90",,26-September-2010,0628586183520,09-October-2014,,ButterflyPhoto,,,"Canon Powershot S95, SD4000 IS Digital C",,,628586183520,,,,,,,
"Fujifilm X-E1 Digital Camera Body, Black on sale for $1588.99",,28-March-2014,0617529226103,09-October-2014,,Fuji Photo Film,,,"Fujifilm X-E1 Digital Camera Body, Black - Bundle - with Fujifilm XF 18mm (27mm) F/2.0 Lens",XE1 18MM KIT,$1598.00,617529226103,,,,,,,
Panasonic Lumix TS4 12.1 TOUGH Waterproof on sale for $393.99,,12-June-2012,0662425821587,09-October-2014,,Panasonic,,,Panasonic Lumix TS4 12.1 TOUGH Waterproof Digital Camera with 4.6x Optical Zoom (Blue) BigVALUEInc Accessory Saver 16GB Bundle,DMC-TS4A B2,$699.95,662425821587,,,,,,,
Canon PowerShot Pro series S3 IS 6MP on sale for $623.99,,22-February-2006,0013803063998 4960999353906,09-October-2014,,Canon,,,Canon PowerShot Pro series S3 IS 6MP with 12x Image Stabilizer Zoom,1101B001,$499.99,013803063998,4.5 x 3.1 x 3 in.,00013803063998,3 lbs.,,,,
Olympus Tough TG-620 iHS Waterproof on sale for $125.00,,16-July-2013,0050332182233,09-October-2014,,Olympus,,,Olympus Tough TG-620 iHS Waterproof Digital Camera (Black),TG-620,,050332182233,,,,,,,
Sony Alpha a6000 24.3MP Camera on sale for $661.40,Point-and-Shoot,6-May-2014,0027242878822,09-October-2014,,Sony,,,Sony Alpha a6000 24.3MP Camera with 16-50mm Power Zoom Lens,ILCE6000L/B,$799.99,027242878822,,,,,,,
Canon PowerShot D20 Waterproof Camera on sale for $467.48,,4-May-2012,0012345087806,09-October-2014,,Canon,,,Canon PowerShot D20 Waterproof Camera Package,D20/Package,,012345087806,,,,,,,
Panasonic Lumix TS20 Tough 16.1MP on sale for $102.99,Point-and-Shoot,19-June-2012,0885170069893,09-October-2014,,Panasonic,,,Panasonic Lumix TS20 Tough 16.1MP Waterproof Digital Camera with 4x Zoom (Orange),DMC-TS20D,$179.00,885170069893,,,,,,,
2 Pack of Celltime LP-E10 Replacement,,20-March-2014,0639767594554,09-October-2014,,Celltime Inc.,,,2 Pack of Celltime LP-E10 Replacement Batteries for Canon T3 Digital SLR + Rapid AC/DC Charger for the Canon T3,LP-E10,$49.95,639767594554,,,,,,,
Canon PowerShot SX130 IS 12.1MP Digital on sale for $187.98,Point-and-Shoot,26-September-2010,0013803127386,09-October-2014,,Canon,12.1 MP,12 x,Canon PowerShot SX130 IS 12.1MP Digital Camera w/ 12x Wide Angle Zoom,SX130IS,$349.00,013803127386,,00013803127386,,Made in USA,,,
"Flash Kit For The Panasonic Lumix DMC-G1, on sale for $132.90",,8-December-2010,0628586194090,09-October-2014,,ButterflyPhoto,,,"Flash Kit For The Panasonic Lumix DMC-G1, DMC-G10 12.1 MP Digital Camera Includes Vivitar DF-293 TTL LCD Bounce Zoom Swivel DSLR AF Flash + 4 AA 2900 mAH Rechargable Batteries And Charger + 52 Inch Pro Tripod + 3pc Lens Cleaning Kit",,$219.95,628586194090,,,,,,,
Canon EOS 60D Digital SLR 2 Pack Battery on sale for $30.90,,22-October-2010,,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR 2 Pack Battery Kit Includes 2 Extended Replacement LP-E6 (2600 mAH) Battery + 2 Ac/Dc Rapid Travel Battery Charger + Mini Tripod + LCD Screen Protectors,,,,,,,,,,
Canon PowerShot SX170 IS 16MP Digital on sale for $199.95,,24-November-2013,0680569086860,09-October-2014,,Canon,,,"Canon PowerShot SX170 IS 16MP Digital Camera Bundlewith 8GB SDHC Memory Card, Compact Camera Case, Mini Tripod, Accessory Kit",PowerShot SX170,$199.99,680569086860,,,,,,,
Leica D-Lux 4 Digital Camera D-Lux4 Black on sale for $1199.00,Point-and-Shoot,26-August-2009,0799429183523,09-October-2014,3 inches,Leica Camera,10 MP,10 x,Leica D-Lux 4 Digital Camera,D-Lux4 Black,$849.00,799429183523,,00799429183523,,,,,
Olympus Stylus TG-850 IHS 16 MP Digital on sale for $249.00,Point-and-Shoot,6-May-2014,0050332187801,10-October-2014,,Olympus,,,Olympus Stylus TG-850 IHS 16 MP Digital Camera (White),V104150WU000,$299.99,050332187801,,,,,,,
Panasonic Lumix DMC-GH4 16.05MP Digital on sale for $1681.22,SLR,10-August-2014,0885170185647,10-October-2014,,Panasonic,,,Panasonic Lumix DMC-GH4 16.05MP Digital Mirrorless Camera with 4K Cinematic Video (Body Only),DMC-GH4KBODY,$1699.99,885170185647,,,,,,,
Canon EOS 7D 18 MP CMOS DSLR Camera Kit on sale for $1099.99,SLR,23-November-2012,0013803117554,09-October-2014,,Canon,,,Canon EOS 7D 18 MP CMOS DSLR Camera Kit with 18-135mm f/3.5-5.6 IS UD Zoom Lens,3814b016,,013803117554,,,,Made in USA,,,
Canon PowerShot SX120 IS 10MP Digital on sale for $157.49,Point-and-Shoot,2-November-2009,0013803114201,09-October-2014,3 inches,Canon,10 MP,10 x,Canon PowerShot SX120 IS 10MP Digital Camera w/ 10x IS Zoom (2300810),SX120IS,$349.99,013803114201,,00013803114201,,,,Yes,
Canon EOS Rebel T4i 18MP CMOS Digital on sale for $563.31,SLR,19-June-2012,0013803150582,09-October-2014,,Canon,,,Canon EOS Rebel T4i 18MP CMOS Digital Camera (Body Only),6558B001,$849.00,013803150582,,,,Made in Japan,,,
Nikon Coolpix L3 5.1MP Digital Camera on sale for $292.48,,21-February-2006,0018208255443,09-October-2014,,Nikon,,,Nikon Coolpix L3 5.1MP Digital Camera with 3x Optical Zoom,25544,$196.95,018208255443,4.5 x 1 x 3 in.,00018208255443,1 lbs.,,,,
Sony DSC-W830 20.1MP Digital Camera on sale for $99.00,Point-and-Shoot,6-May-2014,0027242876965,10-October-2014,,Sony,,,Sony DSC-W830 20.1MP Digital Camera (Silver),DSCW830,$139.99,027242876965,,,,,,,
Leica D-LUX 3 10MP Digital Camera on sale for $1900.27,,3-November-2006,,09-October-2014,,Leica Camera,,,Leica D-LUX 3 10MP Digital Camera with 4x Wide Angle Optical Image Stabilized Zoom (Black),18303,$660.00,411378015501,,,1 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Canon PowerShot S110 12.1MP Digital on sale for $209.99,Point-and-Shoot,18-December-2012,0013803157161,10-October-2014,,Canon,,,Canon PowerShot S110 12.1MP Digital Camera with 5x IS Zoom (White),6799B001,,013803157161,,,,,,,
Panasonic Lumix DMC-ZS20 14.1 MP Digital on sale for $459.49,,2-July-2012,0662425823598,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS20 14.1 MP Digital Camera with 16x Wide Angle Optical Image Stabilized Zoom and Built-In GPS Function (Black) W/16GB SDHC Memory + Extra Extended Life DMW-BCG10 Battery + Deluxe Case w/Strap + Memory Card Wallet + USB Card Reader + A,DMCZS20K,$739.95,662425823598,,,,,,,
Panasonic Lumix DMC-FZ47 12.1MP Digital on sale for $399.99,Point-and-Shoot,12-October-2011,0885170053601,09-October-2014,,Panasonic,12.1 MP,,Panasonic Lumix DMC-FZ47 12.1MP Digital Camera with 24x Zoom (DMC-FZ47K),DMC-FZ47K,$379.00,885170053601,,,,,,,
Sony Alpha NEX-7 Digital Camera on sale for $1379.00,,11-December-2013,0662425833672,09-October-2014,,Sony,,,Sony Alpha NEX-7 Digital Camera with 18-55mm Lens (Black) Package 6,,,662425833672,,,,,,,
Sony Cyber-shot DSC-T90 12.1MP Digital on sale for $229.99,Point-and-Shoot,26-August-2009,0027242749283,09-October-2014,3 inches,Sony,12.1 MP,4 x,Sony Cyber-shot DSC-T90 12.1MP Digital Camera with 4x Optical Zoom and Super Steady Shot Image Stabilization,DSC-T90/B,$299.99,027242749283,,00027242749283,,,,Yes,
Extended Life Replacement Battery Pack on sale for $11.90,,16-June-2011,0628586147737,09-October-2014,,VIDPRO,,,Extended Life Replacement Battery Pack BL-S1 for Olympus PEN E-PL1 E-volt E-410 E-400 1400MAH Each + Free Pack Of LCD Screen Protectors,,$39.89,628586147737,,,,,,,
Pentax K110D 6.1MP Digital SLR Camera on sale for $899.00,SLR,5-June-2006,0027075121454,09-October-2014,,Pentax,,,Pentax K110D 6.1MP Digital SLR Camera with 18-55mm f/3.5-5.6 Lens,19028,$899.95,027075121454,,00027075121454,2 lbs.,,,,
Canon PowerShot G11 10MP Digital Camera on sale for $494.01,Point-and-Shoot,26-August-2009,0013803116458,09-October-2014,,Canon,10 MP,5 x,Canon PowerShot G11 10MP Digital Camera with 5x Wide Angle IS Zoom,,$599.99,013803116458,,00013803116458,,,,,
Coolpix S700 12.1MP Digital Camera on sale for $398.44,,6-April-2008,0018208255818,09-October-2014,,Nikon,,,Coolpix S700 12.1MP Digital Camera with 3x Optical Zoom with Vibration Reduction (Silver),,$503.30,018208255818,,00018208255818,2 lbs.,,12.0 - 12.9 Megapixels,,
Nikon D5200 24.1MP CMOS Digital SLR on sale for $499.99,SLR,28-March-2013,0018208015030,09-October-2014,,Nikon,,,Nikon D5200 24.1MP CMOS Digital SLR with 18-55mm f/3.5-5.6 AF-S DX VR NIKKOR Zoom Lens,,$899.95,018208015030,,,,,,,
Fujifilm Finepix S2940 14MP HD Digital on sale for $121.49,,13-August-2012,0608938988225,09-October-2014,,Fuji Photo Film,,,Fujifilm Finepix S2940 14MP HD Digital Camera with 18x Zoom,,$159.99,608938988225,,,,Made in USA,,,
Panasonic Lumix DMC-FZ35 12.1MP Digital on sale for $449.99,Point-and-Shoot,9-March-2010,0037988263684,09-October-2014,2.7 inches,Panasonic,12.1 MP,18 x,"Panasonic Lumix DMC-FZ35 12.1MP Digital Camera with 18x POWER O.I.S. Zoom, HD Video",DMC-FZ35P-K,$408.06,037988263677,,00037988263677,,,,Yes,
16GB All In Bundle For Canon PowerShot on sale for $48.90,,26-September-2010,0628586165472,09-October-2014,,ButterflyPhoto,,,16GB All In Bundle For Canon PowerShot SX130 IS Digital Camera Includes 16GB High Speed SD Memory card + Gripster + USB 2.0 High Speed Card Reader + 4AA (2900 mAH) Rechargable NIMH Baterries And Charger + Deluxe Carrying Case + Clear LCD Screen Protectors,,$129.00,628586165472,,,,,,,
Nikon Coolpix S6300 16MP Digital Camera on sale for $229.00,Point-and-Shoot,4-May-2012,0018208263011,09-October-2014,,Nikon,,,Nikon Coolpix S6300 16MP Digital Camera with 10x Zoom and 1080p Video (Black),,$199.95,018208263011,,,,Made in Japan,,,
Nikon Coolpix L820 16MP CMOS Digital on sale for $170.83,Point-and-Shoot,29-July-2013,0018208264032,09-October-2014,,Nikon,,,Nikon Coolpix L820 16MP CMOS Digital Camera with 30x Zoom and1080p Video (Red),,$279.95,018208264032,,,,,,,
Canon EOS 60D Digital SLR Essentials on sale for $109.90,,22-October-2010,0628586183742,09-October-2014,,ButterflyPhoto,,,"Canon EOS 60D Digital SLR Essentials Accessory Kit Includes 8GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Extended Replacement LP-E6 (2200 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe SLR Backpack + 52"" Pro Tripod + More",,,628586183742,,,,,,,
Lens Kit Includes 52mm Multi Coated on sale for $17.90,,8-December-2010,0628586194007,09-October-2014,,ButterflyPhoto,,,"Lens Kit Includes 52mm Multi Coated Protective UV Filter + 52mm Lens Hood + Lens Pen Cleaning Kit For The Panasonic Lumix DMC-G1, DMC-G10 12.1 MP Digital Camera",,$24.95,628586194007,,,,,,,
Canon PowerShot A2300 IS 16MP Digital on sale for $114.94,Point-and-Shoot,2-December-2012,0013803146677,09-October-2014,,Canon,,,Canon PowerShot A2300 IS 16MP Digital Camera with 5x IS Zoom with 720p HD Video Recording (Black),6191B001,$139.00,013803146677,,,,Made in USA,,,
NP-W126 Repacement Battery For Fuji X-Pro on sale for $85.19,,6-November-2012,0662425822645,09-October-2014,,BVI,,,NP-W126 Repacement Battery For Fuji X-Pro 1 Accessory kit,NP-W126,,662425822645,,,,,,,
Nikon COOLPIX S9500 Wi-Fi Digital Camera on sale for $241.59,Point-and-Shoot,22-June-2013,0018208264179,09-October-2014,,Nikon,,,Nikon COOLPIX S9500 Wi-Fi Digital Camera with 22x Zoom and GPS (Silver),,$349.95,018208264179,,,,,,,
Pentax K-r Digital SLR Camera on sale for $896.45,,19-September-2011,0846840012137,09-October-2014,,Digital,12.4 MP,,Pentax K-r Digital SLR Camera with 18-55mm Lens (Black) + Huge Accessories Package Including Wide Angle Macro Lens + 2x Telephoto Lens + 3 Pc Filter KIT + 16gb Sdhc Memory Card & Much More!!,,,846840012137,,,,,,,
NP-W126 Repacement Battery For Fuji X-Pro on sale for $110.49,,6-November-2012,0662425822621,09-October-2014,,BVI,,,"NP-W126 Repacement Battery For Fuji X-Pro 1 , HS30EXR, HS33EXR",NP-W126,,662425822621,,,,,,,
Nikon Coolpix S3300 16MP Digital Camera on sale for $95.00,Point-and-Shoot,3-July-2012,0018208263103,09-October-2014,,Nikon,,,Nikon Coolpix S3300 16MP Digital Camera with 6x Zoom (Black),,$139.95,018208263103,,,,,,,
Panasonic Lumix DMC-FZ200 12.1MP Digital on sale for $418.81,,20-July-2012,0885170087804,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FZ200 12.1MP Digital Camera with 24x Zoom,DMC-FZ200,$599.99,885170087804,,,,Made in USA,,,
Nikon D3300 HDSLR 2 Lens Bundle on sale for $986.95,,5-May-2014,0012345444883,10-October-2014,,Nikon,,,Nikon D3300 HDSLR 2 Lens Bundle with 18-55mm VR II and 70-300mm VR Lenses (Black),,,012345444883,,,,,,,
Nikon D3200 24.2MP Digital SLR Camera on sale for $298.00,DSLR,17-August-2013,0662425839872,09-October-2014,,Nikon,,,Nikon D3200 24.2MP Digital SLR Camera (Body Only),D3200 body,$699.00,662425839872,,,,,,,
Nikon D4 16.2MP CMOS FX Digital SLR on sale for $4495.00,SLR,16-March-2012,4960759134714,09-October-2014,,Nikon,,,Nikon D4 16.2MP CMOS FX Digital SLR with Full 1080p HD Video (Body Only),,$5999.00,018208254828,,,,Made in USA,,,
Canon Powershot A620 7MP Digital Camera on sale for $605.98,,31-August-2005,0013803054019,09-October-2014,,Canon,,,Canon Powershot A620 7MP Digital Camera with 4x Optical Zoom,PowerShot A620,$449.99,013803054019,4 x 2.5 x 1.8 in.,00013803054019,3 lbs.,,"6.0 Megapixels +, 7.0 - 7.9 Megapixels",,
Canon Rebel T5i Digital SLR Camera on sale for $828.78,SLR,16-December-2013,0013803222449,10-October-2014,,Canon,,,Canon Rebel T5i Digital SLR Camera with 18-135mm EF-S IS STM Lens Kit,8595B005,$1049.00,013803222449,,,,Made in USA,,,
Canon EOS 60D Digital SLR Essentials on sale for $50.90,,22-October-2010,0628586183872,09-October-2014,,ButterflyPhoto,,,Canon EOS 60D Digital SLR Essentials Accessory Kit Includes 8GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Extended Replacement LP-E6 (2600 mAH) Battery + Ac/Dc Rapid Travel Battery Charger + Deluxe SLR Case + Gripster,,$109.95,628586183872,,,,,,,
Canon PowerShot Elph 510 HS 12.1MP on sale for $174.99,Point-and-Shoot,30-October-2011,0013803140422,09-October-2014,,Canon,12.1 MP,12 x,Canon PowerShot Elph 510 HS 12.1MP Digital Camera with 12x Zoom and Full HD Video (Black),5685B001,$349.00,013803140422,,,,,,,
Canon EOS Rebel T3i 600d Digital SLR on sale for $669.90,,24-May-2012,0022099764397,09-October-2014,,ZEEMO,,,"Canon EOS Rebel T3i 600d Digital SLR Camera with 18-55mm Is Lens, 3 Extra Lenses, 2x Extended Battery, 16gb Sdhc Memory, Hdmi Cabel, 57 Inch Aluminum Tripod and More - (16gb + 4lens Professional Kit)",,,022099764397,,,,,,,
Tripod Kit For The Canon SX30IS SX30 IS on sale for $22.90,,23-November-2010,0628586194298,09-October-2014,,ButterflyPhoto,,,Tripod Kit For The Canon SX30IS SX30 IS Digital Camera Includes Gripster Flexible Tripod + Clear LCD Screen Protectors,,$19.95,628586194298,,,,,,,
Panasonic Lumix DMC-FZ70 16.1MP Digital on sale for $209.88,Point-and-Shoot,4-August-2013,0885170150737,01-November-2014,,Panasonic,,,Panasonic Lumix DMC-FZ70 16.1MP Digital Camera with 60x IS Zoom,DMC-FZ70K,$399.99,885170150737,,,,Made in Japan,,,
Sony Alpha NEX-5N 16.1MP Compact DSLR on sale for $763.84,SLR,24-October-2011,0027242830882,09-October-2014,3 inches,Sony,16.1 MP,1 x,Sony Alpha NEX-5N 16.1MP Compact DSLR Camera with 18-55mm Lens (Black),NEX5NK/B,$699.99,027242830882,,,,,,,
Fujifilm X-M1 16MP Compact System Digital on sale for $599.00,SLR,24-November-2013,0074101023183,09-October-2014,,Fuji Photo Film,,,Fujifilm X-M1 16MP Compact System Digital Camera Kit with 16-50mm Lens (Brown),X-M1 Kit w/ 16-,$799.95,074101023183,,,,,,,
Pentax K-x Digital SLR 12.4MP on sale for $516.25,Point-and-Shoot,18-December-2009,0027075158931,09-October-2014,,Pentax,12.4 MP,3 x,Pentax K-x Digital SLR 12.4MP with 18-55mm f/3.5-5.6 AL Lens Kit (Black),K-x 18-55mm Bla,$749.99,027075159440,,00027075159440,,,,,
Sony Cyber-shot DSC-RX1 Full-Frame 35mm on sale for $1898.98,Point-and-Shoot,9-November-2013,0017856336962,09-October-2014,,Sony,,,Sony Cyber-shot DSC-RX1 Full-Frame 35mm Digital Camera,DSC-RX1/B,$2799.99,027242863507,,,,Made in USA,,,
Samsung WB750 12.5MP Digital Camera on sale for $173.95,Point-and-Shoot,3-July-2012,0044701016229,09-October-2014,,Samsung,,,Samsung WB750 12.5MP Digital Camera with 18x Zoom and Full HD Video,,,044701016229,,,,,,,
Nikon Coolpix S550 10MP Digital Camera on sale for $278.49,,28-July-2008,0018208261093,09-October-2014,,Nikon,,,Nikon Coolpix S550 10MP Digital Camera with 5x Optical Zoom (Cool Blue),,$229.99,018208261093,3.5 x 0.9 x 2 in.,,2 lbs.,,10.0 - 10.9 Megapixels,,
Panasonic Lumix DMC-FX500 10.1MP Digital on sale for $286.61,,9-June-2008,0037988987818,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-FX500 10.1MP Digital Camera with 5x Wide Angle MEGA Optical IS Zoom (Silver),DMC-FX500S,$399.95,037988987818,,00037988987818,1 lbs.,,10.0 - 10.9 Megapixels,,"Wide Angle, Image Stabilization"
Sony Cybershot DSCW120/L 7.2MP Digital on sale for $247.94,,15-October-2008,0027242726703,09-October-2014,,Sony,,,Sony Cybershot DSCW120/L 7.2MP Digital Camera with 4x Optical Zoom with Super Steady Shot (Blue),DSCW120/L,,027242726703,3.5 x 2.25 x 0.88 in.,,1 lbs.,,7.0 - 7.9 Megapixels,,
Pentax K-01 16MP APS-C CMOS Compact on sale for $1030.89,,9-December-2012,0662425827909,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera With 40mm Lens (Black) + Extended Life Battery + 16GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + 3 Piece Pr,K-01 w/ 40mm BL,$899.99,662425827909,,,,,,,
Pentax Optio T10 6MP Digital Camera on sale for $147.48,,17-February-2006,0027075117037,09-October-2014,,Pentax,,,Pentax Optio T10 6MP Digital Camera with 3x Optical Zoom,18941,$529.95,027075117037,7.4 x 6.4 x 3.9 in.,00027075117037,2 lbs.,,,,
Panasonic Lumix DMC-GH3 16MP Digital on sale for $897.99,Point-and-Shoot,10-December-2013,0017856323122,10-October-2014,,Panasonic,,,Panasonic Lumix DMC-GH3 16MP Digital Mirrorless Camera (Body Only),DMC-GH3KBODY,$1299.99,885170103887,,,,,,,
Olympus PEN E-P1 12.3 MP Micro Four on sale for $262.90,Point-and-Shoot,2-February-2012,0050332169784,09-October-2014,,Olympus,,,Olympus PEN E-P1 12.3 MP Micro Four Thirds Interchangeable Lens Digital Camera (Body Only),Silver Body,$749.99,050332169784,,,,,,,
Olympus Stylus 750 7.1MP Digital Camera on sale for $399.95,,30-August-2006,0050332158504,09-October-2014,,Olympus,,,Olympus Stylus 750 7.1MP Digital Camera with Digital Image Stabilized 5x Optical Zoom and CCD Shift Stabilization (Red),225875,$390.36,050332158504,,00050332158504,2 lbs.,,7.0 - 7.9 Megapixels,,Image Stabilization
Sony Cybershot DSC-W130 8.1MP Digital on sale for $170.46,,4-April-2008,0027242731356,09-October-2014,,Sony,,,Sony Cybershot DSC-W130 8.1MP Digital Camera with 4x Optical Zoom with Super Steady Shot (Pink),DSC-W130/P,$329.99,027242731356,,00027242731356,1 lbs.,,8.0 - 8.9 Megapixels,,
Canon PowerShot SD1100IS 8MP Digital on sale for $244.18,,3-March-2008,0013803090123,09-October-2014,,Canon,,,Canon PowerShot SD1100IS 8MP Digital Camera with 3x Optical Image Stabilized Zoom (Silver),2508B001,$349.99,013803090123 012345822926,3.4 x 0.9 x 2.2 in.,00013803090123,7 lbs.,,8.0 - 8.9 Megapixels,,Image Stabilization
Kodak EasyShare C330 4MP Digital Camera on sale for $70.49,,8-June-2005,0041771290849,09-October-2014,,Kodak,,,Kodak EasyShare C330 4MP Digital Camera with 3x Optical Zoom,1290840,$199.95,041771290849,,00041771290849,2 lbs.,,,,
Nikon Coolpix P7000 10.1MP Digital Camera on sale for $299.99,Point-and-Shoot,8-November-2010,0018208262335,09-October-2014,3 inches,Nikon,10.1 MP,7.1 x,Nikon Coolpix P7000 10.1MP Digital Camera with 7.1x Zoom,P7000 Black,$499.95,018208262335,,00018208262335,,,,,
Nikon Coolpix P530 16.1 MP CMOS Digital on sale for $234.95,Point-and-Shoot,18-September-2014,0018208264643,09-October-2014,,Nikon,,,Nikon Coolpix P530 16.1 MP CMOS Digital Camera with 42x Zoom Lens and Full HD 1080p Video,,$449.95,018208264643,,,,,,,
Pentax Q10 12.4MP Digital Camera on sale for $177.98,SLR,3-April-2014,0027075220966,09-October-2014,,Pentax,,,Pentax Q10 12.4MP Digital Camera with 02 Standard Zoom Lens Kit 5-15mm (Silver),Pentax Q10 02 z,$399.95,027075220966,,,,,,,
Canon EOS Rebel T2i 18MP DSLR on sale for $864.38,SLR,28-September-2010,0013803123777,09-October-2014,3 inches,Canon,18 MP,,Canon EOS Rebel T2i 18MP DSLR (Body Only),T2i Body Only,$1199.99,013803123777,,00013803123777,,,,Yes,
Canon PowerShot SX160 IS 16MP Digital on sale for $116.99,Point-and-Shoot,6-November-2012,0013803157215,09-October-2014,,Canon,,,Canon PowerShot SX160 IS 16MP Digital Camera with 16x IS Zoom,6354B001,$229.00,013803157215,,,,Made in USA,,,
Battery Kit Includes 2 Extended on sale for $39.90,,8-December-2010,0628586193932,09-October-2014,,ButterflyPhoto,,,"Battery Kit Includes 2 Extended Replacement DMW-BLB13 (1500 mAH) Batteries + 3PC Lens Cleaning Kit + LCD Clear Screen Protectors For The Panasonic Lumix DMC-G1, DMC-G10 12.1 MP Digital Camera",,$89.95,628586193932,,,,,,,
