<page title>,an,battery model,cant find a,card format,colour,connectivity,exposure control,exposure modes,face detection technology,file formats,flash metering,flash type,focal length tele,focal length wide,image stabilisation,iso max,iso min,max aperture tele,max aperture wide,megapixels,minimum focus distance,movie mode,needs additional,optical zoom x,pictbridge,please add,requires,resolution,screen resolution pixels,screen size inches,sensor size,sensor type,shutter speed max,shutter speed min,size,the description needs,the information is,viewfinder type,weight g,hd movie mode,manufacturers link
Sony CyberShot W830 Digital Camera - Black (DSCW830B.CEH) - Wex Photographic,image is incorrect,NP-BN,related accessory,"SD, SDHC, SDXC",Black,Hi-Speed USB,"Â± 2.0EV, 1 / 3EV step",,Yes,"JPEG, MP4",,Built-in,200.0,25.0,Yes,3200,80,6.3,3.3,20.1,5cm,720p,specifications,8.0,Yes,more image angles,compatibility information,,230400,2.7,1/2.3 inch,CCD,1/1600 sec,1 sec,93.1 x 52.5 x 22.5 mm,further detail,incorrect,LCD,,720p,Click here
Sony Cyber-shot RX100 Black Digital Camera (DSCRX100.CEH) - Wex Photographic,image is incorrect,NP-BX1,related accessory,"SD/SDHC/SDXC, Memory Stick Duo/Pro Duo/Pro-HG Duo",Black,"USB 2.0, HDMI (Mini Type C)","? 3.0EV, 1/3EV step",13 Scene Modes,Yes,"JPEG, RAW, RAW+JPEG","Auto, On, Off, Slow Sync",Built-in,100.0,28.0,Yes,25600,100,4.9,1.8,20.2,5 cm,1080p,specifications,3.6,Yes,more image angles,compatibility information,5472 x 3648,1228800,3.0,,CMOS,1/2000 sec,30 sec,102 x 59 x 36 mm,further detail,incorrect,LCD,213.0,,Click here
Sony Cyber-Shot QX10 Lens Style Digital Camera - White (DSCQX10W.CE7) - Wex Photographic,image is incorrect,NP-BN,related accessory,"Memory Stick Micro, Memory Stick Micro (mark 2), microSD Memory Card, microSDHC Memory Card, microSDXC Memory Card",White,"Multi/Micro USB Terminal, Hi-Speed USB",,,Yes,"JPEG, MP4",,,250.0,25.0,,12800,100,5.9,3.3,18.0,5cm,1080p,specifications,10.0,,more image angles,compatibility information,,0,0.0,1/2.3 inch,CMOS,1/1600 sec,4 sec,62.4 x 61.8 x 33.3 mm,further detail,incorrect,,105.0,,Click here
Nikon Coolpix S32 Digital Camera - Blue (VNA581E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"SD, SDHC, SDXC",Blue,"Hi-Speed USB 2.0, HDMI",,,,JPEG,,Built in,90.0,30.0,Yes,1600,125,5.9,3.3,13.2,5cm,1080p Full HD,specifications,3.0,,more image angles,compatibility information,4160 x 3120,230000,2.7,1/3.1 inch,CMOS,1/2000 sec,1 sec,107.6 x 66.1 x 66.1 mm,further detail,incorrect,2.7 Inch TFT,175.0,1080p,Click here
Panasonic LUMIX DMC-LX100 Digital Camera - Black (DMC-LX100EBK ) - Wex Photographic,image is incorrect,,related accessory,"SD, SDHC, SDXC",Black,"USB 2.0, microHDMI",+/- 3.0EV 1/3 Step,,Yes,,,Built-in,120.0,24.0,Yes,25600,100,2.8,1.7,12.8,3cm,4K,specifications,3.1,Yes,more image angles,compatibility information,4112 x 3088,0,3.0,17.3 x 13 mm,CMOS,1/16000 sec,60 sec,116 x 74 x 66 mm,further detail,incorrect,Electronic Viewfinder,553.0,,
Panasonic LUMIX DMC-TZ55 Digital Camera - White (DMC-TZ55EB-W) - Wex Photographic,image is incorrect,DMW-BCM13,related accessory,"SD, SDHC, SDXC",White,"microHDMI, AV Output (PAL / NTSC), USB (AV/USB Multi)","1/3 EV step, +/-2 EV",,Yes,"JPEG, MP4","Auto, Auto/Red-eye Reduction, Forced On, Slow Sync./Red-eye Reduction, Forced Off/0.6 - 6.0m (Wide / ISO Auto), 1.0 - 3.1m (Tele / ISO Auto)",Built-in,480.0,24.0,Yes,6400,100,6.4,3.3,16.0,3cm,1080p,specifications,20.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.33 inch,MOS,1/2000 sec,30 sec,106.8 x 62.2 x 32.4 mm,further detail,incorrect,LCD,224.0,,Click here
Samsung WB50F Digital Smart Camera - Black (EC-WB50FZBPBGB) - Wex Photographic,image is incorrect,EA-SLB10A,related accessory,"microSD, microSDHC, microSDXC",Black,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,20 Scenes Modes,Yes,"JPEG, MP4",,Built in,288.0,24.0,Yes,3200,80,6.3,3.1,16.2,5 cm,720p,specifications,12.0,,more image angles,compatibility information,4609 x 3456,460000,3.0,1/1.23 Inch,CCD,1/2000 sec,1/8 sec,101 x 68 x 27.1 mm,further detail,incorrect,3 Inch LCD,157.0,720p,
Fuji X100T Digital Camera - Silver (P10NC13260A) - Wex Photographic,image is incorrect,NP-95,related accessory,"SD, SDHC, SDXC",Silver,USB 2.0,+/- 3.0EV 1/3 Step,,Yes,"JPEG, RAW, RAW+JPEG",,Built-in,23.0,23.0,Yes,25600,200,2.0,2.0,16.3,10cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4896 x 3264,1040000,3.0,23.6 x 15.6 mm,CMOS,1/4000 sec,30 sec,126.5 x 74.4 x 52.4 mm,further detail,incorrect,Hybrid viewfinder,400.0,,
Panasonic LUMIX DMC-LX7 Black Digital Camera (DMC-LX7EB-K ) - Wex Photographic,image is incorrect,,related accessory,"70MB Internal, SD/SDHC/SDXC",Black,"USB 2.0, HDMI mini (Type C)",,16 Scene Modes,Yes,"RAW, JPEG, MPO, MPEG-4, AVCHD","Auto, On, Off, Red-Eye, Slow Sync",Built-in (pop-up),90.0,24.0,Yes,12800,80,2.3,1.4,10.1,1 cm,1080p,specifications,3.8,Yes,more image angles,compatibility information,3648 x 2736,920000,3.0,1/1.7 inch,CMOS,1/4000 sec,60 sec,111 x 68 x 46 mm,further detail,incorrect,TFT colour LCD,269.0,,Click here
Canon PowerShot SX600 HS Digital Camera - White (9341B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",White,"Hi-Speed USB, HDMI Micor Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,450.0,25.0,Yes,3200,100,6.9,3.8,16.0,5cm,1080p HD,specifications,18.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,103.8 x 61.0 x 26.0 mm,further detail,incorrect,LCD,188.0,,Click here
Canon PowerShot D30 Digital Camera (9337B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",Blue,"Hi-Speed USB, HDMI Mini Connector",,,,"JPEG, MOV",,Built-in,140.0,28.0,,3200,100,4.8,3.9,12.1,1cm,1080p,specifications,5.0,,more image angles,compatibility information,4000 x 3000,461000,3.0,1/2.3 inch,CMOS,1/1600 sec,15 sec,109.4 x 68.0 x 27.5 mm,further detail,incorrect,PureColor II LCD (TFT),218.0,1080p,
Canon IXUS 265 HS Digital Camera - Pink (9354B007AA) - Wex Photographic,image is incorrect,NB-11LH,related accessory,"SD, SDHC, SDXC",Pink,"Hi-Speed USB, HDMI Micro Connector, Wi-Fi","+/- 2.0EV, 1/3EV step",32 Scene Modes,Yes,"JPEG, MP4","Auto, Manual Flash On / Off, Slow Synchro",Built-in,300.0,25.0,Yes,3200,100,7.0,3.6,16.0,1cm,1080p,specifications,12.0,Yes,more image angles,compatibility information,4608 x 3456,461000,3.0,1/2.3 inch,CMOS,1/2000 sec,15 sec,99.7 x 57.6 x 22.4 mm,further detail,incorrect,LCD,147.0,,Click here
Sony Cyber-shot WX220 Digital Camera - Black (DSCWX220B.CEH) - Wex Photographic,image is incorrect,,related accessory,"SDHC, SDXC",Black,,,,,,,Bulit-in,0.0,0.0,,0,0,0.0,0.0,18.2,,1080p,specifications,0.0,,more image angles,compatibility information,,0,2.7,,CMOS,,,,further detail,incorrect,LCD Monitor,,,
Canon PowerShot S120 Digital Camera - Black (8407B012AA) - Wex Photographic,image is incorrect,NB-6LH,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB, HDMI Mini Connector, Wi-Fi",+/- 3.0EV,58 Scene Modes,Yes,"JPEG, RAW, RAW + JPEG, MP4, MPEG2 AAC-LC",,Built-in,120.0,24.0,Yes,12800,80,5.7,1.8,12.1,3cm,1080p,specifications,5.0,Yes,more image angles,compatibility information,4000 x 3000,922000,3.0,1/1.7 inch,CMOS,1/2500 sec,250 sec,100.2 x 59.0 x 29.0 mm,further detail,incorrect,PureColour II G LCD,217.0,,Click here
Samsung Galaxy Camera 2 Digital Camera - White (EK-GC200ZKAWTU) - Wex Photographic,image is incorrect,Built-in 2000 mAh,related accessory,,White,"USB 2.0, HDMI, Wi-Fi","+/- 2.0EV, 1/3EV step",28 Scene Modes,Yes,"MPEG-4, H.264","Auto, auto w/redeye reduction, fill-in, slow sync, flash off, redeye fix",Built-in,483.0,23.0,Yes,3200,100,5.9,2.8,16.3,10cm,1080p HD,specifications,21.0,Yes,more image angles,compatibility information,4608 x 3456,1036800,4.8,1/2.3 inch,BSI CMOS,16 sec,1/2000 sec,132.5 x 71.2 x 19.3 mm,further detail,incorrect,HD Super Clear Touch LCD,283.0,,
Samsung WB350F Digital Smart Camera - Brown (EC-WB350FBPNGB) - Wex Photographic,image is incorrect,SLB-10A Lithium-Ion,related accessory,"microSD, microSDHC, microSDXC",Brown,"Hi-Speed USB (USB2.0), Wi-Fi & NFC",Â±2.0EV 1/3EV step,20 Scene Modes,Yes,"JPEG, MP4",,Built-in,483.0,23.0,Yes,3200,80,5.9,2.8,16.3,10 cm,1080p,specifications,21.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/1.23 Inch,CMOS,1/2000 sec,1/8 sec,114 x 65 x 25 mm,further detail,incorrect,3 Inch LCD,276.0,1080p,
