<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
CANON POWERSHOT SX700HS BLACK 16.1MP 30X W/CASE 9338B015,ACK-DC40,None,16MP,"16:9, 3:2, 4:3, 1:1",NB-6LH,Yes,No,3.1 shots/sec.; 8.5 shots/sec.,Super Zoom,.,Black,HDMI micro connector,.,4x,TFT Colour,16.1MP,AE Lock,None,JPEG,"Auto, On, Slow Synchro, Off","Auto: 0.4 in. (1 cm) - infinity (W), 4.6 ft. (1.4 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 4.6 ft. (1.4 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1 - 50 cm); Sports: 3.3 ft. (1 m) - infinity (W), 26.0 ft. (8m) - infinity (T)",Yes,100-3200,4.5mm (W) - 135.0mm (T) (35mm film equivalent: 25-750mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),30x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CMOS",15-1/3200 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom, Multi-area White Balance",,,,,,No,No,No,,,,,,,,,245g (8.64 oz.) Body Only,112.7 x 65.8 x 34.8mm (4.44 x 2.59 x 1.37 in.),,,,,,,,,,,,,,,,,,
CELESTRON AMOEBA DIGITAL MICROSCOPE GREY 44326,N/A,N/A,,N/A,USB 2.0 power via computer,N/A,N/A,N/A,Microscope,.,Grey,N/A,.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,200x,N/A,,N/A,N/A,N/A,N/A,2 year limited warranty,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG WB2200F 16MP 60X WIDE ANGLE 3"" SMART CAMERA EC-WB2200BPBCA",NA,NA,16MP,NA,BP-1410,Yes,17MB,NA,Super Zoom,.,Black,"AV, HDMI 1.4 (D), Wi-Fi",.,2x,LCD Rear Screen,16.4MP,Program AE,No,Still: NA; Video: MP4,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal: 80cm-Infinity (Wide), 350cm-infinity(Tele), Macro: 10cm-80cm (Wide), 150cm-350cm (Tele), Auto Macro: 1cm-infinity (Wide), 150cm-infinity (Tele), Super Macro: 1cm (Wide, Minimum Focus Distance)",Yes,100-6400,3.58-214.8mm (35mm film equivalent: 20-1200 mm),SD/SDHC/SDXC,"Metering: Multi, Spot, Center-weighted, Face Detection AE, Metering Rang : EV 2-17 (Wide, ISO Auto), EV 4-17 (Tele, ISO Auto)","0 to 40C (32 to 104F),
Humidity: 5-85%",60x,via Smartphone,"3.0""","2 sec., 10 sec.",BSI CMOS,8 - 1/2000 sec.,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,635.0 g (1.4 lb.),119.4 x 121.9 x 104.1 mm (4.7 x 4.8 x 4.1 in.),,,,,,,,,,,,,,,,,,
"OLYMPUS TG-630IHS BLUE 12MP 5X 3"" CMOS V104110UU000",F-2AC,None,12MP,N/A,LI-50B,Yes,57MB,"Up to 5 fps at 12 MP for up to 25 frames
Up to 15 fps at 3 MP for up to 100 frames
Up to 10 fps at 3 MP for up to 28 frames
Up to 60 fps at 3 MP for up to 100 frames",Waterproof,.,Blue,"AV Output, DC Input, HDMI D, USB 2.0",.,4x,LCD Rear Screen,12.0MP,Modes: Programmed Auto,N/A,JPEG,"Auto
Fill-in
Off
LED
Red-eye Reduction","Wide: 7.87"" (20 cm) - Infinity
Telephoto: 19.69"" (50 cm) - Infinity
Super-Macro: 1.18"" (3 cm) - 23.62"" (60 cm)",Yes,100-6400,"EFL: 5.0-25 mm (35 mm equivalent: 28-140 mm)
Aperture: f/3.9 (W) - 5.9 (T)",SD/SDHC/SDXC,N/A,"-10 to 40C (14 to 104F)
Humidity: 0-85%",5x,N/A,"3.0""","2 sec, 12 sec","1/2.3"" CMOS",4-1/2000 sec,LCD Display,1 year warranty,N/A,(0),(0),(0),(0),(1),Yes,5.0 ft.,5.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANASONIC DMCTS5A BLUE 16.1MP 4.6X WATERPROOF DMCTS5A,110-240V AC,9.3x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,15MB,"Up to 10 fps at 16.1 MP for up to 10 frames
Up to 40 fps at 5 MP
Up to 60 fps at 3 MP",Waterproof,.,Blue,"AV Output, HDMI D, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Manual, Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,"JPEG, MPO","Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 11.81"" (30 cm) - Infinity
Telephoto: 11.81"" (30 cm) - Infinity
Wide Macro: 1.97"" (5 cm) - Infinity
Tele Macro: 11.81"" (30 cm) - Infinity",Yes,100-6400,"Leica DC Vario-Elmar, 10 elements in 8 groups
5 Aspheric, 1 ED
EFL: 4.9-22.8 mm (35 mm equivalent: 28-128 mm)
Aperture: f/3.3 (W) - 5.9 (T)",SD/SDHC/SDXC,Multi,"-10 to 40C (14 to 104F)
Humidity: 0-100%",4.6x,N/A,"3.0""","2 Sec, 10 Sec","1/2.33"" CMOS",4-1/1300 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Manual, Shade, Tungsten",(0),(0),(0),(1),(0),Yes,6.6 ft.,13.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L27 BLACK 16.1MP 5X 2.7"" AA 32416",N/A,None,16MP,N/A,2 AA Batteries,Yes,20MB,Up to 1.2 fps at 16.1 MP for up to 3 frames,Small & Easy,.,Black,"AV Output, USB 2.0",.,4x,LCD Screen,16.1MP,"Modes: Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,JPEG,TTL Auto,"Wide: 19.69"" (50 cm) - Infinity
Telephoto: 31.50"" (80 cm) - Infinity
Macro: 3.94"" (10 cm) -",Yes,80-1600,"NIKKOR, 6 elements in 5 groups
EFL: 4.6-23 mm (35 mm equivalent: 26-130 mm)
Aperture: f/3.2 (W) - 6.5 (T)",SD/SDHC/SDXC,"Center-weighted, Matrix, Spot","0 to 40C (32 to 104F)
Humidity: 0-85%",5x,N/A,"2.7""",10 sec,"1/2.3"" CCD","Type: Electronic & Mechanical
Speed: 4-1/2000 sec",LCD Display,2 year warranty,"Auto
Cloudy
Daylight
Flash
Fluorescent
Incandescent
Preset Manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANON POWERSHOT N 12.1MP CMOS WHITE 8X 2.8 8231B005,ACK-DC70,None,12MP,"1:1, 3:2, 4:3, 16:9",NB-9L,Yes,N/A,Up to 2.3 fps,Wi-Fi,.,White,USB 2.0,.,4x,LCD Rear Touch Screen Tilt LCD,12.1MP,"Modes: Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,JPEG,"Auto
Flash On
Off
Slow Sync","Wide: 0.4"" (1.02 cm) - Infinity
Telephoto: 3.3' (1.01 m) - Infinity",Yes,80-6400,"EFL: 5-40 mm (35 mm equivalent: 28-224 mm)
Aperture: f/3.0 (W) - 5.9 (T)",Micro SD/SDHC/SDXC,"Center-weighted, Evaluative, Spot","0 to 40C (32 to 104F)
Humidity: 10-90%",8x,N/A,"2.8""","2 Sec, 10 Sec","1/2.3"" CMOS",15-1/2000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Fluorescent, Fluorescent H, Tungsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG WB350F WHITE 16MP 21X 3"" SMART CAMERA EC-WB350FBPWCA",NA,NA,16MP,NA,1030 mAh,Yes,9.5MB,NA,Wi-Fi,.,White,"AV Output, USB 2.0",.,5x,LCD Rear Screen,16.3MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual Exposure",NA,Still: NA; Video: MP4,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal : 80 cm -Infinity (Wide), 350 cm -Infinity (Tele), Macro : 10 cm - 80 cm (Wide), 150 cm - 350 cm (Tele), Auto Macro : 10 cm - Infinity (Wide), 150 cm - Infinity (Tele), Manual : 10 cm -Infinity (Wide), 150 cm - Infinity (Tele)",Yes,NA,4.1-86.1 mm (23-483 mm 35mm Equivalent),"MicroSD, MicroSDHC, MicroSDXC","Metering : Multi, Spot, Center-weighted, Face Detection AE, Metering Range : EV 1-17 (Wide, ISO Auto), EV 3-17 (Tele, ISO Auto)","0 to 40C (32 to 104F)
Humidity: 5-85%",21x,NA,"3.0""","2 sec., 10 sec.","1/2.3"" CMOS",16-1/2000 sec,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,216g,113.6 x 65.1 x 25.0mm,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX L330 BLACK 20.2MP 26X 3"" 32422",EH-67 (Sold Separately),None,20MP,NA,4 rechargeable EN-MH2 NiMH or 4 LR6/L40 alkaline or 4 FR6/L91 lithium,Yes,43MB,1 fps,Super Zoom,.,Black,"Hi-Speed USB, AV Output, DC Input",.,4x,TFT Screen LCD Display,20.2MP,Programmed Auto,None,"JPEG, AVI",TTL auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 1cm to infinity,No,80-1600,4.0-104mm (35mm equivalent: 22.5-585mm lens),SD/SDHC/SDXC,"Matrix, Centre-weighted, Spot",0 to 40C (32F to 104F),26x,No,"3.0""",10 Sec,"1/2.3"" CCD",4 sec. to 1/1500 sec.,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Preset Manual",,,,,,No,No,No,,,,,,,,,430g (15.17 oz.),111.1 x 76.3 x 83.3mm (4.37 x 3.00 x 3.28 in.),,,,,,,,,,,,,,,,,,
"FUJI FINEPIX S1 BLACK 16.4MP 50X WIDE ANGLE 3"" 600013365",AC-5VT,,16MP,"1:1, 3:2, 4:3, 16:9",NP-85,Yes,37MB,Up to 10 fps,Super Zoom,.,Black,"HDMI mini C, USB 2.0",.,2x,LCD Rear Screen,16.4MP,"Programmed AE, Shutter Priority AE, Aperture Priority AE, Manual exposure",Hot Shoe,"JPEG, RAW, MOV","Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Normal: Wide : approx. 40cm to infinity / 1.3 ft. to infinity, Telephoto : approx. 1.5m to infinity / 4.9 ft. to infinity; Macro: Wide : approx. 5cm - 3.0m / 2.0 in. - 9.8 ft., Telephoto : approx. 1.3m - 5.0m / 4.3 ft. - 16.4 ft.; Super Macro: Wide : approx. 1cm - 1.0m / 0.3 in. - 3.3 ft.",Yes,100-12800,13 elements in 11 groups (includes 2 aspherical and 4 extra low dispersion elements),SD / SDHC / SDXC (UHS-I),"TTL 256-zone metering, Spot, Multi, Average",0 to 40 degrees C (32 to 104 degrees F),50x,RR-90 (Optional),"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",Mechanical Shutter: 30 sec. - 1/4000 sec,LCD Display,,"Auto, Fine, Shade, Fluorescent, Incandescent, Custom",(0),(0),(0),(1),(1),Dust Resistant,No,Weather Resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FUJIFILM FINEPIX S8600 BLACK 16MP 36X 3"" 600013361",AC-5VX (Sold Separately),None,16MP,"1:1, 3:2, 4:3, 16:9","3xAA type alkaline batteries (Included), 3xAA type Ni-MH rechargeable batteries (Sold Separately), 3xAA type lithium batteries (Sold Separately)",Yes,No,Up to 8.0 fps,Super Zoom,.,Black,"USB2.0, mini-B USB Terminal, HDMI Mini connector C",.,2.0x,LCD Rear Screen,16.0MP,"Programmed AE, Shutter priority AE, Manual exposure",No,"JPEG, AVI","Red-eye removal OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye removal ON; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro","Normal: Wide : approx. 40cm to infinity / 1.3 ft. to infinity, Telephoto : approx. 3.5m to infinity / 11.4 ft. to infinity; Macro: Wide : approx. 7cm - 3.0m / 2.7 in. - 9.8 ft., Telephoto : approx. 3.5m - 5m / 11.4 ft. - 16.4 ft. ; Super Macro: Wide : approx. 1cm - 1.0m / 0.3 in. - 3.2 ft.",Yes,100-6400,"4.5mm - 162mm, equivalent to 25 - 900mm on a 35mm format",SD/SDHC/SDXC,"TTL 256-zone metering; Multi, Spot, Average",0 to 40C (32 to 104F),36x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",8 sec-1/2000 sec,LCD Display,,"Auto Scene Recognition, Fine, Shade, Fluorescent, Incandescent",,,,,,No,No,No,,,,,,,,,380g / 13.4 oz.,121.3 x 80.8 x 64.6 mm / 4.8 x 3.2 x 2.7 in.,,,,,,,,,,,,,,,,,,
CANON EOS-7D MK II DIGITAL SLR BODY 9128B003,ACK-E6 (Optional),,20MP,3:2,LP-E6N or LP-E6,Yes Yes,,,Digital SLR,.,Black,"USB 3.0, Video Out, mini HDMI Out",,,Rear Screen LCD,20.2MP,"Scene Intelligent Auto, Program AE, Shutter-priority AE, Aperture-priority AE, Manual exposure, Bulb, Custom shooting modes",Yes,"JPEG, RAW, MOV",NA,,None,100-51200 100-51200,,"CF; SD, SDHC, SDXC","Evaluative metering (315-zone), Partial metering, Spot metering, Center-weighted average metering",0-40C (32-104F),,Yes,"3.0""","2 sec, 10 sec.",22.4 x 15.0mm CMOS,"Bulb, 30-1/8000 sec.",Pentaprism,,"Auto, Colour Temperature",,,,,,,,,,,Up to +-3 stops in 1/3-stop increments,"Program AE, Shutter-priority AE, Aperture-priority AE, Manual exposure",,,,,None 820 g (28.92 oz.),148.6 x 112.4 x 78.2 mm (5.85 x 4.43 x 3.08 in.),None NA,None,"Linear PCM, AAC",None,None,None,None,"1920 x 1080 (Full HD)
1280 x 720 (HD)
640 x 480 (Standard)",None,None,None,None,None,None,None,Yes: NTSC/PAL,Full HD 60p,
"CANON POWERSHOT N2 WHITE 16.1MP 8X 2.8"" TILT CMOS 9770B001",NA,None,16 MP,"1:1, 3:2, 4:3, 16:9",NB-9L,Yes,No,2.7 shots / sec.,Wi-Fi,.,White,"Hi-Speed USB, mini-B",.,4x,Tilt Touch LCD,16.1 MP,Auto Mode; Compensation: +-2 stops in 1/3-stop increments (photos only),None,"JPEG, MP4",NA,"0.4 in. (1 cm) - infinity (W), 3.3 ft. (1 m) - infinity (T)",Yes,100-3200,5.0 (W) - 40.0 (T) mm (35mm film equivalent: 28 (W) - 224 (T) mm),microSD/microSDHC/microSDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),8x,NA,"2.8""","2 Sec, 10 Sec","1/2.3"" CMOS",1-1/2000 sec.,LCD Display,,"Auto, Day Light, Cloudy, Tungsten, Fluorescent, Fluorescent H",,,,,,No,No,No,,,,,,,,,180 g (6.35 oz.),80.9 x 62.0 x 32.3 mm (3.19 x 2.44 x 1.27 in.),,,,,,,,,,,,,,,,,,
"FUJIFILM FINEPIX S9400W BLACK 16MP 50X 3"" 600013364",AC-5VX (Sold Separately),None,16MP,"1:1, 3:2, 4:3, 16:9","4xAA type alkaline batteries (Included), 4xAA type Ni-MH rechargeable batteries (Sold Separately), 4xAA type lithium batteries (Sold Separately)",Yes,38 MB,Up to 10 fps,Super Zoom,.,Black,"USB2.0, mini-B USB Terminal, HDMI Mini connector C",.,2.0x,LCD Rear Screen,16.2MP,"Programmed AE, Shutter priority AE, Aperture priority AE, Manual exposure",No,"JPEG, MOV","Red-eye removal OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Red-eye removal ON; Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro","Normal: Wide : approx. 40cm to infinity / 1.3 ft. to infinity, Telephoto : approx. 3.5m to infinity / 11.4 ft. to infinity; Macro: Wide : approx. 7cm - 3.0m / 2.7 in. - 9.8 ft., Telephoto : approx. 3.5m - 5m / 11.4 ft. - 16.4 ft. ; Super Macro: Wide : approx. 1cm - 1.0m / 0.3 in. - 3.2 ft.",Yes,100-12800,"4.3mm - 215mm, equivalent to 24 - 1200mm on a 35mm format",SD/SDHC/SDXC,"TTL 256-zone metering, Spot, Multi, Average",0 to 40C (32 to 104F),2.0x,No,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",8 sec-1/1700 sec,LCD Display,,"Auto Scene Recognition, Fine, Shade, Fluorescent, Incandescent, Custom",,,,,,No,No,No,,,,,,,,,577g / 20.3 oz.,122.6 x 86.9 x 116.2 mm / 4.8 x 3.4 x 4.6 in.,,,,,,,,,,,,,,,,,,
PANASONIC DMCTS5D ORANGE 16.1MP 4.6X WATERPROOF DMCTS5D,110-240V AC,9.3x,16MP,"1:1, 3:2, 4:3, 16:9",Rechargeable Lithium Ion Battery Pack,Yes,15MB,"Up to 10 fps at 16.1 MP for up to 10 frames
Up to 40 fps at 5 MP
Up to 60 fps at 3 MP",Waterproof,.,Orange,"AV Output, HDMI D, USB 2.0",.,4x,LCD Rear Screen,16.1MP,"Modes: Manual, Programmed Auto
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",None,"JPEG, MPO","Auto
Auto/Red-eye Reduction
Forced On
Off
Slow Sync./Red-eye Reduction","Wide: 11.81"" (30 cm) - Infinity
Telephoto: 11.81"" (30 cm) - Infinity
Wide Macro: 1.97"" (5 cm) - Infinity
Tele Macro: 11.81"" (30 cm) - Infinity",Yes,100-6400,"Leica DC Vario-Elmar, 10 elements in 8 groups
5 Aspheric, 1 ED
EFL: 4.9-22.8 mm (35 mm equivalent: 28-128 mm)
Aperture: f/3.3 (W) - 5.9 (T)",SD/SDHC/SDXC,Multi,"-10 to 40C (14 to 104F)
Humidity: 0-100%",4.6x,N/A,"3.0""","2 Sec, 10 Sec","1/2.33"" CMOS",4-1/1300 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Incandescent, Manual, Shade, Tungsten",(0),(0),(0),(0),(1),Yes,6.6 ft.,13.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLYMPUS TG-2 IHS BLACK 12MP CMOS 4X 3""OLED V104120BU000",F-2AC,None,12MP,3:2,LI-90B,Yes,22MB,"Up to 5 fps at 12 MP for up to 25 frames
Up to 15 fps at 3 MP for up to 100 frames
Up to 60 fps at 3 MP for up to 100 frames",Waterproof,.,Black,"AV Output, DC Input, HDMI D, USB 2.0",.,4x,OLED Rear Screen,12.0MP,"Modes: Aperture Priority, Programmed Auto",N/A,JPEG,"Auto
Fill-in
Off
LED
Red-eye Reduction","Wide: 3.94"" (10 cm) - Infinity
Telephoto: 3.94"" (10 cm) - Infinity
Super-Macro: 0.39"" (1 cm) - 3.94"" (10 cm)",Yes,125-6400,"EFL: 4.5-18 mm (35 mm equivalent: 25-100 mm)
Aperture: f/2.0 (W) - 4.9 (T)",SD/SDHC/SDXC,N/A,"-10 to 40C (14 to 104F)
Humidity: 0-85%",4x,N/A,"3.0""","2 sec, 12 sec","1/2.3"" CMOS",4-1/2000 sec,LCD Display,1 year warranty,N/A,(2),(0),(1),(0),(1),Yes,7.0 ft.,15.0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG WB350F RED 16MP 21X 3"" SMART CAMERA EC-WB350FBPRCA",NA,NA,16MP,NA,1030 mAh,Yes,9.5MB,NA,Wi-Fi,.,Red,"AV Output, USB 2.0",.,5x,LCD Rear Screen,16.3MP,"Program AE, Aperture Priority AE, Shutter Priority AE, Manual Exposure",NA,Still: NA; Video: MP4,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Normal : 80 cm -Infinity (Wide), 350 cm -Infinity (Tele), Macro : 10 cm - 80 cm (Wide), 150 cm - 350 cm (Tele), Auto Macro : 10 cm - Infinity (Wide), 150 cm - Infinity (Tele), Manual : 10 cm -Infinity (Wide), 150 cm - Infinity (Tele)",Yes,NA,4.1-86.1 mm (23-483 mm 35mm Equivalent),"MicroSD, MicroSDHC, MicroSDXC","Metering : Multi, Spot, Center-weighted, Face Detection AE, Metering Range : EV 1-17 (Wide, ISO Auto), EV 3-17 (Tele, ISO Auto)","0 to 40C (32 to 104F)
Humidity: 5-85%",21x,NA,"3.0""","2 sec., 10 sec.","1/2.3"" CMOS",16-1/2000 sec,LCD Display,,"Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom, K",,,,,,No,No,No,,,,,,,,,216g,113.6 x 65.1 x 25.0mm,,,,,,,,,,,,,,,,,,
"SONY DSC-RX100M2 20.2MP 3.6X 3""  1""CMOS DSCRX100M2",AC-UB10,None,20MP,(3:2),NP-BX1 3.6V,Yes,N/A,Up to 10 fps at 20.2 MP,Compact Digital Camera,.,Black,"USB 2.0 Hi-speed (mass-storage, MTP)",.,28x,TFT Screen LCD Display,20.2MP,"[Still]Superior Auto, Intelligent Auto, Program Auto (Program shift available), Shutter Priority, Aperture Priority, Manual, Scene Selection, Movie, Sweep Panorama[Movie]Program Auto, Aperture Priority, Shutter Priority, Manual",None,"JPEG, RAW, AVCHD Ver. 2.0 / MP4, Dolby Digital (AC-3) / MPEG-4 AAC-LC",Auto / Fill-flash / Slow Sync / Rear Sync / OffWireless (using compatible external flash),"f = 28-100mm [Still Image 16:9] f = 29-105mm [Still Image 4:3] f= 30-108mm [Still Image 1:1] f = 36-127mm [Movie 16:9] f = 29-105mm (SteadyShot Standard), f = 33-120mm (SteadyShot Active Mode) [Movie 4:3] f = 36-128mm(SteadyShot Standard), f = 41-146mm (SteadyShot Active Mode)",Yes,"ISO160-12800, Multi Frame NR",7 elements in 6 groups (4 aspheric elements including AA lenses) (b&h) EFL: 10.4-37.1 mm (35 mm equivalent: 28-100 mm)Aperture: f/1.8 (W) - 4.9 (T) 3,Memory Stick PRO Duo/Pro-HG Duo/PRO-HG HX Duo media - SD/SDH/SDXC,"Center-weighted, Multi-segment, Spot",Not stated by Manufacturer,3.6x,"Yes, via RM-VPR1","3.0""","2 Sec, 10 Sec","1.0"" CMOS sensor (13.2 X 8.8mm)",30-1/2000 sec,LCD Display,1 year warranty,"Auto, Daylight, Shade, Cloudy, Incandescent, Fluor (Warm White), Fluor (Cool White), Fluor (Day White), Fluor (Daylight), Flash, C. Temp., Filter, Custom",(0),(0),(0),(2),(1),N/A,Not stated by Manufacturer,Not stated by Manufacturer,"Circular, seven aperture blades, Wide F1.8 -11/Tele F4.9-11",101.6 x 58.1x 38.3 mm,,,Built-in,"3.0 type tiltable White Magic Display
Approx. 1,229k dots","Intelligent Auto, Superior Auto, Scene Selection, P, A, S, M, Sweep Panorama, Movie","1/2000-30sec, Bulb",281g (With battery and memory card),,,,,,,,,,,,,,,,,,,F1.8 (W)-4.9 (T)
"FUJIFILM JX600 WHITE 14MP 5X 2.7""LCD CCD 600012670",N/A,None,14MP,"3:2, 4:3, 16:9",NP-45A,Yes,None,N/A,Small & Easy,.,White,USB 1.1,.,6.7x,LCD Screen,14.0MP,Programmed AE,N/A,JPEG,"Auto, Forced Flash, Suppressed Flash, Slow Synchro","Wide: 1.6' (48.77 cm) - Infinity
Telephoto: 2.9' (88.39 cm) - Infinity
Wide Macro: 3.9"" (9.91 cm) - 2.6' (79.25 cm)
Tele Macro: 2.6' (79.25 cm) - 4.2' (1.28 m)",Yes,100-3200,"f=4.6mm - 23mm, equivalent to 26 - 130mm on a 35mm format",SD/SDHC/SDXC,TTL 256-zone metering,"0 to 40C (32 to 104F)
Humidity: 10-80%",5x,N/A,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",8-1/1400 sec,LCD Display,2 year warranty,"Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light",(0),(0),(0),(0),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT SX600HS WHITE 16MP 18X 3"" 9341B001",ACK-40,None,16MP,"16:9, 3:2, 4:3, 1:1",NB-6L/NB-6LH,Yes,No,3.9 shots/sec.; 10.5 shots/sec.,Wi-Fi,.,White,HDMI connector (D-type),.,4x,TFT Colour,16.0MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal/Auto: 2.0 in. (5cm) - infinity (W), 3.3 ft. (1m) - infinity (T); Macro: 2.0 in. - 1.6 ft. (5-50cm) (W), 4.6 ft. (1.4m) - infinity (T)",Yes,100-3200,4.5 (W) - 81.0 (T) mm (35mm film equivalent: 25-450mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),18x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CMOS",15-1/2000 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom",,,,,,No,No,No,,,,,,,,,164g (5.78 oz.),103.8 x 61.0 x 26.0mm (4.09 x 2.40 x 1.02 in.),,,,,,,,,,,,,,,,,,
CANON POWERSHOT SX700HS RED 16.1MP 30X W/CASE 9339B015,ACK-DC40,None,16MP,"16:9, 3:2, 4:3, 1:1",NB-6LH,Yes,No,3.1 shots/sec.; 8.5 shots/sec.,Super Zoom,.,Red,HDMI micro connector,.,4x,TFT Colour,16.1MP,AE Lock,None,JPEG,"Auto, On, Slow Synchro, Off","Auto: 0.4 in. (1 cm) - infinity (W), 4.6 ft. (1.4 m) - infinity (T); Normal: 2.0 in. (5 cm) - infinity (W), 4.6 ft. (1.4 m) - infinity (T); Macro: 0.4 in. - 1.6 ft. (1 - 50 cm); Sports: 3.3 ft. (1 m) - infinity (W), 26.0 ft. (8m) - infinity (T)",Yes,100-3200,4.5mm (W) - 135.0mm (T) (35mm film equivalent: 25-750mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F),30x,None,"3.0""","2 Sec., 10 Sec., Custom","1/2.3"" CMOS",15-1/3200 sec.,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom, Multi-area White Balance",,,,,,No,No,No,,,,,,,,,245g (8.64 oz.) Body Only,112.7 x 65.8 x 34.8mm (4.44 x 2.59 x 1.37 in.),,,,,,,,,,,,,,,,,,
