<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
"Olympus Stylus XZ-2 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","External Memory
Yes
Color
Black",Olympus,"USB
USB 2.0 Hi-Speed
HDMI
Yes
GPS
No","Dimensions
4.45 x 2.57 x 1.89 Inches
Weight
346 gms","Display Type
Tiltable LCD Touchscreen
Screen Size
3 Inches
Image Display Resolution
920000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
Supported Aspect Ratio
16:9, 3:2, 4:3, 6:6","Flash Modes
Auto, Fill-in, Manual, Slow Sync Flash
Flash Range
Wide : 0.06 - 10.97m, Telephoto : 0.06 - 8.53m
Built in Flash
Yes
External Flash
Yes","Brand
Olympus
Status
Available","Image Format
JPEG (DCF, EXIF 2.3, DPOF, PIM III)
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Olympus Lens
Auto Focus
TTL Auto Focus
Focal Length
6 - 24 mm (35 mm Equivalent to 28 - 112 mm)
Color Filter
Primary (RGB) Color Filter
Manual Focus
Yes","Upgradeable Memory
Yes
Inbuilt Memory
39 MB
Memory Card Type
SD, SDHC, SDXC (UHS-I)",12 MP,"ISO Rating
ISO 100-12800
Self Timer
2 sec, 12 sec
Face Detection
Yes
Shooting Modes
Backlight Correction HDR, Beach, Snow, Documents, E-Portrait, Fireworks, High Dynamic, Landscape, Multiple Exposure, Night, Night Portrait, Panorama Assist, Portrait, Sports, Sunset, Underwater Macro, Underwater Wide
Delete Function
Yes
Metering
Centre-Weighted, ESP Light, Highlight, Shadow, Spot
Macro Mode (Exposure Mode)
10 cm (W), 30 cm (T)
Red Eye Reduction
Yes
Picture Angle
28 mm Wide Angle
Continuous Shots
Up to 5 fps
White Balancing
Auto, Flash, Fluorescent-1, Overcast, Shade, Sunlight, Tungsten, Under Water Auto
Supported Languages
39 Languages
Aperture Range
f/1.8 - f/2.5
Microphone
Stereo Microphone
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
0.3 m (T), 0.6 m (T), 100% Magnification Mode), 12.76 Total MP, 35 Points / Automatic and Manual Selection, AF Confirmation Mark, AF Frame Display, AF Illuminator), AF Lock, AF Tracking, Aperture, Aperture Priority, Art F, Battery Check, Continuous AF, Contrast Detection System (100% Field of View, Exposure Compensation Value, Exposure System (Modes: Programme Automatic, Eye-Fi Condition, Face / Eye Detection Mode, Face Detection AF, Flash Intensity, Flash Mode, Flash Status, Focus Areas, Focus Mode, Focusing System (Method: Contrast Detection AF System, Histogram, Image Stabiliser (Type: Sensor Shift, Lens Construction: 11 Elements in 8 Groups, Live View (Displayed Information, Macro Mode: 0.1 m (W), Manual, Metal Body Material, Mode: Two-dimensional), Modes: Single AF, Movie, Number of Storable Pictures, Scene Modes, Shooting Information, Shutter Priority, Shutter Speed, Spot Metering Area, Standard Mode: 0.6 m (W), Super FP, Super Macro Mode, Tone Control), TruePic VI Engine",,"Optical Sensor Resolution (in MegaPixel)
12 MP","Supplied Battery
Rechargeable Li-ion Battery",»,"Sensor Type
CMOS Sensor
Sensor Size
1/1.7 Inches",CMOS Sensor,,"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
60 sec",,"Optical Zoom
4x
Digital Zoom
2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-SZ1 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black",Panasonic,"USB
USB 2.0 Hi-Speed
HDMI
No
Bluetooth
No
GPS
No","Dimensions
3.9 x 2.34 x 0.75 Inches
Weight
131 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
230000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 24 fps
Supported Aspect Ratio
16:9, 3:2, 4:3, 1:1","Flash Modes
Auto, Forced, Slow Sync Flash
Flash Range
(I.ISO) : Wide : 0.6 - 5.6m, Telephoto : 1.5 - 2.9m
Built in Flash
Yes","Brand
Panasonic
Status
Available","Image Format
JPEG (DCF, EXIF 2.3)
Video Format
MP4","Lens Type
Leica DC Vario-Elmarit
Focal Length
4.5 - 45 mm (35 mm Equivalent to 25 - 250 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Inbuilt Memory
70 MB
Memory Card Type
SD, SDHC, SDXC",16.1 MP,"ISO Rating
100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)
Self Timer
2 sec, 10 sec
Face Detection
Yes
Red Eye Reduction
Yes
Picture Angle
24 mm Ultra Wide Angle
Continuous Shots
Up to 1.3 fps
White Balancing
Auto, Cloudy, Daylight, Incandescent, Shade, White Set
Supported Languages
24 Languages
Aperture Range
f/3.1 - f/5.9
Microphone
Monaural Microphone
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",(7 ),"Optical Sensor Resolution (in MegaPixel)
16.1 MP","Supplied Battery
3.6v, Minimum : 680 mAh Battery
AC Adaptor
AC Adaptor (Input : 110 - 240v AC)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.33 Inches",CCD Sensor,(3.2 ) (3.2 ) (5 ) (4.6 ) (0 ) (2.2 ) (4.2 ),"Maximum Shutter Speed
1/1600 sec
Minimum Shutter Speed
8 sec",(3.4 ) (3.2 ) (5 ) (4.6 ) (0 ) (3 ) (4.8 ),"Optical Zoom
10x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm FinePix F550EXR Price in India with Offers & Full Specifications | PriceDekho.com,,Fujifilm,"USB
USB 2.0 Hi-Speed
HDMI
Yes; HDMI Mini Connector
Bluetooth
No","Weight
195 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
460000 dots","Flash Modes
Pop-Up Flash
Flash Range
Wide : 0.15 - 3.2m, Telephoto : 0.9 - 1.9m
Built in Flash
Yes","Brand
Fujifilm","Image Format
JPEG (EXIF 2.3 x 3)
Audio Formats
WAV
Video Format
H.264","Lens Type
Fujinon Lens
Auto Focus
Contrast Detection AF
Focal Length
4.4 - 66 mm, (35 mm Equivalent to 34 - 360 mm)
Color Filter
Primary Color","Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto, Standard Output Sensitivity (ISO 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800)
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Aperture, Auto, Beach, Cat, Dog, Fireworks, Flower, Landscape, Manual, Natural Light & With Flash, Night, Night (Tripod), Program, Party, Portrait, Portrait Enhancer, S, Snow, Sp, Natural Light, Sport, Sunset, Text, Underwater
Image Stabilizer
CCD Shift
Metering
Average, Multi, Spot, TTL 256-Zones
Macro Mode (Exposure Mode)
5 - 300 cm (W), 120 - 300 cm (T)
Red Eye Reduction
Yes
Continuous Shots
Up to 3 frames (3 fps)
White Balancing
Automatic Scene Recognition, Custom, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, Underwater, W: Cool White)
Sync Terminal
Yes
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",,"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Li-ion Battery (NP-50)
AC Adaptor
CP-50 with AC Power Adaptor AC-5VX (Sold Separately)",»,"Sensor Type
EXR CMOS Sensor
Sensor Size
1/2 Inches",EXR CMOS Sensor,,"Minimum Shutter Speed
Auto : 25 - 1/2000 sec, All Other Modes : 8 - 1/2000 sec",,"Optical Zoom
15x
Digital Zoom
5x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot A3100 IS Point & Shoot Digital Camera Silver Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Silver",Canon,"USB
Yes
Bluetooth
No","Weight
165 gms","Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Video Display Resolution
640 x 480 pixels 30 fps*/30fps LP*, 320 x 240 (30fps*) * Actual frame is 29.97fps pixels
ViewFinder","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
3m
Built in Flash
Yes
External Flash","Brand
Canon","Audio Formats
WAV
Video Format
AVI","Focal Length
35 mm (Film Equivalent)
Manual Focus",,12.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600
Self Timer
2 sec, 10 sec
Shooting Modes
Auto, Beach, Easy, Fireworks, Indoor, Kids&Pets, Landscape, Long Shutter, Low Light, Movie, Face Self-Timer, Night Snapshot, Program, Portrait, Poster Effect, Snow, Super Vivid
Metering
Center-Weighted, Evaluative, Spot
Macro Mode (Exposure Mode)
3 - 60 cm (W), 30 - 60 cm (T)
Red Eye Reduction
Yes
Continuous Shots
Up to 0.8 fps
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent-H, Tungsten
Audio Video Interface (NTSC/PAL)
Analog Audio Output (Monaural) / Analog Video Output (NTSC or PAL)",,"Optical Sensor Resolution (in MegaPixel)
12.1 MP","Supplied Battery
Battery Pack (NB-8L)
AC Adaptor
AC Adaptor Kit ACK-DC60",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/1600 sec
Minimum Shutter Speed
15 sec",,"Optical Zoom
4x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-GF2 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,,,,,,,,,,,,,,,,,,,,,,,f/2.5,Yes,Hyderabad Chennai Mumbai Delhi Pune,No,NA,"Up to 3.2 fps, 2.5 fps",4x,NA,Yes,NA,Yes,"JPEG (DCF, EXIF 2.3, RAW, DPOF, MPO)",Yes,Auto / Intelligent ISO / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400,NA,12.10,4x,Yes,3 Inches,Yes,"Portrait, Soft Skin, Scenery, Architecture, Sports, Flower, Food, Objects, Low-Light, Party, Sunset",Yes,NA,"AVCHD, Motion JPEG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Smart WB50F Digital Camera White Price in India with Offers & Full Specifications | PriceDekho.com,"Color
White",Samsung,"USB
USB 2.0","Dimensions
101 x 68 x 27.1 mm
Weight
157 gms","Display Type
LCD
Screen Size
3 Inches",,"Brand
Samsung
Announced
2014, February
Status
Available",,"Auto Focus
Center AF, Face Detection, Multi AF
Focal Length
4.3 - 51.6 mm (35 mm Equivalent to 24 - 288 mm)","Memory Card Type
SD, SDHC, SDXC",16.2 MP,"ISO Rating
Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Image Stabilizer
Optical
Metering
Center, Multi, Spot
Exposure Compensation
1/3 EV Steps, +/-2.0 EV
Macro Mode (Exposure Mode)
5 - 80 cm (W)
Red Eye Reduction
Yes
White Balancing
Auto
Microphone
Built-In Monaural Microphone",,"Optical Sensor Resolution (in MegaPixel)
16.2 MP",,»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
2 sec",,"Optical Zoom
12x
Digital Zoom
2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix P530 Point & Shoot Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Nikon,"USB
USB 2.0
HDMI
Yes","Dimensions
4.84 x 3.86 x 3.31 Inches
Weight
494 gms","Display Type
TFT LCD with Anti-Reflection Coating
Screen Size
3 Inches
Image Display Resolution
921000 dots
ViewFinder
Electronic View Finder",,"Brand
Nikon
Announced
2014, February
Status
Available",,"Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4.3 - 180 mm (35 mm Equivalent to 24 - 1000 mm)","Inbuilt Memory
50 MB
Memory Card Type
SD, SDHC, SDXC",16 MP,"Self Timer
2 sec, 10 sec
Metering
Center-Weighted, Matrix, Spot",,"Optical Sensor Resolution (in MegaPixel)
16 MP","AC Adaptor
AC Adaptor EH-70P",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,,"Maximum Shutter Speed
1/4000 sec
Minimum Shutter Speed
15 sec",,"Optical Zoom
41.7x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujifilm Finepix JX-420 Point & Shoot Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes",Fujifilm,"USB
USB 2.0 Hi-Speed
Bluetooth
No","Weight
107 gms","Display Type
TFT LCD
Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps","Flash Modes
Auto, Face Detection, Forced, Slow Sync, Suppressed Flash
Flash Range
Wide : 0.45 - 3.0m, Telephoto : 0.8 - 2.0m
Built in Flash
Yes","Brand
Fujifilm","Image Format
JPEG (EXIF 2.3, DCF, DPOF)
Video Format
AVI Motion JPEG","Lens Type
Fujinon Lens
Auto Focus
Contrast Detection AF
Focal Length
5 - 25 mm (35 mm Equivalent to 28 - 140 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC",16 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600 / 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Auto, Movie, Natural Light, Natural Light With Flash, Program, Auto
Delete Function
Yes
Metering
TTL 256-Zones
Macro Mode (Exposure Mode)
10 - 80 cm (W), 80 - 1.2 m (T)
Red Eye Reduction
Yes
Continuous Shots
Up to 1.1 fps
White Balancing
Automatic Scene Recognition, Fine, Fluorescent (D: Daylight Color, Incandescent, N: Daylight White, Shade, W: Cool White)
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
All Other Mode, 80 cm - 1.2 m (T), 80 cm - 2.0 m (T), 96% LCD Coverage, AF Frame Selection (Center, Auto Flash (i-flash), Automatic LCD Brightness Adjustment, Baby, Beach, Blink Detection, Continuous AF (SR Auto), Crop, Erase Selected Frames, Exposure Compensation: 2 EV in increments 1/3 EV, Exposure Mode: Programmed AE, Face Detection, Favorite), Fireworks, Flash Macro Range: 30 cm - 80 cm (W), Flash Range: 45 cm - 3.0 m (W), Flower, Focus Mode: Single AF, Frame Number Memory), Framing Guideline, Image Rotate, Image Search, Landscape, Lens Construction: 8 Lenses in 7 Groups, Mark for Upload, Motion Panorama, Movie Recording (640 x 480 at 30 fps, Multi-frame Playback (with Micro Thumbnail), Night, Night (Tripod), Panorama, Party, Photobook Assist, Photography Functions (SR Auto, Playback Functions (Face Detection, Protect, Resize, Scene Mode (Portrait, Slide Show, Smile and Shoot, Snow, Sport, Sunset, Text), Tracking)",,"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Li-ion Battery (NP-45A/B)
AC Adaptor
AC Adaptor Supported",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/1800 sec
Minimum Shutter Speed
25 sec",,"Optical Zoom
5x
Digital Zoom
7.2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A3500 IS Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black
External Memory
Yes",Canon,"USB
USB Hi-Speed
HDMI
No
GPS
No","Dimensions
3.85 x 2.2 x 0.78 Inches
Weight
135 gms","Display Type
TFT LCD
Screen Size
3 Inches
Image Display Resolution
230000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 25 fps","Flash Modes
Auto, Manual, Slow Sync Flash
Flash Range
Wide : 0.5 - 3.0m, Telephoto : 1.0 - 2.0m
Built in Flash
Yes","Brand
Canon
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF 1.1)
Video Format
H.264, MOV","Lens Type
Canon EF
Focal Length
5 - 25 mm (35 mm Equivalent to 28 - 140 mm)
Color Filter
Primary (RGB) Color Filter","Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Face Self-Timer, Fireworks, Fish-Eye Effect, Live View Control, Long Shutter, Low Light (4.0 Mp), Miniature Effect, Monochrome, Portrait, Poster Effect, Program, Smart Auto (32 Scenes Detected), Snow, Super Vivid, Toy Camera Effect
Metering
Center-Weighted Average, Evaluative, Spot
Macro Mode (Exposure Mode)
3 cm
Red Eye Reduction
Yes
Picture Angle
28 mm Wide Angle
Continuous Shots
Up to 0.8 fps
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent-H, Tungsten
Supported Languages
30 Languages
Aperture Range
f/2.8 (W) - f/6.9 (T)
Microphone
Monaural Microphone
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
1-point AF (Fixed to Center), 100% Coverage LCD Monitor, 10x Zoom Plus, 32 Smart Auto Scenes, 6 Elements in 5 Groups Lens Construction, AF Assist Beam, AF Lock: On / Off Selectable (Exposure Control), AF Lock: On / Off Selectable (Focusing), AF Modes: Single, AF Point Selection: Size (Normal, AF System / Points: AiAF (Face Detection / 9-point), Brightness: Adjustable to One of Five Levels, Canon High Power Flash HF-DC2), Continuous (Auto Mode), DIGIC 4 with iSAPS Technology Type, ECO Mode, Exposure Compensation: +/- 2 EV in increments 1/3 (Enhanced I-contrast for Automatic Dynamic Range Correction), External Flash (Canon High Power Flash HF-DC1, Flash Exposure Compensation: Smart Flash Exposure, Flash Exposure Lock, HD Video, High Level of Image Clarity, Intelligent IS, Miniature Effect, Monochrome, P, Portrait, Quick-bright LCD, Servo AF / AE, Shooting Modes in Movie: Smart Auto (21 Scenes Detected), Slow Sync Speed: Fastest Speed 1/2000 sec, Small), Su, TTL White Balance, Tracking AF",,"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Rechargeable Li-ion Battery",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
1 sec",,"Optical Zoom
5x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung ES80 Price in India with Offers & Full Specifications | PriceDekho.com,,Samsung,"USB
USB 2.0 Hi-Speed
Bluetooth
No","Weight
124.8 gms","Screen Size
2.4 Inches","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
Wide : 0.4m - 3.0m, Telephoto : 0.5m - 2.0m
Built in Flash
Yes","Brand
Samsung","Image Format
JPEG (DCF, EXIF 2.21, DPOF 1.1)
Video Format
AVI Motion JPEG","Lens Type
Samsung Lens
Auto Focus
TTL Auto Focus
Focal Length
4.9 - 24.5 mm (35 mm Equivalent to 27 - 135 mm)",,12.2 MP,"ISO Rating
Auto / 80 / 100 / 200 / 400 / 800 / 1600
Self Timer
Self timer: Off, 10 sec, 2 sec, Double (10 sec, 2 sec)
Face Detection
Yes
Shooting Modes
DIS, Movie, Program, Scene, Smart
Image Stabilizer
Digital
Metering
Center-Weighted, Multi, Spot
Macro Mode (Exposure Mode)
5 - 80 cm (W)
Red Eye Reduction
Yes
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent-H, Fluorescent-L, Tungsten
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",,"Optical Sensor Resolution (in MegaPixel)
12.2 MP","Supplied Battery
740 mAh Battery (BP-70A) Connector Type : 8 pin",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Minimum Shutter Speed
Auto : 1/8 - 1/2000 sec, Program : 1 - 1/2000 sec, Night : 8 - 1/2000 sec, Fireworks : 2 sec",,"Optical Zoom
5x
Digital Zoom
3x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon IXUS 240 HS Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB Hi-Speed
HDMI
Yes
Bluetooth
No","Dimensions
147 x 114 x 74 mm
Weight
130 gms","Display Type
TFT Touchscreen
Screen Size
3.2 Inches
Image Display Resolution
461000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 24 fps
Supported Aspect Ratio
16:9, 3:2, 4:3, 1:1
Additional Display Features
Wide Viewing Angle","Flash Modes
Auto, Slow Sync Flash
Flash Range
Wide : 0.5 - 3.5m, Telephoto : 0.9 - 2.0m
Built in Flash
Yes
External Flash
Yes","Brand
Canon
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF 1.1)
Video Format
H.264, MOV","Focal Length
4.3 - 21.5 mm (35 mm Equivalent to 24 - 120 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",16.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600 / 3200
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Movie, Program, Smart Auto (58 Scenes Detected)
Delete Function
Yes
Image Stabilizer
Lens-shift type
Metering
Center-Weighted Average, Evaluative, Spot
Macro Mode (Exposure Mode)
3 - 50 cm (W)
Red Eye Reduction
Yes
Picture Angle
24 mm Wide Angle
Continuous Shots
Up to 1.9 fps (Program Mode), 5.2 fps (High-Speed Burst Mode)
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent-H, Tungsten
Supported Languages
30 Languages
Aperture Range
f/2.7 (W) - f/5.9 (T)
PictBridge
Yes
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
1 hr Continuous Movie Shooting, 2.4GHz Band Only, 30 mins Actual Usage Recording, 5 Level LCD Brightness Adjustment, 5x Zoom Magnification, AF Frame: Face AiAF, Circular Aperture Type, Color Accent, Color Swap, DIGIC 5 Imaging Processor, Exposure Compensation: B1 2 EV in increments of 1/3 EV, Exposure Shift (Movies): Exposure is Locked in AE Lock Mode, Fixed Frame - Touch AF Available, Focus Control System: Auto focus - Continuous (Auto and Touch AF), Handheld Night Scene, High-speed Burst, Long Shutter, Low Light, Max 170 Image Shots, Min Focusing Range: 3 cm - 90 cm, Miniature Effect, Monochrome, Poster Effect, Scene Mode: Portrait, Servo AF (Follows Servo AE), Smart Shutter, Smooth Skin, Snow, Soft Focus, Special Effects: Fish-eye Effect, Super Slow Motion Movie, Super Vivid, Toy Camera Effect, Wi-Fi, Wireless LAN (IEEE802.11b/g/n), iFrame Movie",(6 ),"Optical Sensor Resolution (in MegaPixel)
16.1 MP","Supplied Battery
Rechargeable Li-ion Battery (NB-11)
AC Adaptor
Power Adaptor CA-DC10 (Included with AC Adaptor Kit ACK-DC90)",»,"Sensor Type
BSI CMOS Sensor
Sensor Size
1/2.3 Inches",BSI CMOS Sensor,(0 ) (2.2 ) (3.2 ) (5 ) (4.2 ) (3.6 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
15 sec",(0 ) (3.4 ) (5 ) (3 ) (4.8 ) (3.4 ),"Optical Zoom
5x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
